,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
1180,Comté - Bio Village,2860350021524,['France'],[],[],?,410,1715 kj(410 kcal),34,22,"0,5","0,5",26,D,['Bio Village'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']","['Bio', 'Nutriscore', 'Nutriscore D']",,,34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,,-2%,-2%,-2%,-3%,+8%,+87%,-3%,"0,8",-5%,"0,32",-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,['Leclerc'],,,,,,,
1181,Chipolatas,2407110023819,['France'],[],[],?,1284,5372 kj(1284 kcal),28,"10,5","3,6",0,11,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,28 g,en quantité élevée,10.5 g,en quantité élevée,0 g,en faible quantité,2.6 g,en quantité élevée,,+437%,+437%,+48%,+45%,+208%,-100%,-29%,"2,6",+44%,"1,04",+44%,30,+81%,E,+81%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
1182,Gouda holland igp jeune cumin,0204599011021,['France'],[],[],?,?,,?,,?,,?,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1183,Creme glacee chocolat blanc - Thiriet,3292590515027,['France'],[],[],?,245,1025 kj(245 kcal),14,"8,8",25,25,"4,8",B,['Thiriet'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']","['Sans arômes artificiels', 'Sans colorants']",,,14 g,en quantité modérée,8.8 g,en quantité élevée,25 g,en quantité élevée,0.15 g,en faible quantité,,+11%,+12%,+28%,+28%,-5%,+12%,+44%,"0,15",-1%,"0,06",-1%,16,+27%,D,+27%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,['Thiriet'],,,,,,,
1184,Yaourts brassés aux fruits,3330331787057,['France'],[],[],?,91,381 kj(91 kcal),"2,82",0,"12,5","0,5","3,99",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts brassés', 'Yaourts brassés aux fruits']",,,,2.82 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,-7%,-7%,-8%,-100%,-8%,-96%,+15%,0,-100%,0,-100%,-1,-134%,A,-134%,,,,,,,,,,,,,,,,,,
1185,Confiture de fraise mara des bois,00000131,['France'],[],[],?,0,0 kj(0 kcal),0,0,58,58,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,0 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,,-100%,-100%,-100%,-100%,+9%,+14%,-100%,0,-100%,0,-100%,9,+3%,C,+3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
1186,Chocolat noir,2664309306621,['France'],[],[],?,510,2134 kj(510 kcal),"42,5","27,5",33,"0,4","6,9",,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1187,Tortellini al prosciutto crudo - 1000g,8008105410023,['France'],[],[],?,326,1364 kj(326 kcal),"8,6",4,49,"3,7",12,,,['it:Tortellini al prosciutto'],,,,8.6 g,en quantité modérée,4 g,en quantité modérée,3.7 g,en faible quantité,0.6 g,en quantité modérée,,,,,,,,,"0,6",,"0,24",,4,,C,,,,,,,,,1000 g,,,,,,,,,,
1188,Galettes d’annette,3472860407065,['France'],[],[],?,100,418 kj(100 kcal),"25,5","17,5","65,5","27,2","5,7",,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert']",,,,,,,,,,,,,,,,,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,
1189,Dos de cabillaud sauce au beurre d'agrumes,3356067786751,['France'],[],[],?,146,611 kj(146 kcal),"9,3","5,7","4,5","2,8","11,2",E,,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,,,9.3 g,en quantité modérée,5.7 g,en quantité élevée,2.8 g,en faible quantité,0.57 g,en quantité modérée,,-39%,-36%,-50%,+112%,+34%,+767%,-8%,"0,57",-33%,"0,228",-33%,3,-39%,C,-39%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,
1190,Bavette d'aloyau - Charal,0292475050387,['France'],[],[],?,123,515 kj(123 kcal),"5,7","2,2",0,0,20,E,['Charal'],"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",,,,5.7 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,,-6%,-6%,0%,0%,-100%,-100%,0%,"0,2",+5%,"0,08",+5%,-2,,A,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,
1191,Black Tiger Garnelen,3261082343431,['France'],[],[],?,69,289 kj(69 kcal),"0,5","0,2",0,0,16,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert']",,,,,,,,,,,,,,,,,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,
1192,Langostino crudo,230241350400200950038025,['France'],[],[],?,?,,?,,?,,?,,,"['it:Langostino', 'it:Langostino crudo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Rôti de filet de porc,2209820007819,['France'],[],[],?,151,632 kj(151 kcal),"7,2",3,"0,5","0,5",21,E,,"['Viandes', 'Porc', 'Rôtis de porc']",,,,7.2 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,0.118 g,en faible quantité,,+5%,+6%,+43%,+44%,-39%,-20%,-6%,"0,118",-93%,"0,047",-93%,-2,-128%,A,-128%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,
1194,Scampi à poêler,3261080238852,['France'],[],[],?,175,732 kj(175 kcal),15,"9,7","1,5","0,8","8,2",,,,['Point Vert'],,,,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,
1195,MENTHE EPINARD - Naturevous,5605089300055,['France'],[],[],?,48,201 kj(48 kcal),"0,5","0,01","9,9","6,8","0,6",,['Naturevous'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Sirop de Fraise de Carpentras,3760079220163,['France'],[],[],?,?,,?,,?,,?,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,
1197,Efferalgan,3400930006122,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Crème glacée vanille Auchan,3596719482260,['France'],[],[],?,181,757 kj(181 kcal),"7,9","5,1",23,23,"4,3",B,['Auchan'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la vanille']","['Bio', 'Nutriscore', 'Nutriscore D']",,,7.9 g,en quantité modérée,5.1 g,en quantité élevée,23 g,en quantité élevée,,,,-13%,-13%,-23%,-24%,-10%,+7%,+36%,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,['Auchan'],,,,,,,
1199,Chorizo de sarta clásico picante natural sin gluten sin lactosa,8421328000046,['France'],[],[],?,461,1929 kj(461 kcal),39,16,"1,6","1,6",26,,,,,,,,,,,,,,,,,,,,,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,
1200,Rôti de porc,2167402006417,['France'],[],[],?,124,519 kj(124 kcal),"3,5","1,3","0,5","0,5",23,E,,"['Viandes', 'Porc', 'Rôtis de porc']",,,,3.5 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,0.15 g,en faible quantité,,-14%,-13%,-30%,-38%,-39%,-20%,+3%,"0,15",-91%,"0,06",-91%,-3,-142%,A,-142%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,"['Barquette', 'Film en plastique']",,,,,,,,,
1201,Tournedos - Charal,0292451067170,['France'],[],[],?,206,862 kj(206 kcal),14,"4,8",0,0,20,,['Charal'],"['Viandes', 'Bœuf', 'Tournedos de boeuf']","['Viande Française', 'Viande-bovine-francaise']",,,14 g,en quantité modérée,4.8 g,en quantité modérée,0 g,en faible quantité,0.16 g,en faible quantité,,+15%,+15%,+44%,+21%,-100%,-100%,-0%,"0,16",-86%,"0,064",-86%,1,-81%,B,-81%,,,,,,,,,,,,,,,,,,
1202,P'tits Beignets Choco-noisette,2600456014439,['France'],[],[],?,435,1820 kj(435 kcal),25,"4,7",46,22,"5,6",D,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",,,,25 g,en quantité élevée,4.7 g,en quantité modérée,22 g,en quantité élevée,0.9 g,en quantité modérée,,+0%,+1%,-4%,-63%,+8%,+40%,-13%,"0,9",-13%,"0,36",-13%,16,-26%,D,-26%,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,
1203,Sirop de citron,17652193,['France'],[],[],?,68,285 kj(68 kcal),"0,5","0,1",68,68,"0,5",B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",,,,,,,,,,,,,-68%,-68%,+303%,+187%,+30%,+37%,+294%,"0,01",-55%,"0,004",-55%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,
1204,Picodon - Nos Régions ont du Talent - 2x 60g,990530101004256176,['France'],[],[],?,318,1331 kj(318 kcal),26,20,1,1,20,,['Nos Régions ont du Talent'],,,,,,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,2 x 60 g,,,,,,,,,,
1205,Beignets x10 Choco-noisette,0200777029529,['France'],[],[],?,404,1690 kj(404 kcal),20,"2,4",50,20,"5,2",D,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",,,,20 g,en quantité modérée,2.4 g,en quantité modérée,20 g,en quantité élevée,0.9 g,en quantité modérée,,-7%,-7%,-23%,-81%,+18%,+27%,-20%,"0,9",-13%,"0,36",-13%,14,-35%,D,-35%,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,
1206,Brochettes antillaise,3295210002075,['France'],[],[],?,248,1038 kj(248 kcal),"18,7",7,"9,7","2,2","10,2",,,,['Point Vert'],,,,,,,,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,"['EMB 01224', 'Loyettes (Ain, France)', 'FR 01.224.001 CE', 'Loyettes (Ain, France)']",,,,,,,,
1207,Encornet géant,8410149019863,['France'],[],[],?,365,1527 kj(365 kcal),"34,8","4,2","0,9",0,"12,1",,,['Encornet géant'],,,,34.8 g,en quantité élevée,4.2 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,,,,,,,,1,,"0,4",,12,,D,,,,,,,,,,,,,,,,,,,
1208,Magret de canard,0245510050644,['France'],[],[],?,?,,?,,?,,?,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,
1209,Chipolata herbe A/col,0211033049007,['France'],[],[],?,?,,?,,?,,?,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
1210,2 éclairs café - 140g,0205162015095,['France'],[],[],?,240,1004 kj(240 kcal),11,"3,1",31,18,"4,2",C,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",,,,11 g,en quantité modérée,3.1 g,en quantité modérée,18 g,en quantité élevée,0 g,en faible quantité,,-4%,-3%,-1%,-46%,-3%,-9%,+3%,0,-100%,0,-100%,6,-53%,C,-53%,75.9%,13.5%,4.8%,3.3%,2.5%,0.0%,64,140 g,,,,,,,,,,
1211,2 millefeuilles,0205172019618,['France'],[],[],?,212,887 kj(212 kcal),"7,9","2,9",31,21,"3,6",B,,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,,,7.9 g,en quantité modérée,2.9 g,en quantité modérée,21 g,en quantité élevée,0.28 g,en faible quantité,,-32%,-32%,-47%,-71%,-22%,+6%,-6%,"0,28",-41%,"0,112",-41%,7,-59%,C,-59%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,,,
1212,Thon a l’huile d’olive - 200g,08662255,['France'],[],[],?,390.64001464844,1634 kj(390 kcal),34,"7,15","1,33","1,25","19,83",E,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,,,34 g,en quantité élevée,7.15 g,en quantité élevée,1.25 g,en faible quantité,1.2 g,en quantité modérée,,+54%,+56%,+95%,+136%,+426%,+1090%,-16%,"1,2",+23%,"0,48",+23%,16,+197%,D,+197%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,200 g,,,,,,,,,,
1213,Lamelles d'encornets géants saumurés,2416851028144,['France'],[],[],?,45,188 kj(45 kcal),"0,5","0,2","0,5","0,5",11,,,['Encornet géant'],,,,0.5 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,,,,,,,,,"1,4",,"0,56",,1,,B,,,,,,,,,,,,,,,,,,,
1214,Vitamina D3,8412016372279,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Roti de porc filet,3004106902456,['France'],[],[],?,118,494 kj(118 kcal),"3,8","1,2","1,1","0,6","19,5",E,,"['Viandes', 'Porc', 'Rôtis de porc']",,,,3.8 g,en quantité modérée,1.2 g,en faible quantité,0.6 g,en faible quantité,1.5 g,en quantité modérée,,-18%,-17%,-24%,-43%,+35%,-4%,-13%,"1,5",-13%,"0,6",-13%,3,-58%,C,-58%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,
1216,Chair a saucisse,0201722010234,['France'],[],[],?,115,481 kj(115 kcal),"4,1","1,3","2,6",0,17,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",,,,4.1 g,en quantité modérée,1.3 g,en faible quantité,0 g,en faible quantité,3.7 g,en quantité élevée,,-56%,-56%,-82%,-85%,+126%,-100%,+28%,"3,7",+122%,"1,48",+122%,12,-32%,D,-32%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,
1217,Chipolatas Aux Herbes,3485310012115,['France'],[],[],?,231,967 kj(231 kcal),18,"6,7","1,3","0,9",16,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,,,18 g,en quantité modérée,6.7 g,en quantité élevée,0.9 g,en faible quantité,2 g,en quantité élevée,,-8%,-7%,-10%,-13%,+2%,+45%,+7%,2,+13%,"0,8",+13%,16,-7%,D,-7%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
1218,Biosens,3456300010787,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Sachet De 10 Capsules De Café Moulu Saveur Vanille,3564884012025,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Veritable andouille de guemené,0219963026303,['France'],[],[],?,245,1025 kj(245 kcal),20,10,"0,5","0,5",16,E,,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,,,20 g,en quantité modérée,10 g,en quantité élevée,0.5 g,en faible quantité,2.4 g,en quantité élevée,,-2%,-1%,-1%,-1%,+33%,+78%,-2%,"2,4",+0%,"0,96",+0%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,"['EMB 56012A', 'Beignon (Morbihan, France)']",,,,,,,,
1221,Filets de Kippers,3324030016433,['France'],[],[],?,725,3033 kj(725 kcal),"11,5",3,"0,2","0,2","17,6",,,,"['Point Vert', 'Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,4,,"1,6",,,,,,,,,,,,,,,['MSC-C-53427'],,,,,,,,
1222,Taboule oriental,3083880464466,['France'],[],[],?,178,745 kj(178 kcal),6,"0,7",25,4,5,B,,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",,,,6 g,en quantité modérée,0.7 g,en faible quantité,4 g,en faible quantité,1 g,en quantité modérée,,+1%,+0%,-12%,-1%,+6%,-1%,+16%,1,+5%,"0,4",+5%,3,+12%,C,+12%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,,,
1223,Magret de canard,2297551006171,['France'],[],[],?,363,1519 kj(363 kcal),33,11,"0,6","0,6",16,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,,+7%,+7%,+13%,+10%,-52%,-10%,-11%,"0,1",-94%,"0,04",-94%,14,-24%,D,-24%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,
1224,Escargot pepites x4 - E.Leclerc,3191280314004,['France'],[],[],?,345,1443 kj(345 kcal),13,"7,9",49,23,"7,1",,['E.Leclerc'],,['Point Vert'],,,,,,,,,,,,,,,,,,,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,
1225,Saumon sauvage fumé - Herens,3760048921114,['France'],[],[],?,548,2293 kj(548 kcal),"4,7","0,8",0,0,0,E,['Herens'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']","['Pêche durable', 'Pêche durable MSC']",,,4.7 g,en quantité modérée,0.8 g,en faible quantité,0 g,en faible quantité,2.5 g,en quantité élevée,,+312%,+315%,+26%,-0%,-100%,-100%,-100%,"2,5",-15%,1,-15%,16,+44%,D,+44%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,['MSC-C-55256'],,,,,,,,
1226,Filet de cabillaud,2420064037596,['France'],[],[],?,5,21 kj(5 kcal),10,2,0,0,50,E,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",,,,10 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-96%,-96%,+230%,+391%,-100%,-100%,+221%,0,-100%,0,-100%,-4,,A,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,
1227,Sirop Des Fumeurs - 250 ML - Herbalgem,5425009091661,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Apérolives - 269g,3027102531024,['France'],[],[],?,346,1448 kj(346 kcal),"36,02","4,02","1,16",0,"0,71",,,,,,,,,,,,,,,,,,,,,,,"0,5",,"0,2",,,,,,,,,,,,,269 g,,,,,,,,,,
1229,Veritable andouillette de Troyes,2613598027298,['France'],[],[],?,243,1017 kj(243 kcal),19,9,"0,5","0,5",18,E,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",,,,19 g,en quantité modérée,9 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,+3%,+4%,+8%,+10%,+15%,+44%,-2%,"1,7",-6%,"0,68",-6%,18,+3%,D,+3%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,,
1230,Magret de canard du sud ouest,3277163597556,['France'],[],[],?,?,,?,,?,,?,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,
1231,Vin rosé,3416600217507,['France'],[],[],?,?,,?,0,?,,?,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,,,,-100%,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,
1232,Gorgonzola Aop -,0206801019559,['France'],[],[],?,330,1381 kj(330 kcal),27,19,0,0,19,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas']",['AOP'],,,27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+1%,-3%,-1%,-100%,-100%,+5%,"1,3",-13%,"0,52",-13%,14,-3%,D,-3%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,
1233,Lait de toilette extra-doux - Mots d’enfants - 750ml,3564700685334,['France'],[],[],?,?,,?,,?,,?,,['Mots d’enfants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 ml,['Flacon'],,,,,,,,,
1234,Andouille de Guémené,2618733038900,['France'],[],[],?,239,1000 kj(239 kcal),19,10,"0,8","0,8",16,E,,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,,,19 g,en quantité modérée,10 g,en quantité élevée,0.8 g,en faible quantité,2.2 g,en quantité élevée,,-4%,-4%,-6%,-1%,+113%,+185%,-2%,"2,2",-8%,"0,88",-8%,20,-7%,E,-7%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,
1235,Sirop de kiwi banane - Casino,08327815,['France'],[],[],?,302,1264 kj(302 kcal),0,0,75,75,0,,['Casino'],['Sirop de banane kiwi'],,,,0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,,,,,,,,,0,,0,,13,,D,,,,,,,,,,,,['Casino'],,,,,,,
1236,Żubrówka,5900343007764,['France'],[],[],?,?,,?,,?,,?,,['Żubrówka'],"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Magret de canard cru aux cèpes,2474033124244,['France'],[],[],?,?,,?,,?,,?,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,
1238,Bavettes d'aloyau - Charal,0292475049855,['France'],[],[],?,131,548 kj(131 kcal),67,22,0,0,20,E,['Charal'],"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]","['Nutriscore', 'Nutriscore A']",,,67 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.18 g,en faible quantité,,0%,0%,+1075%,+900%,-100%,-100%,0%,"0,18",-5%,"0,072",-5%,11,,D,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,
1239,Ravioli aux 5 légumes bio,3700569021955,['France'],"['Ravioli précuits* 36% [', 'semoule de BLE dur*', 'GLUTEN', 'eau', 'OEUFS*', 'chapelure de BLE*', 'poivrons* 1,8%', 'oignons* 1,4%', 'tomates* 1,4%', 'huile de tournesol*', 'flocons de pomme de terre* ', 'pomme de terre*', 'antioxydant : extrait de romarin*', 'aubergines* 0,7%', 'RICOTTA* 0,5%', 'LAIT', ' ', 'sel,basilic*', 'fibre de son de BLE*', 'arôme naturel', 'ail*', 'eau', 'huile de colza*', 'sel]', 'eau', 'poivrons rouges* et verts* 6,6%', 'concentré de tomate*', 'carottes* 5%', ""huile d'olive vierge extra* 2,1%"", 'huile de colza*', 'oignons* 1,6%', 'sel', 'sucre*', 'fécule de pomme de terre*', 'ail déshydraté*', 'épaississants : gomme xanthane et gomme guar*', 'origan*', 'poivre*', 'basilic* 0,02%', 'persil*', 'paprika*']",['Sans huile de palme'],?,?,,?,,?,,?,,,,['Bio'],"['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E392 - Extrait de romarin', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",,
1240,Fritons de canard,3338600006281,['France'],[],[],?,424,1774 kj(424 kcal),"40,3","15,4","0,117","0,1","15,1",,,"['Friton de canard', 'Fritons de canard']",,,,40.3 g,en quantité élevée,15.4 g,en quantité élevée,0.1 g,en faible quantité,1.12 g,en quantité modérée,,,,,,,,,"1,125",,"0,45",,19,,E,,,,,,,,,,,,,,,,,,,
1241,Bio Vital gebäck - Sondey,4056489464297,['France'],[],[],?,535,2238 kj(535 kcal),"31,5","14,6","51,5","25,7","8,6",,['Sondey'],,"['Bio', 'Bio européen', 'DE-ÖKO-005', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Hibiscus tonic water - Lamb & watt - 200ml,5011166054535,['France'],[],[],?,34,142 kj(34 kcal),"0,1",0,0,"7,9","0,1",,['Lamb & watt'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique']",,,,0.1 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,0 g,en faible quantité,,+21%,+22%,+138%,-100%,-100%,+25%,+134%,0,-100%,0,-100%,11,+23%,E,+23%,,,,,,,,200ml,['Verre'],,,,,,,,,
1243,Magret de canard,0219007057928,['France'],[],[],?,?,,?,,?,,?,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,
