,name,bar_code,brand,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,manufacturing,palm_ingredients,link,brand_owner,origin_detail,producer_info
381,Demi-écrémé avec Vitamine D - Lactel - 6 * 50cl,3428272960049,['Lactel'],,['France'],"['Lait demi-écrémé', 'vitamine D']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",190,?,190 kj(45 kcal),"1,5",1,"4,8","4,8","3,2","0,11","0,044",D,Lait stérilisé U.H.T demi-écrémé enrichi en vitamine D.,6 * 50 cl,"['Pack', 'Plastique', 'Bouteille']","['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['Enrichi en vitamines'],,['Lait'],1,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,-4%,,-4%,-11%,-3%,0%,+0%,-1%,-1%,-1%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,"['Leclerc', 'Magasins U']",,,,,,
382,Lait de chèvre 1/2 écrémé stérilisé UHT - Lactel - 300cl (6x50cl),3428273140068,['Lactel'],,['France'],"['Lait de chèvre demi-écrémé', 'stabilisant E339 ii']","['Sans huile de palme', 'Non végétalien']",?,45,188 kj(45 kcal),"1,5",1,"4,5","4,5","3,3","0,18","0,072",D,,300 cl (6x50cl),['bouteille PE'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits de chèvre', 'Laits demi-écrémés', 'Laits UHT']",,,,1,1.5 g,en faible quantité,1 g,en faible quantité,4.5 g,en faible quantité,0.18 g,en faible quantité,,-20%,-20%,-46%,-42%,-3%,+3%,+3%,+18%,+18%,-2,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['E339ii - Phosphate disodique'],['Magasins U'],,,,,,
383,Lait - Lactel - 1L,3428273140075,['Lactel'],"['FR 59.461.030 CE', 'Petit-Fayt (Nord, France)', 'FR 35.360.001 CE', 'Vitré (Ille-et-Vilaine, France)', 'FR 82.121.103 CE', 'Montauban (Tarn-et-Garonne, France)']",['France'],"['Lait à 1,2% de M', 'G', 'vitamine D']",[],?,43,180 kj(43 kcal),"1,2","0,8","4,8","4,8","3,2","0,1","0,04",B,,1 L,"['Bouteille', 'Plastique']","['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT']",,['France'],['Lait'],,1.2 g,en faible quantité,0.8 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,,-9%,-9%,-29%,-22%,+0%,+0%,-1%,-10%,-10%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['France'],,,,,
384,Lait bio - Lactel - 8x 1L,3428274060013,"['Lactel', 'Carrefour Bio']",,['France'],['Lait demi écrémé stérillisé UHT'],[],?,45,188 kj(45 kcal),"1,5",1,"4,8","4,8","3,2","0,11","0,044",,,8x 1L,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
385,lait demi ecreme -,3428274110060,,,['France'],[],[],?,45,188 kj(45 kcal),"1,5",1,"4,8","4,8","3,2","0,1","0,04",D,,,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['Enrichi en vitamines'],,,,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,,-4%,-5%,-11%,-3%,0%,+0%,-1%,-10%,-10%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,
386,Cabrichaud au lardon - Étoile du Quercy - 160g,3428380001917,['Étoile du Quercy'],"['FR 46.177.001 CE', 'Loubressac (Lot, France)']",['France'],"['Fromage de chèvre frais à 21% de matière grasse : 75% ', 'lait de chèvre pasteurisé', 'ferments', 'sel', 'présure', 'conservateur : E202', '\rPoitrine de porc fumée 25% ', 'poitrine de porc', 'sel', 'dextrose', 'sirop de glucose', 'sucre', 'lactose', 'antioxydants : E301', 'E325', 'arômes', 'épices', 'arôme de fumée', 'conservateurs : E250 - E252', ""correcteurs d'acidité : E262 - E270"", 'exhausteur de goût : E621']","['Non végétalien', 'Non végétarien']",?,270,1130 kj(270 kcal),22,13,"2,1","1,4",16,"1,6","0,64",,Fromage de chèvre enrobé de poitrine fumée,160 g,['Plastique'],"['Plats préparés', 'Frais', 'Plats préparés frais']",['Ne pas recongeler'],,['Lait'],4,22 g,en quantité élevée,13 g,en quantité élevée,1.4 g,en faible quantité,1.6 g,en quantité élevée,,+46%,+49%,+165%,+414%,-88%,-38%,+113%,+58%,+58%,20,+384%,E,+384%,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E270 - Acide lactique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Carrefour'],"['Loubressac', 'Lot', 'France']",,,,,
387,Fromage chevre et lard - Fromagerie De Vailles,3428380004505,['Fromagerie De Vailles'],"['FR 46.177.001 CE', 'Loubressac (Lot, France)']",['France'],"['Fromage de Chèvre & Lard C', 'oxe% : sar ape 5se ép ag a aa Pourp!x : Cowe E202t prés', ':er', ' Por', 'e de pcrc ', 'origr,e Belggue', ' ', 'poffr,e de effatdév', 'ce', '1098kJ12FJ5kcatMaéresyasses21gdcrt 160g A à CC A cwatrre Lct: 20081408 3 428380 004505']",[],?,265,1109 kj(265 kcal),21,13,"2,9","2,5",16,"1,475","0,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Sorbet myrtilles sauvages - Erhard,3428420003550,['Erhard'],,['France'],[],[],?,131,548 kj(131 kcal),"0,1",0,"31,4","28,4","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Sorbet citron - Erhard,3428420020137,['Erhard'],,['France'],[],[],?,121,506 kj(121 kcal),"0,5","0,1",26,"1,3","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Paris Brest - Lidl,3428420051124,['Lidl'],,['France'],"['Garniture au praline ', '60,6%', ' eau', 'BEURRE préparation pour crème pâtissière ', 'sucre', 'amidon modifié de pomme de terres LACTOSERUM en poudre', 'dextrose de blé poudre de LAIT écrémé', 'épaississant alginate de sodium stabilisants diphosphate tétrasodique-sulfate de calcium colorant ', ""carotènes d'algues"", 'pâte de praliné 6', '1 % ', 'sucre', 'NOISETTES AMANDES', 'stabilisant sorbitol', 'émulsifiant lécithine de tournesol', 'sucre glace ', 'sucre', 'antiagglomérant amidon de maïs', 'pâte de NOISETTE 2,6%', ' Pâte à choux ', '31,5%', ' OEUFS entiers pasteurisés*$ LAIT demi-écrémé farine ', 'farine de blé ', 'GLUTEN', 'GLUTEN de blé', 'eau BEURRE', 'sucre', 'sel', ' Décors ', '7,9%', ' AMANDES éffiiées 3,6%', 'nappage ', 'eau', 'sirop de glucose-fructose de blé', 'sucre gélifiants pectines-carraghénanes', 'acidifiants acide citrique phosphates de potassium - citrates de calcium', ' poudre à décor ', 'sucre', 'amidon de blé ', 'GLUTEN', 'beurre de cacao', ' OEUFS de poules élevées en plein air', "" Traces éventuelles d'AUTRES FRUITS A COQUE et de SOJA Les informations en majuscules sont destinées aux personnes gnto!érantes ou allergiques""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,340,1423 kj(340 kcal),21,"12,4","30,5","16,7","5,2","0,29","0,116",C,,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,21 g,en quantité élevée,12.4 g,en quantité élevée,16.7 g,en quantité élevée,0.29 g,en faible quantité,,-2%,-3%,-17%,-5%,+17%,+6%,-7%,-17%,-17%,18,+2%,D,+2%,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,"['E14XX - Amidons modifiés', ""E160aiv - Carotènes d'algues"", 'E420 - Sorbitol']",['Lidl'],,,,,,
391,Acérola 1000 Bio - 24 Comprimés - Super Diet,3428881112501,['Super diet'],,['France'],[],[],?,10,42 kj(10 kcal),10,10,10,10,10,10,4,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Quatuor Articulations Bio - 150 Gélules - Super Diet,3428881136002,['Super diet'],,['France'],[],[],?,15,63 kj(15 kcal),"0,1",0,"0,1","0,1","1,1",,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Rhodiola - Super Diet,3428881140108,['Super Diet'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Compléments alimentaires'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.superdiet.fr/page-produits.php?idProduit=453,,,
394,Chardon-Marie Bio - 90 Gélules - Super Diet,3428881140702,,"['EMB 75112W', 'Paris 12e  Arrondissement (Paris, France)']",['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Super Diet Spiruline,3428881143208,['Super diet'],,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,1","0,1","0,85",,,D,,,,"['Compléments alimentaires', 'Spiruline']","['Bio', 'Bio européen', 'FR-BIO-10']",,,,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-99%,-86%,-98%,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,
396,Onagre Bourrache,3428881145301,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Ginseng Panax Ca Meyer Bio - 150 Gélules - Super Diet,3428881160106,['Super diet'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Melatonile - 120 Gélules - Super Diet,3428881162506,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Quatuor Thé Vert Minceur Bio - 20 Ampoules - Super Diet,3428881232605,['Super Diet'],,['France'],"['extrait aqueux de Fenouil* ', 'Foeniculum vulgare va du/ce - semence', ' - Reine des prés* ', 'Filipendu/a ulmaria - sommil fleurie', ' - Thé vert* ', 'Camellia sinensis - feuille', ' - Bouleau* ', 'Bettli alba - feuille', ' *Ingrédient issu de [agricûlgurebio/ogique']",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Psyllium blond,3428881881001,,,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Gel D'aloe Vera à Boire 1 L - Super diet,3428881952008,['Super diet'],,['France'],"[""SUPER GEL DALOE VERA Pulpe d'Atoe Vera""]",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,transiphyt - Herbesan,3428883629601,['Herbesan'],,['France'],"['Rhubarbe ', 'racine', ' ', '907 mg*', ' - Guimauve ', 'racine', ' ', '152 mg*', ' - Rose pâle ', 'pétale', ' ', '152 mg*', ' - Artichaut ', 'bractée', ' ', 'support : maltodextrine antioxydant : acide citrique', ' ', '72mg*', '- Basilic ', 'feuille', ' ', '72 mg*', ' : Coriandre ', 'fruit', ' ', '72 mg*', ' Levure de bière ', 'gluten', ' ', '68 mg*', ' - Anti-agglomérant : phosphate tricalcique - Dextrine de pomme de terre - Ferments lactiques ', 'support : maltodextrine', ' : Bifidobacterium bifidum ', '1,6 mg*', 'Lactobacillus acidophilus ', '1,6 mg*', ' *Quantité pour 4 comprimés', ' Complément']",[],?,?,,?,,?,,?,,,,,,"['Boite', 'comprimé']",['Compléments alimentaires'],,,"['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E341iii - Phosphate tricalcique', 'E1400 - Dextrines']",,,,,,,
403,Confort Respiratoire Bio - 20 Sachets - Herbesan,3428883658304,['Herbesan'],,['France'],"['Thym* ', 'feuille', ' 54%', 'Eucalyptus* ', 'feume', ' 20%', 'Mauve* ', 'feuille', ' 13', '3%', 'Ecorce de citron* 6', '7%', 'Arôme naturel de citron avec autres arômes naturels 6%', "" *Ingrédients issus de l'agriculture biologique"", "" Conseils d'utilisation : Afin de pouvoir savourer toute l'intensité des arômes des plantes de votre infusion"", ""versez de l'eau frémissante sur un sachet à raison de 3 tasses par jour"", ' Laissez infuser pendant 3 minutes avant de déguster', "" Précautions d'emploi : Déconseillé aux enfants de moins de 12 ans"", 'aux femmes enceintes et allaitantes', ""et aux personnes souffrant d'allergie aux plantes de la famille des Lamiacées"", "" Déconseillé en cas d'inflammation gastro-intestinale ou biliaire"", 'et en cas de u maladies hépatiques', ' Il est recommandé de respecter les doses conseillées', 'de veiller à avoir une alimentation variée et équilibrée et un mode de vie sain', ' Tenir hors de la ortée des jeunes enfants']",[],?,2,8 kj(2 kcal),"0,5","0,1","0,5","0,4","0,5","0,03","0,012",,,,,['Boissons'],['Bio'],,,4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en faible quantité,0.03 g,en faible quantité,,-96%,-97%,+44%,-15%,-96%,-96%,+1%,-28%,-28%,2,-74%,C,-74%,,,,,,,,,,,,,,,
404,Halva pistache - Halva Superieure,3429220000282,['Halva Superieure'],,['France'],"['Ingrédients : - Tahini ', 'crème de sésames', ' 50% - Sirop de glucose + sucre 45% - Huile VÉGÉTALE', 'HYDR', 'MAX', ' 3% - Fruits secs 0,5% - Essence de vanilline']",[],?,540,2259 kj(540 kcal),"30,5","5,4",53,"41,5","13,7",0,0,,,,,,,,['Fruits à coque'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,L'oeuf bio Confiance -,3429640000541,,,['France'],[],[],?,?,,?,,?,,?,,,C,,,,"[""Produits d'élevages"", 'Œufs', 'Œufs frais', 'Oeufs labellisés biologiques']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,
406,Dejeunette,3429711000487,,"['EMB 35196', 'Mordelles (Ille-et-Vilaine, France)']",['France'],[],[],?,756,3163 kj(756 kcal),11,"4,1","0,5","0,5",20,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Boule blanche,3429711000531,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Fozza poulet - Casino,3429711501243,['Casino'],,['France'],"['Garniture huile épices et aromates', 'poulet arômes naturels', 'séchées courge fromage ', 'eau', 'huile v ', 'palme', 'protéines émulsifiants ', ""E33S-EE 'colorant"", 'E160', 'mczz enrichi', 'sel', 'E260', 'coagulant : 2,5%', 'poivrons jaun ', '42,6%', ': Farine BLE dur ', ""gluten? Fe extrait d'acérclè"", 'Traces de fruits à cc et de scia', "" Grain d'Or Gel -""]",['Huile de palme'],?,318,1331 kj(318 kcal),"8,4",4,41,"2,2",18,"1,8","0,72",,,,,,,,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E260 - Acide acétique'],['Casino'],,['Huile de palme'],,,,
409,Café en grain,3429731000115,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,E,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",,,,,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,
410,Miel de France d'acacia - Savimiel,3429960075014,['Savimiel'],,['France'],[],[],?,?,,?,,?,,?,,,B,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', ""Miels d'acacia""]",,['France'],,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
411,Les Saléfins -  - 250g,3430660002118,,,['France'],"['Farine de blé', 'sucre', ""beurre demi-sel d'Isigny AOP 24%"", 'oeufs de poule élevées en plein air']",[],?,508,2125 kj(508 kcal),"23,5","15,1","68,2","29,9","5,9","0,5","0,2",C,Sablés d'Asnelles,250 g,['Carton'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']","['Plein air', 'Œufs de poules élevées en plein air']",,"['Œufs', 'Gluten', 'Lait']",3,23.5 g,en quantité élevée,15.1 g,en quantité élevée,29.9 g,en quantité élevée,0.5 g,en quantité modérée,,+4%,+3%,+1%,+9%,+8%,+18%,-5%,-27%,-27%,24,+10%,E,+10%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,
412,Petits Pois Tres Fins - Danival,3431590000632,['Danival'],,['France'],"['jus : eau', ""sel marin non raffiné de l'Atlantique dorigine aoricole obtenu selon res règles de production bioloqiQue""]",[],?,87,364 kj(87 kcal),"0,4","0,1","12,7","1,8","5,4","0,6","0,24",,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Ratatouille - Danival - 340g,3431590000694,['Danival'],,['France'],[],[],?,89,372 kj(89 kcal),"6,9","0,8","4,8","2,7","1,2","0,7","0,28",B,,340 g,,"['Conserves', 'Plats préparés', 'Soupes', 'Légumes préparés', 'Ratatouilles']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France', 'Biopartenaire']",,,,6.9 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,0.7 g,en quantité modérée,,+31%,+33%,+84%,+48%,-6%,-31%,+2%,-2%,-2%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,
414,"Ravioli au Tofu, Tomates & Olives - Danival - 670g",3431590001721,['Danival'],,"['Belgique', 'France']","['Eau', 'tomates 21% ravioli tofu', 'olives', 'semoule soja']",[],?,98,410 kj(98 kcal),"5,3","0,6","9,7","2,2","2,2","1,01","0,404",B,,670 g,"['Bocal', 'Verre', 'Conserve', 'métal']","['Conserves', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies aux légumes', 'Ravioli', 'Plats préparés en conserve', 'Raviolis aux légumes', 'Ravioli en conserve']",['Bio'],,,3,5.3 g,en quantité modérée,0.6 g,en faible quantité,2.2 g,en faible quantité,1.01 g,en quantité modérée,,-37%,-35%,+26%,-39%,-55%,-22%,-55%,+6%,+6%,3,+52%,C,+52%,69.0%,12.8%,6.9%,6.1%,3.0%,2.2%,77,,,['France'],,,,,
415,Sauce de soja bio tamari - Danival - 1L,3431590002827,['Danival'],,['France'],"['eau', 'soja ', '15%', 'sel', 'alcool', 'ferment ', 'Aspergillus oryzae']",['Sans huile de palme'],?,80.2,336 kj(80 kcal),0,0,"5,78","1,81","14,28","16,14","6,456",A,sauce soja,1 L,"['Bouteille', 'Verre']","['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Tamaris']","['Bio', 'Bio européen', 'Sans OGM', 'Sans conservateurs', 'AB Agriculture Biologique']",,['Soja'],3,0 g,en faible quantité,0 g,en faible quantité,1.81 g,en faible quantité,16.1 g,en quantité élevée,,+3%,+2%,-100%,-100%,-8%,+56%,+28%,+29%,+29%,10,+31%,C,+31%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,
416,Aubergines à la Provençale - Danival - 670g,3431590007075,['Danival'],,['France'],"['Aubergines du sud-ouest de la ', '42%', 'eau', 'tomates* ', '18%', ' ', 'tomates cubetées* et concentré*', 'oignons*', 'huile diolives extra vierge extraite à froid*', 'huile de tournesol désodorisée*', 'crème de riz*', 'ail*', ""sel marin non raffiné de l'Atlantique"", 'basilic* ', '0,7%', 'poivre*', 'romarin* ', '0,01%', 'origan*', ' *ingrédients biologiques', 'Bio Solidaire contrôlée par Ecocert Environnement']",[],?,94,393 kj(94 kcal),"7,2","0,9","5,6","2,7","0,9","0,8","0,32",,,670 g,,"['Conserves', 'Plats préparés', 'Soupes']","['Bio', 'Biopartenaire']",,,3,7.2 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en faible quantité,0.8 g,en quantité modérée,,+65%,+66%,+271%,+49%,-3%,+56%,-59%,-8%,-8%,3,+83%,C,+83%,,,,,,,,,,,,,,,
417,Légumes Pour Couscous - Danival - 525g,3431590007167,['Danival'],,['France'],"['Légumes* ', '59%', ' ', 'carottes* ', '17%', 'courgettes* ', '17%', 'oignons* ', '10%', 'rutabaga* ', '10%', 'pois chiches* ', '5%', 'eau', ' concentré de tomate 28%*', ""huile d'olive extra vierge extraite à froid* "", '2,5%', 'raisins secs* ', '2%', 'amidon natif de mais*', ""sel marin non raffiné de l'Atlantique"", 'ail*', 'cumin*', ""mélange d'épices Raz El Hanout*"", '\r*ingrédients biologiques']",[],254,61,254 kj(61 kcal),"2,7","0,4","7,2","3,1","1,3","0,9","0,36",,,525 g,"['Bocal en verre', 'Couvercle en métal']","['Conserves', 'Plats préparés', 'Légumes préparés']",['Bio'],,,3,2.7 g,en faible quantité,0.4 g,en faible quantité,3.1 g,en faible quantité,0.9 g,en quantité modérée,-25%,-32%,-32%,-41%,-44%,+4%,-2%,-37%,+24%,+24%,-3,-863%,A,-863%,,,,,,,,,,,,,,,
418,Poki bio pirée pomme mangue - Danival,3431590010167,['Danival'],,['France'],[],[],?,63,264 kj(63 kcal),"0,2",0,"13,9",11,"0,3",0,0,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']","['Bio', 'Bio européen', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,,0.2 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0 g,en faible quantité,,-3%,-3%,-39%,-100%,-3%,-15%,-20%,-100%,-100%,-5,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,
419,Salade blé et légumes d'été - Danival - 180g,3431590012741,['Danival'],,['France'],"['Blé précuit* ', '29,6%', 'carottes*', 'maïs* ', '14,8%', 'poivrons rouges* ', '14,8%', 'tomates* cubetées ', '14,8%', 'oignons* ', '1,5%', 'huile de tournesol* désodorisée', 'vinaigre de vin*', 'sel marin de l’Atlantique non raffiné', 'persil* ', '0,3%', 'ail*', 'poivre* ', '<0,1%', ""\r * ingrédients issus de l'agriculture biologique""]","['Végétalien', 'Végétarien']",514,123,514 kj(123 kcal),"5,4","0,6","14,1","2,7","2,9","1,4","0,56",,salade à base de grains de blé précuits et de légumes assaisonnés issus de l'agriculture biologique,180 g,"['Barquette', 'Frais']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Plats préparés', 'Aliments et boissons à base de légumes', 'Céréales en grains', 'Frais', 'Salades', 'Salades composées', 'Plats préparés frais', ""Plats préparés d'origine végétale""]","['Bio', 'Végétarien', 'Ecocert', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans bisphénol-A', 'Sans aluminium', 'Sans phtalates']",['Union européenne'],['Gluten'],3,5.4 g,en quantité modérée,0.6 g,en faible quantité,2.7 g,en faible quantité,1.4 g,en quantité modérée,+259%,+193%,+197%,+774%,+456%,+104%,-41%,+132%,+289%,+289%,3,,C,,,,,,,,,,"['Botanic', 'la vie claire', ""l'eau vive"", 'Biocoop']",['France'],,https://www.danival.fr/fr/produits/salades/salade-de-bl%C3%A9-aux-l%C3%A9gumes-d%C3%A9t%C3%A9-bio-180g,,,
420,Soupe champignons et touche de crème - Danival,3431590012895,['Danival'],,['France'],[],[],?,38,159 kj(38 kcal),"1,9","1,2","3,7","0,5",1,"0,74","0,296",,,,,"['Plats préparés', 'Soupes']",['Bio'],,,,1.9 g,en faible quantité,1.2 g,en faible quantité,0.5 g,en faible quantité,0.74 g,en quantité modérée,,-33%,-33%,-2%,+99%,-36%,-71%,-55%,-14%,-14%,4,+144%,C,+144%,,,,,,,,,,,,,,,
421,Purée Pomme & Myrtille 100% Fruit Bio Sans Sucres Ajoutés - Danival - 400g (4 * 100g),3431590013564,['Danival'],,['France'],"['purée de pommes françaises ', '89%', 'purée de myrtilles ', '11%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,61,255 kj(61 kcal),"0,2",0,"13,4","10,3","0,3","0,01","0,004",B,,400 g (4 * 100 g),"['Pot', 'Plastique', 'Etuii', 'Carton']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes myrtille']","['Peu ou pas de sucre', 'Bio', 'Bio européen', 'Fabriqué en France', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,1,0.2 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité modérée,0.01 g,en faible quantité,,-5%,-5%,-34%,-100%,-10%,-22%,-19%,+39%,+39%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,['Bio14'],,,http://www.danival.fr/fr/produits/pur%C3%A9es-100-fruit/09-pur%C3%A9e-100-fruit-pomme-myrtille-4-x-100g,,,
