,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,packaging,categories,ingredients_origins,manufacturing,traceability_code,additives,eco_score,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,generic_name,link,palm_ingredients,brand_owner
1821,Miel de garrigue - Jean Luc Faure - 250gr,3770003343110,['Jean Luc Faure'],['France'],['miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,250gr,,['Pot en verre'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', 'Miels de garrigue']",['France'],,,,A,,2,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
1822,Amaranth Riegel Zartbitter - DmBio - 25g,4010355563439,['DmBio'],['France'],[],[],?,497,2079 kj(497 kcal),27,16,50,33,"9,8","0,01","0,004",25 g,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'Fabriqué en Allemagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Poulet de Loué,0217013041061,,['France'],[],[],?,?,,?,,?,,?,,,,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Flavor Drops chocolat - Ironmaxx,4260426834535,['Ironmaxx'],['France'],"['Eau', 'arôme', 'édulcorant ', 'sucralose']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,['E955 - Sucralose'],,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Piperade au chorizo,3760265900169,,['France'],[],[],?,122,510 kj(122 kcal),"6,2","1,3",13,11,3,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Spiruline de petite Camargue - Algosud - 80g,3760137680083,['Algosud'],['France'],"[""Spiruline déshydratée 350 mg par gélules soit 79%Agent d'enrobage d'origine végétale:Hypromellose 95 mg par gélules soit 21%""]",[],?,379,1586 kj(379 kcal),"6,9","3,8",18,"0,5",62,"2,5",1,80g,"['100% naturel', '100% végétal']",['pot 180 gellules en plastique'],"['Compléments alimentaires', 'Spiruline']",,,,['E464 - Hydroxypropylméthylcellulose'],E,,4,6.9 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,+51%,+50%,+89%,+197%,+75%,-28%,+25%,+117%,+117%,17,+248%,D,+248%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,
1827,Sante Verte Toniphyt Boost,3700695201306,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,"Galettes de haricots blancs germés, tomate et basilic - Gaia - 2x 100g",,['Gaia'],['France'],"['Blé germé* 71,5 %', 'haricots blancs germés* 13,3 %', 'huile de tournesol*', 'flocons d’avoine*', 'tomates en poudre* 1,7 %', 'farine de blé T80*', 'sel marin', 'basilic* 0,4 %*', '\r * issu de l’agriculture biologique']",[],?,298,1247 kj(298 kcal),"10,8","1,17","46,8",7,"7,9","0,78","0,312",2 x 100 g,"['Bio', 'Bio européen', 'FR-BIO-01']","['sous vide', 'Carton']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Pains', ""Plats préparés d'origine végétale"", 'Pains spéciaux']",,['Graulhet (81) Fance'],,,,"['Gluten', 'Blé germé', 'Flocons d’avoine']",3,10.8 g,en quantité modérée,1.17 g,en faible quantité,7 g,en quantité modérée,0.78 g,en quantité modérée,,+2%,+2%,+111%,+31%,-4%,+58%,-15%,-36%,-36%,-1,-127%,A,-127%,,,,,,,,['Botanic'],galettes de céréales germées,https://www.gaia-bio.fr//galettes-de-cereales-germees/galettes-de-cereales-germees-haricots-blancs-tomates-2-x-100-g/,,
1829,3250391698646,3250391698646,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Jus d'ananas,79828604,,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,11,0,0,0,,['Fabriqué en France'],,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",,,,,D,,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,-10%,-11%,-100%,-100%,-6%,-2%,-100%,-100%,-100%,5,-3%,C,-3%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
1831,Pinko,4250129880021,,['France'],[],[],?,440,1841 kj(440 kcal),17,"8,5","67,7",41,4,"0,5","0,2",,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Sirop Franboose,8718906881297,,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,5","6,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Le Pavé aux céréales,0203641007548,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Muesli - Natursoy,8428159000825,['Natursoy'],['France'],[],[],?,385,1611 kj(385 kcal),12,"1,5",51,7,13,"0,1","0,04",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,,,,B,,,12 g,en quantité modérée,1.5 g,en quantité modérée,7 g,en quantité modérée,0.1 g,en faible quantité,,-7%,-7%,-8%,-55%,-16%,-59%,+32%,-43%,-43%,1,-80%,B,-80%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,
1835,2010000007310,2010000007310,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Croissant - E Leclerc - 4,0269403017385,['E Leclerc'],['France'],[],[],?,?,,?,,?,,?,,,4,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,,,,
1837,Palmito recette feuilleté caramélisėe,59364795,,['France'],[],[],?,547,2289 kj(547 kcal),31,16,59,18,"6,3","1,61","0,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,3760200980164,3760200980164,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,Proteines - Optimum nutrition,5060469985541,['Optimum nutrition'],['France'],[],[],?,383,1602 kj(383 kcal),"6,8","2,3","5,4","3,9",75,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Pâte forestier au cèpes petit moule,2313753013943,,['France'],[],[],?,289,1209 kj(289 kcal),25,10,5,3,11,2,"0,8",,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,4 filets de poulet fermier,2452903068096,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
