,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,generic_name,link,brand_owner,palm_ingredients
20,Yaourts au lait entier sur lit d'abricot GAEC DU LATHAN,3760182700330,['France'],[],[],?,84,"3,7","12,2",0,,351 kj(84 kcal),"2,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Farine blanche,3000000797327,['France'],[],[],?,359,"0,9","73,32","12,47",,1502 kj(359 kcal),"0,27","1,83","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Amarzttini classici - 100g,8008560009282,['France'],[],[],?,434,10,78,"6,5",,1816 kj(434 kcal),"0,7",76,"0,15","0,06",['Fabriqué en Italie'],100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Aiguillettes de poulet blanc,3250392078553,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,,,,,,,,,,,,,,,,,,,,
24,My coffee Creamer - Régilait - 200g,3043938800066,['France'],[],['Sans huile de palme'],?,550,35,57,2,['Régilait'],2301 kj(550 kcal),32,"8,5",1,"0,4","['Fabriqué en Allemagne', 'Sans lactose', 'en:palm-oil-free']",200g,,"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Boissons au café', 'Boissons lactées au café']",,,+184%,+491%,+104%,-64%,,,,,,,,['Plastic'],,,,,,35 g,en quantité élevée,32 g,en quantité élevée,8.5 g,en quantité élevée,1 g,en quantité élevée,+199%,+621%,-60%,+162%,+162%,30,+114%,E,+114%,,,,,
25,3760032566567,3760032566567,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Beignet de Courgettes,2274621037396,['France'],[],[],?,238,"18,5",13,"4,9",,996 kj(238 kcal),"2,4","1,3",1,"0,4",,,,,,,,,,,,,,,,,,,,"['FR 38.269.007 CE', 'Mure (Isère, France)']",,,,,,,,,,,,,,,,,,,,,,,,,
27,SEK elma suyu,8692095021033,['France'],[],[],?,44,0,11,"0,5",,184 kj(44 kcal),0,11,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Happy clown - Haribo,3567741001897,['France'],[],[],?,503,32,48,"4,6",['Haribo'],2105 kj(503 kcal),"5,6",31,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Orecchiette -  - 500g,8031175058703,['France'],"['Semoule de blé dur', 'eau', ' Fabriqué dans un atelier qui utilise: oeufs', 'fruits à coue', 'poisson', 'mollusques', 'sulfites et soja']","['Non végétalien', 'Non végétarien']",?,350,"1,4",71,13,,1464 kj(350 kcal),1,"2,2","0,26","0,104",,500 g,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Orecchiette']",,,+2%,-1%,+5%,+10%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,"['Œufs', 'Poisson', 'Mollusques', 'Soja', 'Anhydride sulfureux et sulfites']",1,1.4 g,en faible quantité,1 g,en faible quantité,2.2 g,en faible quantité,0.26 g,en faible quantité,+2%,+195%,-17%,+715%,+715%,0,,B,,,,,,
30,Haribo Kindermix 650gram,4001686709610,['France'],[],[],?,335,"0,5",80,"1,9",['Haribo'],1402 kj(335 kcal),"0,1",45,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Tisane Menthe Tilleul Verveine Bio - Baronny's - 24g,3700496339253,['France'],[],[],?,?,?,?,?,"[""Baronny's""]",,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",24 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Carottes rapés,8436012840884,['France'],[],[],?,39,"0,24",0,"0,93",,163 kj(39 kcal),"0,04",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Appleton Estate Rare Blend 12 Years Old Rum,5024576191103,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Mix 4 saisons,3760232871157,['France'],[],[],?,403,"5,9","59,3","16,3",,1686 kj(403 kcal),"2,5","5,1","0,2","0,08",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Vinus,3760040432465,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Tome de savoie - Carrefour,2258932021978,['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,['AOP'],,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de Savoie']",['Carrefour'],,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Dairy milk - Cadbury,8901233035956,['France'],[],[],?,?,?,?,?,['Cadbury'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Jus de pomme à base de concentré - Leader Price,3036855092409,['France'],[],[],?,40,0,"9,9",0,['Leader Price'],167 kj(40 kcal),0,"9,5","0,02","0,008",,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pomme', 'Jus de pomme à base de concentré']",['Leader Price'],,-9%,-100%,-6%,-100%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0.02 g,en faible quantité,-10%,-100%,-6%,+292%,+292%,3,-22%,C,-22%,,,,,
39,Functional Muesli,4751019530762,['France'],[],[],?,378,"7,8","62,9","8,7",,1582 kj(378 kcal),"2,9","15,3","0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Biscottes - 300g,3243785050038,['France'],[],[],?,382,"3,6","75,3","10,1",,1598 kj(382 kcal),"0,4","7,8","1,25","0,5",,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Miel de châtaignier - Baramel - 500g,3594480005411,['France'],[],[],?,?,?,?,?,['Baramel'],,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",500 g,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Amaretti Bauli 450 gr, 1 Pièce",8001720447788,['France'],[],[],?,406,19,51,"6,7",['Bauli'],1699 kj(406 kcal),"9,5",30,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
