,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,generic_name,link,brand_owner,palm_ingredients
754,Pain au 2 lins,2644726009381,['France'],[],[],?,264,5,"40,5",10,,1105 kj(264 kcal),"0,6","3,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Rillons confits,2238503035368,['France'],[],[],?,287,21,"0,4",24,,1201 kj(287 kcal),"8,4","0,4","1,6","0,64",['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Fondant au chocolat au blé noir - Bertel,3337040002495,['France'],[],[],?,475,29,46,"6,2",['Bertel'],1987 kj(475 kcal),18,31,"0,4","0,16",['en:produced-in-bretagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,purée pomme pruneaux sans sucre ajouté - baccara - 800g (2x (4x100g) ),2095110,['France'],['purée de pommes 70%purée de pruneaux 30%anti-oxydant : acide ascorbique'],[],?,82,"0,5",18,"0,5",['Baccara'],343 kj(82 kcal),"0,1",15,"0,025","0,01",,800 g (2x (4x100g) ),,['Desserts'],,,-54%,-93%,-24%,-84%,,,,,,,,['8 pots de 100 g'],['France'],,,,1,0.5 g,en faible quantité,0.1 g,en faible quantité,15 g,en quantité élevée,0.0254 g,en faible quantité,-53%,-97%,-18%,-81%,-81%,4,-41%,C,-41%,,,,,
758,Petit écolier chocolat blanc -,4339336235975,['France'],[],[],?,499,22,67,"6,3",,2088 kj(499 kcal),14,43,"0,66","0,264",,,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Petits beurres', 'Petit beurre au chocolat']",,,-1%,-9%,+6%,-7%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,22 g,en quantité élevée,14 g,en quantité élevée,43 g,en quantité élevée,0.66 g,en quantité modérée,-1%,-7%,+20%,+20%,+20%,27,+13%,E,+13%,,,,,
759,Cookikao,3700774300760,['France'],[],[],?,546,38,49,"1,7",,2284 kj(546 kcal),"5,2",33,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Monsieur Madame,3395503039969,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,The limone con infuso di the - Coop - 500ml,8001120826404,['France'],"['acqua', 'infuso di the da concentrato ', 'acqua', 'the 13%', 'zucchero', 'succo di limone da concentrato 0,21 %', 'aromi', 'estratto di the', 'acidificante: acido citrico', 'antiossidante: acido L-ascorbico']",[],143,?,0,"8,4",0,['Coop'],143 kj(34 kcal),0,"8,4",0,0,['en:gluten-free'],500 ml,,"['Boissons', 'Boissons sans alcool']",,-21%,,-100%,-3%,-100%,,,,,,,,['Plastica'],['Casalecchio di Reno BO'],,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,4,0 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité élevée,0 g,en faible quantité,-14%,-100%,+14%,-100%,-100%,11,+56%,E,+56%,,,I,,
762,3033124680107,3033124680107,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Huile vierge argan bio - Mille et Une Huiles - 100ml,3700073111029,['France'],[],[],?,900,100,0,0,['Mille et Une Huiles'],3766 kj(900 kcal),19,0,0,0,"['Bio', 'Bio européen', 'Agriculture Maroc']",100 ml,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Huiles d'argan""]",,,+11%,+9%,,,,,,,,,,,,,,,,100 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+9%,+10%,,,,12,+8%,D,+8%,['Maroc'],,,,
764,Miellats du maquis,3354130888883,['France'],[],[],?,?,?,?,?,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Promo Lot De 6 Touch Organic Thé Blanc à L'abricot Bio,0871561004734,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar', 'en:CN-BIO-154']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Pata'light,3367270010175,['France'],[],[],?,525,41,45,9,,2197 kj(525 kcal),8,"4,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Granola Rise and shine - Nümorning - 350g,3760287220184,['France'],"['flocons davoine', ""pomme'"", ""sucre de coco'"", 'noix de coco rapee', ""huile de colza'"", 'noix de coco chips* 6%', ""graines de tournesol'"", 'baies de goji 3%', 'noix de pécan 3%', "" ingrédients issUS de lagriculture biologique CONSEILS DE DÉGUSTATION l existe de multiples façons d'apprécier nos recettes de granola: avec du lait"", 'un fromage blanc ou dessert végétal et des fruits frais', 'mais également pour votre dessert ou vos en-cas pour leur apporter une touche croustillante', 'saine et gourmande!']",['Non végétalien'],?,393,"22,2","35,4","8,4",['Nümorning'],1644 kj(393 kcal),"8,7","12,1",0,0,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-15', 'Sans additifs', 'Sans conservateurs']",350 g,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,,,,,,,,,,,,,,,,,
768,Vitamilk,8851028000815,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Bio - Pomme - banane - fraise - Vergers Gourmand - 4x100g,41349960,['France'],"['Spécialité de fruits à la pomme', 'à la fraise et à la banane', ""issue de l'agriculture biologique"", ' Sans sucres ajoutés', 'contient des sucres naturellement présents', ' Ingrédients 60 % pomme', '20% fraise', '20% purée de banane', "" 1issue de l'agriculture biologique""]",[],259,61,"0,5","12,2","0,6",['Vergers Gourmand'],259 kj(61 kcal),"< 0,1","9,5","< 0,01","0,004","['Bio', 'Bio européen', 'DE-ÖKO-070', 'Agriculture UE/Non UE', 'Sans sucre ajouté']",4x100g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",,-5%,-2%,+37%,-10%,+48%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,1,0.5 g,en faible quantité,0.1 g,en faible quantité,9.5 g,en quantité modérée,0.01 g,en faible quantité,-2%,-24%,-24%,+7%,+7%,-3,,A,,,,,,
770,Tetley,5014328009930,['France'],[],[],?,?,?,?,?,['Tetley'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,BLEDINA COUPELLES FRUITS 12x100g Pommes Kiwis Ananas / Pommes Pêches Biscuit Dès 8 Mois - 1200g,3041091400413,['France'],"['Blédina Coupelles 6x100g Pommes Kiwis Ananas : Pommes 80,2 % - Kiwi 10,0 % - Ananas 9,70 % - Vitamine C Blédina Coupelles 6x100g Pommes Pêches Biscuit : Pommes 45,3 % - Pêches 35,0 % - Eau - Biscuit 5,00 % - ', 'Farine de blé ', 'GLUTEN', ' - Sucre - Beurre ', 'LAIT', ' - Lactosérum en poudre ', 'LAIT', ' - Poudre à lever : Carbonate de Potassium - Acidifiant : Acide citrique - Arôme naturel de vanille', ' - Jus de citron reconstitué à base de jus concentré - Vitamine C']",['Non végétalien'],253,60,"0,7","11,9","0,8","['Blédina', 'Offre sucree']",253 kj(60 kcal),"0,027","8,2","0,02","0,008",,1200 g,,,,,,,,,,,,,,,,,,,"['E501i - Carbonate de potassium', 'E330 - Acide citrique']","['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,Blédina Coupelles 6x100g Pommes Kiwis Ananas Dès 8 mois : Purée de fruits adaptée à bébé. Blédina Coupelles 6x100g Pommes Pêches Biscuit Dès 8 mois : Purée de fruits au biscuit adaptée à bébé.,,,
772,Sauce wok à l'huile et a l'ail,5010928050433,['France'],[],[],?,246,"0,7","57,5","2,7",,1029 kj(246 kcal),"0,1",36,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Fraises ciflorette - Monoprix,3350030220082,['France'],[],[],?,?,?,?,?,['Monoprix'],,,,,,['Triman'],,,,['Monoprix'],,,,,,,,,,,,,,,"['EMB 47004', 'Aiguillon (Lot-et-Garonne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,
774,Chocolat de paques - Aldi,26037738,['France'],[],[],?,519,28,62,"5,2",['Aldi'],2171 kj(519 kcal),14,60,"0,17","0,068",,,,['Aliments de Pâques'],,,-6%,-17%,+15%,-21%,,,,,,,,,,,,,,28 g,en quantité élevée,14 g,en quantité élevée,60 g,en quantité élevée,0.17 g,en faible quantité,-6%,-31%,+15%,-14%,-14%,26,-0%,E,-0%,,,,,
775,Gangloff bierre bisontine,3770007175014,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Olive,8697436560318,['France'],[],[],?,260,28,0,"2,08",,1088 kj(260 kcal),"4,95",0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Sandwich Thon Oeuf,3496100002254,['France'],[],[],?,224,"8,9","25,8","9,7",,937 kj(224 kcal),"1,2","0,8",1,"0,4",['Point Vert'],,,"['Sandwichs', 'Sandwichs au poisson']",,,-1%,+2%,-1%,+1%,,,,,,,,,,,,,,8.9 g,en quantité modérée,1.2 g,en faible quantité,0.8 g,en faible quantité,1 g,en quantité modérée,-1%,-17%,-75%,-15%,-15%,2,-20%,B,-20%,,,,,
778,Herbamare - A.vogel - 90,3035626423817,['France'],[],[],?,?,?,?,?,['A.vogel'],,,,,,,90,B,"['Epicerie', 'Condiments', 'Sels']",,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Cervelas de cheval x1,5410827032064,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Cerveza Premium Verum - Warsteiner,4000856054529,"['France', 'Espagne']",[],[],?,?,?,?,?,['Warsteiner'],,,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,"Fraise poire + pomme - sonatural - 12,5",5603493007171,['France'],[],[],?,64,"0,5",15,"0,3",['Sonatural'],268 kj(64 kcal),"0,03",13,"0,01","0,004",['Point Vert'],"12,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,4 beignets choco noisette,0241253025918,['France'],[],['Sans huile de palme'],?,385,18,47,"6,5",,1611 kj(385 kcal),2,19,"0,71","0,284",['en:palm-oil-free'],,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,+8%,+14%,+4%,+3%,,,,,,,,,,,,,,18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,+8%,-42%,+17%,-4%,-4%,12,0%,D,0%,,,,,
783,Cidre artisanal - Le terroir,3760023670402,['France'],[],[],?,?,?,?,?,['Le terroir'],,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux', 'Cidres artisanaux', 'Cidres doux']",,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Bonito de norte - Orbe,8412370550979,['France'],[],[],?,204,12,0,24,['Orbe'],854 kj(204 kcal),"1,9",0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Chevre frais,3760080580164,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,"Sorbet plein fruit FRAMBOISE BIO, 45% de fruit - HDG - 750ml (487.5g)",3267180390964,['France'],"['Purée de framboise* 45%', 'eau', 'sucre pure canne blanc*', 'sirops de glucose-fructose*', 'stabilisants : pectine', 'farine de graines de caroube*', 'farine de graines de guar*', ""\r*Ingrédients issus de l'agriculture biologique"", '\r**Conformément à la réglementation sur le mode de production biologique']",[],?,122,"0,2","30,8","0,6","['HDG', 'Histoires De Glaces']",510 kj(122 kcal),0,"26,1",0,0,"['Bio', 'Bio européen', 'en:gluten-free', 'Point Vert', 'Fabriqué en France', 'Sans colorants', 'AB Agriculture Biologique', 'Triman']",750 ml (487.5 g),C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la framboise']",,,+4%,-13%,+13%,+7%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,['Barquette'],['Reventin-vaugris'],,"['E440 - Pectines', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",,4,0.2 g,en faible quantité,0 g,en faible quantité,26.1 g,en quantité élevée,0 g,en faible quantité,+4%,-100%,+11%,-100%,-100%,5,+6%,C,+6%,,Sorbet plein fruit Framboise BIO,,,
787,Laugenstange (zum Selberbacken) - Bofrost,69018770,['France'],[],[],?,249,"3,9","45,1","7,4",['Bofrost'],1042 kj(249 kcal),"0,5","2,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Tripes béarnaises,3272931009040,['France'],[],[],?,92,"5,3","1,7","7,7",,385 kj(92 kcal),"1,5","1,4","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Brownies,0202199012462,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Naturnes - Nestlé,7613036737319,['France'],[],[],?,116,"3,4","15,8","4,6",['Nestlé'],485 kj(116 kcal),"0,4",8,"0,68","0,272","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,4 biscuits lait choco - Gerblé,3175668464871,['France'],[],[],?,416,19,62,"9,2",['Gerblé'],1741 kj(416 kcal),"3,2",25,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Poudre de piment d'espelette AOP,3760267290152,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,7898210050150,7898210050150,['France'],[],[],?,?,?,?,?,,,,,,,"['Halal', 'A Votre Service']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Cœurs d’artichauts - Hôte à - 800g,3439495024449,['France'],[],[],?,?,?,?,?,['Hôte à'],,,,,,['Fabriqué en Espagne'],800g,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve']",,,,,,,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Conchiglioni - Pietro castelli,8018338000038,['France'],[],[],?,312,"1,05","61,1","12,68",['Pietro castelli'],1305 kj(312 kcal),"0,15","3,1","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Cappucino - Caprimo - 1Kg,7350022390058,['France'],"['Sucre', 'laitécrémé  en  poudre', ' sirop  de  glucose', ' café  instantané  ', '7  %', ' graisse végétale  entièrement  hydrogénée  ', 'coco', ' lactose  ', 'lait', '  poudre de cacao fortement dégraissé  ', '5%', ' lactosérum', ' ', 'lait', ' stabilisant  ', 'E340', ' E452', ' sel', ' protéine  de lait', 'antiagglomérant', 'E341', 'émulsifiant ', 'E471', 'arôme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1700,?,7,78,"7,6",['Caprimo'],1700 kj(406 kcal),"6,6",77,"0,9","0,36",,1 Kg,,,,,,,,,,,,,,,,,,['VM-53201-V17'],"['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Lait'],4,,,,,,,,,,,,,,,,,,,Caprimo Cappuccino Choco,,,
797,Sweet marinade,3302768000504,['France'],[],[],?,301,31,"4,2","2,9",,1259 kj(301 kcal),"3,8","2,9","2,5",1,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Foie Gras de Canard Entier du Sud-Ouest,3432770048055,['France'],[],[],?,588,62,"1,6","5,9",,2460 kj(588 kcal),28,"1,3","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Citron jaune - Frutas Antonete - 1000grs,8426075000028,['France'],[],[],?,?,?,?,?,['Frutas Antonete'],,,,,,,1000grs,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Extrême façon mojito - Nestlé,7613036833035,['France'],"['eau', 'sucre', 'sirop de glucose', 'farine de blé', 'jus de citron vert à base de concentré ', '8,5%', 'huiles végétales ', 'palme', 'coco', 'tournesol', 'alcool rhum gélifié ', '1,9% ', ' ', 'rhum', 'gélifiant ', 'gomme xanthane', 'cacao maigre en poudre', 'émulsifiant ', 'lécithines ', 'soja', 'E491*', 'gélifiants ', 'pectines', 'farine de graines de caroube', 'gomme guar', 'gomme xanthane', 'gomme Tara', 'beurre de cacao', 'jus concentré de citron vert ', '0,4%', 'lactose et protéines de lait', 'acidifiant ', 'acide citrique', 'arômes naturels', 'protéines végétales hydrolysées ', 'pois', 'concentrés végétaux ', 'carthame', 'spiruline', 'sel', 'amidon', 'arôme naturel de citron', 'maltodextrines', 'arôme naturel de citron vert avec autres arômes naturels', 'arome naturel de citron vert', 'antioxydants ', 'E304', 'E307', ' Peut contenir: arachides', 'fruits à coque et oeuf', "" *d'origine végétale""]","['Huile de palme', 'Non végétalien']",?,231,6,41,"1,5",['Nestlé'],967 kj(231 kcal),"3,2",28,"0,07","0,028",['Produits faisant référence au Mojito'],,,,,,,,,,,,,,,,,,,,"['E415 - Gomme xanthane', 'E322i - Lécithine', 'E491 - Monostéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E417 - Gomme tara', 'E330 - Acide citrique', 'E304 - Acide palmityle-6-L-ascorbique', 'E307 - Alphatocophérol']","['Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,"['Huile de palme', ""E304 - Palmitate d'ascorbyle""]"
801,Croissants pur beurre -,0260138013123,['France'],[],[],?,260,16,26,5,,1088 kj(260 kcal),10,4,"0,533","0,213",,,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",,,-33%,-26%,-38%,-33%,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,,,,,,16 g,en quantité modérée,10 g,en quantité élevée,4 g,en faible quantité,0.533 g,en quantité modérée,-33%,-25%,-49%,-44%,-44%,13,-30%,D,-30%,,,,,
802,pain aux olives vertes et blanches,0260059008864,['France'],[],[],?,252,"2,4",48,"8,2",,1054 kj(252 kcal),"0,4","2,2","1,63","0,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Biona Organic Spelt Fusilli Tricolore,5032722311121,['France'],[],[],?,381,"1,1","78,4","10,5",,1594 kj(381 kcal),"0,3","1,7",0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Kinder,12425860,['France'],[],[],?,?,?,?,?,['Kinder'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Cèpes classe,3550704052050,['France'],[],[],?,310,"4,7","24,5","32,5",,1297 kj(310 kcal),"0,7","9,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,soda mix cola - Sodastream,8718692613652,['France'],[],[],?,0,0,0,0,['Sodastream'],0 kj(0 kcal),0,0,"0,084","0,034",['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Chouquettes - Leader Price,3263856790410,['France'],[],[],?,?,?,?,?,['Leader Price'],,,,,,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,5060042942565,5060042942565,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,Zest - Gout Mojito,3244850003904,['France'],[],[],?,?,?,?,?,,,,,,,['Produits faisant référence au Mojito'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Urchiges Steinofenbrot - Migros Bio,7613269850861,['France'],[],[],?,249,"2,5",45,10,['Migros Bio'],1042 kj(249 kcal),"0,5","2,5","1,5","0,6",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,Jambon braise superieur,2637603026175,['France'],[],[],?,137,"5,82","0,91","20,2",,573 kj(137 kcal),"2,13","0,77","1,87","0,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Abricot sec,2600110039235,['France'],[],[],?,283,"0,5","62,6","3,4",,1184 kj(283 kcal),"0,02","53,4","0,02","0,008",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,+8%,+3%,+8%,+10%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0.02 g,en faible quantité,+8%,-67%,+18%,-43%,-43%,6,+73%,C,+73%,,,,,
813,"Cidre du pays de Plouay ""La bolée paysanne"" - Famille Martin - 75cl",3770008349063,['France'],[],[],?,?,?,?,?,['Famille Martin'],,,,,,,75cl,D,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']",,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Lizis low sugar granola,5060092030939,['France'],[],[],?,501,"27,1","45,2","14,2",,2096 kj(501 kcal),"4,2","3,8","0,021","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Compote,3760230730081,['France'],[],[],?,?,?,?,?,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Kusmi tea,7613037056136,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,Volaille filet de poulet - Intermarché - 554kg,2887873041785,['France'],[],[],?,?,?,?,?,['Intermarché'],,,,,,,554kg,,['Volaille de pouler'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Yaourt Arôme Fraise au Bon Lait entier - les 30 fermes cant'avey'lot - 4x 125g,3760072800058,['France'],"['lait entier', 'poudre de lait', 'sucre', 'arôme naturel fraise', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,90,"3,4",12,"3,3","[""les 30 fermes cant'avey'lot""]",377 kj(90 kcal),"1,9",11,"0,1","0,04",['Bleu Blanc Cœur'],4x 125g,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts entiers']",,,-1%,-4%,+10%,-6%,,,,,,,,['Pot'],,,,['Lait'],4,3.4 g,en quantité modérée,1.9 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,-1%,-17%,+7%,-10%,-10%,2,-20%,B,-20%,,,,,
819,8436538081921,8436538081921,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Yaourt arôme citron au bon lait entier,3760072800065,['France'],[],[],?,91,"3,3",12,"3,2",,381 kj(91 kcal),"1,9",11,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Minervois,3512871248841,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Basilic,3760202650065,['France'],[],[],?,38,"5,1","5,1","2,8",,159 kj(38 kcal),0,"1,4",0,0,,,,,,,,,,,,,,,,,,,,"['EMB 66008B', 'Argelès-sur-Mer (Pyrénées-Orientales, France)']",,,,,,,,,,,,,,,,,,,,,,,,,
