,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
20,Старый мельник из бочонка мягкое - 0.5l,4605622003314,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,0.5 l,"['Bottle', 'Бутылка']",['Старый мельник'],,['Russia'],,,,,,,,,,
21,4605664011322,4605664011322,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tushenka,4606180010394,['France'],[],[],?,213,891 kj(213 kcal),17,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Rossiya -  -  g,4606272037278,"['France', 'Russie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,
24,Кириешки сыр - 40g,4607010740030,"['France', 'Russie']",[],[],?,?,,?,,?,,?,,,,"['de:Brotchips mit Käse-Aroma', 'ru:Сухарики ржаные со вкусом сыра']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 g,,['КИРИЕШКИ'],,,,,,сухарики ржаные со вкусом сыра,,,,,,
25,КИРИЕШКИ,4607010740191,"['France', 'Russie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['КИРИЕШКИ'],,,,,,,,,,,,
26,Кириешки Max «охотничьи колбаски» - 40g,4607010748616,"['France', 'Russie']",[],[],?,410,1715 kj(410 kcal),"8,5",,73,,11,,,,"['de:Brotchips mit Jagdwurst-Aroma', 'ru:Сухарики ржаные со вкусом охотничьих колбасок']",8.5 g,en quantité modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 g,,['КИРИЕШКИ'],['EAC'],,,,,Сухарики ржаные со вкусом охотничьих колбасок,,,,,,
27,Biscuits Csywëhhoe Monoko,4607021098625,['France'],[],[],?,442,1849 kj(442 kcal),17,"7,8",65,19,"7,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Манная крупа - Дон Густо,4607043104946,['France'],"['Средние значения пищевой ценности ', 'содержание в 100 г продукта', ': Белки 10,0 г Жиры 1,0 г Углеводы 67,0 г Энергетическая ценность ', 'калорийность', ' на 100г продукта: 1340 кДж / 320 ккал']",[],?,320,1339 kj(320 kcal),1,0,67,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Дон Густо'],,,,,,,,,,,,
29,Adjika du Caucase - Goldjick - 120g,4607043110428,['France'],"['Piment rouge', 'ail', 'coriandre', 'aneth', 'basilic', 'sarriette', 'sel', 'conservateurs ', 'Е201', 'Е211']","['Sans huile de palme', 'Végétalien', 'Végétarien']",207,?,207 kj(49 kcal),2,"0,5",6,1,"1,5",10,4,,"['Epicerie', 'Sauces', 'Sauces pimentées']",2 g,en faible quantité,0.5 g,en faible quantité,1 g,en faible quantité,10 g,en quantité élevée,-34%,,-58%,-35%,+9%,-66%,-93%,+29%,+122%,+122%,10,-20%,C,-20%,,,,,,,,120 g,"['Verre', 'Bocal', 'métal', '97']","['Goldjick', 'Siberia Group']",,,http://www.goldjick.ru/pripavy.html,"['E201 - Sorbate de sodium', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",3,Аджика кавказская,['Fabrika'],,,,,
30,Bière Jigouli -  -  g,4607043560919,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,g,"['Bouteille', 'Verre']",,,,,,,,,,,,,
31,4607054450087,4607054450087,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4607054450407,4607054450407,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Graine de tournosole,4607054452494,['France'],[],[],?,673,2816 kj(673 kcal),"63,7","7,6","3,1","3,1","21,8","0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Bière Non Filtrée - Trehsosenskoe - 0,5L",4607056582069,"['France', 'Russie']","['Eau', 'malt d_orge_', 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes', 'Boissons sans sucre ajouté', 'Bières russes', 'Пиво пшеничное нефильтрованное']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"0,5 L","['Verre', 'Bouteille', '72']","['Trehsosenskoe', 'Трехсосенское']","['EAC', 'Sans conservateurs', 'Déconseillé aux moins de 18 ans']",['Russie'],,,3,Пиво трехсосенское мягкое,['Fabrika'],['Gluten'],,,,
