,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
1197,Strawberry cheesecake - Coop - 200g,5000128975537,['France'],"['Water', 'Cream ', 'Milk', 'Sugar', 'Wheat Flour', 'Strawberry Purée ', '8%', 'Strawberry ', '7%', 'Fromage Frais ', 'Milk', ' ', '6%', 'Coconut Oil', 'Skimmed Milk', 'Vegetable Oils ', 'Palm Oil', 'Rapeseed Oil', 'Vegetarian Whey Powder ', 'Milk', 'Cornflour', 'Demerara Sugar', 'Gelling Agent ', 'Pectins', ',Invert Sugar Syrup', 'Lemon Juice', 'Skimmed Milk Powder', 'Raising Agents ', 'Sodium carbonate', 'Ammonium carbonates', 'Emulsifiers ', 'Lactic acid esters of mono - and di-glycerides of fatty acids', 'Mono - and diglycerides of fatty acids', 'Flavouring', 'Black Carrot Extract', 'Acidity Regulator ', 'Lactic acid', 'Milk Proteins', 'Stabiliser ', 'Sodium carboxyl methyl cellulose', ' Allergy Advice-For allergens', 'including cereals containing gluten', 'see ingredients in bold', ' Also', 'may contain nuts']","['Huile de palme', 'Non végétalien']",?,291,1218 kj(291 kcal),17,"9,1",31,19,"2,8","0,17","0,068",D,"['Biscuits et gâteaux', 'Gâteaux', 'Cheesecakes', 'Cheesecakes aux fruits', 'Cheesecakes à la fraise']",17 g,en quantité modérée,9.1 g,en quantité élevée,19 g,en quantité élevée,0.17 g,en faible quantité,,+6%,+8%,+32%,+26%,-2%,-12%,-35%,-24%,-24%,16,+15%,D,+15%,75.3%,15.7%,3.4%,3.2%,1.9%,0.5%,56,200 g,,['Coop'],,,,"['E440 - Pectines', 'E500i - Carbonate de sodium', ""E503 - Carbonates d'ammonium"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E270 - Acide lactique', 'E461 - Méthylcellulose']",4,,,"['Gluten', 'Lait']",,,,
1198,4 Giant Pancakes - Coop,5000128983792,"['France', 'Royaume-Uni']",[],[],?,275,1151 kj(275 kcal),"8,4","1,2",43,17,"6,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Coop'],,,,,,,,,,,,
1199,Pineapple Juice - Coop - 1L,5000128993920,"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",?,48,201 kj(48 kcal),"0,5","0,1",11,11,"0,5","0,02","0,008",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.02 g,en faible quantité,,-2%,-2%,+176%,+240%,-6%,-2%,+41%,+198%,+198%,5,-3%,C,-3%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,"['composite-carton', 'hdpe-cap']",['Coop'],"['Végétarien', 'Végétalien']",,,,,,,,,,,
1200,8 Cornflake Cluster Bites - Coop,5000128996044,"['France', 'Royaume-Uni']",[],[],?,467,1954 kj(467 kcal),18,11,68,36,"6,5","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Coop'],,,,,,,,,,,,
1201,Rich - Kenco - 200g,5000136057393,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,,,,,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,200 g,['Verre'],['Kenco'],,,,,,Café soluble,,,,,,
1202,Rappor,5000136082739,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glass'],"['Rappor', 'Mondelez']",,,,,,,,,,,,
1203,5000136990867,5000136990867,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Smooth - Kenco - 200g,5000136994285,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,,,,,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,200 g,['Verre'],['Kenco'],,,,,,Café soluble,,,,,,
1205,Smooth Coffee - Kenco - 100g e,5000136994292,['France'],['Coffee'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,,,,,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,100 g e,"['Verre', 'Plastique']",['Kenco'],"['Point Vert', 'Rainforest Alliance']",,,,1,,,,,,,
1206,5000136999136,5000136999136,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,"Thick milk chocolate with a smooth, tangy orange flavoured cream and a crunchy biscuit - Mcvitie's",5000137169613,"['Australie', 'France', 'États-Unis']","['milk chocolate ', '49%', ' [sugar', 'cocoa mass', 'cocoa butter', 'dried whey ', 'milk', 'dried skimmed milk', 'butter oil ', 'milk', 'vegetable fats ', 'sal and/or shea', 'palm', 'emulsifier ', 'soya lecithin', 'natural flavouring]', 'flour ', 'wheat flour', 'calcium', 'iron', 'niacin', 'thiamin', 'vegetable oil ', 'palm', 'sugar', 'glucose syrup', 'raising agents ', 'sodium bicarbonate', 'disodium diphosphate', 'ammonium bicarbonate', 'salt', 'natural orange flavouring', 'colour ', 'paprika extract', 'acid ', 'citric acid', ',']","['Huile de palme', 'Non végétalien']",?,527,2205 kj(527 kcal),"27,27","17,27","62,73","40,45","5,91","0,75","0,3",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",27.3 g,en quantité élevée,17.3 g,en quantité élevée,40.5 g,en quantité élevée,0.75 g,en quantité modérée,,+1%,+1%,-10%,+5%,+17%,-14%,-4%,+283%,+283%,26,+7%,E,+7%,,,,,,,,,['mixed plastic-packet'],"[""Mcvitie's""]",,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', ""E503ii - Carbonate acide d'ammonium"", 'E160c - Extrait de paprika', 'E330 - Acide citrique']",4,,['Woolworths'],"['Gluten', 'Lait', 'Soja']",,,MCVITIE'S,
1208,Jacobs Cream Crackers 2X200g Twin Pack,5000137269900,['France'],"['Flour wheat Flour', 'Calcium', 'Iron', 'Macin', 'Thiamin', 'egetable Oil ', 'Palm', 'Salt', 'Raising Agent ', 'Sodium Bicarbonate', 'Yeast']",[],?,440,1841 kj(440 kcal),"13,5","6,2","67,7","1,4",10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jacobs'],,,,['E500ii - Carbonate acide de sodium'],,,,,,,,
1209,Tarentella Organic Peeled Plum Tomatoes 400 G X 1,5000154011391,['France'],[],[],?,19,79 kj(19 kcal),"0,1","0,01","3,2","3,1","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['aluminium-tin'],,,,,,,,,,,,,
1210,Maltesers,5000154937943,['France'],[],[],?,500,2092 kj(500 kcal),"24,3","15,2","61,5","51,9","8,3","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Chicken Soup - Heinz,5000157009142,['France'],[],[],?,52,218 kj(52 kcal),3,"0,5","4,7","1,3","1,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1212,Freshly made spaghetti delicious pasta with a juicy tomato sauce - Heinz,5000157024947,['France'],"['spaghetti ', '49%', 'water', 'durum wheat semolina', 'wheat flour ', 'contains calcium', 'iron', 'niacin', 'thiamin', 'tomatoes ', '43%', 'sugar', 'modified cornflour', 'salt', '6acid - citric acid', 'herb extract', 'garlic salt', 'spice extract allergens: see ingredients']",[],?,62,259 kj(62 kcal),"0,2",0,"12,9","3,5","1,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,['E330 - Acide citrique'],,,,['Gluten'],,,,
1213,Heinz Thomas and Friends Pasta Shapes,5000157025029,['France'],"['""REDIENTS J ', '46%', 'Pasta ', '46%', 'Water', 'Shat Wheat Semolina', 'Wat$', 'Sugar', 'Modified Cornflour', 'Salt', 'Acid - Citric Acfrü', 'Spice', 'Garlic Salt', 'Onion Eftact', 'Spice Extact', 'Iron Sulphate', 'Vitamin D Allergens: see ingredients May contain Egg how to St0Re Empty unused contents into a suitable covered container', ' Keep refrigerated and use within 2 days']",[],?,58,243 kj(58 kcal),"0,3","0,1","11,5","4,3","1,8","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1214,Samouraï mum's,5000157054838,['France'],[],[],?,719,3008 kj(719 kcal),79,6,1,0,1,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Heinz Scotch Broth Soup 400G - 400g,5000157062703,['France'],"['water', 'pearl barley ', '8%', 'carrots', 'potatoes', 'mutton ', '4%', 'peas', 'modified cornflour', 'cornflour', 'flavouring', 'wheat flour ', 'contains calcium', 'iron', 'niacin', 'thiamin', 'salt', 'black pepper', ' vegetables: 16%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,39,163 kj(39 kcal),"0,6","0,3","6,7","0,6","1,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,['Heinz'],,,,,4,,,['Gluten'],,,,
1216,Spaghetti hoops - Heinz,5000157066329,['France'],[],[],?,671,2807 kj(671 kcal),"0,2",0,"12,6","4,2","1,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1217,Baked beans with pork sausages - Heinz,5000157071095,['France'],"['beans ', '38%', 'tomatoes en ', '31%', 'pork sausages ', '15%', 'in pork ', '55%', 'water', 'rice co flour', 'pea starch', 'pork fat', 're vegetable fibre', 'salt', 'spices', 'w emulsifier - triphosphates', 'water', 'sugar', 'spirit vinegar', 'modified cornflour', 'salt', 'p spice extracts', 'herb extract']","['Non végétalien', 'Non végétarien']",?,97,406 kj(97 kcal),"3,2","1,1","11,9","4,2",5,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",4,,,,,,,
1218,Heinz Garlic Sauce 225Ml,5000157071774,['France'],[],[],?,398,1665 kj(398 kcal),36,"3,3",15,11,"2,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1219,Nourriture bébé,5000157071828,['France'],[],[],?,401,1678 kj(401 kcal),"6,5",3,70,"10,6","13,5","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
1220,Heinz Fruit Pouch Apple Mango 6S 100G,5000157072757,['France'],[],[],?,63,264 kj(63 kcal),"0,2","0,1",14,"12,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Worcester Sauce - Heinz - 568mL,5000157073037,['France'],"[""vinaigre d'alcool"", 'mélasse', 'vinaigre de malt ', 'orge', 'eau', 'sucre', 'tamarin ', 'plante', 'sel', 'anchois ', 'poisson', 'oignons', 'ail', 'épices', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",359,?,359 kj(86 kcal),"0,3","0,1","18,1",18,"0,9","2,286","0,914",,"['Epicerie', 'Condiments', 'Sauces', 'Sauces Worcestershire']",0.3 g,en faible quantité,0.1 g,en faible quantité,18 g,en quantité élevée,2.29 g,en quantité élevée,,,-21%,-26%,-39%,-15%,-4%,+17%,-28%,-28%,14,-2%,D,-2%,,,,,,,,568 mL,['bouteille verre'],['Heinz'],,,,,4,,,"['Poisson', 'Gluten']",,,,
1222,"Mint Sauce - Heinz - 220ml, 250g",5000157074195,"['France', 'Royaume-Uni']","['Menthe ', '32 %', ""vinaigre d'alcool"", 'eau', 'sucre', 'sel', 'huile de colza', 'stabilisateurs : gomme xanthane et conservateur : sorbate de potassium', 'colorant : chlorophylline de cuivre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",342,?,342 kj(82 kcal),1,"0,1","16,4","14,8","1,5","1,6","0,64",,"['Epicerie', 'Sauces', 'Sauces à la menthe']",1 g,en faible quantité,0.1 g,en faible quantité,14.8 g,en quantité élevée,1.6 g,en quantité élevée,-61%,,-65%,-94%,-95%,+65%,+129%,-44%,-34%,-34%,11,-5%,D,-5%,,,,,,,,"220ml, 250g",['plastic bottle'],['Heinz'],,,,"['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines']",4,Sauce à la menthe,"['Asda', 'Netto']",,,,,
1223,Tomato Ketchup - Heinz - 700g,5000157074454,"['France', 'Royaume-Uni']","['Tomatoes ', '148g per 100g Tomato Ketchup', 'Spirit Vinegari Sugar', 'Salt', 'Spice and Herb Extracts ', 'contain Celery', 'Spice']",[],?,102,427 kj(102 kcal),"0,1",0,"23,2","22,8","1,2","1,8","0,72",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']",0.1 g,en faible quantité,0 g,en faible quantité,22.8 g,en quantité élevée,1.8 g,en quantité élevée,,-6%,-6%,-42%,-100%,+7%,+20%,-9%,+6%,+6%,13,+14%,D,+14%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,700g,,['Heinz'],,,,,3,,,,,,,
1224,Heinz fajita beans - 390g,5000157074928,"['Belgique', 'France', 'Royaume-Uni']",[],[],?,79,331 kj(79 kcal),"0,8","0,1","11,7","1,8",4,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390 g,['Tin'],['Heinz'],"[""Fabriqué dans l'UE""]",,,,,,['Delhaize'],,,,,
1225,Tomato Cup Soup with a Kick of Chilly - Heinz,5000157075109,['France'],[],[],?,34,142 kj(34 kcal),"0,7","0,2","6,5",4,"0,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1226,Heinz Mushroom Cup Soup,5000157075123,['France'],[],[],?,30,126 kj(30 kcal),"1,1","0,9","4,4","0,8","0,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1227,Heinz Salad Cream 30% Less Fat 635G,5000157075192,['France'],[],[],?,218,912 kj(218 kcal),"16,3","1,4","15,3","10,1","1,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
1228,Heinz Baked Beanz 415G,5000157075352,['France'],[],[],?,78,326 kj(78 kcal),"0,2","0,1","12,5","4,7","4,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Heinz Baked Beans 50% Less Sugar 4 Packein,5000157075406,['France'],"['a hatUhQ', ' tngredients Bcans Toma:oes Sgte Extractse Herb Extract good to know']",[],?,67,280 kj(67 kcal),"0,2",0,"9,9","2,3","4,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],['en:gluten-free'],,,,,,,,,,,
1230,Tartare Sauce - Heinz - 220ml (230g),5000157075635,['France'],"['huile de colza', 'eau', 'sucre', 'vinaigre', 'cornichons 8% ', 'contient agent de consistance - chlorure de calcium', 'câpres 6%', 'amidon modifié', 'sel', ""jaune d'œuf en poudre"", 'jus de citron concentré', 'conservateur ', 'sorbate de potassium', 'épaississants ', 'gomme de xanthane', 'gomme de guar']",['Non végétalien'],1291,?,1291 kj(309 kcal),"28,3","2,1","13,4","10,8","0,9","2,2","0,88",B,"['Epicerie', 'Sauces', 'Sauces tartare']",28.3 g,en quantité élevée,2.1 g,en quantité modérée,10.8 g,en quantité modérée,2.2 g,en quantité élevée,-32%,,-41%,-48%,-54%,+185%,+300%,-23%,+23%,+23%,16,-9%,D,-9%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,220 ml (230 g),"['Plastique', 'Squeezer']",['Heinz'],,,,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",4,,,['Œufs'],,,,
1231,400g,5000157076274,['France'],[],[],116,?,116 kj(28 kcal),"0,1",0,"5,4","1,7",?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,"['Can', 'Metal']",,,,,,,,,,,,,
1232,Seriously Good Light Mayonnaise - Heinz - 490g (480ml),5000157076441,"['France', 'Royaume-Uni']",[],[],1029,267,1029 kj(267 kcal),26,"2,5",8,3,"0,6","1,7","0,68",D,"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises allégées']",26 g,en quantité élevée,2.5 g,en quantité modérée,3 g,en faible quantité,1.7 g,en quantité élevée,-20%,-12%,-18%,-11%,-26%,-0%,-20%,-38%,-11%,-11%,12,-12%,D,-12%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,490 g (480 ml),"['Jar', 'bottle']",['Heinz'],,,,,,,,,,,,
1233,57 Gherlish Relish - Heinz - 980g e (875ml),5000157076601,['France'],"['Cornichons 37 % ', 'contient agent de raffermissement : chlorure de calcium', 'vinaigre', 'sucre', 'eau', 'oignons', 'amidon modifié', 'choux', 'sel', 'moutarde', 'piment', 'ail', 'conservateur ', 'sorbate de potassium', 'herbes', 'arômes', 'colorants ', 'riboflavine']",[],384,?,384 kj(92 kcal),"0,2","0,1","20,3","16,4","0,8","0,9","0,36",,"['Epicerie', 'Sauces', 'Sauces aux légumes', 'Relishes']",0.2 g,en faible quantité,0.1 g,en faible quantité,16.4 g,en quantité élevée,0.9 g,en quantité modérée,+10%,,-3%,-96%,-87%,+197%,+226%,-52%,-15%,-15%,7,+265%,C,+265%,,,,,,,,980 g e (875 ml),"['Plastique', 'Bouteille']",['Heinz'],,,,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E101i - Riboflavine']",4,,['Noz'],['Moutarde'],,,,
1234,Heinz Grill-house Sauce,5000157076625,['France'],[],[],?,140,586 kj(140 kcal),"0,3","0,1","31,6","29,2",1,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Heinz Smokey Bacon Beanz,5000157076885,['France'],[],[],?,92,385 kj(92 kcal),"1,1","0,3","13,9","5,8","4,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,Firecracker sauce - Heinz,5000157076915,['France'],"['Spriteddike', 'vand', 'koncentreret tomatpuré ', '17%', 'sukker', 'daddelpuré', 'chipotlepuré ', '5% tomatpuré', 'jalapeno peber', 'vand', 'log', 'spriteddike', 'sukker', 'peber', 'salt', 'hvidløg', 'krydderier', 'persille', 'krydderiekstrakt', 'modificeret majsmel', 'salt', 'koncentreret æblesaft', 'chilipulver', 'røgaroma', 'krydderier', 'hvidløgspulver', 'løgpulver', 'konserveringsmiddel - kaliumsorbat', 'krydderiekstrakt,']",[],?,116,485 kj(116 kcal),"0,9","0,1","25,3",22,1,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,,,,,
1237,D) Planters Nut-rition Health Mix,5000157077561,['France'],"['3Y0', 'Juice Infused Cranbcrrics ', '30% Pineapp!e Juice Concentrate', 'Cranbemes', 'Sunflower mo', '20%', 'CASHEV/ ', '203%', ' R!ay traces of Other tree nuts']",[],?,531,2222 kj(531 kcal),"37,2","23,3","27,6","23,3","18,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1238,Planters Nut-rition Protein Mix Nuts 155G,5000157077578,['France'],"['CACAHUETES ', '50%', 'CACAHUÈTES AVEC PEAU ', '20%', '} AMANDES ', '150,6', 'NOIX DE CAJOU ', '15%', "" Peut contenir des traces d'autres fruits à coques""]",[],?,604,2527 kj(604 kcal),"47,8","8,2","11,6","5,4","27,7","0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,"['Fruits à coque', 'Arachides']",,,,
1239,Planters Nut-rition Energy Mix Nuts,5000157077585,['France'],"['O Mix energétique', 'Mélange de cacahuètes', 'noix du brésil', 'caramel enrobé de chocolat au miel', 'noix', ' CACAHUETES ', '460,1', 'DU BRÉSIL I', 'Sucre cristallisé enrobé de chocolat au illiel ', '20%', 'chocolat au lait ', 'sucret tetrre de cacao', 'pâte de cacao', 'LAIT écrélllé en poudre', 'Lactose ', 'de LAIT', 'de LAIT', 'matière grasse ', 'de LAIT', '! énwlsifiant - lecithine SOJA', 'I Sucre', 'Sgrop de glucose', 'eau', 'Poudre à lever Bicarbonate de sodiulll', ""agent d'enrobage - arabique"", 'saccharose', 'rn:el', 'NOIX ', '14%', ' Cacao dans le chocolat au lait ', "" des traces d'autres fruits â coques""]",['Non végétalien'],?,609,2548 kj(609 kcal),"47,9","10,1",21,"16,6",20,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,['E322i - Lécithine'],4,,,"['Lait', 'Fruits à coque', 'Arachides', 'Soja']",,,,
1240,Planters trail mix,5000157077592,['France'],['O de fruits et • SULFUREUX\\'],[],?,506,2117 kj(506 kcal),"31,7","5,1","33,3","26,6","18,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1241,Trail Mix 160G,5000157077608,['France'],[],[],?,504,2109 kj(504 kcal),"31,4","7,3","33,4","29,8",19,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Trial mix - Planters,5000157077615,['France'],['NOIX DE CAJOU'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,543,2272 kj(543 kcal),"38,3","5,6","24,5","16,9","21,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,['Fruits à coque'],,,,
1243,Planters Dry Roasted Peanuts,5000157077639,['France'],"['PEANUTS ', '94%', 'Dry Roast Seasoning ', 'WHEAT Flour ', 'Contains Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', 'Salt', 'Yeast Extract Powder', 'Yeast Powder', 'Spices ', 'Cinnamon', 'PaorikaV0nion Powder', 'Malt Vinegar Powder ', 'taaltodextrin', 'Malt Vincgar ', 'Contains BARLEY', 'Colour - Paprika Extract', 'Glazing Agent - Acacia Gum', ' relay contain traces of Other tree nuts']",[],?,613,2565 kj(613 kcal),"49,9","6,3","12,7","6,6","24,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,"['E160c - Extrait de paprika', ""E414 - Gomme d'acacia""]",4,,,"['Gluten', 'Arachides']",,,,
1244,Planters Honey Roast Peanuts,5000157077646,['France'],[],[],?,562,2351 kj(562 kcal),"40,1","4,8","24,8","22,4",22,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Dry Roasted Peanuts - Planters,5000157077745,['France'],['Gomme'],[],?,613,2565 kj(613 kcal),"49,9","6,3","12,7","6,6","24,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1246,Planters honey Roadted PEANUTS,5000157077912,['France'],[],[],?,562,2351 kj(562 kcal),"40,1","4,8",24,"22,4",22,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1247,Trail Mix,5000157077950,['France'],[],[],?,482,2017 kj(482 kcal),"27,8","7,2","41,9","31,6",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Lightly Salted Peanuts - Planters,5000157078049,['France'],[],[],?,662,2770 kj(662 kcal),"57,6","9,7","5,6","2,5",28,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1249,Planters Nutrition Protein Mix - Heinz Foods,5000157078094,['France'],"['rnqre&nts Redskin ?EAMJTS ', '15%', 'May races of ather Ùee nub']",[],?,613,2565 kj(613 kcal),"49,8","8,6","11,9","5,2","27,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz Foods'],,,,,,,,,,,,
1250,Protein mix - Planters,5000157078100,['France'],[],[],?,613,2565 kj(613 kcal),"49,8","8,6","11,9","5,2","27,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Planters'],,,,,,,,,,,,
1251,Heinz Creationz Lentil Curry,5000157078162,['France'],[],[],?,71,297 kj(71 kcal),1,"0,1","10,4","2,4",4,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,
