,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,additives,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,generic_name,brand_owner
1053,11096730,11096730,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Chipolatas Fabrication Maison - Carrefour,2480722022302,E,,,['Carrefour'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Iogurte aromatizado - Continente,5601312502807,,,,['Continente'],,,,,,"['France', 'Portugal']",[],,[],,?,,79,,"1,6",,14,,"2,4",,,,,,,,,,['Continente'],,331 kj(79 kcal),"1,1",13,"0,13","0,052",,,,,,,,,,,,,,,,,,,,
1056,PERLES de MIEL,3389750010512,,,,,,['Point Vert'],,,,['France'],[],,[],,?,,319,,"0,5",,79,,"0,5",,,,,,,,,,,,1335 kj(319 kcal),"0,5",76,"0,26","0,104",,,,,,,,,,,,,,,,,,,,
1057,Madagascan cola - Fever-Tree,5060108451994,,,,['Fever-Tree'],,,,,,['France'],[],,[],,?,,19,,0,,"4,8",,0,,,,,,,,,,,,79 kj(19 kcal),0,"4,6",0,0,,,,,,,,,,,,,,,,,,,,
1058,Farine pain complet,3760246500999,,,,,,['Bio'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,110g,3517736125817,,110 g,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,0208951043033,0208951043033,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Saucisson sec porc canard,3268680031708,D,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs au port et au canard']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['FR 49.215.003 CE', 'Montreuil-Bellay (Maine-et-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,0.818kg,2659497048026,,0.818 kg,,,,"['Viande Française', 'Viande Porcine Française']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,"['FR 56.010.001 CE', 'Baud (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Jambon à l'ancienne,2619028012278,E,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]","['Viande Française', 'Viande Porcine Française']",,,,['France'],[],,[],,?,,123,-19%,"3,1",-50%,"0,5",+1%,23,+3%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,515 kj(123 kcal),"1,4","0,5",2,"0,8",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,-19%,-42%,+3%,+3%,+3%,5,-49%,C,-49%,,,
1064,Filet de poulet,2424503030902,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,['France'],[],,[],,?,,95,-27%,"0,6",-79%,"1,2",+151%,21,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,397 kj(95 kcal),0,0,1,"0,4",0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,-27%,-100%,-100%,+33%,+33%,0,,B,,,,
1065,"Bonbon au miel - 6,35oz",3045431001209,E,"6,35 oz",,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Canistrelli orange,3770009611107,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Selection des ducs Saucisson sec,3280960090076,D,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['Label Rouge'],,,,['France'],[],,[],,?,,420,+4%,34,+8%,"1,4",-37%,27,-2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['EMB 71350', 'Pierreclos (Saône-et-Loire, France)']",,,1757 kj(420 kcal),14,"0,7",5,2,34 g,en quantité élevée,14 g,en quantité élevée,0.7 g,en faible quantité,5 g,en quantité élevée,+4%,+14%,-49%,+7%,+7%,25,+4%,E,+4%,,,
1068,Délice ananas - Materne,5410046018894,,,,['Materne'],,,,,,['France'],[],,[],,?,,79,,"0,2",,18,,"0,4",,,,,,,,,,,,331 kj(79 kcal),0,18,0,0,,,,,,,,,,,,,,,,,,,,
1069,Orange & Carrot Juice Drink,6281060103670,,,,,,['Sans conservateurs'],,,,['France'],[],,[],,?,,48,,"0,1",,"12,3",,"0,2",,,,,,,,,,,,201 kj(48 kcal),"0,05",12,13,"5,2",,,,,,,,,,,,,,,,,,,,
1070,Palet croquant noix de coco -,3226219008041,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,['France'],"['Farine de blé', 'sucre', 'noix de coco 25,5%', 'beurre 19%', 'crème fraîche', ""jaunes d'œufs"", 'arôme naturel', ""poudre à lever : carbonate acide d'ammonium"", 'lait écrémé', 'œufs entíers', ' Peut contenir des traces de fruits à coque', 'de soja', ""de sésame et d'arachide""]","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,,533,+12%,32,+54%,52,-19%,6,-8%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"[""E503ii - Carbonate acide d'ammonium""]",2230 kj(533 kcal),23,31,"0,05","0,02",32 g,en quantité élevée,23 g,en quantité élevée,31 g,en quantité élevée,0.05 g,en faible quantité,+12%,+128%,+5%,-92%,-92%,22,+11%,E,+11%,,,
1071,Speculoos - Lotus,5410126246100,,,,['Lotus'],,,,,,['France'],[],,[],,?,,484,,19,,"72,6",,"4,9",,,,,,,,,,,,2025 kj(484 kcal),"8,8","8,8","0,92","0,368",,,,,,,,,,,,,,,,,,,,
1072,Essentials Probiotics Peach Passion Fruit - Tropicana,0048500201947,,,,['Tropicana'],,['Sans sucre ajouté'],,,,['France'],[],,[],,?,,130,,0,,32,,1,,,,,,,,,,,,544 kj(130 kcal),0,27,0,0,,,,,,,,,,,,,,,,,,,,
1073,Milky Oolong - Palais des Thés,2700315002017,,,,['Palais des Thés'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Chili-sauce,20556181,,,,,,,,,,['France'],[],,[],,?,,254,,"0,3",,65,,"0,3",,,,,,,,,,,,1063 kj(254 kcal),"0,1","59,5",5,2,,,,,,,,,,,,,,,,,,,,
1075,spartzle,2216075033326,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,paupiette,0290015047699,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,cuisse canard,2185006007586,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Hydrixir Bio Menhte 500G,3700153111017,,,,,,['Bio'],,,,['France'],[],,[],,?,,380,,1,,95,,1,,,,,,,,,,,,1590 kj(380 kcal),1,56,"0,15","0,06",,,,,,,,,,,,,,,,,,,,
1079,tradi moisson du Cotentin - Auchan - 1,3760182440236,,1,,"['Auchan', 'Moissons du Cotentin']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Sel de l'Himalaya - Moulin des moines - 500g,3347430001489,,500 g,,['Moulin des moines'],,['Point Vert'],,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Active women revitalising superfood blend,5056104535165,,,,,,,,,,['France'],[],,[],,?,,361,,"3,9",,14,,62,,,,,,,,,,,,1510 kj(361 kcal),"0,9","1,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,
1082,Coconut water,5906660508670,,,,,,,,,,['France'],[],,[],,?,,23,,0,,"5,8",,0,,,,,,,,,,,,96 kj(23 kcal),0,"5,3","0,07","0,028",,,,,,,,,,,,,,,,,,,,
1083,Sables fourres noisette -,3250791548329,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits secs', 'Biscuits sablés']",,,,,['France'],[],,[],,?,,499,+11%,"24,2",+48%,"62,5",-6%,"6,6",-10%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,2088 kj(499 kcal),"7,9","35,8","0,38","0,152",24.2 g,en quantité élevée,7.9 g,en quantité élevée,35.8 g,en quantité élevée,0.38 g,en quantité modérée,+11%,+28%,+13%,-19%,-19%,21,+24%,E,+24%,,,
1084,fois poulet,2858571018768,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Idees minute,2454153026505,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Crêpes Géantes Surgelées (Champignons) -,3267180369199,,,,,,,,,,['France'],[],,[],,?,,162,,"7,1",,"20,1",,"3,8",,,,,,,,,,,,678 kj(162 kcal),"1,1","3,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,
1087,Caramelised onion Chutney - Highfield,5024962070029,,,,['Highfield'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,,,['France'],"['Oignons ', '47%', 'sucre', 'vinaigre de vin blanc', 'dattes', ""pommes huile d'olive"", 'graines de MOUTARDE', 'sel et épices']",['Moutarde'],[],3,?,,99,-41%,"1,1",-33%,18,-49%,"1,7",+71%,,,,,,,,,,,414 kj(99 kcal),"0,1",16,"0,3","0,12",1.1 g,en faible quantité,0.1 g,en faible quantité,16 g,en quantité élevée,0.3 g,en quantité modérée,-41%,-62%,-51%,-52%,-52%,3,-54%,C,-54%,,,
1088,Jus de raisin,0073798001023,D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin']",,,,,['France'],[],,[],,?,,10,-85%,0,-100%,3,-82%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,42 kj(10 kcal),0,3,8,"3,2",0 g,en faible quantité,0 g,en faible quantité,3 g,en quantité modérée,8 g,en quantité élevée,-85%,-100%,-81%,+122224%,+122224%,4,-59%,C,-59%,,,
1089,Rummo Penne Candela,8008343200776,,,,['Rummo'],,,,,,['France'],[],,[],,?,,356,,"1,6",,"69,5",,"14,5",,,,,,,,,,,,1490 kj(356 kcal),"0,3","3,1","0,005","0,002",,,,,,,,,,,,,,,,,,,,
1090,4010355484208,4010355484208,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Confiture de lait Normande - La Ferme de L'Isle - 100g,3760222460125,B,100g,,"[""La Ferme de L'Isle""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,,,['France'],"['Lait frais ', '79%', 'sucre', 'fleur de sel de Guérande ', '0', '8%']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Pate d'amande 20%,2020875099990,E,,,,"['Massepain', ""Pâtes d'amande""]",,,,,['France'],[],,[],,?,,413,-6%,"10,5",-37%,"76,2",+17%,"3,5",-44%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,1728 kj(413 kcal),"1,1","73,4","0,07","0,028",10.5 g,en quantité modérée,1.1 g,en faible quantité,73.4 g,en quantité élevée,0.07 g,en faible quantité,-7%,-39%,+21%,+82%,+82%,16,+3%,D,+3%,,,
1093,Turkish Delight - Koska,8690710139842,,,,['Koska'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']","['Végétarien', 'Végétalien']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,373,+5%,"0,1",-95%,"92,9",+14%,"0,1",-90%,,,,,,,,,,,1561 kj(373 kcal),0,"85,8",0,0,0.1 g,en faible quantité,0 g,en faible quantité,85.8 g,en quantité élevée,0 g,en faible quantité,+5%,-100%,+36%,-100%,-100%,14,+4%,D,+4%,,,
1094,Cantucini,3029560006342,,,,,,,,,,['France'],[],,[],,?,,453,,17,,"63,3",,"9,9",,,,,,,,,,,,1895 kj(453 kcal),"4,6","35,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,
1095,Concentré abricot bouteille de,7290011652210,,,,,,,,,,['France'],[],,[],,?,,13,,0,,"3,3",,0,,,,,,,,,,,,54 kj(13 kcal),0,"3,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,
1096,Axoa de porc iberique,8424771050453,,,,,,"['en:gluten-free', 'Sans colorants']",,,,['France'],[],,[],,?,,149,,"8,9",,"0,9",,16,,,,,,,,,,,,623 kj(149 kcal),"3,2","0,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,
1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Rosemary crackers,25275919,,,,,,,,,,['France'],[],,[],,?,,493,,23,,62,,8,,,,,,,,,,,,2063 kj(493 kcal),"1,9",5,"1,3","0,52",,,,,,,,,,,,,,,,,,,,
1099,2662898045006,2662898045006,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Maggi,7613034655059,,,,['Maggi'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Les Finaniers Bio - Jours Heureux,3700956432838,,,,['Jours Heureux'],,"['Bio', 'en:palm-oil-free']",,,,['France'],[],,['Sans huile de palme'],,?,,468,,28,,44,,"8,8",,,,,,,,,,,,1958 kj(468 kcal),13,39,"0,25","0,1",,,,,,,,,,,,,,,,,,,,
1102,10 Pappadums Ail Pataks -,0069276981024,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pappadums']","['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,['France'],[],,[],,?,,324,-8%,"1,5",-79%,"58,9",+29%,"21,3",+18%,,,,,,,,,,,1356 kj(324 kcal),"0,9","3,5","3,7","1,48",1.5 g,en faible quantité,0.9 g,en faible quantité,3.5 g,en faible quantité,3.7 g,en quantité élevée,-8%,-2%,+155%,+21%,+21%,14,+22%,D,+22%,,,
1103,"Zitronensorbet 2,4 Liter",4250367515082,,,,,,"['Végétarien', 'Végétalien']",,,,"['France', 'Allemagne']",[],,"['Végétalien', 'Végétarien']",,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Farine de froment,3476881012550,,,,,,,,,,['France'],[],,[],,?,,343,,"0,8",,69,,13,,,,,,,,,,,,1435 kj(343 kcal),"0,2","1,8",0,0,,,,,,,,,,,,,,,,,,,,
1105,Cornetto Haselnuss - Langnese,8000920500323,B,,['Papier'],['Langnese'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés']",,,,,"['France', 'Allemagne']",[],,[],,?,,?,,?,,?,,?,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,vinaigrette balsamique - 36centilitres,07744714,C,36 centilitres,,,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Veloute de legume bio,3303640000643,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']","['Bio', 'Sans gluten', 'Fabriqué en France']",,,,['France'],[],,[],,?,,34,-13%,"1,7",+10%,"4,2",-12%,"0,4",-53%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,142 kj(34 kcal),"0,3","1,2","0,74","0,296",1.7 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,0.74 g,en quantité modérée,-13%,-50%,-35%,+15%,+15%,3,+124%,C,+124%,,,
1108,Grattons Lyonnais,2628451021405,,,,,,,,,,['France'],[],,[],,?,,725,,67,,"2,4",,28,,,,,,,,,,,,3033 kj(725 kcal),32,"0,5","0,55","0,22",,,,,,,,,,,,,,,,,,,,
1109,Pignon de pin,3701178701498,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pignons de pin']",,,,,['France'],[],,[],,?,,670,-2%,58,-8%,17,+86%,19,+9%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,2803 kj(670 kcal),"3,95","6,1",0,0,58 g,en quantité élevée,3.95 g,en quantité modérée,6.1 g,en quantité modérée,0 g,en faible quantité,-1%,-26%,+64%,-100%,-100%,12,+17%,D,+17%,,,
1110,Coffret 30 carres degustations chocolat Ducasse - Alain Ducasse - 150g,3700829006784,,150 g,,['Alain Ducasse'],,,,,,['France'],[],,[],,?,,561,,42,,30,,"9,3",,,,,,,,,,,,2347 kj(561 kcal),25,26,"0,14","0,056",,,,,,,,,,,,,,,,,,,,
1111,3760205430053,3760205430053,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Raisins rouge sans pepin - Delhaize - 250g,5400112545607,,250 g,,['Delhaize'],,,,,,"['Belgique', 'France']","['Arulv Rode druis Raisina rougep pilloos saha pipina iddeldes pertoces8s t eurnutetve moyenn k', '26-ki!l', ' ', 'Vetten/Mettère deveturesr edngewre per/Valeurut eoyenn P/Vetten', 'gD/ dontacldes g 0% yo wsl l /Proternes0 Rg*2% 712u07 /1 *Eetereste:nh ven een gemiddelde velwasset deeterence pour un adult 00/2000ke', ' / Appor eOa', '/ ettg 250g eo']",,[],,?,,?,,?,,?,,?,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Filets de poulet fermier - Loué,0217247049666,D,,['Barquette'],['Loué'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['IGP', 'Label Rouge']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Fairtrade Organic Pure Green Tea Unbleached Bags - Clipper,5021991941009,B,,,['Clipper'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,8436000401035,8436000401035,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Paleron de boeuf et son jus a la vigneronne - Bigard,2222602034636,,,,['Bigard'],,,,,,['France'],[],,[],,?,,164,,8,,2,,21,,,,,,,,,,,,686 kj(164 kcal),"3,4","0,7",1,"0,4",,,,,,,,,,,,,,,,,,,,
1117,Tarte amande/poure,0211099029524,,,,,,,,,,['France'],[],,[],,?,,287,,11,,42,,"3,8",,,,,,,,,,,,1201 kj(287 kcal),"6,8",25,"0,16","0,064",,,,,,,,,,,,,,,,,,,,
1118,gouda - miraflores - 1kg,02339807,D,1 kg,,['Miraflores'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,['France'],"['Lait pasteurisé de vache', 'ferments lactiques ', 'lait', 'présure et sel']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,,357,+9%,29,+9%,0,-100%,24,+18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,1494 kj(357 kcal),"18,9",0,"1,8","0,72",29 g,en quantité élevée,18.9 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,+9%,+6%,-100%,+38%,+38%,16,+17%,D,+17%,,,
1119,Tapenade de ninon à l'ancienne,3760177700697,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Quiche Lorraine -,0060383837648,D,,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,3871490481009,3871490481009,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,partyfizz - 75cl,3271470750598,,75 cl,['Bouteille'],['Partyfizz'],['Boissons'],,,,,['France'],"['jus de pomme a partir de concentré ', '90%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,35,-38%,?,,"8,5",-25%,?,,,,,,,,,,,,146 kj(35 kcal),,,,,,,,,,,,,-39%,,,,,,,,,,,
1123,filet mignon de porc Lidl,2277680007188,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,
1124,0296412011943,0296412011943,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Tic Tac intense mint - Ferrero,8000500251263,,,['pp-tub'],['Ferrero'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Pack de 6 litres de lait 1/2 écrémé,3597246006806,,,,,,,,,,['France'],[],,[],,?,,46,,"1,6",,"4,8",,"3,2",,,,,,,,,,,,192 kj(46 kcal),1,"4,8",0,0,,,,,,,,,,,,,,,,,,,,
1127,05601121,05601121,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Sans lactose']",,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Compote de Pomme - 400g,3438750401100,B,400 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Château La Croix montlabert - St emilion - 75cll,3211209160786,,75 cll,,['St emilion'],"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,poire william's - les fruitiers dauphinois - 2kg,3760021962325,,2 kg,['Carton'],['les fruitiers dauphinois'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,['France'],['38150 chanas'],,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Bulles de fruits,3187670016702,,,,,,,,,,['France'],[],,[],,?,,237,,12,,27,,"3,3",,,,,,,,,,,,992 kj(237 kcal),"6,9",20,"0,37","0,148",,,,,,,,,,,,,,,,,,,,
1132,Maigums,4750011850045,,,,,,,,,,['France'],[],,[],,?,,387,,10,,72,,"2,2",,,,,,,,,,,,1619 kj(387 kcal),6,64,"0,14","0,056",,,,,,,,,,,,,,,,,,,,
1133,Jambon cru de Pays,01633665,,,,,,,,,,['France'],[],,[],,?,,275,,19,,1,,25,,,,,,,,,,,,1151 kj(275 kcal),"7,6",1,"5,5","2,2",,,,,,,,,,,,,,,,,,,,
1134,Freshona,16715215,,,,['Freshona'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Tomato & brasil - Tesco,5057373519276,,,,['Tesco'],,,,,,['France'],[],,[],,?,,60,,"0,5",,4,,"9,2",,,,,,,,,,,,251 kj(60 kcal),"0,1","3,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,
1136,Les confiture à l'ancienne - TRUFFAUT - 1,3245310070047,,1,,['TRUFFAUT'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Pur jus de raison chasselas,3507101022414,,,,,,,,,,['France'],[],,[],,?,,76,,0,,"18,7",,0,,,,,,,,,,,,318 kj(76 kcal),0,"18,7",0,0,,,,,,,,,,,,,,,,,,,,
