,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,additives,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,generic_name,brand_owner
28,Jambon fume a l'ancienne - Domaine Picard,2602659022174,E,,,['Domaine Picard'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,,['France'],[],,[],,?,,123,-19%,"3,3",-46%,"0,5",+1%,23,+3%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,515 kj(123 kcal),"1,7","0,5","2,1","0,84",3.3 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,2.1 g,en quantité élevée,-19%,-29%,+3%,+8%,+8%,11,+13%,D,+13%,,,
29,Fish Jerky - Bulk Powders - 50G,5060343749597,E,50 G,['Plastique'],"['Bulk Powders', 'Bulkpowders']","['Produits de la mer', 'Poissons', 'Morues', 'Morue salée sèche']",,,,,['France'],"[""Morue Sauvage d'Atlantique "", 'Gadus Morhua', 'Sel', ' ALLERGENES: Les allergénes sont indiqués par les ingrédients figurant en caractères gras']",['Poisson'],"['Non végétalien', 'Non végétarien']",3,1434,+75%,338,+41%,"1,9",-90%,0,-100%,80,+556%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,['BULKPOWDERS.COM'],,1434 kj(338 kcal),"0,9",0,"1,4","0,56",1.9 g,en faible quantité,0.9 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,+50%,-67%,-100%,+64%,+64%,5,+2%,C,+2%,,,
30,"Selectionne par votre magasin, Fromage a raclette en tranches",3276264662101,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Confit de coquelicot de Nemours,3386941202107,,,,,,,,,,['France'],[],,[],,?,,275,,"0,27",,"68,1",,"0,3",,,,,,,,,,,,1151 kj(275 kcal),0,68,"0,1","0,04",,,,,,,,,,,,,,,,,,,,
32,Coconut milk - Ogy - 385ml,0022796970060,,385 ml,,['Ogy'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Finger food mozzarella,3523230027069,,,,,,,,,,['France'],[],,[],,?,,314,,18,,27,,14,,,,,,,,,,,,1314 kj(314 kcal),8,1,"1,3","0,52",,,,,,,,,,,,,,,,,,,,
34,2246545032603,2246545032603,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Vin de Bordeaux - Château grand Ferrand - 75cl,3700859990077,C,75cl,,['Château grand Ferrand'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,['France'],,,['France'],[],,[],,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Carn de Parol,3760065428504,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Vin vmv  ( ventoux) - 1litres,3302930009342,C,1 litres,['1 litres'],['VMV'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Ventoux']",,['France'],,,['France'],[],,[],,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
