,name,bar_code,eco_score,quantity,brand,categories,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,labels,allergens,generic_name,link,palm_ingredients,origin_detail,brand_owner,producer_info
1072,Confit'amandes à tartiner - La Vie Claire - 300g,3266191006536,,300 g,['La Vie Claire'],,,['La Vie Claire'],['France'],[],,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,28,,"2,3",,"39,2",,"38,5",,"11,6",,0,,0,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,,,,,
1073,Anneaux 3 céréales et au miel - La Vie Claire - 1,3266191008110,B,1,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,['La Vie Claire'],['France'],"['Céréales* 78,8% ', 'riz complet* 40,1%', 'maïs* 26,7%', 'auoine sucre de canne*', 'miel* 4,3%', 'sel de mer', 'caramel* ', 'sucre de canne""', 'eau', "" *Ingrédients agricoles issus de l'Agriculture Biologique"", ' Peut contenir des traces de soja', 'fruits à coque', 'et lait', ' Produit certifié par FR-BIO-01']",,['Non végétalien'],3,2.3 g,en faible quantité,0.5 g,en faible quantité,15 g,en quantité élevée,0.28 g,en faible quantité,?,,385,-4%,1611 kj(385 kcal),-4%,"2,3",-74%,"0,5",-77%,81,+21%,15,-10%,"7,9",-15%,"0,28",-22%,"0,112",-22%,0,-100%,B,-100%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1074,Flocon précuits de sarrasin - La Vie Claire - 350g,3266191035703,B,350 g,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons de sarrasin']",,['La Vie Claire'],['France'],"['Grains de sarrasin*', "" *Ingrédient agricole issu de l'Agriculture Biologique"", ' Traces possibles de gluten', 'soja', 'amandes', 'noix de cajou', ' et sésame', ' fruits à coques ', 'noisettes,']",,[],1,2.6 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en faible quantité,0 g,en faible quantité,1439,,340,-1%,1439 kj(340 kcal),-1%,"2,6",-6%,"0,5",-4%,65,-0%,"1,5",+34%,10,-12%,0,-100%,0,-100%,-6,,A,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Union européenne'],,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique']",['Gluten'],,,,,,
1075,Les produits de la ruche - Pollen de fleurs en pelotes - La Vie Claire - 220g,3266191051734,,220 g,['La Vie Claire'],"['Produits de la ruche', 'Pollens']",,['La Vie Claire'],['France'],['Pollen de fleurs'],,['Sans huile de palme'],1,7 g,en quantité modérée,1.5 g,en quantité modérée,41.6 g,en quantité élevée,0.035 g,en faible quantité,?,,391,+12%,1636 kj(391 kcal),+11%,7,+12%,"1,5",+34%,"53,5",+13%,"41,6",+26%,"22,8",+25%,"0,035",-24%,"0,014",-24%,9,-8%,C,-8%,,,,,,,,"['Pot', 'Verre', 'métal']",['Espagne'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique', 'Agriculture Espagne']",,,,,,,
1076,Tomates entieres pelees - La Vie claire - 630g,3266191103433,A,630 g,"['La Vie claire', 'La Vie Claire']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve']",,['La Vie Claire'],['France'],"['Tomates entières pelées* 62%', 'jus de tomates* 38%', "" *Ingrédients agricoles issus de l'Agriculture Biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,3.3 g,en faible quantité,0 g,en faible quantité,?,,20,-35%,84 kj(20 kcal),-32%,0,-100%,0,-100%,"4,5",+3%,"3,3",-10%,"1,1",-18%,0,-100%,0,-100%,-5,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,['Bocal en verre'],,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1077,Chocolat noir a croquer - La Vie Claire - 100g,3266191104393,D,100 g,['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['La Vie Claire'],['France'],"['Sucre de canne roux*', 'pâte de cacao*', 'beurre de cacao*', 'poudre de framboises* 2 %', "" Ingrédients issus de l'Agriculture Biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,38.8 g,en quantité élevée,26.2 g,en quantité élevée,43.7 g,en quantité élevée,0.1 g,en faible quantité,?,,558,+0%,2335 kj(558 kcal),+1%,"38,8",-2%,"26,2",+13%,"47,6",+23%,"43,7",+38%,"4,2",-45%,"0,1",+114%,"0,04",+114%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Papier', 'Tablette']",,,"['Bio', 'Bio européen', 'Sans lécithine', 'Pur beurre de cacao', 'AB Agriculture Biologique']",,,,,,,
1078,Psyllium blond - La Vie Claire,3266191106854,,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Psyllium blond']",,['La Vie Claire'],['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,51,-96%,12,-96%,51 kj(12 kcal),-96%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,-5,,A,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1079,Crêpes fourrées au chocolat - Atlantique Délices - 240g,3269350022446,D,240 g,['Atlantique Délices'],"['Plats préparés', 'Crêpes et galettes', 'Crêpes', 'Crêpes fourrées', 'Crêpes fourrées au chocolat']",,,['France'],[],,['Sans huile de palme'],,20 g,en quantité modérée,5.6 g,en quantité élevée,36 g,en quantité élevée,1.1 g,en quantité modérée,?,,434,-4%,1816 kj(434 kcal),-1%,20,-2%,"5,6",-9%,56,-0%,36,+1%,"6,3",-7%,"1,1",+37%,"0,44",+37%,21,+4%,E,+4%,76.5%,14.2%,4.3%,3.0%,2.0%,0.0%,53,"['Sachet', 'Plastique']",,['France'],"['Point Vert', 'Fabriqué en France', 'Sans conservateurs', 'en:palm-oil-free']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",8 Crêpes Fourrées au Chocolat,,,,,
1080,Sauce piquante asiatique - Le Voyage De Mamabé - 210g,3269714300371,,210 g,['Le Voyage De Mamabé'],"['Epicerie', 'Sauces', 'Sauces pimentées']",,,['France'],"['Sucre de canne*', ""vinaigre d'alcool*"", 'piment ', '19,5%', 'sel', 'ail*', 'poivron rouge*', 'épices*', ' Produit issu de ', ""'agriculture biologique""]",,[],3,0.5 g,en faible quantité,0.5 g,en faible quantité,40 g,en quantité élevée,4.22 g,en quantité élevée,?,,197,+63%,824 kj(197 kcal),+67%,"0,5",-84%,"0,5",+9%,44,+153%,40,+194%,"1,8",+55%,"4,225",-6%,"1,69",-6%,19,+52%,E,+52%,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,
1081,Filets de lotte du cap - Picard - 500g,3270160174812,,500 g,['Picard'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Filets de poissons', 'Fruits de mer surgelés', 'Poissons surgelés', 'Lottes', 'Filets de lotte']","['FR 77.333.001 CE', 'Nemours (Seine-et-Marne, France)']",['Picard'],['France'],"['Filet de lotte du Cap ', 'poisson', ' qualité sans arête', 'Lophius vomerinus sauvage pêché au chalut en Atlantique Sud-Est ', 'FAO 47']",,"['Non végétalien', 'Non végétarien']",,0.6 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.28 g,en faible quantité,?,,69,-39%,289 kj(69 kcal),-40%,"0,6",-84%,"0,1",-87%,"0,5",-79%,"0,5",+28%,16,-4%,"0,28",-36%,"0,112",-36%,-4,,A,,,,,,,,,"['Sachet', 'Plastique', 'surgelé']",['Atlantique Sud-Est FAO 47'],,,['Poisson'],Filets de lotte surgelés,,,,,
1082,Mogette de Vendée - Picard - 600g,3270160595488,,600 g,['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Surgelés', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Légumes français', 'en:White kidney beans', 'Mogette de Vendée']","['EMB 85191G', 'Roche-sur-Yon (Vendée, France)']",['Picard'],['France'],['Mogette'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.9 g,en faible quantité,0.2 g,en faible quantité,3.5 g,en faible quantité,0.01 g,en faible quantité,?,,157,+3%,657 kj(157 kcal),+2%,"0,9",-15%,"0,2",-9%,20,+8%,"3,5",+192%,11,+9%,"0,01",-98%,"0,004",-98%,-14,,A,,,,,,,,,"['boîte', 'Sachet en plastique']",,,['IGP'],,,,,,,
1083,Potiron en cubes - Picard - 600g,3270160757121,B,600 g,['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Produits de la plante de courge', 'Légumes surgelés', 'Courges et dérivés', 'Courges', 'Citrouilles surgelées']",,['Picard'],['France'],['Potirons'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0.1 g,en faible quantité,3.6 g,en faible quantité,0.01 g,en faible quantité,?,,34,-11%,142 kj(34 kcal),-11%,"0,2",-60%,"0,1",-30%,"6,4",-22%,"3,6",+30%,"0,9",-22%,"0,01",-96%,"0,004",-96%,-5,,A,,65.4%,0.0%,0.0%,15.1%,15.4%,4.1%,97,"['Sachet', 'Plastique', 'surgelé']",['Italie (Abruzzes et Emilie-Romagne et Pouilles)'],,,,Potiron en cubes,,,,,
1084,"Poêlée aux marrons, pommes et figues, sauce miel - 4 épices - Picard - 450g",3270160759606,,450 g,['Picard'],"['Surgelés', 'Plats préparés', 'Poêlées', 'Plats préparés surgelés']",,['Picard'],['France'],"['Marron entier cuit 50% ', 'Portugal', 'Espagne*', 'pomme 15% ', 'pomme', 'sel', 'antioxydants : acide citrique', 'acide ascorbique', 'beurre ', 'lait', 'figue sèche 8% ', 'figue', 'farine de riz', 'miel 6,9%', 'épices 0,3% ', 'cannelle', 'muscade', 'girofle', 'gingembre', 'sel', ""zeste d'orange haché"", 'épaississant : gomme xanthane']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E415 - Gomme xanthane']","['Non végétalien', 'Végétarien']",4,9.1 g,en quantité modérée,6.2 g,en quantité élevée,14 g,en quantité élevée,0.21 g,en faible quantité,814,+102%,209,+118%,814 kj(209 kcal),+100%,"9,1",+119%,"6,2",+444%,28,+188%,14,+641%,"1,8",-43%,"0,21",-64%,"0,084",-64%,5,,C,,,,,,,,,"['Sachet', 'Plastique', 'Surgelé']","['Portugal', 'Espagne']",['France'],['Végétarien'],['Lait'],,,,,,
1085,Petits pains multigraines - Picard - 240g,3270160821525,,240 g,['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,['Picard'],['France'],"['Farine de blé Type 65 Label Rouge 49% [farine de blé* ', 'gluten', 'gluten de blé*', 'farine de blé malté ', 'gluten', 'agent de traitement de la farine : acide ascorbique]', 'eau', 'graine de sésame 5,3%', 'graine de pavot 3,4%', 'graine de tournesol 2,2%', 'graines de lin ', 'jaune et brun', ' 1,8%', 'graine de millet 1,5%', 'sel', 'levure liquide*', 'gluten de blé*', 'correcteur de panification : farine de blé ', 'gluten', ""émulsifiant : mono - et di - glycérides d'acides gras d'origine végétale""]","['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",[],4,6.3 g,en quantité modérée,0.8 g,en faible quantité,2.1 g,en faible quantité,1.4 g,en quantité modérée,?,,289,-12%,1209 kj(289 kcal),-12%,"6,3",+3%,"0,8",-32%,46,-16%,"2,1",-46%,10,+5%,"1,4",+9%,"0,56",+9%,4,-22%,C,-22%,,,,,,,,['Surgelé'],,,['Label Rouge'],"['Gluten', 'Graines de sésame']",Petits pains,,,,,
1086,Pétillant pomme - Tit’Bulles,3271470754503,,,['Tit’Bulles'],['Boissons'],,,['France'],"['Pur jus de pomme', 'gaz-carbonique', ' Sans alcool', 'sans colorant et sans conservateur conformément à la réglementation']",['E290 - Dioxyde de carbone'],[],4,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.1 g,en faible quantité,?,,46,-18%,192 kj(46 kcal),-20%,0,-100%,0,-100%,"11,5",+2%,10,+6%,0,-100%,"0,1",+141%,"0,04",+141%,14,+83%,E,+83%,,,,,,,,,,,"['Sans alcool', 'Sans colorants', 'Sans conservateurs']",,,,,,,
1087,Sirop Menthe Glaciale - Moulin de Valdonne - 70cl,3272036001642,A,70 cl,['Moulin de Valdonne'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe', 'Boissons avec sucre ajouté']",,,['France'],"['Sucre', 'eau', 'sirop de glucose-fructose', 'arôme naturel de menthe avec autres arômes naturels', 'acidifiant : acide citrique', 'colorant : E131', 'stabilisant : E445']","['E330 - Acide citrique', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E445 - Esters glycériques de résine de bois']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,312,+31%,1305 kj(312 kcal),+27%,?,,,,77,+25%,75,+26%,?,,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,"['Verre', 'Bouteille']",,,"['Point Vert', 'Sans conservateurs', 'Sans consrvateur']",,,,,,,
1088,Flocons 5 Cereales - Celnat - 500g,3273120011141,B,500 g,['Celnat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales']",,"['Coloquinte', 'Biomonde']",['France'],"['flocons de blé*', ""d'orge"", ""d'avoine"", 'de seigle et de riz*', ' ', '*', "" Issus de l'Agriculture Biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2.9 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en faible quantité,0.01 g,en faible quantité,?,,356,-9%,1490 kj(356 kcal),-9%,"2,9",-64%,"0,8",-58%,"68,6",+4%,"1,4",-88%,"9,6",-2%,"0,01",-97%,"0,004",-97%,-6,-276%,A,-276%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Sachet', 'Plastique', 'Atmosphère protectrice']",['Union européenne'],,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']","['Gluten', 'Avoine']",Flocons de céréales,,,,,
1089,Flocons 5 Céréales - Celnat - 500g,3273120011271,C,500g,"['Celnat', 'Biothentic']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Pétales multicéréales']",,,['France'],"[""flocons d'avoine"", 'de blé toasté', ""d'orge toasté"", 'de seigle toasté', 'de riz toasté']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,3.3 g,en quantité modérée,0.8 g,en faible quantité,0.9 g,en faible quantité,0.008 g,en faible quantité,?,,367,-12%,1536 kj(367 kcal),-12%,"3,3",-73%,"0,8",-75%,"70,2",+12%,"0,9",-95%,"9,8",+2%,"0,008",-97%,"0,003",-97%,-6,-216%,A,-216%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,['Bio'],,,,,,,
1090,Sirop au sucre de canne - myrtille - Meneau - 50cl,3274490970434,A,50 cl,['Meneau'],"['Boissons', 'Sirops', 'Boissons sans alcool', 'Sirops aromatisés', 'Sirops de myrtille', 'Boissons sans sucre ajouté']",,"['Natureo', 'Biocoop Caluire']",['France'],"[""Sucre de canne roux d'Amérique du Sud**"", 'eau', 'jus de myrtille* 11%', 'jus concentré de citron* 7%', ""arôme naturel de myrtille issu de l'Agriculture Biologique*100% des ingrédients d'origine agricole sont issus de l'agriculture biologique et **86"", '6% du total des ingrédients sont issus du commerce équitable', ' ']",,[],1,,,,,,,,,?,,303,,,,"0,072",,,,"73,9",,,,"0,085",,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Verre'],['Agriculture biologique'],,"['Bio', 'Ecocert', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Biopartenaire']",,Sirop au sucre de canne bio équitable,,,,,
1091,Moutarde douce au riesling - Alélor,3275550002171,B,,['Alélor'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes douces', 'Moutardes-au-riesling']",,,['France'],"['Eau', 'graines de moutarde', 'vinaigre', 'Riesling 5% ', 'sulftes', 'sel', 'épice', 'arômes naturels', 'conservateur : bisulfite de sodium']","['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition']",[],4,5.5 g,en quantité modérée,0.2 g,en faible quantité,2.1 g,en faible quantité,2.7 g,en quantité élevée,?,,92.6,-40%,387 kj(92 kcal),-43%,"5,5",-39%,"0,2",-75%,"6,3",-44%,"2,1",-76%,"5,7",+13%,"2,7",-13%,"1,08",-13%,11,-1%,D,-1%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,['France'],"['Point Vert', 'Fabriqué en France']",['Moutarde'],,,,,,
1092,Riz Long Complet De Camargue Grand Badon,3275760000455,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de Camargue']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,362,+3%,1515 kj(362 kcal),+3%,0,-100%,0,-100%,78,+4%,0,-100%,"7,9",+6%,0,-100%,0,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,
1093,Tomato Ketchup - Ducros - 560g,3275920134303,B,560 g,['Ducros'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']",,,['France'],"['Purée de tomates ', '66,5%', 'sirop de glucose-fructose', ""vinaigre d'alcool"", 'sel', 'sucre', 'amidon modifié', ""arôme naturel d'épices avec d'autres arômes naturels"", ' Peut contenir céleri et lait', ' A']",['E14XX - Amidons modifiés'],[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,19.5 g,en quantité élevée,2.5 g,en quantité élevée,?,,112,+4%,469 kj(112 kcal),+4%,"0,5",+191%,"0,1",+63%,"24,8",+15%,"19,5",+3%,"1,1",-17%,"2,5",+47%,1,+47%,13,+14%,D,+14%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['Plastique'],,,,,,,,,,
1094,Pois casses bio - Tartines Et Potager,3276350022086,B,,['Tartines Et Potager'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois cassés secs']",,,['France'],"['PORTION Environ 70gr par personne', ' PRÉPARATION Faire tremper les légumes secs ', 'voir tableau', "" _ Les plonger dans 2 à 3 fois leur volume d'eau non salée"", ' - Ajouter une garniture aromatique', ' - Faire mijoter le temps nécessaire ', 'voir tableau', ""ajouter de l'eau si besoin"", ' - Saler à la fin de cuisson', ' CONSERVATION']",,[],,1.4 g,en faible quantité,0.2 g,en faible quantité,2.8 g,en faible quantité,0.05 g,en faible quantité,?,,344,+3%,1439 kj(344 kcal),+3%,"1,4",-8%,"0,2",-12%,52,+7%,"2,8",-21%,23,+3%,"0,05",+121%,"0,02",+121%,-6,,A,,64.4%,0.0%,18.1%,9.3%,5.1%,3.1%,95,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1095,Fougasse emmental - Carrefour,3276552882754,B,,['Carrefour'],"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses aux olives']",,['Carrefour'],['France'],"['Farine de BLE', 'eau', 'ernmental ', 'LAIT', ' 19%', 'margarine ', 'huiles ct matières grasses végétales ', 'palme', 'colza', 'eau', 'émulsifiants : EOI', 'acidifiant : E320', 'levure', 'sel', 'GLUTEN de BLE', 'levain de BLE', 'herbes de Provence', 'érnuj%ifiant F471', 'farine de BLE malté', 'agent de traitement de la farine [300']",['E320 - Butylhydroxyanisol'],['Non végétalien'],4,15 g,en quantité modérée,8.9 g,en quantité élevée,1.1 g,en faible quantité,1.4 g,en quantité modérée,?,,383,+40%,1602 kj(383 kcal),+39%,15,+74%,"8,9",+190%,45,+11%,"1,1",-6%,15,+60%,"1,4",-9%,"0,56",-9%,18,+59%,D,+59%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,"['Gluten', 'Lait']",,,,,,
1096,Harissa berbère - Samia,3276650400034,C,,['Samia'],"['Epicerie', 'Sauces', 'Harissas']",,,['France'],"['piments rouges', '%85', 'double concentre 4e tomate %11', 'ail', 'carvi', 'sel', 'acidi? fiant acide citrique', 'conservateur sorbate de potassium,']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",[],3,0.1 g,en faible quantité,0.01 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,?,,26,-75%,109 kj(26 kcal),-76%,"0,1",-98%,"0,01",-98%,5,-45%,1,-73%,1,-60%,"1,1",-70%,"0,44",-70%,4,-53%,C,-53%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,,,,,,
1097,Poudre à lever - La Pateliere - 11g,3278584131091,C,11 g,['La Pateliere'],"['Additifs alimentaires', 'Levure chimique']",,,['France'],"['Amidon de maïs', 'bicarbonate de sodium', 'tartrate monopotassique']","['E500ii - Carbonate acide de sodium', 'E336i - Tartrate monopotassique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,97,,,,"0,823",,,,"15,8",,,,"2,49",,,,,,,,,,35.2%,53.8%,4.4%,2.6%,3.9%,0.0%,59,['Sachet'],,,,,,,,,,
1098,La Patelière Coulis de fruits rouges 100% naturel - 165g,3278584720103,,165 g,['La Patelière'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de fruits rouges']",,,['France'],"['Fruits 70% : fraise - framboise - cassis - cerise griotte', 'sucre']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,32 g,en quantité élevée,0 g,en faible quantité,?,,140,+21%,586 kj(140 kcal),+20%,0,-100%,0,-100%,35,+33%,32,+30%,0,-100%,0,-100%,0,-100%,6,+160%,C,+160%,,,,,,,,,,,,,,,,,,
1099,Mini Gâteaux de Noël - Fortwenger - 350g,3279130104279,,350 g,['Fortwenger'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,['France'],[],,[],,20 g,en quantité modérée,9.1 g,en quantité élevée,30 g,en quantité élevée,0.4 g,en quantité modérée,?,,427,+6%,1787 kj(427 kcal),+6%,20,+3%,"9,1",+19%,56,+13%,30,+8%,"4,9",-10%,"0,4",-34%,"0,16",-34%,21,+17%,E,+17%,,,,,,,,,,,"['Point Vert', 'Fabriqué en Allemagne']",,,,,,,
1100,La Fermiere Yaourt Nature au lait entier,3279231135004,,,['La Fermiere'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,['Magasins U'],['France'],[],,[],,3.6 g,en quantité modérée,2 g,en quantité modérée,3.8 g,en faible quantité,0.05 g,en faible quantité,?,,65,-29%,272 kj(65 kcal),-29%,"3,6",+10%,2,-2%,"4,9",-55%,"3,8",-62%,"3,5",-7%,"0,05",-57%,"0,02",-57%,-1,-133%,A,-133%,,,,,,,,,,,,['Lait'],,,,,,
1101,Yaourt nature - La Fermière - 280g (2x 140g),3279231146000,A,280 g (2 x 140 g),['La Fermière'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de vache']","['FR 13.005.028 CE', 'Aubagne (Bouches-du-Rhône, France)']",['Carrefour City'],['France'],"['Lait entier', 'crème', 'ferments lactiques']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,7.7 g,en quantité modérée,5.1 g,en quantité élevée,4.8 g,en faible quantité,0.09 g,en faible quantité,415,+8%,100,+5%,415 kj(100 kcal),+5%,"7,7",+123%,"5,1",+134%,"5,2",-54%,"4,8",-54%,"2,8",-23%,"0,09",-22%,"0,036",-22%,6,+136%,C,+136%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,['Pots en grès sous cerclage cartonné'],"['France', 'Alpes']",,['Lait Français'],['Lait'],,,,,,
