,name,bar_code,eco_score,quantity,brand,categories,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,labels,allergens,generic_name,link,palm_ingredients,origin_detail,brand_owner,producer_info
574,Lipton Yellow Label Thé Noir Opération Emmaüs 60 sachets - 120g,8710604727440,A,120 g,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs']",,,['France'],['100% thé noir'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,4,+100%,17 kj(4 kcal),+70%,0,-100%,0,-100%,0,-100%,0,-100%,"0,5",+156%,0,-100%,0,-100%,1,-16%,B,-16%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Boite'],,,"['Point Vert', 'PEFC', 'Rainforest Alliance']",,thé noir,,,,,
575,Boule aux céréales biologique - Casino Bio - 500g,3222477383715,,500g,['Casino Bio'],['Pain spécial aux céréales'],['FR -BIO-10'],['Casino'],['France'],"['FR-BIO-10 Agriculture UE/ non UE N SPÉCIAL AUX CÉRÉALES BIOLOGIQUE ANGRÉDIENTS TIONNELLES POUR 100 g Farine de blé eau - levain ', 'farine de ble - eau', "" graines de toumesol4% graines de seSame 3% - flocons de blế 2% - graines de lin brun 2%-sel de Guérande - levure - farine d'orge maltée torréfiée"", ' ""Ingrédients d\'origine agricole obtenus selon le mode de production biologique', ' Cuite dans un atelier pouvant uti ser céréales', 'œufs', 'lait', 'arachide', 'fruits à coque', ' sésame soja et produits à base de ces ingrédients', 'sulfites', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",,['Non végétalien'],1,5.3 g,en quantité modérée,0.6 g,en faible quantité,1.6 g,en faible quantité,0.9 g,en quantité modérée,?,,261,,1092 kj(261 kcal),,"5,3",,"0,6",,42,,"1,6",,"8,8",,"0,9",,"0,36",,-4,,A,,,,,,,,,['Papier'],['France'],,"['Bio', 'Bio européen', 'FR-BIO-10']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Anhydride sulfureux et sulfites']",,,,,,
576,Schoko keks knusper Müsli - Knusperone - 750g,4061458059190,A,750 g,['Knusperone'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis au chocolat']",,['Aldi Nord'],"['France', 'Allemagne']",[],,[],,13 g,en quantité modérée,6.4 g,en quantité élevée,17 g,en quantité élevée,0.43 g,en quantité modérée,?,,417,-6%,1745 kj(417 kcal),-6%,13,-18%,"6,4",+24%,59,-4%,17,-11%,10,+7%,"0,43",+76%,"0,172",+76%,10,+10%,C,+10%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['Papier', 'Kunststoff']",,,"['Commerce équitable', 'en:FSC', 'FSC Mix', 'de:fsc-c108567']",,,,,,,
577,Crème aux oeufs vanille - U Bio - 4x 100g,3256227763342,A,4 x 100 g,"['U Bio', 'U']","['Produits laitiers', 'Desserts', 'Crèmes', 'Desserts lactés']",['FSC-C123652'],"['Magasins U', 'Super U']",['France'],"['LAIT entier* ', 'origine : France', ' 64,9%', 'OEUFS entiers frais* ', 'origine : France', ' 13%', 'sucre de canne*', 'CRÈME* ', 'origine : France', ' 7,7%', 'amidon de maïs', 'arôme naturel de vanille', ' *ingrédients issus de l agriculture biologique']",,['Non végétalien'],4,7 g,en quantité modérée,4 g,en quantité modérée,14 g,en quantité élevée,0.13 g,en faible quantité,604,-38%,144,-45%,604 kj(144 kcal),-44%,7,-73%,4,-77%,16,+259%,14,+270%,4,+63%,"0,13",+38%,"0,052",+38%,5,-59%,C,-59%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['Carton', 'Pots', 'Frais']",,,"['Bio', 'Bio européen', 'Agriculture UE', 'Oeufs de France', 'Lait Français', 'Transformé en France', 'AB Agriculture Biologique']","['Œufs', 'Lait']",,,,,,
578,Vitamines c - Juvamine,3160920651984,,,['Juvamine'],,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
579,Yaourt à la grecque - Luxlait,5450168540811,,,['Luxlait'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",,,['France'],[],,[],,10 g,en quantité modérée,7 g,en quantité élevée,4.7 g,en faible quantité,0.11 g,en faible quantité,?,,122,+4%,510 kj(122 kcal),+4%,10,+46%,7,+58%,"4,7",-46%,"4,7",-41%,"3,2",-28%,"0,11",-5%,"0,044",-5%,7,+72%,C,+72%,,,,,,,,,,,,,,,,,,
580,Filets de maquereaux grillés - Saupiquet,3165950221312,D,,['Saupiquet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux grillés']",,,['France'],[],,[],,27 g,en quantité élevée,5.2 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,311,+38%,1301 kj(311 kcal),+36%,27,+63%,"5,2",+34%,"0,5",-17%,"0,5",+13%,17,-4%,1,+2%,"0,4",+2%,12,+111%,D,+111%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,"['Couvercle en métal', 'Couvercle en métal']",,,,,,,,,,
581,Carrés graines - La Vie Claire - 140g,3266191009728,,140 g,['La Vie Claire'],,,['La Vie Claire'],['France'],[],,[],,,,,,,,,,?,,503,,2105 kj(503 kcal),,26,,13,,57,,31,,"8,2",,"0,62",,"0,248",,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,
582,Œufs plein air - Auchan,3596710479504,D,,['Auchan'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",,['Auchan'],['France'],[],,[],,9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,0.3 g,en quantité modérée,?,,140,+1%,586 kj(140 kcal),+1%,"9,8",-2%,"2,6",+6%,"0,5",-19%,"0,5",-0%,13,+4%,"0,3",+10%,"0,12",+10%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,
583,PAVÉ MULTIGRAINES,3605580020072,,,,,,,['France'],[],,[],,,,,,,,,,?,,279,,1167 kj(279 kcal),,"3,3",,"0,5",,50,,"1,5",,"9,3",,1,,"0,4",,,,,,,,,,,,,['Sachet'],,,,,,,,,,
