,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,link,palm_ingredients,producer_info
388,Confiture extra fraises - Casino - 360g,3222474258306,['France'],"['Fraises', 'sucre', 'sucre roux de canne', 'acidifiant : acide citrique', 'gélifiant : pectine de fruits', ' Préparée avec 50 g de fruits pour 100 g de produit fini']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,216,0,54,0,D,360 g,"['Bocal', 'Verre', 'pot']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,4,,-0%,-100%,+2%,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Confiture extra de fraises,['Casino'],904 kj(216 kcal),0,54,0,0,0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,-1%,-100%,+7%,-100%,-100%,11,+26%,D,+26%,"['E330 - Acide citrique', 'E440 - Pectines']","['EMB 46029A', 'Biars-sur-Cère (Lot, France)']",,,
389,Crevettes Nordiques Entières Cuites - Casino,3222474268411,['France'],[],[],?,99,"0,9","0,5",22,,,,['Casino'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,['Casino'],414 kj(99 kcal),"0,3","0,3","0,5","0,2",,,,,,,,,,,,,,,,,,,"['EMB 44150E', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,
390,Eau minérale naturelle source Amanda - Casino - 1.5l,3222474351182,['France'],['Eau minérale naturelle'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,1.5l,"['Bouteille', 'Plastique']",['Casino'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,['France'],,,1,,,,,,,,,,,,,Eau minérale,['Casino'],,,,"0,011","0,005",,,,,,,0.0114 g,en faible quantité,,,,-77%,-77%,0,-100%,A,-100%,,"['EMB 59626', 'Villers-Pol (Nord, France)']",,,
391,Arome intense 32% de cacao maigre - Casino,3222474372781,['France'],"['fibres alimentaires g Sodium I équivalent ensel 0,01 g avec un Cette boite permet de Pr CONSEILS DE 20 un grand verre', ' Versez du loft ', 'environ 200 mi']",[],?,363,"3,6",70,"7,5",,,,['Casino'],,,,,,,,,,,,,,,,,,,,['Casino'],1519 kj(363 kcal),"2,1",67,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,
392,Confit Myrtille 730G Co - Casino,3222474373382,['France'],['g • Fibres alimentiires : te apport moyen de'],[],?,229,"0,3",55,"0,3",,,,['Casino'],,,,,,,,,,,,,,,,,,,,['Casino'],958 kj(229 kcal),0,54,0,0,,,,,,,,,,,,,,,,,,,,,,
393,Confiture extra abricots - Casino - 730g,3222474373399,['France'],"['Abricots', 'sucre', 'sucre roux de canne', 'jus de citron concentré', 'gélifiant ', 'pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,67,"0,03",17,"0,2",A,730 g,"['Verre', 'Bocal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,4,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,['Casino'],280 kj(67 kcal),0,16,"0,025","0,01",,,,,,,,,,,,,,,,,,['E440 - Pectines'],"['EMB 46029', 'Biars-sur-Cère (Lot, France)']",,,
394,Hachis parmentier surgelé - Casino - 300g,3222474411862,['France'],[],[],?,?,?,?,?,,300 g,['Surgelé'],['Casino'],"['Surgelés', 'Plats préparés', 'Lots retirés de la vente', 'Plats préparés surgelés', 'Lots retirés de la vente en février 2013', 'Plats susceptibles de contenir de la viande de cheval', 'Plats susceptibles de contenir de la viande de cheval - lots retirés de la vente en février 2013']",,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Pyramides au chocolat - Casino Famili - 375g,3222474413019,['France'],"['Céréales 68% ', 'farine de riz', 'farine complète de blé 16%', 'semoule de maïs', 'farine de blé', 'sucre', 'chocolat en poudre 9% ', 'sucre', 'cacao en poudre', 'chocolat au lait 4% ', 'sucre', 'pâte de cacao', 'lait entier en poudre', 'beurre de cacao', 'lait écrémé en poudre', 'sucre caramélisé en poudre', 'huile de tournesol', 'sel', 'cacao maigre en poudre', 'arôme', 'vitamines : niacine ', 'vitamine PP', 'vitamine B6', 'riboflavine ', 'vitamine B2', 'thiamine ', 'vitamine B1', 'folacine ', 'vitamine B9', 'vitamine B12', 'fer']","['Sans huile de palme', 'Non végétalien']",1656,?,"2,9",82,"7,2",C,375 g,['Boite carton'],['Casino Famili'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales soufflées', 'Céréales au chocolat']","['Empreinte carbone', 'Au blé complet', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",,,"['Gluten', 'Lait']",4,+2%,,+1%,+3%,-5%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Géant'],1656 kj(396 kcal),"1,5",34,"0,508","0,203",2.9 g,en faible quantité,1.5 g,en quantité modérée,34 g,en quantité élevée,0.508 g,en quantité modérée,+3%,+81%,+52%,+35%,+35%,10,+74%,C,+74%,,,,,
396,Taboulé au poulet - Casino,3222474445805,['France'],[],[],?,192,"8,3",22,6,B,,,['Casino'],"['Plats préparés', 'Taboulés']",,,,,,,+14%,+28%,+3%,+36%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,['Casino'],803 kj(192 kcal),"0,9","3,1","0,97","0,388",8.3 g,en quantité modérée,0.9 g,en faible quantité,3.1 g,en faible quantité,0.97 g,en quantité modérée,+14%,+26%,-5%,+3%,+3%,3,+10%,C,+10%,,,,,
397,Miel liquide fleurs de France - Casino - 500g,3222474471354,['France'],['Miels de fleurs de France'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1365,?,0,80,"0,3",B,500 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Casino'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']","['Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",,,,2,+1%,,-100%,+3%,-12%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Casino'],1365 kj(326 kcal),0,80,0,0,0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0 g,en faible quantité,+9%,-100%,+15%,-100%,-100%,,,,,,"['EMB 39439', 'Port-Lesney (Jura, France)']",,,
398,Casino,3222474471583,['France'],[],[],?,?,?,?,?,,,,['Casino'],,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Saumon Sauce Beurre Citron - Casino,3222474498092,"['France', 'Royaume-Uni']","['Saumon Atlantique ', 'Salmo salar', ' crème fraîche 13% échalote eau beurre 2,6% - jus de citron à base de concentré 1,9% - amidons transformés de maïs - poudre de lait entier - fumet de poisson aromatisé [maltodextrine - sel - farine de blé - poisson - sucre légumes ', 'poireau - oignon - céleri', "" - crème en poudre - extrait de levure - huile d'olive - arôme naturel "", 'contient crustacés et poisson', ' - lactose - crevette en poudre - épices et plantes aromatiques - extrait de vin blanc', ' - huile végétale de tournesol - vin blanc concentré - sucre - sel ciboulette - arôme naturel - arôme naturel de citron 0,07% - épaississant : E415 - arôme naturel de poivre - épices - colorants : El 00', 'El 60c', '- fécule de pomme de terre El 20 maltodextrine', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['Non végétalien', 'Non végétarien']",?,157,10,"5,8",11,,,,['Casino'],,,,,"['Céleri', 'Crustacés', 'Poisson', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,['Casino'],657 kj(157 kcal),"4,4","1,2","0,52","0,208",,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",,,,
400,Vinaigre - cépage chardonnay,3222474628666,['France'],[],[],?,84,0,16,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,351 kj(84 kcal),0,14,"0,03","0,012",,,,,,,,,,,,,,,,,,,"['EMB 51454', 'Reims (Marne, France)']",,,
401,Pain Muesli - Casino - 1,3222474633325,['France'],[],[],?,265,?,?,10,,1,,['Casino'],,,,,,,,,,,,,,,,,,,,['Casino'],1109 kj(265 kcal),"0,5",14,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,
402,Frites - Casino,3222474640132,['France'],"['Pomme de terre déshydratée 46% ', 'contient des sulfites', ' - semoule de maïs 46% - huile de tournesol - arôme ', 'dont blé', ' - sel exhausteurs de goût : glutamate mono - sodique', 'guanylate disodique', 'inosinate disodique - colorant : curcumine', "" Traces d'arachides"", 'de lait', 'de céleri', 'de crustacés et d’œufs']",[],?,414,11,69,"7,5",,,,['Casino'],,,,,['Anhydride sulfureux et sulfites'],4,,,,,,,,,,,,,,['Casino'],1732 kj(414 kcal),"1,1","1,1","2,2","0,88",,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E100 - Curcumine']",,,,
403,Pizza à pâte fine jambon-emmental - Casino - 450g,3222474642518,['France'],"['Garniture 59,9 % : sauce tomate cuisinée 35,6 % ', 'eau', 'purée de tomates double concentrée', 'farine de blé', 'amidon transformé de maïs', ""poudre d'oignons"", 'sucre', 'arôme naturel', 'ail en poudre', 'piment doux', 'jambon cuit standard 32,8 % ', 'jambon de porc 80 %', 'eau', 'sel', 'glucose', 'dextrose', 'arôme', 'diphosphate de sodium', 'érythorbate de sodium', 'nitrite de sodium', 'fromage emmental 28,5 %', 'olives noires 2,8 % ', 'olives', 'sel', 'acide lactique', 'gluconate ferreux', 'eau', 'basilic 0', '03 %', 'origan', '\r Pâte 40,1 % : farine de blé', 'eau', 'levure', 'sel', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",995,?,"8,9",27,11,B,450 g,"['Frais', 'Plastique', 'Carton']",['Casino'],"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizza jambon fromage', 'Pizza jambon-emmental']","['Experimentation Etiquetage Nutritionnel 2016', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore C']",['France'],,"['Gluten', 'Lait']",4,+8%,,+31%,-2%,+5%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,,['Casino'],995 kj(238 kcal),"4,7",4,"1,2","0,48",8.9 g,en quantité modérée,4.7 g,en quantité modérée,4 g,en faible quantité,1.2 g,en quantité modérée,+8%,+38%,+36%,-15%,-15%,9,+14%,C,+14%,"['E14XX - Amidons modifiés', 'E450i - Pyrophosphate de sodium acide', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E579 - Gluconate de fer']","['EMB 80664A', 'Rancourt (Somme, France)']",,,
404,Sirop de fraise - Casino - 50cl,3222474650339,['France'],"['sucre de canne 62,7% - jus de fruits à base de concentrés 28,8% ', 'citron - fraise 10,5% - sureau', "" - eau - arôme naturel de fraise avec d'autres arômes naturels""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1428,?,0,84,0,A,50 cl,"['Bouteille', 'Verre']",['Casino'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise', 'Boissons avec sucre ajouté']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,4,+12%,,-100%,+19%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,Sirop de fraise,['Casino'],1428 kj(341 kcal),0,84,"0,02","0,008",,,,,,,,,+25%,-100%,+23%,+21%,+21%,,,,,,,,,
405,Fromage frais aux dés de pommes caramélisés - Casino - 500g,3222474668969,['France'],"['Lait écrémé origine France 61%', 'crème origine France 19%', 'sucre 7,8%', 'dés de pomme 6%', 'purée de pomme 2%', 'sirop de sucre caramélisé 2%', 'amidon transformé de maïs', 'arômes', 'épaississant : farine de graines de caroube', 'conservateur du fruit : sorbate de potassium', ""correcteur d'acidité : acide citrique"", 'ferments lactiques', 'coagulant microbien']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",501,?,5,14,"4,6",B,500 g,"['Boîte', 'Couvercle', 'Plastique', 'Opercule', 'Métal']",['Casino'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['en:lait-francais-french-milk'],['France'],,['Lait'],4,-60%,,-81%,+1057%,-77%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Casino'],501 kj(120 kcal),"3,7",12,"0,1","0,04",5 g,en quantité modérée,3.7 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,-63%,-79%,+1517%,-92%,-92%,4,-71%,C,-71%,"['E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['FR 14.366.001 CE', 'Lisieux (Calvados, France)', 'EMB 14366C', 'Lisieux (Calvados, France)']",,,
406,Des de Tomate - Casino,3222474695378,['France'],[],[],?,26,"0,2","4,4","1,1",,,,['Casino'],,,,,,,,,,,,,,,,,,,,['Casino'],109 kj(26 kcal),"0,1","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,
407,Pulpe Tomates Fine Basilic 390G Co - Casino,3222474695392,['France'],"[""Pulpe de tomates 73% • concentré de tomates 23% - oignon - sel - sucre - basilic 0,7% - correcteur d'acidité : acide citrique,""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,38,0,"7,1","1,5",,,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés']",,,,,3,,-44%,-100%,-5%,-24%,,,,,,,,,['Casino'],159 kj(38 kcal),0,"5,3","0,93","0,372",0 g,en faible quantité,0 g,en faible quantité,5.3 g,en quantité modérée,0.93 g,en quantité modérée,-42%,-100%,-7%,+42%,+42%,-1,,A,,['E330 - Acide citrique'],,,,
408,Confiture extra Rhubarbe - Casino - 360g,3222474701055,['France'],[],[],918,?,0,54,0,C,360 g,"['Bocal', 'Verre']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",,,['Biars-sur-Cère'],,,-4%,,-100%,-1%,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Casino'],918 kj(219 kcal),0,54,0,0,0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,-1%,-100%,+2%,-100%,-100%,7,-17%,C,-17%,,"['EMB 46029A', 'Biars-sur-Cère (Lot, France)']",,,
409,Marinade poulpe - Saveur D’Ailleurs Casino,3222474701383,['France'],"['MORCEAUX OE POULPE currs MARINES as nors d POULPE ', '8496', ' huile de tournesol', 'vinaigre', ' sel', ' persil', "" arôrne extraits d'épices"", ' ail', ' antioxydants : acide citrique', ' citrate de sodiUm• possible de gluten', 'crustacés', 'œuf', 'poisson', 'arachides', 'soja', 'lait', 'céleri', 'moutarde', 'sulfites • 63SkJ,']","['Non végétalien', 'Non végétarien']",?,152,"6,7","0,5",23,,,,['Saveur D’Ailleurs Casino'],,,,,"['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Lait', 'Mollusques', 'Moutarde', 'Arachides', 'Soja', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,,,,,636 kj(152 kcal),"0,8","0,5","7,3","2,92",,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium']","['FR 29.250.600 CE', 'Saint-Hernin (Finistère, France)']",,,
410,Marinade d’anchois a l’ail - Casino,3222474701390,['France'],"['Zijets dfANCHOiS ', '76%', 'huile de tournesol', 'ail ', '4%', 'ersA', 'vinaigre', 'sel', ""correcteur d'acidité : acide citrique"", ' Orésence possible de gluten', 'mollusques', 'crustacés', 'lait', 'moutarde', 'céleri', 'sulfites', "" 'aieurs nu"", 'tritionneiies']","['Non végétalien', 'Non végétarien']",?,267,21,"1,7",17,,,,['Casino'],,,,,"['Céleri', 'Crustacés', 'Lait', 'Mollusques', 'Moutarde', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,,,,['Casino'],1117 kj(267 kcal),"5,21","1,3","1,9","0,76",,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],"['FR 29.250.500 CE', 'Saint-Hernin (Finistère, France)']",,,
411,Ratatouille - Casino,3222474703684,['France'],[],[],?,61,"3,3","5,3","1,3",B,,,['Casino'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,-10%,-12%,+3%,+10%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,['Casino'],255 kj(61 kcal),"0,2","1,9","0,48","0,192",3.3 g,en quantité modérée,0.2 g,en faible quantité,1.9 g,en faible quantité,0.48 g,en quantité modérée,-9%,-63%,-51%,-33%,-33%,2,+104%,B,+104%,,,,,
412,Rêves de chocolat Escargots blanc - Beaumesnil - 200g,3222474706395,['France'],"['Praliné 35% ', 'sucre', 'pâte de noisettes', ""pâte d'amandes"", ' - sucre - beurre de cacao - poudre de lait entier - poudre de lait écrémé - éclats de noisettes 3% - lactosérum en poudre - cacao maigre en poudre - émulsifiant : lécithine de soja - arôme']","['Sans huile de palme', 'Non végétalien']",?,?,?,?,?,,200 g,['Carton'],['Beaumesnil'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,,,4,,,,,,,,,,,,,Bonbons de chocolat blanc fourrage au praliné et aux éclats de noisettes,['Casino'],,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],"['EMB 59020', 'Ascq (Nord, France)']",,,
413,Rêves de chocolat Les desserts du chocolatier Beaumesnil - 205g,3222474707057,['France'],"['Sucre - matières grasses végétales ', 'palme', 'palmiste', 'karité', ' - pâte de cacao - beurre de cacao - poudre de lait entier - cacao maigre en poudre - matière grasse de lait anhydre - éclats de sucre marron ', 'sucre - colorant : caramel ordinaire', ' - poudre de lait écrémé - lactose - lactosérum en poudre - brisures de croquants aux amandes et noisettes ', ""farine de blé - sucre - amandes et noisettes - poudre de lait écrémé - œufs entiers - poudre à lever : carbonates d'ammonium - arômes"", ' - éclats de fèves de cacao caramélisés ', 'éclats de fèves de cacao torréfiés - sucre', ' - éclats de meringues ', 'sucre - amidon de blé - blanc d’œuf - arôme', ' - huile de tournesol - éclats de caramel ', 'sucre - sirop de glucose - crème fraîche - poudre de lait écrémé - sel - dextrose - arôme', ' - émulsifiant : lécithines de tournesol - brisures de crêpe dentelle ', ""farine de blé - sucre - huile de tournesol - poudre de lait écrémé - malt d'orge - sel"", ' - arômes - céréales biscuitées ', 'farine de blé - sucre — malt de blé - amidon de blé - poudre à lever : carbonates de sodium - sel - beurre de cacao - arôme', ' - préparation café ', 'café - beurre de cacao - émulsifiant : lécithines de tournesol', "" - Scotch Whisky - agents d'enrobage : shellac"", 'gomme arabique']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,,205 g,['Carton'],['Beaumesnil'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,,,,,,bonbons de chocolat,['Casino'],,,,,,,,,,,,,,,,,,,,,,,"['E150a - Caramel E150a', ""E503 - Carbonates d'ammonium"", 'E322i - Lécithine', 'E500 - Carbonates de sodium', 'E904 - Gomme-laque', ""E414 - Gomme d'acacia""]","['EMB 42302', 'Sorbiers (Loire, France)']",,,
414,Œuf de poule en plaine air,3222474714284,['France'],[],[],?,141,10,"0,7",12,,,,,,['Label Rouge'],,,,,,,,,,,,,,,,,,,590 kj(141 kcal),0,"0,7","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,
415,12 Grandes Galettes Bretonnes - Casino - 350g,3222474718404,['France'],"['Farine de blé - sucre - beurre concentré 19,6% ', 'soit 23,9% en beurre reconstitué', "" - oeufs entiers frais - jaune d'oeufs - sel - poudres à lever : diphosphates"", 'carbonates de sodium - amidon de blé']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2094,?,23,67,"6,1",C,350 g,,['Casino'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['Aucun'],,,"['Œufs', 'Gluten', 'Lait']",4,+1%,,-1%,+6%,-2%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,12 Grandes galettes bretonnes,['Casino'],2094 kj(500 kcal),15,27,"1,3","0,52",23 g,en quantité élevée,15 g,en quantité élevée,27 g,en quantité élevée,1.3 g,en quantité modérée,+2%,+8%,+6%,+90%,+90%,26,+19%,E,+19%,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,,,
416,Boisson Lactée Chocolatée - Casino - 1L,3222474727550,['France'],"['Lait partiellement écrémé ', '58', '5 %', ' - perméat de lait reconstitué - chocolat en poudre ', 'cacao - sucre', ' ', '4', '2 %', ' - sucre - carbonate de calcium', 'stabilisants : ', 'carraghénanes', 'gomme xanthane', ' - vitamine D']",['Non végétalien'],278,?,1,12,"2,3",C,1 L,"['Brique', 'Carton']",['Casino'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés au chocolat', 'Boissons avec sucre ajouté']",,,"[""Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel"", 'Loiret', 'Centre-Val de Loire', 'France']",,4,-12%,,-41%,+9%,-29%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,Boisson lactée chocolatée stérilisée UHT,"['Géant', 'Casino']",278 kj(66 kcal),"0,6","8,5","0,13","0,052",1 g,en faible quantité,0.6 g,en faible quantité,8.5 g,en quantité élevée,0.13 g,en faible quantité,-10%,-46%,-18%,+2%,+2%,16,+29%,E,+29%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['FR 45.273.001 CE', ""Saint-Denis-de-l'Hôtel (Loiret, France)"", 'EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,,
