,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,link,palm_ingredients,producer_info
1902,Cordons bleus de Dinde - Grand Jury - 200g,3245390170194,['France'],"['Viande de dinde et préparation de viande de dinde : 50%', 'eau', 'fromage fondu ', 'fromages : 4%', 'eau', 'amidons modifiés', 'beurre', 'lait écrémé en poudre', 'lactosérum', 'sel émulsifiant : citrates de sodium', 'gélifiant : carraghénanes', 'farine de blé', 'chapelure de blé', 'sel', 'fibres de blé', 'dextrose', 'protéines de blé', 'levure', 'épices', 'arôme', 'arômes naturels', 'fibres de carotte', 'ferments', 'antioxydant : ascorbate de sodium', 'gélifiant : carraghénanes', ' Huile de tournesol']",['Non végétalien'],?,214,11,15,13,C,200 g,['Carton'],['Grand Jury'],"['Viandes', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']","['Viande-francaise', 'Volaille-francaise']",['France'],,"['Gluten', 'Lait']",4,,-4%,-10%,+4%,+3%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,"['Proxi', '8 à Huit']",895 kj(214 kcal),3,"2,1","1,4","0,56",11 g,en quantité modérée,3 g,en quantité modérée,2.1 g,en faible quantité,1.4 g,en quantité modérée,-4%,-6%,+19%,+5%,+5%,4,-44%,C,-44%,"['E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,
1903,Pain de Mie Nature - Grand Jury - 280g (15tranches),3245390170231,['France'],"['Farine de blé 66 %', 'eau', 'levure', 'huile de colza', 'dextrose', 'sucre', 'sel', 'gluten de blé', ""émulsifiant : mono - et diglycérides d'acides gras"", 'farine de fèves', 'conservateur : propionate de calcium', 'agent de traitement de la farine : acide ascorbique']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,282,"4,5",51,8,B,280 g (15 tranches),"['Sachet', 'Plastique']",['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,,,['Gluten'],4,,+6%,+1%,+11%,-5%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,Pain de mie nature extra moelleux tranché,"['CC Le Samba', 'Proxi', '8 à Huit']",1180 kj(282 kcal),"0,4","5,5","1,3","0,52",4.5 g,en quantité modérée,0.4 g,en faible quantité,5.5 g,en quantité modérée,1.3 g,en quantité modérée,+5%,-38%,+6%,+14%,+14%,3,+107%,C,+107%,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium', 'E300 - Acide ascorbique']","['EMB 58079A', 'Clamecy (Nièvre, France)']",,,
1904,Thon à la Catalane,3245390173263,['France'],[],[],?,99,"4,3","4,3",10,,,,,,,,,,,,,,,,,,,,,,,,,414 kj(99 kcal),"0,4","3,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,
1905,100G Pave 6 Tranches Grand Jury,3245390173874,['France'],[],[],?,357,28,"2,9",22,,,,['Grand Jury'],,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,1494 kj(357 kcal),12,"2,3","4,6","1,84",,,,,,,,,,,,,,,,,,,,,,
1906,Coppa - Grand Jury - 100g,3245390173904,['France'],[],[],?,269,17,1,27,E,100 g,"['Barquette', 'Plastique']",['Grand Jury'],"['Viandes', 'Charcuteries', 'Coppa']",['Fabriqué en France'],['Union européenne'],['France'],,,,-11%,-17%,+63%,+2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,"['Proxi', '8 à Huit']",1125 kj(269 kcal),"6,9",~ 0,"4,9","1,96",17 g,en quantité modérée,6.9 g,en quantité élevée,0 g,en faible quantité,4.9 g,en quantité élevée,-9%,-12%,-100%,+10%,+10%,19,-6%,E,-6%,,"['FR 11.262.047 CE', 'Narbonne (Aude, France)', 'EMB 11262N', 'Narbonne (Aude, France)']",,,
1907,Sablés fourrage à la noisette - Grand Jury - 125g,3245390175502,['France'],[],[],?,524,?,?,5,C,125 g,['Carton'],['Grand Jury'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,,+11%,,,-23%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Proxi', '8 à Huit']",2192 kj(524 kcal),10,38,"0,25","0,1",,,10 g,en quantité élevée,38 g,en quantité élevée,0.25 g,en faible quantité,+10%,-1%,+29%,-58%,-58%,,,,,,,,,
1908,Gratin de choux-fleurs surgelé - Grand Jury - 450g,3245390175748,['France'],[],[],?,96,"6,2","4,7","4,3",A,450 g,"['Carton', 'surgelé']",['Grand Jury'],"['Surgelés', 'Plats préparés', 'Gratins', 'Plats préparés surgelés', 'Gratins de légumes', 'Gratins de choux-fleurs']",,,,,,,+7%,+14%,-11%,+8%,53.7%,19.7%,8.9%,9.2%,5.0%,3.6%,91,,"['Proxi', '8 à Huit']",402 kj(96 kcal),"2,58","0,5","0,66","0,264",6.2 g,en quantité modérée,2.58 g,en quantité modérée,0.5 g,en faible quantité,0.66 g,en quantité modérée,+6%,-20%,-80%,+4%,+4%,2,-22%,B,-22%,,,,,
1909,Foie gras de canard entier du Sud-Ouest - Reflets de France,3245390177766,['France'],[],[],?,?,?,?,?,A,,"['Bocal', 'Verre']","['Reflets de France', 'Carrefour']","['Conserves', 'Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,"['France', 'Sud-Ouest']",['France'],,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,"['FR 65.304.002 CE', 'Maubourguet (Hautes-Pyrénées, France)']",https://www.refletsdefrance.fr/produits/produits-du-traiteur/foie-gras/bocal-de-foie-gras-de-canard-entier-du-sud-ouest-l-ancienne,,
1910,BQ Micro Onde 300G Poulet Basquaise Grand Jury - 300g,3245390180612,['France'],[],[],?,115,"2,8",16,"6,3",,300 g,,['Grand Jury'],,,,,,,,,,,,,,,,,,,,"['Proxi', '8 à Huit']",481 kj(115 kcal),"0,6","1,9","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,
1911,Saumon à l'Aneth et ses tagliatelles - Grand Jury - 300g e,3245390180629,['France'],"['Pâtes aux œufs cuisinées 38 % [eau', 'pâtes aux œufs ', 'semoule de blé dur', 'œuf', 'huile de tournesol', 'sel', ""vinaigre d'alcool]"", 'portion de filets de saumon atlantique 25 %', 'eau', 'crème', 'carottes', 'beurre', 'amidon modifié de pomme de terre', 'aneth 0,5 %', 'sel', 'arômes ', 'contient poisson', 'épaississants : gomme guar et gomme xanthane', 'poivre']",['Non végétalien'],?,130,"6,5","9,8","7,7",,300 g e,"['Carton', 'Plastique']",['Grand Jury'],"['Plats préparés', 'Plats préparés au poisson', 'Plats au saumon', 'Plats préparés à réchauffer au micro-ondes']","['Point Vert', 'Fabriqué en France', 'Triman']",,['France'],"['Œufs', 'Poisson', 'Gluten', 'Lait']",4,,-13%,-9%,-20%,+10%,,,,,,,,,"['Proxi', '8 à Huit']",544 kj(130 kcal),"2,1","< 0,5","0,8","0,32",6.5 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,0.8 g,en quantité modérée,-11%,-12%,-72%,+10%,+10%,2,-10%,B,-10%,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['FR 29.269.020 CE', 'Saint-Thurien (Finistère, France)', 'EMB 56251E', 'Theix (Morbihan, France)']",,,
