,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,allergens,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
496,Passata - Palazzo - 700g,27039717,['Palazzo'],['Bio'],"['Belgique', 'France']","['Tomates biologiques 99,7%', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,49,"0,4",9,"1,8",A,700g,"['Epicerie', 'Sauces', 'Sauces tomate']",,0.4 g,en faible quantité,0 g,en faible quantité,9 g,en quantité modérée,0.5 g,en quantité modérée,,-44%,205 kj(49 kcal),-43%,-81%,0,-100%,-24%,9,-8%,+15%,"0,5",-61%,"0,2",-61%,-3,-158%,A,-158%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['pot en verre'],,,,,3,,,,,,,
497,Riz complet - Bon Ri - 500g,27040263,['Bon Ri'],"['Bio', 'Bio européen', 'Agriculture non UE', 'IT-BIO-007']","['Belgique', 'France', 'Luxembourg']",['Riz thaï LONG GRAN COMPLET'],[],?,355,"3,1",73,"7,4",B,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz complet']",['Aldi'],3.1 g,en quantité modérée,0.6 g,en faible quantité,1 g,en faible quantité,0.01 g,en faible quantité,,+7%,1485 kj(355 kcal),+6%,+17%,"0,6",+8%,+9%,1,+51%,0%,"0,01",-70%,"0,004",-70%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,['Plastique'],,,,,,,,,,,,
498,Biscuits pour bébés bio - Baby biscuits - 360g,27051443,['Baby biscuits'],"['Carbone', 'Naturel']",['France'],"['Farine de blé', 'sucre de canne', 'huile de tournesol', 'beurre ', 'lait', 'lait écrémé en poudre', ""extrait de malt d'orge"", 'poudres à lever ', ""carbonates d'ammonium"", 'carbonates de sodium', 'tartrates de potassium', 'émulsifiant: lécithines de tournesol', 'arôme naturel de vanille', 'vitamines B1', ' Peut contenir des traces de soja', ' Contient du gluten']","['Sans huile de palme', 'Non végétalien']",?,421,"8,6",76,"8,7",C,360g,"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Biscuits pour bébé', 'Dès 6 mois']",,,,,,,,,,,-4%,1761 kj(421 kcal),-4%,-30%,"1,8",-52%,+4%,24,+12%,+21%,"0,23",-16%,"0,092",-16%,,,,,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,,,,,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E336 - Tartrates de potassium', 'E322i - Lécithine']",4,"['Gluten', 'Lait']",,,,,,
499,Pain Multigrain Aldi - Délipain Aldi,27067963,['Délipain Aldi'],,['France'],"['Keizerbrood empereur blancs / Kaiserb NL Ingrediënten: tarwebloem', 'water', 'balkkersgist', 'bakkerszout', 'roggezuurdesem ', 'gedroogd', 'dextrose ', 'tarwe', 'rijstemeel', 'emulgator ', 'plantaardig', ' mono - en van vetzuren', 'veresterd met monoacetyl - en diacetylwijnsteenzuur', ' voedingszuur ', 'natriumacetaten', 'plantaardige olie ', 'koolzaad', ' Dit product kan sporen van soja', 'sesamzaad', 'noten en melk bevatten', ' diglyceriden Verpakt onder beschermende atmosfeer']",[],?,235,3,44,"7,2",,,,,,,,,,,,,,,983 kj(235 kcal),,,"0,5",,,"0,6",,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,4,,,,,,,
500,Corned Beef - Panda - 340g,27089446,['Panda'],['en:Verified'],"['Belgique', 'France']","['boeuf cuit ', '88,8%', 'boeuf ', '8%', ',sel', 'sucre', 'conservateur:nitrite de sodium,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,227,15,1,22,,340 g,"['Conserves', 'Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Viandes en conserve', 'Corned-beef']",['Aldi'],15 g,en quantité modérée,7.4 g,en quantité élevée,0.9 g,en faible quantité,2.2 g,en quantité élevée,,0%,950 kj(227 kcal),+1%,-1%,"7,4",+3%,+97%,"0,9",+220%,+2%,"2,2",+41%,"0,88",+41%,18,+17%,D,+17%,,,,,,,,['Conserve'],,,['BRASIL SIF 226'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,,,,
501,Andouillette de troyes,2850777041526,,,['France'],[],[],?,220,16,0,19,E,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",,16 g,en quantité modérée,7.8 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,-7%,920 kj(220 kcal),-6%,-9%,"7,8",-5%,-100%,0,-100%,+3%,2,+11%,"0,8",+11%,17,-2%,D,-2%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,,,,
502,Abondance - Nos régions ont du talent,2860057020608,"['Nos régions ont du talent', 'Leclerc']",,['France'],[],[],?,397,33,5,25,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",['Leclerc'],33 g,en quantité élevée,21 g,en quantité élevée,5 g,en quantité modérée,1.5 g,en quantité modérée,,-1%,1661 kj(397 kcal),-1%,0%,21,-3%,+682%,5,+1679%,-0%,"1,5",-5%,"0,6",-5%,16,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
503,Bananes Bio village,2860144010956,['Bio Village'],['Bio'],['France'],[],[],?,97,"0,2",21,"1,2",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['Leclerc'],0.2 g,en faible quantité,0.1 g,en faible quantité,16 g,en quantité élevée,0.01 g,en faible quantité,,-1%,406 kj(97 kcal),-1%,-6%,"0,1",+14%,-3%,16,+7%,0%,"0,01",-41%,"0,004",-41%,-1,,A,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,
504,Bananes - Bio Village,2860144011885,['Bio Village'],"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,97,"0,2",21,"1,2",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['Leclerc'],0.2 g,en faible quantité,0.1 g,en faible quantité,16 g,en quantité élevée,0.01 g,en faible quantité,,-1%,406 kj(97 kcal),-1%,-6%,"0,1",+14%,-3%,16,+7%,0%,"0,01",-41%,"0,004",-41%,-1,,A,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,"['EMB 57420A', 'Loutremange (Moselle, France)']",,,,,,,,,
505,Apfelmus - Golden Fruit - 710g,29041022,['Golden Fruit'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,B,710 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['Glas', 'Packung(en)']",,,,,,,,,,,,
506,Pain de seigle complet ( pain noir ) - GutBio - 400g,29049349,['GutBio'],"['Bio', 'Bio européen', 'DE-ÖKO-001']","['France', 'Allemagne']",[],[],?,186,"0,9",35,"4,5",B,400g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,0.9 g,en faible quantité,0.1 g,en faible quantité,6.4 g,en quantité modérée,1.1 g,en quantité modérée,,-19%,778 kj(186 kcal),-19%,-54%,"0,1",-71%,-16%,"6,4",+118%,-35%,"1,1",-4%,"0,44",-4%,5,+355%,C,+355%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,,,
507,Andouilette - Bobosse,2977369003844,['Bobosse'],['Contient des sulfites'],['France'],"[""flNDOUlLLETTE BERUJOLRISE R base de panse de porc et panse de veau il'yidientc•Panse de porc France"", 'p', 'nce de veau Union Européenne', ' oignon', ' moutardu ', 'eau', 'graine de moutarde', 'vinaigre d alcool', ' acidifiant: f330b conservateur: disulfite de potassium', 'vinaigre vin rouge ', 'conservateur: bisutfite de sodium', 'ait', 'gelé', 'epices', ' Présence de sulfites', ' Boyau naturel de boeuf Valeurc']",[],?,145,"8,2","1,2","16,7",E,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes']",,8.2 g,en quantité modérée,3.5 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,-37%,607 kj(145 kcal),-37%,-53%,"3,5",-54%,+94%,"0,5",+37%,-8%,"1,3",-24%,"0,52",-24%,4,-76%,C,-76%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,"['FR 69.211.001 CE', ""Saint-Jean-d'Ardières (Rhône, France)""]","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,['Moutarde'],,,,,,
508,Pizza munster lardons - Solemio - 450g,3000027364045,['Solemio'],,['France'],"['Pâte ', 'farine de blé - eau - huile de tournesol - levure boulangère sel', ' - 17,7% crème épaisse légère [crème légère ', 'lait', 'épaississants ', 'amidon modifié', 'pectines', 'ferments lactiques] - 11,1 % pommes de terre ', 'pommes de terre', 'sel', 'conservateur : métabisulfite de sodium 8,9% Munster ', 'lait', '8,9% fromage râpé [8,8% emmental ', 'lait', 'fécule de pomme de terre] - 4,4% Lardons cuits fumés ', 'poitrine de dextrose', 'antioxydant : érythorbate de sodium', 'conservateur nitrite de sodium', ' - 4,4 % oignons grillés sel - épices et plantes aromatiques - sucre - arômes naturels']","['Non végétalien', 'Non végétarien']",?,233,10,"25,9","8,9",,450 g,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,10 g,en quantité modérée,6.1 g,en quantité élevée,7.1 g,en quantité modérée,1.1 g,en quantité modérée,,+2%,975 kj(233 kcal),+2%,+19%,"6,1",+55%,-4%,"7,1",+141%,-14%,"1,1",-12%,"0,44",-12%,13,+67%,D,+67%,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,"['Gluten', 'Lait']",,,,,,
509,Abricots - Rhoda-Coop - 1kg,3000050032515,['Rhoda-Coop'],['Catégorie I'],['France'],"['Abricots', 'variété Orangered']",[],?,?,?,?,?,,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Abricots', 'Abricots frais']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Sachet', 'Plastique']",['France'],,,,1,,,,,,,
510,Chewing gum parfum menthol - hollywood - 31g,30034617,['Hollywood'],,['France'],"['Sucre', 'Gomme base', 'Sirop de glucose', 'Arômes', 'Stabilisant ', 'E420', 'Humectant ', 'E422', 'Emulsifiant ', 'Lécithine de tournesol', 'Antioxydant ', 'E321']",['Sans huile de palme'],?,295,"0,3",74,0,,31 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,0.3 g,en faible quantité,0.1 g,en faible quantité,64 g,en quantité élevée,0 g,en faible quantité,,+76%,1234 kj(295 kcal),+76%,+27%,"0,1",-25%,+16%,64,+1231%,-100%,0,-100%,0,-100%,,,,,,,,,,,,['Paquet'],,,,"['E420 - Sorbitol', 'E422 - Glycérol', 'E322i - Lécithine', 'E321 - Butylhydroxytoluène']",4,,,,,,,
511,"La Mordue - 27,5cl",3013060203608,['la mordue'],['Bio'],['France'],[],[],?,?,?,?,?,D,"27,5 cl","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons alcoolisées', 'Cidres']",['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,['Bouteille'],,,,,,,,,,,,
512,Vinaigrette Biologique au vinaigre de Cidre - TÊTÊNOIRE,3013160100050,['TÊTÊNOIRE'],['Bio'],['France'],"['Huile de tournesol*', 'vinaigre de cidre* ', '35,1 Oh', 'bouquet de pommes* ', 'vinaigre de cidre ', 'jus de pommes concentrë', 'moutarde de Dijon ', 'graines de moutarde ', ""vinaigre d'alcoolF"", 'eau', 'sel', 'eau', 'sel', ' ragriculture biologique']",[],?,470,51,"1,9","0,4",D,,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,51 g,en quantité élevée,5.8 g,en quantité élevée,1.6 g,en faible quantité,2.2 g,en quantité élevée,,+30%,1966 kj(470 kcal),+31%,+39%,"5,8",+54%,-60%,"1,6",-51%,-32%,"2,2",+15%,"0,88",+15%,19,+28%,E,+28%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,3,['Moutarde'],,,,,,
513,Macaron decongelé - Leclerc - 462g,3015678200680,['Leclerc'],['Ne pas recongeler'],['France'],"['Sucre - Amandes Blancs dieufs Crème ', 'crème ', 'lait', 'stobilbcnt : corro hénones', ""émulsifiant : ester Iodique des mon? et diglycérides d'oci"", 'e vos', ' Fourrage citron ', 'pulpe de citron 48%', 'sucre', 'jus de citron 3%', 'concentré de citron 2%', 'gélifiant : pectines', 'correcteur : acide citrique', 'antioxydant : acide ascorbique', ""huile d'acidité essentielle de citron"", ' Fourrage tromboise ', 'brisures de framboise 45%', 'sucre', 'sirop de glucose-fructose', 'gélifiant : pectines', ""correcteur d'acidité : acide citri lie"", ' Beurre ', 'lait', ' - Amidon de moïs - Fourrage chocolat blanc 1% [locolot blanc 55% ', 'sucre', 'lait entier en poudre', 'beurre de cocoo', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'huile végétale ', 'colza', '] - Chocolat 0,8% ', 'pâte de cocco', 'sucre', 'beurre de cocoo', 'émulsifiant : lécithine de so?a', ' - Chocolat noir 0,8% ', 'pâte de cocoo Sôo Tomé', 'sucre', ""émulsifiant : fédlthine de soja - œufs - Purée diamande Blancs d'œufs en poudre - Pâte de pistache "", 'pistaches vertes 49%', 'sirop de sucre', 'eau', 'arôme naturel', ' - EOU Colorants : rouge de betterave', 'caramel ordinaire', 'curcumine', 'complexes cuivre chlorophylline phosphot$de riboflavine - Arôme naturel de vanille - Chocolat blanc 0,2% ', 'sucre', 'beurre de cocoo', 'lait entier en poudre', 'émulsifiant : lécithine de soiq arôme naturel de vanille', "" - Lait écrémé en poudre - Sirop de glucose - Extrait de malt d'orge "", ' luten', ' - Lait entier en poudre - Amidon modifié de maïs - Extrait % café concentré 0,03% - Cocoo en poudre 0,03% - Sirop de sucre inverti - Acidifiant : acide citrique - Agent moussant : citrate de triéthyle - Gélifiant : alginate de sodium - Stabilisant : gomme xanthone - Séquestrant : phosphate disodique - Grains de vanille épuisée', ' Contiennent : œufs', 'lait', 'soja', 'gluten', 'amandes et istaches', ' es produits ont PU être en contact avec : arachide', 'graines de sésame', 'sulfites et autres fruits à coque', ' Poids net : 462 g Macarons décongelés', ' A conserver entre 0 et 40C', ' Ne pas recongeler', ""ius0U'OU : voir sur l'étiquette magasin""]",['Non végétalien'],?,416,18,52,"9,8",D,462 g,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,18 g,en quantité modérée,4.3 g,en quantité modérée,52 g,en quantité élevée,0.16 g,en faible quantité,,-2%,1741 kj(416 kcal),-2%,+1%,"4,3",-5%,-6%,52,+3%,+14%,"0,16",+12%,"0,064",+12%,9,-49%,C,-49%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E322i - Lécithine', 'E162 - Rouge de betterave', 'E150a - Caramel E150a', 'E100 - Curcumine', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E14XX - Amidons modifiés', 'E1505 - Citrate de triéthyle', 'E401 - Alginate de sodium', 'E339ii - Phosphate disodique']",4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",,,,,,
514,Olives apéro farcies - Tramier - 130g,3017239004126,['Tramier'],"['Empreinte carbone', 'Sans arômes ajoutés', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",['France'],"['Olives vertes farcles au poivron', ' : olives vertes', 'poivron rouge ', '14%', 'sel', ""huile d'olive vierge extra"", ""correcteur d'acidité : acide citrique"", 'antioxydant : acide ascorbique', ' Contient des sulfites', ' Sans arôme']",[],635,154,16,0,1,A,130g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives marinées']",,16 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,4 g,en quantité élevée,-12%,-17%,635 kj(154 kcal),-19%,-12%,3,+11%,-100%,0,-100%,-29%,4,+10%,"1,6",+10%,8,-32%,C,-32%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['Sachet'],,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",3,['Anhydride sulfureux et sulfites'],,,https://tramier.fr/products/farcies-au-poivron/,,,
515,Kinder Bueno - 258g e,3017620694066,['Kinder'],['Point Vert'],['France'],"['Chocolat au lait 31,5 % ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'beurre concentré', 'émulsifiants: lécithines [soja]', 'vanilline', 'sucre', 'huile de palme', 'farine de froment', 'noisettes broyées 10,8%', 'lait écrémé en poudre', 'lait en poudre', 'chocolat noir ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiants: lécithines [soja]', 'vanilline', 'cacao maigre', 'émulsifiants: lécithines [soja]', 'poudres à lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", 'sel', 'vanilline']","['Huile de palme', 'Non végétalien']",2384,?,"37,3","49,5","8,6",,258 g e,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées', 'Barres chocolatées biscuitées aux noisettes']","['Aldi', 'Cora']",37.3 g,en quantité élevée,17.3 g,en quantité élevée,41.2 g,en quantité élevée,0.272 g,en faible quantité,+0%,,2384 kj(570 kcal),+0%,+1%,"17,3",-1%,-1%,"41,2",-1%,-1%,"0,272",-7%,"0,109",-7%,27,+1%,E,+1%,,,,,,,,"['Sachet', 'Plastique', 'Petit Format']",,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",4,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","Gaufrettes enrobées de chocolat au lait, fourrées lait et noisettes broyées",['Huile de palme'],,,,
516,Croustilles format familial - Belin - 140gr,3017760422192,"['Belin', 'Kraft Foods']","['Sans colorants', 'Sans conservateurs']",['France'],"['Semoule de maïs 64%', 'cacahuètes grillées moulues 34%', 'matière grasse végétale', 'sel', 'glutamate monosodique', 'poivre']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",2020,?,22,55,14,B,140 gr,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Super U'],22 g,en quantité élevée,4.8 g,en quantité modérée,3.3 g,en faible quantité,1.98 g,en quantité élevée,+1%,,2020 kj(483 kcal),+3%,+11%,"4,8",-11%,-7%,"3,3",-16%,+41%,"1,981",-1%,"0,792",-1%,14,-9%,D,-9%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['sachet en plastique'],,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,Spécialité à base de maïs,,,,,
517,Petit LU Pépites de Chocolat - 200g,3017760436397,['LU'],['en:Charte LU Harmony'],['France'],"['Farine de blé 61,8%', 'sucre', 'beurre 14,4%', 'pépites de chocolat 12% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'poudre à lever ', ""carbonate acide d'ammonium"", 'diphosphate disodique', 'carbonate acide de sodium', 'lait écrémé en poudre', 'sel', 'cacao maigre en poudre', 'gluten de blé', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1905,?,16,68,8,C,200 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Petits beurres']",,16 g,en quantité modérée,10 g,en quantité élevée,26 g,en quantité élevée,1.75 g,en quantité élevée,-4%,,1905 kj(455 kcal),-4%,-14%,10,-15%,-0%,26,-8%,+13%,"1,75",+126%,"0,7",+126%,23,+6%,E,+6%,75.0%,14.2%,4.8%,3.0%,2.9%,0.0%,71,"['Carton', 'Plastique', 'Carton']",,,,"['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",4,"['Gluten', 'Lait', 'Soja']",Petit beurre aux pépites de chocolat,,,,,
518,Petit ecolier - Lu - 1,3017760644495,['Lu'],,['France'],[],[],?,500,24,65,"6,5",D,1,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Petits beurres', 'Petit beurre au chocolat']",,24 g,en quantité élevée,15 g,en quantité élevée,40 g,en quantité élevée,0.6 g,en quantité modérée,,-1%,2092 kj(500 kcal),-0%,-0%,15,0%,+3%,40,+11%,-4%,"0,6",+9%,"0,24",+9%,24,+1%,E,+1%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['boîte'],,,,,,,,,,,,
519,Pépito Pocket Chocolat au Lait - LU - 240g,3017760648295,['LU'],,['France'],"['Farine de blé', 'chocolat au lait 28% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lactose et protéines de lait', 'lait écrémé en poudre', 'matière grasse végétale', 'beurre pâtissier', 'lactose', 'lécithine de soja', 'E476', 'arôme', 'matière grasse végétale', 'sucre', 'lactose et protéines de lait', 'noix de coco', 'sirop de glucose-fructose', 'sel', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", 'orthophosphate monocalcique', 'arôme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2050,?,22,66,"6,8",C,240 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat', 'Biscuits au chocolat au lait']",['Intermarché'],22 g,en quantité élevée,12 g,en quantité élevée,30 g,en quantité élevée,0.737 g,en quantité modérée,-2%,,2050 kj(490 kcal),-2%,-8%,12,0%,+5%,30,+10%,-2%,"0,737",-2%,"0,295",-2%,22,+2%,E,+2%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Boite', 'Carton']",,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E341i - Phosphate monocalcique']",4,"['Gluten', 'Lait', 'Soja']",,,,,,
520,Craquantes - Lu,3017760672191,['Lu'],,['France'],[],[],?,369,"4,9",79,"4,8",,,,,,,,,,,,,,,1544 kj(369 kcal),,,"2,3",,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Belin réception - 380g,3017760800099,['Belin'],,['France'],"['Farine de blé', 'matière grasse végétale', 'emmental râpé séché 5', '3 %', 'sucre', 'sirop de glucose-fructose', 'sel', 'poudre à lever ', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'orthophosphate monocalcique', 'graines de sésame 1', '6 %', 'extrait de levure', 'lactosérum en poudre', 'graines de pavot 0', '7 %', ""farine d'orge malté"", 'protéines de lait', 'herbes de Provence', 'arômes ', 'contient céleri', 'tomate en poudre 0', '2 % ', 'équivalent tomates 4 %', 'gluten du blé', 'émulsifiant ', 'lécithine de soja', 'aromates et épices', 'fécule de pomme de terre', 'oignon en poudre', 'colorant ', 'E120', 'exhausteur de goût ', 'glutamate monosodique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,525,30,52,10,B,380 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,30 g,en quantité élevée,13 g,en quantité élevée,6.2 g,en quantité modérée,1.97 g,en quantité élevée,,+13%,2197 kj(525 kcal),+12%,+51%,13,+140%,-12%,"6,2",+58%,+1%,"1,97",-2%,"0,788",-2%,22,+43%,E,+43%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Boite carton'],,,,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E341i - Phosphate monocalcique', 'E322i - Lécithine', 'E120 - Acide carminique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,"['Céleri', 'Gluten', 'Lait', 'Graines de sésame', 'Soja']",Biscuits crackers assortis,,,,,
