,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,manufacturing,link,markets,additives,allergens,palm_ingredients,traceability_code,brand_owner
271,Grani Pops,6194001681154,,['France'],[],[],?,112,469 kj(112 kcal),"0,7",0,9,8,"7,93","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Garci,6194001800630,,['France'],[],[],?,1,4 kj(1 kcal),"0,001","0,001",0,0,0,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,#energy fruits,6194001801033,,['France'],[],[],?,44,184 kj(44 kcal),1,0,"10,8",0,"0,11",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,
274,M'hamsa Mezlouga Le Drapeau (500G),6194002220031,,['France'],[],[],?,5,21 kj(5 kcal),"3,48",0,"1,5",0,"13,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Halwa chamia - Papillon,6194002430393,['Papillon'],['France'],[],[],?,550,2301 kj(550 kcal),40,0,40,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,
276,Halwa Chamia - Papillon,6194002431062,['Papillon'],['France'],[],[],?,470,1966 kj(470 kcal),30,0,37,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,
277,Saveur d'orient - Papillon,6194002450117,['Papillon'],['France'],[],[],?,110,460 kj(110 kcal),7,0,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,
278,Gaufy Gout Noisette,6194002530130,,['France'],[],[],?,38,159 kj(38 kcal),"1,9","1,1","4,7",4,"0,4","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Tomates Double Concentré Le Petit Paris (400G) - 400gr,6194003210024,['Le petit Paris'],['France'],[],[],?,137,573 kj(137 kcal),0,0,"28,2",0,"4,9",,,,400gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Harissa Tounsia - Le Petit Paris - 380g,6194003220207,['Le Petit Paris'],['France'],"['piment rouge piquant', 'ail', 'coriandre', 'carvi', 'sel']",[],?,?,,?,,?,,?,,,C,380 g,"['Epicerie', 'Sauces', 'Harissas']",,,,,,,,,,,,,,,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,['Conserve'],,3,,,,,,,,,,,,,,,,,
281,M'hammes 3,6194003310007,,['France'],[],[],?,355,1485 kj(355 kcal),"1,9","0,1",73,"0,1","12,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Pâtes M'hammes 1 L'epi D'or,6194003310014,,['France'],[],[],?,355,1485 kj(355 kcal),1,"0,1",73,0,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Taglatella,6194003310311,,['France'],[],[],?,355,1485 kj(355 kcal),0,0,73,0,"12,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Semoule de blé dur,6194003361061,,['France'],[],[],?,355,1485 kj(355 kcal),"1,9","0,1",73,10,"12,5",2,"0,8",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur']",1.9 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité modérée,,+0%,-1%,-1%,-72%,+4%,+269%,+3%,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,,,,2 g,en quantité élevée,+1567%,+1567%,14,,D,,,,,,,,,,
285,Lot De 4 Yaourts Activia Délice Vanille,6194003801932,['Activia'],['France'],[],[],?,98,410 kj(98 kcal),0,0,"14,2",3,"3,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Yaourt delice et fruit - Danone,6194003803127,['Danone'],['France'],[],[],?,107,448 kj(107 kcal),2,0,17,17,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Delice Fekia - Danone - 100g,6194003803400,['Danone'],['France'],[],[],?,107,448 kj(107 kcal),"3,1",0,17,0,"2,5",,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,"['Frais', 'Pot', 'Plastique']",,,,,,,,,,,,,,,,,,,
288,Halwa Chamia,6194004001065,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2.5kg,6194004001355,,['France'],[],[],?,?,,?,,?,,?,,,,2.5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Pâtes Papillon 1 Randa,6194004612650,,['France'],[],[],?,350,1464 kj(350 kcal),"1,6","0,4",72,4,"12,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Bsissa,6194004665182,,['France'],[],[],?,404,1690 kj(404 kcal),"7,52",0,"68,56",0,"15,62",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Jektis,6194005660148,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Halwa chamia,6194005800100,,['France'],[],[],?,540,2259 kj(540 kcal),30,"5,4",53,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Petillante nature 33 cl,6194007530234,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,28","0,112",,33 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,La Pétillante Aux Extraits Naturels De Fraise (6) Canettes (6X33CL) - Sabrine,6194007530517,['Sabrine'],['France'],"['et arta±ée fiée SABRIL - c:aérale gatvre naturel ü', ' acide citriAae E330 üll', ""acide ' -ttcmtc:r"", 'benzoa e de s - cclaraat nattrel ', ' Anthocyane minera] water drink SABRINE carbonated natural gineral eci±laat: citric acid E330', ""natural benzoate - f'"", ':rcr ccaservatiyes: acid 000', 'natural dye: uthccya']",[],?,32,134 kj(32 kcal),0,0,8,8,0,"0,017","0,007",,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,,-43%,-44%,-100%,-100%,-29%,-15%,-100%,,,,,,,,,,,4,0.017 g,en faible quantité,-59%,-59%,11,+44%,E,+44%,,,,,"['E163 - Anthocyanes', 'E330 - Acide citrique']",,,,
296,Nectar D'ananas Diva 1L,6194007850073,,['France'],[],[],?,223,933 kj(223 kcal),0,0,"12,67","12,54",0,"7,29","2,916",D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'ananas""]",0 g,en faible quantité,0 g,en faible quantité,12.5 g,en quantité élevée,,+396%,+396%,-100%,-100%,+18%,+26%,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,7.29 g,en quantité élevée,+172240%,+172240%,29,+142%,E,+142%,,,,,,,,,
297,Raoua boisson au jus cocktail,6194007892134,,['France'],[],[],?,53,222 kj(53 kcal),0,0,"12,4",0,"0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Nectar Multi Vitaminé Diva (1L),6194007892936,,['France'],[],[],?,47,197 kj(47 kcal),"0,06","0,06","11,36","11,32","0,15",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,100% JUS D'ORANGE - Diva,6194007893872,['Diva'],['France'],[],[],?,44,184 kj(44 kcal),"0,05",0,"10,62",0,"0,65","0,2","0,08",D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",0.05 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+2%,+1%,-74%,-100%,+10%,-100%,+4%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,0.2 g,en quantité modérée,+2318%,+2318%,-3,-200%,B,-200%,['Sans colorants'],,,,,,,,
300,Dattes Branchées Deglet Nour - Palm' Fruit - 1kg,6194008610027,"[""Palm' Fruit""]",['France'],['Dattes Deglet Nour'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,1 kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes Deglet Nour']",,,,,,,,,,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,"['boîte', 'Carton', 'Plastique']",['Tunisie'],1,,,,,,,,,,['Tunisie'],,,,,,,
301,Spichoco,6194009710580,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Couscous,6194011812104,,['France'],[],[],?,376,1573 kj(376 kcal),"0,64","0,117","77,43",0,"12,75",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Couscous   moyen-medium,6194011812302,,['France'],[],[],?,376,1573 kj(376 kcal),0,0,"77,43",0,"12,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Couscous Complet -,6194011822103,,['France'],[],[],?,343,1435 kj(343 kcal),"2,2","0,5",0,0,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Spiga pâtes,6194011863397,,['France'],[],[],?,363,1519 kj(363 kcal),"1,5","0,2","77,5",3,"13,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Dattes - Dat Cha - 500g,6194012661503,['Dat Cha'],['France'],"['Dattes', 'sirop de glucose', 'E202']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,290,1213 kj(290 kcal),0,0,38,32,1,"0,01","0,004",C,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",0 g,en faible quantité,0 g,en faible quantité,32 g,en quantité élevée,,-1%,-1%,-100%,-100%,-43%,-45%,-56%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,['Tunisie'],4,0.01 g,en faible quantité,-61%,-61%,5,+18%,C,+18%,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
307,Patisserie orientale - Masmoudi,6194013210014,['Masmoudi'],['France'],"['Amandes ', 'Sucre ', 'oeuf', ""Huile d'olive "", 'Farine ', 'Eau de rose ', 'Ecorce de citron ', ""Ecorce d'orange"", 'Vanille', 'Pistache', 'E202', 'E104', ' E132', 'E122']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,460,1925 kj(460 kcal),"32,6",1,"39,5",1,"12,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E104 - Jaune de quinoléine', ""E132 - Indigotine carmin d'indigo"", 'E122 - Azorubine carmoisine']","['Œufs', 'Fruits à coque', 'Farine']",,,
308,Halwa Chamia - Le Moulin - 400g,6194017500029,['Le Moulin'],['France'],"['Pâte de sésame', 'Sucre', 'Sirop de glucose', 'Emulsifiant E471 ', ""d'origine végétale"", 'Amandes', 'Agent moussant : extrait de racines saponaires', 'Acidifiant : acide citrique', 'Arômes identiques nature']","[""Pourrait contenir de l'huile de palme""]",?,528,2209 kj(528 kcal),25,25,45,"31,26",17,0,0,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,['Tunisie'],,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",['Fruits à coque'],,,
309,Peppermint chewing gum - Florida,6194017506014,['Florida'],['France'],"['Sucre', 'Gomme de base', 'Sirop de glucose', 'Humectant ', 'Glycérine', 'Arômes identiques nature', 'Agent d’enrobage ', 'Gomme arabique', 'Emulsifiant ', 'Lécithine de soja', 'Agent de glaçage ', 'Cire de carnauba', 'Colorant ', 'E133', 'antioxydants ', 'BHA et BHT']",[],?,320,1339 kj(320 kcal),0,0,80,76,0,0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,,+100%,+100%,-100%,-100%,+27%,+130484%,-100%,,,,,,,,,,,4,0 g,en faible quantité,-100%,-100%,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,"['E422 - Glycérol', ""E414 - Gomme d'acacia"", 'E322i - Lécithine', 'E903 - Cire de carnauba', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E320 - Butylhydroxyanisol', 'E321 - Butylhydroxytoluène']",['Soja'],,,
310,Boga light,6194019605647,,['France'],[],[],?,24,100 kj(24 kcal),"0,32",0,"0,63","0,1","0,09",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,100% jus pomme,6194019803395,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,,
312,Royal Baking Powder 450G - Mondelez,6194020100124,['Mondelez'],['France'],"['Raising agents ', 'disodium diphosphate', 'sodium hydrogen corn starch', ' May contain milk', ' Product without Gluten']",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,['en:gluten-free'],,,,['E450i - Pyrophosphate de sodium acide'],,,,
313,Adoro,6194021155086,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Fromage Mozzarella Souani (125G),6194025701166,['Souani'],['France'],"['Lait frais de vache pasteurisé ferments lactiques', 'présure', 'sel de cuisine', ' 25% M', 'G', ' /e', 's']",[],?,379,1586 kj(379 kcal),"28,4",0,"0,7",0,0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Harissa berbère -  - 260g,6194026702155,,['France'],"['Piment cayenne', 'huile végétale', 'épices', 'sel', 'acide sorbique']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",?,76,318 kj(76 kcal),"2,9",0,"7,1",0,"2,7","1,12","0,448",C,260 g,"['Epicerie', 'Sauces', 'Harissas']",2.9 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-28%,-29%,-34%,-100%,-22%,-100%,+7%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,"['Bocal', 'Verre']",,3,1.12 g,en quantité modérée,-69%,-69%,3,-65%,C,-65%,,,,,"['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,,,
316,Sardines de méditerranée à la sauce tomate - El Manar - 125g,6194029100330,['El Manar'],"['France', 'Tunisie']","['sardines ', 'poisson', '68%', 'sauce tomate 32% ', 'eau 56%', 'huile de tournesol 25%', 'tomate 18%', 'sel 1%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,125,523 kj(125 kcal),"7,71","1,7",0,0,"14,01","3,69","1,476",D,125 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à la tomate']",7.71 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,,-32%,-32%,-36%,-44%,-100%,-100%,-19%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,Sardines sauce tomate,['Conserve'],,3,3.69 g,en quantité élevée,+292%,+292%,12,+247%,D,+247%,,['Tunisie'],https://www.manarthon.com/nos-produits/sardines-de-mediterranee-a-la-sauce-tomate-125-g/,,,['Poisson'],,,
317,Thon entier à l'huile de tournesol - El Manar - 160g / 5.64Oz,6194029100422,['El Manar'],"['France', 'Tunisie']","['thon ', 'poisson', ' 72%', 'huile de tournesol 27,5%', 'sel 0,5%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",753,180,753 kj(180 kcal),"8,4",1,0,0,26,"1,3","0,52",D,160 g / 5.64 Oz,"['Produits de la mer', 'Poissons', 'Thons', 'Thons entiers']",8.4 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,+17%,+9%,+11%,+24%,+0%,-100%,-100%,+3%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,Thon entier à l’huile de tournesol,['Conserve'],,3,1.3 g,en quantité modérée,+23%,+23%,2,+53%,B,+53%,,['Tunisie'],https://www.manarthon.com/nos-produits/thon-entier-a-lhuile-de-tournesol-160-g/,,,['Poisson'],,,
318,Sardines à la harissa - El Manar,6194029100484,['El Manar'],['France'],[],[],?,184,770 kj(184 kcal),12,"2,5",1,"0,5",18,"1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Cornes de Gazelles - Dalia's - 200g,6194032605303,"[""Dalia's""]",['France'],"['Farine de blé', ""poudre d'amandes 20%"", 'sucre glace ', 'sucre', 'amidon de maïs', 'beurre ', 'lait', 'huile végétale ', 'maïs', 'stabilisant : sorbitols', 'conservateur : sorbate de potassium', 'arôme', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,E,200 g,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Corne de gazelle']",,,,,,,,,,,,,,,90.1%,4.8%,2.0%,2.1%,1.0%,0.0%,33,,"['Barquette', 'Plastique']",,4,,,,,,,,,,['Tunisie'],,['LIDL'],"['E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Fruits à coque']",,,
320,Halawa Tahinia - Générique,6194036801220,['Générique'],['France'],"['Pâte de sésame - Sücre - Sirop de glucose Fruits secs 1096 ', 'Amandes ', 'Pistaches ', 'Noisettes ', 'Piqnons ', 'Cerises ', ' - Monoglycéride : Emulsifiant ', 'E471', ""Extrait de racine pour Halawa -Acide citrique: Régulateur d'acidité "", 'E330', ' -Vanilline', 'Arôme artificiel']","[""Pourrait contenir de l'huile de palme""]",?,550,2301 kj(550 kcal),30,5,50,30,15,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",['Fruits à coque'],,,
321,Halawa Tahinia,6194036802197,,['France'],[],[],?,493,2063 kj(493 kcal),21,21,64,64,12,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Halawa tahinia,6194036802234,,['France'],[],[],?,550,2301 kj(550 kcal),30,5,50,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Halwa Tahinia Aux Fruits Secs 0% Cholesterol,6194036802296,,['France'],[],[],?,550,2301 kj(550 kcal),30,5,50,30,15,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Halwa Tahinia Light 0% Cholesterol Shehrazad,6194036802326,,['France'],[],[],?,500,2092 kj(500 kcal),35,5,50,0,15,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,
325,Halawa Tahinia,6194036802845,,['France'],[],[],?,550,2301 kj(550 kcal),30,5,50,30,15,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,
326,Orange  maltaise de tunisie,6194038900853,,['France'],[],[],?,62,259 kj(62 kcal),"0,63",0,"13,65",0,"0,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Dattes -,6194042600862,,['France'],"['dattes', 'sirop de glucose']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,282,1180 kj(282 kcal),"0,4",0,"62,5","58,1","2,7","0,01","0,004",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes Deglet Nour']",0.4 g,en faible quantité,0 g,en faible quantité,58.1 g,en quantité élevée,,-4%,-4%,+25%,-100%,-7%,+1%,+18%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,['Tunisie'],4,0.01 g,en faible quantité,-61%,-61%,7,+65%,C,+65%,,,,,,,,,
328,Dattes Deglet Nour -,6194042700098,,['France'],[],[],?,67,280 kj(67 kcal),"0,2",,73,,"2,2","0,002","0,001",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",0.2 g,en faible quantité,,,,,,-77%,-77%,-38%,,+9%,,-4%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,['Tunisie'],,0.0025 g,en faible quantité,-90%,-90%,,,,,,,,,,,,,
329,Le phare du cap bon,6194049100075,,['France'],[],[],?,90,377 kj(90 kcal),"0,1","0,1","12,2","0,5","5,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Harissa Sauce Piquante - Le phare du cap bon,6194049100815,['Le phare du cap bon'],['France'],"['Water', 'Red Chillies ', '27%', 'Saft', 'Sugar', 'Modified Maize Starch', 'Garlic Powder', 'Diced Onions', 'Spring Onions', 'Spirit Vinegar', 'Acidity Regulator: Citric Acid', 'Stabiliser: Xanthan Gum', 'Coriander', 'Cumin', 'Thyme']",[],?,29,121 kj(29 kcal),"0,2","0,1","6,2","4,5","0,4","3,34","1,336",C,,"['Epicerie', 'Sauces', 'Harissas']",0.2 g,en faible quantité,0.1 g,en faible quantité,4.5 g,en faible quantité,,-73%,-73%,-95%,-84%,-32%,+22%,-84%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,4,3.34 g,en quantité élevée,-9%,-9%,10,+18%,C,+18%,['Pur jus'],,,,"['E330 - Acide citrique', 'E415 - Gomme xanthane']",,,,
331,Crème de fromage - LANDOR,6194049401875,['LANDOR'],['France'],"['Fromage blanc ', 'lait frais', 'ferments lactiques', 'présure microbienne', 'beurre', 'amidon modifié', ' lait en poudre écrémé', 'lactosérum', 'sel', ' épaississants ', 'E415 E410', 'conservateur ', 'E202', 'acide lactique']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,138,577 kj(138 kcal),10,0,5,0,7,0,0,D,,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",10 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-41%,-41%,-52%,-100%,+48%,-100%,-16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Spécialité fromagère nature,,,4,0 g,en faible quantité,-100%,-100%,-3,-125%,A,-125%,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique']",['Lait'],,,
332,Sauce Pizza Au Basilic Et Origan Sicam - 400g,6194055550963,['Sicam'],['France'],"['Tomates Pelées Concassées 98%', 'sel 0,2%', ' Origan 0', '2%', 'Basilic 0,1%', ' Acidifiant: Acide citrique 2°/ooo']",[],?,36,151 kj(36 kcal),"0,2","0,04","7,9",4,"0,6","0,9","0,36",,400g,['Sauce Pizza'],0.2 g,en faible quantité,0.04 g,en faible quantité,4 g,en faible quantité,,,,,,,,,,,,,,,,,['Conserve'],,3,0.9 g,en quantité modérée,,,-3,,A,,,['Tunisie'],,,['E330 - Acide citrique'],,,,
333,Dattes - Fructipalm,6194058000021,['Fructipalm'],['France'],[],[],?,306,1280 kj(306 kcal),1,1,73,1,"2,2",1,"0,4",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,,+3%,+2%,+253%,+1920%,+6%,-98%,+2%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,1 g,en quantité modérée,+4508%,+4508%,1,-80%,B,-80%,,,,,,,,,
334,Huile d'olive vierge extra - Rivière d'Or - 750ml,6194058900024,"[""Rivière d'Or""]",['France'],[],[],3700,?,3700 kj(884 kcal),92,14,0,,0,0,0,D,750 ml,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,14 g,en quantité élevée,,,+5%,,+3%,-4%,0%,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,0 g,en faible quantité,-100%,-100%,,,,,,,,,,,,,
335,Huile d'olive - Rivière d’Or,6194058900260,['Rivière d’Or'],['France'],[],[],?,900,3766 kj(900 kcal),92,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Ruspina lemon,6194061400214,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
