,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,manufacturing,link,markets,additives,allergens,palm_ingredients,traceability_code,brand_owner
1173,"Moutarde ""Mei Cai"" salée - Chang Xing - 200g",6927426131641,['Chang Xing'],['France'],"['Moutarde ""Mei Cai"" 70%', 'eau', 'sel 13%']",[],66,?,66 kj(16 kcal),"0,2",0,"1,2",1,"1,2",10,4,,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires']",0.2 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,-90%,,-85%,-94%,-100%,-92%,-88%,-45%,,,,,,,,,"['Sachet', 'Plastique']",,3,10 g,en quantité élevée,+1337%,+1337%,10,+229%,C,+229%,,['Chine'],,['Supermarché Asie'],,,,,
1174,Thé vert de chine,6927496300022,,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,,,,,,,0%,-33%,+136%,+2497%,-21%,+300%,-4%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,2,+123%,C,+123%,,,,,,,,,
1175,Gingembre miel & dattes instantanné - Assil,6927601100608,['Assil'],['France'],"['Còmposition extrait de Gingembre', 'Sucre de canne', 'Miel', ' extrait de Dattes Composition Ginger Extract', 'Dates Extract ', 'Honey', 'Cane sugar', ' 12 SACHETS DE 7 Grs e Poids Net : 84Grs e']",['Non végétalien'],?,30,126 kj(30 kcal),0,0,7,"6,5",0,0,0,,,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,6.5 g,en quantité élevée,,-65%,-66%,-100%,-100%,-65%,-64%,-100%,,,,,,,,,,,,0 g,en faible quantité,-100%,-100%,10,-16%,E,-16%,,,,,,,,,
1176,6927710900007,6927710900007,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Giant Panda Milk Chocolate - Mondrian,6927771291403,['Mondrian'],['France'],[],[],?,263,1100 kj(263 kcal),"49,3","42,4",45,45,"5,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Champignons Shiitake Fins Biologiques,6927777518580,,['France'],[],[],?,327,1368 kj(327 kcal),"2,2","0,3","50,8","0,3","19,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,
1179,GRAINES DE TOURNESOL SUCREES SAVEUR NOIX DE PECAN - 微记,6927849465668,['微记'],['France'],[],[],?,621,2598 kj(621 kcal),"50,1","5,9","16,5","6,9","27,2","2,3","0,92",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",50.1 g,en quantité élevée,5.9 g,en quantité élevée,6.9 g,en quantité modérée,,+9%,+9%,+10%,+19%,+24%,+186%,+24%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,2.3 g,en quantité élevée,+27%,+27%,23,+73%,E,+73%,,,,,,,,,
1180,Fraises chinoise aromatisées avec sucre et édulcorants - Produits Asiatique,6928580584281,['Produits Asiatique'],['France'],"['fraise chinoise', 'sucre', 'épices', 'sel', 'édulcorants ', 'E952', 'E954', 'E955', 'E960', 'E961', 'acésulfame K et aspartame ', 'contient une source de phénylalanine', ""régulateur d'acidité "", 'E296', 'conservateurs ', 'E202', 'E211', 'E223', 'colorant ', 'E120', 'arômes']","['Non végétalien', 'Non végétarien']",?,294,1230 kj(294 kcal),"0,6",0,"68,4",55,"2,6","4,16","1,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,"['E952 - Acide cyclamique et ses sels', 'E954 - Saccharine et ses sels', 'E955 - Sucralose', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E961 - Néotame', 'E950 - Acésulfame K', 'E951 - Aspartame', 'E296 - Acide malique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,,
1181,Liangchengmei,6928988722223,,['France'],[],[],?,96,402 kj(96 kcal),"5,9",0,"8,5",1,"2,3","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Val de Praz,69240935,,['France'],[],[],?,102,427 kj(102 kcal),"2,8","1,9",16,"15,6",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Brioche tressé sucré,69242458,,['France'],[],[],?,336,1406 kj(336 kcal),"10,4","4,9","53,7","22,6",7,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Beurre gastronomique,69255090,,['France'],[],[],?,745,3117 kj(745 kcal),82,57,1,1,"0,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Mouline legumes printaniers - Liebig,69284137,['Liebig'],['France'],[],[],?,36,151 kj(36 kcal),"1,2","0,7","4,7","0,9","0,9","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Intenso pasta sauce - Sacla,69298424,['Sacla'],['France'],[],[],?,87,364 kj(87 kcal),"5,4","0,6","7,7","5,5","1,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Chips de pommes de terre salées - Hema,69299995,['Hema'],['France'],[],[],?,555,2322 kj(555 kcal),35,"3,1",52,"0,5","5,8","1,4","0,56",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",35 g,en quantité élevée,3.1 g,en quantité modérée,0.5 g,en faible quantité,,+4%,+4%,+5%,+4%,+2%,-61%,-2%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,1.4 g,en quantité modérée,+6%,+6%,11,+1%,D,+1%,,,,['Hema'],,,,,
1188,Porphyra umbilicalis,6930248685490,,['France'],[],[],?,400,1674 kj(400 kcal),0,0,60,0,20,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Char siu sauce,6930434500095,,['France'],[],[],?,247,1033 kj(247 kcal),"1,9",1,"52,4",52,"3,2",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,悠哈特浓牛奶糖 - 悠口悠心,6930639271387,['悠口悠心'],['France'],['白砂糖 希奶油 小可爱'],[],?,99,414 kj(99 kcal),9,5,4,2,8,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,6930836613027,6930836613027,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Poussé de bambou sauvage fin - 水煮蔬菜 - 200g,6931029200161,['水煮蔬菜'],['France'],[],[],?,?,,?,,?,,?,,,B,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pousses', 'Pousses de bambou']",,,,,,,,,,,,,,,87.9%,0.0%,0.0%,4.8%,5.7%,1.5%,80,,,,,,,,,,,,,,,,,,,,,
1193,Pousse de bambou en queue,6931029200178,,['France'],[],[],?,45,188 kj(45 kcal),1,0,6,0,3,0,0,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pousses', 'Pousses de bambou']",1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+67%,+74%,+150%,-100%,+146%,-100%,+104%,87.9%,0.0%,0.0%,4.8%,5.7%,1.5%,80,,,,,0 g,en faible quantité,-100%,-100%,-1,-356%,A,-356%,,,,,,,,,
1194,Cœur de moutarde salé pimenté,6931029200413,,['France'],[],[],?,30,126 kj(30 kcal),0,0,"6,1",0,"1,3","5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Organic goji berry,6931171815046,,['France'],[],[],?,370,1548 kj(370 kcal),"1,4",0,57,0,12,"0,392","0,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Eau,6931319200345,,['France'],[],[],?,0,0 kj(0 kcal),1,0,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Chan Pui Mui - Jiexin,6931617900398,['Jiexin'],['France'],"['Prune', 'sucre', ""extrait de peaux d'orange"", 'pâte de citron', 'sel', ' épices 5 parfums', 'acide citrique E330', 'mélasse', 'saccharine sodique', 'acide benzoïque E210', 'acide sorbique E200', 'colorant E 102', 'colorant E 132', 'vanilline', "" *Peut avoir des effets indésirables sur l'activité et l'attention chez les enfante""]",[],?,314,1314 kj(314 kcal),"0,6",0,"75,1","32,4","0,92","2,03","0,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,"['E330 - Acide citrique', 'E954 - Saccharine et ses sels', 'E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E102 - Tartrazine', ""E132 - Indigotine carmin d'indigo""]",,,,
1198,Oreilles de Judas Séchées -  - 50g,6931653107010,,"['France', 'Suisse']",['Oreilles de Judas'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",815,?,815 kj(195 kcal),"0,2","0,1",1,"0,5",7,"0,08","0,032",,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Johny Bee Worms 2in1 Spry & Powder 3 Stück X 20 G Merken,6931722303077,,['France'],[],[],?,379,1586 kj(379 kcal),0,0,"94,7","93,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Shake&lick,6931722303770,,['France'],[],[],?,392,1640 kj(392 kcal),0,0,98,88,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Alien flash roller -  - 55ml,6931722304753,,['France'],[],[],?,247,1033 kj(247 kcal),0,0,62,24,0,0,0,,55 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Algue seche,6931899801062,,['France'],[],[],?,0,0 kj(0 kcal),"3,3",0,"9,2",0,"30,5","2,18","0,872",E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Algues et dérivés', 'Algues sèches']",3.3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,+104%,-100%,-52%,-100%,+41%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,2.18 g,en quantité élevée,-11%,-11%,4,-26%,C,-26%,,,,,,,,,
1203,Johny bee bubble gum crazy roll,6931925805743,,['France'],[],[],?,198,828 kj(198 kcal),"0,9","0,5",9,9,1,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Chataignes en coque grillees -  - 150g,6932291719986,,['France'],[],[],?,220,920 kj(220 kcal),2,0,41,0,4,0,0,,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
