,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,labels,traceability_code,additives,allergens,nova_score,quantity,packaging,palm_ingredients,generic_name,manufacturing,ingredients_origins,link
23,Haltbare fettarme Milch - Milbona,40898551,,['Milbona'],,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"1,5",,1,,"4,8",,"4,8",,"3,2",,"0,13",,"0,052",,,,,,,,,,,,,,,['DE BY-303 EG'],,,,,,,,,,
24,Genoises framboise - Sondey,40899787,,['Sondey'],,['France'],[],[],,,,,,,,,?,,379,,1586 kj(379 kcal),,"11,2",,"6,4",,"64,9",,"52,7",,"3,6",,"0,29",,"0,116",,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,
25,Génoises Orange - Sondey,40899800,C,['Sondey'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],[],11.3 g,en quantité modérée,6.3 g,en quantité élevée,47 g,en quantité élevée,0.24 g,en faible quantité,?,,381,-20%,1594 kj(381 kcal),-20%,"11,3",-46%,"6,3",-38%,"65,4",+2%,47,+59%,"3,6",-45%,"0,24",-59%,"0,096",-59%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,
26,Lait de coco - Suzi Wan - 200ml,4092350006715,B,['Suzi Wan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",['France'],[],[],4.25 g,en quantité modérée,3.6 g,en quantité élevée,0.6 g,en faible quantité,0.02 g,en faible quantité,?,,43,-73%,180 kj(43 kcal),-73%,"4,25",-73%,"3,6",-74%,"1,9",-31%,"0,6",-64%,1,-21%,"0,02",-73%,"0,008",-73%,3,-68%,C,-68%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,,,,,,200 ml,,,,,,
27,Matière grasse laitière à tartiner - doux - 15% M.G. - Bridelight,4092871373938,,"['Bridelight', 'Lactalis']","['Matières grasses', 'Matières grasses animales']",['France'],"['eau', 'matière grasse de lait', 'amidon', 'lactose', 'amidon modifié', 'sel ', '0', '8%', 'émulsifiants : E471', 'E476', 'épaississant : E466', 'concentré lactique', 'conservateur : sorbate de potassium', 'arômes naturels', 'colorant : béta carotène', 'vitamines A et E']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",15 g,en quantité modérée,11 g,en quantité élevée,1.9 g,en faible quantité,0.8 g,en quantité modérée,?,,157,-78%,657 kj(157 kcal),-78%,15,-81%,11,-78%,"5,5",+633%,"1,9",+220%,0,-100%,"0,8",-11%,"0,32",-11%,14,-34%,D,-34%,,,,,,,,,,,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E466 - Carboxyméthylcellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",['Lait'],4,,['Frais'],,,,,
28,Compote,4094401654111,,,,['France'],[],[],,,,,,,,,?,,62,,259 kj(62 kcal),,"0,5",,"0,5",,"13,3",,"12,3",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
29,Vinegared hot pepper bean paste -,4097734150701,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Remouladen-sauce,4099200015583,,,,['France'],[],[],,,,,,,,,?,,592,,2477 kj(592 kcal),,"63,1",,"4,5",,5,,"3,7",,"0,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
31,Nuage de lait - Milfina,4099200401393,,['Milfina'],,['France'],[],[],,,,,,,,,?,,123,,515 kj(123 kcal),,"5,1",,"3,3",,"15,2",,"13,8",,"3,9",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,
32,thé glacé pêche blanche - Nestea - 330ml,40900599,,['Nestea'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,330ml,,,,,,
