,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,labels,traceability_code,additives,allergens,nova_score,quantity,packaging,palm_ingredients,generic_name,manufacturing,ingredients_origins,link
820,Coconut oil,4260171050044,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",['France'],[],[],90.9 g,en quantité élevée,85.5 g,en quantité élevée,0 g,en faible quantité,0.1 g,en faible quantité,?,,820,-5%,3431 kj(820 kcal),-4%,"90,9",-6%,"85,5",+1%,0,-100%,0,-100%,0,-100%,"0,1",+1831%,"0,04",+1831%,20,+3%,E,+3%,,,,,,,,,,,,,,,,,,,,
821,Kulau Huile De Noix De Coco Bio Pot 450 ML,4260171050112,,['Kulau'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",['France'],['100 % organic coconut oil'],[],90.9 g,en quantité élevée,85.5 g,en quantité élevée,0 g,en faible quantité,0.1 g,en faible quantité,?,,820,-5%,3431 kj(820 kcal),-4%,"90,9",-6%,"85,5",+1%,0,-100%,0,-100%,0,-100%,"0,1",+1831%,"0,04",+1831%,20,+3%,E,+3%,,,,,,,,,['Bio'],,,,,,,,,,,
822,Renew Eau Coco Cerise Grenade - Kulau,4260171050471,,['Kulau'],,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,?,,"0,1",,?,,"0,1",,"0,1",,"0,02",,"0,008",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
823,Kokosmus,4260171051546,,,,['France'],[],[],,,,,,,,,?,,710,,2971 kj(710 kcal),,71,,67,,"8,9",,4,,8,,"0,034",,"0,014",,,,,,,,,,,,,,,,,,,,,,,,,
824,Farine de noix de coco bio -,4260171054486,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de coco sèches', 'Farine de noix de coco séchée']",['France'],[],[],12 g,en quantité modérée,11 g,en quantité élevée,21 g,en quantité élevée,0.1 g,en faible quantité,?,,348,-7%,1456 kj(348 kcal),-7%,12,-10%,11,-6%,22,-21%,21,+46%,16,-3%,"0,1",-19%,"0,04",-19%,8,+65%,C,+65%,,,,,,,,,"['Bio', 'Sans gluten']",,,,,,,,,,,
825,Gor tat - Grill Kebab,4260174650111,,['Grill Kebab'],,['France'],"['Préparation à base de viande de poulet INGREDIENTS 85% Yiande de poulet', 'eau', 'sans OGM', 'mélange d épices moutarde en poudre sel•', 'exhausteur de goût glutamate de sodium', 'stabilisants d>fiosphate sodique', 'dextrose', 'sirup de glucoset fibre de fruits', 'conservateur acétate desodium ntioxydants', ' acide citrique', ' acide ascorbique', ' extrait de levure', 'arômes']",[],,,,,,,,,?,,183,,766 kj(183 kcal),,12,,1,,"4,1",,"0,5",,17,,"2,7",,"1,08",,,,,,,,,,,,,,['Halal'],,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,4,,,,,,,
826,Madoliva Grill Kebab Döner,4260174652177,,,,['France'],[],[],,,,,,,,,?,,159,,665 kj(159 kcal),,"9,2",,"3,2",,"0,8",,"0,5",,18,,3,,"1,2",,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
827,grill-kebap lamellee de Kebab grillees,4260174654287,,,,['France'],[],[],,,,,,,,,?,,183,,766 kj(183 kcal),,12,,"4,1",,"0,8",,"0,5",,17,,"2,7",,"1,08",,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
828,Grill kebap,4260174654294,,,,['France'],[],[],,,,,,,,,?,,153,,640 kj(153 kcal),,"8,5",,"2,9",,"0,9",,"0,6",,18,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
829,Grill-Kebap - Hünkar,4260174656007,,['Hünkar'],,['France'],"[""LAMELLE DE KEBAB Préparation à base de viande de poulet 'Précuites et surgelées Fleischerzeugnis aus Hihnchenfleisch 'Vorgegrillt und gefrostet' INGREDIENTS ZUTATEN protéine de sola "", 'sans ', 'DCM', 'mélange d de la moutarde ', ' sell exhausteur de goûts glutamate de sodun FR stabilsants dphosphate: dextrose sirop de glucose fibre de fruits', ' ccnseAiHieUir• acétate cle sodium', ' antioxydants acide ctrque acide ascorbiqu< extrait de arômes DE Hahnr±jenfesch', 'Tnnkwasser', 'Gewurze ', 'enthàlt Senfmehl Spetsesalz', ' Geschmacksvetstârker Natnumglutamat', ' Natriurndiphosphate Dextrose Trockenglukosesirup Fruchtfaser Konservterungsstoff Natriumgcetat Antioxidationsmtttet - Zitronenseuçe Aromen PREPERATION ZUBEREITUNG']",[],,,,,,,,,?,,183,,766 kj(183 kcal),,12,,"4,1",,"0,8",,"0,5",,17,,"2,7",,"1,08",,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
830,Weisse chia,4260175670651,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,460,,1925 kj(460 kcal),,"34,1",,"3,7",,"0,5",,"0,2",,"20,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
831,Chia Super Topping Quinoa Erdbeere - Borchers - 200g,4260175670682,,['Borchers'],,['France'],"['Buchweizenflocken', 'Leinsamen', 'Quinoaflocken ', '10%', 'schwarze Chiasamen ', 'Salvia hispanica', ' ', '10%', 'Erdbeeren ', '5%', ' Alle Zutaten aus kontrolliert biologischem Anbau', ' Kann Spuren von Gluten enthalten', ' Trocken und kühl lagern', ' Unter Schutzatmosphäre verpackt']",[],,,,,,,,,?,,426,,1782 kj(426 kcal),,20,,"2,6",,36,,"2,8",,18,,"0,97",,"0,388",,,,,,,,,,,,,,['Bio'],,,['Gluten'],,200 g,,,,,,
832,Orangensaft,4260175830123,,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"0,2",,"0,04",,"9,4",,"9,4",,"0,7",,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,
833,Maiswürmchen,4260176790013,,,,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,"2,1",,"0,4",,"81,4",,"0,7",,9,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
834,"Iso Refresher, Grapefruit - Nutrixxion",4260178440480,,['Nutrixxion'],,['France'],"['Dextrose 61,59%', 'Maltodextrine 30%', 'Citrate de Sodium', 'Acide alimentaire: Acide citrique E 330', 'Citrate de Calcium', 'Chlorure de Potassium', 'Arôme', 'Carbonate']",['Sans huile de palme'],,,,,,,,,?,,385,,1611 kj(385 kcal),,0,,0,,"91,84",,"61,59",,0,,"1,75",,"0,7",,,,,,,,,,,,,,['Fabriqué en Allemagne'],,"['E331 - Citrates de sodium', 'E330 - Acide citrique', 'E502 - Carbonates']",,4,,,,,,,
835,Eiweißpulver - 750g,4260180440713,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,750 g,,,,,,
836,Eau De Coco Bio - 330 ML - Dr Antonio Martins,4260183210245,,['Dr antonio martins'],"['Boissons', 'Boissons sans sucre ajouté']","['France', 'Suisse']","['Jus de noix de coco*', 'antioxydants ', 'acide ascorbique', ""* Issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,2.6 g,en quantité modérée,0.26 g,en quantité modérée,79,-75%,?,,79 kj(19 kcal),-60%,0,-100%,0,-100%,"3,7",-57%,"2,6",-62%,"0,7",+41%,"0,26",+449%,"0,104",+449%,4,-27%,C,-27%,,,,,,,,,"['Bio', 'Bio européen', 'AT-BIO-301']",,['E300 - Acide ascorbique'],,1,330 ml,,,,,,
837,Eau De Coco Mangue - Dr Oetker,4260183211129,,['Dr Oetker'],['Boissons'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2.6 g,en quantité modérée,0.26 g,en quantité modérée,?,,19,-66%,79 kj(19 kcal),-67%,0,-100%,0,-100%,"3,7",-67%,"2,6",-72%,"0,7",+41%,"0,26",+527%,"0,104",+527%,6,-22%,D,-22%,,,,,,,,,['Bio'],,,,,,,,,,,
838,Coco juice pure organic coconut apricots - dr. Antonio Martins - 500ml,4260183211310,,['dr. Antonio Martins'],,['France'],[],[],,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,"5,1",,"3,8",,"0,7",,"0,22",,"0,088",,,,,,,,,,,,,,['Bio'],,,,,500 ml,,,,,,
839,Kokosnuss Wasser,4260183211471,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Coco juice - Antonio Martins,4260183211563,,['Antonio Martins'],"['Boissons', 'Boissons sans sucre ajouté']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,5.2 g,en quantité modérée,0.19 g,en quantité modérée,?,,29,-34%,121 kj(29 kcal),-39%,0,-100%,0,-100%,"5,9",-32%,"5,2",-23%,"0,6",+20%,"0,19",+301%,"0,076",+301%,9,+63%,D,+63%,,,,,,,,,['Bio'],,,,,,,,,,,
841,4260183734185,4260183734185,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,
842,"Veganer Aufschnitt, Olive - Hobel",4260184790111,,['Hobel'],,['France'],"['Veganer Aufschnitt „ Olive "" Zutaten: Wasser', 'isoliertes Sojaprotein ', '12,3%', 'Rapsôl', 'Weizenprotein ', 'Gluten', 'modifizierte Maisstârke', 'vegane Aromen', 'Geliermittel Carrageen', 'Salz', 'marinierte grüne Oliven 1 ', '1 % ', 'grüne Oliven', 'Wasser', 'Salz', 'Sâureregulator Citronensâure', 'Ascorbinsâure', 'Citrusfaser', 'Gewürzextrakte', 'Gewürze', ' Produktionsbedingt ist es môglich', 'dass vereinzelte Packungen keine sichtbaren Olivenstücke enthalten']",['Sans huile de palme'],,,,,,,,,?,,172,,720 kj(172 kcal),,"9,2",,"0,9",,"5,2",,"0,7",,16,,"1,9",,"0,76",,,,,,,,,,,,,,"[""Fabriqué dans l'UE"", 'en:palm-oil-free']",,,['Gluten'],4,,,,,,,
843,"Hobelz Vegane Hot Dogs, Classic, Rauch, Chili",4260184792016,,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,189,,791 kj(189 kcal),,10,,"0,9",,"4,8",,1,,19,,"2,2",,"0,88",,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,
844,Grūn,4260187540010,,,,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,7",,"8,7",,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
845,Apfel Macadamia Zimt Granola,4260188780583,,,,['France'],[],[],,,,,,,,,?,,398,,1665 kj(398 kcal),,"11,8",,"2,6",,58,,"16,1",,"10,1",,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,
846,Best Performance Muesli,4260188780699,,,,['France'],[],[],,,,,,,,,?,,372,,1556 kj(372 kcal),,"9,5",,"1,3",,"53,8",,14,,"11,6",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
847,chocolat sans gluten,4260188780705,,,,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,"13,5",,"7,4",,"58,5",,"16,4",,"10,8",,"0,1",,"0,04",,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,
848,"Mymuesli2Go, Beeren Müsli",4260188781108,,['Mymuesli2go'],,"['France', 'Suisse']","['Bio-Müsli aus den Zutaten: 29 % Hafer-Crunchy ', 'Haferflocken Weizenflocken', 'Vollrohrzucker', 'Haferschrot', 'ungehürtetes PolmfeÌ Gerstenflocken', 'gepuffter Reis', 'Honig', 'Zimt', 'Haferflocken', 'Wei - zenflocken', 'Vollkorn-Cornflakes ', 'Mais', '5 % getrocknete Cranberries', 'Sonnenblumenkerne', '5 % gehackte Mandeln', 'Apfeldicksoftl gefriergetrocknete Erdbeerstücke', '2 % gefriergetrocknete Himbeeren', 'getrocknete Apfelstücke']",[],,,,,,,,,?,,395,,1653 kj(395 kcal),,11,,2,,59,,17,,11,,"0,03",,"0,012",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
849,Highproteinmuesli - Mymuesli - 575g,4260188782044,,['Mymuesli'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,575g,,,,,,
850,Flakes +chocolate - Mymuesli,4260188784239,C,['Mymuesli'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['France'],[],[],9 g,en quantité modérée,5 g,en quantité modérée,14 g,en quantité élevée,1.3 g,en quantité modérée,?,,420,+5%,1757 kj(420 kcal),+5%,9,+3%,5,+127%,69,+3%,14,-16%,11,+18%,"1,3",+264%,"0,52",+264%,17,+215%,D,+215%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,
851,Chia Samen,4260188784338,,,,['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,31,,"3,8",,5,,"0,8",,21,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
852,N'oats Framboise-coco-cerise,4260188785106,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,368,,1540 kj(368 kcal),,12,,4,,51,,14,,10,,"0,03",,"0,012",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
853,Porridge,4260188785113,,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,13,,5,,54,,7,,10,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
854,Berliner Muesli,4260188785649,,,,['France'],[],[],,,,,,,,,?,,366,,1531 kj(366 kcal),,10,,2,,58,,13,,10,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
855,Espresso Müsli - Mymuesli,4260188785977,,['Mymuesli'],,['France'],"['Haferflocken', '15% Kaffee-Crunchy ', ""Haferflcck l'frMüsli aus "", 'Gn Zutc', 'en: imfettt Haferschrot', 'Honig', 'gepuffter Reis', 'c Adrtetes Pa ?esirup', 'ung Kaffeeûtrakti Gerstenmalz', ""1 0% weiBe SchokoDr'xc Kakaobutter"", 'Vollmilchpulvert MaisgrieB', ""Dinkelvollkornmehl sa'Ajberzugsmittel Gummi arabicum"", '9 % Dinkelflakes Meersalz*', 'Haferkleie', '6 % Schoko-Cornflakes', 'Mais', 'Rohroh Kakaomasset Vollmilchpulvert Uberzugsmittel Gumn arc tiesalz* Maismalz', 'ì 5% Zartbitter&hokoplëttcheil ', 'Kakaomasse', 'RC Kakaobutter', 't 4% schokolierte Espressobohnen ', 'Kakaomasse Roi Kakaobutter', 'Honig', 'Uberzugsmittel Gummi mit Kakao ', 'Reis', 'Rohrzuckert Kakaopulver', '2% Kaffeepulver', '1% Kakaopulver', 'in der Zartbitterschokolade aus biologischem Anbau', 'auBer *Meersalz']",['Non végétalien'],,,,,,,,,?,,413,,1728 kj(413 kcal),,14,,6,,57,,11,,11,,"0,3",,"0,12",,,,,,,,,,,,,,['Bio'],,,['Gluten'],,,,,,,,
856,MyMuesli,4260188785984,,,,['France'],[],[],,,,,,,,,?,,366,,1531 kj(366 kcal),,12,,2,,15,,13,,58,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
857,Birchermuesli - Mymuesli,4260188786424,,['Mymuesli'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Mymuesli,4260188786585,,['Mymuesli'],,['France'],"['chocolate cornflakes dark chocolate muesli With chocolate cornflakes and dork chocolate from the cane sugar', 'unhydrogenated palmbutter', 'Wheat flakes', 'shredded oats', 'puffed rice', 'cocoo butter', 'honey', 'whole milk powder', 'cocoo mass', 'barley malt', 'seo solt*', 'cocoo moss row cane sugor', 'cocoo butter', '5 % roosted cereol With cocoo ', 'lice', 'cane barley malt', '5 % chocolate cornflakes ', 'maize', 'row cane sugor', 'cocoo butter', 'cocoo gum orobiÇ seo solt*', 'maize malt', 'I % cocoo powder', ' Cocoo: 70% minimum in from organic cultivation', 'except for *sea salt as there is no organic certification for this', ' kélcycontoin traces of nuts', 'peonuts', 'soya', 'lupin and sesame seeds', ' Store in a cool and dry place', "" 'k SE Ekologisk choklad-muesli med choko-cornflakes och môrk choklad frin ingrediensernŒli "", 'havreflingor', 'rârôrsocker', 'ohdrdat palmfett', 'veteflingor', 'havrekross', 'puffot ris', 'kokosflingor', 'honung', 'helmiôlkspulver', 'kakaomossa', 'kornmalt', 'havssolt*', 'havreflingor', '1 % kokoosmôr', '5 % rostat korn med kakao ', 'ris', 'rôrsocker', 'kakaopulver', 'vete', 'havre', 'korn', ': ', 'mois', 'rirôrsocker', 'kokoosmôr', 'kakaomassa', 'helmiôlkspulver', 'ôverdragsmedel gummi I % kok00PUlveL Kokoo: minst 70 % môrk choklad', ' Alla ingredienser kommer frin ekologisk Widetfinns ingen ekologisk certifiering', ' Information fôr allergiker: Kan innehdllo spir ov nôtter', 'DK Bio chokolade Mysli svalt och torrt', ' Büst fôre: se botten', ' fra de ingredienser: 46 % chokocrunchy ', 'havregryn', 'rdrarsukker', 'Uhardet polmefedt ris', 'kokosmel', 'kakoopulver', 'hvedesirup', 'kakaosmar', 'honning', 'sgdmalkspulver', '7% marke chokolodestykker ', 'kakaomosse', 'rârarsukker', 'kakaosmar', '5 % ristet korn hvede', 'havre', 'byg', 'bygmalt', '5 % chokocornflakes ', 'mois', 'rdrorsukker', 'Arabisk gummi', 'havsolt*', 'maismolt', 'I % kakaopulver', ' Kokao', '• mindst *havsalt', 'da der havervlokken', '7% ', 'riist', 'tarwe', 'haver', 'gerst', 'gerstem0Ut', ""be'staat"", ' Allergie en bewaren', ' T', 'h', 't', ':']",[],,,,,,,,,?,,420,,1757 kj(420 kcal),,14,,6,,59,,14,,11,,"0,15",,"0,06",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
859,Paprikakürbisgranola,4260188787056,,,,['France'],[],[],,,,,,,,,?,,441,,1845 kj(441 kcal),,20,,3,,14,,14,,12,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
860,Blackberry granola,4260188787414,,,,['France'],[],[],,,,,,,,,?,,388,,1623 kj(388 kcal),,"9,1",,"1,3",,"59,3",,"12,5",,"11,8",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
861,SuperGrainMuesli - Mymuesli,4260188787537,,['Mymuesli'],,['France'],[],[],,,,,,,,,?,,330,,1381 kj(330 kcal),,"4,7",,"0,9",,55,,11,,"10,5",,"0,05",,"0,02",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
862,Muesli golden granola,4260188788480,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,"13,1",,3,,"55,5",,"15,2",,"10,6",,"0,02",,"0,008",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
863,Wostok,4260189214018,,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,"8,8",,"8,8",,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
864,Soupe Aux Carottes & Gingembre - Rose,4260189687607,,['Rose'],,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,29,,121 kj(29 kcal),,"0,4",,"0,1",,6,,"1,2",,"0,3",,"1,1",,"0,44",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'AB Agriculture Biologique', 'Bio-dynamie', 'Demeter']",,,,,,,,,,,
865,Soupe de potiron au curry - Rose,4260189687638,,['Rose'],,['France'],"['@ Eau', 'potiron*M200/o', 'pommes de terre** ', 'noix de ', 'oignons** CÉLERI** coco* ', 'jus de pommes* sel marin', 'amidon de maïs* ', 'curry* ', '0,3 %', 'gingembre* épices*', ' t', "" issu de l'agriculture biologique i'"", "" issu de l'agriculture biologique et biodynamique "", 'part : 86%', ' Peut contenir des traces de gluten', 'de lait et de produits taitiers', 'de fruits à coque', ""d'arachides"", 'de moutarde', 'de soja et de graines de sésame']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,38,,159 kj(38 kcal),,"1,1",,1,,"5,4",,"1,8",,"0,8",,"0,8",,"0,32",,,,,,,,,,,,,,"['Bio', 'Bio-dynamie', 'Demeter']",,,"['Céleri', 'Fruits à coque']",,,,,,,,
866,Soupe de pois chiche - Rose,4260189687645,,['Rose'],['Boissons'],['France'],[],[],2.4 g,en quantité modérée,1.9 g,en quantité modérée,2.2 g,en faible quantité,0.7 g,en quantité modérée,?,,62,+11%,259 kj(62 kcal),+7%,"2,4",+592%,"1,9",+1510%,"6,4",-43%,"2,2",-77%,"2,2",+344%,"0,7",+1587%,"0,28",+1587%,15,+96%,E,+96%,,,,,,,,,"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,,,
867,Daal Oriental aux figues - Rose,4260189687669,,['Rose'],,['France'],"['Eau', 'lentilles** ', '11%', 'jus de pommes*', 'oignons*', 'concentré de tomate*', 'poireau**', 'figues* ', '3%', ' [figues farine de riz*]', 'abricots* ', '3%', ' [abricots*', 'farine de riz*', 'carottes*', 'FARINE DE FROMENT**', 'huile de tournesol** sel marin', 'gingembre*', 'ras el hanout*', ' *', "" issu de l'agriculture biologique issu de l'agriculture biologique et biodynamique "", 'part: 74%', ' Peut contenir des traces de lait et de produits laitlers', 'des de fruits à coque', ""d'arachides"", 'de céleri', 'de moutarde', 'de soja et de graines de sésame']","['Végétalien', 'Végétarien']",,,,,,,,,?,,60,,251 kj(60 kcal),,"2,5",,"0,3",,"6,9",,"3,8",,"1,6",,"0,62",,"0,248",,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien', 'Bio-dynamie', 'Demeter']",,,['Gluten'],,,,,,,,
868,Curry de legumes vegan - Rose,4260189687676,,['Rose'],,['France'],"['carottes\'* concentré de tomates""', 'abricots* [abricots""', 'farine de jus de pommes* se} - martn', 'épices* ', '0,53 farine de froment* Y', ""ì'agricuiture b"", 'oiogSque et biodynamique ', 'parts', '77 biotog', 'que', ' VEGAN', 'SANS LACTOSE']","['Végétalien', 'Végétarien']",,,,,,,,,?,,87,,364 kj(87 kcal),,"4,2",,"0,5",,"9,1",,"4,5",,2,,"0,6",,"0,24",,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien', 'Bio-dynamie', 'Demeter', 'Sans lactose']",,,['Lait'],,,,,,,,
869,Chili sin carne - Rose,4260189687683,,['Rose'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Chili sin carne']",['France'],[],[],2.4 g,en faible quantité,0.3 g,en faible quantité,2.8 g,en faible quantité,1.7 g,en quantité élevée,?,,92,-13%,385 kj(92 kcal),-14%,"2,4",-29%,"0,3",-29%,"14,7",+5%,"2,8",+4%,"2,8",-47%,"1,7",+118%,"0,68",+118%,7,,C,,,,,,,,,,"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,,,
870,Goulash de pommes de terre - Rose,4260189687690,,['Rose'],,['France'],[],[],,,,,,,,,?,,49,,205 kj(49 kcal),,"0,3",,"0,3",,"7,1",,"2,1",,"0,8",,"0,7",,"0,28",,,,,,,,,,,,,,"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,,,
871,Matcha for latte to go - Alya,4260189826303,,"['Alya', 'Alia The Tea']","['Boissons', 'Boissons sans sucre ajouté']",['France'],[],"['Végétalien', 'Végétarien']",1.4 g,en faible quantité,0.8 g,en quantité modérée,7.3 g,en quantité élevée,0.08 g,en faible quantité,?,,56,+27%,234 kj(56 kcal),+19%,"1,4",+318%,"0,8",+744%,"7,9",-9%,"7,3",+8%,3,+502%,"0,08",+69%,"0,032",+69%,13,+136%,E,+136%,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,"['Lait', 'Fruits à coque', 'Soja']",,,,,,,,
872,Matcha Latte,4260189826334,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,378,,1582 kj(378 kcal),,1,,0,,83,,73,,6,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
873,4260189964005,4260189964005,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,4260189964012,4260189964012,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,4260189964067,4260189964067,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Quinoa tricolore - Planet Nature,4260192842024,,['Planet Nature'],,['France'],['Quinoa'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,366,,1531 kj(366 kcal),,"6,5",,"0,9",,"60,6",,"2,5",,"11,6",,"0,03",,"0,012",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
877,Dattel  Balsamcreme - 100ml,4260193463556,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,100 ml,,,,,,
878,Yorem Erzincan Tulum Cheese,4260193510106,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"29,2",,"20,4",,"0,5",,"0,5",,"25,1",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
879,"Hindi Et Ezmesi, Puten Pastete",4260193510656,,,,['France'],[],[],,,,,,,,,?,,199,,833 kj(199 kcal),,0,,0,,15,,0,,16,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
880,Macar Salami - Özyörem - 300g,4260193510878,,['Özyörem'],,['France'],"['Dinde ', '55g', 'boeuf ', '25g', 'graisse de boeuf ', '20g', 'viande de poulet ', '5g', 'sel de table', 'épices', 'maltodextrine', 'sirop de glucose', 'sucre', 'betterave', 'conservateurs', 'nitrite', 'sorbate potassique', 'antioxydants', 'encens']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,342,,1431 kj(342 kcal),,30,,15,,1,,1,,17,,"4,39",,"1,756",,,,,,,,,,,,,,['Halal'],,,,4,300g,,,,,,
