,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,brand,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,markets,additives,nova_score,allergens,generic_name,ingredients_origins,brand_owner,manufacturing,link
35,HALVA - 250g,5200133532859,['France'],[],[],?,545,2280 kj(545 kcal),33,"4,9","49,8","28,1","12,3",0,0,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Barres glacées chocolat amandes,3273120030210,['France'],[],[],?,476,1992 kj(476 kcal),"25,7","8,3","41,7","17,3","14,3","0,74","0,296",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lactose', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,
37,Chimichuri pampeano - Terre exotique,3760063322958,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,['Terre exotique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Chewing gum,7350075691683,['France'],[],[],?,174,728 kj(174 kcal),0,0,"73,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Macédoine de fruits tropicaux,24000014652,['France'],[],[],?,64,268 kj(64 kcal),0,0,15,13,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3211512850008,3211512850008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans arômes artificiels']",,,,,,,,,,,,,,,,,,,,,,,,,
41,Lipivance,8491112459879,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Nappage Miroir Neutre à Froid - 1kg,3506170087508,['France'],[],[],?,?,,?,,?,,?,,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Shine bright,3830060728463,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Gougere - Leclerc,,['France'],[],[],?,343,1435 kj(343 kcal),23,14,18,"1,8",14,1,"0,4",,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
