,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,nova_score,markets,additives,allergens,generic_name,brand_owner,palm_ingredients
331,Edel marzipanbrot,20197797,,['France'],[],[],?,470,"5,4","52,7","8,2",,,,,,,,,,,,,,,1966 kj(470 kcal),,,"5,4",,,"52,1",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
332,Jus d'orange pressé naturel,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Tomillo - Carmencita,8413700013263,,"['France', 'Espagne']",[],[],?,100,0,0,100,,,['Carmencita'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-24%,418 kj(100 kcal),-28%,-100%,0,-100%,-100%,0,-100%,+2532%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,
334,Pain de seigle à l'épautre - Terra Sana,8713576203424,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-001']",['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,['Terra Sana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,
335,Dragées au chocolat - Vert anis - dragee d'amour - 1kg,8005085716640,,['France'],"['Sucre', 'chocolat noir ', '38%', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'arômes : vanilline', ""l'amidon de riz et de maïs "", ' les agents gélifiants : maltodextrine', 'gomme arabique', 'colorants : riboflavine - carmin - bleu brillant FCF - extrait de paprika ', "" agent d'enrobage : cire de carnauba"", 'arôme : vanilline']","['Non végétalien', 'Non végétarien']",?,444.7,"11,1",?,"5,6",1kg,['Boite'],"[""dragee d'amour""]","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons dragéifiés']",11.1 g,en quantité modérée,6.9 g,en quantité élevée,71.4 g,en quantité élevée,0.03 g,en faible quantité,,+5%,1861 kj(444 kcal),+6%,-8%,"6,9",+6%,,"71,4",+25%,+81%,"0,03",-72%,"0,012",-72%,21,+9%,E,+9%,,,,,,,,,,,,,4,,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E101i - Riboflavine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika', 'E903 - Cire de carnauba']",,,,
336,dragées de france - 1kg,3322217401034,"['Fabriqué en France', 'Pur beurre de cacao']",['France'],"['Sucre', 'chocolat 40% ', 'cacao 70 %', 'sucre', 'páte de cacao', 'poudre de cacao', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', 'arôme', ""agent d'enrobage: gomme arabique"", ""cire d'abeille"", 'cire de carnauba', 'shellac', ' amidon de riz', 'sirop de glucose', ' vanilline', 'colorant: E124']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,470,15,76,"4,1",1 kg,"['A', 'Boite']",['dragées de france'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons dragéifiés']",15 g,en quantité modérée,9.7 g,en quantité élevée,54 g,en quantité élevée,0.01 g,en faible quantité,,+11%,1966 kj(470 kcal),+12%,+25%,"9,7",+49%,-1%,54,-5%,+32%,"0,01",-91%,"0,004",-91%,24,+24%,E,+24%,,,,,,,,,,,,,4,,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba', 'E904 - Gomme-laque', 'E124 - Ponceau 4R']",['Soja'],,,
337,Cake au fromage Boursin  Ail et Fines Herbes - Guyader,3276770246376,,['France'],[],[],?,341,25,15,13,,,['Guyader'],,,,,,,,,,,,1427 kj(341 kcal),,,"7,6",,,2,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
338,Saucisson pur porc au Beaufort,3252889081015,,['France'],[],[],?,481,"39,5","5,3","26,2",,,,,,,,,,,,,,,2013 kj(481 kcal),,,"16,2",,,"0,87",,,"4,97",,"1,988",,,,,,,,,,,,,,,,,"['FR 69.095.001 CE', 'Grézieu-le-Marché (Rhône, France)']",,,,,,,
339,5410316950831,5410316950831,,['France'],[],[],?,?,?,?,?,,,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,
340,Tahini with chocolate,5202576602380,,['France'],[],[],?,573,40,33,"16,3",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",40 g,en quantité élevée,7.7 g,en quantité élevée,30.8 g,en quantité élevée,0 g,en faible quantité,,-10%,2397 kj(573 kcal),-10%,-28%,"7,7",-7%,+418%,"30,8",+4804%,-27%,0,-100%,0,-100%,20,+50%,E,+50%,D,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,,,,,,,,,,,
