,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,labels,markets,link,generic_name,palm_ingredients,producer_info,brand_owner
1516,Haribo Zary mix chaîne yt : SO6_Disky,3103220044391,,['Haribo'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Rooibos pomme cannelle - Lord Nelson - 44g,20437039,B,['Lord Nelson'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Rooibos']",,"['France', 'Espagne']","['73,5% rooibos', '15% morceaux de pommes', '6% écorce de cannelle', 'arôme naturel', 'pétales de rose']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,6,,1,-50%,6 kj(1 kcal),-14%,"< 0,5",+2438%,"< 0,1",+3497%,"< 0,5",+511%,"< 0,5",+782%,"< 0,5",+1601%,"< 0,01",+104%,"0,004",+104%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,44 g,,,,['Fabriqué en Allemagne'],,,,,,
1518,Madeleines - St Michel,3178530415049,B,['St Michel'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,"['Plein air', 'Œufs de poules élevées en plein air', 'Fabriqué en France']",,,,,,
1519,Amaretto disaronno etro,8001110016372,,['Disaronno'],"['Boissons', 'Boissons alcoolisées']",,"['France', 'Royaume-Uni']",[],,,[],,,,,,,,,,?,,307,+514%,1284 kj(307 kcal),+511%,0,-100%,0,-100%,60,+1171%,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,
1520,Citron Brio bio - 4fruits,3661949020152,,['Brio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Citrons', 'Citrons frais']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,4 fruits,['sachet plastique'],['Espagne'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-024-MU', 'Agriculture UE', 'FR-BIO-10']",,,,,,
1521,Viva - Candia,3533630096008,,['Candia'],,,['France'],[],,,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,"1,6",,1,,"4,8",,"4,8",,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,,['HDPE'],,,,,,,,,
1522,Apéro'Dips  thon- Tomates séchées Basilic - Le Trésor des Dieux,3188720004472,,['Le Trésor des Dieux'],,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,256,,1071 kj(256 kcal),,"23,4",,"6,2",,"1,7",,"1,5",,"9,4",,1,,"0,4",,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
1523,Eclats de chocolat noir - Monoprix Gourmet - 120g,3350033531512,D,"['Monoprix Gourmet', 'Monoprix']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['France'],"['Chocolat noir* 81% ', 'pâte de cacao*', 'sucre de canne*', 'beurre de cacao“', 'vanille Bourbon en poudre*', ' - canneberges séchées sucrées* 5,3% ', 'canneberges* 3%', 'sucre""', 'huile de tournesol*', ' - amandes effilées* 2,5% - graines de tournesol* 2,5% - graines de courge* 2,5% - fèves de cacao grillées* 2,5% - riz soufflé* - quinoa soufflé""- sel de Guérande IGP', ' Cacao : 56% minimum dans le chocolat noir', "" \r* Ingrédients issus de l'agriculture biologique"", ' \rIngrédients conformes aux standards du commerce équitable Fairtrade/Max Havelaar: cacao', 'sucre de canne', 'vanille ', '81% du poids total']",,,[],3,34 g,en quantité élevée,20 g,en quantité élevée,42 g,en quantité élevée,0.27 g,en faible quantité,?,,538,-3%,2251 kj(538 kcal),-3%,34,-14%,20,-13%,47,+22%,42,+32%,"7,3",-5%,"0,27",+478%,"0,108",+478%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,120 g,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fairtrade International', 'Max Havelaar']",['Monoprix'],,,,,
1524,Delirium Beer,5412186000043,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Compote pomme abricot brugnon - Materne,3021760290026,B,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes abricot']",,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,13 g,en quantité élevée,0.01 g,en faible quantité,?,,67,+5%,280 kj(67 kcal),+5%,"0,5",+47%,"0,1",+36%,14,0%,13,+2%,"0,5",+14%,"0,01",+22%,"0,004",+22%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,"['en:gluten-free', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",,,,,,
1526,Mousse chocolat noir,3258563420866,,,,,['France'],[],,,[],,,,,,,,,,?,,323,,1351 kj(323 kcal),,21,,"13,5",,24,,22,,"7,9",,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,
1527,Yaourts,3701002402768,,,,,['France'],[],,,[],,,,,,,,,,?,,92,,385 kj(92 kcal),,"2,6",,"1,7",,13,,10,,"3,9",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,
