,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,labels,markets,link,generic_name,palm_ingredients,producer_info,brand_owner
358,Gomme à mâcher sans sucre - M-CLASSIC - 80g,7613312098387,,['M-CLASSIC'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,"['France', 'Suisse']","['Édulcorants : xylitol 26 %', 'sorbitol', 'mannitol', 'maltitol', 'sucralose et thaumatine', 'gomme base ', 'avec antioxygène: E 306', 'arômes', 'humectant : E 422', 'acidifiants : acide malique et acide citrique', 'épaississant : gomme arabique', 'colorant : E 171', ""fraise en poudre agents d'enrobage : E 553b et E 903""]","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965 - Maltitol', 'E955 - Sucralose', 'E957 - Thaumatine', 'E306 - Extrait riche en tocophérols', 'E422 - Glycérol', 'E296 - Acide malique', 'E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E171 - Oxyde de titane', 'E553b - Talc', 'E903 - Cire de carnauba']",,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,?,,0.69999998807907,-100%,3 kj(0 kcal),-100%,"0,5",+111%,"0,1",-25%,"0,1",-100%,"0,1",-98%,"0,1",-39%,"0,01",-62%,"0,004",-62%,,,,,,,,,,,,80 g,['Plastique'],,,"['Peu ou pas de sucre', 'Sans sucre']",['Migros'],,,,,
359,Coco ice-land coco & chocolate coconut milk vegan,7613312105191,,,,,"['France', 'Suisse']",[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,274,,1146 kj(274 kcal),,17,,14,,28,,19,,"1,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Sans lactose']",,,,,,
360,Mais Puffs Ungesalzen - Migros,7613312109960,,['Migros'],,,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,398,,1665 kj(398 kcal),,"2,5",,"0,5",,84,,"0,5",,8,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,
361,Blévita alpenchili - 19g,7613312138403,,['Blévita'],,,"['France', 'Suisse']",[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,1674,,?,,1674 kj(400 kcal),,10,,"0,9",,60,,1,,12,,"1,8",,"0,72",,,,,,,,,,,,,19 g,,,,"['Végétarien', 'Végétalien', 'Sans lactose']",,,,,,
362,Batonnets de colin de l'alaska - Pelican,7613312196083,,['Pelican'],"['Produits de la mer', 'Poissons', 'Préparations de poisson']",['MSC-C-51740'],"['France', 'Allemagne', 'Suisse']",[],,,[],,7.5 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,0.65 g,en quantité modérée,?,,198,+2%,828 kj(198 kcal),+3%,"7,5",-37%,"0,6",-81%,18,+124%,"0,5",-67%,14,+19%,"0,65",-45%,"0,26",-45%,-1,-116%,A,-116%,,,,,,,,,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,,
363,Yogourt au lait de bebris Mangue - Coop Naturaplan - 120g,7613331588890,,['Coop Naturaplan'],,,"['France', 'Suisse']","['Lait de brebis ', 'homogénéisé', 'pasteurisé [Suisse]', 'sucre de canne brut ', 'Paraguay', 'mangue 6% ', 'Inde', 'Sri Lanka', 'amidon de riz']",,['Lait'],['Non végétalien'],,,,,,,,,,500,,144,,500 kj(144 kcal),,6,,"3,6",,"16,8",,"16,8",,"5,4",,"0,1",,"0,04",,,,,,,,,,,,,120 g,,,,"['Bio', 'Bio européen', 'CH-BIO-006']",,,,,,
364,Mélange de fruits secs - Coop - 250g,7613331680693,,['Coop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,"['France', 'Suisse']","['Raisins sultanines blonds ', 'raisins sultanines', 'huile de tournesol', 'conservateur [E 220 [sulfite]]', 'raisins sultanines foncés ', 'raisins sultanines', 'huile de coton', 'noisettes', 'amandes non émondées', 'amandes émondées', 'noix de cajou', 'noix du brésil', 'pignons de pin 2%']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Fruits à coque', 'Anhydride sulfureux et sulfites']",[],3,29 g,en quantité élevée,3.5 g,en quantité modérée,43 g,en quantité élevée,0.05 g,en faible quantité,2050,+15%,490,+11%,2050 kj(490 kcal),+11%,29,+39%,"3,5",-32%,43,-13%,43,+9%,11,+20%,"0,05",-59%,"0,02",-59%,3,-61%,C,-61%,,,,,,,,250g,['Green dot'],,,,,,,,,
365,Asian Quinoa Salat - Betty Bossi,7613379001016,,"['Betty Bossi', 'Karma']",,,"['France', 'Suisse']",[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,129,,540 kj(129 kcal),,4,,"0,5",,16,,2,,6,,"1,2",,"0,48",,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,
366,Chocolat au lait suisse avec des noisettes entières - Coop - 100gr,7613379607980,D,['Coop'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']",,"['France', 'Suisse']","['Sucre', 'noisettes 22%', 'lait entier en poudre ', 'Suisse', 'beurre de cacao', 'cacao en pâte', 'émulsifiant ', 'E322 de soja', 'arôme naturel']",['E322 - Lécithines'],['Fruits à coque'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,41 g,en quantité élevée,18 g,en quantité élevée,42 g,en quantité élevée,0.16 g,en faible quantité,?,,585,+3%,2448 kj(585 kcal),+3%,41,+8%,18,+3%,44,-5%,42,-5%,"8,6",+3%,"0,16",-15%,"0,064",-15%,24,-2%,E,-2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,100gr,,,['Suiza'],"['Commerce équitable', 'Agriculture durable', 'Fairtrade International', 'Max Havelaar', 'en:UTZ Certified']",,http://coop.ch,,,,
367,Herbes des Alpes suisses - COOP,7613379867155,,['COOP'],,,"['France', 'Suisse']",[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,
368,Lapin en chocolat,7616500050846,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,['France'],[],,,[],,35 g,en quantité élevée,21 g,en quantité élevée,52 g,en quantité élevée,0.2 g,en faible quantité,?,,560,+1%,2343 kj(560 kcal),+1%,35,+2%,21,+1%,53,-1%,52,-0%,7,+7%,"0,2",+3%,"0,08",+3%,26,-1%,E,-1%,,,,,,,,,,,,,,,,,,
369,Berry Splash Cranberry - Migros - 1L e,7616800899589,D,"['Migros', 'Bischofzell']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons à la canneberge', 'Nectars de canneberges']",,"['France', 'Suisse']","['Eau', 'jus de canneberge à base de concentré 30%', 'sucre', 'vitamine C', 'édulcorant: sucralose']",['E955 - Sucralose'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,9.2 g,en quantité élevée,0 g,en faible quantité,?,,37,+6%,155 kj(37 kcal),+6%,0,-100%,0,-100%,"9,2",+12%,"9,2",+20%,"< 0,5",+252%,0,-100%,0,-100%,13,+19%,E,+19%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L e,"['Bouteille', 'Plastique']",,['Suisse'],['Riche en vitamine C'],['Migros'],,,,,
370,Lungo - Café Royal - 53g,7617014161530,,['Café Royal'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso', 'Boissons sans sucre ajouté']",,"['France', 'Suisse']","['10 capsules', 'café torréfié', 'moulu', 'pour le système Nespresso', ' 100% arabica']",,,[],,,,,,,,,,?,,1,0%,4 kj(1 kcal),0%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,53 g,"['Capsule', 'Etui', 'Carton', 'Sous atmosphère protectrice']",,['Suisse'],"['Agriculture durable', 'en:UTZ Certified']",['Magasins U'],,,,,
371,Grains de maïs - Migros - 160g,7617027070874,B,"['Migros', 'M-Classic', 'Coop', 'Qualite & Prix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve']",,"['France', 'Allemagne', 'Suisse', 'en:en']","['Maïs ', ' Hongrie', 'eau', 'sucre', 'sel de cuisine']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1.5 g,en faible quantité,0.5 g,en faible quantité,7 g,en quantité modérée,0.5 g,en quantité modérée,547,+42%,?,,547 kj(131 kcal),+47%,"1,5",-7%,"0,5",+62%,23,+63%,7,+45%,"4,5",+64%,"0,5",+11%,"0,2",+11%,-6,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,160g,['Item'],,,,['Migros'],,,,,
372,Nutri fibra - Proalimentar,7622210247803,,['Proalimentar'],,,['France'],"['BOLACHAS INTEGRAIS ENRIQUECIDAS COM Ingredientes: Farinha integral cie TRIGO 81 %', 'xarope de glucose4rutese gordura de palma', 'farelo de ïR\\GC', ' levedante ', 'bicarbonato de am6nio', 'farinha de arroz', 'emulsionante ', 'lecitina de SOJA', 'OVO em Pô', 'sal iodado', 'mineral ', 'carbonato de câlcio', 'agente de tratamento da farinha ', 'METABISSULFITO de s6di0', ' PODE CONTER LEITE', 'FRUTOS DE CASCA RUA', 'SEMENTES SÉSAMO']",,['Soja'],[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,"6,7",,"2,2",,71,,18,,"9,9",,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,
373,Crispy and thin chocolat - Oreo - 192g (32unités),7622210650719,D,['Oreo'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,"['France', 'Royaume-Uni']","['Farine de BLÉ', 'sucre', 'huile de palme', 'cacao maigre en poudre 7 %', 'amidon de BLÉ', 'sirop de glucose-fructose', 'poudre à lever ', 'carbonate acide de potassium', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'sel', 'émulsifiant ', 'lécithine de SOJA', 'arôme ', 'vanilline', ' PEUT CONTENIR LAIT']","['E501ii - Carbonate acide de potassium', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine']","['Gluten', 'Lait', 'Soja']",['Huile de palme'],4,20 g,en quantité modérée,9.7 g,en quantité élevée,38 g,en quantité élevée,0.83 g,en quantité modérée,?,,488,-1%,2042 kj(488 kcal),-1%,20,-15%,"9,7",-18%,69,+11%,38,+17%,"5,4",-18%,"0,83",+50%,"0,332",+50%,23,+7%,E,+7%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,192 g (32 unités),"['boîte', 'Carton']",,,,['Magasins U'],,,['Huile de palme'],,
374,Hollywood max - 20g e (10dragées),7622210684691,,['Hollywood'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,['France'],"['Édulcorants ', 'Xylitol', 'Isomalt', 'Sorbitol', 'Sirop de maltitol', 'Aspartame', 'Acésulfame K', 'Gomme base', 'Arômes', 'Stabilisant ', 'E414', 'Émulsifiant ', 'Lécithine de tournesol', 'humectant ', 'E1518', 'colorants', 'E160a', 'E133']","['E967 - Xylitol', 'E953 - Isomalt', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', ""E414 - Gomme d'acacia"", 'E322i - Lécithine', 'E1518 - Triacétine', 'E160a - Carotènes mélangés', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,"[""Pourrait contenir de l'huile de palme""]",4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,17,-89%,71 kj(17 kcal),-89%,0,-100%,0,-100%,70,+11%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,20 g e (10 dragées),"['Boîte', 'Carton']",,,"['Peu ou pas de sucre', 'Sans sucre', 'Avec édulcorants']",,,,,,
375,Hollywood max - 1,7622210723314,,"['Hollywood', 'Mondelez']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,['France'],"['Édulcorants ', 'Sorbitol', 'Xylitol', 'Maltitols', 'Isomalt', 'Aspartame', 'Sucralose', 'Acésulfame K', 'Gomme base', 'Arômes', 'Acidifiants ', 'E296', '830', 'E297', 'Emulsifiants ', 'Lécithine de tournesol', 'E472a', 'E471', 'Colorants ', 'E160d', 'E163', 'E100', 'Humectant ', 'E1518', 'Antioxydant ', 'E321', ' Contient une source de phénylalanine']","['E420 - Sorbitol', 'E967 - Xylitol', 'E965 - Maltitol', 'E953 - Isomalt', 'E951 - Aspartame', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E296 - Acide malique', 'E297 - Acide fumarique', 'E322i - Lécithine', ""E472a - Ester diacétyl-acétique d'acides gras"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160d - Lycopène', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E1518 - Triacétine', 'E321 - Butylhydroxytoluène']",,"[""Pourrait contenir de l'huile de palme""]",4,1.9 g,en faible quantité,1.6 g,en quantité modérée,0.2 g,en faible quantité,0.02 g,en faible quantité,?,,718,+349%,3004 kj(718 kcal),+348%,"1,9",+864%,"1,6",+1279%,60,-4%,"0,2",+244%,"0,5",+288%,"0,02",-7%,"0,008",-7%,,,,,,,,,,,,1,"['Carton', 'Plastique', 'Etui en carton', 'Film en plastique']",,,"['Peu ou pas de sucre', 'Contient une source de phénylalanine', 'Une consommation excessive peut avoir des effets laxatifs', 'Point Vert', 'Sans sucre', 'Labels liés à la santé des dents', 'Avec édulcorants', 'Union française pour la santé bucco-dentaire']",,,Chewing-gum sans sucres avec édulcorants. - Max Parfums Framboise et Citron,,,
376,Hollywood MAX Parfum fruit du soleil,7622210749499,,['Hollywood'],,,['France'],"['Edulcorants ', 'Sorbitol', 'Xylitol', 'Maltitols', 'Isomalt', 'Aspartame', 'Sucralose', 'Acésulfame K', 'Gomme base', 'Arômes', 'Acidifiants ', 'E296', 'E330', 'E297', 'Emulsifiants ', 'E472a', 'Lécithine de tournesol', 'E471', 'Colorants ', 'E160d', 'E163', 'E100', 'Antioxidant ', 'E321']","['E420 - Sorbitol', 'E967 - Xylitol', 'E965 - Maltitol', 'E953 - Isomalt', 'E951 - Aspartame', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E296 - Acide malique', 'E330 - Acide citrique', 'E297 - Acide fumarique', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160d - Lycopène', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E321 - Butylhydroxytoluène']",,"[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,182,,761 kj(182 kcal),,"2,6",,"2,3",,61,,"0,2",,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
377,Milka Crunchy Break - 156g,7622210799418,,['Milka'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,"['France', 'Allemagne']","['Kakaokeksriegel mit einer Füllung ', '39%', ' mit Milchschokolade ', '696', ' und Haselnussgeschmack', 'teilweise überzogen mit Alpenmilchschokolade ', '12%', ' Zutaten: Zucker', 'Weizenmehl', 'pflanzliche Öle ', 'Raps', 'Palm', 'Butterreinfett', 'Kakaomasse', 'fettarmes Kakaopulver', 'Kakaobutter', 'modifzierte Stärke', 'Milchzucker Vollmilchpulver', 'Molkenpulver ', 'aus Milch', 'Magermilchpulver', 'Emulgatoren ', 'Sojalecithine', 'E476', 'Eipulver', 'Weizengluten', 'Speisesalz', 'Backtriebmittel Diphosphate', 'Natriumcarbonat', 'Ammoniumcarbonat', 'Aromen ', 'enthalten Milch', 'Der Kakaokeks enthält 3% fettarmes Kakaopulver', ' Kann Sesamsamen enthalten']","[""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium', ""E503i - Carbonate d'ammonium""]","['Œufs', 'Gluten', 'Lait', 'Graines de sésame', 'Soja']","['Huile de palme', 'Non végétalien']",4,28 g,en quantité élevée,12 g,en quantité élevée,39 g,en quantité élevée,0.31 g,en quantité modérée,?,,515,+3%,2155 kj(515 kcal),+2%,28,+3%,12,-21%,61,+10%,39,-13%,"4,6",-33%,"0,31",-4%,"0,124",-4%,25,+2%,E,+2%,,,,,,,,156g,"['Karton', 'Kunststoff']",,,,,,,,,
378,Cuida-te sem glùten,7622210829627,,,,,['France'],[],,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,16,,"1,3",,73,,18,,"2,6",,"0,39",,"0,156",,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,
379,Breakfast Honey&Nuts - elVita - 5x 45g,7622210899408,C,['elVita'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,"['France', 'en:republic-of-macedonia']",[],,,[],,15 g,en quantité modérée,1.8 g,en quantité modérée,26 g,en quantité élevée,0.89 g,en quantité modérée,?,,446,-1%,1866 kj(446 kcal),-1%,15,-8%,"1,8",-71%,41,-39%,26,-18%,"7,5",+2%,"0,89",+89%,"0,356",+89%,10,-41%,C,-41%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,5 x 45 g,,,,,,,,,,
380,"Smelties Bio-maisflips, Hergestellt In Der Schweiz, 50G",7629999035089,B,['Smelties'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs']",,"['France', 'Suisse']",['Semoule de maïs bio'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,3 g,en quantité modérée,0.3 g,en faible quantité,1.5 g,en faible quantité,0 g,en faible quantité,?,,357,-29%,1494 kj(357 kcal),-29%,3,-88%,"0,3",-91%,76,+34%,"1,5",-57%,8,-10%,0,-100%,0,-100%,0,-100%,B,-100%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,"['Bio', 'en:gluten-free', 'Fabriqué en Suisse']",,,,,,
381,Pur Arabica - Carte Noire,8000070000865,,['Carte Noire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,['France'],['café'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,1,-98%,4 kj(1 kcal),-98%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,['Bio'],['Magasins U'],,,,,
382,Kraken Salat - medusa - 150g,8001115577335,,['Medusa'],['Produits de la mer'],['IT 54 CE'],['France'],"['Préparation alimentaire à base de poulpe et olives 80% ', 'poulpe', 'olives', 'vinaigre de vin', 'sel', 'fructose', 'jus de citron', 'aromes naturels', "" Correcteur d'acidité: E270"", 'E330', 'E331', ' Conservateur: E202', 'huile de tournesol']","['E270 - Acide lactique', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Mollusques'],"['Non végétalien', 'Non végétarien']",4,26 g,en quantité élevée,2.1 g,en quantité modérée,1.3 g,en faible quantité,1.33 g,en quantité modérée,?,,295,+59%,1234 kj(295 kcal),+60%,26,+143%,"2,1",-5%,"1,9",-16%,"1,3",+123%,13,-26%,"1,33",-11%,"0,532",-11%,5,-24%,C,-24%,,,,,,,,150g,,,,,,,,,,
383,Risotto - Gallo,8001420009606,,['Gallo'],,,['France'],"['RISOTTO AVEC COURGETTES', 'ÉPINARDS ET QUINOA ROUGE']",,,[],,,,,,,,,,?,,349,,1460 kj(349 kcal),,"1,3",,"0,4",,"76,4",,"4,9",,"6,4",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,
384,Valfrutta - 400g,8001440126802,A,['Valfrutta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve']",,"['France', 'Royaume-Uni']","['Organic chopped tomatoes ', '65%', 'organic tomato juice', 'acidity regulator ', 'citric acid']",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0.1 g,en faible quantité,3.7 g,en faible quantité,0.013 g,en faible quantité,?,,30,-3%,126 kj(30 kcal),+2%,"0,2",-34%,"0,1",+115%,"4,7",+8%,"3,7",+1%,"1,2",-10%,"0,013",-95%,"0,005",-95%,-5,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,400 g,"['Can', 'steel-tin', 'paper-wrapper']",,['Italy'],"['Bio', 'Bio européen', 'IT-BIO-009']","[""Sainsbury's""]",,,,,
385,"Thè San Benedetto Limone - 0,5l e",8001620001486,C,['San Benedetto'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons édulcorées', 'Boissons au thé', 'Thés glacés', 'Thés glacés saveur citron', 'Boissons avec sucre ajouté']",,"['France', 'Italie']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,6.8 g,en quantité élevée,0 g,en faible quantité,?,,28,+22%,117 kj(28 kcal),+26%,0,-100%,0,-100%,"6,8",+28%,"6,8",+40%,0,-100%,0,-100%,0,-100%,9,+29%,D,+29%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,"0,5 l e","['Plastique', 'Bouteille']",,,"['Sans alcool', 'Avec édulcorants']",,http://www.thesanbenedetto.it/prodotti/the-regular/,Thé au citron,,,
386,Fiorentini Organic Quinoa Cake - 120g,8002885005097,B,['Fiorentini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes multicéréales soufflées']",,['France'],[],,,[],,2.1 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en quantité modérée,?,,386,+2%,1615 kj(386 kcal),+2%,"2,1",-30%,"0,3",-56%,"83,2",+11%,"0,5",-36%,"7,4",-17%,"0,4",+19%,"0,16",+19%,-1,,A,,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,120 g,,,['Italie'],['Bio'],,,,,,
387,Lindor Noisettes - Lindt - 200g,8003340092577,,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],"['Sucre', 'matière grasse végétale ', 'coprah', 'palmiste', 'beurre de cacao', 'pâte de cacao', 'poudre de lait', 'noisettes ', '4,2%', 'poudre de lait écrémé', 'beurre laitier concentré', 'lactose', 'émulsifiant : lécithine de soja', ""extrait de malt d'orge"", 'arômes', 'vanille en gousse,']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque', 'Soja', 'Écrémé']","['Huile de palme', 'Non végétalien']",4,49 g,en quantité élevée,33 g,en quantité élevée,38 g,en quantité élevée,0.13 g,en faible quantité,2606,+17%,626,+18%,2606 kj(626 kcal),+18%,49,+53%,33,+90%,41,-22%,38,-20%,"5,2",-12%,"0,13",-15%,"0,052",-15%,25,+2%,E,+2%,,,,,,,,200 g,"['Boîte', 'Carton', 'Plastique']",,,['Point Vert'],['Leclerc'],,"Bouchées de chocolat au lait aux éclats de noisettes, fourré d'un suprême fondant.",['Huile de palme'],,
388,Pulpe fine de tomates - Petti - 350g,8003496064039,,['Petti'],,,['France'],"['tomates datterini biologiques 99,75% - sel iodé']",,,[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"0,2",,0,,"6,4",,"6,4",,"1,4",,"0,7",,"0,28",,,,,,,,,,,,,350 g,['bouteille en verre'],,['Italie'],"['Bio', 'Bio européen', 'IT-BIO-006', 'Fabriqué en Italie']",,,,,,
389,Purée de tomates - Mutti,8005110860621,B,['Mutti'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,['France'],"['tomate 99,5%', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.3 g,en faible quantité,0.1 g,en faible quantité,4.5 g,en faible quantité,0.7 g,en quantité modérée,?,,36,-31%,151 kj(36 kcal),-26%,"0,3",-72%,"0,1",-28%,"5,1",-12%,"4,5",0%,"1,6",+1%,"0,7",+57%,"0,28",+57%,-2,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,,,,,
390,Mozzarella Di Bufala 24 % - ABC - 150g,8007968001508,C,['ABC'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne', 'Mozzarella di Bufala Campana']",['IT 15 241 CE'],['France'],"['lait de bufflonne pasteurisé', 'ferments lactiques', 'sel', 'présure']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,23 g,en quantité élevée,17.8 g,en quantité élevée,0.7 g,en faible quantité,0.5 g,en quantité modérée,?,,278,+5%,1163 kj(278 kcal),+5%,23,+1%,"17,8",+15%,"0,8",+10%,"0,7",+19%,"17,4",+21%,"0,5",-18%,"0,2",-18%,10,-3%,C,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,150g,"['Frais', 'Plastique']",['Italie'],['Italie'],['AOP'],,,Fromage italien frais à pâte filée en saumure,,,
