,name,bar_code,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,additives,link,generic_name,producer_info,brand_owner,palm_ingredients
235,3780386806508,3780386806508,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
236,Flan bio,3355710815947,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,"['EMB 24550A', 'Thenon (Dordogne, France)']",,['France'],[],[],,,,,,,,,,?,,218,,912 kj(218 kcal),,"8,7",,"5,4",,30,,18,,"4,6",,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,
237,Mooju Choc,5011056022347,,,,,,,,,['France'],[],[],,,,,,,,,,?,,76,,318 kj(76 kcal),,"1,7",,"0,8",,"10,5",,"10,3",,"4,7",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,
238,Super cacao & chia,0705632865347,,,,,,,,,['France'],[],[],,,,,,,,,,?,,405,,1695 kj(405 kcal),,"15,6",,"2,5",,"42,9",,"12,3",,"15,5",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,
239,Sauce coktail - anda - 650ml,5412541083551,650 ml,['Pot'],['Anda'],"['Epicerie', 'Sauces', 'Sauces cocktail']",,['Belgique'],,,['France'],"[""huile de colza jaune d'oeuf frais vinaigre eau concentré de tomates dextrose sucre moutarde sel whisky amidon de maïs modifier mélasse vinaigre de malt jus de citron anchois protéine de soja hydrolysée acide alimentaire acide citrique colorants : extrait de paprika antioxygène : calcium disodium EDTA""]",[],4,59.2 g,en quantité élevée,4.67 g,en quantité modérée,7.7 g,en quantité modérée,1.77 g,en quantité élevée,?,,573,+15%,2397 kj(573 kcal),+15%,"59,2",+16%,"4,67",-1%,"7,8",-12%,"7,7",+17%,"1,8",+32%,"1,77",+17%,"0,708",+17%,18,+8%,D,+8%,,,,,,,,,,,"['E160c - Extrait de paprika', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,,,,
240,Steak haché bio - mon p'tit boucher - 125g,3361114017030,125g,['Barquette'],"[""mon p'tit boucher""]","['Viandes', 'Viandes fraîches', 'Steaks hachés frais']","['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-01', 'AB Agriculture Biologique', 'Viande-bovine-francaise']",['Le faouet'],"['FR 56.057.003 CE', 'Faouët (Morbihan, France)']",['bio c bon'],['France'],['PURE VIANDE BOVINE FRANCAISE'],[],,5 g,en quantité modérée,,,,,,,?,,?,,,,5,-51%,,,?,,,,?,,,,,,,,,,,,,,,,,,,['France'],,,,,,
241,Pain chocolat beurre x2,0202169009843,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
242,Pretzl - Glico - 55g,4901005520691,55g,,['Glico'],,,,,,['France'],[],[],,,,,,,,,,?,,133,,556 kj(133 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
243,Mélange d'huiles végétales bio riche en oméga 3 - Casino Bio - 50cl,3222477169012,50 cl,,['Casino Bio'],,['Bio'],,,,['France'],"[""Huile vierge de colza* 90% - huile d'olive vierge extra* 5% - huile vierge de carthame* 5%   *Ingrédients issus de l'agriculture biologique""]",[],,,,,,,,,,3404,,828,,3404 kj(828 kcal),,92,,"7,2",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,"Mélange d'huiles végétales et d'huile olive (5%) issues de l'agriculture biologique, riche en oméga 3",,,
244,Craquants à l'origan,6111248160624,,,,,,,,,['France'],[],[],,,,,,,,,,?,,448,,1874 kj(448 kcal),,16,,10,,62,,20,,12,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
245,3614051850834,3614051850834,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
246,Côté de Provence - Pardel Elite - 75cl,3061951450068,75cl,,['Pardel Elite'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
247,Chewing gum parfum tutti frutti - Casino - 100g,3222473143955,100 g,['Boite en plastique'],['Casino'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']","['Peu ou pas de sucre', 'Sans sucre', 'en:Produit dont la commercialisation a cessé']",,,['Casino'],['France'],"['Édulcorants : sorbitol', 'isomalt', 'sirop de maltitol', 'xylitol', 'aspartame', ""acésulfame K - gomme base - arômes - gélifiant : gomme arabique - agents d'enrobage : cire microcristalline"", 'cire de carnauba - colorants : E100', 'E160a ', 'dont lécithine de soja', 'E171']",['Sans huile de palme'],4,0.2 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,678,-5%,163,-3%,678 kj(163 kcal),-3%,"0,2",-16%,0,-100%,"66,9",+5%,"0,2",-96%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,"['E420 - Sorbitol', 'E953 - Isomalt', 'E965ii - Sirop de maltitol', 'E967 - Xylitol', 'E951 - Aspartame', 'E950 - Acésulfame K', ""E414 - Gomme d'acacia"", 'E905ci - Cire microcristalline', 'E903 - Cire de carnauba', 'E100 - Curcumine', 'E160a - Carotènes mélangés', 'E171 - Oxyde de titane']",,Chewing gums sans sucres avec édulcorants,,,
248,Melon charentais - Florette,3280222212185,,,['Florette'],,,,"['EMB 50287', 'Mancellière-sur-Vire (Manche, France)']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
249,Brebis au piment d’espelette -,2247187017973,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,['France'],"['LAIT pasteurisé de brebis', 'présure 0', ""2 % piment d'espelette"", 'sel', 'ferments lactiques']",['Non végétalien'],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,['Lait'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
250,Aceite de oliva extra extra virgen - 250ml,8410660050345,250 ml,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
251,Yaourt à boire tropical collection,3412290008104,,,,,,,,,['France'],[],[],,,,,,,,,,?,,76,,318 kj(76 kcal),,"1,3",,"0,9",,13,,13,,"3,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
252,Boudoirs d 'Alsace,3018940000117,,,,,,,,,['France'],[],[],,,,,,,,,,?,,357,,1494 kj(357 kcal),,"3,1",,"0,7",,73,,39,,"9,2",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,
253,8710622517016,8710622517016,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
254,4 decors Pirates - Sainte Lucie - 29g,3162050019795,29 g,,['Sainte Lucie'],,,,,,['France'],[],[],,,,,,,,,,?,,415,,1736 kj(415 kcal),,"5,5",,"2,6",,90,,89,,"0,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
255,SUD DE FRANCE - 760g,3547350008456,760 g,['Bocal'],['SUD DE FRANCE'],"['Plats préparés', 'Soupes', 'Soupes froides']",,['non précisé'],"['EMB 11255A', 'Montredon-des-Corbières (Aude, France)', 'FR 11.255.005 CE', 'Montredon-des-Corbières (Aude, France)', '11 255 A']",,['France'],"['Eau', 'poissons frais pêchés en Méditerranée ', '25%', ' ', 'grondin', ' capelan', 'pageot', 'mulet', 'rascasse', 'vive', 'rouget', 'concentré de tomate', 'vin blanc', 'carottes', 'oignons', 'amidon modifié de mais', 'sel', 'poireaux', ""huile d'olive vierge extra"", 'épaississant : gomme de xanthane', ""pulpe d'ail* persil"", 'cognac', 'pastis', 'poivre', 'laurier', 'fenouil', 'girofle', 'thym', 'safran', ' *Contient des sulfites']","['Non végétalien', 'Non végétarien']",4,0.6 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,0.84 g,en quantité modérée,?,,31,-28%,130 kj(31 kcal),-29%,"0,6",-76%,"0,6",+44%,4,+14%,"0,5",-80%,"4,3",+424%,"0,84",+25%,"0,336",+25%,1,-17%,B,-17%,,"['Poisson', 'Anhydride sulfureux et sulfites']",,,,,,,,['Poissons Méditerranée autres ingrédients non précisé'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",,,,,
256,Abricots - 1kg,3760112618513,1 kg,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
257,Saucisses à l ancienne coupées au couteau,2654209028808,,,,,"['Sans colorants', 'Sans conservateurs']",,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
258,Chipster,0193052001832,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
259,POULET RÔTI Sauce Barbecue - Sodebo - 270g,3242272923671,270 g,,['Sodebo'],"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']","['Nutriscore', 'Nutriscore A']",,,,['France'],[],[],,5.3 g,en quantité modérée,0.7 g,en faible quantité,6.6 g,en quantité modérée,0.88 g,en quantité modérée,?,,209,-6%,874 kj(209 kcal),-7%,"5,3",-37%,"0,7",-52%,30,+17%,"6,6",+101%,"8,6",-15%,"0,88",-27%,"0,352",-27%,1,-63%,B,-63%,C,,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,Sandwich au poulet et sauce barbecue,,,
260,Buttermilk pancake shaker - Woolworths,9339687029174,,,['Woolworths'],,['Fabriqué en Australie'],,,['Woolworths'],"['Australie', 'France']",[],[],,,,,,,,,,?,,216,,904 kj(216 kcal),,"2,2",,1,,"43,4",,"15,6",,"4,4",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,
261,Muffin fourre choco noisette,0241367026245,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
262,Chewing-gum - Wrigley's,4009900520768,,,"[""Wrigley's""]",,,,,,['France'],[],[],,,,,,,,,,?,,150,,628 kj(150 kcal),,0,,0,,"62,6",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
263,Super U - 1.15,2819666013914,1.15,,['Super U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,
264,McVitie's Dark Chocolate,5000168208503,,,"[""McVitie's"", 'United Biscuits']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,['France'],[],[],,24.2 g,en quantité élevée,12.8 g,en quantité élevée,27.6 g,en quantité élevée,0.88 g,en quantité modérée,?,,495,+4%,2071 kj(495 kcal),+4%,"24,2",+16%,"12,8",+27%,"60,8",-5%,"27,6",-6%,6,-8%,"0,88",+49%,"0,352",+49%,25,+26%,E,+26%,C,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
265,Chips à la Crevette,9000003148014,,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de manioc', 'Chips de manioc à la crevette']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,65.0%,16.6%,5.2%,10.9%,2.4%,0.0%,61,,,,,,,
266,Cube de brebis nature -  - 100g,3760228211356,100g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",,,,,['France'],[],[],,29.8 g,en quantité élevée,21.1 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,342,-6%,1431 kj(342 kcal),-5%,"29,8",-3%,"21,1",+1%,1,+11%,"0,5",+84%,"17,4",-13%,"1,1",-55%,"0,44",-55%,13,-25%,D,-25%,D,,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,
267,Snacks souffles de pois casses,3770008905207,,,,,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,11,,"1,6",,"54,9",,"1,7",,"14,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
268,Starcrock crakkers,8057094341177,,,,,,,,,['France'],[],[],,,,,,,,,,?,,343,,1435 kj(343 kcal),,14,,"1,6",,46,,"0,5",,7,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
269,Daim Mini Eis Am Stiel,4007993023555,,"['Stück', 'Stück']",['Daim'],,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,22,,15,,36,,34,,"2,7",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,
270,450g,1292196834050,450 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
271,Les caves du seil mediterranée,3198129884292,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
272,Sour stripes - Maoam,4001686524145,,,['Maoam'],,,,,,['France'],[],[],,,,,,,,,,?,,50,,209 kj(50 kcal),,"6,4",,"3,2",,84,,60,,1,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,
273,Spaghetti Bio - Fibritti - 200g,3770011460090,200g,['carton et sachet plastique'],['Fibritti'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['Bio'],['Chine'],,['Kazidomi'],"['Belgique', 'France']",['Farine biologique de haricots de soja blanceau'],[],,6.8 g,en quantité modérée,1.3 g,en faible quantité,10.7 g,en quantité modérée,0.01 g,en faible quantité,?,,352,-1%,1473 kj(352 kcal),-2%,"6,8",+240%,"1,3",+193%,21,-70%,"10,7",+243%,"41,6",+233%,"0,01",-64%,"0,004",-64%,2,,B,,C,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Non Union Européenne'],,,,,,
274,Tout Naturellement 2018 Domaine Py Sans So2 Ajoute,3760112790332,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
275,Mélange de crudités - Florette - 100g,3280223010186,100 g,,['Florette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Salades', 'Aliments à base de plantes frais', 'Légumes frais', 'Mélanges de légumes frais']","['Sans conservateurs', 'Nutriscore', 'Nutriscore A']",,,,['France'],"['80g de Crudités: Chou blanc', 'radis', 'carotte', ' 20g de Vinaigrette allégée en matières grasses** au vinaigre balsamique: Huile de colza', 'vinaigre balsamique 30% ', 'vinaigre de vin', 'mout de raisins', 'eau', ""huile d'olive vierge extra"", 'moutarde ', 'eau', 'graines de moutorde', 'vinaigre', 'sel', 'sel poivre noir', '%exprimé sur la vinaigrette']",[],3,9.9 g,en quantité modérée,0.9 g,en faible quantité,3.8 g,en faible quantité,0.42 g,en quantité modérée,?,,113,+98%,473 kj(113 kcal),+167%,"9,9",+753%,"0,9",+459%,"4,2",-20%,"3,8",+42%,"0,7",-55%,"0,42",+17%,"0,168",+17%,-5,,A,,,['Moutarde'],,,,,,,,,,,,,,
276,Mimolette jeune - €co+,2860132011484,,,['€co+'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes']",,,,,['France'],[],[],,24 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,?,,320,-0%,1339 kj(320 kcal),-0%,24,-0%,16,-2%,"0,5",+56%,"0,5",+59%,26,+1%,"2,6",+2%,"1,04",+2%,18,-2%,D,-2%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
277,Mini cookies - 200g,3760202510697,200 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,491,,2054 kj(491 kcal),,"26,3",,"16,2",,"53,1",,"21,2",,"8,2",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,
278,Blocks energy,7222520835716,,,,,,,,,['France'],[],[],,,,,,,,,,?,,384,,1607 kj(384 kcal),,0,,0,,96,,48,,0,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,
279,12 crêpes la fine de froment,3591660000136,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
280,Parmigiano reggiano D.O.P - Italiamo - 100g,35274667,100g,,['Italiamo'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,,['France'],[],[],,29.7 g,en quantité élevée,,,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,"29,7",0%,,,0,-100%,0,,"32,4",+1%,"1,6",0%,"0,64",0%,,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
281,Roti de saumon farci aux saint-jacques,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,193,,808 kj(193 kcal),,"12,3",,"3,9",,"5,3",,2,,"14,4",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,
282,Courgettes a la provencale,3267615500098,,,,,['Bio'],,,,['France'],[],[],,,,,,,,,,?,,66,,276 kj(66 kcal),,"3,9",,"0,4",,"5,9",,"4,9",,"1,2",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
283,Jimini's Granola / Apple & Cinnamon,3760274100086,,,"[""Jimini's""]",,,,,,['France'],[],[],,,,,,,,,,?,,453,,1895 kj(453 kcal),,"2,6",,"2,6",,"22,2",,"22,2",,"13,7",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,
284,Roasted Vegetable CousCous - 100g,5050665015845,100 g,"['Packet', 'packet']",,,,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,,?,,135,,565 kj(135 kcal),,"1,1",,"0,3",,"25,7",,"2,4",,"4,8",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
285,5010251544043,5010251544043,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
286,Olive Verdi Bella di Cerignola -,8017596061904,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']",,,,,['France'],"['olive', 'acqua', 'sale', 'correttore di acidità: acido citrico', 'antiossidante: acido ascorbico', ' Può contenere tracce di anidride solforosa e sedano']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,13.8 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,2.6 g,en quantité élevée,?,,141,-14%,590 kj(141 kcal),-13%,"13,8",-14%,"2,5",-4%,"1,6",+5%,0,-100%,"1,2",-7%,"2,6",-24%,"1,04",-24%,13,+8%,D,+8%,B,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,Olive verdi Bella di Cerignola in salamoia.,,,
287,Frucht Bar,4260133238176,,,,['es:Juice'],['Sans sucre ajouté'],,,,"['France', 'Espagne']",[],[],,0.5 g,en faible quantité,0.2 g,en faible quantité,9.1 g,en quantité modérée,0.01 g,en faible quantité,?,,51,,213 kj(51 kcal),,"0,5",,"0,2",,"9,9",,"9,1",,"0,5",,"0,01",,"0,004",,2,,B,,,,,,,,,,,,,,,,,
288,IDEES DE MAMAN 2x200g Pommes de terre Artichauts Dinde des Pays de la Loire Dès 12 mois - Blédina - 400g,3041091425065,400 g,,"['Blédina', 'Les idees de maman']",,,,,,['France'],"[""De l'eau de cuisson - des pommes de terre 21,4 % - de goûteux artichauts 20,0 % - de la viande de dinde 8,00 % - des petits pois - des carottes - des épinards - de l'amidon de maïs - du céleri "", 'CELERI', "" - un filet d'huiles végétales "", 'colza', 'tournesol', ' - un brin de persil - du sel']","['Non végétalien', 'Non végétarien']",,,,,,,,,,263,,63,,263 kj(63 kcal),,"2,1",,"0,3",,7,,"0,8",,"2,9",,"0,19",,"0,076",,,,,,,['Céleri'],,,,,,,,,,,Plat à base de légumes et de viande adapté à bébé.,,,
289,Campbells Condensed Cream Of Mushroom Soup,0063211197532,,['Can'],['Campbells'],"['Plats préparés', 'Soupes']",,,,,"['France', 'Royaume-Uni']",[],[],,3 g,en quantité modérée,0.4 g,en faible quantité,0.6 g,en faible quantité,1.7 g,en quantité élevée,?,,42,-26%,176 kj(42 kcal),-26%,3,+55%,"0,4",-34%,"8,6",+50%,"0,6",-65%,"2,1",-5%,"1,7",+97%,"0,68",+97%,6,+266%,C,+266%,,,,,,,,,,,,,,,,
290,Nutkao Snack 52g - 2g,8008245001167,2 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
291,Red Lentils - Asda - 500g,5054070638149,500 g,"['Tins', 'Packet', 'packet(s)']",['Asda'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles rouges']",,,,,"['France', 'Royaume-Uni']",['Red lentils'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.8 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.05 g,en faible quantité,?,,92,-72%,385 kj(92 kcal),-72%,"0,8",-49%,"0,2",-19%,8,-83%,"0,5",-70%,"8,2",-66%,"0,05",+53%,"0,02",+53%,-9,,A,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,
292,Mixed salad beans in water - Morrisons - 400g,5010251958154,400 g,['Can'],['Morrisons'],,"['Végétarien', 'Végétalien']",,,,"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
293,Harina fina de maíz - Maizena,8410127010141,,,['Maizena'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",,,,,"['France', 'Espagne']",[],[],,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,350,+1%,1464 kj(350 kcal),+1%,"0,1",-94%,0,-100%,"86,5",+24%,0,-100%,"0,4",-96%,0,-100%,0,-100%,4,,C,,,,,,,,,,,,,,,,,
294,Haricots rouges  Freshona - freshona lidl - 410g ou 255g,5054070637067,410 g ou 255g,"['can(s)', 'Conserve']",['freshona lidl'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",,,,['lidl ingwiller'],"['France', 'Royaume-Uni']","['haricots rouges\reau\rsucre\rsel\ramidon modifié ', 'maïs', '\rantioxydant: acide ascorbique']",[],,1 g,en faible quantité,0.1 g,en faible quantité,3 g,en faible quantité,1 g,en quantité modérée,465,-28%,111,-29%,465 kj(111 kcal),-30%,1,+19%,"0,1",-28%,"12,6",-41%,3,+108%,"8,4",-26%,1,+153%,"0,4",+153%,-5,,A,,B,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,Haricots rouges,,,
295,Burger Sensation- Feuilletés - Jacquet,3029330070641,,,['Jacquet'],,,,,,['France'],[],[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,15,,"6,9",,48,,"7,2",,"7,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,
296,Spaghetti - Coop - 500g,5000128735094,500 g,['Packet'],['Coop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,,,"['France', 'Royaume-Uni']",[],[],,1.3 g,en faible quantité,0.3 g,en faible quantité,3.2 g,en faible quantité,0.03 g,en faible quantité,?,,354,+1%,1481 kj(354 kcal),+0%,"1,3",-26%,"0,3",-19%,73,+6%,"3,2",+8%,11,-7%,"0,03",+24%,"0,012",+24%,-3,,A,,,,,,,,,,,,,,,,,
297,Encostas Do Bairro - 10l,5601971220760,10 l,['Cubitainer'],['Encostas Do Bairro'],"['Boissons', 'Boissons alcoolisées', 'Vins']",,['Portugal'],,['DOM Pito'],['France'],['raisin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Portugal'],,,,,,
298,Tuna chunks in brine,5010251786573,,['Can'],,,,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
