,name,bar_code,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,additives,link,generic_name,producer_info,brand_owner,palm_ingredients
1222,Thé Coquelicot - Quai Sud,3760057476100,,,['Quai Sud'],,,,,,['France'],[],[],,,,,,,,,,?,,10,,42 kj(10 kcal),,"0,2",,0,,0,,0,,"0,1",,"0,005",,"0,002",,,,,,,,,,,,,,,,,,,,,
1223,Pagnottelle Integrali - Barilla,8076809576611,,,['Barilla'],,,,,,['France'],[],[],,,,,,,,,,?,,280,,1172 kj(280 kcal),,"5,8",,"1,5",,"42,2",,5,,"11,5",,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,,
1224,poule mitonné légumes oubliés en gelée,3234510030043,,,,,,,,,['France'],[],[],,,,,,,,,,?,,62,,259 kj(62 kcal),,"1,2",,"0,3",,"6,2",,"1,2",,"6,5",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
1225,"Fine Crème De Pamplemousse, 500ml",3560070575664,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1226,9246430722681,9246430722681,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Yellow pop corn - American pop corn company - 100g,0028190009177,100g,,['American pop corn company'],"['Snacks', 'Popcorn']",,,,,['France'],"['Yellow Pop Corn American Pop Con Company Sioux City', 'lowa USA 51102 2005 APCC Nutrition Facts Serving Size: 2 Tbsp', ' ', '33g', ' Unpopped', 'Makes 5 Cups Popped', ' Servings Per Bag: About 172 2 Tbsp', '33g', ' Unpopped 110 Calories from Fat 10 1 Cup Air Popped Amount/serving Calories 20 0 %DV* 2% 0% %DV* Total Fat 19 Sat', ' Fat Og Trans Fat Og Cholest', ' Omg Sodium Omg Total Carb', ' 26g 0g 0% 0% 0% 0% 9% Omg 0% Omg 0% 2% 5% Og <1g 5g 1g Dietary Fiber 7g 27% Sugars <1g Protein 4g Vitamin A Vitamin C Calcium Iron 2% 0% 0% 0% 0% 0% 0% 8% Percent Daily Values are based on a 2,000 calorie diet', ' Your daily values may be higher or lower depending on your caloric neds: 2,500 80g 25g 300mg 2,400mg 6759 30g 2,000 659 20g 300mg 2,400mg 300g 25g Calories: Less than Less than Less than Less than Total Fat Sat', ' Fat Cholesterol Sodium Total Carbohydrate Dietary Fiber']",[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,,
1228,"Salade pomme de terre aux œufs, tomate et persil -",3399130020833,,,,"['Plats préparés', 'Salades', 'Salades composées', 'Plats à base de pommes de terre', 'Salades de pommes de terre']","['Bio', 'Bio européen']",,,,['France'],[],[],,7.8 g,en quantité modérée,1.2 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en quantité modérée,?,,125,-17%,523 kj(125 kcal),-16%,"7,8",-26%,"1,2",+10%,9,+6%,"0,6",-32%,"3,5",-15%,"0,5",-50%,"0,2",-50%,2,-41%,B,-41%,C,,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,,,,,,
1229,Tagliatelles à la truffe,8011119014224,,,,,,,,,['France'],[],[],,,,,,,,,,?,,385,,1611 kj(385 kcal),,"4,5",,"1,4",,73,,"1,8",,"13,2",,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,,
1230,Gruyère Grand cru -,0299102020409,,,,,,,,,['France'],[],[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,32,,18,,0,,0,,28,,13,,"5,2",,,,,,,,,,,,,,,,,,,,,
1231,Poulet fermier élevé en liberté -,2449375064749,,,,,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
