,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
1588,Cayenne moulue,8413900040373,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,The agrumes,3760166261482,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,Noix de pécan,2600161038447,['France'],[],[],?,760,3180 kj(760 kcal),72,"6,2","13,9",4,"9,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,"Pesto : basilic, pignon de pain, parmesan",3265470056507,['France'],[],[],?,399,1669 kj(399 kcal),41,"4,6","2,8","0,5",4,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,Aceite de Olivia Virgen Extra,8424536938880,['France'],[],[],?,822,3439 kj(822 kcal),91,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Mélange Tibétain,3760149995243,['France'],[],[],?,312.8,1309 kj(312 kcal),"0,87","0,03","69,88","46,58","6,66","0,143","0,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Oeuf en chocolat au lait,8435477905800,['France'],[],[],?,561,2347 kj(561 kcal),"34,1","20,7","59,3","59,2","5,3","0,136","0,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,Salade mechouia douce,3760083882364,['France'],[],[],?,162.5,680 kj(162 kcal),"14,32","9,3","6,36",3,"1,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,Nut Butter,8340076620897,['France'],[],[],?,503,2105 kj(503 kcal),"26,3","6,9",56,"25,8","7,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Cottage cheese,5038382004595,['France'],[],[],?,144,602 kj(144 kcal),11,"6,85","2,9","2,3","8,44","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Mini œufs myrtilles et amandes,8000300404685,['France'],[],[],?,519,2171 kj(519 kcal),"29,8","17,3","52,2","48,9","4,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Pur Jus de Pomme a la Cannelle,3760018870657,['France'],[],[],?,34,142 kj(34 kcal),0,0,"8,4","4,2","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Truffes Fantaisie,3472710003195,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Kinder bueno mini,8000500180792,['France'],[],[],?,0,0 kj(0 kcal),"37,3","17,3","49,5","41,2","8,6","0,272","0,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
