,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,manufacturing,nova_score,palm_ingredients,allergens,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,markets,link,ingredients_origins
27,Creme glacee noix de coco,3373203546062,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,239,,1000 kj(239 kcal),,"12,6",,"8,8",,"27,4",,14,,4,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.020.090 CE', 'Briec (Finistère, France)']",,,
28,Beurre fermier demi sel - Ferme De Kerheu - 330g,3373203546345,"['Ferme De Kerheu', 'Artisanat Breton La Madeleine Geante']",['Matières grasses'],['Bio'],['France'],"['P QItaUŒb«te ARTISANAT Pents• • Qufsfrais', 'sucre', 'farine de blé', 'beurre concentré 21%', 'eau,sit0P agentlevant ', ""pyrophosphate et bicarbonate de rectifiés Par l'artisan""]",['Non végétalien'],80 g,en quantité élevée,50.1 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,?,,723,-10%,3025 kj(723 kcal),-10%,80,-10%,"50,1",+120%,0,-100%,0,-100%,1,+465%,2,+926%,"0,8",+926%,26,+130%,E,+130%,,330 g,,,4,,"['Gluten', 'Lait']",,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,
29,Glace,3373203546864,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,['France'],[],[],4.85 g,en quantité modérée,4.1 g,en quantité modérée,19 g,en quantité élevée,0 g,en faible quantité,?,,157,-33%,657 kj(157 kcal),-32%,"4,85",-59%,"4,1",-46%,"26,5",-5%,19,-19%,"1,8",-43%,0,-100%,0,-100%,8,-40%,C,-40%,,,,,,,,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,
30,Creme glacee vanille,3373203546901,,,,['France'],[],[],,,,,,,,,?,,224,,937 kj(224 kcal),,"8,7",,"5,2",,"27,4",,25,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sorbet citron,3373203546925,,,['Bio'],['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,0,,0,,"37,2",,"36,5",,"0,52",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sorbet mangue passion gingembre,3373203546949,,,,['France'],[],[],,,,,,,,,?,,215,,900 kj(215 kcal),,0,,0,,"35,5",,"21,6",,"10,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Creme glacee caramel beurre salé,3373207001116,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Bleu Blanc Cœur']",['France'],[],[],7.1 g,en quantité modérée,3.7 g,en quantité modérée,13.6 g,en quantité élevée,0.28 g,en faible quantité,?,,208,-5%,870 kj(208 kcal),-5%,"7,1",-35%,"3,7",-46%,"29,3",+12%,"13,6",-39%,"6,7",+101%,"0,28",+85%,"0,112",+85%,5,-60%,C,-60%,,,,,,,,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['FR 29.020.090 CE', 'Briec (Finistère, France)']",,,
34,Farine de Sarrasin - Au Moulin de la Fatigue - 1kg,3373440000020,['Au Moulin de la Fatigue'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",['Sans conservateurs'],['France'],['100 % blé noir'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,1 kg,['Sachet'],,,,,B,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,
35,Yaourt aux fruits Citron - La Ferme du Bout du Bosc - 2x 125g,3373570000198,['La Ferme du Bout du Bosc'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au citron']",,['France'],"['Yaourt', 'sucre 9%', 'fruit 4%', 'glucose fructose', 'épaississants ', 'E440iii', 'E407', 'E415', 'arômes naturels', 'conservateurs ', 'E330', 'E202', 'acide citrique', 'colorants ', 'E120', 'E160c']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,Yaourt sucré aux fruits,2 x 125 g,"['Frais', 'Carton', 'Plastique']",['Normandie'],4,,['Lait'],C,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E160c - Extrait de paprika']","['FR 76.594.003 CE', 'Saint-Jean-du-Cardonnay (Seine-Maritime, France)']",['Hyper U'],,
36,Le Yaourt au fruit - Mauron - 125g,3373831020019,['Mauron'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",,['France'],"['lait entier', 'fruit 12%', 'sucre 6%', 'lait en poudre 4%', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3.5 g,en quantité modérée,2.3 g,en quantité modérée,10 g,en quantité modérée,,,386,-5%,?,,386 kj(92 kcal),-7%,"3,5",+12%,"2,3",+16%,10,-25%,10,-19%,4,+10%,,,,,,,,,,125g,"['Frais', 'Pot']",,3,,['Lait'],C,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,
