,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
792,MI-CHO-CO - Carambar - 394g,3664346304238,,Bonbons de chocolat noir (Cacao : 64% minimum) fourrés au caramel.,394 g,,"['Carambar', 'Michoko']",,['Fabriqué en France'],,['France'],"['Caramel 74', '5% [sirop de glucose', 'LAIT écrémé concentré sucré', 'sucre', 'graisse de coprah', 'caramel ', 'sirop de glucose-fructose', 'sucre', 'émulsifiants ', 'E471', 'lécithine de tournesol', 'sel]', 'Chocolat noir 25', '5% [pâte de cacao', 'sucre', 'beurre de cacao', 'cacao maigre en poudre', 'beurre concentré ', 'de LAIT', 'arôme', 'émulsifiant ', 'lécithine de SOJA', ']', ' PEUT CONTENIR FRUITS À COQUE', 'BLÉ']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,1940,,465,,"21,5",,"61,5",,"3,7",,,,,,,,,"['Lait', 'Soja']",1940 kj(465 kcal),"16,5",48,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,
793,"100 % pur jus de clémentines - ANDROS - 1,5L",3608580938552,D,,"1,5 L","['bouteille plastique', 'Bouteille en plastique']",['ANDROS'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de clémentine']","['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,['France'],['jus de clémentines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,44,-6%,"0,1",-51%,10,-7%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,184 kj(44 kcal),0,10,0,0,0.1 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,-7%,-100%,-3%,-100%,-100%,4,-3%,C,-3%,['France'],['Casino'],,,,,,
794,Yaourt bio fruits rouge - Invitation à la Ferme - 4 * 125g,3770000451009,B,Yaourt sucré aux fruits rouges,4 * 125 g,"['Pot', 'Plastique', 'Carton', 'Réfrigéré']",['Invitation à la Ferme'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts multifruits']","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-09', 'FR-BIO-10', 'en:FSC', 'FSC Mix', 'AB Agriculture Biologique']",,['France'],"['Lait de nos vaches non homogénéisé', 'sucre de canne issu du commerce équitable* 8%', 'Fruits rouges* 6,5% ', 'myrtilles sauvages""', 'fraises""', 'framboises""', 'groseilles“', 'griottes""', 'lait écrémé en poudre""', 'agar-agar""', 'ferments lactiques ', 'lactobacillus bulgaricus', 'streptococcus thermophilus', "" *Ingrédients issus de l'Agriculture Biologique""]",['E406 - Agar-agar'],['Non végétalien'],4,405,+6%,97,+1%,"3,6",+30%,"12,5",-3%,"2,2",-38%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Lait'],405 kj(97 kcal),"2,3",12,"0,11","0,044",3.6 g,en quantité modérée,2.3 g,en quantité modérée,12 g,en quantité modérée,0.11 g,en faible quantité,+3%,+25%,-2%,-10%,-10%,4,+58%,C,+58%,['France'],['Super U'],,,"['FR 56.090.506 CE', 'Inzinzac-Lochrist (Morbihan, France)', 'FSC-C134452', 'FR 50.554.006 CE', 'Saint-Senier-sous-Avranches (Manche, France)']",,,
795,Donuts chocolat - Carrefour - 120g,3276550589938,B,,120 g,,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'en:Chocolate doughnuts']",,,"['France', 'Turquie']","['farine de blá', 'eau,oaufz', 'huile vágátala palm', 'margarine ', 'matière gracsa végétala partial', 'Lamant hydragané ', 'coprah', 'palm', 'colza', 'au', 'émulaifiant ', 'E471', 'colorant ', 'E160a', 'acide Lactique', 'arôme', 'aucre', 'Levure', 'ámulsifiants ', 'E471 E472a-E481', 'gluten', 'sel', 'poudre Levanta CE450-E500i', 'dextrose', 'etabilisant gomme guar ', 'E412', 'Lactosa', 'Lait', 'antioxydant CE300', 'colarant CE160', 'auxiliaire tachnolagiqu Canzymes', ' GLacaga ', '9%', ' : Sucre', 'matiare gracze vágétale partiellament hydragénée ', 'palm', 'cacao dégraiceé en poudre', 'émulsifiants ', 'E322 ', 'soja', '-E476-E492', 'arôme', ' Décoration ', '5%', ' sucre', 'beurre de cacao', 'Lait en poudre', 'pâte de cacao', 'ar ma']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160a - Carotènes mélangés', 'E270 - Acide lactique', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium', 'E412 - Gomme de guar', 'E322 - Lécithines', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,0,-100%,0,-100%,0,-100%,0,-100%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,"['Gluten', 'Lait', 'Soja']",0 kj(0 kcal),0,0,0,0,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,['Carrefour'],,,,,,
796,Chili Sauce,4009286151242,,,,,,,,,"['France', 'Allemagne']",[],,[],,?,,80,,0,,17,,"1,5",,,,,,,,,,335 kj(80 kcal),0,16,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,
797,Sauce vinaigrette au vinaigre balsamique - Carrefour,3560071163310,D,,,,['Carrefour'],"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,,['France'],[],,[],,?,,478,+32%,51,+39%,"5,2",+9%,0,-100%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,2000 kj(478 kcal),"5,6",0,"1,9","0,76",51 g,en quantité élevée,5.6 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,+33%,+49%,-100%,-1%,-1%,18,+21%,D,+21%,,['Carrefour'],,,"['EMB 87036', 'Champsac (Haute-Vienne, France)']",,,
798,Sage & onion - 170g,5000354909702,,,170 g,"['Bag', 'card-box']",,,,,"['Australie', 'France', 'Allemagne', 'Royaume-Uni']","['wheat flour ', 'with added storage ins store in a co per stuffing calcium', 'iron', 'niacin', 'thiamin', 'for rest refe 100g ball ', '45g']",,[],,?,,502,,"1,3",,"2,3",,"3,6",,,,,,,,,['Gluten'],2100 kj(502 kcal),"0,5","2,3","0,93","0,372",,,,,,,,,,,,,,,,,,,['Woolworths'],,,,,,
799,Bouillon de légumes - Knorr,8712566432110,,,,,['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons de légumes déshydratés']","['Peu ou pas de sel', 'Peu de sel', 'Allégé en sel', 'Sans conservateurs']",,['France'],[],,[],,?,,6,-96%,"0,5",-92%,"0,7",-96%,"0,5",-86%,,,,,,,,,25 kj(6 kcal),"0,2","0,5","0,58","0,232",,,,,,,,,-96%,-93%,-91%,-97%,-97%,,,,,,,,,,,,
800,Gratin de pommes de terre et poireaux au chèvre et lardons -  - 300g,3181580280109,B,"GRATIN DE POMMES DE TERRE, POIREAU, FROMAGE DE CHÈVRE ET POITRINE DE PORC FUMÉE CUITE TRAITÉE EN SALAISON CHOIX",300 g,"['Plastique', 'Bois', 'Film en plastique']",,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre']","['Viande-francaise', 'Viande-porcine-francaise', 'Préparé en France']",,['France'],"['Pomme de terre cuite 38%', 'eau', 'poireau 12%', 'FROMAGE de chèvre 8%', 'poitrine de porc fumée cuite traitée en salaison choix 4% ', 'poitrine de porc', 'eau', 'sel', 'sirop de glucose', 'dextrose', 'stabilisant : E451i', 'antioxydant : E316', 'conservateur : E250', 'CRÈME fraîche', 'LAIT écrémé en poudre', 'huile de colza', 'oignon', 'amidon modifié', 'farine de BLÉ', 'sel', 'gélatine de porc', 'poivre']","['E451i - TPP', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E428 - Gélatine']","['Non végétalien', 'Non végétarien']",4,?,,142,+8%,"7,4",+6%,12,+8%,"5,9",+40%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,"['Gluten', 'Lait']",594 kj(142 kcal),"3,3","3,4","1,1","0,44",7.4 g,en quantité modérée,3.3 g,en quantité modérée,3.4 g,en faible quantité,1.1 g,en quantité modérée,+10%,-19%,+117%,+52%,+52%,5,-2%,C,-2%,,,,,"['FR 22.389.003 CE', ""Yffiniac (Côtes-d'Armor, France)""]",,,
801,Feiny Biscuits digestive - 400g,9002859069048,C,,400 g,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,['France'],"['Open here Nahrwertangaben je', ' /']",,[],,?,,493,+4%,21,+1%,68,+6%,"6,4",-2%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,2063 kj(493 kcal),10,19,"1,6","0,64",21 g,en quantité élevée,10 g,en quantité élevée,19 g,en quantité élevée,1.6 g,en quantité élevée,+4%,-1%,-36%,+172%,+172%,26,+31%,E,+31%,,,,,,,,
802,Pepsi,6130743001249,,,,,['Pepsi'],,,,['France'],[],,[],,?,,41,,0,,11,,0,,,,,,,,,,172 kj(41 kcal),0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
803,2 tartelettes framboise - 220g,3187670019819,D,,220 g,,,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la framboise']",,,['France'],"['Framboises 37% - Sucre - Farine de blé 13% - Beurre - Beurre concentré - Sirop de sucre inverti - Eau - CEufs frais 4% - Amandes en poudre-Groseilles - Gélifiants : pectines', 'agar-agar - Amidon de mais-Sel - Poudres à lever: carbonates de sodium', 'diphosphates', "" Ce produit a pu être en contáct avec de l'arachide"", ""du soja et d'autres fruits à coque""]","['E440 - Pectines', 'E406 - Agar-agar', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,297,-17%,15,+15%,35,-36%,"3,4",-13%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",1243 kj(297 kcal),"9,8",23,"0,175","0,07",15 g,en quantité modérée,9.8 g,en quantité élevée,23 g,en quantité élevée,0.175 g,en faible quantité,-18%,+43%,-22%,-24%,-24%,17,+8%,D,+8%,,,,,,,,
804,Compote allégée pomme fraise 30% de sucres en moins - monoprix - 400g (4x100g),3350031812132,B,,400g (4x100g),,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes fraise']",,,['France'],"['Purée de pommes 74,2% - purée de fraises 20% - sucre 5,6% - jus concentré de cassis - anti oxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,60,-2%,0,-100%,14,+4%,0,-100%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,251 kj(60 kcal),0,14,0,0,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,-3%,-100%,+13%,-100%,-100%,-3,,A,,,"['Monoprix bd Auriol', 'Monoprix']",,,"['EMB 26252D', 'Portes-lès-Valence (Drôme, France)']",,,
805,Fine Drops - woogie - 200g,9002859090516,,,200 g,,['Woogie'],['ro:bomboane'],,,"['France', 'Roumanie']",[],,[],,?,,392,,0,,97,,0,,,,,,,,,,1640 kj(392 kcal),0,70,"0,01","0,004",0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0.01 g,en faible quantité,,,,,,14,,D,,,,,,,,,
806,Fondue de poireaux - Leaderprice,3263856743515,,,,['Etui en carton'],['Leaderprice'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale""]",,,['France'],[],,[],,?,,74,-55%,"5,3",-17%,"4,5",-71%,"0,9",-85%,,,,,,,,,310 kj(74 kcal),"3,4",3,"0,55","0,22",5.3 g,en quantité modérée,3.4 g,en quantité modérée,3 g,en faible quantité,0.55 g,en quantité modérée,-53%,+240%,+23%,-39%,-39%,5,+2028%,C,+2028%,,,,,,,,
807,4 Baguettes viennoises - La Boulangère,3760049795660,,,,,['La Boulangère'],,,,['France'],[],,[],,?,,334,,"9,6",,"48,9",,"10,8",,,,,,,,,,1397 kj(334 kcal),"1,8","8,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,
808,Pizza royale cuite au feu de bois - Nature Bio - 400g,3257985793169,C,,400 g,,['Nature Bio'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas royales']",['Bio'],,['France'],[],,[],,?,,191,-7%,"6,4",-6%,"23,2",-9%,"8,5",-11%,60.0%,15.9%,6.3%,5.5%,2.6%,9.8%,70,,799 kj(191 kcal),"2,6","4,2","1,09","0,436",6.4 g,en quantité modérée,2.6 g,en quantité modérée,4.2 g,en faible quantité,1.09 g,en quantité modérée,-7%,-14%,+37%,-11%,-11%,3,-33%,C,-33%,,,,,,,,
809,Moutarde douce au curcuma bio - 200g,3077311301093,B,,200 g,['Verre'],,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,['France'],[],,[],,?,,135,-21%,7,-35%,"8,2",+19%,"5,7",-13%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,565 kj(135 kcal),"0,5","6,8","4,9","1,96",7 g,en quantité modérée,0.5 g,en faible quantité,6.8 g,en quantité modérée,4.9 g,en quantité élevée,-20%,-39%,+76%,+4%,+4%,12,+3%,D,+3%,,,,,,,,
810,Yogurt Bifidus Mango - Auchan,8436537300177,B,,,,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aromatisés', 'Yaourts aux fruits', 'Yaourts au bifidus aromatisés', 'Yaourts à la mangue']",,,"['France', 'Espagne']",[],,[],,?,,93,-9%,"2,8",-8%,12,-10%,"3,8",+2%,56.7%,18.0%,11.6%,7.6%,4.8%,1.3%,91,,389 kj(93 kcal),"1,8",12,"0,15","0,06",2.8 g,en faible quantité,1.8 g,en quantité modérée,12 g,en quantité modérée,0.15 g,en faible quantité,-6%,-9%,-2%,+40%,+40%,2,-30%,B,-30%,,['Auchan'],,,,,,
811,Tafel meerrettich - Gut & Günstig - g,4311501611968,,,g,['Glas'],['Gut & Günstig'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Raifort râpé']",,,"['France', 'Allemagne']",[],,[],,?,,162,-6%,12,-3%,"9,1",-24%,"1,6",-31%,,,,,,,,,678 kj(162 kcal),"0,9","6,7","0,27","0,108",12 g,en quantité modérée,0.9 g,en faible quantité,6.7 g,en quantité modérée,0.27 g,en faible quantité,-8%,-36%,+18%,-75%,-75%,4,-28%,C,-28%,,,,,,,,
812,Confiture d'automne - Favols,3283875212601,,,,"['Pot', 'Bocal en verre', 'Capsule en métal']",['Favols'],,['Fabriqué en France'],,['France'],[],,[],,?,,233,,"1,1",,"54,7",,"0,6",,,,,,,,,,975 kj(233 kcal),"0,1","53,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
813,Bleu d'Auvergne,3023260031598,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', ""Bleus d'Auvergne""]",,,['France'],[],,[],,?,,350,+1%,30,+5%,0,-100%,20,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,1464 kj(350 kcal),"21,3",0,"2,8","1,12",30 g,en quantité élevée,21.3 g,en quantité élevée,0 g,en faible quantité,2.8 g,en quantité élevée,+2%,+6%,-100%,+4%,+4%,19,0%,E,0%,,,,,,,,
814,Arome naturel de framboise - Sainte Lucie,3162050013069,,,,,['Sainte Lucie'],,,,['France'],"['Arôme naturel de framboise', 'eau', ' Teneur en alcool: 30%', ' Arôme naturel de framboise Conseil gourmand : Aromatisez vos panacottas', 'cales muffins', 'macarons', 'mousses et gâteaux', ' ment du mélange', "" Soluble dans l'eau"", ' Ne pas ingérer en létat', ' Saice dlué', ' Dosage : 4 c', ' à café pour 1kg /İL de préparation', ' Consewation: Conserver à T° ambiante', 'au sec et à labri de le ere']",,[],4,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Haricots verts - Auchan BIO - 330g,3596710469383,A,Haricots vert très fins coupés biologiques,330 g,"['Bocal en verre', 'Bocal en verre', 'Couvercle en métal']",['Auchan BIO'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'NL-BIO-01', 'Nutriscore', 'Nutriscore A']",,['France'],"['Haricots trés fins coupés*', 'eau', 'sel', ""*Ingrédients issus de l'agriculture biologique""]",,[],3,?,,23,-4%,"< 0,5",+99%,"2,1",-21%,"1,5",+1%,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,96 kj(23 kcal),"0,2","< 0,5","0,55","0,22",0.5 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.55 g,en quantité modérée,-3%,+267%,-35%,-18%,-18%,-5,,A,,['Pays bas'],['Auchan'],,,,,,
816,Baguette - Leclerc,1900000020161,B,,,,['Leclerc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,['France'],[],,[],,?,,262,+2%,"11,7",+400%,"26,7",-45%,"11,3",+37%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,1096 kj(262 kcal),6,3,"0,4","0,16",11.7 g,en quantité modérée,6 g,en quantité élevée,3 g,en faible quantité,0.4 g,en quantité modérée,+1%,+1236%,+33%,-67%,-67%,4,+31%,C,+31%,,,,,,,,
817,Milchreis Classic,42299264,,,,,,,,,['France'],[],,[],,?,,117,,"2,9",,"19,1",,"3,5",,,,,,,,,,490 kj(117 kcal),"1,9",10,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,
818,Tiras de jamón (gras de porc) - Aldi - 90g,24045513,,,90 g,['Tarro'],['Aldi'],"['Snacks', 'Snacks salés', 'Apéritif']",,,"['France', 'Espagne']","['Cortezas de jamón curado de cerdo fritas en su propia grasa', 'sal', 'extractos naturales de plantas']",,[],,2386,+21%,644,+38%,47,+95%,"0,5",-99%,55,+620%,,,,,,,,,2386 kj(644 kcal),16,0,"2,3","0,92",47 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,+22%,+290%,-100%,+47%,+47%,27,+113%,E,+113%,,['ALDI'],,['Espagne'],,,,
819,Edel-Salami - Wiltmann - 80g,4001956211317,D,,80 g,['stück'],['Wiltmann'],"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis']",,,"['France', 'Allemagne']",[],,[],,?,,318,-18%,24,-27%,1,-35%,24,+18%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,1331 kj(318 kcal),10,1,"3,8","1,52",24 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,3.8 g,en quantité élevée,-18%,-23%,+33%,+0%,+0%,22,-7%,E,-7%,,,,,,,,
820,"Acao Pink Grapefruit - 0,25litre",4260339810299,,,"0,25 litre",,['ACAO'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-006']",,['France'],[],,"['Végétalien', 'Végétarien']",,?,,19,,0,,"4,2",,0,,,,,,,,,,79 kj(19 kcal),0,"4,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
821,Milk Choc Bubbly Mousse 4 x (236g) - Nestlé,3023290624012,C,Milk chocolate mousse,236g,"['06 PS', 'ps-pot', 'card-sleeve']","['Nestlé', 'Swan']","['Desserts', 'Desserts au chocolat', 'Mousses au chocolat', 'Mousses au chocolat au lait rayon frais']","['Sans arômes artificiels', 'Sans conservateur artificiel', 'Contient du lait', 'Sans colorants artificiels', 'Sans colorants ni arômes artificiels']",,"['France', 'Royaume-Uni']","['milk ', 'sugar', ' milk  chocolate 6,5% ', 'sugar', ' milk  powder', 'cocoa butter', 'cocoa mass', 'whey powder ', 'from  milk ', 'emulsifier ', 'sunflower lecithin', 'flavouring', 'cocoa powder', 'caramel ', 'sugar', 'water', 'glucose syrup', 'skimmed  milk  powder', 'beef gelatine', 'emulsifier ', 'lactic acid esters of mono and di glycerides of fatty acids', 'reduced fat cocoa powder', 'gelling agents ', 'carrageenan', 'sodium alginate', ',']","['E322i - Lécithine', 'E428 - Gélatine', 'E570 - Acide stéarique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,668,-36%,159,-42%,"5,1",-69%,"23,1",+5%,5,-15%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,['Lait'],668 kj(159 kcal),3,"21,6","0,2","0,08",5.1 g,en quantité modérée,3 g,en quantité modérée,21.6 g,en quantité élevée,0.2 g,en faible quantité,-41%,-70%,+9%,-9%,-9%,4,-70%,C,-70%,,['Tesco'],,['France'],"['FR 44.212.001 CE', 'Vallet (Loire-Atlantique, France)']",,,
822,La meule fruitée râpée - Carrefour - 150g,3560071094461,,,150 g,"['Sachet', 'Plastique']",['Carrefour'],,['Fabriqué en France'],,['France'],[],,[],,?,,413,,33,,"1,8",,27,,,,,,,,,,1728 kj(413 kcal),22,0,1,"0,4",,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
823,CM Le Petit Zinc Jambon Emmental,3323790132568,D,,,,,"['Sandwichs', 'Croque-monsieur']",,,['France'],[],,[],,?,,226,-5%,"8,3",-21%,25,-0%,12,+10%,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,,946 kj(226 kcal),"3,3","4,8","1,4","0,56",8.3 g,en quantité modérée,3.3 g,en quantité modérée,4.8 g,en faible quantité,1.4 g,en quantité modérée,-6%,-37%,+56%,-5%,-5%,12,-4%,D,-4%,,,,,,,,
824,Brazil Café dosettes - Café Royal - x 36,7617014186946,E,,x 36,"['Emballage papier glacé', 'Dosette en papier recyclé', 'Dosette en papier à composte', 'Film en plastique']",['Café Royal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Café Arabica', 'Cafés moulus', 'Café Arabica moulu', 'Cafe-100-arabica', 'Café dosettes']","['Agriculture durable', 'en:UTZ Certified']",http://www.cafe-royal.com,['France'],"['Café torréfié', 'moulu', 'en dosette', ' 100% Arabica du Brésil', ' Conditionné sous atmo - sphère protectrice', ' Conserver au frais', ""au sec et à l'abri de la lumière"", "" Bien refermer après l'ouverture""]",,[],,?,,?,,?,,?,,?,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,['Brésil'],,,,
825,Mozzarella Minis Leicht - 250g,4061458018609,D,,250 g,"['käse', 'käse', 'product']",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']","['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture""]",,"['France', 'Allemagne']","['Pasteurisierte Milch', 'Speisesalz', 'Milchsäurebakterien', 'mikrobieller Labaustauschstoff', 'Säuerungsmittel: Citronensäure']",['E330 - Acide citrique'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,,167,-36%,"8,5",-59%,1,-3%,20,+19%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,699 kj(167 kcal),6,1,"0,6","0,24",8.5 g,en quantité modérée,6 g,en quantité élevée,1 g,en faible quantité,0.6 g,en quantité modérée,-35%,-57%,+33%,-11%,-11%,4,-61%,C,-61%,,,,,['DE BY-30910 EG'],,,
826,Lungo Doux - Carrefour - 57g,3560070824489,,Capsules de café moulu pur Arabica.,57 g,,['Carrefour'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",['Fabriqué en France'],,['France'],['100 % café moulu Arabica'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,"['EMB 59368F', 'Madeleine (Nord, France)']",Torréfié et conditionné par EMB59368F pour Interdis.,Voir F22,
827,Organic Crema de Cacahuete Crunchy -,8432430105505,C,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,,"['France', 'Espagne']",[],,[],,?,,589,-2%,"48,9",+2%,"7,6",-47%,"25,6",+4%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,2464 kj(589 kcal),"6,2","4,7","0,72","0,288",48.9 g,en quantité élevée,6.2 g,en quantité élevée,4.7 g,en faible quantité,0.72 g,en quantité modérée,-1%,-25%,-26%,+35%,+35%,17,+55%,D,+55%,,,,,,,,
