,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,ingredients_origins,additives,manufacturing,generic_name,link,palm_ingredients
767,Pain au chocolat tournesol,3015678009009,D,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,['France'],[],,[],,27 g,en quantité élevée,13 g,en quantité élevée,12 g,en quantité modérée,1.3 g,en quantité modérée,?,,477,+20%,1996 kj(477 kcal),+20%,27,+23%,13,-2%,47,+11%,12,0%,"9,9",+38%,"1,3",+44%,"0,52",+44%,22,+12%,E,+12%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,
768,Pain,3015678017004,,,,,,['France'],[],,[],,,,,,,,,,?,,421,,1761 kj(421 kcal),,"2,4",,"1,2",,82,,"2,3",,15,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,
769,galette frangipane - E.Leclerc,3015678200925,D,['E.Leclerc'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,['France'],"['galette creme d arnarldes ', 'Pâte ', '54%', ' ', 'farine ', 'BLÉ', ' beurre ', ' ', '33%', ' Garniture ', '45%', ' ', 'beurre ', 'LAT', ' ', '255%', ' poudre dlA/lANDE3 blanchies ', '25 5010', '} sucra C', 'ELJFJ eau', 'rhulTJ arôme naturel de vanille', ' Dorure ', '1 ', 'CJEF', ' Produit dans une usine qui utilise dlautres fruits à coque et du sol embalie par centre e leclerr la fieche contient une feve en portelaine ne convient pas aux enfants de rrlùins de 36 mois']","['Gluten', 'Lait']",['Non végétalien'],,32 g,en quantité élevée,17 g,en quantité élevée,11 g,en quantité modérée,0.57 g,en quantité modérée,?,,444,+5%,1858 kj(444 kcal),+6%,32,+21%,17,+15%,31,-20%,11,-15%,"7,1",+12%,"0,57",-18%,"0,228",-18%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,
770,Briochettes -,3015678201809,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Briochettes']",,,['France'],[],,[],,14 g,en quantité modérée,7.7 g,en quantité élevée,1.4 g,en faible quantité,1.2 g,en quantité modérée,?,,331,-6%,1385 kj(331 kcal),-7%,14,+7%,"7,7",+39%,39,-22%,"1,4",-90%,11,+38%,"1,2",+28%,"0,48",+28%,16,+10%,D,+10%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,
771,Moutarde aux salicorne,3015988877152,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,
772,Comtes de champagne Blanc de Blancs 2002 - Taittinger - 750mL,3016570001412,C,['Taittinger'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins effervescents', 'Vins blancs', 'Champagnes', 'Champagnes français', 'Champagnes blancs de blancs', 'Champagnes bruts']","['Point Vert', 'Déconseillé aux femmes enceintes']",,"['France', 'Royaume-Uni']","['Champagne ', 'contient sulfites']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,750 mL,"['Bouteille', 'Verre', 'boîte', 'Bois']",['France'],,"['Reims', 'France', 'Marne', 'Grand Est']",Champagne Blanc de blancs,http://www.taittinger.com/#/fr/NosChampagnes/GalerieDesCuvees/ComtesDeChampagneBlancDeBlancs,
773,Jambon cuit superieur - Guyader,3016740107029,E,['Guyader'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Qualité supérieure', 'Label Rouge']",,['France'],"['Jambon', 'eau', 'sel', 'dextrose', 'conservateur : sel nitrité', 'antioxydant : erythorbate de sodium', 'arôme naturel', 'LACTOSE']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.5 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,?,,115,-13%,481 kj(115 kcal),-12%,"3,5",-27%,"1,3",-29%,"0,5",-25%,"0,5",-16%,21,-0%,2,+7%,"0,8",+7%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,,,
774,Terrine de joue de porc au cidre de Fouesnant - Guyader,3016740118568,,['Guyader'],['Terrines'],,,['France'],[],,[],,21 g,en quantité élevée,7.8 g,en quantité élevée,1.6 g,en faible quantité,1.4 g,en quantité modérée,?,,260,-14%,1088 kj(260 kcal),-13%,21,-18%,"7,8",-18%,"2,9",+34%,"1,6",+105%,15,+7%,"1,4",-8%,"0,56",-8%,16,-10%,D,-10%,,,,,,,,,,,,,,,,
775,Confit forestier - Auchan,3016740374162,,['Auchan'],,['Fabriqué en France'],['Auchan'],['France'],"['La sélection de notre charcutier CONFIT FORESTIER In', 'ridignts :Foig porc', ' gras de parc', ' gorge dg pcrc', 'champignons réhydratés ', 'champignons noirs', 'bolets jaunes', 'cèpes', 'pleurotes', 'cougnng da porc', ' oignon', 'amidon de BLE', 'sel', 'crépine de parc', 'acidifiants E-325 ct E-252', 'LBCTOSE', 'poivre', 'sucre', 'épites', ' plantes aromatiques', ' France', "" d'CEUF"", 'CELERI', 'FRUITS toajJE Valgurs énergétiqug et']","['Céleri', 'Gluten']",[],,,,,,,,,,?,,331,,1385 kj(331 kcal),,29,,10,,"2,8",,1,,16,,"2,1",,"0,84",,,,,,,,,,,,,"['FR 22.272.028 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",,,,['E325 - Lactate de sodium'],,,,
776,Crème De Foie Superieure - Simply Market,3016740374322,,['Simply Market'],,,,['France'],[],,[],,,,,,,,,,?,,332,,1389 kj(332 kcal),,?,,12,,?,,"2,6",,11,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
