,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,additives,allergens,labels,manufacturing,ingredients_origins,generic_name,origin_detail,producer_info,palm_ingredients,link
1136,Jus de pamplemousse - Sanofruit,3566140331055,D,['Sanofruit'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']",,['France'],[],[],,0.083 g,en faible quantité,0.044 g,en faible quantité,7.96 g,en quantité élevée,0.003 g,en faible quantité,?,,39,0%,163 kj(39 kcal),0%,"0,083",-60%,"0,044",+29%,"7,96",-9%,"7,96",-1%,0,-100%,"0,003",-65%,"0,001",-65%,2,+8%,C,+8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
1137,Peche nectar de provence,3566140331062,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']",,['France'],[],[],,0.14 g,en faible quantité,0.015 g,en faible quantité,13.3 g,en quantité élevée,0.007 g,en faible quantité,?,,57,+12%,238 kj(57 kcal),+10%,"0,14",-7%,"0,015",-46%,"13,61",+12%,"13,27",+16%,"0,45",+18%,"0,007",+0%,"0,003",+0%,17,+15%,E,+15%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
1138,Citronnade,3566140331116,,,"['Boissons', 'Citronnades']",,['France'],[],[],,0.052 g,en faible quantité,0.007 g,en faible quantité,7.4 g,en quantité élevée,0.017 g,en faible quantité,?,,33,+3%,138 kj(33 kcal),+1%,"0,052",-32%,"0,007",-31%,"8,07",+1%,"7,4",-2%,"0,079",-38%,"0,017",+181%,"0,007",+181%,10,-1%,E,-1%,,,,,,,,,,,,,['Bio'],,,,,,,
1139,Poire nectar - Sanofruit,3566140331161,D,['Sanofruit'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",,['France'],[],[],,0.145 g,en faible quantité,0.038 g,en faible quantité,14.6 g,en quantité élevée,0.007 g,en faible quantité,?,,66,+22%,276 kj(66 kcal),+22%,"0,145",-26%,"0,038",+10%,"15,47",+20%,"14,58",+22%,"0,265",-6%,"0,007",-3%,"0,003",-3%,18,+18%,E,+18%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,['Bio'],,,,,,,
1140,Pur jus de citron - Les Vergers Du Rayol,3566140331246,C,['Les Vergers Du Rayol'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,['France'],"['Pur Jus de *Citron', "" *Ingrédients d'origine agricole issus de l'Agriculture Biologique"", ' Certifié FR-BIO-OI', ' Agriculture 33 cl']",[],,0.29 g,en faible quantité,0.038 g,en faible quantité,2.4 g,en faible quantité,0.021 g,en faible quantité,?,,29,+7%,121 kj(29 kcal),+8%,"0,29",+104%,"0,038",+195%,"6,1",+71%,"2,4",+45%,"0,4",+19%,"0,021",+134%,"0,008",+134%,-3,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1141,Nectar de mangue - Les Vergers du Rayol,3566140331277,C,['Les Vergers du Rayol'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",,['France'],[],[],,0.08 g,en faible quantité,0.02 g,en faible quantité,12.8 g,en quantité élevée,0.01 g,en faible quantité,?,,55,+6%,230 kj(55 kcal),+6%,"0,08",-55%,"0,02",-13%,"13,36",+8%,"12,8",+10%,"0,169",-37%,"0,01",-3%,"0,004",-3%,17,+9%,E,+9%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1142,Nectar de kiwi d'Ardèche - Le Mas de Vinobre - 75cl,3566140751013,C,['Le Mas de Vinobre'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de kiwi']",,['France'],[],[],,0.29 g,en faible quantité,0.03 g,en faible quantité,11.3 g,en quantité élevée,0.09 g,en faible quantité,?,,51,+2%,213 kj(51 kcal),+3%,"0,29",+25%,"0,03",+131%,"11,52",+5%,"11,35",+28%,"0,37",+30%,"0,09",+1147%,"0,036",+1147%,16,+21%,E,+21%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,75 cl,['Bouteille en verre'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Ardèche'],['Kiwi origine Ardèche'],,,,,
1143,Nectar D'abricots - Sanofruit,3566140751150,D,['Sanofruit'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",,['France'],[],[],,0.144 g,en faible quantité,0.012 g,en faible quantité,13.1 g,en quantité élevée,0.007 g,en faible quantité,?,,56,+6%,234 kj(56 kcal),+5%,"0,144",-25%,"0,012",-68%,"13,4",+8%,"13,11",+11%,"0,47",+26%,"0,007",-34%,"0,003",-34%,17,+12%,E,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,['Bio'],,,,,,,
1144,Nectar framboise groseille griotte,3566140751174,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",,['France'],[],[],,0.353 g,en faible quantité,0.047 g,en faible quantité,12.3 g,en quantité élevée,0.008 g,en faible quantité,?,,57,+16%,238 kj(57 kcal),+18%,"0,353",+97%,"0,047",+60%,"12,44",+9%,"12,32",+15%,"0,541",+71%,"0,008",-17%,"0,003",-17%,17,+25%,E,+25%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1145,Pur jus d'ananas - Le Mas de Vinobre - 75cl,3566140751259,D,['Le Mas de Vinobre'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",,['France'],[],[],,0.074 g,en faible quantité,0.031 g,en faible quantité,12 g,en quantité élevée,0.0052 g,en faible quantité,?,,52,+6%,218 kj(52 kcal),+6%,"0,074",-59%,"0,031",+5%,12,+3%,12,+7%,"0,41",+15%,"0,005",-23%,"0,002",-23%,6,+17%,D,+17%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,75 cl,,,,,['Bio'],,,,,,,
1146,Pamplemousse pur jus,3566141001056,,,,,['France'],[],[],,,,,,,,,,?,,39,,163 kj(39 kcal),,"0,083",,"0,044",,"7,96",,"7,96",,"0,49",,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1147,Citronnade Bio - Sanofruit - 100cl,3566141001094,,['Sanofruit'],"['Boissons', 'Boissons avec sucre ajouté', 'Citronnades']",,['France'],"['Eau 78%', 'jus de citron 15%', 'sucre de canne blond']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.052 g,en faible quantité,0.007 g,en faible quantité,7.4 g,en quantité élevée,0.017 g,en faible quantité,?,,33,+3%,138 kj(33 kcal),+1%,"0,052",-32%,"0,007",-31%,"8,07",+1%,"7,4",-2%,"0,079",-38%,"0,017",+181%,"0,007",+181%,10,-1%,E,-1%,,,,,,,,100 cl,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1148,Jus de citron,3566141001247,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,['France'],[],[],,0.29 g,en faible quantité,0.038 g,en faible quantité,2.4 g,en faible quantité,0.021 g,en faible quantité,?,,30,+11%,126 kj(30 kcal),+12%,"0,29",+104%,"0,038",+195%,"6,1",+71%,"2,4",+45%,"0,4",+19%,"0,021",+134%,"0,008",+134%,-3,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1149,Soupe de cresson - Les Vergers du Rayol,3566141050054,,['Les Vergers du Rayol'],"['Plats préparés', 'Soupes', 'Soupes de cresson']",,['France'],"['Eau', 'cresson', 'oignons', 'flocons de pommes de terre', 'bouillon de légume', 'sel', 'poivre']",['Sans huile de palme'],3,0.065 g,en faible quantité,0.01 g,en faible quantité,0.47 g,en faible quantité,0.167 g,en faible quantité,?,,10,-82%,42 kj(10 kcal),-82%,"0,065",-97%,"0,01",-98%,"2,07",-64%,"0,47",-73%,"0,452",-79%,"0,167",-81%,"0,067",-81%,0,-100%,B,-100%,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",,,,,,,
1150,Houmous - Sanofruit,3566141250010,B,['Sanofruit'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,['France'],"['poIs chiches 74%', 'purée de sésame', ""huile d'olive"", 'jus de citron', 'cumin', 'ail', 'poivre', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1151,Terrine vegetale,3566141250058,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']",,['France'],[],[],,4.1 g,en quantité modérée,0.6 g,en faible quantité,4.2 g,en faible quantité,1.1 g,en quantité modérée,?,,89,-64%,372 kj(89 kcal),-64%,"4,1",-29%,"0,6",-41%,"11,5",-74%,"4,2",-90%,"4,1",+223%,"1,1",+633%,"0,44",+633%,3,-68%,C,-68%,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1152,Terrine végétale châtaignes olives,3566141250072,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1153,Terrine végétale aubergine basilic,3566141250096,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']",,['France'],[],[],,8.5 g,en quantité modérée,1.4 g,en faible quantité,3.3 g,en faible quantité,0.7 g,en quantité modérée,?,,119,-52%,498 kj(119 kcal),-51%,"8,5",+48%,"1,4",+37%,"8,5",-81%,"3,3",-92%,"5,4",+325%,"0,7",+367%,"0,28",+367%,2,-79%,B,-79%,,,,,,,,,,,,,['Bio'],,,,,,,
1154,Coulis de tomate - Le Val des Lys - 370g,3566144400016,A,"['Le Val des Lys', 'Le Club Bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Coulis de tomates']",,['France'],[],[],,0.2 g,en faible quantité,0.1 g,en faible quantité,5.5 g,en quantité modérée,1.2 g,en quantité modérée,?,,41,+8%,172 kj(41 kcal),+12%,"0,2",-18%,"0,1",+194%,"8,5",+39%,"5,5",+8%,2,+26%,"1,2",+211%,"0,48",+211%,0,,B,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,370g,"['pot verre', 'couvercle métalique']",,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
1155,Flageolet,3566144400054,,,,,['France'],[],[],,,,,,,,,,?,,106,,444 kj(106 kcal),,"2,7",,"1,6",,"12,3",,"1,5",,"5,51",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1156,Sauce poivronade,3566144400085,,,,,['France'],[],[],,,,,,,,,,?,,33,,138 kj(33 kcal),,"0,3",,"0,1",,"6,5",,"4,7",,"1,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1157,Compote pomme chataigne,3566146600018,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes châtaigne']",,['France'],[],[],,0.656 g,en faible quantité,0.114 g,en faible quantité,14.6 g,en quantité élevée,0.09 g,en faible quantité,?,,101,-6%,423 kj(101 kcal),-7%,"0,656",+54%,"0,114",-5%,"22,2",-9%,"14,63",-28%,"0,738",+41%,"0,09",+298%,"0,036",+298%,-1,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1158,Pomme abricot,3566146600025,,,,,['France'],[],[],,,,,,,,,,?,,60,,251 kj(60 kcal),,"0,154",,"0,006",,"13,97",,"13,37",,"0,56",,"0,008",,"0,003",,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1159,Dessert Pomme framboise - Nescafé,3566146600032,,['Nescafé'],,,['France'],[],[],,,,,,,,,,?,,67,,280 kj(67 kcal),,"0,172",,"0,007",,"15,43",,"14,88",,"0,469",,"0,009",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1160,Marrons au naturel -  - 380g,3566149810063,,,['Marrons'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,380g,"['pot verre', 'couvercle métalique']",,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1161,Robin le lapin,3566300000005,,,,,['France'],[],[],,,,,,,,,,?,,548,,2293 kj(548 kcal),,"36,2",,"21,8",,"45,6",,"43,1",,"5,9",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,
1162,Tarte au Maroilles - Délices en Nord - 300g,3566490040027,D,['Délices en Nord'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au maroilles']",,['France'],"['Farine de blé', 'Gluten', 'Enzymes', 'Antioxygène : Acide ascorbique', 'Eau', 'œufs entier', 'beurre concentré', 'levure boulangère', 'matière grasse végétale', 'Emulsifiant E322 - E471 - E330 - Colorant E160a', 'Arôme', 'Sel', 'Épices', 'Maroilles', 'Fromage râpé français au lait de vache', 'coagulant', 'ferment lactique', 'Anti mottant', 'Amidon', 'Crème UHT 35%', 'Carraghénanes E407', 'Emulsifiant E472b E472e']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,74.9%,11.5%,2.8%,3.1%,1.6%,6.0%,49,300 g,"['Barquette', 'Aluminium', 'Plastique', 'Réfrigéré']",,"['E300 - Acide ascorbique', 'E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Œufs', 'Gluten', 'Lait']",,,,,,,,
1163,Maïs doux,3566611000206,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Graines', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en grains', 'Maïs', 'Céréales en conserve', 'Maïs doux', 'Maïs en conserve', 'Maïs doux en conserve']",,['France'],[],[],,1.3 g,en faible quantité,0.1 g,en faible quantité,2.6 g,en faible quantité,0.53 g,en quantité modérée,?,,118,+27%,494 kj(118 kcal),+27%,"1,3",-20%,"0,1",-65%,22,+48%,"2,6",-42%,3,+7%,"0,53",+26%,"0,212",+26%,-3,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,,,,,,,,,,,,
1164,Tomates Pelées Concassées au Jus de Tomates - Les Jardins d'Adrien - 3825g / 4125ml,3566612000076,A,"[""Les Jardins d'Adrien"", 'Pro à Pro']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées']",,['France'],"['Tomates pelées non épépinées', 'jus de tomate', 'sel', 'acidifiant E330']",[],3,0.5 g,en faible quantité,0.02 g,en faible quantité,2.83 g,en faible quantité,0.335 g,en quantité modérée,"83,4",-20%,?,,"83,4 kj(20 kcal)",-18%,"< 0,5",+77%,"< 0,02",-55%,"3,33",-11%,"2,83",-12%,"0,83",-28%,"0,335",+62%,"0,134",+62%,-5,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,3825 g / 4125 ml,"['boîte', 'Conserve', 'Métal']",,['E330 - Acide citrique'],,['Fabriqué en Espagne'],['Espagne'],,,,,,
1165,Cornichons au vinaigre pasteurisés,3566612000236,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,?,,15,-25%,63 kj(15 kcal),-20%,0,-100%,0,-100%,1,-49%,0,-100%,1,-8%,2,+11%,"0,8",+11%,3,+47%,C,+47%,,,,,,,,,,,,,,,,,,,,
1166,Haricots verts,3566612001844,,,,,['France'],[],[],,,,,,,,,,?,,26,,109 kj(26 kcal),,"0,2",,0,,3,,"0,8",,"1,6",,"0,75",,"0,3",,,,,,,,,,,,,,,"['EMB 56251E', 'Theix (Morbihan, France)']",,,['Fabriqué en France'],,,,,,,
1167,Olives noires dénoyautées - Les Jardins,3566612002049,B,['Les Jardins'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",,['France'],"['VS édieots : noìtes sel', ' ', 'Ses NIDS N g13€ et ', 'atièts gtes satutes tlùdes : alimentaitxxs mteines :']",[],,13.6 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,133,-38%,556 kj(133 kcal),-38%,"13,6",-36%,"2,2",-21%,0,-100%,0,-100%,"0,5",-60%,"1,5",-58%,"0,6",-58%,9,-26%,C,-26%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,['Fabriqué en Espagne'],,,,,,,
1168,Thon en Morceaux au Naturel - Saint Elme - 2400g net / 1800g égoutté / 2650ml,3566612005132,D,"['Saint Elme', 'Pro à Pro']","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel', 'Thons en morceaux']",['Métro'],['France'],"['Thon', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,1 g,en quantité modérée,421,-14%,?,,421 kj(101 kcal),-12%,"0,8",-47%,"0,2",-57%,"< 0,5",+313%,"< 0,1",+33%,23,-8%,1,-4%,"0,4",-4%,0,-100%,B,-100%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,2400 g net / 1800 g égoutté / 2650 ml,"['Conserve', 'Métal', 'Acier']","['EMB 29158F', 'Penmarch (Finistère, France)']",,['Poisson'],,"['Île Maurice', 'EMB 29158F']",,Thon en Morceaux au Naturel,,,,
1169,Robin le lapin,3566700000001,,,,,['France'],[],[],,,,,,,,,,?,,562,,2351 kj(562 kcal),,"36,2",,"22,7",,"50,9",,50,,"6,8",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
1170,Petits pains grilles,3566710021652,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Petits pains grillés']",,['France'],[],[],,9 g,en quantité modérée,4 g,en quantité modérée,2 g,en faible quantité,1.4 g,en quantité modérée,?,,404,0%,1690 kj(404 kcal),-1%,9,+7%,4,+147%,64,-5%,2,-66%,12,+14%,"1,4",+22%,"0,56",+22%,14,+161%,D,+161%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,,,,,['Sans sucre ajouté'],,,,,,,
1171,Café Moka Sidamo Moulu - Café Missegue - 250g,3566730057006,,['Café Missegue'],,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250g,,,,,,,,,,,,
1172,Baudouin le lapin - Reauté Chocolat,3567100000004,,['Reauté Chocolat'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat']",,['France'],"['sucre', 'beurre de cocco', 'pote de cacao', 'poudre de entier', 'potlssler', ""émulslflont : léclthlne de crame naturel de vanille Peut contenlr des traces d'orochldes"", 'de frults à coques', ""d'?ufs et de gluten cocco : mlnlmum "", 'chocolat au lait', 'mlnlmun ', 'chocolat noir']",['Non végétalien'],,36.2 g,en quantité élevée,22.5 g,en quantité élevée,48.3 g,en quantité élevée,0.17 g,en faible quantité,?,,559,+1%,2339 kj(559 kcal),+1%,"36,2",+6%,"22,5",+7%,"49,7",-7%,"48,3",-7%,0,-100%,"0,17",-13%,"0,068",-13%,21,-20%,E,-20%,,,,,,,,,,,,,,,,,,,,
1173,Domaine Mavela - 70cl,3567120000138,,['Domaine Mavela'],"['Boissons', 'Boissons alcoolisées']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,70 cl,"['Verre', 'Bouteille']",,,,"['Déconseillé à certaines catégories de personnes', 'Point Vert', 'Fabriqué en France', 'Sans colorants', 'Sans arômes ajoutés', 'Déconseillé aux femmes enceintes']","['France', 'Aléria']",,,,,,
1174,Sucres Coeur Tendre,3567360004873,,,,,['France'],[],[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,"99,7",,"99,7",,0,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
1175,Canasuc Le Sucrier Coeurs White-amber-brown - Canasuc Paris,3567360004880,,['Canasuc Paris'],,,['France'],"['cane sugat Store a dry away from light and humidity', ' Product of France', 'ZUCCHERI MODELLATI iltcreaienti• zucchero di canna', "" Conservare al riparo dall'umidità e dalla luce Prodc?o da Frartcia"", ' AZÜCAR MOLDEADO Ingrediente: azücar de cafia Conservareo un iugar seco', 'at abrigo de la humedad y de la luz', 'Fabrica en Franc', 'a GEFORMTER ZÜCKER Zutaten: Rohrzücker Kühl und trockcn lagern Vor Sonnenlicht geschützt aufbewahren ln Frankreich hergcctetlt']",[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,"99,7",,"99,7",,0,,0,,0,,,,,,,,,,,,,,,,,['Mollusques'],['Fabriqué en France'],,,,,,,
1176,Pour un sourire - Pastorale - 250g,3567360006778,B,"['Pastorale', 'SAS Pastorale']","['Édulcorants', 'Sucres']",,['France'],"['Sucre de canne', ' colorants ', 'concentré de carthame', ' citron', 'pomme', ' carotte', 'potiron', 'algue', ' patate douce', ' cerise', ' radis cassis']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,250 g,"['Sachet', 'Plastique']",,,,"['Point Vert', 'Fabriqué en France']",['France'],,,,,,
1177,Crème fraîche crue de Normandie Epaisse -,3567450000020,B,,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'en:raw-creams']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,"['Concours général agricole', 'Lait Français', ""Médaille d'or du Concours général agricole"", ""Médaille d'or du concours général agricole 2015""]",,"['France', 'Normandie']",,,,,
1178,Biscuits De Chalais - Biscuiterie de l abbaye,3567640101506,,['Biscuiterie de l abbaye'],,,['France'],[],[],,,,,,,,,,?,,448,,1874 kj(448 kcal),,12,,"1,74",,"76,27",,"21,9",,"7,99",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
1179,Pancakes,3567670002347,,,['Pancakes'],,['France'],[],[],,16.1 g,en quantité modérée,1.7 g,en quantité modérée,28.3 g,en quantité élevée,1.45 g,en quantité modérée,?,,355,+17%,1485 kj(355 kcal),+17%,"16,1",+74%,"1,7",-15%,"46,3",+13%,"28,3",+75%,"5,7",-38%,"1,45",+44%,"0,58",+44%,17,+56%,D,+56%,,,,,,,,,,,,,,,,,,,,
1180,2 mousses passion,3567741000173,,,,,['France'],[],[],,,,,,,,,,?,,292,,1222 kj(292 kcal),,17,,11,,32,,21,,"3,3",,"0,111",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,
