,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,link,markets,palm_ingredients,brand_owner
1073,Sandwich Poulet Crudités Moutarde à l'ancienne,8711533038324,['France'],[],[],?,216,904 kj(216 kcal),"5,27","0,91","30,68","2,09","10,55","1,4","0,56",,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet', 'en:raw-vegetable-sandwiches']",,,5.27 g,en quantité modérée,0.91 g,en faible quantité,2.09 g,en faible quantité,1.4 g,en quantité modérée,,0%,+0%,-34%,-37%,+23%,-34%,+14%,+16%,+16%,3,+40%,C,+40%,C,,,,,,,,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,
1074,Lamb Weston Sweet Potato Chips,8711571006088,['France'],"['Sweet Potatoes', 'Vegetable Oil ', 'Contains One or More of the Following: High Oleic Canola', 'Canola', 'Sunflower', 'Modified Food Starch ', 'Corn', 'Tapioca', 'Potato', 'Sugar', 'Rice Flour', 'Corn Starch', 'Dextrin', 'Spice', 'Salt', 'Oleoresin Paprika', 'Xanthan Gum', 'Leavening ', 'Disodium Dihydrogen Pyrophosphate', 'Sodium Bicarbonate']",[],?,162,678 kj(162 kcal),"4,8","0,4","28,6","8,3","1,2","0,38","0,152",['Lamb Weston'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E1400 - Dextrines', 'E415 - Gomme xanthane', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",4,,,,,,,,,,,,
1075,Twister Fries Natural - Lamb Weston - 600g,8711571038218,['France'],"['Pommes de terre ', '82 %', 'enrobage ', 'purée de pomme de terre modifiée', 'farine de riz', 'sel', 'agents épaississants ', 'E450', 'E500', 'purée de pomme de terre', 'dextrose', 'épaississant ', 'E415', ""extrait d'épices "", 'turmeric', 'huile de tournesol']",[],739,?,739 kj(177 kcal),"6,6","0,8",26,"0,4","1,8","0,34","0,136",['Lamb Weston'],"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",['Sans OGM'],,6.6 g,en quantité modérée,0.8 g,en faible quantité,0.4 g,en faible quantité,0.34 g,en quantité modérée,+19%,,+15%,+33%,+22%,+14%,-19%,-28%,+18%,+18%,0,,B,,B,600 g,"['Sachet', 'Plastique', 'surgelé']",,['Pays-Bas'],,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",4,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,['Noz'],,
1076,A. vogel Herbamare Spicy Biologisch,8711596591927,['France'],[],[],?,37,155 kj(37 kcal),0,0,7,1,1,"89,6","35,84",['A.Vogel'],,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,10 Glaces a L'eau Fusee,8711611979211,['France'],[],[],?,74,310 kj(74 kcal),0,0,"18,5","18,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Saucisses de poulet - Si-Bel,8711659036747,['France'],"['89% viande de poulet', 'dont f de séparée mécaniquement', 'eau', 'graisse de poulet', 'farine de blé', 'sel', 'collagène abilisant: *50', 'E452', ' acidifiant: E575', ' exhausteur de g00t: E621', "" mélanges d'èp dant: #00"", 'E318', ' légumes séchés ', 'ail', 'consetvateur: E250', ' fumée', ' Ce produit p :enlr traces de: viande de boeuf', '-de dinde', ""-d'agneau"", 'soja', 'moutarde', 'céleri', 'jsantt du lait', 'pistaches', ' Après ouverture', 'se conserve pendant une période limitè']","['Non végétalien', 'Non végétarien']",?,244,1021 kj(244 kcal),"19,6","5,74",2,"0,1","12,4","2,75","1,1",['Si-Bel'],,,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E318 - Isoascorbate de calcium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,
1079,Saucisse de poulet - Sans marque - 1000g,8711659073544,['France'],"['Viande de poulet séparée mécaniquement 63 %', 'eau', 'viande de poulet 6 %', 'graisse de poulet', 'farine de blé', 'sel', 'collagène de poulet', 'stabilisant E450', 'E452', 'acidifiant E575', 'exhausteur de goût E621', ""mélange d'épices"", 'antioxydant E300', 'E316', 'légumes séchés ', 'ail', 'conservateur E250', 'fumée']","['Non végétalien', 'Non végétarien']",?,244,1021 kj(244 kcal),"19,6","5,74","4,5","0,1","12,4","2,75","1,1",['Sans marque'],"['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Poulets', 'Saucisses de volaille', 'Saucisses de poulet']",['Halal'],['Gluten'],19.6 g,en quantité modérée,5.74 g,en quantité élevée,0.1 g,en faible quantité,2.75 g,en quantité élevée,,+18%,+18%,+27%,+31%,+105%,-85%,-7%,+43%,+43%,18,+41%,D,+41%,E,1000 g,"['Plastique', 'Réfrigéré']",,['Pays-Bas'],['NL 77 EG'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,Saucisse de poulet à base de viande de poulet séparée mécaniquement,,,,
1080,8711661004277,8711661004277,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Volkoren biscuit,8711715854698,['France'],[],[],?,477,1996 kj(477 kcal),"16,8","7,4","70,8","21,4","7,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Jumbo Bosvruchten Yoghurt Biscuits,8711715861191,['France'],[],[],?,431,1803 kj(431 kcal),"12,1",7,74,"43,9","5,2","0,6","0,24",['Jumbo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Oignon - Ognon,8711728060833,['France'],['wjsjsuhshsshvssg'],[],?,32,134 kj(32 kcal),"0,1","0,1","9,34","0,1","1,1","0,1","0,04",['Ognon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Joannusmolen Fair Trade Hagelslag Melk,8711741006412,['France'],[],[],?,463,1937 kj(463 kcal),19,12,61,53,"9,1","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Hagelslag - Hou - Hoi,8711741354599,['France'],[],[],?,441,1845 kj(441 kcal),16,"9,2",64,61,"6,9","0,003","0,001",['Hou'],,,,,,,,,,,,,,,,,,,,,,,,,,,Hoi,,,,,,,,,,,,,,,,,,
1086,"Valdispert Mélatonine 1,9 MG 40 Comprimés Orodispersibles - Vemedia",8711744051426,['France'],"['Composition par comprimé 1,9 mg de mélatonine', ' Ingrédients agents de charge ', 'mannitol', 'cellulose', 'amidon de mais', 'mélatonine I 0%', 'antiagglomérant ', 'stéarate de magnésium', 'arômes ', 'vanille', 'anis • Contient du lait']",[],?,1,4 kj(1 kcal),1,0,"0,5","0,5",1,0,0,['Vemedia'],,,['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E421 - Mannitol', 'E460 - Cellulose', 'E572 - Stéarate de magnésium']",4,,,,,,,,,,,,
1087,Phytothérapie nuit - Valdispert - 35g,8711744051464,['France'],[],[],?,?,,?,,?,,?,,,['Valdispert'],,,,,,,,,,,,,,,,,,,,,,,,,,,35g,,,,,,,,,,,,,,,,,,
1088,Billy's Farm Organic Ginger & Walnut Spelt Cookies - Billy' Farm,8711753002044,"['France', 'Pays-Bas']","[""farine d'épeautre complète*"", 'huile de palme* ', ' non hydrogénée ', 'sirop de maïs malté*', ""sirop d'orge malté*"", ""flocons d'avoine* noix* 4%"", 'raisins*', 'épice de gingembre*', 'poudre à lever ', ' bicarbonate de soude ', 'sel', ' biologique', ' PEUT CONTENIR DES TRACES DE NOIX ET GRAINES DE SÉSAME']","['Huile de palme', 'Végétalien', 'Végétarien']",?,453,1895 kj(453 kcal),"23,7",10,"54,2","15,7","8,9","0,4","0,16","[""Billy' Farm""]",,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'NL-BIO-01']","['Fruits à coque', 'Graines de sésame']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],,,,,,,,,,,['Ekoplaza'],['Huile de palme'],
1089,Coconut and lemon cookies,8711753005021,"['France', 'Pays-Bas']",[],"['Végétalien', 'Végétarien']",?,532,2226 kj(532 kcal),"29,4",17,"59,8","14,4","7,1","0,3","0,12",,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ekoplaza'],,
1090,Goliath Fabrique De Bonbons Fruités,8711808822870,['France'],[],[],?,1,4 kj(1 kcal),2,1,7,4,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Mayonnaise sans oeuf,8711812374891,['France'],[],[],?,502,2100 kj(502 kcal),52,"6,5","9,9",4,1,"1,4","0,56",,"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises sans œufs']",['Bio'],,52 g,en quantité élevée,6.5 g,en quantité élevée,4 g,en faible quantité,1.4 g,en quantité modérée,,+5%,+5%,+4%,+53%,+85%,+66%,+64%,+9%,+9%,18,+29%,D,+29%,D,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,
1092,Ekolandekoland Og B / Beans In Tom Sauce 6X360G 6X360G - Ekoland,8711812402761,['France'],[],[],?,91,381 kj(91 kcal),"0,5","0,1","13,6","4,1","5,6",1,"0,4",['Ekoland'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Ekoland Ekoland Kikkererwten Glas,8711812402877,['France'],"['pois chiches*', 'eau', 'sel marin', "" *Issus de l'agriculture bio"", ' logique', 'Après ouverture conservation dans la preparation:rechauffez le contenu de cet pot dans unÈçcasserole', ' A consommer de préféretÉÂvant fin: voir sur le couvercle', ' rbsena Zutaten: Kichererbsen*', 'Uitlekgewicht Wasseï,', ' salz', ' *Aus bioloaischem Anbau', ' NachAbffnen max', ' 2 Taae im Kühl- Abtropfgewicht schran ,tbar', 'Bereitung: ?en Inhalt in einer e erwârmen', 'nicht kochen', ' Minde*haltbar bis Ende: siehe Deckel']",[],?,127,531 kj(127 kcal),"2,7","0,3",15,"0,4","7,1","0,4","0,16",['Ekoland'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Luna E Terra Doperwten,8711812403676,['France'],[],[],?,73,305 kj(73 kcal),"0,6","0,2","9,1","1,4","5,4","0,5","0,2",,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Doperwten-wortelen - Luna e Terra,8711812403898,['France'],[],[],?,53,222 kj(53 kcal),"0,3","0,1","7,2","4,5","3,3","0,5","0,2",['Luna e Terra'],,"['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Ekoland Bruine Linzen,8711812404680,['France'],[],[],?,415,1736 kj(415 kcal),"0,7","0,1","11,6","0,5","8,8","0,4","0,16",['Ekoland'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,"Barre de noix pomme cannelle - Zonnatura - 75g, 3repen van 25g ℮",8711812407711,"['France', 'Pays-Bas']","['arachides* 45%', 'miel 20%', 'amandes* ', 'fruits à coque', ' 16%', 'raisins secs* 13%', 'pomme* 6%', 'canelle*']",['Non végétalien'],2081,?,2081 kj(497 kcal),31,"4,7",36,32,15,"0,03","0,012",['Zonnatura'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques']","['Bio', 'Bio européen', 'en:gluten-free', '100% naturel', 'Agriculture UE/Non UE', 'GR-BIO-01', 'Sans lactose', 'nl:Bron van eiwit']","['Fruits à coque', ""nl:Pinda's"", ""nl:pinda's""]",31 g,en quantité élevée,4.7 g,en quantité modérée,32 g,en quantité élevée,0.03 g,en faible quantité,+1%,,+1%,+3%,-18%,-4%,+29%,-1%,-89%,-89%,15,+21%,D,+21%,,"75 g, 3 repen van 25 g ℮",['Kartonnen doos'],,,,,3,,,,,,,,Barre de noix et arachides avec pommes et cannelle,,,,
1098,Confiture de fraise - Zonnatura,8711812415730,['France'],"['Jam met verlaagd suikergehalte', 'Ingrediënten: aardbeier"" geconcentreerd agavesap*', 'geconcentreerd druivensap ele appelpectine', 'citroensap*', 'zuurteregelaar:calciumcitrat pem vlierbessensap*', '*ingrediëntvan biologische teelt', 'Bereid met 75 g vruchten per 100 g', 'Kwaliteitsgarantie: de kwaliteit van alle Zonnatura producten wordtvoortdurend gecontroleerd', 'Voorvragen of opmerkingen:Zonnatura Consumentenvoorlichting', 'Antwoordnummer 362', '1100 VC Amsterdam: geen postzegel nodig', ' www,zonnatura,nl', 'Voedingswaarde per 100g Energie']",[],?,97,406 kj(97 kcal),"0,5","0,1",23,23,"0,5","0,1","0,04",['Zonnatura'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['Agriculture UE/Non UE'],,0.5 g,en faible quantité,0.1 g,en faible quantité,23 g,en quantité élevée,0.1 g,en faible quantité,,-55%,-55%,+107%,+122%,-57%,-55%,+13%,+341%,+341%,5,-43%,C,-43%,D,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,
1099,Zonnatura Biologische Groentespread Tomaat - 135g,8711812417130,['France'],"['Groentespreadmettomaaten prei Ingrediénten: tomaten* 42%', 'zonnebloemolie*', '5% aqavesiroopi', 'geconcentreerd *ingrediéntvan biologischeteelt']",[],?,218,912 kj(218 kcal),"17,7","1,8","9,8","5,8","3,7","1,4","0,56",['Zonnatura'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,135 g,,,,,,,,,,,,,,,,,,
1100,Spelt épeautre drink calcium - Zonnatura,8711812418861,['France'],[],[],?,57,238 kj(57 kcal),"1,1","0,1",11,"5,5","0,8","0,08","0,032",['Zonnatura'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Hazelnoot & Rijst drink noisette riz - Zonnatura - 1liter,8711812419653,"['France', 'Pays-Bas']",[],[],?,81,339 kj(81 kcal),"2,7","0,4",13,"5,5","0,8","0,08","0,032",['Zonnatura'],,"['Bio', 'en:FSC', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,1 liter,['Tetra pak'],,['Wessanen Benelux nv'],['FSC-C014047'],,,,,,,,,,,http://zomnatura.be,['Jumbo'],,
1102,Vermicelles au chocolat noir - De Rit - 200g,8711812419790,"['Belgique', 'France', 'Pays-Bas']","['sucre de canne*', 'cacaomasse* 40%', 'poudre de cacao* 10%', "" *issus de l'agriculture biologique contrôlée""]",[],?,493,2063 kj(493 kcal),"27,5","16,8","64,2","50,2","5,6","0,13","0,052",['De Rit'],"['Aides culinaires', 'Aides à la pâtisserie', 'Décorations alimentaires', 'Vermicelles multicolores', 'Vermicelles en chocolat', 'nl:Hagelslag']","['Bio', 'Bio européen', 'DE-ÖKO-001']",,27.5 g,en quantité élevée,16.8 g,en quantité élevée,50.2 g,en quantité élevée,0.13 g,en faible quantité,,,+9%,+62%,+63%,-5%,-20%,+22%,+19%,+19%,26,+18%,E,+18%,,200g,['boîte'],,,,,3,,,,,,,,,,"['Bio', 'Ekoplaza']",,
1103,chocoreale - De rit - 270g,8711812834562,"['France', 'Pays-Bas']",[],[],?,613,2565 kj(613 kcal),"50,4",12,"33,3","31,1","5,8","0,15","0,06",['De rit'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,270 g,,,,,,,,,,,,,,,,['Ekoplaza'],,
1104,Ekoland Rinse Appelstroop Biologisch,8711812845742,['France'],"['Sirop de betteraves* 77%', 'sirop de pommes* 23%', "" *ISSUS de l'agriculture biologique""]",[],?,270,1130 kj(270 kcal),0,0,62,55,3,0,0,['Ekoland'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Molenaartje Honey Waffle,8711812931780,['France'],[],[],?,465,1946 kj(465 kcal),?,9,?,"31,6","4,7","1,37","0,548",['Molenaartje'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Gaufrettes Au Miel Bio - - De Rit,8711823054102,['France'],[],[],?,467,1954 kj(467 kcal),"17,5","8,3","73,1","41,5","3,9","1,2","0,48",['De rit'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Gaufrettes à La Mélasse Bio - 175G - De Rit,8711823054300,['France'],[],[],?,499,2088 kj(499 kcal),"22,3","10,6","69,8","37,9",4,"1,2","0,48",['De rit'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Chips De Légumes & Romarin Bio - - De Rit - 75g,8711823108072,['France'],[],[],2089,?,2089 kj(499 kcal),36,3,30,22,5,"1,7","0,68",['De rit'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",['Bio'],,36 g,en quantité élevée,3 g,en quantité modérée,22 g,en quantité élevée,1.7 g,en quantité élevée,-3%,,-3%,+22%,-3%,-45%,+836%,-13%,+28%,+28%,14,+20%,D,+20%,,75 g,,,,,,,,,,,,,,,,,,
1109,Double chocolate chip cookies noisette - De Rit - 175g,8711823193504,"['France', 'Allemagne', 'Pays-Bas']","['Weizenmehl [Gluten]', 'Schokostückchen 29% ', 'Kakaomasse', 'Rohrzucker', 'Kakaobutter', 'Emulgator: Sonnenblumenlecithin', 'Vanilleextrakt', 'Rohrzucker', 'Butter [Milch]', 'Haselnüsse [Schalenfrüchte] 7%', 'Magerkakaopulver', 'natürliches Kakaoextrakt', 'natürliches Vanillearoma', 'Volleipulver', 'Magermilchpulver', 'Meersalz', 'Backtriebmittel: Ammoniumcarbonat']",['Non végétalien'],?,502,2100 kj(502 kcal),26,13,58,34,7,"0,4","0,16",['De Rit'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",26 g,en quantité élevée,13 g,en quantité élevée,34 g,en quantité élevée,0.4 g,en quantité modérée,,+6%,+6%,+25%,+29%,-9%,+15%,+8%,-32%,-32%,20,+1%,E,+1%,C,175g,"['Kunststoff', 'Karton']",,,,"[""E503i - Carbonate d'ammonium""]",4,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Kekse mit Schokoladenstückchen und Haselnüssen,,['Ekoplaza'],,
1110,Wasabi - Landana,8711842178292,['France'],"['Lait de vache pasteurisé', '2,5% mélange de wasabi ', 'raifort', 'poudre de wasabi ', 'poudre de raifort', 'poudre de moutarde', '24% wasabi japonica', 'graine de moutarde', 'sel', 'ferments Lactiques', 'présure microbienne', 'arôme', 'colorant: E141', 'extrait de curcuma', 'conservateur: nitrate de sodium']",['Non végétalien'],?,380,1590 kj(380 kcal),"31,2","21,6","0,1","0,1","22,9","1,8","0,72",['Landana'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,"['Lait', 'Moutarde']",31.2 g,en quantité élevée,21.6 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,,+16%,+16%,+17%,+21%,-92%,-87%,+12%,+38%,+38%,16,+17%,D,+17%,D,,,,,,"['E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E100 - Curcumine', 'E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition']",4,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
1111,Gouda Jersey,8711842186426,['France'],[],[],?,406,1699 kj(406 kcal),34,"22,9","0,1","0,1","24,8","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Crevettes grises - Zeelandia's Garnalen - 150g,8711876000170,['France'],"['crevettes grises décortiquées', 'sel', 'acidifiant ', 'E330', 'E331']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",385,91,385 kj(91 kcal),1,"0,3","0,5",0,20,2,"0,8","[""Zeelandia's Garnalen""]","['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes grises']",,['Crustacés'],1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,,0%,+0%,-2%,0%,+268%,,0%,+7%,+7%,4,+10%,C,+10%,D,150 g,"['Fresh', 'Plastic']",['North Sea'],['Netherlands'],['NL 6177 EG'],"['E330 - Acide citrique', 'E331 - Citrates de sodium']",3,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,Crevettes grises décortiquées,,,,
1113,Framboise sans sucre - Boisson rafraîchissante avec édulcorants - Wicky - 1l,8711900015477,['France'],"['Eau', '0,2% jus de framboise à base de concentré', 'stabilisant ', 'gomme arabique', 'arômes naturels', 'acidifiant ', 'acide citrique', 'correcteur d’acidité ', 'citrates de sodium', 'concentré de carotte et cassis', 'édulcorants  ', 'sucralose et acésuifame-K', 'vitamine E']",[],3,1,3 kj(1 kcal),0,0,0,0,0,"0,02","0,008",['Wicky'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",['en:FSC'],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,-99%,-99%,-99%,-100%,-100%,-100%,-100%,-100%,-47%,-47%,1,-92%,B,-92%,C,1 l,['Brique'],,,['FSC-C020428'],"[""E414 - Gomme d'acacia"", 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E955 - Sucralose']",4,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,"Boisson refraichissante avec édulcorants, sans sucre et avec ajout de vitamine E",,,,
1114,Puree de pommes,8711997002657,['France'],[],[],?,51,213 kj(51 kcal),"0,1",0,"12,8","10,1","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Nice&nuts - 1kg,8711997004910,['France'],[],[],?,649,2715 kj(649 kcal),"57,7","4,9","10,5","3,9","18,1","0,01","0,004",,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,,,,,,,
1116,Heineken - 50cl,8712000028268,['France'],[],[],?,?,,?,,?,,?,,,['Heineken'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,,,C,50 cl,['Canette'],,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,
1117,Affligem - 5L,8712000029197,['France'],"[""Contient du malt d'orge""]",[],?,56,234 kj(56 kcal),"0,5",0,"4,3","0,5","0,5","0,01","0,004",['Affligem'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,['Gluten'],,,,,,,,,,+37%,+35%,+192%,-100%,+24%,+3%,+23%,-35%,-35%,,,,,C,5 L,"['métal', 'Fut', 'Beertender']",,,,,3,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,Bière,,['Carrefour'],,
1118,Desperados - 5L,8712000029685,['France'],"['Bière', 'sucre', 'arômes ', '75% de Tequila', 'acidifiant : acide citrique', "" Contient du malt d'orge""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,60,251 kj(60 kcal),0,0,"1,27","0,35","0,09",0,0,['Desperados'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières aromatisées']",,['Gluten'],,,,,,,,,,+9%,+11%,-100%,,-76%,-83%,-66%,-100%,-100%,,,,,C,5 L,"['Fut', 'Métal', 'Beertender']",,,,['E330 - Acide citrique'],4,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,Bière aromatisée tequila,,['Carrefour'],,
1119,Biere - Amstel,8712000030520,['France'],[],[],?,33,138 kj(33 kcal),"0,1",0,"1,9","0,4","0,4","0,01","0,004",['Amstel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Desperados Flare,8712000039080,['France'],"['bière ', 'nu', ""malt d'orge"", 'sirop de glucose', 'extraits de houblon', 'sucre', 'acidifiant : acide citrique', 'arômes ', 'dont 75% de Tequila', 'sirop de sucre inverti', ""colorant : Et72t fibres d'a runes,""]",[],?,59,247 kj(59 kcal),0,0,0,0,0,0,0,['Desperados'],"['Boissons', 'Boissons avec sucre ajouté']",,['Gluten'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-31%,-33%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,9,-24%,D,-24%,,,,,,,['E330 - Acide citrique'],4,,,,,,,,,,,,
1121,Heineken,8712000051129,['France'],[],[],?,?,,?,,?,,?,,,['Heineken'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,
1122,Red Stripe,8712000051945,['France'],[],[],?,?,,?,,?,,?,0,0,['Red Stripe'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,C,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,
