,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,additives,allergens,labels,packaging,manufacturing,nova_score,markets,link,palm_ingredients,ingredients_origins,generic_name,traceability_code,brand_owner
1758,Raspberry jam,9557008206466,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Omypop,9557152600066,,['France'],[],[],,,,,,,,,?,,410,,1715 kj(410 kcal),,"4,5",,3,,88,,53,,4,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Spring Roll Pastry,9557477770642,,['France'],[],[],,,,,,,,,?,,32,,134 kj(32 kcal),,"0,1",,"0,1",,0,,0,,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,SK Kitchen Original Chapatti 10 Pieces,9557477770734,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,"3,2",,"1,8",,51,,"2,6",,"8,1",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Samossas aux légumes -,9557477771588,"['Plats préparés', 'Samoussas', 'Samoussas aux légumes']",['France'],[],[],4 g,en quantité modérée,1.7 g,en quantité modérée,3.5 g,en faible quantité,1 g,en quantité modérée,?,,192,+6%,803 kj(192 kcal),+5%,4,-40%,"1,7",+63%,35,+36%,"3,5",-14%,4,-7%,1,+30%,"0,4",+30%,5,+48%,C,+48%,E,,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,,,,,,,,,,,,,
1763,Melouï -,9557477773414,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,"8,2",,"6,5",,63,,"19,7",,"6,3",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,"['Sachet', 'Plastique']",,,,,,,,,
1764,Sauce malaisienne au piment doux et noix de coco,9557519300516,,['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,"2,3",,"1,5",,16,,15,,0,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Sauce thailandaise au basilic et au piment,9557519300677,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,0,,0,,"9,4",,"5,8",,0,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,Pâte de curry Rendang - World Foods,9557519301438,"['Epicerie', 'Sauces', 'Pâtes de curry']",['France'],"['Eaur oignon', 'noix de coco râpée rotie ', '10%', 'piment', 'galanga', 'sucre', 'citronnelle', 'purée de tan', 'arint sel', 'ail', 'feuillede citron', 'gingenlbret coriandre', 'fenouil', 'curcuma', 'poivre noir', 'c:unun', 'modifié', 'amidon de tapioca étoilé ', '0206', 'cardamone', 'anis cannelle', 'clou de girofle']",[],5.5 g,en quantité modérée,4 g,en quantité modérée,11 g,en quantité modérée,3.6 g,en quantité élevée,?,,119,-38%,498 kj(119 kcal),-38%,"5,5",-55%,4,+97%,13,+2%,11,+108%,"1,9",-42%,"3,6",-48%,"1,44",-48%,11,-12%,D,-12%,,['World Foods'],,,,,,,,,,,,,,3,,,,,,,
1767,Thon Pimenté ¡¡ - Ayam,95502335,,['France'],"[""'Ingredients: Tuna"", 'Water', 'Soy Bean Oil', 'Chilli', 'Sugar', 'Fish Sauce', 'Coriander Leaf', 'Modified Starch', 'Salt']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,210,,879 kj(210 kcal),,13,,5,,6,,5,,17,,"0,5",,"0,2",,,,,,,['Ayam'],,,,,,,,,['E14XX - Amidons modifiés'],,,,,4,,,,,,,
1768,Ayam Curry Tuna,95502342,,['France'],[],[],,,,,,,,,?,,138,,577 kj(138 kcal),,"7,1",,"4,9",,"5,6",,"2,5",,"12,2",,"1,1",,"0,44",,,,,,,['Ayam'],,,,,,,,,,,,,,,,,,,,,
1769,Salade de pomme de terre -,9565000000005,"['Plats préparés', 'Salades', 'Salades composées', 'Plats à base de pommes de terre', 'Salades de pommes de terre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,,,,,,,,,,,,,
1770,Barres de son d'avoine - Leader price - 150g,9576161858398,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Leader price'],,,,,,,,150g,,,,,,,['Leader Price'],,,,,,
1771,9577370707378,9577370707378,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Lait demi-écrémé,9578577631329,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['France'],[],[],1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.13 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,6",-5%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,13",+17%,"0,052",+17%,0,-100%,B,-100%,D,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,
1773,Lentilles,9579500005101,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.83 g,en quantité modérée,?,,81,-67%,339 kj(81 kcal),-67%,"0,2",-86%,0,-100%,11,-67%,"0,3",-76%,6,-66%,"0,83",+187%,"0,332",+187%,1,,B,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,,,,
1774,Thé noir parfum pêche - May Tea - 1,9581184884477,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['May Tea'],,,,,,,,1,,,,,,,,,,,,,
1775,Almond Cookies with Whole Almond - Koi Kei Bakery - 520g,9588800664918,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'en:Biscuits-a-l-amande']","['France', 'Hong Kong']","['Poudre de haricot mungo ', 'haricot mungo', 'pois à vache et riz', 'sucre cristallisé', 'huile de soja', 'arachides', 'amandes', 'lait en poudre', 'eau', 'amidon de maïs', ""noyaux d'abricot""]",[],24.9 g,en quantité élevée,4.5 g,en quantité modérée,23 g,en quantité élevée,0.0203 g,en faible quantité,?,,506,+7%,2117 kj(506 kcal),+6%,"24,9",+20%,"4,5",-55%,"62,4",-2%,23,-22%,"11,1",+71%,"0,02",-97%,"0,008",-97%,12,-39%,D,-39%,C,['Koi Kei Bakery'],80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,520 g,,,,"['Carton', 'boîte', 'Plastique']",['Macao'],,,,,,Biscuits à l'amande complète,,
1776,Grenadine,9589871917743,,['France'],[],[],,,,,,,,,?,,335,,1402 kj(335 kcal),,0,,0,,83,,81,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Semoule crème cacao - Babybio,95895161,,['France'],[],[],,,,,,,,,?,,94,,393 kj(94 kcal),,"2,9",,2,,13,,"9,7",,"3,4",,"0,1",,"0,04",,,,,,,['Babybio'],,,,,,,,,,,['Bio'],,,,,,,,,,
1778,Biscuits tablette  - Discount  - 150g,9590270936716,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Discount'],,,,,,,,150g,,,,,,,,,,,,,
