,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,ingredients_origins,link,palm_ingredients,producer_info,origin_detail,brand_owner
973,Choco Twizz - Auchan - 90g,3596710407644,D,Biscuits nappés de chocolat au lait,90 g,['Carton'],['Auchan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits au chocolat au lait', 'Biscuits bâtonnets au chocolat']",,,['Auchan'],['France'],"['Chocolat au lait 49% ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'lactose ', 'lait', 'matière grasse de lait', 'émulsifiants : lécithine ', 'soja', ' - polyricinoléate de polyglycérol ', ' arôme', ' ,farine de blé ', 'contient gluten', 'sucre', 'graisse végétale ', 'palme', 'lactose ', 'lait', ' et protéines de lait', 'amidon de riz', 'sel', ""poudres à lever : carbonates d'ammonium"", 'levure', ""correcteur d'acidité : hydroxyde de sodium""]","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,12.3 g,en quantité élevée,32.9 g,en quantité élevée,0.575 g,en quantité modérée,?,,490,-2%,2050 kj(490 kcal),-2%,?,,"12,3",-11%,?,,"32,9",-7%,"8,2",+21%,"0,575",+16%,"0,23",+16%,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Produit en braille'],"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E503 - Carbonates d'ammonium"", 'E524 - Hydroxyde de sodium']",,,['Huile de palme'],,,
974,Compote de pomme allégée - Auchan - 650g,3596710408375,A,Compote de pomme allégée en sucres issue de l'agriculture biologique,650 g,"['Bocal', 'Verre']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes allégées']",,,['Auchan'],['France'],"['Purée de pommes 95,7 %', 'sucre', 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.2 g,en faible quantité,0.04 g,en faible quantité,15 g,en quantité élevée,0.04 g,en faible quantité,297,+8%,70,+6%,297 kj(70 kcal),+7%,"0,2",-35%,"0,04",-61%,16,+8%,15,+9%,"0,3",-12%,"0,04",+764%,"0,016",+764%,-2,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'FR-BIO-01', 'AB Agriculture Biologique']",['E300 - Acide ascorbique'],,,,,,
975,Nouilles Pour Wok en Nids - Auchan,3596710417445,,,,,['Auchan'],,,,['Auchan'],['France'],[],,[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,3,,"0,8",,67,,3,,"13,5",,"0,05",,"0,02",,,,,,,,,,,,,['Produit en braille'],,,,,,,
976,Cranberry & Myrtille - Auchan,3596710417513,C,,,,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,,['Auchan'],['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,11.4 g,en quantité élevée,0.03 g,en faible quantité,?,,48,+7%,201 kj(48 kcal),+7%,"0,5",+216%,"0,1",+276%,"11,5",+11%,"11,4",+19%,"0,4",+19%,"0,03",+186%,"0,012",+186%,15,+122%,E,+122%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,
977,Gaufrettes Praliné noisettes - Auchan - 110g,3596710420827,C,,110 g,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes']",,,['Auchan'],['France'],[],,[],,37 g,en quantité élevée,19 g,en quantité élevée,30 g,en quantité élevée,0.3 g,en quantité modérée,?,,565,+13%,2364 kj(565 kcal),+13%,37,+49%,19,+29%,53,-14%,30,-13%,5,-9%,"0,3",-13%,"0,12",-13%,24,+9%,E,+9%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,,
978,Cordon Bleu Poulet - Auchan - 200g,3596710421336,D,Cordon bleu,200g,['Barquette'],['Auchan'],"['Viandes', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']",,,['Auchan'],['France'],"['Préparation à base de filets de poulet traités en salaison reconstitués 50% : filets de poulet 40%', 'eau ', ' antioxydants : citrates de sodium', 'érythorbate de sodium ', ' dextrose', 'fibres de blé ', 'contient gluten', 'protéines de blé ', 'contient gluten', 'arômes', 'sel', ' Panure frite 25% : chapelure ', 'farine de blé ', 'contient gluten', 'levure', 'sel', 'épices', 'eau', 'farine de blé ', 'contient gluten', 'conservateur : sorbate de potassium ', ' Jambon de dinde cuit standard au goût fumé 16% : viande de cuisse de dinde 10,5%', 'eau', 'dextrose', 'protéines de blé ', 'contient gluten', 'sel ', ' stabilisants : triphosphates', 'polyphosphates ', ' arômes naturels', 'arôme', 'arôme de fumée ', 'contient gluten', 'conservateur : nitrite de sodium', ' Fromage fondu 10% : fromages 4,5% minimum ', 'contient lait', 'eau', 'beurre ', 'contient lait', 'amidons modifiés', 'lait écrémé en poudre lactosérum ', 'contient lait', ' ', ' sels de fonte : citrates de sodium', 'polyphosphates', 'gélifiant : carraghénanes', ""correcteur d'acidité : acide citrique"", ' Huile de tournesol']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,8.7 g,en quantité modérée,2.5 g,en quantité modérée,3.8 g,en faible quantité,1.5 g,en quantité modérée,827,-9%,197,-7%,827 kj(197 kcal),-7%,"8,7",-21%,"2,5",-12%,16,+15%,"3,8",+128%,13,-5%,"1,5",+15%,"0,6",+15%,5,-3%,C,-3%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,['en:palm-oil-free'],"['E331 - Citrates de sodium', 'E316 - Érythorbate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,
979,Nappage Caramel - Auchan - 210g,3596710422524,,Nappage au caramel,210 g,"['Flacon', 'Plastique']","['Auchan', 'Les Aides Pâtissières Auchan']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Aides culinaires', 'Aides à la pâtisserie', 'Caramels', 'Caramel liquide', 'Nappages']",,,['Auchan'],['France'],"['Sucre 80 %', 'eau']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,73.9 g,en quantité élevée,0.03 g,en faible quantité,1365,-0%,?,,1365 kj(326 kcal),-8%,0,-100%,0,-100%,"80,3",+13%,"73,9",+23%,0,-100%,"0,03",-89%,"0,012",-89%,14,-22%,D,-22%,,,,,,,,['Point Vert'],,,,,,,
980,Deliform - Auchan - 110g (10x11g),3596710427178,D,Préparation pour chocolat chaud,110 g (10x11g),"['Carton', 'Plastique']",['Auchan'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Boissons chaudes', 'Boissons édulcorées', 'Cacaos et chocolats en poudre', 'Boissons light', 'Boissons instantanées', 'Chocolats en poudre', 'Preparation-cacaotee']",,,['Auchan'],['France'],"['Lactosérum en poudre ', 'lait', 'cacao maigre en poudre 22,5%', 'sirop de glucose', 'agent de charge ', 'polydextrose', 'poudre de tait écrémé 9,3%', 'graisse de coco', 'dérivé du lait déshydraté', 'sel', 'lactose ', 'lait', 'épaississant: ’ carraghénanes', 'arômes naturels', 'stabilisants : polyphosphates - phosphates de Sodium', 'protéines de lait', 'édulcorant : sucralose', 'stabilisant : phosphates de potassium', 'antiagglomérant : phosphates de calcium', 'émulsifiants:  esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d’acides gras', ""mono-et diglycérides d'acides gras""]",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,37,,155 kj(37 kcal),,1,,"0,8",,"6,1",,"3,6",,"1,3",,"0,4",,"0,16",,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,['Sans gluten'],"['E1200 - Polydextrose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,
981,Allumettes fumées - Auchan - 100g (2 * 50g),3596710429080,,,100 g (2 * 50 g),"['Frais', 'Plastique']",['Auchan'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Allumettes de porc fumées']",,"['EMB 44180', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",['Auchan'],['France'],"['Viande de porc ', 'origine UE', 'sel acidifiants : lactate de potassium', 'acétates de sodium', 'dextrose : antioxydant : erythorbate de sodium conservateur : nitrite de sodium']",,"['Non végétalien', 'Non végétarien']",4,12 g,en quantité modérée,3.9 g,en quantité modérée,0.5 g,en faible quantité,2.1 g,en quantité élevée,?,,189,-28%,791 kj(189 kcal),-27%,12,-43%,"3,9",-52%,"0,5",-39%,"0,5",-24%,20,+21%,"2,1",-18%,"0,84",-18%,14,-29%,D,-29%,,,,,,,,"['Point Vert', 'Fabriqué en France']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Union européenne'],,,,,
982,Couscous poulet merguez - Auchan - 300g e,3596710429516,D,,300 g e,"['Carton', 'Plastique']",['Auchan'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de semoule', 'Plats au bœuf', 'Plats à la volaille', 'Couscous préparés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['FR 29.269.020 CE', 'Saint-Thurien (Finistère, France)', 'EMB 56251E', 'Theix (Morbihan, France)']",['Auchan'],['France'],"['Semoule de blé ', 'contient gluten', ' dur préparée 31 % ', 'eau', 'semoule de blé ', 'contient gluten', ' dur', 'huile de tournesol', 'sel', 'viande de poulet saumurée précuite 20 % ', 'viande de poulet ', 'origine : UE', ' 20,5 %', 'eau', 'sel', 'eau', 'carottes 8 %', 'merguez 7 %', 'viande bovine ', 'origine : UE', 'eau', 'viande de mouton ', 'origine : UE ou hors UE', 'épices et plantes aromatiques', 'sel', 'sirop de glucose', 'plasma de bœuf', 'arômes naturels', 'stabilisants : triphosphates', 'colorant : extrait de paprika', 'antioxydant : acide ascorbique', 'conservateur : nitrite de sodium', 'navets 5 %', 'courgettes 5 %', 'poivrons rouges 3 %', 'pois chiches 3 %', 'concentré de tomates', 'huile de tournesol', 'épices et plantes aromatiques', 'amidon modifié de pommes de terre', 'sel', 'arômes naturels ', 'contient céleri', 'colorant : extrait de paprika', 'gélifiants : gomme guar et gomme xanthane']","['Céleri', 'Gluten']","['Non végétalien', 'Non végétarien']",4,3.5 g,en quantité modérée,1 g,en faible quantité,1.4 g,en faible quantité,0.875 g,en quantité modérée,?,,117,-24%,490 kj(117 kcal),-23%,"3,5",-19%,1,-15%,"12,7",-27%,"1,4",-34%,"7,7",+3%,"0,875",+15%,"0,35",+15%,-2,-3646%,A,-3646%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Point Vert', 'Fabriqué en France', 'Triman']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Union européenne', 'Hors Union Européenne']",,,,,
983,Lardons fumés - Auchan - 2 * 150g (300g),3596710430154,C,Lardons fumés - qualité supérieure,2 * 150 g (300 g),"['Barquette', 'Plastique']",['Auchan'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",['France'],"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]","['Simply Market', 'Auchan']",['France'],"['Poitrine de porc ', 'origine France', 'sel', 'conservateurs : lactate de potassium', 'nitrite de sodium', 'dextrose', 'antioxydant : érythorbate de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,20 g,en quantité modérée,7.4 g,en quantité élevée,0.7 g,en faible quantité,2.7 g,en quantité élevée,?,,251,-6%,1050 kj(251 kcal),-5%,20,-8%,"7,4",-10%,"0,7",-15%,"0,7",+9%,17,+4%,"2,7",+2%,"1,08",+2%,20,0%,E,0%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,"['Viande Française', 'Viande Porcine Française']","['E326 - Lactate de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",['France'],,,,,
984,Lardons nature (maxi format) - Auchan - 2 * 150g (300g),3596710430161,C,Lardons nature - qualité supérieure,2 * 150 g (300 g),"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice']",['Auchan'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc']",['France'],"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]","['Simply Market', 'Auchan']",['France'],"['Poitrine de porc ', 'origine France', 'sel', 'conservateurs : lactate de potassium et nitrite de sodium', 'dextrose', 'antioxydant : érythorbate de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,20 g,en quantité modérée,7.4 g,en quantité élevée,0.7 g,en faible quantité,2.7 g,en quantité élevée,?,,251,-5%,1050 kj(251 kcal),-4%,20,-7%,"7,4",-9%,"0,7",-16%,"0,7",+6%,20,+22%,"2,7",+3%,"1,08",+3%,20,+1%,E,+1%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,"['Viande Française', 'Viande Porcine Française']","['E326 - Lactate de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",['France'],,,,,
985,Yaourt mixé Mangue Vanille - Auchan - 4x 125g,3596710430833,B,"yaourt au lait entier. brassé, sucré, à la mangue, à la vanille et aromatisé, issu de l'agriculture biologique",4 x 125 g,"['Pot', 'Plastique', 'Réfrigéré']",['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']","['Toulouse', 'France']","['FR 31.555.005 CE', 'Toulouse (Haute-Garonne, France)']",['Auchan'],['France'],"['Lait entier 78%', 'mangue 10%', 'sucre de canne 7,6%', 'poudre de lait écrémé', 'amidon de maïs', 'arôme naturel', 'arôme naturel de vanille', 'extrait de vanille', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2.8 g,en faible quantité,1.8 g,en quantité modérée,14.1 g,en quantité élevée,0.11 g,en faible quantité,?,,96,-4%,402 kj(96 kcal),-3%,"2,8",-11%,"1,8",-9%,"14,5",+8%,"14,1",+14%,"3,2",-12%,"0,11",-4%,"0,044",-4%,4,+43%,C,+43%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
986,"Lemon Lime Saveur citron & citron vert - Auchan - 1,5L",3596710431939,,Boisson gazéifié saveur citron et citron vert,"1,5 L","['Bouteille', 'Plastique']",['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', 'Sodas au citron', 'Boissons avec sucre ajouté']",['France'],"['EMB 49099K', 'Cholet (Maine-et-Loire, France)']",['Auchan'],['France'],"['Eau gazéifié ', ' sucre ', ' acidifiants : acide citrique', 'acide malique ', ' arôme naturel de citron et de citron vert ', "" correcteur d'acidité : citrate trisodique"", 'arôme naturel de citron vert', 'arôme naturel']",,['Sans huile de palme'],4,0.5 g,en faible quantité,0.1 g,en faible quantité,9.4 g,en quantité élevée,0.04 g,en faible quantité,160,+36%,?,,160 kj(38 kcal),+52%,"< 0,5",+471%,"< 0,1",+545%,"9,4",+57%,"9,4",+60%,"< 0,5",+524%,"0,04",+184%,"0,016",+184%,13,+55%,E,+55%,,,,,,,,"['Nutriscore', 'Nutriscore E']","['E330 - Acide citrique', 'E296 - Acide malique', 'E331iii - Citrate trisodique']",,,,,,
987,Pizza chorizo cuite sur pierre - Auchan - 450g,3596710434350,C,,450 g,,['Auchan'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au chorizo']",,"['EMB 49331H', 'Segré (Maine-et-Loire, France)']",['Auchan'],['France'],[],,[],,11 g,en quantité modérée,5 g,en quantité modérée,1.8 g,en faible quantité,1.4 g,en quantité modérée,?,,261,+8%,1092 kj(261 kcal),+10%,11,+13%,5,+16%,29,+9%,"1,8",-44%,11,+9%,"1,4",+2%,"0,56",+2%,13,+34%,D,+34%,59.0%,18.5%,4.6%,5.4%,2.6%,9.9%,70,"['Nutriscore', 'Nutriscore D']",,,,,,,
988,Yaourt à boire saveur framboise - Auchan,3596710434633,D,,,,['Auchan'],"['Produits laitiers', 'Laits']",,,['Auchan'],['France'],"['Lait partiellement écrémé', 'sucre 8,8% arôme naturel de framboise avec autres arômes naturels de framboise avec autres arômes naturels', 'concentré des minéraux du lait', 'ferments lactiques ', 'contient lait']",['Lait'],['Non végétalien'],4,1.3 g,en faible quantité,0.9 g,en faible quantité,12 g,en quantité modérée,0.1 g,en faible quantité,?,,72,+9%,301 kj(72 kcal),+10%,"1,3",-37%,"0,9",-24%,12,+99%,12,+121%,"3,1",-13%,"0,1",-19%,"0,04",-19%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,
989,Tagliatelles - Auchan - 500g,3596710437429,,,500g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Tagliatelles']",,,['Auchan'],['France'],"['ingrédient Semoule de blé dur de Upérieure ', 'contient gluten', "" Traces éventuelles d 'œufs""]",['Gluten'],[],,1.2 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,?,,352,+11%,1473 kj(352 kcal),+11%,"1,2",-49%,"0,3",-50%,72,+19%,3,+49%,12,+9%,"0,02",-84%,"0,008",-84%,-4,,A,,,,,,,,,,,,,,,,
990,Mmm ! Saucisse de Toulouse aux Lentilles Vertes du Berry - 300g,3596710443987,B,Plat cuisiné composé d'une saucisse de Toulouse et de lentilles vertes du Berry cuisinées à la graisse de canard.,300 g,"['Plastique', 'Carton']","['Mmm !', 'Auchan']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Plats préparés à réchauffer au micro-ondes', 'Saucisses aux lentilles']",['France'],,['Auchan'],['France'],"['Saucisse de Toulouse 31 % ', 'viande de porc origine UE', 'eau', 'sel', 'dextrose', 'acidifiant : acétate de sodium', 'arômes naturels', 'épices', 'conservateurs : érythorbate de sodium et nitrite de sodium', 'lentilles vertes du Berry précuites 28 % ', 'lentilles vertes du Berry', 'eau', 'huile de colza', 'sel', 'eau', 'lardons fumés 5 % ', 'poitrine de porc origine UE', 'eau', 'sel', 'dextrose', 'conservateurs : érythorbate de sodium et nitrite de sodium', 'carottes 4 %', 'graisse de canard 3,7 %', 'concentré de tomate', 'sucre', 'épaississants : gomme xanthane et gomme guar', 'oignon en poudre', 'poivre', 'thym']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,12 g,en quantité modérée,4.3 g,en quantité modérée,0.8 g,en faible quantité,0.86 g,en quantité modérée,?,,192,+39%,803 kj(192 kcal),+40%,12,+81%,"4,3",+75%,"9,2",+14%,"0,8",-1%,10,+25%,"0,86",-9%,"0,344",-9%,4,+125%,C,+125%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,"['Point Vert', 'Produit en braille', 'Fabriqué en France']","['E262i - Acétate de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","['France', 'Union européenne', 'Berry']",,,,,
991,Bio pomme - Auchan - 380g e (4 * 95g),3596710444373,B,,380 g e (4 * 95 g),"['Carton', 'Plastique']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']",,,['Auchan'],['France'],"['Purée de pommes 99,94 %', 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.6 g,en faible quantité,0.2 g,en faible quantité,10 g,en quantité modérée,0.01 g,en faible quantité,?,,55,-14%,230 kj(55 kcal),-14%,"0,6",+103%,"0,2",+192%,12,-15%,10,-25%,"0,5",+70%,"0,01",+51%,"0,004",+51%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Produit en braille', 'Sans sucre ajouté', 'AB Agriculture Biologique']",['E300 - Acide ascorbique'],,,,,,
992,Jus pomme framboise - Auchan - 75dl,3596710444403,D,,75 dl,,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus']",['Espagne'],,['Auchan'],['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,9.3 g,en quantité élevée,0.01 g,en faible quantité,?,,39,-15%,163 kj(39 kcal),-16%,"0,5",+172%,"0,1",+232%,"9,3",-13%,"9,3",-7%,"0,5",+17%,"0,01",+5%,"0,004",+5%,3,-24%,C,-24%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Nutriscore', 'Nutriscore C']",,,,,,,
993,Tarte aux poireaux et emmental - Auchan - 130g,3596710444946,C,,130 g,"['Barquette', 'Plastique']",['Auchan'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Quiches', 'Quiches au poireau']",['France'],"['EMB 45307A', 'Selle-sur-le-Bied (Loiret, France)']",['Auchan'],['France'],"['Garniture 62 % : poireau 27 %', 'crème fraîche ', 'contient lait', 'œuf', 'emmental ', 'contient lait', ' 2,1%', 'eau', 'lait en poudre', 'amidon modifié de pomme de terre', 'amidon de blé ', 'contient gluten', 'épices', 'sel', '\r Pâte brisée 38% : farine de blé ', 'contient gluten', 'beurre ', 'contient lait', ' 10 %', 'œuf', 'eau', 'sel', ' Pourcentages exprimés sur le total de la recette']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,16 g,en quantité modérée,11 g,en quantité élevée,1.9 g,en faible quantité,1 g,en quantité modérée,?,,253,+10%,1059 kj(253 kcal),+11%,16,+22%,11,+50%,20,-2%,"1,9",-21%,"5,5",-5%,1,+12%,"0,4",+12%,17,+53%,D,+53%,69.5%,13.3%,3.6%,3.9%,2.1%,7.7%,59,['Cuisiné en France'],['E14XX - Amidons modifiés'],,,,,,
994,Yaourts brassés vanille - Auchan,3596710445141,,,,,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts brassés', 'Yaourts brassés à la vanille']",,"['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)']",['Auchan'],['France'],"['yaourt brassé sucré à la vanille ingrédients Lait entier 81 ,2%', 'sucre 10%', 'eau', 'protéines de lait', 'amidon de mdis', 'arômes naturels de vanille', 'jus concentré de citron', 'gousses de vanille épuisées', 'jus concentré de carotte', 'ferments lacti ues contient lait Élaboré à partir de lait origine France', ' conseil de conservation A conserver entre OOC et +60C', ' ISA gonsommer jusqulau : voir sur le dessus de remballage et sur les opercules', ' PotStle péïlvent être vendus Séparément', ' FR 31-555', '001 CE']",['Lait'],['Non végétalien'],4,2.9 g,en faible quantité,2 g,en quantité modérée,12.7 g,en quantité élevée,0.13 g,en faible quantité,?,,91,-6%,381 kj(91 kcal),-6%,"2,9",-4%,2,+3%,13,+5%,"12,7",+6%,"3,1",-20%,"0,13",+21%,"0,052",+21%,3,+17%,C,+17%,,,,,,,,,,,,,,,
995,Museau de porc - Auchan,3596710447121,,,,,['Auchan'],,,,['Auchan'],['France'],"['Museau de porc 52% ', 'pièEes de tête de porc ', 'Origine : UE', 'eau', 'épices ', 'poivre', 'girofle', 'muscade', 'sel', ""vinaigre d'alcool"", 'dextrose', 'sucre', 'colorant : carmins ', ' acidifiants : acide citrique', 'acide lactique ', ' conservateurs : érythorbate de sodium', 'nitrite de sodium', 'eau', 'cornichon 9,1%', 'oignons 5,7%', 'huile de colza', ""vinaigre d'alcool"", 'moutarde ', 'eau', 'graine de moutarde', ""vinaigre d'alcool"", 'sel', 'persil déshydraté 0,47%', 'amidon modifié de pomme de terre', 'épaississant : gomme xanthane', 'poivre blanc', 'sucre', 'sel', ' Contient sulfites']","['Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,172,,720 kj(172 kcal),,15,,"3,9",,"0,5",,"0,5",,"8,4",,"1,3",,"0,52",,,,,,,,,,,,,,"['E120 - Acide carminique', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",,,,,,
