,name,bar_code,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,brand,manufacturing,markets,allergens,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,additives,traceability_code,palm_ingredients,brand_owner
1970,Farine de riz biologique,8032880710047,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],0.8 g,en faible quantité,0.18 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,349,-1%,1460 kj(349 kcal),-1%,"0,8",-54%,"0,18",-59%,80,+4%,"0,5",-8%,"5,5",-20%,0,-100%,0,-100%,1,,B,,,,,,,,,B,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,,,,,
1971,Farine de riz complet biologique - Molino Brunatti,8032880710078,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']",['Bio'],['France'],['FARINE DE RIZ COMPLET BIOLOGIQUE'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2.9 g,en faible quantité,0.8 g,en faible quantité,0.5 g,en faible quantité,0.008 g,en faible quantité,?,,349,-1%,1460 kj(349 kcal),-1%,"2,9",+67%,"0,8",+84%,80,+4%,"0,5",-8%,"7,9",+15%,"0,008",-33%,"0,003",-33%,-3,,A,,,['1 kg'],['Molino Brunatti'],,['Satoriz'],,1,C,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,,,,,
1972,brandade,8032891700013,,,['France'],[],[],,,,,,,,,?,,455,,1904 kj(455 kcal),,47,,4,,"1,5",,"0,1",,"5,7",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,Ciliegine Deli di latte di bufala con panna -,8032891701348,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait de bufflonne']",,['France'],"['Lait de bufflonne', 'crème de vache UHT', 'sel', 'présure']",['Non végétalien'],25.3 g,en quantité élevée,16.4 g,en quantité élevée,1.1 g,en faible quantité,0.41 g,en quantité modérée,?,,278,+3%,1163 kj(278 kcal),+4%,"25,3",+9%,"16,4",+4%,"1,4",+89%,"1,1",+79%,"11,4",-21%,"0,41",-33%,"0,164",-33%,9,-13%,C,-13%,,,,,,,3,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,['IT 15-630 CE'],,
1974,Cannelloni - girolomoni - 250g,8032891760185,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Cannelloni préparés']","['Bio', 'Bio européen', 'IT-BIO-006']",['France'],"['Semoule de blé dur bio', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.4 g,en faible quantité,0.1 g,en faible quantité,4.2 g,en faible quantité,0.01 g,en faible quantité,?,,350,+126%,1464 kj(350 kcal),+130%,"1,4",-73%,"0,1",-95%,"70,6",+336%,"4,2",+44%,"12,5",+100%,"0,01",-99%,"0,004",-99%,-3,-219%,A,-219%,250 g,,['Girolomoni'],,,['Gluten'],3,,,,,,,,,,,,,,,
1975,Cerali,8032891762011,,"['Bio', 'Bio européen', 'IT-BIO-006']",['France'],[],[],,,,,,,,,?,,339,,1418 kj(339 kcal),,"1,4",,"0,2",,"65,5",,"0,9",,"11,9",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,Coquillettes blanches bio - Montebello,8032891769034,,"['Bio', 'Bio européen', 'IT-BIO-006']",['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,8",,"0,4",,"73,1",,"2,7",,"11,2",,"0,01",,"0,004",,,,,,,,['Montebello'],,,,,,,,,,,,,,,,,,,
1977,Pate Spirale tricolore bio - Montebello,8032891769126,,"['Bio', 'Bio européen', 'IT-BIO-006']",['France'],"['semoule de blé dur* ', 'poudre de tomate* 2%', ""poudre dépinard* 2% *Issus de l'agriculture biologique""]",[],,,,,,,,,?,,386,,1615 kj(386 kcal),,"1,8",,"0,4",,"74,3",,"5,1",,"11,4",,"0,05",,"0,02",,,,,,,,['Montebello'],,,,,,,,,,,,,,,,,,,
1978,Coquillette 1 / 2 Complete Petite - Alce nero,8032891769171,,['Bio'],['France'],['PÂTES ALIMENTAIRES BIOLOGIQUES DE SEMOULE SEMI-COMPLÈTE DE BLÉ DUR Ingrédlents : semoule semi-complète de blé dur bio'],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"1,9",,"0,4",,"71,8",,"5,5",,"11,8",,"0,05",,"0,02",,,,,,,,['Alce nero'],,,['Gluten'],,,,,,,,,,,,,,,,
1979,Coquillette Blanc Petite - Alce nero,8032891769195,,['Bio'],['France'],"['semoule do blé dur bio', ' À consommer de préfétei', ':e avant le : voir date imprimée']",[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,8",,"0,4",,"73,1",,"2,7",,"11,2",,"0,01",,"0,004",,,,,,,,['Alce nero'],,,,,,,,,,,,,,,,,,,
1980,Biscotto Regina,8032909460731,,['Sans conservateurs'],['France'],[],[],,,,,,,,,?,,491,,2054 kj(491 kcal),,"25,31",,"10,24",,"59,46",,"20,63",,"6,78",,"1,18",,"0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Eau Minerale,8032919460233,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,"0,1",,"0,1",,"0,1",,"0,1",,"0,01",,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Bolle stille,8032919460240,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,026",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,bolle stille,8032919460301,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,10,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Olio extra-vergina di oliva,8032927640306,,,['France'],[],[],,,,,,,,,?,,899,,3761 kj(899 kcal),,"99,9",,"14,46",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
