,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,additives,nova_score,categories,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,manufacturing,markets,traceability_code,allergens,palm_ingredients,link,ingredients_origins,brand_owner
654,Chocolat noir avec eclats de caramel - Chocolat Orset,7610248501608,['Chocolat Orset'],['France'],[],[],?,518,2167 kj(518 kcal),"31,6","19,3",53,"49,9","5,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Chocolat au lait Noix de Coco,7610248503305,,['France'],[],[],?,578,2418 kj(578 kcal),"40,9","19,3","46,9","45,4","5,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Chocolat noir fourré à la menthe - Orset - 100g,7610248503404,['Orset'],['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'eau', 'beurre pâtissier', 'poudre de lait entier', 'humectant : sirop de sorbitol', 'alcool pur', 'émulsifiant : lécithine de soja ', 'E322', 'poudre de lait écrémé', 'enzyme : invertase', 'vanille', 'huile naturelle de la menthe']",['Non végétalien'],?,519,2171 kj(519 kcal),"33,5","21,3","48,8",45,"5,5","0,04","0,016",,"['E420ii - Sirop de sorbitol', 'E322i - Lécithine', 'E322 - Lécithines', 'E1103 - Invertase']",4,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés', 'Chocolats fourrés à la menthe']",E,33.5 g,en quantité élevée,21.3 g,en quantité élevée,45 g,en quantité élevée,0.04 g,en faible quantité,,-2%,-1%,+2%,+17%,-1%,+3%,-2%,-32%,-32%,25,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,Chocolat noir fourré à la menthe,100 g,['Carton'],['Suisse'],['U Express'],,"['Lait', 'Soja']",,,,
657,Amandes amaretti - Chocolat Orset,7610248505804,['Chocolat Orset'],['France'],"['sucre', 'pâte de cacao', ""crème d'amandes 15%"", 'beurre de cacao', ""granules d'amaretti 10% "", 'sucre', ""noyaux d'abricots"", ""blanc d'œuf "", 'poules élevées au sol', 'amandes', 'émulsifiant : lécithine de soja', ""arôme d'amande amère"", 'arôme naturel de vanille', ' Cacao 54% min', ' ', 'chocolat noir', ' Peut contenir noix', 'noisette', 'lait', 'sésame et gluten']",['Non végétalien'],?,426,1782 kj(426 kcal),"26,3","15,4","41,9","39,6","5,4","0,08","0,032",,['E322i - Lécithine'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Fruits à coque']",,,,
658,Passion - Orset - 100g e,7610248506603,['Orset'],['France'],"['Sucre', 'pâte de cacao', 'pépites aux fruits de la passion 13,5 % ', 'purée de fruits de la passion', 'sucre', 'pomme', 'dextrose', ""fibres d'ananas"", 'épaississants : alginate de sodium ', ""extrait d'algues"", ' ', 'E401', 'phosphate de calcium ', 'E341ii', 'arômes N', 'I', ""correcteur d'acidité : acide citrique "", 'E330', 'beurre de cacao', 'arôme des fruits exotiques', 'émulsifiant : lécithine de soja ', 'E322', 'arôme naturel de vanille']",[],2132,?,2132 kj(510 kcal),"30,1","18,4","54,4","50,2","5,3","0,2","0,08","['Point Vert', 'Fabriqué en Suisse', 'Pur beurre de cacao']","['E401 - Alginate de sodium', 'E341ii - Phosphate dicalcique', 'E330 - Acide citrique', 'E322i - Lécithine', 'E322 - Lécithines']",4,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs extra fin', 'Chocolats suisses']",E,30.1 g,en quantité élevée,18.4 g,en quantité élevée,50.2 g,en quantité élevée,0.2 g,en faible quantité,-6%,,-7%,-15%,-8%,+11%,+10%,-20%,+68%,+68%,26,+10%,E,+10%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,Chocolat noir et pépites de fruits de la passion,100 g e,"['Carton', 'Aluminium']",['Suisse'],['U Express'],,['Soja'],,http://maison-orset.com/fiche-tablette-chocolat-noir-pepites-fruits-de-la-passion,,
659,Erbsen mit Karotten - Spar - 420g,7610253169855,['Spar'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",B,,,,,,,,,,,,,,,,,,,,,,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,420 g,['Büchse'],,,,,,,,
660,Erbsen mit karotten - Spar,7610253169909,['Spar'],['France'],[],[],?,63,264 kj(63 kcal),"0,5",0,9,0,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Balance graisse végétale -  - 400g,7610286000279,,"['France', 'Suisse']","['huiles végétales ', 'tournesol', 'colza', 'lin', 'graisse végétale ', 'coco', 'graisse végétale', 'totalement hydrogénée ', 'colza', 'antioxydants ', 'E306']",['Sans huile de palme'],?,900,3766 kj(900 kcal),100,24,0,0,0,"0,05","0,02",['en:palm-oil-free'],['E306 - Extrait riche en tocophérols'],2,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']",C,100 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,0.05 g,en faible quantité,,+76%,+78%,+78%,+48%,-100%,-100%,-100%,-91%,-91%,13,+12%,D,+12%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,400 g,,,,,,,,,
662,Sweet Corn -,7610294200180,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve']",B,,,,,,,,,,,,,,,,,,,,,,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,,['Can'],,,,,,,,
663,Favarger Box 36 Assortment Avelines Swiss Cross - Avelines L’Original,7610296008432,['Avelines L’Original'],['France'],"['sucre', 'pâte de cacao', 'noisettes', 'beurre de cacao', 'amandes', 'poudre de lait entier', 'cacao maigre', 'beurre laitier concentré', 'vanille', 'extrait de vanille', ' Peut contenir des traces de pistaches et noix', ' Cacao: 47,5 minimum']",['Non végétalien'],?,567,2372 kj(567 kcal),39,15,40,37,9,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,
664,Chocolat noir - Favarger - 100g,7610296031614,['Favarger'],['France'],[],[],?,575,2406 kj(575 kcal),42,22,39,35,5,"0,01","0,004",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",E,42 g,en quantité élevée,22 g,en quantité élevée,35 g,en quantité élevée,0.01 g,en faible quantité,,+3%,+4%,+7%,-5%,+1%,+10%,-35%,-79%,-79%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,100 g,,,,,,,,,
665,Favarger Milk Bar With Almonds,7610296101010,,['France'],[],[],?,584,2443 kj(584 kcal),41,20,43,42,10,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Favarger Dark Bar With Almonds,7610296101119,['Favarger'],['France'],"['Chocolat noir aux amandes - pâte de cacao', 'sucres', 'amandes ', '15%', 'beurre de cacao', 'extrait de vanille', ' Peut contenir des traces de noisette pistaches noix et produits laitiers', ' Cacao 66% minimum']",[],?,585,2448 kj(585 kcal),46,22,32,29,6,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,
667,Favarger Dark Bar With Hazelnuts,7610296101713,,['France'],[],[],?,589,2464 kj(589 kcal),47,21,30,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Chocolat - Favarger,7610296108439,['Favarger'],['France'],[],[],?,567,2372 kj(567 kcal),39,15,40,37,9,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,7610296136043,7610296136043,,['France'],[],[],?,?,,?,,?,,?,,,['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Premium swiss chocolate Pralinés de chocolat au lait - Favarger - 240g,7610296208245,['Favarger'],"['France', 'Suisse']","['Sucre', 'noisettes', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'amandes', 'vanille', 'extrait de vanille', ' Peut contenir des traces de pistaches et noix', ' Cacao: 27% minimum']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2366,?,2366 kj(565 kcal),37,13,48,46,8,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,['Fruits à coque'],,,,
671,Chocolat suisse - Favarger - 100g,7610296301618,['Favarger'],['France'],[],[],?,553,2314 kj(553 kcal),42,22,39,35,5,"0,01","0,004",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",E,42 g,en quantité élevée,22 g,en quantité élevée,35 g,en quantité élevée,0.01 g,en faible quantité,,-1%,-0%,+7%,-5%,+1%,+10%,-35%,-79%,-79%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,100 g,,,,,,,,,
672,Avelines l'Original Praliné - Favarger - 200g,7610296308327,['Favarger'],"['France', 'Suisse']","['sucre', 'pâte de cacao', 'noisettes', 'beurre de cacao', 'poudre de lait entier', 'amandes', 'cacao maigre', 'beurre laitier concentré', 'vanille', 'extrait de vanille', ' Peut contenir des traces de pistaches', 'noix et soja', ' Cacao: 45% minimum']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2321,566,2321 kj(566 kcal),39,15,41,39,8,"0,09","0,036",,,3,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,39 g,en quantité élevée,15 g,en quantité élevée,39 g,en quantité élevée,0.09 g,en faible quantité,+4%,+7%,+5%,+22%,-14%,-22%,-18%,+36%,-41%,-41%,24,-2%,E,-2%,,,,,,,,,200 g,,,,,['Fruits à coque'],,,,
673,Favarger Milk Bar With Honey and Almonds,7610296401516,['Favarger'],['France'],"['Chocolat au lait avec miel et amandes - sucre de canne brut', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'miel ', '6%', 'amandes ', '5%', 'poudre de lait maigre', ' Peut contenir des fraces de noisettes', 'pistaches et noix', ' Cacao: 38% minimum']",['Non végétalien'],?,576,2410 kj(576 kcal),37,20,51,48,8,"0,225","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,
674,Favarger Heart Metal Tin 15 Avelines,7610296408119,,['France'],[],[],?,559,2339 kj(559 kcal),36,13,51,49,7,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Pâte à tartiner - Favarger,7610296776003,['Favarger'],"['France', 'Suisse']",[],[],?,561,2347 kj(561 kcal),38,6,46,45,8,0,0,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",,38 g,en quantité élevée,6 g,en quantité élevée,45 g,en quantité élevée,0 g,en faible quantité,,+7%,+8%,+18%,-26%,-9%,+3%,+29%,-100%,-100%,21,+2%,E,+2%,,,,,,,,,,,,,,,,,,
676,Pate a tartiner - Favarger - 250gr,7610296776010,['Favarger'],"['France', 'Suisse']","['sucre', 'noisettes ', '24%', 'amandes ', '21%', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'huile de noisette', 'extrait de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,556,2326 kj(556 kcal),36,36,45,44,11,0,0,,,3,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",D,36 g,en quantité élevée,36 g,en quantité élevée,44 g,en quantité élevée,0 g,en faible quantité,,+1%,+1%,+6%,+369%,-12%,-8%,+61%,-100%,-100%,24,+16%,E,+16%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,250gr,,,,,"['Lait', 'Fruits à coque']",,,,
677,Herbamare,7610313400850,,['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,5",7,1,"0,9","89,6","35,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Hot Drink Sureau Echinaforce - 100 ML - A. vogel,7610313410958,"['À. Vogel', '100ml']",['France'],"['Jus de Sureau* noir concentré ', 'Sambucus nigra', 'L', ""extraits hydro - alcooliques de parties aériennes et de racines d'Echinacée* "", 'Echinacea purpureo', 'sirop de sucre ', 'eau', 'sucre', 'acidifiant: acide citrique', 'amidon transformé', 'eau', 'matières grasses végétales', 'conservateun ', 'sorbate de potassium', ' Alcool : 0,5% Vol bio plante bioiogique Plantes fraîches biologiques à la mise en oeuvre']","[""Pourrait contenir de l'huile de palme""]",?,?,,?,,?,,?,,,"['Bio', 'Point Vert']","['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ml,['Verre'],['Suisse'],['Natureo'],,,,http://www.avogel.fr,['Bio'],
679,Bonbons Cranberry - A.Vogel,7610313417612,['A.Vogel'],['France'],[],"['Végétalien', 'Végétarien']",?,277,1159 kj(277 kcal),0,0,47,42,1,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Melange Aromatique Doux a Germer,7610313425174,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Graines à Germer Et Mélanges,7610313425198,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,"['Bio', 'Bio européen', 'DE-ÖKO-006', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,White Chocolate Mousse - Carma,7610315003691,['Carma'],['France'],"['sucre', 'sirop de glycose séché', 'graisse végétale hydro- génée ', 'palmiste', 'beurre de cacao en poudre', 'lait écrémé en poudre', 'amidon modifié', ""émulsifiants: mono- et diglycérides d'acides gras"", ""esters acé- tiques des mono- et digly- cérides d'acides gras"", ' lait enüer en poudre', 'œuf en poudre ', 'élevées au sol', 'gélifiants: carraghénanes', 'pecünes', ' protéine lactique', 'diphospha- tee', 'arôme', ' Peut contenir du gluten', ' ', 'GB', ' INSTANTPOWDER']","['Huile de palme', 'Non végétalien']",?,518,2167 kj(518 kcal),26,21,67,55,"4,4","0,1","0,04",,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
683,Crepes ectra fines fourees au chocolat -,7610329012511,,['France'],[],[],?,521,2180 kj(521 kcal),28,18,59,37,6,"0,15","0,06",,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",D,28 g,en quantité élevée,18 g,en quantité élevée,37 g,en quantité élevée,0.15 g,en faible quantité,,+6%,+6%,+20%,+53%,-5%,+14%,-9%,-73%,-73%,24,+12%,E,+12%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,
684,rimus royale - 1000ml,7610334901046,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 ml,['Flasche'],,,,,,,,
685,Silence - Valser - 750ml,7610335003343,['Valser'],"['France', 'Suisse']",['Eau minérale naturelle non gazéifiée'],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,['Faible teneur en sodium'],,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles', 'Eau minérale naturelle non gazeuse']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,Eau minérale naturelle non gazéifiée,750 ml,['01-PET'],,,,,,,['Suisse'],
686,Salami Paprika Chips - Rapelli - 60g,7610352024598,"['Rapelli', 'Migros', 'Micarna']","['France', 'Suisse']","['Viande de porc', 'lard', 'sel nitrité pour saumure ', 'sel de culsine', 'conservateur: E250', 'paprika 1', '8%', 'protéines LACTIQUES 1', '7%', 'LACTOSE', 'fécule de pomme de terre 1', '4%', 'amidon de riz', 'amidon de tapioca', 'épices', 'glucose', 'antioxydant: E301', 'arôme']","['Non végétalien', 'Non végétarien']",1710,410,1710 kj(410 kcal),26,10,10,5,34,"4,8","1,92",['Fabriqué en Suisse'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', 'Salami de bœuf']",C,26 g,en quantité élevée,10 g,en quantité élevée,5 g,en quantité modérée,4.8 g,en quantité élevée,+1%,+6%,+6%,-20%,-23%,+549%,+564%,+67%,+27%,+27%,25,+5%,E,+5%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,60 g,,['Switzerland'],['Migros'],['CH-340'],['Lait'],,,['Suisse'],
687,Jambon,7610352431808,,['France'],[],[],?,161,674 kj(161 kcal),9,"3,4","0,9","0,1",19,"1,9","0,76","['en:gluten-free', 'Fabriqué en Suisse', 'Sans lactose']",,,"['Viandes', 'Charcuteries', 'Jambons']",,9 g,en quantité modérée,3.4 g,en quantité modérée,0.1 g,en faible quantité,1.9 g,en quantité élevée,,-5%,-4%,+17%,+17%,+36%,-81%,-19%,-34%,-34%,13,+23%,D,+23%,,,,,,,,,,,,,,,,,,
688,Lasagne alla bolognese - Ticinella,7610352941703,['Ticinella'],['France'],"['eau', 'semoule de BLÉ dur', 'pulpe de tomates', 'viande de porc 10%', 'viande de bœuf 5%', 'FROMAGE', 'ŒUFS ', ""d'élevage au sol"", '/ protéine de LAIT', 'concentré de tomates', 'farine de BLE', 'amidon de maïs', 'légumes ', 'oignons', 'carottes', 'BEURRE', ""extraits d'épices"", 'sel de cuisine', 'bouillon de viande', 'fibre végétale ', ""fibre d'agrumes"", '/ bouillon de légumes', 'herbes aromatiques', ""huile d'olive"", 'épices']","['Non végétalien', 'Non végétarien']",?,145,607 kj(145 kcal),6,3,14,2,8,1,"0,4",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,
689,Vollkorn toast complet,7610357001648,,['France'],[],[],?,263,1100 kj(263 kcal),"3,6","0,5",45,"2,5","10,1","1,62","0,648",['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Ritz - 240g,7610357001662,['Ritz'],"['France', 'Suisse']",[],[],1112,?,1112 kj(266 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,,,,,
691,Kräuterbonbons,7610369406752,,['France'],[],[],?,386,1615 kj(386 kcal),0,0,96,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,"Schweizer Schlaf Gut Tee, Mit Honig",7610369407667,,['France'],[],[],?,367,1536 kj(367 kcal),"0,5","0,1",92,90,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Vitalp Sanddorn Orange Tee,7610369408985,,['France'],[],[],?,389,1628 kj(389 kcal),0,0,"95,3","93,9","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Original Schweizer Balance Tee - Vitalp,7610369415969,['Vitalp'],['France'],[],[],?,379,1586 kj(379 kcal),0,0,94,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Vitalp Original Schweizer Pfefferminz-tee Mit Honig,7610369415976,['Vitalp'],['France'],[],[],?,375,1569 kj(375 kcal),0,0,"93,5","92,4","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Original Schweizer Gute Laune Tee - Vitalp,7610369416744,['Vitalp'],['France'],[],[],?,389,1628 kj(389 kcal),0,0,95,94,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Chasselas de Genève - Ultravins - Cave de la Côte - 25cl,7610374840725,['Ultravins - Cave de la Côte'],['France'],"['Chasselas ', 'sulfites']",['Sans huile de palme'],?,?,,?,,?,,?,,,"['AOC Suisse', 'Contient des sulfites']",,3,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs', 'Chasselas de Genève']",B,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,25 cl,"['Bouteille', 'Verre']",['Suisse'],"['OKCon 2013', 'M!P restaurants at CICG']",,['Anhydride sulfureux et sulfites'],,,['Suisse'],
698,Biscome - biza - 100g,7610381115106,['Biza'],['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,
699,Lindt Swiss Premium Chocolate Box 6 flavours - 1kg - 1kg,7610400029605,['Lindt'],['France'],[],[],?,562,2351 kj(562 kcal),36,22,52,50,"6,2","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,
700,"Lindor, Weiss - Lindt",7610400030038,['Lindt'],['France'],"['sucre', 'beurre de cacao', 'matière grasse végétale ', 'coprah', 'palmiste', 'lait entier en poudre', 'lait écrémé en poudre', 'émulsifiant ', 'lécithine de soja', 'arômes', ' Peut contenir des noisettes', 'des amandes']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,638,2669 kj(638 kcal),49,37,44,44,"5,3","0,21","0,084",,['E322i - Lécithine'],4,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,49 g,en quantité élevée,37 g,en quantité élevée,44 g,en quantité élevée,0.21 g,en faible quantité,,+21%,+21%,+53%,+113%,-16%,-7%,-10%,+37%,+37%,26,+7%,E,+7%,,,,,,,,,,,,,,['Soja'],['Huile de palme'],,,
701,"Boille à Lait Suisse Lindt 350 GR, 1 Pièce - 350g",7610400067362,['Lindt'],"['France', 'Suisse']",[],[],?,548,2293 kj(548 kcal),19,19,55,52,"6,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,
702,Chocolat - Lindor,7610400068505,['Lindor'],['France'],[],[],?,617,2582 kj(617 kcal),47,35,43,43,"4,6","0,058","0,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Lindt Chocolate Swiss Premium Almond Bar,7610400068628,['Lindt'],['France'],[],[],?,552,2310 kj(552 kcal),34,17,51,48,"8,7",78,"31,2",['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,2.5KG Lindt Piccoli Milk,7610400068970,['Lindt'],['France'],[],[],?,565,2364 kj(565 kcal),37,23,51,51,"6,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Piccoli - Lindt,7610400069045,['Lindt'],['France'],[],[],?,602,2519 kj(602 kcal),53,33,8,4,"13,9","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Lindt Dark Choc With Cherry&almond 300Gr,7610400073400,['Lindt'],['France'],[],[],?,553,2314 kj(553 kcal),36,20,46,38,"7,5","0,07","0,028",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",E,36 g,en quantité élevée,20 g,en quantité élevée,38 g,en quantité élevée,0.07 g,en faible quantité,,-1%,-0%,-9%,-13%,+19%,+20%,-2%,+50%,+50%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,
707,"Barra De Chocolate Lindt Amargo, Laranja E Amenodas",7610400073448,['Lindt'],['France'],[],[],?,547,2289 kj(547 kcal),35,19,47,37,7,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Weise Schokolade Mit Mandeln - Lindt,7610400073813,['Lindt'],['France'],"['sucre', 'beurre de cacao', 'lait entier en poudre', 'amandes', 'lait écrémé en poudre', 'sirop de glucose', 'émulsifiant lécithine de soja', 'arôme', "" Peut contenir des noisettes et d'autres fruits à coque""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,583,2439 kj(583 kcal),37,19,53,50,"8,7","0,23","0,092",,,4,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats aux amandes']",E,37 g,en quantité élevée,19 g,en quantité élevée,50 g,en quantité élevée,0.23 g,en faible quantité,,+5%,+5%,-1%,+2%,+22%,+28%,+2%,+72%,+72%,28,+23%,E,+23%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,['Fruits à coque'],,,,
709,Lindt Stracciatella,7610400073936,['Lindt'],['France'],[],[],?,589,2464 kj(589 kcal),40,25,51,46,"6,1","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Chocoletti praliné noisette - Lindt,7610400074124,['Lindt'],['France'],[],[],?,558,2335 kj(558 kcal),35,15,53,48,"6,4","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
