,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,manufacturing,traceability_code,generic_name,ingredients_origins,link,markets,palm_ingredients,brand_owner
479,Nesquik,5900020031372,,"['Nesquik', 'Nestlé']",,['France'],[],,,[],,,,,,,,,,?,,407,,1703 kj(407 kcal),,13,,"7,4",,61,,30,,7,,"0,49",,"0,196",,,,,,,,,,,,,,,,,,,,,,,
480,NESTLE NESQUIK Barres de Céréales (12+12) x 25g - 600g,5900020031419,,"['Nesquik', 'Nestlé']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['France'],"['Céréales 32,1% ', 'farine complète de BLE 22%', 'semoule de maïs', 'farine de riz', 'sirop de glucose', 'huiles végétales ', 'huiles de palmiste et de palme', 'huile de tournesol', 'LAIT concentré sucré 8,2% ', 'LAIT', 'sucre', 'sucre', 'LAIT écrémé en poudre 7,5%', 'chocolat en poudre 7,5% ', 'sucre', 'poudre de cacao', 'sirop de sucre inverti', 'humectants : glycérol et sirop de sorbitol ', ' vitamines et minéraux ', 'carbonate de calcium', 'niacine', 'fer', 'acide pantothénique', 'acide folique', 'D', 'B6', 'B2', 'maltodextrine', 'sel', 'émulsifiant : lécithine de tournesol ', ' cacao maigre en poudre', 'dextrose', ""correcteur d'acidité : phosphates de sodium "", ' arôme naturel', 'antioxydant : extrait riche en tocophérols', ' Peut contenir du soja et des fruits à coque']","['E422 - Glycérol', 'E420ii - Sirop de sorbitol', 'E322i - Lécithine', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,13 g,en quantité modérée,7.4 g,en quantité élevée,30 g,en quantité élevée,0.49 g,en quantité modérée,1711,-8%,407,-4%,1711 kj(407 kcal),-4%,13,-18%,"7,4",+24%,61,+1%,30,+10%,7,-6%,"0,49",+25%,"0,196",+25%,15,+14%,D,+14%,,,,,,,,,600 g,,,,,,,,['Huile de palme'],
481,BARRE CHOCAPIC CHOCOLAT - Nestlé,5900020031426,,"['Nestlé', 'Chocapic']",,['France'],[],,,[],,,,,,,,,,?,,408,,1707 kj(408 kcal),,"13,7",,"8,1",,"57,8",,"28,1",,"7,6",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,
482,Torunskie,5900056007655,,,,['France'],[],,,[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,"1,2",,"0,4",,77,,46,,"7,2",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,
483,Pierniczki Nadziewane,5900056008409,,,,['France'],[],,,[],,,,,,,,,,?,,369,,1544 kj(369 kcal),,"6,3",,"3,9",,71,,45,,6,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,
484,Kamis Lemon Pepper Spice Mix 20 G,5900084157018,,,,['France'],[],,,[],,,,,,,,,,?,,233,,975 kj(233 kcal),,"0,6",,"0,2",,45,,25,,"6,9",,"35,2",,"14,08",,,,,,,,,,,,,,,,,,,,,,,
485,Epice gyrosa - Kamis,5900084204873,,['Kamis'],,['France'],[],,,[],,,,,,,,,,?,,213,,891 kj(213 kcal),,"6,1",,"0,7",,19,,17,,10,,"38,8",,"15,52",,,,,,,,,,,,,,,,,,,,,,,
486,Sól morska z pieprzem czarnym - Kamis,5900084219358,,['Kamis'],,['France'],[],,,[],,,,,,,,,,?,,124,,519 kj(124 kcal),,"0,7",,"0,2",,20,,0,,"5,1",,"55,5",,"22,2",,,,,,,,,,,,,,,,,,,,,,,
487,Grill - Kamis,5900084231589,E,['Kamis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",['France'],[],,,[],,2.6 g,en faible quantité,0.2 g,en faible quantité,24 g,en quantité élevée,31.8 g,en quantité élevée,?,,878,+40%,3674 kj(878 kcal),+40%,"2,6",-95%,"0,2",-95%,29,+127%,24,+326%,"8,8",-60%,"31,8",+3663%,"12,72",+3663%,15,+250%,D,+250%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,
488,Rosol z kury - Nestlé,5900085010169,,"['Nestlé', 'Winiary']",,['France'],[],,,[],,,,,,,,,,?,,15,,63 kj(15 kcal),,"0,1",,"0,1",,"2,8",,"0,6",,"0,5",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,
