,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,manufacturing,traceability_code,generic_name,ingredients_origins,link,markets,palm_ingredients,brand_owner
803,Pates bio a la farine d'epeautre,5902751350180,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
804,Escalope de poulet poivrees,5902767600125,,,,['France'],[],,,[],,,,,,,,,,?,,155,,649 kj(155 kcal),,"6,2",,"0,9",,"6,2",,"0,4",,"17,8",,"1,32",,"0,528",,,,,,,,,,,,,,,,,,,,,,,
805,Tenders Strips -  - 800g,5902767600255,,,,['France'],[],,,[],,,,,,,,,,?,,164,,686 kj(164 kcal),,"5,6",,"0,8",,"9,7",,"0,4",,"18,3",,"1,18",,"0,472",,,,,,,,,,,,,,800 g,"['Sachet', 'Plastique', 'Surgelé']",['Pologne'],['PL 22050601 WE'],,['Pologne'],,,,
806,Cordon bleu,5902767600279,D,,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",['France'],[],,,[],,10.2 g,en quantité modérée,2.54 g,en quantité modérée,2.57 g,en faible quantité,1.9 g,en quantité élevée,?,,227,+2%,950 kj(227 kcal),+2%,"10,16",-16%,"2,54",-20%,"14,98",+8%,"2,57",+63%,"18,11",+37%,"1,9",+46%,"0,76",+46%,12,+69%,D,+69%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,
807,Crousty tenders,5902767601818,,,,['France'],[],,,[],,,,,,,,,,?,,209,,874 kj(209 kcal),,13,,2,,"8,2",,"0,6",,14,,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,,,
808,Tenders strips épicé halal,5902767602273,,,,['France'],[],,,[],,,,,,,,,,?,,198,,828 kj(198 kcal),,"8,4",,"1,1",,"13,1",,"0,8",,"16,3",,"1,42",,"0,568",,,,,,,,,,,,,['Halal'],,,,,,,,,,
809,Cocoa Dark 70% - Raw Cocoa,5902768064001,,['Raw Cocoa'],,['France'],"['Ingredicnts:  ras Cocoa beans ', 'coconut blossom Sugar ', ' Cocoa butter,Bourbon vanille Cocoa mass content min 70%', ' Ingrédients from ecological farrning']",,,[],,,,,,,,,,?,,590,,2469 kj(590 kcal),,45,,29,,33,,29,,8,,"0,2",,"0,08",,,,,,,,,,,,,"['Bio', 'Pur beurre de cacao']",,,,,,,,,,
810,Cocoa Cerise Açaï - Suro Vital,5902768064018,,['Suro Vital'],,['France'],"['fèves de cacao*', 'sucre de fleurs de coco*', 'beurre de cacao* ', 'cerises séchées*', 'baies séchée$', 'baies dtaçaì*']",,,[],,,,,,,,,,?,,587,,2456 kj(587 kcal),,43,,27,,41,,38,,6,,"0,2",,"0,08",,,,,,,,,,,,,['Bio'],,,,,,,,,,
811,Cocoa Noix De Pécan,5902768064230,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,604,,2527 kj(604 kcal),,49,,26,,27,,26,,9,,"0,2",,"0,08",,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Agriculture UE/Non UE']",,,,,,,,,,
812,Bananas in raw Chocolate 70%,5902768064292,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,447,,1870 kj(447 kcal),,23,,14,,51,,47,,5,,"0,1",,"0,04",,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Agriculture UE/Non UE']",,,,,,,,,,
813,Amandes enrobés de chocolat cru et biologique,5902768064506,,,,['France'],[],,,[],,,,,,,,,,?,,597,,2498 kj(597 kcal),,47,,20,,27,,27,,10,,"0,1",,"0,04",,,,,,,,,,,,,['Bio'],,,,,,,,,,
814,Farfalle,5902768107425,,,,['France'],[],,,[],,,,,,,,,,?,,399,,1669 kj(399 kcal),,"13,54",,"8,08",,"50,57",,"7,8",,"14,95",,"1,48",,"0,592",,,,,,,,,,,,,,,,,,,,,,,
815,Beef Stroganoff,5902768107470,,,,['France'],[],,,[],,,,,,,,,,?,,382,,1598 kj(382 kcal),,"5,9",,"1,86",,"44,2",,"7,3",,"33,7",,"3,8",,"1,52",,,,,,,,,,,,,['Sans lactose'],,,,,,,,,,
816,Exotic pleasure,5902768107562,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,374,,1565 kj(374 kcal),,"1,83",,"0,24",,"77,99",,"60,7",,"5,1",,"0,04",,"0,016",,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,,,
817,John Lemon,5902768499063,,,,['France'],[],,,[],,,,,,,,,,?,,33,,138 kj(33 kcal),,"0,03",,"0,01",,"7,8",,"7,7",,"0,07",,"0,001",,0,,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,
818,Matchbata,5902768499230,,,,['France'],[],,,[],,,,,,,,,,?,,29,,121 kj(29 kcal),,0,,0,,"6,9",,"6,4",,0,,"0,008",,"0,003",,,,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,
819,Malwa Herbata Owoc RóŻy Ekspresowa,5902781000062,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés en sachets']","['France', 'États-Unis']","['Rosehip 55%', 'hibiscus flowers 25% apple elderberry']",,,[],1,,,,,,,,,?,,2,-50%,8 kj(2 kcal),-27%,0,-100%,0,-100%,"0,4",-37%,"0,2",-12%,0,-100%,0,-100%,0,-100%,-1,-228%,A,-228%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,MALWA Tea Wojciech Fabisiak
820,Vigora,5902795003653,,,,['France'],[],,,[],,,,,,,,,,?,,103,,431 kj(103 kcal),,5,,0,,66,,3,,"1,7",,"62,7",,"25,08",,,,,,,,,,,,,,,,,,,,,,,
821,Tortilla,5902808780175,,,,['France'],[],,,[],,,,,,,,,,?,,310,,1297 kj(310 kcal),,"6,9",,3,,"52,2",,"4,5",,"8,5",,"1,3",,"0,52",,,,,,,,,,,,,['Halal'],,,,,,,,,,
822,Peanut butter crunchy,5902811801584,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes', 'Beurres de cacahuetes croustillants']",['France'],[],,,[],,52.4 g,en quantité élevée,7 g,en quantité élevée,4.4 g,en faible quantité,0.01 g,en faible quantité,?,,637,+13%,2665 kj(637 kcal),+13%,"52,41",+16%,7,-11%,"4,7",-64%,"4,4",-26%,"29,2",+27%,"0,01",-98%,"0,004",-98%,13,-4%,D,-4%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,
823,Peanut butter,5902811803359,,,,['France'],[],,,[],,,,,,,,,,?,,637,,2665 kj(637 kcal),,"52,41",,7,,"4,7",,"4,4",,"29,2",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
824,Dr Pepper,5902860411406,,,,['France'],[],,,[],,,,,,,,,,?,,28,,117 kj(28 kcal),,0,,0,,"6,9",,"6,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
825,"Müsli ""für ihn""",5902884460701,,,,['France'],[],,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,"23,4",,"5,2",,"42,7",,"7,9",,"15,8",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,
826,Müsli,5902884460732,,,,['France'],[],,,[],,,,,,,,,,?,,395,,1653 kj(395 kcal),,14,,"6,9",,"50,4",,"12,3",,"10,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
827,5902899128566,5902899128566,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Fudge Vanilla With Sea Salt,5903002500187,,['Fudge'],,['France'],"['soja tec cit pinda en noot', ' ', 'FRI Ingrédicnts: sucre', 'matières grasqns végétales ', 'palme', 'palmiste', 'strop de— ', 'Itucose', 'lait de mer Zutaten: de soja', 'arôme ', 'vanille']",,,['Huile de palme'],4,,,,,,,,,?,,471,,1971 kj(471 kcal),,20,,14,,71,,61,,"2,1",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],
829,Pate de sesame Tahin - Foods by Ann,5903018050577,C,['Foods by Ann'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",['France'],[],,,[],,56.4 g,en quantité élevée,21.3 g,en quantité élevée,0.3 g,en faible quantité,0 g,en faible quantité,?,,633,-1%,2648 kj(633 kcal),-0%,"56,4",+1%,"21,3",+157%,"8,6",+35%,"0,3",-52%,18,-20%,0,-100%,0,-100%,17,+28%,D,+28%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,"['Bio', 'Bio européen']",,,,,,,,,,
830,Kinderglace -,5903021302601,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Kluseczki,5903077001046,,,,['France'],[],,,[],,,,,,,,,,?,,367,,1536 kj(367 kcal),,2,,"0,7",,75,,"2,4",,12,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,
832,Buri Beri apple,5903240250035,,['Buri Beri'],,['France'],"['Für 100 Produkt wurdén 537,5 4', 'Âbfeln* benutzt', ' Ohne Zeckt ZUSatz', ' Kann Spuren von Nüssej:uno Sesam entnatten * Organic / Bio']",,,[],,,,,,,,,,?,,331,,1385 kj(331 kcal),,"2,7",,"0,3",,67,,65,,"2,7",,"0,33",,"0,132",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Sans sucre ajouté', 'PL-EKO-07']",,,,,,,,,,
833,Buri Beri,5903240250059,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,303,,1268 kj(303 kcal),,"2,7",,"0,2",,60,,58,,"3,2",,"0,25",,"0,1",,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'Sans sucre ajouté', 'PL-EKO-07']",,,,,,,,,,
834,Leinsamenbrot Zucchini - Papagrin,5903240250196,,['Papagrin'],,['France'],"['courgette', 'graines de lin', 'oignon', 'graines de potiron', 'graines de sésame non décortiquées', 'graines de tournesol', 'noix de coco', 'cumin', 'ail sel marin']",,,[],,,,,,,,,,?,,401,,1678 kj(401 kcal),,29,,6,,22,,4,,15,,0,,0,,,,,,,,,,,,,['Bio'],,,,,,,,,,
835,BioGRANOLA Cacao,5903240250554,,,,['France'],[],,,[],,,,,,,,,,?,,459,,1920 kj(459 kcal),,"16,7",,"1,8",,"56,6",,"21,9",,"13,5",,"0,07",,"0,028",,,,,,,,,,,,,"['Bio', 'en:gluten-free', 'Agriculture UE/Non UE']",,,,,,,,,,
836,Molly IPA - Doctor Brew - 500ml,5903240674152,C,['Doctor Brew'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières ambrées', 'Bières artisanales', 'en:India Pale Ale', 'Bières polonaises']",['France'],['Contient du gluten'],,['Gluten'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Déconseillé à certaines catégories de personnes', 'Déconseillé aux femmes enceintes']",500 ml,"['Bouteille', 'Verre']",['Pologne'],,,,,['Hopstore'],,
837,Petillant de listel,5903240799879,,['Listel'],['Boissons'],['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,12.6 g,en quantité élevée,0.02 g,en faible quantité,?,,60,+7%,251 kj(60 kcal),+4%,"0,1",-71%,"0,1",-15%,"14,9",+32%,"12,6",+33%,"0,2",-60%,"0,02",-52%,"0,008",-52%,18,+135%,E,+135%,,,,,,,,"['Sans sucre ajouté', 'Sans conservateurs']",,,,,,,,,,
838,Halva,5903240955169,,,,['France'],[],,,[],,,,,,,,,,?,,546,,2284 kj(546 kcal),,"35,1",,"8,6",,"40,8",,32,,"15,3",,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Dzem,5903295010165,,,,['France'],[],,,[],,,,,,,,,,?,,153,,640 kj(153 kcal),,0,,0,,36,,32,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
840,Confiture extra d'abricots -,5903295012701,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],"['Abricot', 'eau', 'sirop de glucose-fructose', 'scure', 'gélifant: pectine ', 'E440', ""correcteurs d'acidité: acide citrique "", 'E330', ' et lactate de calcium ', 'E327', 'agent épaississant: gomme de guar ', 'E412', 'antioxydant: acide ascorbique']","['E440 - Pectines', 'E330 - Acide citrique', 'E327 - Lactate de calcium', 'E412 - Gomme de guar', 'E300 - Acide ascorbique']",,[],4,0 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0 g,en faible quantité,634,-31%,?,,634 kj(152 kcal),-31%,0,-100%,0,-100%,36,-32%,27,-47%,0,-100%,0,-100%,0,-100%,5,-44%,C,-44%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
841,Koreczki Sledziiwe,5903366000491,,,,['France'],[],,,[],,,,,,,,,,?,,338,,1414 kj(338 kcal),,"32,7",,"3,3",,"3,3",,"1,9",,"8,9",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,
842,Ogorki kwaszone - Saint Eloi,5903386022978,,['Saint Eloi'],,['France'],"['Skhdniki: cd', 'przwaswy dirzan', 'amk', ' Najlepiej spoiyé przed: data na kalendarium', ' Datajest rôwnoaeSnie oznaaeniem partii', ' Przed10wywaéw dfodnym i zadenionym miejscu', ' Po otwardu ptzedmowalw 44kJlÂ0kd']",,,[],,,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,"1,7",,0,,"0,7",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,['Intermarché'],,
843,Classic groundait,5903427955258,,,,['France'],[],,,[],,,,,,,,,,?,,50,,209 kj(50 kcal),,35,,2,,12,,10,,14,,50,,20,,,,,,,,,,,,,,,,,,,,,,,
844,Ciasteczka Owsiane Migdałowe,5903453002032,,,,['France'],[],,,[],,,,,,,,,,?,,408,,1707 kj(408 kcal),,"7,2",,"4,9",,"77,2",,"7,2",,"10,3",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,
845,Musli owocowe,5903874560302,,,,['France'],[],,,[],,,,,,,,,,?,,421,,1761 kj(421 kcal),,16,,"3,6",,51,,14,,"9,6",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,
846,COCONUT - Tao Tao,5903882311460,,['Tao Tao'],,['France'],[],,,[],,,,,,,,,,?,,171,,715 kj(171 kcal),,?,,"15,9",,?,,2,,"0,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
847,Gołąbki,5903895628845,,,,['France'],[],,,[],,,,,,,,,,?,,52,,218 kj(52 kcal),,"1,4",,"0,4",,"7,7",,"2,1",,"2,1",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
848,Préparation à Base de Tomates - Repas Inteligent - 350g,5903895634891,,['Repas Inteligent'],,['France'],"['Eau', 'tomates tamisées [tomate', 'jus de tomate', ""correcteur d'acidité "", 'acide citrique', '] ', '16,72%', 'oignon frit ', 'oignon', 'huile de colza', 'carotte', 'pâte feuilletée ', '6%', ' [œuf pasteurisé', 'eau', 'farine de blé', 'matière grasse végétale de palme', 'sel]', 'concentré de tomate ', '4%', 'céleri', 'mozzarella [lait pasteurisé', 'sel', 'présure microbienne', ""cultures bactériennes d'acide lactique"", 'amidon de pomme de terre] ', '2%', ""mélanges d'épices "", 'arômes', 'sel', 'glucose', 'épices ', 'contient céleri', 'amidon modifié', 'sucre', 'farine de blé', 'sel', 'poivre blanc', 'basilic ', '0,05%', ""5'-ribonudéotides disodiques "", '0,01%', 'quatre épices', 'feuille de laurier', '   Peut contenir des traces de poissons', 'soja', 'moutarde,']","['E330 - Acide citrique', 'E14XX - Amidons modifiés']","['Céleri', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,81,,339 kj(81 kcal),,"3,7",,"1,5",,"9,3",,"3,8",,"1,6",,"1,32",,"0,528",,,,,,,,,,,,,['Sans colorants'],350g,,,,,,,,,
849,Bella vista préliminaire chocolates - 216g,5904031091783,,['Bella vista'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,216g,,,,,,,,,
850,Golabki w sosie pomidorowym,5904031096207,,,,['France'],[],,,[],,,,,,,,,,?,,109,,456 kj(109 kcal),,"5,4",,"2,4",,"9,9",,"3,7",,"4,2",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
851,Pates,5904242003681,,,,['France'],[],,,[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,4",,"0,6",,74,,"2,4",,11,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
852,Noble essence - kowowa - 100g,5904277119333,,['Kowowa'],,"['France', 'Thaïlande']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,100g,,,,,,,,,
853,Podravka Vegeta Assaisonnement,5904353039050,,['Podravka'],,['France'],[],,,[],,,,,,,,,,?,,164,,686 kj(164 kcal),,"0,5",,"0,2",,32,,22,,"8,5",,"56,9",,"22,76",,,,,,,,,,,,,,,,,,,,,,,
854,Kasza Gryczana,5904539500404,,,,['France'],[],,,[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,"3,1",,"0,6",,"0,8",,"0,7",,"12,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
855,Barszcz ukrainski,5904603191798,,,['en:Salted snacks'],"['France', 'États-Unis']","['Beets 25%', 'spring water', 'potatoes 20%', 'fresh white cabbage 15%', 'carrots 4%', 'tomato paste', 'onion', 'garlic', 'citric acid-acidity regulator', 'vegetable oil', 'salt', 'bay leaf', 'marjoram', 'lovage', 'parsley', 'turnip', 'parsnip', 'leek']",,,"[""Pourrait contenir de l'huile de palme""]",3,1.29 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.88 g,en quantité modérée,?,,47,-57%,197 kj(47 kcal),-57%,"1,29",-76%,0,-100%,"7,76",-42%,0,-100%,"2,16",+65%,"0,88",-57%,"0,352",-57%,1,-88%,B,-88%,,,,,,,,,,,,,,,,,,POLISH GARDEN
856,Bierre brune,5904730014298,,,,['France'],[],,,[],,,,,,,,,,?,,15,,63 kj(15 kcal),,1,,0,,12,,2,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Canneberge sirop biologique,5904730051453,,,,['France'],[],,,[],,,,,,,,,,?,,218,,912 kj(218 kcal),,"0,3",,"0,03",,"83,1",,"81,7",,"0,4",,0,,0,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,
858,Pasta macaroni,5904730161237,,,,['France'],[],,,[],,,,,,,,,,?,,357,,1494 kj(357 kcal),,"2,3",,"0,3",,79,,"0,6",,"7,1",,"0,01",,"0,004",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
859,Mother Venus Pineapple & Melon Imperial Gose - Browar Kingpin - 33cl,5904730290333,C,['Browar Kingpin'],"['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],"['eau', ""malt d'orge "", 'pils', 'acidifié', 'malt de blé', 'houblons ', 'Lubelski', 'Saaz', 'lactose', 'sucre candi blanc', 'sel', 'coriandre', ""arômes naturels d'ananas et de melon"", 'levure ', 'Fermentis Safbrew WB-06']",,"['Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Point Vert', 'Déconseillé aux femmes enceintes', 'PIL']",33 cl,"['Bouteille', 'Verre', 'Capsule', 'Métal']",,,Bière,,http://browarkingpin.pl/fr/#/beers/1735,,,
860,Przepakanka Zbojnicka - Wodki Regionalne - 500ml,5904730845090,,['Wodki Regionalne'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,500 ml,,,,,,,,,
861,Togolo - Baby Délice,5904852000360,,['Baby Délice'],,['France'],"['sucre', ""sirop d'amidon"", 'acidifiant: acide Citrique', 'arômes', 'colorants: curcumine', 'complexe cuivre-chloroohylle', 'caramel', 'charbon végétal', 'carotène', 'rouge de betterave', 'concentré de spiruline']","['E330 - Acide citrique', 'E100 - Curcumine', 'E150 - Caramel', 'E153 - Charbon végétal médicinal', 'E160a - Carotènes mélangés', 'E162 - Rouge de betterave']",,"[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,387,,1619 kj(387 kcal),,"0,1",,"0,01",,"96,3",,"75,9",,"0,1",,"0,08",,"0,032",,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
862,Kabanosy - Krakus - 180g,5904906810778,,['Krakus'],,['France'],[],,,[],,,,,,,,,,?,,476,,1992 kj(476 kcal),,40,,16,,2,,2,,27,,4,,"1,6",,,,,,,,,,,,,,180 g,,,,,,,,,
863,Ronin,5904941751937,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,11,,11,,"0,35",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,
864,Cooking Spray,5905133523905,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,
865,Aloe Vera Drink,5905133528610,,,,['France'],[],,,[],,,,,,,,,,?,,34,,142 kj(34 kcal),,0,,0,,"8,5",,"8,2",,0,,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,
866,Monster Munch Crispy Potato Snack With Pizza Flavour 100 G - Lorenz,5905187002050,,['Lorenz'],,['France'],"['palm oil*', 'potato puree powder ', '20%', 'corn starch', 'wheat flour', 'potato starch ', '12%', 'Sugar', 'salt', 'sweet whey powder from milk', 'Onion powder', 'tomato powder', 'fructose', 'flavouring ', 'contains milk products', 'paprika powder', 'parsley', 'thyme', 'oregano', 'yeast', 'smoke flavourings', 'yeast extract', 'flavour enhancers: monosodium glutamate', 'disodium guanylate', ' colours: paprika extract', 'annato', '\r*certified sustainable palm oil']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E160c - Extrait de paprika']",['Gluten'],['Huile de palme'],4,,,,,,,,,?,,535,,2238 kj(535 kcal),,29,,13,,64,,"6,1",,"3,5",,"2,8",,"1,12",,,,,,,,,,,,,['Huile de palme durable'],,,,,Potato snacks With pizza flavour,,,,,
867,Apple gyoza - Ajinomoto,5905279248021,,['Ajinomoto'],['Desserts'],"['France', 'Espagne']",[],,,[],,0.3 g,en faible quantité,0.2 g,en faible quantité,16 g,en quantité élevée,0.3 g,en quantité modérée,?,,133,-25%,556 kj(133 kcal),-25%,"0,3",-96%,"0,2",-94%,29,+22%,16,-13%,"3,2",+1%,"0,3",+126%,"0,12",+126%,4,-41%,C,-41%,,,,,,,,,,,,,,,,,,
868,Skinny Noodles Defatted Cocoa Powder () Von Skinny Noodles,5905279424821,,,,['France'],[],,,[],,,,,,,,,,?,,239,,1000 kj(239 kcal),,1,,"0,6",,"11,7",,"0,6",,"24,9",,23,,"9,2",,,,,,,,,,,,,,,,,,,,,,,
869,Champignons de Paris blancs - Sans marque - 250g,5905279488021,B,"['Sans marque', 'Andrzej Borkowski']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Légumes frais', 'Champignons de Paris', 'Champignons frais', 'Champignons de Paris entiers']",['France'],"['Champignons de Paris blancs calibre moyen', 'cat I']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,['Catégorie I'],250 g,"['Barquette', 'Plastique']",,,,['Pologne'],,,,
870,Akvo Boisson à l'eau et aux pommes et vitamine naturelle 315 ml,5905279734005,,['Akvo'],['Boissons'],['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,5.1 g,en quantité modérée,0.01 g,en faible quantité,?,,21,-62%,88 kj(21 kcal),-63%,"0,5",+44%,"0,1",-15%,"5,1",-55%,"5,1",-46%,"0,5",+1%,"0,01",-76%,"0,004",-76%,7,-9%,D,-9%,,,,,,,,,,,,,,,,,,
871,Al-Raii sweets,5905279948419,,,,['France'],[],,,[],,,,,,,,,,?,,240,,1004 kj(240 kcal),,"16,22",,"16,22",,"5,81",,"5,81",,"8,71",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
872,Concombres Aigres-Doux - Yarden,5905443444068,,['Yarden'],,['France'],[],,,[],,,,,,,,,,?,,29,,121 kj(29 kcal),,"0,1",,"0,02",,"5,7",,4,,"0,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
873,Filets de harengs a la moutarde -,5905543620423,B,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Harengs', 'Harengs marinés', 'Filets de harengs']",['France'],[],,,[],,26 g,en quantité élevée,3 g,en quantité modérée,0.5 g,en faible quantité,2.4 g,en quantité élevée,?,,310,+76%,1297 kj(310 kcal),+82%,26,+126%,3,+20%,9,+217%,"0,5",-66%,16,+33%,"2,4",-3%,"0,96",-3%,15,+25%,D,+25%,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,,,,,,,,,,,
874,Na cholesterol - Zioła Mnicha - 20c 2g,5905548351414,,['Zioła Mnicha'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,20 c 2 g,,,,,,,,,
