,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,ingredients_origins,traceability_code,markets,link,producer_info,origin_detail
303,Filet mignon fumé fumé au bois de hêtre - Casino - 18tranches environ (90g),3222476440570,,Filet mignon de porc fumé,18 tranches environ (90 g),,['Casino'],,['Fumé au bois de hêtre'],,['France'],"['Filet mignon de porc - sel - stabilisant : citrate de sodium - dextrose - acidifiant : acétate de sodium - antioxydant : ascorbate de sodium - épices - plante aromatique - conservateur : nitrite de sodium', ' Fumage au bois de hêtre']","['E331 - Citrates de sodium', 'E262i - Acétate de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,560,,132,,560 kj(132 kcal),,"1,9",,"0,7",,"1,8",,1,,27,,3,,"1,2",,,,,,,,,,,,,,,"['EMB 72331A', 'Sceaux-sur-Huisne (Sarthe, France)']",['Casino'],,,
304,Velouté courgettes et chèvre - Casino - 1l,3222476442710,,Velouté de courgettes au fromage de chèvre en poudre,1 l,,['Casino'],,,,['France'],"[""Eau - courgettes 25% - oignons - pommes de terre,- épinards - crème - amidon transformé de maïs - fromage de chèvre reconstitué 1% - sucre - sel - huile d'olive - huile de tournesol - arômes - lait écrémé en poudre - sirop de glucose - protéines de lait"", ' traces éventuelles de_céleri_', 'gluten', 'crustacés', 'poisson', 'mollusques', 'moutarde', 'œuf', 'soja', 'fruits à coque']",['E14XX - Amidons modifiés'],['Lait'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,171,,41,,171 kj(41 kcal),,"1,7",,"0,8",,"4,9",,"2,1",,"1,2",,"0,76",,"0,304",,,,,,,,,,,,,,,,['Casino'],,,
305,"100% Pur Jus Fruits du Verger - Pomme, Abricot, poire, Raisin, Pêche - Casino - 3l",3222476542823,D,"Jus multifruits à base de jus et de purées (Pomme, Abricot, Poire, Raisin et Pêche)",3 l,,['Casino'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,['France'],"[""Jus de pomme 66% - purée d'abricot 10% - purée de poire 8% - jus de raisin blanc 8% - purée de pêche 8%""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,204,+1%,48,0%,204 kj(48 kcal),+2%,"0,2",+14%,0,-100%,11,0%,10,-4%,"0,7",+78%,0,-100%,0,-100%,4,-10%,C,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,['Casino'],,,
306,Beurre moulé demi sel BIO - Casino Bio - 250g,3222476558466,D,Beurre moulé demi-sel pasteurisé issu de l'agriculture biologique - 80% de matières grasses minimum,250 g,"['Feuille', 'Papier', 'Frais']","['Casino Bio', 'Casino']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",['France'],['France'],"['crème de lait pasteurisée* ', 'origine : ue', ' - sel 2% - ferments lactiques ', 'contient lait', ""* ingrédient issu de l'agriculture biologique""]",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,80 g,en quantité élevée,55 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,2980,+2%,725,+1%,2980 kj(725 kcal),-1%,80,+1%,55,+2%,"0,5",-33%,"0,5",-19%,"0,7",+3%,2,-3%,"0,8",-3%,26,-2%,E,-2%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,"['EMB 35239C', 'Retiers (Ille-et-Vilaine, France)', 'FR 35.239.005 CE', 'Retiers (Ille-et-Vilaine, France)']",['Casino'],,,
307,Chair de tomates nature - Casino - 400g,3222476599339,A,Chair de tomates nature,400 g,"['boîte', 'boîte']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve']",,,"['France', 'Allemagne', 'La Réunion']","['Pulpe de tomates 90% - triple concentré de tomates 8% - amidon transformé de maïs - sucre - sel - acidifiant : acide citrique', ' traces de blé', 'céleri', 'sésame', 'lait et moutarde']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,4.8 g,en faible quantité,0.4 g,en quantité modérée,144,+13%,34,+10%,144 kj(34 kcal),+17%,0,-100%,0,-100%,"6,4",+47%,"4,8",+30%,"1,2",-10%,"0,4",+59%,"0,16",+59%,-4,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,['France'],"['EMB 84080B', 'Monteux (Vaucluse, France)']",['Casino'],,,
308,Boulettes végétariennes à l'orientale & boulgour - Casino - 300g,3222476606044,,Boulettes végétariennes cuisinées aux épices orientales et légumes et au boulgour,300 g,,['Casino'],,['Végétarien'],,['France'],"['boulgour précuit 43% ', 'eau - boulgour - sel', ' - boulettes végétariennes 22% ', 'eau - protéines végétales ', 'soja - gluten de blé - pois', "" - huile de tournesol - oignon - blanc d'oeuf - pomme de terre - purée de tomate - amidon transformé de maïs - arômes - plantes aromatiques et épices - amidon "", 'blé - maïs', ' - dextrose - colorant : caramel ordinaire - acidifiant : acide citrique - minéral : fumarate ferreux - vitamine b12', ' - eau - courgettes 3,3% - oignons 3,3% - poivrons rouges 3,3% - concentré de tomate - huile de colza - ail - farine de blé - sucre - sel - épices raz el hanout 0,1% - cumin 0,04% - poivre - arômes naturels - colorant : e160c', 'elaboré dans un atelier utilisant : poisson', 'moutarde']","['E14XX - Amidons modifiés', 'E150a - Caramel E150a', 'E330 - Acide citrique', 'E160c - Extrait de paprika']","['Œufs', 'Gluten', 'Soja']","['Non végétalien', 'Végétarien']",4,,,,,,,,,512,,122,,512 kj(122 kcal),,"3,4",,"0,4",,14,,"1,7",,"6,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,['Casino'],,,
309,Eau aromatisée saveur tropical - Casino - 1.5l,3222476606747,,Boisson à base d'eau de source aromatisée tropical,1.5 l,"['Bouteille', 'PET']",['Casino'],"['Boissons', 'Eaux', 'Eaux aromatisées', 'Boissons avec sucre ajouté']",,,['France'],"['Eau de source Drômeline 97', '2% - sucre - acidifiant : acide citrique - jus de mangue à base de concentré 0', '1% - jus de fruits de la passion à base de concentré 0', '1% - arômes - antioxydant : acide ascorbique - colorants : lutéine et carmins']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E161b - Lutéine', 'E120 - Acide carminique']",,"['Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,3.9 g,en quantité modérée,0.03 g,en faible quantité,68,+70%,16,+78%,68 kj(16 kcal),+84%,0,-100%,0,-100%,4,+88%,"3,9",+97%,0,-100%,"0,03",+133%,"0,012",+133%,6,+77%,D,+77%,,,,,,,,,,"['EMB 26174B', 'Margès (Drôme, France)']",['Casino'],,,
310,Flammekueche de Moselle - Casino Ca Vient D'Ici - 260g,3222476610935,C,"Tarte à pâte fine crue garnie de crème fraîche, de lardons fumés et d'oignons surgelée",260 g,,"[""Casino Ca Vient D'Ici"", 'Casino']","['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",,,['France'],"['crème fraîche épaisse 34,6% [crème - ferments lactiques ', 'contient lait', '] - farine de blé - lardons crus fumés 15,4% [poitrine de porc ', 'origine : ue', ' - sel - dextrose - arôme de fumée - acidifiant : acide citrique - arômes - antioxydant : érythorbate de sodium - conservateurs : nitrate de potassium', 'nitrite de sodium - épices] - eau - oignons 9,6% - huile de tournesol - sel', ' traces de céleri', 'moutarde', 'œufs et soja']","['E330 - Acide citrique', 'E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,8.9 g,en quantité élevée,2.6 g,en faible quantité,1.2 g,en quantité modérée,1109,+12%,266,+14%,1109 kj(266 kcal),+14%,17,+45%,"8,9",+68%,22,-9%,"2,6",-22%,"5,7",-18%,"1,2",-4%,"0,48",-4%,15,+32%,D,+32%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,['Casino'],,,
311,L'Extraordinaire Muesli Graines et Chocolat - Casino - 350g,3222476615312,B,Pépites croustillantes de céréales aux graines et chocolat,350 g,"['Carton', 'Boîte', 'Sachet', 'Plastique']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis au chocolat']",,,['France'],"[""Flocons d'avoine complet 50% - flocons de blé complet 14% - sucre de canne - pastilles de chocolat 9% "", 'sucre - pâte de cacao - beurre de cacao - émulsifiant : lécithine de tournesol', ' - huile de tournesol - amandes en lamelles avec peau 4% - noix de macadamia en morceaux 4% - graines de tournesol 3% - cacao en poudre - arômes naturels - antioxydant : extrait riche en tocophérols', ' traces de soja', 'lait', 'autres fruits à coque']","['E322i - Lécithine', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Fruits à coque', 'Avoine']",[],4,26 g,en quantité élevée,4.1 g,en quantité modérée,17 g,en quantité élevée,0.01 g,en faible quantité,2082,+12%,499,+13%,2082 kj(499 kcal),+13%,26,+64%,"4,1",-21%,50,-19%,17,-11%,12,+29%,"0,01",-96%,"0,004",-96%,8,-12%,C,-12%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,['Casino'],,,
312,Tartinable fromager au thon - Casino - 140g,3222476625410,,"Préparation à base de fromage au lait pasteurisé, de thon listao et de colin d'Alaska",140 g,"['Pot', 'Plastique']",['Casino'],"['Produits à tartiner', 'Produits à tartiner salés']",,,['France'],"['_fromage_au lait pasteurisé 30% [lait écrèmé - crème - protéines de lait - sel - ferments lactiques ', 'contient lait', ""] - thon listao 27% - colin d'alaska 11% - huiles végétales "", 'colza', 'tournesol', ' - crème fraîche légère - eau - fibre de blé - échalote - ciboulette - fécule de manioc - sel - jus de citron concentré déshydraté - épaississant : gomme xanthane - jus de citron concentré - poivre', ' \r traces de crustacés', 'œufs', 'soja', 'céleri', 'moutarde et mollusques']",['E415 - Gomme xanthane'],"['Poisson', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,5.4 g,en quantité élevée,1.8 g,en faible quantité,1.1 g,en quantité modérée,870,-29%,210,-29%,870 kj(210 kcal),-29%,17,-35%,"5,4",-30%,"3,2",-9%,"1,8",+42%,"9,7",+11%,"1,1",-17%,"0,44",-17%,9,-28%,C,-28%,,,,,,,,,,,['Casino'],,,
313,Velouté de légumes du soleil - Casino - 1l,3222476654717,B,"Velouté de légumes, potage prêt à consommer",1 l,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",,,['France'],"[""Eau - jus de tomates à base de concentré 29% - carottes 5,8% - _céleri-_rave - poivrons rouges 5,8% - courgettes 5,8% - oignons réhydratés 4,7% - poireaux 3,7% - haricots verts - huile d'olive vierge extra 1,5% - sucre - amidon transformé de maïs - sel - arôme naturel - poudre d'ail - extrait de levure""]",['E14XX - Amidons modifiés'],['Céleri'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1.8 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.6 g,en quantité modérée,170,+6%,41,+5%,170 kj(41 kcal),+4%,"1,8",+17%,"0,3",-50%,"4,5",-5%,"2,3",+24%,"0,9",+6%,"0,6",-7%,"0,24",-7%,0,-100%,B,-100%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,['Casino'],,,
314,Mini yaourts à boire saveur fraise - Les Doodingues de Casino - 6x 100g,3222476704689,E,"Yaourt à boire, sucré, aromatisé saveur fraise",6 x 100 g,,"['Les Doodingues de Casino', 'Casino']","['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,['France'],"['lait écrémé - lait écrémé reconstitué - sucre 9,8% - crème - concentré des minéraux du lait - arôme naturel - ferments lactiques ', 'contient lait', ' - vitamine d', '\r lait et crème origine : france']",,['Lait'],['Non végétalien'],4,1.5 g,en quantité modérée,1 g,en quantité modérée,13 g,en quantité élevée,0.12 g,en faible quantité,343,+12%,81,+12%,343 kj(81 kcal),+13%,"1,5",-1%,1,+6%,14,+24%,13,+21%,"2,9",0%,"0,12",+13%,"0,048",+13%,19,+19%,E,+19%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,['Casino'],,,
315,Petit salé aux lentilles vertes - Casino - 320g,3222476715418,C,"Plat cuisiné à base de lentilles vertes, de saucisse fumée cuite et d'épaule de porc traitée en salaison",320 g,,['Casino'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Petits salés aux lentilles']",,,['France'],"['Lentilles vertes cuites 40% ', 'lentilles - eau', ' - eau - saucisse fumée cuite 15% [viande de porc 14% - gras de porc - eau - sel - arômes naturels - conservateurs : érythorbate de sodium', ""nitrite de sodium - boyau naturel de porc] - épaule de porc traitée en salaison 12% [épaule de porc 10% - eau - sel - conservateur : nitrite de sodium] - carotte 6,2% - oignon 3,1% - vin rouge - pulpe d'ail - arômes naturels "", 'contient lactose', "" - sel - farine de blé - persil - épaississant : gomme xanthane - maltodextrine - graisse et viande de poulet - fécule de pomme de terre - lactose - extrait d'oignon"", ' viande de porc origine : france']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6 g,en quantité modérée,2.2 g,en quantité modérée,0.6 g,en faible quantité,0.85 g,en quantité modérée,569,+19%,136,+8%,569 kj(136 kcal),+12%,6,+25%,"2,2",+34%,"9,5",+22%,"0,6",-21%,"9,7",+2%,"0,85",-8%,"0,34",-8%,-1,,A,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,['Casino'],,,
316,Terre & saveurs,3222476741769,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,242,,1013 kj(242 kcal),,"1,1",,"0,5",,48,,"1,1",,"8,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
317,Les Célèbres Florentins au Chocolat lait - Casino Délices - 100g,3222476744401,C,"Biscuits parsemés d'amandes et de noisettes, nappés de chocolat au lait",100 g,,"['Casino Délices', 'Casino']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits secs', 'Florentins', 'Biscuits au chocolat au lait']",,,['France'],"['Chocolat au lait 30 % ', 'sucre - beurre de cacao - lait entier en poudre - pâte de cacao - émulsifiant : lécithines de soja - arôme naturel de vanille', "" - amandes 19 % - sucre - noisettes 13% - sirop de glucose - dextrose - sirop de glucose-fructose - beurre concentré - sirop de sucre inverti - zestes d'orange - zestes de citron vert - zestes de citron jaune - crème en poudre - blanc d'œuf en poudre - lait écrémé en poudre - acidifiant : acide citrique"", ""Traces de céréales contenant du gluten et d'autres fruits à coque""]","['E322i - Lécithine', 'E330 - Acide citrique']","['Œufs', 'Lait', 'Fruits à coque', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,34 g,en quantité élevée,10 g,en quantité élevée,42 g,en quantité élevée,0.1 g,en faible quantité,2291,+3%,549,+4%,2291 kj(549 kcal),+4%,34,+11%,10,-24%,49,-9%,42,-1%,10,+31%,"0,1",-50%,"0,04",-50%,21,-11%,E,-11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['EMB 75110X', 'Paris 10e  Arrondissement (Paris, France)']",['Casino'],,,
318,Choux fleurs en fleurettes précuits à la vapeur - Prêt en 3 min - Casino - 750g,3222476745453,B,Choux-fleurs en fleurettes précuits à la vapeur surgelés,750 g,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Choux-fleurs', 'Choux-fleurs en fleurettes surgelés']",,,['France'],['100% Choux-fleurs en fleurettes origine France précuits'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,0.03 g,en faible quantité,76,-18%,18,-25%,76 kj(18 kcal),-24%,0,-100%,0,-100%,"1,7",-21%,"1,5",-6%,"1,5",-24%,"0,03",+9%,"0,012",+9%,-7,,A,,62.1%,0.0%,0.0%,15.3%,21.9%,0.7%,98,,,,['Casino'],,,
319,Madeleines Longues aux Perles de Sucre - Casino - 250g,3222476754509,B,Madeleine longue aux perles de sucre,250 g,,['Casino'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines longues']",,,['France'],"[""Farine de blé - sucre - oeufs frais 16% - huile de colza - perles de sucre 9% - stabilisant: glycérol - sirop de glucose - émulsifiant: mono - et diglycérides d'acides gras - sel - poudres à lever: diphosphates"", 'carbonates de sodium - épaississant: gomme xanthane - arôme', 'traces de lait', 'de fruits à coque et de soja']","['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']","['Œufs', 'Gluten']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,18 g,en quantité modérée,2 g,en quantité modérée,30 g,en quantité élevée,1 g,en quantité modérée,1786,-2%,426,-3%,1786 kj(426 kcal),-2%,18,-15%,2,-43%,61,+11%,30,+6%,"4,9",-13%,1,+19%,"0,4",+19%,16,-1%,D,-1%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,['Casino'],,,
320,Cocktail sans alcool pêche - 75cl,3222476754691,,Boisson aromatisée sans alcool,75 cl,,,,['Sans alcool'],,['France'],"['Eau - jus de pêche à base de concentré 9,5% - sucre - acidifiant : acide citrique - arômes - arôme naturel - colorants : E163 et E120 - conservateur : sorbate de potassium - stabilisant : esters glycériques de résine de bois']","['E330 - Acide citrique', 'E163 - Anthocyanes', 'E120 - Acide carminique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E445 - Esters glycériques de résine de bois']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,214,,51,,214 kj(51 kcal),,"0,5",,"0,1",,11,,11,,"0,5",,,,,,,,,,,,,,,,,,,,,,,
321,Cônes Caramel beurre salé - coeur de sauce caramel au beurre salé x6 - Casino - 429g,3222476755926,B,"6 cônes de glace au caramel au beurre salé (65,7%) avec un crayon de sauce au caramel au beurre salé (5,6%), dans un cornet biscuit avec chemisage au cacao maigre (7,7%) et décor de sauce au caramel au beurre salé (2,8%) et copeaux goût caramel (2,1%), surgelés",429 g,,['Casino'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Cônes et batonnets surgelés', 'Glaces au caramel']",,,['France'],"['Eau - lait écrémé réhydraté - cornet biscuit 16,1% ', 'farine de blé - sucre - huile de coprah - émulsifiant : lécithines de soja - sel', ' - sucre - graisse de coprah - caramel au beurre salé 4,3% ', 'sirop de glucose - lait entier concentré sucré - beurre salé 0,7% - eau - sucre - sel', ' - sirop de glucose - lactosérum en poudre - caramel aromatique 3,2% ', ' sucre - eau - acidifiant : acide citrique', ' - sirop de glucose-fructose - cacao maigre en poudre 0,6% - beurre de cacao - colorants : caramel ordinaire', ""extrait de paprika - émulsifiants : mono - et diglycérides d'acides gras"", 'lécithines de soja - gélifiants : farine de graines de caroube', 'gomme guar', 'pectines - lait écrémé concentré - lait entier en poudre - lactose et protéines de lait - sel - arômes naturels - pâte de cacao - arôme naturel de vanille', ""Traces d'arachides"", 'œufs et fruits à coque']","['E322i - Lécithine', 'E330 - Acide citrique', 'E150a - Caramel E150a', 'E160c - Extrait de paprika', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E440 - Pectines']","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,12 g,en quantité modérée,9.8 g,en quantité élevée,28 g,en quantité élevée,0.2 g,en faible quantité,1136,+1%,271,-12%,1136 kj(271 kcal),-8%,12,-29%,"9,8",-9%,38,+18%,28,+9%,"2,7",-21%,"0,2",+8%,"0,08",+8%,18,+10%,D,+10%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,"['EMB 33539', 'Vayres (Gironde, France)']",['Casino'],,,
322,Chipolatas Superieures - Casino,3222476755933,D,,,,['Casino'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']","['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,['France'],"['VIANDE DE PORC ', 'FRANCE', 'EAU', 'SEL', 'AROMES NATURELS', 'POIVRE BLANC', 'OIGNONS', 'ANTIOXYDANT: ACIDE ASCORBIQUE', ' BOYAU NATUREL DE MOUTON']",['E300 - Acide ascorbique'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,7.3 g,en quantité élevée,0.7 g,en faible quantité,1.68 g,en quantité élevée,?,,221,-8%,925 kj(221 kcal),-8%,17,-10%,"7,3",+1%,"0,9",-23%,"0,7",+11%,16,+4%,"1,675",-7%,"0,67",-7%,16,-4%,D,-4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,"['EMB 72080B', 'Cherré (Sarthe, France)']",['Casino'],,,
323,Ensemble avec les éleveurs - Casino,3222476760227,D,,,"['Bouteille', 'Plastique', 'UHT']",['Casino'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT']",,,['France'],"['Lait demi-écrémé ', 'origine : fronce', ' Les Informations en de±ées personnes ou']",,['Lait'],['Non végétalien'],1,1.5 g,en faible quantité,1.1 g,en faible quantité,4.5 g,en faible quantité,0.1 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,5",-11%,"1,1",+7%,"4,7",-2%,"4,5",-6%,"3,5",+8%,"0,1",-10%,"0,04",-10%,-1,-2120%,A,-2120%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,['Casino'],,,
324,Chapelure - Casino - 250g,3222476817839,,Chapelure,250 g,['Plastique'],['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure', 'Cuisine']",,['Espagne'],['France'],['Farine de blé - eau - sel - levure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1.4 g,en faible quantité,0.2 g,en faible quantité,4 g,en faible quantité,0.8 g,en quantité modérée,1576,-1%,372,+1%,1576 kj(372 kcal),+2%,"1,4",-61%,"0,2",-73%,78,+10%,4,-11%,"9,8",-12%,"0,8",-41%,"0,32",-41%,-2,-132%,A,-132%,,,,,,,,,,,['Casino'],,,
325,Crème dessert saveur praliné - Au lait entier - Casino - 4x 125g,3222476843197,,"Dessert lacté, aromatisé, saveur praliné",4 x 125 g,,['Casino'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",,,['France'],['lait entier 86% - sucre - amidon transformé de maïs - fructose - crème - colorant : caramel ordinaire - épaississant : carraghénanes - arômes - protéines de lait - lactose et minéraux du lait'],"['E14XX - Amidons modifiés', 'E150a - Caramel E150a', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3.2 g,en quantité modérée,2.1 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,455,-16%,108,-17%,455 kj(108 kcal),-16%,"3,2",-29%,"2,1",-24%,17,-7%,14,-8%,"2,8",-17%,"0,1",-35%,"0,04",-35%,5,+5%,C,+5%,,,,,,,,,,,['Casino'],,,
326,Mélange Japonais - casino - 100g,3222476849090,B,Assortiment de biscuits salés (50%) et de cacahuètes enrobées (50%),100 g,['Sachet'],['Casino'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,['Thailande'],['France'],"['Riz gluant - cacahuètes 23% - sauces soja ', 'eau - graines de soja - sel - blé - dextrose - farine de soja - farine de blé', ' - farine de blé - sucre - algue - colorants : caramel ordinaire', 'extrait de paprika', 'caroténoïdes', 'complexes cuivre-chlorophylles et cuivre-chlorophyllines - sirop de glucose - amidon transformé de tapioca - piment en poudre', 'traces de fruits à coque']","['E150a - Caramel E150a', 'E160c - Extrait de paprika', 'E160 - Caroténoïdes', 'E141i - Complexes cuivriques de chlorophylles', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E14XX - Amidons modifiés']","['Gluten', 'Arachides', 'Soja']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,11 g,en quantité modérée,1.5 g,en quantité modérée,10 g,en quantité modérée,1.2 g,en quantité modérée,1802,-10%,428,-8%,1802 kj(428 kcal),-8%,11,-45%,"1,5",-72%,70,+18%,10,+155%,11,+11%,"1,2",-40%,"0,48",-40%,11,-29%,D,-29%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,['Casino'],,,
327,Lemon - Casino,3222476859488,,,,,['Casino'],,,,['France'],[],,,[],,,,,,,,,,?,,32,,134 kj(32 kcal),,0,,0,,8,,8,,0,,0,,0,,,,,,,,,,,,,,,,['Casino'],,,
