,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,ingredients_origins,traceability_code,markets,link,producer_info,origin_detail
1793,Compote de cerises - Les Comtes De Provence - 420g,3324492501409,A,Compote de cerises,420 g,"['Pot', 'Verre']",['Les Comtes De Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de cerise']",,"['France', 'Peyruis', 'Provence']",['France'],"['fruits 80% ', 'Cerise 58%', 'pomme 22%', 'sucre de canne', 'acidifiant: jus concentré de citron', 'gélifiant : pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,31 g,en quantité élevée,0.08 g,en faible quantité,?,,131,+96%,548 kj(131 kcal),+96%,0,-100%,0,-100%,31,+112%,31,+133%,"0,9",+115%,"0,08",+706%,"0,032",+706%,3,,C,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,
1794,Confiture Peche Bio - Les Comtes de Provence - 350g,3324499990091,A,Confiture de Peche Bio,350 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']","['France', 'Provence', 'Peyruis']",['France'],"['pêche 64%', 'sucre de canne', 'gélifiant : pectine de fruits non amidée', 'acidifiant : jus concentré de citron']",['E440 - Pectines'],,[],4,0 g,en faible quantité,0 g,en faible quantité,42 g,en quantité élevée,0.01 g,en faible quantité,745,-21%,178,-17%,745 kj(178 kcal),-17%,0,-100%,0,-100%,42,-20%,42,-17%,0,-100%,"0,01",-7%,"0,004",-7%,8,-13%,C,-13%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,
1795,Dried abricots - Canary Fruit,3325350263514,,,,,['Canary Fruit'],,,,['France'],[],,,[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,1,,0,,63,,53,,3,,1,,"0,4",,,,,,,,,,,,,,,,,,,
1796,La véritable artisanale,3325410000912,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,585,,2448 kj(585 kcal),,42,,"3,8",,44,,"0,5",,6,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
1797,Salade pommes de terre au véritable saucisson cuit de Lyon - Randy,3325420010956,,,,,['Randy'],,,,['France'],"['Ingrédients : pommes de terre 50%', 'Œufs durs', 'eau', 'saucisson cuit de Lyon 7,9% ', 'viande de porc*', 'épices', 'sel', 'lactose', 'dextrose', 'conservateur : E250', 'oignons', 'huile de colza', 'lardons fumés cuits ', 'poitrine de porc*', 'sel', 'dextrose', 'arôme de fumée', 'acidifiant : E330', 'conservateurs:E316', 'E250', ""vinaiqre d'alcool"", 'épices', ""moutarde à l'ancienne "", 'eau', ""vinaigre d'alcool"", 'graines de moutarde', 'tégument de graines de moutarde 1,8g sel', 'arômes curcuma', 'moutarde ', 'eau', ""graines de moutarde 8,6g vinaigre d'alcool"", 'sel', 'sel', 'amidon transformé', 'conservateur : E202', 'épaississant : E415', ' * Origine : UE']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E316 - Érythorbate de sodium', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Lait', 'Moutarde']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,133,,556 kj(133 kcal),,"8,7",,"1,8",,"8,6",,"0,4",,"4,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
1798,Brioche au véritable saucisson cuit de Lyon - Randy - 600g,3325420060562,D,saucisson brioché,600 g,['Plastique'],['Randy'],"['Viandes', 'Plats préparés', 'Charcuteries', 'Produits à la viande', 'Saucissons', 'Plats préparés à la viande', 'Saucissons briochés']",,,['France'],"['Brioche 55 g : farine de blé', 'œuf', 'beurre 8,6 g', 'sucre', 'levure', 'sel', 'blanc d’œuf  Saucisson cuit de Lyon 46 g : viande de porc', 'épices', 'sel', 'lactose', 'dextrose', 'E250']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,22 g,en quantité élevée,10 g,en quantité élevée,3.3 g,en faible quantité,1.6 g,en quantité élevée,?,,342,+10%,1431 kj(342 kcal),+13%,22,+16%,10,+15%,23,+6%,"3,3",+25%,12,-11%,"1,6",+2%,"0,64",+2%,20,+14%,E,+14%,73.3%,15.3%,2.8%,2.3%,1.3%,5.0%,43,,,"['FR 69.043.005 CE', 'Chaponost (Rhône, France)']",['Boucheries André'],,,
1799,Taboulé Lyonnais au véritable saucisson cuit de Lyon -,3325420883369,B,,,,,"['Plats préparés', 'Taboulés']",,,['France'],[],,,[],,11 g,en quantité modérée,2.6 g,en quantité modérée,3.5 g,en faible quantité,1.4 g,en quantité modérée,?,,209,+24%,874 kj(209 kcal),+24%,11,+70%,"2,6",+264%,20,-6%,"3,5",+7%,"6,4",+45%,"1,4",+48%,"0,56",+48%,7,+157%,C,+157%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,
1800,"Veritable saucisson a cuire de Lyon pistache, le - Randy",3325427284787,,,,,['Randy'],,,,['France'],[],,,[],,,,,,,,,,?,,321,,1343 kj(321 kcal),,28,,"9,9",,1,,"0,8",,16,,2,,"0,8",,,,,,,,,,,,,,,,,,,
1801,Moulu oriental - Café Massat - 250g,3325490251143,,,250 g,,['Café Massat'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1802,Confit d'oignon aux poires -,3325815005734,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,['France'],"['Oignons 60%', 'sucre', 'eau', 'concentré de tomates', 'vinaigre de vin blanc', 'poires 2%', 'sel', 'huile de colza', 'poivre blanc', 'colorant : E150c']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.8 g,en faible quantité,0.5 g,en faible quantité,32 g,en quantité élevée,1.7 g,en quantité élevée,?,,147,-12%,615 kj(147 kcal),-13%,"0,8",-51%,"0,5",+89%,33,-6%,32,-1%,"1,1",+10%,"1,7",+172%,"0,68",+172%,10,+52%,C,+52%,,,,,,,,,,,,,,
