,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,nova_score,generic_name,packaging,link,manufacturing,ingredients_origins,markets,allergens,traceability_code,brand_owner,origin_detail,producer_info,palm_ingredients
782,Biscuits à la pomme et à la cannelle - Michel Peltier,3562510652003,,,,['France'],"['farine de BLE française', 'BEURRE de Normandie', 'sucre', 'OEUFS frais de France', 'cubes de pomme 7%', 'miel de fleurs cannelle', 'arôme naturel pomme Présence possible de fruits à coque et arachides']",['Non végétalien'],,,,,,,,,?,,422,,1766 kj(422 kcal),,20,,13,,53,,31,,"5,6",,"0,09",,"0,036",,,,,,,,,,,,,,['Michel Peltier'],,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Arachides']",,,,,
783,Petits financiers normands - Les produits de la Ruche - 200g,3562510672209,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200g,['Les produits de la Ruche'],,,,,,,,,,,,,,
784,Craquant de corde aux amandes,3562510681003,,,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,447,,1870 kj(447 kcal),,13,,1,,73,,59,,"9,4",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Miel d'Acacia Biologique - Les Produits De La Ruche,3562510913753,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['Bio'],['France'],['100% miel biologique'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0 g,en faible quantité,?,,330,+14%,1381 kj(330 kcal),+14%,0,-100%,0,-100%,82,+6%,82,+16%,"0,4",+15%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Les Produits De La Ruche'],,2,,,,,,,,,,,,
786,Pain D'epices Bio - Les Produits De La Ruche - 250g,3562510962508,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['Miel 50%', 'Farine de blé', 'sucre', 'oeuf', 'beurre', 'poudre à lever ', ""carbonates de sodium et d'ammonium"", 'anis', 'cannelle']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.8 g,en faible quantité,0.9 g,en faible quantité,48 g,en quantité élevée,0.3 g,en quantité modérée,?,,329,-2%,1377 kj(329 kcal),-3%,"1,8",-48%,"0,9",-27%,73,+3%,48,+18%,"4,8",+11%,"0,3",-31%,"0,12",-31%,15,+6%,D,+6%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,250 g,['Les Produits De La Ruche'],"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",3,Pain d'épices,['Plastique'],,['50560 BLAINVILLE SUR MER France'],,,"['Œufs', 'Gluten', 'Lait']",,,,,
787,6 Crêpes  de froment,3562562000753,B,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",['Bio'],['France'],[],[],5.5 g,en quantité modérée,0.9 g,en faible quantité,14 g,en quantité élevée,0.43 g,en quantité modérée,?,,223,-23%,933 kj(223 kcal),-24%,"5,5",-29%,"0,9",-69%,37,-21%,14,-31%,"6,8",-11%,"0,43",-45%,"0,172",-45%,2,-81%,B,-81%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,,,,,,,
788,6 Blinis - Saveurs du bio,3562562210008,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Blinis']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],"['farine de blé eau,oeufs lait écrémé en poudre huile de tournesol• sel', 'poudres à lever ', 'amidon de mais', 'carbonates de sodium', ""acidifiant levain de froment déshydraté Produits issus de l'Agiculture Biologique""]",[],7.6 g,en quantité modérée,1.3 g,en faible quantité,4.4 g,en faible quantité,1.1 g,en quantité modérée,?,,236,-9%,987 kj(236 kcal),-9%,"7,6",-28%,"1,3",-8%,"32,8",-1%,"4,4",+0%,"8,3",+31%,"1,1",-19%,"0,44",-19%,2,-70%,B,-70%,71.0%,15.7%,8.4%,4.3%,0.6%,0.0%,87,,['Saveurs du bio'],['E500 - Carbonates de sodium'],3,,,,,,,,,,,,
789,Gaufres de bruxelles -,3562562444014,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,['France'],[],[],20.7 g,en quantité élevée,3.6 g,en quantité modérée,5.1 g,en quantité modérée,0.4 g,en quantité modérée,?,,343,-24%,1435 kj(343 kcal),-24%,"20,7",-3%,"3,6",-65%,"30,8",-46%,"5,1",-83%,"7,4",+23%,"0,4",-43%,"0,16",-43%,5,-77%,C,-77%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,,,,,,,,,,,,
790,Blinis - Les Delices Du Chef,3562562555024,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Blinis']",,['France'],"['Farine de blé,eau,huile de tournesol', 'Lactosérum,protéine de LAIT', 'lait écrémé en poudre', 'LACTOSERUM en Poudre', 'Oeufs entier et blancs d’OEUFS déshydratéS,poudres à lever :carbonates de sodium et diphosphates', 'sel', 'antioxydant :acide ascorbique']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",9.4 g,en quantité modérée,1 g,en faible quantité,7.2 g,en quantité modérée,1.7 g,en quantité élevée,?,,262,+1%,1096 kj(262 kcal),+1%,"9,4",-11%,1,-30%,38,+14%,"7,2",+64%,"5,9",-7%,"1,7",+25%,"0,68",+25%,10,+48%,C,+48%,71.0%,15.7%,8.4%,4.3%,0.6%,0.0%,87,,['Les Delices Du Chef'],"['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",4,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,
791,8 Blinis Médium - Les délices du Chef - 160g,3562562666034,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Blinis']",,['France'],"['Farine de blé', 'eau', 'huile de tournesol', 'lactose', 'protéines de lait', 'lait écrémé en poudre', 'lactosérum en poudre', ""_oeufs entiers et blancs d'oeufs déshydratés"", 'poudres à lever : carbonates de sodium', 'disphosphates', 'sel', 'antioxydant : acide ascorbique']",['Non végétalien'],9.8 g,en quantité modérée,1.2 g,en faible quantité,8.5 g,en quantité modérée,1.8 g,en quantité élevée,1107,-1%,?,,1107 kj(265 kcal),+2%,"9,8",-8%,"1,2",-15%,36,+8%,"8,5",+94%,"6,1",-4%,"1,801",+32%,"0,72",+32%,13,+93%,D,+93%,71.0%,15.7%,8.4%,4.3%,0.6%,0.0%,87,160 g,"['Les délices du Chef', 'Délices Premium']","['E500 - Carbonates de sodium', 'E300 - Acide ascorbique']",4,,['Plastique'],,,,['Géant'],"['Œufs', 'Gluten', 'Lait']",,,,,
792,Mini Blinis surgelés - Délices Premium - 135g,3562562888009,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Surgelés', 'Blinis']",['Point Vert'],['France'],"['Farine de blé', 'eau', 'huile de tournesol', 'lactose', 'protéines de lait écrémé en poudre', 'lactosérum en poudre', ""œufs entiers et blancs d'œufs"", 'poudres à lever : carbonates de sodium et diphosphates', 'sel', 'antioxydant : acide ascorbique']",['Non végétalien'],9.8 g,en quantité modérée,1.2 g,en faible quantité,8.5 g,en quantité modérée,1.8 g,en quantité élevée,?,,264,+2%,1105 kj(264 kcal),+1%,"9,8",-8%,"1,2",-15%,36,+8%,"8,5",+94%,"6,1",-4%,"1,8",+32%,"0,72",+32%,12,+78%,D,+78%,71.0%,15.7%,8.4%,4.3%,0.6%,0.0%,87,135 g,"['Délices Premium', 'Les Délices du Chef']","['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",4,,"['Plastique', 'surgelé']",,,,,"['Œufs', 'Gluten', 'Lait']",,,,,
793,Choux blanc,3562570119218,,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Gariguette - Sans marque - 250g,3562570404871,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,250 g,"['Sans marque', 'Creno', 'Creno Impex']",,,,"['Barquette', 'Sachet', 'Plastique']",,,['France'],,,,,,,
795,Biscottes complètes -,3562707992158,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'en:wholemeal-rusk', 'en:zwieback']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",['France'],[],[],2 g,en faible quantité,0.7 g,en faible quantité,5.3 g,en quantité modérée,1.3 g,en quantité modérée,?,,385,-1%,1611 kj(385 kcal),-1%,2,-68%,"0,7",-31%,64,-1%,"5,3",+21%,13,-2%,"1,3",+2%,"0,52",+2%,5,+13%,C,+13%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,,,,
796,Brioche tranché,3563070748816,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",['Fabriqué en France'],['France'],[],[],12 g,en quantité modérée,8.2 g,en quantité élevée,11 g,en quantité modérée,1 g,en quantité modérée,?,,349,-1%,1460 kj(349 kcal),-1%,12,-2%,"8,2",+36%,49,-5%,11,-17%,"8,7",+9%,1,0%,"0,4",0%,18,+21%,D,+21%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,"['EMB 85072', 'Copechagnière (Vendée, France)']",,,,
797,3563210008107,3563210008107,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Miel acacia - Mességué,3563210008312,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Mességué'],,,,,,,,,,,,,,
799,Ecorces d'agrumes - Messegué - 50ml,3563210009821,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,50ml,['Messegué'],,,,"[""jus d'écorces d'agrumes""]",,['France'],['Union européenne et hors union européenne'],,,,,,,
800,Spray buccal Melatonine,3563210011060,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,"0,1",,"0,1",,"0,5",,"0,4",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Crème glacée Café Expresso - Les Cigalines,3563350000016,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']","['Sans colorants', 'Sud de France']",['France'],[],[],6 g,en quantité modérée,4.1 g,en quantité modérée,21.6 g,en quantité élevée,0.7 g,en quantité modérée,?,,161,-27%,674 kj(161 kcal),-26%,6,-45%,"4,1",-40%,"23,9",-9%,"21,6",-4%,"2,9",-13%,"0,7",+364%,"0,28",+364%,13,+3%,D,+3%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Les Cigalines'],,,,,,,,,,,,,,
802,Glace les cigalines praliné noisettes amandes,3563350000184,,,,['France'],[],[],,,,,,,,,?,,184,,770 kj(184 kcal),,"7,5",,"4,1",,"25,9",,"21,4",,"3,3",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Glace caramel beurre sale - Les Cigalines,3563350000818,,,"['Bio', 'Sans colorants']",['France'],"['eau', 'confiture de LAIT ', 'LAIT entier frais', 'sucre', 'LAIT écrén poudre', ' 24', '6%', 'BEURRE} LACTOSE et protéines de IAIT', ' sucre', ' sirc glucose déshydraté', ' sirop de sucre inverti', ' poudre de LAIT écrémé émulsifiants', "" mono et diglycérides d'acides gras"", 'farine de graine de car gomme de guar', 'carraghénanes', ' Produit élaboré dans un atelier qui utilise: ŒUF', 'SOJA', 'CE ARACHIDE et FRUITS A COQUE']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,?,,178,,745 kj(178 kcal),,"7,1",,"4,9",,"25,9",,"24,4",,"2,8",,"3,5",,"1,4",,,,,,,,,,,,,,['Les Cigalines'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,,,"['Œufs', 'Lait', 'Arachides', 'Soja']",,,,,
804,Sorbet à la Framboise,3563350001099,C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la framboise']",,['France'],[],[],0.1 g,en faible quantité,0.01 g,en faible quantité,26.7 g,en quantité élevée,0.004 g,en faible quantité,?,,119,+2%,498 kj(119 kcal),+1%,"0,1",-56%,"0,01",-72%,29,+6%,"26,7",+13%,"0,5",-11%,"0,004",-81%,"0,002",-81%,6,+27%,C,+27%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,,,,,,,,,
805,Sorbet à la Poire,3563350001242,C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la poire']",,['France'],[],[],0.09 g,en faible quantité,0.01 g,en faible quantité,29.5 g,en quantité élevée,0.4 g,en quantité modérée,?,,128,+2%,536 kj(128 kcal),+2%,"0,09",-61%,"0,01",-81%,"31,6",+5%,"29,5",+15%,"0,2",-35%,"0,4",+1229%,"0,16",+1229%,8,+64%,C,+64%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,,,,,,,,,
806,Sorbet cacao - Frigexquis,3563350001365,,,['Sans colorants'],['France'],"['eau', 'couverture de chocolat ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', 'arôme vanille', 'sucre', 'sirop de glucose déshydraté', 'LACTOSE et protéines de LAIT', 'poudre de cacao', 'stabilisants: farine de g+aine de caroube', 'hydropropylmethylcellulose', 'gomme de guar', ' Produit élaboré dans un atelier qui utilise: ?UF', 'CEREALES', 'ARACHIDE et FRUITS A COQUE']",['Non végétalien'],,,,,,,,,?,,194,,812 kj(194 kcal),,"7,5",,"4,6",,"29,6",,"26,7",,2,,"0,25",,"0,1",,,,,,,,,,,,,,['Frigexquis'],"['E322i - Lécithine', 'E412 - Gomme de guar']",4,,,,,,,"['Lait', 'Arachides', 'Soja']",,,,,
807,Sorbet fraise mara des bois - Les Cigalines - 1l,3563350001679,C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']",['Sans colorants'],['France'],"['purée de fraise mara des bois', ' 40%', 'eau', 'sucre', 'sirop de glucose déshydraté', 'dextrose', 'stabilisants : farine de graine de caroube', 'hydropropylmethylcellulose', 'gomme de guar']",[],0.1 g,en faible quantité,0.01 g,en faible quantité,27 g,en quantité élevée,0 g,en faible quantité,?,,119,+2%,498 kj(119 kcal),+2%,"0,1",-57%,"0,01",-85%,"29,3",+8%,27,+16%,"0,23",-45%,0,-100%,0,-100%,6,+21%,C,+21%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,1l,['Les Cigalines'],"['E410 - Gomme de caroube', 'E412 - Gomme de guar']",4,,,,,,,,,,,,
808,Tiramisu mascaparpone - Sud De France,3563350050011,,,,['France'],[],[],,,,,,,,,?,,192,,803 kj(192 kcal),,"7,6",,5,,"28,3",,"24,3",,"2,7",,"0,9",,"0,36",,,,,,,,,,,,,,['Sud De France'],,,,,,,,,,,,,,
809,Jambonneau de porc en confit - Le vieux chene,3563480000344,,"['Viandes', 'Charcuteries', 'Charcuteries cuites']",,['France'],[],[],12.2 g,en quantité modérée,4.8 g,en quantité modérée,0.5 g,en faible quantité,1.02 g,en quantité modérée,?,,192,+15%,803 kj(192 kcal),+19%,"12,2",+44%,"4,8",+49%,"0,5",-64%,"0,5",-31%,"20,6",+10%,"1,02",-46%,"0,408",-46%,5,-48%,C,-48%,,,,,,,,,['Le vieux chene'],,,,,,,,,,,,,,
810,Confit de canard du Sud-ouest - Le vieux chêne - 1500g,3563480001815,D,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Confits de canard']",,['France'],"['cuisses de canard gras', 'graisse de canard', 'sel']","['Non végétalien', 'Non végétarien']",33.7 g,en quantité élevée,11.8 g,en quantité élevée,0.5 g,en faible quantité,1.02 g,en quantité modérée,?,,392,+38%,1640 kj(392 kcal),+39%,"33,7",+59%,"11,8",+64%,"0,7",-31%,"0,5",+89%,"21,4",-3%,"1,02",-32%,"0,408",-32%,18,+18%,D,+18%,79.0%,12.3%,1.9%,2.6%,1.0%,3.3%,27,1500g,['Le vieux chêne'],,3,Confit de canard,['Conserve'],,,['France'],['Carrefour'],,"['FR 64.139.002 CE', 'Bosdarros (Pyrénées-Atlantiques, France)']",,,,
811,"Foie Gras Canard Entier, - Le Vieux Chêne",3563480001938,,,,['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,"54,6",,"23,1",,"3,2",,"0,9",,"7,5",,"0,77",,"0,308",,,,,,,,,,,,,,['Le Vieux Chêne'],,,,,,,,,,,,,,
812,Garbure bearnaise au jambon de bayonne - Le Vieux Chêne,3563480002102,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Le Vieux Chêne'],,,,,,,,,,"['FR 64.139.002 CE', 'Bosdarros (Pyrénées-Atlantiques, France)']",,,,
813,Moutarde provençale - Reine de Dijon - 100g,3563490010210,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes provençales']",,['France'],"['Eau', 'graines de moutarde', 'poivrons rouges', 'huile de tournesol', 'ail ', 'contient sulfites', ""vinaigre d'alcool"", 'vin blanc ', 'contient sulfites', 'sel', 'tomates', 'persil', 'arôme ', 'contient sulfites', 'acidifiant : acide citrique', 'conservateur : disulfite de potassium']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",16 g,en quantité modérée,1.1 g,en faible quantité,2.2 g,en faible quantité,4.75 g,en quantité élevée,927,+33%,222,+31%,927 kj(222 kcal),+31%,16,+48%,"1,1",+34%,"10,3",+49%,"2,2",-43%,"6,6",+0%,"4,75",+1%,"1,9",+1%,13,+12%,D,+12%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,100 g,['Reine de Dijon'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",4,,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,,,,"['Moutarde', 'Anhydride sulfureux et sulfites']",,,,,
814,Moutarde Miel - Reine de Dijon - 100g,3563490010234,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au miel']",,['France'],"['Eau', 'graines de moutarde', 'miel ', '15 %', ""vinaigre d'alcool"", 'sucre', 'sel', 'acidifiant : acide citrique', 'conservateur : disulfite de potassium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",8 g,en quantité modérée,0.6 g,en faible quantité,15.1 g,en quantité élevée,4.7 g,en quantité élevée,892,+5%,?,,892 kj(213 kcal),0%,8,-21%,"0,6",-18%,"27,4",+57%,"15,1",+4%,"5,6",-1%,"4,7",+30%,"1,88",+30%,15,+6%,D,+6%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,100 g,['Reine de Dijon'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",3,Moutarde au miel,"['Bocal', 'Verre']",,['France'],,"[""Aire d'autoroute""]","['Moutarde', 'Anhydride sulfureux et sulfites']",,,,,
815,Moutarde Noix - Reine de Dijon - 100g,3563490010265,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au noix']",['Point Vert'],['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'vin blanc ', 'contient sulfites', 'noix ', '5 %', 'téguments de moutarde ', 'contient sulfites', 'sel', 'arôme ', 'contient noix', 'sucre', 'acidifiant : acide citrique', 'conservateur : disulfite de potassium']",[],14.5 g,en quantité modérée,1 g,en faible quantité,2.2 g,en faible quantité,5 g,en quantité élevée,850,,203,-13%,850 kj(203 kcal),-12%,"14,5",-8%,1,-25%,"6,7",-3%,"2,2",-27%,"8,1",+16%,5,+8%,2,+8%,12,-6%,D,-6%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,100 g,['Reine de Dijon'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",4,Moutarde aux noix,"['Bocal', 'Verre']",,['France'],,"[""Aire d'autoroute""]","['Moutarde', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,
816,Moutarde curry - Reine de Dijon,3563490010296,A,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au curry']",,['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'vin blanc ', 'dont sulfites', 'sel', '4,0 % curry ', 'coriandre', 'cumin', 'fenugrec', 'laurier', 'fenouil', 'ail', 'piment', 'curcuma', 'épices ', 'dont blé', '_céleri', 'acidifiant ', 'acide citrique', 'conservateur ', 'disulfite de potassium']",['Sans huile de palme'],11.7 g,en quantité modérée,0.9 g,en faible quantité,2.1 g,en faible quantité,5.5 g,en quantité élevée,?,,171,-3%,715 kj(171 kcal),-4%,"11,7",-5%,"0,9",-1%,"3,4",-53%,"2,1",-46%,"7,8",+5%,"5,5",+11%,"2,2",+11%,12,-1%,D,-1%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,['Reine de Dijon'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",3,,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,['France'],['France'],,"['Céleri', 'Gluten', 'Moutarde', 'Anhydride sulfureux et sulfites']",,,,,
817,Moutarde Miel - Reine de Dijon - 200g,3563490010395,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au miel']",,['France'],"['Eau', 'graines de moutarde', 'miel ', '15,5 %', ""vinaigre d'alcool"", 'sucre', 'sel', 'acidifiant ', 'acide citrique', 'conservateur ', 'disulfite de potassium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",8.3 g,en quantité modérée,0.58 g,en faible quantité,24.1 g,en quantité élevée,4.7 g,en quantité élevée,848,-0%,203,-6%,848 kj(203 kcal),-5%,"8,3",-18%,"0,58",-20%,"24,2",+39%,"24,1",+66%,"5,4",-4%,"4,7",+30%,"1,88",+30%,17,+20%,D,+20%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,200 g,['Reine de Dijon'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",3,,"['Bocal', 'Verre']",,['France'],,"[""Aire d'autoroute""]","['Moutarde', 'Anhydride sulfureux et sulfites']",,,,,
818,Moutarde Curry - Reine de Dijon - 200g,3563490010449,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au curry']",,['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'vin blanc ', 'contient sulfites', 'sel', 'arôme naturel ', '2 %', 'acidifiant ', 'acide citrique', 'conservateur ', 'disulfite de potassium', 'colorant ', 'E100']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",11.6 g,en quantité modérée,0.81 g,en faible quantité,1.9 g,en faible quantité,5.7 g,en quantité élevée,676,,162,-8%,676 kj(162 kcal),-9%,"11,6",-6%,"0,81",-11%,"1,9",-74%,"1,9",-51%,"7,6",+2%,"5,7",+15%,"2,28",+15%,12,-1%,D,-1%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,200 g,['Reine de Dijon'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine']",4,Moutarde aromatisée au curry,"['Bocal', 'Verre']",,['France'],,"[""Aire d'autoroute""]","['Moutarde', 'Anhydride sulfureux et sulfites']",,,,,
819,Moutarde à l'ancienne - Reine de Dijon,3563490012245,C,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', ""Moutardes à l'ancienne""]",,['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'vin blanc ', 'contient sulfites', 'sucre', 'épices', 'acidifiant ', 'acide citrique', 'conservateur ', 'disulfite de potassium']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",11 g,en quantité modérée,0.77 g,en faible quantité,2.4 g,en faible quantité,4 g,en quantité élevée,?,,166,+2%,695 kj(166 kcal),+3%,11,-3%,"0,77",-4%,"3,7",-20%,"2,4",-2%,"7,7",+6%,4,-20%,"1,6",-20%,12,+21%,D,+21%,55.3%,14.9%,23.7%,4.6%,1.5%,0.0%,73,,['Reine de Dijon'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",3,,,,,,,"['Moutarde', 'Anhydride sulfureux et sulfites']",,,,,
820,Moutarde de Dijon - Dijona - 5kg,3563490012276,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,['France'],"['MOUTARDE DE DIJON Ingrédients Eau', 'graines de moutarde', ""vinaigre d'alcoc sel"", 'acidifiant ', 'acide citrique', 'consei vateur ', 'disulfite de potassium']",[],1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,?,,10,-94%,42 kj(10 kcal),-94%,1,-91%,0,-100%,0,-100%,0,-100%,"0,4",-94%,12,+102%,"4,8",+102%,10,-7%,C,-7%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,5kg,['Dijona'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",1,,,,,,,['Moutarde'],,,,,
