,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,labels,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,brand_owner,additives,allergens,nova_score,packaging,generic_name,manufacturing,ingredients_origins,link,palm_ingredients
1741,Pizza chevre miel,0208624026370,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Fruité du jura,0205057040287,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,tablettes chewing gum - Leader Price,01142507,['France'],[],[],?,279,"0,25",69,0,['Leader Price'],,1167 kj(279 kcal),0,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,
1744,Mélange pour préparation de mousse au chocolat - Callebaut,5410522546033,['France'],[],[],?,524,"28,5",54,13,['Callebaut'],,2192 kj(524 kcal),21,54,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Pomme cannelle brioche - Carrefour,0254116026175,['France'],[],[],?,?,?,?,?,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,
1746,Farine De Riz S,8850931040079,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Chou rouge,0208915008863,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,EPP forti 4,3760099740344,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Pailles framboises,0211911023945,['France'],[],[],?,327,13,48,"3,8",,,1368 kj(327 kcal),"8,8",25,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Farine de chataignes - 500g,2045050085230,['France'],[],[],?,?,?,?,?,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
1751,Mint selection,1000031637106,['France'],[],[],?,402,"0,7",99,"0,1",,,1682 kj(402 kcal),"0,2",61,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Double milk chocolate,5999881551143,['France'],[],[],?,563,36,51,7,,,2356 kj(563 kcal),22,50,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Source manon,08808561,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Cube de coco,2600254014044,['France'],[],[],?,450,"18,8","63,6","3,4",,,1883 kj(450 kcal),"17,3","39,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Huile de colza,3760218930021,['France'],[],[],?,998,100,0,0,,,4176 kj(998 kcal),7,0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",100 g,en quantité élevée,7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+14%,+15%,+3%,-2%,-100%,-100%,-100%,-100%,-100%,5,-1%,C,-1%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,,,
1756,Préparation pour boisson instantanée,45650284,['France'],[],[],?,381,"1,6",86,"3,4",,,1594 kj(381 kcal),1,"84,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Sauce piquante,8424225002687,['France'],[],[],?,5,6,9,10,,,21 kj(5 kcal),5,8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Pan Rallado,8436008300187,"['France', 'Espagne']",[],[],?,386,"3,6",84,"2,6",,,1615 kj(386 kcal),"1,7","7,6","1,7","0,68",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",3.6 g,en quantité modérée,1.7 g,en quantité modérée,7.6 g,en quantité modérée,1.7 g,en quantité élevée,,+5%,+4%,+1%,+125%,+18%,+69%,-77%,+25%,+25%,13,+108%,D,+108%,,,,,,,,,,,,,,,,,,,,
1759,Onzas Chocolate con leche - 130g,8436032881331,['France'],[],[],?,565,36,53,7,,['en:gluten-free'],2364 kj(565 kcal),23,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,
1760,ZERO CHOCOCANDY - Prozis,5600499522387,['France'],[],[],?,431,25,60,"8,2",['Prozis'],['Sans sucre ajouté'],1803 kj(431 kcal),13,"5,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Torsades aux légumes - Bio Village,990530101005437304,['France'],[],[],?,158,"6,5",19,"4,3",['Bio Village'],['Bio'],661 kj(158 kcal),"0,9",4,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,
1762,Feuilles de pain - Sur le Sentier des Bergers,3760183040718,['France'],[],[],?,418,"9,4",72,"9,5",['Sur le Sentier des Bergers'],,1749 kj(418 kcal),"1,3","4,5","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Coco legal,7898924646144,['France'],[],[],?,22,0,0,"3,24",,,92 kj(22 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Persian Nougat,6260142840825,['France'],[],[],?,300,"0,9","37,5","4,3",,,1255 kj(300 kcal),"0,9","37,5","0,168","0,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Menthise,60666000,['France'],[],[],?,363,0,91,0,,"['en:gluten-free', 'Fabriqué en France']",1519 kj(363 kcal),0,82,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,garlic peanut chutney powder - Graminway from the roots - 200g,0747356051705,"['France', 'Inde']","['Ingredients: Roasted Channa', 'Whole Red Chilli', 'Garlic', ' Cumin', 'Asofetida & Salt']",[],?,?,?,?,?,['Graminway from the roots'],,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,['LIC.NO.21218103000378'],,,,1,['flacon plastique'],,,['en:Inde'],http://www.graminway.com,
1767,Jus d'orange,0207153022303,['France'],[],[],?,44,0,"9,3","0,6",,,184 kj(44 kcal),0,"8,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,84106575,84106575,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,Sucette en chocolat au lait décoré,3474340023659,['France'],[],[],?,562,36,51,"6,8",,,2351 kj(562 kcal),23,50,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Pâte en Croute.Drôme Salaisons,2687254052085,['France'],[],[],?,27,15,8,6,,,113 kj(27 kcal),3,1,73,"29,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,CHOCOLATE EN POLVO - 100g,7750074000132,['France'],[],[],?,255,"6,8","66,6","15,2",,,1067 kj(255 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
1772,Chocolate con leche,7771712000291,['France'],[],[],?,580,44,40,12,,,2427 kj(580 kcal),26,38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
