,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
346,Petits fours à la cerise - Biscuiterie de Chambord,3555140003444,,['Biscuiterie de Chambord'],,['France'],[],[],?,,445,,"17,3",,"68,5",,"4,6",,,,,,,,,1862 kj(445 kcal),"10,2","44,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Raieb,6191507249475,,,,['France'],[],[],?,,52,,"2,5",,"4,5",,"3,1",,,,,,,,,218 kj(52 kcal),"1,5","4,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Marrons entiers pelés - M. de Turenne - 420g,3339334500083,C,['M. de Turenne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Châtaignes']",['France'],[],[],?,,119,-29%,1,-25%,"44,2",+42%,"3,3",+27%,93.6%,0.0%,0.0%,2.6%,3.4%,0.4%,58,498 kj(119 kcal),0,"10,2","0,01","0,004",420 g,1 g,en faible quantité,0 g,en faible quantité,10.2 g,en quantité modérée,0.01 g,en faible quantité,-27%,-100%,+48%,-89%,-89%,-4,,A,,,,,,,,,,,,,,,
349,Leben,6191507249468,,,,['France'],[],[],?,,52,,"2,5",,"4,5",,"3,1",,,,,,,,,218 kj(52 kcal),"1,5","4,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Moules en escabeche - Ria de Arosa,8432920804031,D,['Ria de Arosa'],"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]","['France', 'États-Unis']","['Mussels', 'olive oil ', '10%', 'vinegar', 'spices and salt']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,182,-9%,10,-26%,4,+29%,"18,5",+18%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,761 kj(182 kcal),2,0,"2,25","0,9",,10 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,2.25 g,en quantité élevée,-9%,-4%,-100%,+67%,+67%,12,+116%,D,+116%,,['Mollusques'],3,,,,,,,,,CONSERVAS RIA DE AROSA S.L.,,
351,Caramel salted ice cream bar - Häagen-Dazs,8266834,,['Häagen-Dazs'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Aromat,6001038071653,,,,['France'],[],[],?,,584,,"3,1",,20,,"6,5",,,,,,,,,2443 kj(584 kcal),"2,2","0,7","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Huile d'olive bio - Carapelli - 1l,8002470025028,C,['Carapelli'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],"[""huile d'olive vierge extra""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,823,-4%,91,-5%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,3443 kj(823 kcal),14,0,0,0,1 l,91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,0%,,-100%,-100%,6,-2%,C,-2%,['Bouteille en verre'],,2,"['Bio', 'Bio européen']",,,,,,,,,,
354,Mayonnaise - Heinz,8715700112046,D,['Heinz'],"['Epicerie', 'Sauces', 'Mayonnaises']","['France', 'Allemagne']",[],[],2650,+4%,644,+5%,70,+6%,3,+12%,"0,8",-35%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,2650 kj(644 kcal),"5,3","1,5",1,"0,4",,70 g,en quantité élevée,5.3 g,en quantité élevée,1.5 g,en faible quantité,1 g,en quantité modérée,+4%,-14%,+3%,-25%,-25%,16,-11%,D,-11%,,,,,,,,,,,,,,
355,0731124100016,0731124100016,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,La Belle Escalope de Dinde - Le Gaulois - 2,0217638028270,D,['Le Gaulois'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],?,,105,-13%,"1,4",+6%,"0,01",-100%,23,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,439 kj(105 kcal),"0,4","0,01","0,19","0,076",2,1.4 g,en faible quantité,0.4 g,en faible quantité,0.01 g,en faible quantité,0.19 g,en faible quantité,-13%,-1%,-99%,-66%,-66%,-4,,A,,,,,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,
357,rocher coco - Auchan - 10,2030500477802,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['France'],"['Ingredients', ' sucre', 'coco rape ', '34%', ' noix de coco', 'conservateur: E220', 'SULFITE', "" blancs d' OEUF""]",['Non végétalien'],?,,?,,?,,?,,?,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,['sachet plastique'],"['Œufs', 'Anhydride sulfureux et sulfites']",3,,['Auchan'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,
358,Jus de Pomme - Vergers de Noslon - 100cl,3760075480011,B,['Vergers de Noslon'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",['France'],['100 % Jus de pommes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,100 cl,,,,,,,,,,,,,,,,,,['Bouteille en verre'],,1,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'Vergers Ecoresponsable']",['Vergers de Noslon'],,,"['F-89140 CUY (Yonne-France)', 'France']","['EMB 89136', 'Cuy (Yonne, France)']",Pur Jus de Pommes 100 %,https://is.gd/wPYTVe,,,
359,Haribo Happy Cherries,5996379309781,E,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],?,,343,-4%,"0,5",-73%,77,-8%,"6,9",+225%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1435 kj(343 kcal),"0,1",46,"0,07","0,028",,0.5 g,en faible quantité,0.1 g,en faible quantité,46 g,en quantité élevée,0.07 g,en faible quantité,-4%,-91%,-21%,-42%,-42%,14,-3%,D,-3%,,,,,,,,,,,,,,
360,Rice cakes,8801024944545,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",['France'],[],[],?,,238,-45%,0,-100%,53,-25%,4,-46%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,996 kj(238 kcal),0,0,"0,387","0,155",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.387 g,en quantité modérée,-45%,-100%,-100%,+113%,+113%,1,-88%,B,-88%,,,,,,,,,,,,,,
361,Te Matcha - Iswari,5600317477974,B,['Iswari'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']","['France', 'Espagne']",[],[],?,,323,+2592%,"3,1",+3060%,"36,8",+1543%,"20,8",+9805%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,1351 kj(323 kcal),"0,8","0,9","0,03","0,012",,,,,,,,,,+2715%,+2141%,-26%,+105%,+105%,11,+162%,E,+162%,,,,"['Bio', 'Bio européen', 'PT-BIO-04']",,,,,,,,,,
362,Miel de lavande - Le comptoir de Mathilde - 250g,3760170095189,B,['Le comptoir de Mathilde'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de lavande']",['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,250 g,,,,,,,,,,,,,,,,,,['Bocal en verre'],,,,,,,,,,,,,
363,Stick de mozzarella,20229924,,,"['Produits panés', 'Fromages panés', 'Fritures', 'Sticks à la Mozzarella']",['France'],[],[],?,,274,-9%,15,+5%,21,-12%,13,+2%,,,,,,,,1146 kj(274 kcal),"6,8","2,7","1,5","0,6",,15 g,en quantité modérée,6.8 g,en quantité élevée,2.7 g,en faible quantité,1.5 g,en quantité modérée,-8%,+8%,-42%,+9%,+9%,15,+11%,D,+11%,,,,,,,,,,,,,,
364,Nouilles Instantanées Poulet,8858598040647,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],[],[],?,,250,-16%,9,-22%,1,-98%,7,+10%,,,,,,,,1046 kj(250 kcal),3,1,15,6,,,,,,,,,,-17%,-43%,-59%,+475%,+475%,,,,,,,,,,,,,,,,,,
365,Bran flakes - Auchan - 375g,5601002110602,C,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['France', 'Espagne']",[],[],?,,360,-10%,"2,9",-67%,63,-6%,11,+18%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,1506 kj(360 kcal),"0,8",15,"0,8","0,32",375 g,2.9 g,en faible quantité,0.8 g,en faible quantité,15 g,en quantité élevée,0.8 g,en quantité modérée,-10%,-64%,-10%,+124%,+124%,5,-7%,C,-7%,,,,,,,,,,,,,,
366,"Câpres au vinaigres - La Colombe - 180g, 90g égoutté",3025052000140,,['La Colombe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Pickles d'origine végétale"", 'Caprons au vinaigre']",['France'],"['câ', 'eau', 'vinaigre', 'sel']",[],?,,?,,?,,?,,?,,,,,,,,,,,,,,"180 g, 90 g égoutté",,,,,,,,,,,,,,,,,,"['Pot verre', 'Couvercle plastique']",,3,,,,,"['Salles Freres', '34150', 'Aniane', 'France']",,,,,,
367,Cocktail frutos secos - Plis plas - 730g,8412805999113,,['Plis plas'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,730 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Pomme - Limdor - 2kg,3596710419340,,['Limdor'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Cépage libre - R - 75cl,3760167391904,,['R'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,75 cl,,,,,,,,,,,,,,,,,,['Bouteille'],,,"['Bio', 'Bio européen', 'IGP', 'Sans soufre', 'AB Agriculture Biologique']",['Carrefour city'],,,,,,http://inno-wine.com,,,
370,Lemon Jelly Candy Limonovi Rezenki - 180g,3800771004231,,,,['France'],[],[],?,,328,,0,,81,,0,,,,,,,,,1372 kj(328 kcal),0,71,"0,35","0,14",180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Sirup kirsch,4019313014181,,,,['France'],[],[],?,,17,,0,,"3,9",,0,,,,,,,,,71 kj(17 kcal),0,"3,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Poulet cuisiné à la basquaise,3527020000034,,,,['France'],[],[],?,,113,,"6,5",,"6,3",,"7,4",,,,,,,,,473 kj(113 kcal),"2,1","4,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Chocolat noir intense 80% - Jacquot - 100g,3173281450295,E,['Jacquot'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['pâte de cacao', 'sucre', 'beurre de cacao', 'cacao maigre en poudre', 'arôme naturel de vanille', ' Peut contenir des traces de fruits à coque', 'de gluten et de lait']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,597,+7%,48,+22%,26,-33%,"9,3",+21%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,2498 kj(597 kcal),30,21,"0,01","0,004",100 g,48 g,en quantité élevée,30 g,en quantité élevée,21 g,en quantité élevée,0.01 g,en faible quantité,+8%,+30%,-34%,-79%,-79%,21,-1%,E,-1%,,,4,,,,,,,,,,,
374,Donnut,5413476955289,B,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],?,,396,-3%,19,-17%,49,+9%,"5,8",-2%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,1657 kj(396 kcal),"9,1",25,"0,89","0,356",,19 g,en quantité modérée,9.1 g,en quantité élevée,25 g,en quantité élevée,0.89 g,en quantité modérée,-3%,-14%,+49%,-6%,-6%,21,+8%,E,+8%,,,,,,,,,,,,,,
375,Tea masala,6161100913028,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,,,
376,Halawa plain - 454g,5287000459501,,,,['France'],[],[],?,,571,,36,,50,,14,,,,,,,,,2389 kj(571 kcal),"5,4",35,0,0,454 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Rote Linsen 1KG Marmara - 1kg,4012625432315,,,,['France'],[],[],?,,354,,"2,8",,60,,"25,7",,,,,,,,,1481 kj(354 kcal),"1,6",25,"0,04","0,016",1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Figues protoben - La Vie Claire - 500g,3266191016245,D,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']",['France'],[],[],?,,?,,?,,?,,?,,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,,,,,500 g,,,,,,,,,,,,,,,,,,"['sachet plastique', 'à jeter', 'étui carton', 'à recycler']",,,"['Bio', 'Bio européen', 'FR-BIO-01', 'en:TR-BIO-141', 'AB Agriculture Biologique', 'Agriculture Turquie']",['La Vie Claire'],,['Turquie'],,,,,,,
379,Propercorn Lightly Sea Salted Popcron,5060283760041,B,,"['Snacks', 'Snacks salés', 'Popcorn', 'Popcorn salé']","['Belgique', 'France', 'Pays-Bas']",[],"['Végétalien', 'Végétarien']",?,,424,-6%,"15,1",-26%,54,+3%,"9,3",+9%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,1774 kj(424 kcal),"1,2","1,6","1,67","0,668",,15.1 g,en quantité modérée,1.2 g,en faible quantité,1.6 g,en faible quantité,1.67 g,en quantité élevée,-6%,-78%,-19%,-19%,-19%,13,-13%,D,-13%,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",['Delhaize'],,,,,,,,,
380,Sirop de citron,3217690049975,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",['France'],[],[],?,,256,+21%,"0,1",-19%,64,+22%,"0,1",-21%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,1071 kj(256 kcal),"0,1","63,7","0,1","0,04",,,,,,,,,,+20%,+187%,+29%,+352%,+352%,,,,,,,,,,,,,,,,,,
381,Cidre - Mas Daussan,3700723800075,C,['Mas Daussan'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",['France'],[],[],?,,39,+34%,"0,5",-43%,"5,1",+9%,"0,3",+626%,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,163 kj(39 kcal),"0,01","5,1",0,0,,,,,,,,,,+31%,-91%,+56%,-100%,-100%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
382,Café moulu,3760079560085,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Miel de fleurs - l'Abeille de Ré - 250g,3770002730072,B,"[""l'Abeille de Ré""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,['Loix 17111'],,,,,,
384,Amande - Back Family - 100g,22138255,,['Back Family'],,"['France', 'Allemagne']",[],[],?,,622,,55,,7,,21,,,,,,,,,2602 kj(622 kcal),"3,8","5,5","0,1","0,04",100 g,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,
385,La Caravelle Moulin,3250391157136,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Azeite,5601024121624,,,,['France'],[],[],?,,822,,"91,3",,0,,0,,,,,,,,,3439 kj(822 kcal),"13,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Miel de montagne - La Vie Claire - 250g,3266191024431,B,['La Vie Claire'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",['France'],['Miel de montagne biologique origine Espagne'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,250 g,,,,,,,,,,,,,,,,,,,,2,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",['La Vie Claire'],,['Espagne'],,,,,,,
388,Sirop de glucose - Artisan et talents - 1kg,3439495107340,,['Artisan et talents'],,['France'],[],[],?,,316,,0,,79,,0,,,,,,,,,1322 kj(316 kcal),0,28,0,0,1kg,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 59202', 'Erquinghem-Lys (Nord, France)']",,,,,
389,Saumon - delpeyrat - 260,3067163637389,E,['Delpeyrat'],"['Produits de la mer', 'Poissons', 'Saumons']",['France'],"['Saumon atlantique ', 'Salmo salar', ' 97%', 'sel sec 3%', ' Les informations en gras sont destinées aux personnes allergiques et intolérantes', ' g À conserver au réfrigérateur entre 0°C et +4°C']","['Non végétalien', 'Non végétarien']",?,,200,+9%,12,+14%,"0,51",-1%,"22,4",+3%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,837 kj(200 kcal),"2,71","0,44","2,54","1,016",260,12 g,en quantité modérée,2.71 g,en quantité modérée,0.44 g,en faible quantité,2.54 g,en quantité élevée,+9%,+33%,+38%,+5%,+5%,14,+27%,D,+27%,['Sachet'],,3,['Delpeyrat'],['Carrefour'],,"['Ecosse', 'Saumon Atlantique Écosse']",,,,,,,
390,Poire williams morceaux croquants - Andros - 100,3608580901570,B,['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",['France'],"['poires Williams 94%', 'sucre', 'antioxydant: acide ascorbique']",[],?,,66,-1%,"0,3",-8%,14,-4%,"0,5",+20%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,276 kj(66 kcal),0,14,0,0,100,0.3 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,-1%,-100%,+5%,-100%,-100%,-4,,A,,,,3,,,['E300 - Acide ascorbique'],,,,,,,,
391,Chewing gum -,4009900484152,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",['France'],[],[],?,,143,-11%,0,-100%,"59,4",-5%,0,-100%,,,,,,,,598 kj(143 kcal),0,0,"0,05","0,02",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,-11%,-100%,-100%,+134%,+134%,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,
392,Sauce curry de Madras - Le Coq Noir,3269710112749,,['Le Coq Noir'],,['France'],[],[],?,,130,,"8,8",,11,,"1,3",,,,,,,,,544 kj(130 kcal),"6,6","4,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Haricots verts très fins,27071373,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",['France'],[],[],?,,33,+22%,"0,1",-61%,"3,7",+22%,2,+27%,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,138 kj(33 kcal),0,1,"0,03","0,012",,0.1 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.03 g,en faible quantité,+25%,-100%,+7%,-94%,-94%,-6,,A,,,,,,,,,,,,,,,
394,M'YAM Brioches fraise - yami - 320g,3448971400011,,['Yami'],"['Snacks', 'Snacks sucrés', 'Viennoiseries']","['France', 'La Réunion']",[],[],?,,367,+1%,"14,1",-10%,"51,6",+8%,"9,6",+32%,,,,,,,,1536 kj(367 kcal),"3,9","16,4",1,"0,4",320 g,14.1 g,en quantité modérée,3.9 g,en quantité modérée,16.4 g,en quantité élevée,1 g,en quantité modérée,+0%,-55%,+2%,+26%,+26%,12,-30%,D,-30%,['Sachet'],,,,,,,['Île de la Réunion'],,,,,,
395,Protein bar - Nutramino - 2barres,5707577200165,,['Nutramino'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']","['France', 'Espagne']",[],[],?,,439,+18%,21,+62%,22,-33%,31,+6%,,,,,,,,1837 kj(439 kcal),15,22,"0,23","0,092",2 barres,21 g,en quantité élevée,15 g,en quantité élevée,22 g,en quantité élevée,0.23 g,en faible quantité,+19%,+154%,+65%,-53%,-53%,20,+94%,E,+94%,['Sachet 2 barres'],,,,,,,,,,,,,
396,Protéines en poudres - The protein works - 1kg,5060455516018,,['The protein works'],,['France'],[],"['Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,1kg,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,
397,Classic,4058300256333,,,,['France'],[],[],?,,0,,0,,0,,0,,,,,,,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Miel de manuka,9421023620074,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de manuka']",['France'],[],[],?,,332,+5%,0,-100%,82,+6%,1,+862%,,,,,,,,1389 kj(332 kcal),0,82,0,0,,0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0 g,en faible quantité,+5%,-100%,+20%,-100%,-100%,14,+15%,D,+15%,,,,,,,,,,,,,,
399,Bubi Snack Mixies 500G,4250078906056,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Compote de pommes morceaux - freshona - 200g,20691684,A,['Freshona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']","['Belgique', 'France', 'Pays-Bas']","['92,5% pommes', 'sucre,sirop de glucose-fructose', 'antioxydant: acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,77,+20%,"0,4",+35%,"17,5",+23%,"0,3",+2%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,322 kj(77 kcal),"0,2",16,"0,03","0,012",200g,0.4 g,en faible quantité,0.2 g,en faible quantité,16 g,en quantité élevée,0.03 g,en faible quantité,+21%,+192%,+20%,+352%,+352%,-2,,A,,['Bocal'],,4,,['Lidl'],['E300 - Acide ascorbique'],,['Belgique'],,,,,,
401,Kürbis kerne - Clasen Bio,4250038940069,,['Clasen Bio'],,['France'],[],[],?,,559,,49,,11,,30,,,,,,,,,2339 kj(559 kcal),"8,7","1,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Le sirop bio citron - Pressade,3254691589970,B,['Pressade'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']","['Belgique', 'France']",[],[],?,,28,-87%,0,-100%,"6,5",-88%,0,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,117 kj(28 kcal),0,"6,4",0,0,,,,,,,,,,-87%,-100%,-87%,-100%,-100%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
403,Belgian dark chocolate rice cakes,00348171,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat noir']",['France'],[],[],?,,478,-1%,"20,9",-4%,"62,3",+1%,"7,4",+8%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,2000 kj(478 kcal),"12,5","21,6","0,05","0,02",,20.9 g,en quantité élevée,12.5 g,en quantité élevée,21.6 g,en quantité élevée,0.05 g,en faible quantité,-1%,-5%,-5%,-15%,-15%,19,+17%,E,+17%,,,,,,,,,,,,,,
404,"Geröstete Paprika, Süss Sauer - alino - 680g",24016926,,['Alino'],,"['France', 'Italie']",[],[],?,,40,,0,,"6,9",,1,,,,,,,,,167 kj(40 kcal),0,"6,8","0,85","0,34",680 g,,,,,,,,,,,,,,,,,,['Verre'],,,,,,,,,,,,,
405,Thé du hammam - Palais des Thés,2700861001007,,['Palais des Thés'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Le Coudrier Vinaigre d Alcool Colore,3410280004075,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
