,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
256,Tartes tomates parmesan basilic - Carte Nature - 230g,3700477661021,,['Carte Nature'],,['France'],[],[],,,,,,,,,?,,235,,983 kj(235 kcal),,13,,"8,4",,20,,"2,8",,8,,"0,99",,"0,396",,,,,,,,,,,,,230 g,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE']",,,,,,,
257,la délicieuse ciboulette vinaigrette -,4008164727333,,,"['Epicerie', 'Condiments', 'Sauces']",['France'],"['Huile de colza""', 'eau', 'vinaigre""', 'sucre""', 'jaune d\'EUF en poudre""', 'sel', 'MOUTARDE* ', 'Eau', 'graines de MOUTARDE""', 'vinaigre""', 'sel', 'sucre""', 'curcuma""', 'ciboulette* 0,5%', 'poudre d\'ail""', 'épaississant: gomme de guar*', 'granulés d\'ail""', 'antioxydant: extrait de romarin*', "" *ingrédients issus de l'agriculture biologique""]",[],61 g,en quantité élevée,5.3 g,en quantité élevée,3.7 g,en faible quantité,2.3 g,en quantité élevée,?,,572,+309%,2393 kj(572 kcal),+299%,61,+927%,"5,3",+735%,4,-69%,"3,7",-46%,1,-76%,"2,3",-59%,"0,92",-59%,22,+118%,E,+118%,,,,,,,,,,,"['E412 - Gomme de guar', 'E392 - Extrait de romarin']",['Moutarde'],4,,"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE', 'Point Vert']",,,,,,,
258,Wrap de blé nature,3760042990291,,,,['France'],[],[],,,,,,,,,?,,298,,1247 kj(298 kcal),,"7,6",,2,,"49,7",,"2,1",,"7,3",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Eminces de poulet - Belle France,3258561464190,,['Belle France'],,['France'],"['haut de cuisse de poulet ', 'origine : France', 'sel', 'dextrose', 'fécule de pomme de terre', 'arôme', 'acidifiant : lactate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,153,,640 kj(153 kcal),,7,,"2,1",,1,,1,,21,,"1,8",,"0,72",,,,,,,,,,,,,,,,['E326 - Lactate de potassium'],,4,,,,,,,,,
260,Mijoté de légumes mexicains - Qilibri - 280g,0660989030704,,['Qilibri'],"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Eau ', 'lentilles blondes réhydratées 30% ', 'lentilles blondes', 'eau', 'haricot rouge 17 %', 'poivron rouge 4%', 'maïs 3%', 'oignon 3 %', 'quinoa', 'amidon modifié de maïs', 'huile de colza ', 'concentré de tomate', 'ail', 'sel', 'piment jalapeno rouge 0,4%', 'arôme naturel', 'cumin']",[],2.1 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en faible quantité,0.74 g,en quantité modérée,496,-11%,118,-11%,496 kj(118 kcal),-11%,"2,1",-61%,"0,2",-90%,16,+24%,"1,7",-3%,"8,5",+27%,"0,74",-5%,"0,296",-5%,-6,-526%,A,-526%,,,,,,,,280 g,,,['E14XX - Amidons modifiés'],"['Lait', 'Anhydride sulfureux et sulfites']",4,"['Carton', 'Plastique']","['Riche en protéines', 'Sans OGM', 'Faible en matières grasses', ""Moins d'1\xa0% de sel""]",['France'],,,,,,
261,Belzebuth violette - 33cl,3261570007036,C,['Belzebuth'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bieres aromatisées aux fruits']",['France'],"['eau', ""malt d'orge"", 'ble', 'sucre,arôme naturel de violette', 'arômes naturels', 'acidifiant: acide citrique', 'coriandre', ""écorces d'orange"", 'houblon', 'extrait naturel']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33cl,,,['E330 - Acide citrique'],['Gluten'],4,,,['Arques'],,,,,,
262,Ratatouille - mocitos - 375,8410810013732,B,['Mocitos'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",['France'],"['LÉGUMES EN PROPORTION VARIABLE 2 92% ', 'TOMATES', ' COURGETTES', 'AUBERGINES', 'POIVRONS ET OIGNONS', 'HUILE DE TOURNESOL', 'SEL', 'AMIDON ET ÉPICES', "" SANS SULFITES PODS 375 GRS 425 NET: PRODUIT D'ESPAGNE FRUTAS Y CONSERVAS DE MURCIA"", 'S', 'L', ' Polígono Industrial El Cortijo', 'Camino Portichuelo S/N 30560 ALGUAZAS ', 'Murcia', 'España', ' - R', 'G', 'S', 'E', 'A', 'A', ' N° 21-14639/MU TELF', ' ATENCIÓN AL CLIENTE: 902 250 005']",[],1.9 g,en faible quantité,0.3 g,en faible quantité,2.9 g,en faible quantité,0.7 g,en quantité modérée,165,-32%,39,-43%,165 kj(39 kcal),-41%,"1,9",-49%,"0,3",-44%,"4,3",-16%,"2,9",-25%,"0,8",-32%,"0,7",-2%,"0,28",-2%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,375,,,,,,['Conserve'],,,,,,,,
263,Mozzarella Stück - Metro Chef - 125g,4337182041061,D,['Metro Chef'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']","['France', 'Allemagne']","['DE Mozzarella', 'Pasta-Filata-Käse in Salzlake', 'A5 o% Fett i', ' Tr', ' UTATEN: pasteurisierte Kuhmilch', 'mikrobielles Lab', 'Milchsäurekulturen', 'Säureregutator C Tonensaure', ' Salz', ' Bei 4°C-7°C']",['Non végétalien'],18.5 g,en quantité modérée,13 g,en quantité élevée,1.5 g,en faible quantité,0.5 g,en quantité modérée,?,,245,-6%,1025 kj(245 kcal),-5%,"18,5",-11%,13,-7%,"1,5",+46%,"1,5",+99%,18,+7%,"0,5",-26%,"0,2",-26%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,125 g,,,,,,,['Produits destinés aux professionnels'],,,,,,,
264,MINZE NOIR 70% -,9002859107078,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],[],39 g,en quantité élevée,26 g,en quantité élevée,28 g,en quantité élevée,0.05 g,en faible quantité,?,,539,-3%,2255 kj(539 kcal),-3%,39,-1%,26,+13%,34,-12%,28,-12%,"8,2",+7%,"0,05",+7%,"0,02",+7%,22,+4%,E,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,"[""Fabriqué dans l'UE""]",,,,,,,
265,Raw Bar Vegan Rosehip Acerola & Lemon,8719979200527,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,311,,1301 kj(311 kcal),,"4,21",,"1,28",,"70,05",,"47,61",,"6,75",,"0,51",,"0,204",,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
266,Powerbar Lemon-cheesecake,4029679520165,,['Powerbar'],,['France'],[],[],,,,,,,,,?,,322,,1347 kj(322 kcal),,"6,9",,"4,2",,34,,34,,31,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Wasabi coated peas,3701035403176,,,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,11,,5,,5,,"1,2",,25,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Nuggets de poulet,3422210449108,D,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",['France'],[],[],11 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,1.2 g,en quantité modérée,?,,242,+8%,1013 kj(242 kcal),+8%,11,-2%,"1,5",-25%,22,+31%,1,-24%,13,+2%,"1,2",+3%,"0,48",+3%,4,+9%,C,+9%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,,,,,,,,,
269,Green Ice Tea - Lipton,8711200449972,,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Thés glacés']",['France'],[],[],0.4 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en quantité modérée,0.01 g,en faible quantité,?,,15,-32%,63 kj(15 kcal),-32%,"0,4",+186%,"0,1",+279%,"3,6",-32%,"3,5",-31%,"0,4",+172%,"0,01",-64%,"0,004",-64%,6,-18%,D,-18%,,,,,,,,,,,,,,['Plastic'],,,,,,,,
270,Schmand laktosefrei - LAC - 200g,4046700014523,C,['LAC'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes aigres', 'Smetana']","['France', 'Allemagne']","['Sauerrahm', 'Laktase']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,200g,,,,['Lait'],3,"['Becher', 'produkt']",,,,,,,,
271,Glace au chocolat extra - Glace de la Ferme,3760252110229,,['Glace de la Ferme'],,['France'],[],[],,,,,,,,,?,,225,,941 kj(225 kcal),,"10,2",,"5,1",,"24,8",,"21,8",,"5,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Sirop artisanal CASSIS,3585261909011,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis']",['France'],[],[],,,,,,,,,?,,36,-87%,151 kj(36 kcal),-88%,0,-100%,0,-100%,9,-87%,9,-87%,0,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,
273,Hot Ketchup 0% Fat - Prozis - 290g,5600499509982,B,['Prozis'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']","['France', 'Espagne']","['Agua', 'Vinagre de Vino Blanco', 'Puré de Tomate a partir de Concentrado ', '7', '8%', 'Almidón Modificado', 'Pulpa de Naranja Deshidratada', 'Sal', 'Concentrado de Cereza y Žanahoria', 'Espesante ', 'Goma Xantana', 'Chile ', '0', '2%', 'Conservador ', 'Sorbato Potásico', 'Pimen - tón', 'Aroma', 'Edulcorante ', 'Sucralosa']",[],0 g,en faible quantité,0 g,en faible quantité,1.4 g,en faible quantité,0.73 g,en quantité modérée,?,,24,-77%,100 kj(24 kcal),-77%,0,-100%,0,-100%,"5,3",-77%,"1,4",-93%,0,-100%,"0,73",-63%,"0,292",-63%,3,-75%,C,-75%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,290 g,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose']",,4,,['Avec édulcorants'],,,,,,,
274,Toblerone Mjölk Mini i Påse,7622200009176,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Marzipan eggs - Hema,8716618953608,,['Hema'],,['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,"23,9",,"9,7",,"56,4",,"54,6",,"6,5",,0,,0,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,
276,Demi poires au sirop léger - 600g,8410524004033,,,,['France'],[],[],,,,,,,,,?,,62,,259 kj(62 kcal),,"0,1",,"0,1",,"16,5",,13,,"0,4",,0,,0,,,,,,,,,,,,,600 g,,,,,,,,,,,,,,
277,Infusion instantanée - Biosagesse - 150g,3760087362244,B,['Biosagesse'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions']",['France'],[],[],,,,,,,,,?,,379,+5314%,1586 kj(379 kcal),+6508%,"0,5",+1031%,0,-100%,"93,6",+12515%,"81,5",+18092%,"1,2",+574%,"0,36",+6238%,"0,144",+6238%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,150 g,,,,,,,['Biopartenaire'],,,,,,,
278,The blanc glacé,3701260600036,,,,['France'],[],[],,,,,,,,,?,,17,,71 kj(17 kcal),,0,,0,,4,,"3,7",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Tresse au beurre festive,7613269931980,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,305,,1276 kj(305 kcal),,8,,"4,5",,47,,4,,10,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,"['stück', 'stück']",,,,,,,,
280,Vermicelle a l'oriental - Eaglobe - 500g,3379140122789,,['Eaglobe'],['Vermicelles de patate douce'],['France'],"['Farine de patate douce', 'eau']",[],0.01 g,en faible quantité,0 g,en faible quantité,0.4 g,en faible quantité,0.0543 g,en faible quantité,1486,,355,,1486 kj(355 kcal),,"0,01",,0,,"87,3",,"0,4",,"0,02",,"0,054",,"0,022",,4,,C,,,,,,,,,500 g,,['Tang frères'],,,1,['Plastique'],,['Chine'],Vermicelles,,,,,
281,Proteines 33% - Apurna,3288111359386,,['Apurna'],,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,11,,"4,9",,"23,4",,"11,8",,"32,7",,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Mozarella Nadi di latte di bufala al tartufo -  - 125g,8032891704202,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella']",['France'],[],[],25 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,288,+7%,1205 kj(288 kcal),+8%,25,+8%,17,+8%,"0,8",+8%,"0,5",-19%,15,+4%,"0,6",-2%,"0,24",-2%,10,-3%,C,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,125 g,,,,,,['Frais'],,,,['IT 15-630 CE'],,,,
283,Bio Quarkplus Lactosefrei Mocca,7611613002195,,,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,"0,5",,"0,3",,14,,13,,"7,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans lactose']",,,,,,,
284,Hyper mass - BiotechUSA,5999076224579,,['BiotechUSA'],,['France'],[],[],,,,,,,,,?,,391,,1636 kj(391 kcal),,"2,2",,"1,2",,"58,5",,"7,6",,30,,1,,"0,4",,,,,,,,,,,,,,,,,,,,"['en:gluten-free', ""Fabriqué dans l'UE"", 'Sans sucre ajouté']",,,,,,,
285,Cuisses de poulet rôti - Le Gaulois,0217637028479,D,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],13 g,en quantité modérée,3.9 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,168,-12%,703 kj(168 kcal),-12%,13,+5%,"3,9",+16%,19,+5875%,0,-100%,20,+9%,"1,1",+45%,"0,44",+45%,4,+13%,C,+13%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
286,Pecan halves -noix - Marks And Spencer,00981804,,['Marks And Spencer'],,['France'],[],[],,,,,,,,,?,,706,,2954 kj(706 kcal),,"70,1",,"5,7",,"5,5",,"4,1",,"10,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Farine de blé - 5kg,3520831630407,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",['France'],[],[],1 g,en faible quantité,0.2 g,en faible quantité,1.8 g,en faible quantité,0 g,en faible quantité,?,,355,+3%,1485 kj(355 kcal),+3%,1,-25%,"0,2",-15%,68,-2%,"1,8",+18%,11,+1%,0,-100%,0,-100%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,5 kg,,,,,,,,,,,,,,
288,AIGUILLETTE DE POULET JAUNE,3700634209783,D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],2.6 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,113,-10%,473 kj(113 kcal),-10%,"2,6",+41%,"0,6",+26%,0,-100%,0,-100%,23,+1%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
289,Puree de noix de cajou - Direct Producteurs Fruits Secs - 300g,3760159013135,,['Direct Producteurs Fruits Secs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', 'Purées de noix de cajou']",['France'],[],[],43.1 g,en quantité élevée,8.71 g,en quantité élevée,5.91 g,en quantité modérée,0 g,en faible quantité,?,,577,-4%,2414 kj(577 kcal),-4%,"43,1",-9%,"8,71",-9%,32,+35%,"5,91",+7%,"17,5",-5%,0,-100%,0,-100%,15,+34%,D,+34%,,,,,,,,300 g,['Viêt Nam'],['Magasins bio'],,,,['pot en verre'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Vietnam'],Puree de noix de cajou,,,http://www.directproducteursfruitssecs.com/fruitsec/?produit=noix_de_cajou&id=86,,
290,Yaourt toffee et fudge - Supervalu,5099839283161,,['Supervalu'],,['France'],[],[],,,,,,,,,?,,183,,766 kj(183 kcal),,"9,6",,6,,20,,19,,4,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Denti-pop saveur ananas,7061282909606,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,251,,1050 kj(251 kcal),,"1,5",,"1,4",,94,,"0,5",,"0,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Sans colorants', 'Végétalien', 'en:gluten-free']",,,,,,,
292,cervelas à la vinaigrette - 300g,3700155207428,,,,['France'],[],[],,,,,,,,,?,,223,,933 kj(223 kcal),,"18,6",,"6,9",,"0,5",,"0,5",,"12,9",,"1,6",,"0,64",,,,,,,,,,,,,300 g,,,,,,,['Fabriqué en France'],,,"['EMB 72132', 'Ferté-Bernard (Sarthe, France)', 'FR 72.132.002 CE', 'Ferté-Bernard (Sarthe, France)']",,,,
293,Baguette du rouergue,3700349600608,,,,['France'],[],[],,,,,,,,,?,,278,,1163 kj(278 kcal),,"0,6",,"0,2",,57,,"1,6",,"9,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Coop Kräuter Tofu - Betty Bossi - 200g,7613356351349,B,['Betty Bossi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']",['France'],[],"['Végétalien', 'Végétarien']",4.5 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en faible quantité,1.1 g,en quantité modérée,?,,414,+180%,1732 kj(414 kcal),+178%,"4,5",-48%,"0,9",-37%,"1,2",-45%,"0,6",-3%,13,-6%,"1,1",+60%,"0,44",+60%,4,,C,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,200 g,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
295,3179410235436,3179410235436,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Babol filifoly gum,8003440101483,,,,['France'],[],[],,,,,,,,,?,,308,,1289 kj(308 kcal),,0,,0,,77,,60,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,DR-105 dietactive Dépuratif et Draineur - dietplus - 200ml,3050001201019,,['Dietplus'],['Complément aĺimentaire'],['France'],"['+/-30ml', "" 900 mg 750 mg 600 mg 600 mg 300 mg 150 mg 150 mg 150 mg 150 mg 150 mg euille de frêne euille de thé vert emence de fenouil euille de pissenlit uille de romarin acine de curcuma orce de cannelle uille d'orthosiphon eur de sureau trait sec de thé vert contenir de la caféine "", 'maximum 20 mg - 30 mL', ' eur en EGCG : maximum 45 mg pour 30 onseillé aux enfants et aux femmes enceir dit aux enfants de moins de 12 ans']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,0,,B,,,,,,,,,200 ml,,,,,,,,,,,,,,
298,Mango - 290ml,3760184322776,,,,['France'],[],[],,,,,,,,,?,,50,,209 kj(50 kcal),,0,,0,,13,,12,,0,,0,,0,,,,,,,,,,,,,290 ml,,,,,,,,,,,,,,
299,Gallia Brut IPA - Gallia Paris - 33cl,3700693900058,C,['Gallia Paris'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'en:India Pale Ale', 'Bières IPA']",['France'],"['Eau', 'MALTS : Golden Promise', 'HOUBLONS : Amarillo BBC', 'Cascade BBC', 'LEVURE : USO5', 'ALLERGÈNES\xa0: Orge']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,,['Carrefour Market'],,['Gluten'],3,"['Verre', 'Bouteille', 'Capsule', 'métal']",['Déconseillé aux femmes enceintes'],"['France', 'Pantin']",Bière IPA,,,https://www.galliaparis.com/bieres/brut-ipa,,
300,Datiles con hueso - Frit Ravich - 1kg,8410564017048,C,['Frit Ravich'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes Deglet Nour']",['France'],[],[],1 g,en faible quantité,0.3 g,en faible quantité,56 g,en quantité élevée,0.01 g,en faible quantité,?,,277,-5%,1159 kj(277 kcal),-6%,1,+212%,"0,3",+335%,61,-9%,56,-3%,"2,6",+14%,"0,01",-61%,"0,004",-61%,7,+65%,C,+65%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,1 kg,['Tunisie'],,,,,,['en:gluten-free'],,,,,,,
301,Biscuits sablés,3770009191098,,,,['France'],[],[],,,,,,,,,?,,411,,1720 kj(411 kcal),,"17,6",,0,,"54,4",,0,,"8,7",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Stroopwafels - 1129oz,0867332000463,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au caramel']",['France'],[],[],25 g,en quantité élevée,12.5 g,en quantité élevée,35 g,en quantité élevée,0.719 g,en quantité modérée,?,,475,+3%,1987 kj(475 kcal),+3%,25,+24%,"12,5",+11%,"62,5",-3%,35,-3%,"2,5",-33%,"0,719",+21%,"0,288",+21%,25,+4%,E,+4%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,1129 oz,,,,,,,,,,,,,,
303,Mozzarella di Bufala Campana,8032891700662,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",['France'],[],[],25 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.56 g,en quantité modérée,?,,288,+7%,1205 kj(288 kcal),+8%,25,+8%,17,+8%,"0,8",+8%,"0,5",-19%,15,+4%,"0,56",-8%,"0,224",-8%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
304,Terrine au chorizo,3263480130019,,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,30,,11,,"1,8",,"1,6",,13,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Truite de norvege fumee,3760247829396,E,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",['France'],[],[],7.2 g,en quantité modérée,1.5 g,en quantité modérée,0.3 g,en faible quantité,3 g,en quantité élevée,?,,155,-5%,649 kj(155 kcal),-5%,"7,2",-8%,"1,5",-7%,"0,3",-28%,"0,3",+2%,"22,8",+1%,3,+9%,"1,2",+9%,12,+2%,D,+2%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,,,,,
306,Cookies quineville,3760214180123,,,,['France'],[],[],,,,,,,,,?,,455,,1904 kj(455 kcal),,"22,63",,"11,9",,"54,47",,"33,51",,"6,75",,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Truffes Noires,5425007882384,,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,526,,2201 kj(526 kcal),,"37,1",,"17,1",,40,,"36,8",,"7,9",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,
308,BOOM goma,5404017100138,,,,['France'],[],[],,,,,,,,,?,,337,,1410 kj(337 kcal),,0,,0,,"64,4",,"64,4",,0,,0,,0,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,
309,Terre D'italia Marmellata Arance Di Sicilia,8012666502301,D,"[""Terre d'Italia""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]","['France', 'Espagne']","['arance ', 'polpa', 'succo e scorza tagliata a fette', 'zucchero', 'gelificante: pectina']",[],0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0.03 g,en faible quantité,1013,+19%,239,+11%,1013 kj(239 kcal),+13%,0,-100%,0,-100%,59,+13%,59,+17%,0,-100%,"0,03",+15%,"0,012",+15%,10,+7%,C,+7%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],['es:Ausencia'],4,,['en:gluten-free'],,,,,,,
310,Huile de truffe vierge,8028000020394,,,,['France'],[],[],,,,,,,,,?,,824,,3448 kj(824 kcal),,92,,14,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
