,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
1912,"Gomme Plastique ""Technic 600"" - Maped",3154140116002,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,Vin rosé côté du Rhône,3263810107094,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['France'],,,,,,,,,,,,,
1914,Tisane Détox feuilles Framboisier Pissenlit saveur Citron vert - Pagès,3398984592077,,['Pagès'],,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,['Etui en carton'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1915,Tisane Ligne Citronnelle Thé vert saveur Mangue Cerise - Pagès - 36g,3398984518374,,['Pagès'],,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,36 g,,,,,,"['Sachet en plastique', 'Etui en carton']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1916,Natural Madagascan Vanilla Extract - Dr. Oetker - 95ml,5000254020323,,['Dr. Oetker'],"['Epicerie', 'Condiments', 'en:Additifs alimentaires', ""en:Aliments d'origine végétale"", 'en:Aliments et boissons à base de végétaux', 'en:Arômes', 'en:Arômes pâtisserie', 'en:Epicerie', 'en:Epices', 'en:Extrait de vanille', 'en:Vanille']","['France', 'Royaume-Uni']",[],[],0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0.1 g,en faible quantité,1190,,280,+2%,1190 kj(280 kcal),+4%,0,-100%,0,-100%,70,+536%,48,+565%,0,-100%,"0,1",-96%,"0,04",-96%,13,0%,D,0%,,,,,,,,95ml,,['Asda'],,,,"['Bottle', 'Plastic']",['en:Made from real vanilla pods'],['United Kingdom'],,,,,,
1917,Sablés pur beurre au thé earl grey - L'Angélus,3419390041840,C,"[""L'Angélus""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],[],18 g,en quantité modérée,11 g,en quantité élevée,33 g,en quantité élevée,0.4 g,en quantité modérée,?,,492,+4%,2059 kj(492 kcal),+3%,18,-13%,11,+9%,74,+16%,33,+12%,"7,5",+15%,"0,4",-32%,"0,16",-32%,24,+21%,E,+21%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,
1918,Dahl de lentilles de corail et riz basmati - Intermarché,3250392922771,,['Intermarché'],['Plats préparés'],['France'],[],[],4.3 g,en quantité modérée,3 g,en quantité modérée,1.7 g,en faible quantité,0.58 g,en quantité modérée,?,,138,-14%,577 kj(138 kcal),-14%,"4,3",-40%,3,+32%,19,+42%,"1,7",-18%,"4,4",-37%,"0,58",-38%,"0,232",-38%,1,-75%,B,-75%,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,
1919,07260847,07260847,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,Zero sauce - BiotechUSA,5999076233175,,['BiotechUSA'],"['Epicerie', 'Sauces']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,?,,9,-96%,38 kj(9 kcal),-96%,0,-100%,0,-100%,0,-100%,0,-100%,"0,5",-81%,"1,1",-55%,"0,44",-55%,4,-66%,C,-66%,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,
1921,Poulet creme legumes tagliatelles - Auchan,3596710482887,D,['Auchan'],"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']",['France'],[],[],2 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,0.69 g,en quantité modérée,?,,96,-36%,402 kj(96 kcal),-35%,2,-66%,1,-40%,11,-20%,"0,5",-74%,"7,7",-4%,"0,69",-18%,"0,276",-18%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,['Auchan'],,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,
