,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
49,Crunch'n chew,0010700132895,,"['France', 'États-Unis']","['Sugar', ' corn syrup', ' malic acid', ' contains 2% or less of: palm oil', ' natural flavor and artificial flavor', ' sodium lactate', ' gelatin', ' glyceryl monostearate', ' artificial color [red 40', ' yellow 5', ' blue 1', ' yellow 6]', ' sulfur dioxide', 'to maintain freshness', ' lecithin ', 'soy', ' cornstarch']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,400,1674 kj(400 kcal),0,0,"93,33","73,33",0,"0,25","0,1",,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",0 g,en faible quantité,0 g,en faible quantité,73.3 g,en quantité élevée,0.25 g,en faible quantité,,-5%,-5%,-100%,-100%,+40%,+48%,-100%,+70%,+70%,15,-18%,D,-18%,,,,,,,,,,,['Soja'],4,"Leaf, Inc.","['E296 - Acide malique', 'E325 - Lactate de sodium', 'E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E129 - Rouge allura AC', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E110 - Jaune orangé S', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",,,,,
50,Houmous - Caramelized Onion - Esti,5201310005166,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans conservateurs']",['France'],[],"['Végétalien', 'Végétarien']",?,289,1209 kj(289 kcal),"22,9","3,1","12,4","4,7","6,3","0,83","0,332",,B,['Esti'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",22.9 g,en quantité élevée,3.1 g,en quantité modérée,4.7 g,en faible quantité,0.83 g,en quantité modérée,,+10%,+10%,+13%,+26%,+17%,+251%,-3%,-20%,-20%,7,+40%,C,+40%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,
51,1/2 filet mignon de porc fumé,0285425066125,,['France'],[],[],?,257,1075 kj(257 kcal),"7,1","3,4","2,5","0,1",46,"6,7","2,68","['FR 73.065.717 CE', 'Chambéry (Savoie, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Semillas de sésamo natural ecológicas - Hijas del Sol,8412016359980,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,['Hijas del Sol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Saucisse sec au poivre,3173660044299,,['France'],[],[],?,323,1351 kj(323 kcal),22,"7,8","1,2","1,2",30,"5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gratin dauphinois,0208076016271,,['France'],[],[],?,151,632 kj(151 kcal),"6,9","4,9",15,"1,2","6,5","0,92","0,368",,B,,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",6.9 g,en quantité modérée,4.9 g,en quantité modérée,1.2 g,en faible quantité,0.92 g,en quantité modérée,,+27%,+29%,+19%,+36%,+34%,-25%,+91%,+30%,+30%,5,+7%,C,+7%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,,
55,Cafe moulu rare et delicat SATI,3149330001510,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Risotto piemonte - 170g,7640164487885,"['Bio', 'Bio européen', 'IT-BIO-008']",['France'],[],[],?,345,1443 kj(345 kcal),"0,7","0,1",76,0,"7,5","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,,
57,CASA ASTRID,7440848089097,,['France'],[],[],?,822,3439 kj(822 kcal),"91,3","14,1",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pesto à la tomate - Solleone,7640164487861,"['Bio', 'Bio européen']",['France'],[],[],?,164,686 kj(164 kcal),13,"4,6",7,4,"3,9","2,8","1,12",,C,['Solleone'],"['Epicerie', 'Sauces', 'Sauces Pesto']",13 g,en quantité modérée,4.6 g,en quantité modérée,4 g,en faible quantité,2.8 g,en quantité élevée,,-61%,-61%,-68%,-24%,+5%,+29%,-12%,+20%,+20%,16,-13%,D,-13%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,
