,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
890,Schingi snack,4549660884378,,['France'],[],[],?,137,573 kj(137 kcal),"0,7","0,7","8,1","0,7","53,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Panceta deshuesada curada sin gluten,8427026300082,,['France'],[],[],?,341,1427 kj(341 kcal),28,11,"0,5","0,5",23,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Poulet fermier bio,2456030059101,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Lait écrémé en poudre - 500g,5410958423380,,['France'],[],[],?,354,1481 kj(354 kcal),"0,5",0,"54,8","54,8",34,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
894,Vin rouge sans sulfites,3760172577638,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,
895,Vin aromatisé a la scolopendre,3700195130076,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Prunelle,3760077982360,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Dydo dragon Ball z,4904910239504,,['France'],[],[],?,42,176 kj(42 kcal),5,"0,8","0,08","0,08","0,15","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,White Chocolate Mocha Black Tea,0077652082111,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Pulpo aceite de oliva - El Corte Inglés,8433329090971,,['France'],[],[],?,129,540 kj(129 kcal),"4,1","0,7","2,1",1,21,"1,2","0,48",,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Pappardelle ricce - Barilla - 250g,14615290,,['France'],[],[],?,373,1561 kj(373 kcal),"5,2","1,5","64,8","3,5",15,"0,1","0,04",,,['Barilla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
901,Le Baba Eau de Vie de Poire d'Olivet,3760070341270,,['France'],[],[],?,225,941 kj(225 kcal),"2,3","2,3",50,40,"1,2","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Cocktail especial,8423371000080,,['France'],[],[],?,453,1895 kj(453 kcal),"17,2","2,6","56,1",2,"16,7","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,La bière du Gabon,9501100002280,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,dragées au chocolat,5605276550317,,['France'],[],[],?,438,1833 kj(438 kcal),"10,7","6,7","81,4","69,6","2,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Chorizo fort a la coupe,0219418022300,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Choco mix,2609845053004,['Fabriqué en Espagne'],['France'],[],[],?,563,2356 kj(563 kcal),"40,8","17,5","39,9","37,6","9,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Vin rouge,3760082030032,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,
908,chorizo,3375220503189,,['France'],[],[],?,421,1761 kj(421 kcal),35,"14,4","2,7","2,4","23,8","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Selección cocktail de frutas en almíbar ligero frasco 400 g - Vencerol,8436012965075,,['France'],[],[],?,61,255 kj(61 kcal),"0,01","0,01","15,07","14,36","0,07",0,0,,,['Vencerol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Tartelette fraise chantilly x2,2020004878144,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la fraise']",,,,,,,,,,,,,,,,,,,,,,,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,,,,,,
911,Sopa Juliana Con Algas Eco 150GR - Algamar - 150g,8437002393199,"['Bio', 'Bio européen', 'ES-ECO-022-GA']",['France'],[],[],?,302,1264 kj(302 kcal),"0,2","0,1","57,8","4,4","7,9","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,
912,Jambon cuit superieur,2916089034004,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Banada,8690120066653,,['France'],[],[],?,537,2247 kj(537 kcal),31,"9,6","55,4","48,9","6,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,DINGOO orange,59855651,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Desayuno Algarroba Ecológico -  - 250g,8426904170434,"['Bio', 'Bio européen', 'ES-ECO-019-CT']","['France', 'Espagne']",[],[],?,262,1096 kj(262 kcal),"0,55","0,1","56,66","49,52","3,86","0,1","0,04",,,,['Petit-déjeuners'],0.55 g,en faible quantité,0.1 g,en faible quantité,49.5 g,en quantité élevée,0.1 g,en faible quantité,,-18%,-18%,-90%,-93%,-5%,+21%,-1%,-35%,-35%,13,+35%,D,+35%,,,,,,,,250 g,,,,,,,,,,,
916,London Chips BBQ 160G X 14 BTLS,9556218120609,,['France'],[],[],?,496,2075 kj(496 kcal),"24,03","11,38","6,55","6,55","5,44","0,546","0,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Turrón de toffee con postacho - Vicens - 80g,8410495953132,['en:gluten-free'],['France'],[],[],?,388,1623 kj(388 kcal),15,"9,2",57,50,"4,9","0,8","0,32",,E,['Vicens'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",15 g,en quantité modérée,9.2 g,en quantité élevée,50 g,en quantité élevée,0.8 g,en quantité modérée,,-26%,-26%,-52%,+74%,+26%,+30%,-59%,+1144%,+1144%,26,+58%,E,+58%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,80 g,,,,,,,,,,,
918,Ris de veau congelés - 500g,3760187768243,,['France'],[],[],?,536,2243 kj(536 kcal),"4,46","1,09",0,0,"21,8","5,9","2,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
919,Vivement le thé - Palais des Thés,2704960005096,,['France'],[],[],?,?,,?,,?,,?,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Pause Cafe 500ML,3283772555542,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,"Algues Sushi Nori Blue Dragon 22 GR, 1 Pièce",5010338015909,,['France'],[],[],?,349,1460 kj(349 kcal),"0,1",0,41,0,"46,1",0,0,,,['Blue Dragon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Maple flakes flocons d'erable,0059749950947,,['France'],[],[],?,10,42 kj(10 kcal),0,0,3,3,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Mini pop sweet and salty,5060485890836,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,472,1975 kj(472 kcal),"21,3",2,"63,2","26,4","5,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['mixed plastic-packet'],,,,,,,,,,
924,Iron man sur ps3,5060138437449,,['France'],[],[],?,212,887 kj(212 kcal),17,16,15,14,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Viande hallalle,9782809411614,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Bebida Espirituosa De Café - Un Colpet Pastor,8421135902069,,['France'],[],[],?,?,,?,,?,,?,,,,,['Un Colpet Pastor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Caramels tendres Fourrés au Citron - Klaus,3025640160218,,['France'],[],[],?,204,854 kj(204 kcal),"1,2","0,6",63,37,"0,5","0,51","0,204",,,['Klaus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Lovely lentils,8720600618390,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",['France'],[],"['Végétalien', 'Végétarien']",?,96,402 kj(96 kcal),"0,5","0,1","13,5","0,3","6,6","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Confiture d'abricot - 350g,0680496101230,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,,,,,,,,,,,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,350 g,,,,,,,,,,,
930,PAIN CHOCOLAT BEURRE ×8,0202172026240,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Jambon cuit à l'ancienne Label rouge - Carrefour,2411843035889,"['Viande Française', 'Viande Porcine Française', 'Label Rouge']",['France'],[],[],?,189,791 kj(189 kcal),11,"4,1","0,6","0,6",21,"1,8","0,72","['EMB 29004D', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",E,['Carrefour'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",11 g,en quantité modérée,4.1 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,,+24%,+24%,+79%,+70%,+21%,+23%,-6%,-8%,-8%,13,+33%,D,+33%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['Barquette'],['Carrefour'],,,,,,,,,
932,Confiture de fraise,2329714446446,,['France'],[],[],?,143,598 kj(143 kcal),"0,5","0,1",33,33,"0,5","0,01","0,004",,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.5 g,en faible quantité,0.1 g,en faible quantité,33 g,en quantité élevée,0.01 g,en faible quantité,,-34%,-34%,+107%,+122%,-38%,-35%,+13%,-56%,-56%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
933,Pizza Au Chevre -  - 150g,3577373333334,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,272,1138 kj(272 kcal),"10,4","9,9","31,8","2,1","12,8","1,26","0,504",,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",10.4 g,en quantité modérée,9.9 g,en quantité élevée,2.1 g,en faible quantité,1.26 g,en quantité modérée,,+19%,+19%,+24%,+152%,+18%,-29%,+24%,+1%,+1%,17,+119%,D,+119%,,,,,,,,150 g,,,,,,,,,,,
934,Melange aperitif au curcuma,3390390003512,['Bio'],['France'],[],[],?,622,2602 kj(622 kcal),"53,2","6,7","7,8","4,7","21,6","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Pave de rumsteck,2946366002280,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Gouda holi-and au cumin IGP,2488016012404,,['France'],[],[],?,376,1573 kj(376 kcal),"30,8","21,4",0,0,"23,8","1,7","0,68","['FR 69.273.010 CE', 'Corbas (Rhône, France)']",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",30.8 g,en quantité élevée,21.4 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+1%,+1%,0%,+2%,-100%,-100%,+0%,-7%,-7%,16,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
937,Queue de filet de saumon élevé en norvege,2869501023752,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Confiture extra framboise,3770010063179,,['France'],[],[],?,220,920 kj(220 kcal),"0,2",0,55,55,"0,9",0,0,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.2 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,-26%,-100%,+3%,+7%,+33%,-100%,-100%,7,-21%,C,-21%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,
939,Croidsants tournesol x10,0201525019359,,['France'],[],[],?,559,2339 kj(559 kcal),33,15,51,"7,9",13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Smarties - Nestlé,79960038,,['France'],[],[],?,478,2000 kj(478 kcal),20,11,69,64,"5,3","0,14","0,056",,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Échine salée supérieure,2294902041652,,['France'],[],[],?,102,427 kj(102 kcal),23,"0,9",11,"0,3",19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Kombu,4035458203570,,['France'],[],[],?,110,460 kj(110 kcal),"1,1",0,"45,2",0,"7,4","3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Pain de maïs,0236239009181,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Black Soya Bean Mochi - Clearspring,5021554989356,['en:gluten-free'],"['France', 'Royaume-Uni']","['Sweet brown rice* ', '91%', 'black soya beans* ', '8%', ' ', 'sea salt', ' *organically grown']",[],?,241,1008 kj(241 kcal),"4,1","0,9",43,"0,6",6,"0,12","0,048",,,['Clearspring'],"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Mochi']",4.1 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en faible quantité,0.12 g,en faible quantité,,-20%,-22%,+2%,-36%,-34%,-98%,+136%,-33%,-33%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,
945,MultiVit 4G,3700221317563,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Sablé Delauney le veille - 300g,0654479215030,['Fabriqué en France'],['France'],[],[],?,514,2151 kj(514 kcal),26,17,65,31,5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,
947,Besi bir yerde 5 herbs,8699580004229,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,L'incroyable Riz au Lait Vanille,0205875020140,,['France'],[],[],?,172,720 kj(172 kcal),"8,4","5,7",21,13,13,"0,7","0,28",,B,,"['Desserts', 'Puddings', 'Riz au lait', 'Riz au lait saveur vanille']",8.4 g,en quantité modérée,5.7 g,en quantité élevée,13 g,en quantité élevée,0.7 g,en quantité modérée,,+30%,+31%,+130%,+148%,+1%,+4%,+298%,+443%,+443%,12,+233%,D,+233%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,,,,,
949,Muesli Traditionnel,3111900380219,"['Bio', 'Fabriqué en France']",['France'],[],[],?,352,1473 kj(352 kcal),"5,9","3,1",62,17,"8,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Tartelettes fines pommes,3602826544071,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Tartes', 'Tartes sucrées', 'Tartelettes', 'Tartes aux pommes']",,,,,,,,,,,,,,,,,,,,,,,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,
951,Barlauch - Ostmann,4002674041095,,['France'],[],[],?,?,,?,,?,,?,,,,,['Ostmann'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,HIMALAYAS TUZU,8690906008327,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Miel de printemps,3770000529005,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
954,Sorbete de fresa sabor campestre ecológico sin,8436000574883,['Bio'],['France'],[],[],?,146,611 kj(146 kcal),2,2,32,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Eclairs chocolats/vanilles - 420g,0260202017057,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420 g,,,,,,,,,,,
956,Saucisse à tartiner bio,0201546015286,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,480,2008 kj(480 kcal),"48,1","17,7","1,4","0,5","11,1","3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Haché veggie - La Vie Claire - 200g,3266191053196,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique']",['France'],[],"['Végétalien', 'Végétarien']",?,167,699 kj(167 kcal),"9,9","0,9","3,2","2,4",14,"0,9","0,36",,,['La Vie Claire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
958,GreenWise crunchy peanut butter,0041415223196,,['France'],[],[],?,200,837 kj(200 kcal),17,3,7,1,8,1,"0,4",,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes', 'Beurres de cacahuetes croustillants']",17 g,en quantité modérée,3 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,,-65%,-65%,-62%,-62%,-47%,-83%,-65%,+83%,+83%,4,-71%,C,-71%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,
959,"Barrita de quinoa, semillas y arándanos sin gluten - Miterra",8435470202050,,['France'],[],[],?,128,536 kj(128 kcal),"5,8","0,8","19,2",15,"2,6","0,016","0,007",,,['Miterra'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Magret de cannard,2209030007784,,['France'],[],[],?,0,0 kj(0 kcal),29,10,1,0,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Quenelles Nature - 25x 40g,3606521542189,,['France'],[],[],?,221,925 kj(221 kcal),14,"1,5",17,"0,5","6,8","1,2","0,48",,C,,"['Plats préparés', 'Quenelles', 'Quenelles nature']",14 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,-2%,-1%,-3%,-65%,+6%,-40%,+1%,+14%,+14%,4,-49%,C,-49%,76.7%,10.9%,5.4%,4.0%,2.4%,0.6%,65,25 x 40 g,,,,,,,,,,,
962,Fussili multisabor bio orgánic de producción ecológica - Valmasera,8436018046235,['Bio'],['France'],[],[],?,351,1469 kj(351 kcal),"1,5","0,06",74,2,12,"0,02","0,008",,,['Valmasera'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Nonnettes cassis - Culture Miel - 150g,3540860026569,,['France'],[],[],?,332,1389 kj(332 kcal),"1,2","0,16","76,7","45,3","3,7","0,65","0,26",,,['Culture Miel'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",1.2 g,en faible quantité,0.16 g,en faible quantité,45.3 g,en quantité élevée,0.65 g,en quantité modérée,,-2%,-2%,-39%,-62%,+1%,+0%,+0%,+22%,+22%,16,+7%,D,+7%,,,,,,,,150 g,,,,,,,,,,,
964,Polen de flores fuente de proteínas españa tarro - La Obrera - 225g,8411882000415,,['France'],[],[],?,?,,?,,?,,?,,,,,['La Obrera'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225 g,,,,,,,,,,,
965,Roti cuit ls,0203525024463,,['France'],[],[],?,132,552 kj(132 kcal),"4,3","1,7","0,5","0,5",23,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Ricola alpin Fresh,7610700009451,,['France'],[],[],?,?,,?,,?,,?,,,,,['Ricola'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Les milanaises,2481831037461,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Yaourt au lait de chevre,0205853014338,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Rooibos au bleuets,0842001000708,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,"Cafe Bio-time,",5400141223774,,['France'],[],[],?,?,,?,,?,,?,,,,,['Bio-Time'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,La belle escalope,0217642010766,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Poulet Curcuma risotto aux legumes,9399042000002,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Fabriqué en France']",['France'],[],[],?,166,695 kj(166 kcal),"7,2","2,62","9,54","1,7","15,21","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Jambon cuit supérieur L'Original,0239352030698,,['France'],[],[],?,132,552 kj(132 kcal),"5,7","1,9","0,8","0,8",19,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Rie,3037359446514,,['France'],[],[],?,351,1469 kj(351 kcal),"0,8","0,4",77,"0,1","8,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Halva Nature - Torku,8690120050225,,['France'],[],[],?,516,2159 kj(516 kcal),"27,8","3,87","51,2","46,8",12,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Mel de cana,5603831010115,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Algasel,7640128630593,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Ossau-Iraty - Carrefour,2689135027885,,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
979,Saint nectaire laitier,2444522029657,,['France'],[],[],?,332,1389 kj(332 kcal),27,18,"1,1","0,5",21,"1,5","0,6",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-Nectaire laitier']",27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,-5%,-5%,-4%,-7%,+61%,+55%,-8%,-10%,-10%,15,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
980,Vergeoise poire,3276550577423,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
