,name,bar_code,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,nova_score,additives,allergens,markets,traceability_code,palm_ingredients,link,origin_detail,producer_info
949,Les mendiants - Max et ses gourmandises - 220g,3760070240849,220g,['Max et ses gourmandises'],,,['France'],[],[],,,,,,,,,?,,526,,2201 kj(526 kcal),,"32,4",,"13,2",,"47,1",,"35,5",,"7,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
950,Abbaye DePetites Galettes De Blé Noir Aux Pépites De Caramel - Abbaye La Joie Notre-Dame,3760071218724,,['Abbaye La Joie Notre-Dame'],,,['France'],[],[],,,,,,,,,?,,486,,2033 kj(486 kcal),,"27,3",,"17,2",,"54,5",,"26,9",,"4,7",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
951,Pâté de foie de volaille,3760072494257,,,,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,253,,1059 kj(253 kcal),,22,,"7,9",,"0,1",,0,,15,,"1,53",,"0,612",,,,,,,,,,,,,,,,,,,,,,,,,,
952,Yaourt fermier,3760072580172,,,,,['France'],[],[],,,,,,,,,?,,91,,381 kj(91 kcal),,"3,8",,0,,"11,05",,"8,75",,"3,05",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Jus d'ananas - Pronatura - 75cl,3760074472000,75 cl,['Pronatura'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",['France'],"[""Pur jus d'ananas*"", "" * Produits issus de l'agriculture biologique""]",[],0.1 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité élevée,0 g,en faible quantité,?,,48.5,-1%,203 kj(48 kcal),-1%,"0,1",-45%,0,-100%,"11,6",-1%,"11,6",+4%,"0,3",-15%,0,-100%,0,-100%,5,-3%,C,-3%,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Bouteille en verre', 'Capsule en métal', 'Tetra Pak', 'Bouchon']",,,,,,['Biocoop Caluire'],"['EMB 13089C', 'Saint-Andiol (Bouches-du-Rhône, France)']",,,,
954,Nectar mangue - Pronatura - 75cl,3760074473304,75 cl,['Pronatura'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue', 'Boissons avec sucre ajouté']","['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Point Vert', 'Max Havelaar', 'AB Agriculture Biologique']",['France'],"['Eau', 'purée de mangue ', '>40 %', 'sucre de canne', 'jus de citron concentré ', '<1 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,10.1 g,en quantité élevée,0 g,en faible quantité,?,,43,-17%,180 kj(43 kcal),-17%,"0,1",-43%,0,-100%,"10,3",-17%,"10,1",-13%,"0,3",+11%,0,-100%,0,-100%,13,-17%,E,-17%,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Bouteille', 'Verre', 'métal', 'Capsule en métal']",,,3,,,['Biocoop Caluire'],"['EMB 13089C', 'Saint-Andiol (Bouches-du-Rhône, France)']",,,,
955,Cake aux fruits - Les Delices De Marie - 350g,3760074872282,350 g,['Les Delices De Marie'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']",,['France'],"['Fruits confits 33%', 'papayes 16%', 'saccharose', ""correcteur d'acidité : acide citrique"", 'conservateur : sorbate de potassium', 'colorant ', ': E150a', 'carmin de cochenille', 'E133', 'cerise rouge 10%', 'bigarreaux', 'sirop de glucose-fructose', 'saccharose', ""correcteur d'acidité : acide citrique"", 'suflites', 'colorants : E127', 'raisins secs 6%', ""écorces d'orange 1%"", 'farine blé', 'oeufs', 'beurre', 'sucre lait,rhum', 'stabilisants : sorbitol', 'sirop de sucre inverti', 'poudre à lever : diphosphate et carbonate de sodium', 'conservateur : sorbate de potassium', 'sel', 'épaississant : gomme de xanthane']","['Non végétalien', 'Non végétarien']",12.9 g,en quantité modérée,8.4 g,en quantité élevée,35.5 g,en quantité élevée,0.72 g,en quantité modérée,?,,1494,+285%,6251 kj(1494 kcal),+283%,"12,9",-16%,"8,4",+90%,"54,4",-3%,"35,51",+6%,"4,4",-9%,"0,72",+23%,"0,288",+23%,28,+68%,E,+68%,C,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,,,,,4,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E127 - Érythrosine', 'E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Lait']",,,,,,
956,Reblochon de Savoie - La Fruitiere D'Arbusigny - 450g,3760075290856,450 g,"[""La Fruitiere D'Arbusigny""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],[],27 g,en quantité élevée,19 g,en quantité élevée,1 g,en faible quantité,1.3 g,en quantité modérée,?,,326,+1%,1364 kj(326 kcal),+1%,27,+1%,19,+1%,1,+172%,1,+342%,20,0%,"1,3",-3%,"0,52",-3%,14,-2%,D,-2%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Frais'],,,,,,,,,,,
957,NUTEBON - Nut Et Bon,3760076001291,,['Nut Et Bon'],,"['Bio', 'Bio européen', 'Sans gluten', 'FR-BIO-01', 'Sans huile de palme', 'AB Agriculture Biologique']",['France'],"['sucre roux de canne*', 'huile de coprah*', 'noisettes entière/ 14', '3%', 'ptQtélne-dE3Qla-*', 'cacao* 7%', 'huile de tournesol*', 'fleur de sel de Guérande', 'vanille*', "" *Ingrédients issus de l'agriculture biologique"", ' aleurs']",[],,,,,,,,,?,,588,,2460 kj(588 kcal),,"42,1",,"28,8",,"40,8",,"37,6",,"9,7",,0,,0,,,,,,,,,,,,,,,['Bocal en verre'],,,,,,,,,,,
958,Choko noisette sans palme - Noiseraie Productions - 680g,3760076003059,680 g,['Noiseraie Productions'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Bio', 'Ecocert', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'en:palm-oil-free', 'AB Agriculture Biologique', 'Afdiag', 'Equitable Ecocert']",['France'],"['Sucre roux de canne du Brésil 40 %', 'matières grasses végétales ', 'huile de tournesol', 'beurre de cacao', 'noisettes 20 %', 'cacao 7 %', 'lait écrémé', 'extrait de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",41.1 g,en quantité élevée,11.4 g,en quantité élevée,43.4 g,en quantité élevée,0 g,en faible quantité,?,,587,+7%,2456 kj(587 kcal),+7%,"41,1",+21%,"11,4",+48%,"44,9",-13%,"43,4",-9%,"7,1",+4%,0,-100%,0,-100%,22,+6%,E,+6%,C,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,Pâte à tartiner,['Verre'],['Brésil'],"['Mézières-en-Brenne', 'Indre', 'France']",3,,"['Lait', 'Fruits à coque']",['Biocoop'],"['EMB 36123A', 'Mézières-en-Brenne (Indre, France)']",,,,
959,30 carrés de chocolat noir emballages individuels - Saveurs & Nature - 30x 4.5g,3760077184511,30 x 4.5 g,['Saveurs & Nature'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],"['Chocolat noir à 72% de cacao minimum* ', 'pâte de cacao* et beurre de cacao* 74,5%', 'sucre de canne* 25', '5%', "" \r100% des ingrédients d'origine agricole sont issus de l'agriculture biologique""]",[],44.1 g,en quantité élevée,27.8 g,en quantité élevée,25.1 g,en quantité élevée,20 g,en quantité élevée,?,,551,-1%,2305 kj(551 kcal),-1%,"44,1",+12%,"27,8",+20%,"29,7",-23%,"25,1",-21%,"7,8",+2%,20,+42727%,8,+42727%,31,+46%,E,+46%,D,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,carrés de chocolat noir 72% de cacao minimum,['Carton'],,,3,,,,"['EMB 85197A', 'Saint-André-Treize-Voies (Vendée, France)']",,,,
960,Chocolat Lait Croquant Amande 100G - Saveurs & Nature,3760077187048,,['Saveurs & Nature'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['en:gluten-free', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],40.5 g,en quantité élevée,24.2 g,en quantité élevée,44.8 g,en quantité élevée,0.166 g,en faible quantité,?,,584,+6%,2443 kj(584 kcal),+6%,"40,5",+17%,"24,2",+23%,47,-9%,"44,8",-9%,"6,9",-4%,"0,166",-29%,"0,066",-29%,26,+2%,E,+2%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,,,
961,Mini Rochers Chocolat Au Lait - Saveurs & Nature - 135g,3760077187406,135 g,['Saveurs & Nature'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']","['Bio', 'Bio européen', 'Fabriqué en France', 'en:palm-oil-free']",['France'],"['Praliné noisette 53% ', 'purée de noisette', 'sucre de canne', 'beurre de cacao', ' chocolat au lait ', 'pâte de cacao et beurre de cacao 40', '5%', 'sucre de canne roux 40', '5%', 'poudre de lait entier 19%', ' noisette grillée']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",38.5 g,en quantité élevée,13 g,en quantité élevée,48.9 g,en quantité élevée,35.6 g,en quantité élevée,?,,587.1,+11%,2456 kj(587 kcal),+11%,"38,5",+20%,"12,99",-25%,"49,5",-6%,"48,86",+3%,"8,36",+42%,"35,61",+23175%,"14,244",+23175%,36,+48%,E,+48%,,,,,,,,,,,,,3,,"['Lait', 'Fruits à coque']",,['FSC-C075506'],,,,
962,Amaretto - pernier - 0.70l,3760077531995,0.70 l,['Pernier'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Tagliatelle aux cèpes - Mariella Berro - 250g,3760077534064,250 g,['Mariella Berro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Tagliatelles']",,['France'],"['Semoule de blé dur', 'cèpes 2 % ', 'Boletus Edulis e rel', ' gruppo', 'arôme']",[],3.8 g,en quantité modérée,0.23 g,en faible quantité,4 g,en faible quantité,0 g,en faible quantité,?,,380,+19%,1590 kj(380 kcal),+20%,"3,8",+61%,"0,23",-62%,"71,1",+18%,4,+98%,"12,5",+14%,0,-100%,0,-100%,-1,,A,,C,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,Tagliatelles de qualité supérieure aromatisées aux cepes,"['Carton', 'Plastique']",,['Italie'],4,,['Gluten'],,,,,,
964,Pâtes trofie - Artesani,3760077534798,,['Artesani'],,['Fabriqué en Italie'],['France'],"[""Fabriqué en pour: PASSION 47/49 boulevard d'Italie MONACO de préférence avant de voir ser le sache t"", ' refermer le et le 500 g e']",[],,,,,,,,,?,,351,,1469 kj(351 kcal),,"0,3",,0,,"73,5",,"3,9",,"12,1",,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,
965,Exopharm Cranberries Bio. Sachet,3760077790781,,['Exopharm'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",['France'],[],[],1.6 g,en faible quantité,0 g,en faible quantité,71.1 g,en quantité élevée,0 g,en faible quantité,?,,361,+7%,1510 kj(361 kcal),+7%,"1,6",+127%,0,-100%,"83,4",+5%,"71,1",+8%,0,-100%,0,-100%,0,-100%,5,-31%,C,-31%,,,,,,,,,,,,,,,,,,,,,
966,Exopharm Graines De Chia Bio. Sachet,3760077790972,,['Exopharm'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,['France'],[],[],31.4 g,en quantité élevée,3.8 g,en quantité modérée,0.8 g,en faible quantité,0 g,en faible quantité,?,,444,-1%,1858 kj(444 kcal),-1%,"31,4",+2%,"3,8",+22%,"4,9",-59%,"0,8",+45%,"21,2",+5%,0,-100%,0,-100%,3,+233%,C,+233%,D,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,,,,
967,Spécule os chocolat  lait fourré pralinée  feuilletée - Comptoir du Cacao - 80g,3760078996779,80 g,['Comptoir du Cacao'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",,['France'],[],[],36 g,en quantité élevée,16 g,en quantité élevée,33 g,en quantité élevée,0.16 g,en faible quantité,?,,562,+1%,2351 kj(562 kcal),+1%,36,+1%,16,-6%,49,-2%,33,-30%,8,+14%,"0,16",+25%,"0,064",+25%,24,-3%,E,-3%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,"['Carton', 'Plastique']",,,,,,,,,,,
968,Cacao Light Noir 75% - Comptoir du Cacao,3760078997394,,['Comptoir du Cacao'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats noirs', 'Chocolats noirs aux édulcorants']","['Peu ou pas de sucre', 'Sans sucre ajouté', 'Sans sucre', 'Avec édulcorants']",['France'],"['Cacao', 'maltitol', 'beurre de cacao', 'vanille', 'émulsifiant : lécithine de soja Traces éventuelles de lait', 'gluten et fruits à coques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",45 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,0.01 g,en faible quantité,?,,529,+6%,2213 kj(529 kcal),+6%,45,+16%,27,+18%,28,-25%,0,-100%,9,+23%,"0,01",-74%,"0,004",-74%,16,+21%,D,+21%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,4,"['E965 - Maltitol', 'E322i - Lécithine']",,,,,,,
969,Tablette de chocolat Noir coeurs - Comptoir du Cacao,3760078998063,,['Comptoir du Cacao'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['France'],"['Chocolats noir & blanc pur beurre de cacao ', 'minimum de cacao 72%', ' Pâte de cacao', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'farine de blé ', 'gluten', 'amidon de blé', 'sirop de glucose', ""agent d'enrobage "", 'maltodextrine', 'résine de shellac', 'agent de texture ', 'gélatine', 'sel', 'émulsifiant ', 'lécithine de sola', 'colorants alimentaires pour décors ', 'E100', 'E174', ""E129* [*Peut avoir des effets indésirables sur l'activité et l'attention des enfants]"", 'arôme naturel de vanille', 'vanilline']","['Non végétalien', 'Non végétarien']",44 g,en quantité élevée,27 g,en quantité élevée,32 g,en quantité élevée,0.07 g,en faible quantité,?,,583,+5%,2439 kj(583 kcal),+5%,44,+12%,27,+17%,34,-12%,32,+1%,7,-9%,"0,07",+50%,"0,028",+50%,24,+13%,E,+13%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,4,"['E428 - Gélatine', 'E322i - Lécithine', 'E100 - Curcumine', 'E174 - Argent', 'E129 - Rouge allura AC']",['Gluten'],,,,,,
970,Olivade noire,3760079070058,,,,,['France'],[],[],,,,,,,,,?,,285,,1192 kj(285 kcal),,"30,3",,"4,1",,"0,3",,"0,3",,"0,7",,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,,,
971,Huile olive vierge Mosto,3760079530200,,,,,['France'],[],[],,,,,,,,,?,,824,,3448 kj(824 kcal),,"91,6",,15,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Confirure - Au Temps d'Eugénie - 325g,3760082198558,325 g,"[""Au Temps d'Eugénie""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,['France'],[],[],0.5 g,en faible quantité,0.5 g,en faible quantité,50.2 g,en quantité élevée,0.01 g,en faible quantité,1065,+15%,106,-52%,1065 kj(106 kcal),+16%,"0,5",+92%,"0,5",+1029%,"60,8",+14%,"50,2",-1%,"0,5",+28%,"0,01",-40%,"0,004",-40%,8,-13%,C,-13%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Confiture de Myrtille,"['Bocal', 'Verre', 'Métal']",,,,,,,,,,,
973,Crevettes - Crusta,3760082431709,,['Crusta'],,,['France'],['sue/'],[],,,,,,,,,?,,91,,381 kj(91 kcal),,"0,5",,"0,2",,"0,6",,"0,5",,"22,6",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
974,Queue de langouste,3760082439477,,,"['Produits de la mer', 'Crustacés', 'Langoustes', 'Queues de langoustes']",,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,2.2 g,en quantité élevée,?,,95,+4%,397 kj(95 kcal),+4%,"0,5",-42%,"0,1",-43%,"0,5",-35%,"0,5",+172%,22,+14%,"2,2",+241%,"0,88",+241%,5,,C,,E,88.4%,0.0%,2.5%,6.2%,1.2%,1.6%,18,,,,,,,,,,,,,
975,Tablette Trinidad - François Pralus,3760085320031,,['François Pralus'],,,['France'],[],[],,,,,,,,,?,,585,,2448 kj(585 kcal),,44,,28,,33,,26,,"9,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Pralus Republique Dominicaine 100 Gram Chocolate Bar - Francois pralus - 100g,3760085320116,100 g,['Francois pralus'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['Pur beurre de cacao'],['France'],"['75 % cacao', 'sucre', 'pur beurre de cacao', 'LÉCITHINE DE SOJA sans OGM']","['Sans huile de palme', 'Végétalien', 'Végétarien']",44 g,en quantité élevée,28 g,en quantité élevée,26 g,en quantité élevée,0 g,en faible quantité,?,,585,+5%,2448 kj(585 kcal),+6%,44,+12%,28,+21%,33,-15%,26,-18%,"9,4",+23%,0,-100%,0,-100%,22,+4%,E,+4%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,3,['E322i - Lécithine'],"['Fruits à coque', 'Soja']",,,,,,
977,Chocolat - Francois Pralus,3760085323360,,['Francois Pralus'],,,['France'],[],[],,,,,,,,,?,,585,,2448 kj(585 kcal),,44,,28,,33,,26,,"9,4",,0,,0,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,
978,Biscuits De Montbozon x10 - Biscuiterie de l abbaye,3760086670104,,['Biscuiterie de l abbaye'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,['France'],"['farine ', 'blé', 'sucre', 'oeufs', 'eau', 'stabilisant : sorbitol', 'poudre à lever ', 'blé', 'sirop de sucre inverti', 'arômes naturels', 'sorbate de potassium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4.9 g,en quantité modérée,1.3 g,en faible quantité,40 g,en quantité élevée,0.175 g,en faible quantité,?,,353,-21%,1477 kj(353 kcal),-21%,"4,9",-70%,"1,3",-79%,69,+3%,40,+26%,"8,9",+21%,"0,175",-63%,"0,07",-63%,12,-29%,D,-29%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,4,"['E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten']",,,,,,
979,Pépites de chocolats,3760086670227,,,,,['France'],[],[],,,,,,,,,?,,379,,1586 kj(379 kcal),,"7,4",,3,,70,,43,,"8,8",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,,
980,Sel Fin à L' Ail Des Ours Bio salière 180 g - Ecoidees,3760087360165,,['Ecoidees'],,['Bio'],['France'],"[""leselde l'Himalaya est considéré *illeur du monde"", ' Set complet a conservé tous les minéral ""x', 'En art culinaire', ""il est à / du agrémenté d'herbes ou # - h}rédients : Aflcristallin de l'Himalaya 90%"", ':ldes ours* 2% "" uuits issus de I \'agriculture biologsv P mates provenant exclusivement de f ', 'lieurs travaillant sans produits chif GSP sources sont totalement confc', ""ethique et à notre engager,- ornotion des produits biologtqv d'origine garantie,""]",[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"88,575",,"35,43",,,,,,,,,,,,,,,,,,,,,,,,,,
981,Salade de Poulpes entiers - Palais des Mets - 200g,3760089330074,200 g,['Palais des Mets'],"['Plats préparés', 'Salades', 'Salades composées']",,['France'],"['Petites pieuvres ', '53%', 'huile de tournesol', 'légumes en proportion variable ', '12%', ' ', 'céleri', 'carottes', 'vinaigre de vin', 'persil', 'ail', 'sel alimentaire', 'acidifiants : E330 - E575', 'conservateur : E211', ' Contient sulfites']",[],6.4 g,en quantité modérée,0.9 g,en faible quantité,0.7 g,en faible quantité,1.38 g,en quantité modérée,515,-16%,123,-19%,515 kj(123 kcal),-19%,"6,4",-29%,"0,9",-33%,"1,6",-84%,"0,7",-69%,"14,7",+166%,"1,375",+56%,"0,55",+56%,2,+32%,B,+32%,,,,,,,,,,"['Barquette', 'Plastique']",,['Italie'],3,"['E330 - Acide citrique', 'E575 - Glucono-delta-lactone', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']","['Céleri', 'Anhydride sulfureux et sulfites', 'Pieuvres']",['Franprix'],['IT 1153 CE'],,,,
982,"Saumon fume sauvage de la Baltique PALAIS DES METS, 4 tranches",3760089330869,,['Palais Des Mets'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",,['France'],[],[],12.4 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,2.8 g,en quantité élevée,?,,195,+47%,816 kj(195 kcal),+48%,"12,4",+233%,"1,9",+136%,"0,5",+1%,"0,5",+37%,"20,8",-13%,"2,8",-5%,"1,12",-5%,13,+17%,D,+17%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,"['EMB 49267D', ""Saint-Barthélemy-d'Anjou (Maine-et-Loire, France)""]",,,,
983,Oeufs de lompe noirs,3760089332092,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump', 'Oeufs de lompes noirs']",,['France'],[],[],4.2 g,en quantité modérée,0.7 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité élevée,?,,82,+6%,343 kj(82 kcal),+7%,"4,2",+13%,"0,7",-16%,0,-100%,0,-100%,11,+14%,"4,5",-1%,"1,8",-1%,11,+50%,D,+50%,,,,,,,,,,,,,,,,,,,,,
984,Saumon atlantic fumé - Palais des Mets - 0.160kg,3760089332740,0.160 kg,['Palais des Mets'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,['France'],"['Saumon atlantique ', 'Salmo salar', ' élevé au Royaume-Uni ', 'Ecosse', 'el']","['Non végétalien', 'Non végétarien']",12.3 g,en quantité modérée,1.95 g,en quantité modérée,0 g,en faible quantité,2.43 g,en quantité élevée,?,,201,+5%,841 kj(201 kcal),+6%,"12,3",+11%,"1,95",-9%,"0,5",+1%,0,-100%,"22,4",+1%,"2,43",-16%,"0,972",-16%,13,-4%,D,-4%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,['Ecosse'],,,,,,,,,,
985,Fleur de sel - Rive -saline,3760090080081,,['Rive -saline'],"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,['France'],['Sel'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,2,,,,,,,,
986,Cocktail piquant - culture du sud - 215g,3760090191244,215g,['culture du sud'],,,['France'],[],[],,,,,,,,,?,,521,,2180 kj(521 kcal),,31,,"6,2",,45,,"3,4",,14,,"2,1",,"0,84",,,,,,,,,,,,,,,['Pot'],,,,,,,,,,,
987,Cocktail Énergie-Mix - Les Cultures du Sud - 290g,3760090191596,290 g,['Les Cultures du Sud'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs', 'Aliments à base de plantes séchés']",,['France'],"['Cacahuètes', 'noix de cajou', 'amandes', 'noisettes', 'raisins secs', 'huile végétale et sel']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",49 g,en quantité élevée,5.2 g,en quantité élevée,12 g,en quantité modérée,2.1 g,en quantité élevée,?,,581,+78%,2431 kj(581 kcal),+79%,49,+531%,"5,2",+313%,24,-51%,12,-68%,16,+189%,"2,1",+914%,"0,84",+914%,8,+208%,C,+208%,,,,,,,,,,"['Pot', 'Plastique']",['Espagne'],,3,,"['Fruits à coque', 'Arachides']","[""Aire d'autoroute""]","['EMB 40224B', 'Peyrehorade (Landes, France)']",,,,
988,Yaourts,3760091000194,,,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,"2,9",,"1,9",,14,,13,,3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
