,name,bar_code,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,nova_score,additives,allergens,markets,traceability_code,palm_ingredients,link,origin_detail,producer_info
449,Boulettes de boeuf asiatiques - Lakovo,3547230020028,,['Lakovo'],,,['France'],"['bœuf ', '90%', "" origi'i"", ' UE', 'eau', 'fécule de pomme de terre', 'sucre', 'poivras sel/ exhausteur de goût : E621 ', 'poudres à lever : E450i', 'E500ii', ""amidon dmma'l's"", 'ferments lactiques', 'E450', 'E451', 'E452', 'conservateurs : E262', '825', ""MODE D'[MPLOI: consommer en potage ou en brochettes à griller"", ' A co gmmer rapidement après ouverture', ' Ne jamais recongeler Ifrprodujt décongelé beef ', '90%', ' EU origin', 'water,']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,136,,569 kj(136 kcal),,"5,7",,"2,3",,"6,6",,"0,6",,15,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium']",['Lait'],,"['FR 93.072.145 CE', 'Stains (Seine-Saint-Denis, France)']",,,,
450,Boulette de viande avec nerfs asiatique,3547230020035,,,,,['France'],[],[],,,,,,,,,?,,125,,523 kj(125 kcal),,"3,7",,"1,5",,"5,9",,"0,8",,17,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,"['FR 93.072.145 CE', 'Stains (Seine-Saint-Denis, France)']",,,,
451,Pot 50g Coriandre Moulue - Epicea,3547400001314,,['Epicea'],,,['France'],"['coriandre moulue déshydraté Coriandre moulue', ' ?entuelles de céleri', 'gluten', 'laitr: sulfites', "" - '*tes plats tels le couscous"", ""sauce à base de viarceS saupoudrage sur vos repara Voirlada esurP/' dans un de la lumière après uülisation""]",[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,4,,"['Céleri', 'Gluten']",,,,,,
452,Merguez véritables,3547448745591,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,['France'],[],[],21.4 g,en quantité élevée,9.9 g,en quantité élevée,1.3 g,en faible quantité,2 g,en quantité élevée,?,,261,-1%,1092 kj(261 kcal),-1%,"21,4",-0%,"9,9",+8%,"3,3",+56%,"1,3",+13%,"13,9",-3%,2,+5%,"0,8",+5%,20,+6%,E,+6%,E,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,,"['FR 31.091.010 CE', 'Bruguières (Haute-Garonne, France)']",,,,
453,Steak haché 5% M.G.,3547448746130,,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']",,['France'],[],[],5 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,?,,131,-21%,548 kj(131 kcal),-21%,5,-51%,"2,3",-46%,0,-100%,0,-100%,"21,5",+10%,"0,18",-12%,"0,072",-12%,-2,-261%,A,-261%,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,
454,Steak haché - Sovivo,3547448746635,,['Sovivo'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']","['Viande Française', 'Viande-bovine-francaise']",['France'],"['0398 STERK HRCHE 20% M', 'G', ' GRASSE INFE*EUR VIRNOE INFERIEUR R ÊCHEE : MOS3k', 'j/256kca1', 'déclaraiioi% ', '_Og cion{ saurés ge4g„ Og', "" pro±éines 'IS,0g"", 'sel', 'Cl,oag', ' cof SuS HTHMOSPHERE PROTECTRICE']",[],20 g,en quantité modérée,9 g,en quantité élevée,0 g,en faible quantité,0.975 g,en quantité modérée,?,,256,+37%,1071 kj(256 kcal),+36%,20,+61%,9,+72%,0,-100%,0,-100%,19,-1%,"0,975",+345%,"0,39",+345%,15,+447%,D,+447%,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,
455,Batons de chocolat,3551452121128,,,,,['France'],[],[],,,,,,,,,?,,560,,2343 kj(560 kcal),,"35,2",,20,,"53,8",,"48,6",,6,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
456,Haché De Saumon X2 - L assiette bleue,3551610007981,,['L assiette bleue'],['Haché de saumon'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],12 g,en quantité modérée,2.1 g,en quantité modérée,1.5 g,en faible quantité,0.65 g,en quantité modérée,?,,202,,845 kj(202 kcal),,12,,"2,1",,"4,9",,"1,5",,"17,9",,"0,65",,"0,26",,1,,B,,,,,,,,,,,,,,,,,,,,,,
457,Mini Palets Pépites De Chocolat,3552085004765,,,,['Triman'],['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,21,,11,,56,,25,,"6,3",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
458,8 Palets Bretons au Chocolat - Les Recettes Bretonnes - 125g,3552085009548,125 g,['Les Recettes Bretonnes'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés']",,['France'],"['Farine de blé ', 'gluten', 'beurre pâtissier ', 'lait', ' 22 %', 'sucre', 'perles de chocolat 8 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'vanilline', 'œufs frais entiers', ""jaune d'œuf"", 'poudre à lever ', 'diphosphate disodique', ""carbonate acide de sodium carbonate d'ammonium"", 'sel de Guérande 0,4 %', 'stabilisant : sorbitol sucre inverti', 'arôme naturel']",['Non végétalien'],21 g,en quantité élevée,11 g,en quantité élevée,25 g,en quantité élevée,0.7 g,en quantité modérée,?,,444,-9%,1858 kj(444 kcal),-10%,21,-10%,11,-21%,56,-11%,25,-2%,"6,3",+2%,"0,7",+2%,"0,28",+2%,23,+5%,E,+5%,C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,8 Palets Bretons au Chocolat,"['Carton', 'boîte', 'Plastique']",,,4,"['E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E420 - Sorbitol']","['Œufs', 'Gluten', 'Lait']",['Magasins U'],,,,,
