,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,markets,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,labels,producer_info,additives,nova_score,packaging,eco_score,categories,manufacturing,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,brand_owner,origin_detail
1139,JORDANS Granola,5010477360755,['France'],[],[],?,441,"13,3","65,4","11,1",,,1845 kj(441 kcal),"3,8","3,8",,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Chondrodol,3700640500867,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Tranchettes mimolette x14,3257987141586,['France'],[],[],?,320,24,"0,5",25,,,1339 kj(320 kcal),17,"0,5",,2,"0,8",,,"['Nutriscore', 'Nutriscore D']",,,,"['Barquette', 'Opercule en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Lio delle saline olio extra vergine di oliva,8002591811166,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,
1143,Fusilli,8033712790145,['France'],[],[],?,1488,1,69,13,,,6226 kj(1488 kcal),"0,3","4,3",,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Riz parfumé au Jasmin - TODEÏ - 500g,3770014043290,['France'],[],[],1496,357,"1,8",78,"7,1",['TODEÏ'],,1496 kj(357 kcal),"0,2","0,1",,,,Riz BIO parfumé au jasmin long grain,500g,"['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique', 'Rice Trade']",,,,['Sachet'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï', 'Riz blanc', 'Riz thaï blanc', 'Epicerie salée']","['Conditionné en France', 'Origine Cambodge']",+0%,+2%,+142%,0%,-2%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,1.8 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,,,+1%,+5%,-46%,,,,,,,,,
1145,Oignons,3700696503669,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Le regionalIGPrezzemolo dell'emilia romagna bio foglie,8003240217957,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,3701233573138,3701233573138,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Riz à la méditerranéen,26002422,['France'],[],[],?,151,3,27,"2,4",,,632 kj(151 kcal),"0,4",1,,"0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,La veggie,3760269713239,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Chocolat du pays basque,3514962001816,['France'],[],[],?,564,"36,6","48,9",8,,,2360 kj(564 kcal),"13,3","37,5",,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Chocolat noiret eclats d’amandes,3700125816124,['France'],[],[],?,574,45,26,10,,,2402 kj(574 kcal),24,22,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,"Mutti Pelati KG. 2,5",8005110043000,['France'],[],[],?,22,"0,5","3,6","1,1",,,92 kj(22 kcal),"0,1","2,9",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,3551780000096,3551780000096,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Blueberries - Driscoll's - 125g,8720195160229,"['France', 'Norvège']",['BLUEBERRIES Origin: Morocco Class 1'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,"[""Driscoll's""]",['FSC-C139458'],,,,,,,,125 g,"['Catégorie I', 'Point Vert']",,,1,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Myrtilles']",,,,,,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,['Maroc'],,,,,,,,,,,,,,,,,,,,,,
1155,Oeufs chocolats,3222477221864,['France'],[],[],?,546,32,57,"6,5",,,2284 kj(546 kcal),20,56,,"0,15","0,06",,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,2 petites baguettes,6138030,['France'],[],[],?,237,"5,2",42,"1,6",,,992 kj(237 kcal),"0,6","3,2",,"0,83","0,332",,,"['Nutriscore', 'Nutriscore B']",,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Arrow-root fecule,3278584334096,['France'],[],[],?,347,0,85,0,,,1452 kj(347 kcal),0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Keretz saucisson sec au poivre,0637913214929,['France'],[],[],?,319,21,"3,4",28,,,1335 kj(319 kcal),"9,9","1,4",,"4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,National Tangy Tamarind Chutney 11.5 Oz,0620514012018,['France'],[],[],?,0,1,51,1,,,0 kj(0 kcal),0,47,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Freskas Caramelo 16(9X35G),7501059281165,['France'],[],[],?,481,"20,74",70,"3,65",,,2013 kj(481 kcal),"12,3","59,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Saucisson sec au jambon,0286768046973,['France'],[],[],?,?,?,?,?,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Boulot aux céréales,0257024008660,['France'],[],[],?,?,?,?,?,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Oeufs baby shard,8435477905817,['France'],[],[],?,561,"34,1","59,3","5,3",,,2347 kj(561 kcal),"20,7","59,2",,"0,135","0,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Mango and grape,6281007053617,['France'],[],[],?,105,0,24,1,,,439 kj(105 kcal),0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Bake rolls sour cream & onion,5201360674503,['France'],[],[],?,451,15,64,14,,,1887 kj(451 kcal),6,7,,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Poêlée d encornet chorizo,2416888036549,['France'],[],[],?,143,11,"1,5",11,,,598 kj(143 kcal),"2,5","1,1",,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Popcorn salted,8013711025004,['France'],[],[],?,501,29,47,"6,2",,,2096 kj(501 kcal),23,"0,6",,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Cacolac mini choco noisette,3181550000447,['France'],[],[],?,58,1,8,"3,4",,,243 kj(58 kcal),"0,7","7,7",,"0,2","0,08",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Les petits beurres 3 chocolats,3346041395673,['France'],[],[],?,511,25,62,"7,9",,,2138 kj(511 kcal),17,28,,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Code di gamberoni scottate congelate,8002202003966,['France'],[],[],?,235,"0,9","2,9",17,,,983 kj(235 kcal),"0,3","2,9",,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Flocons d’avoine bio,2227603003285,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Pave du Nord,0270110010767,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,"Pop Rocks - Pastèque, Fraise & Punch Tropical",0721874009905,['France'],[],[],?,30,0,7,0,,,126 kj(30 kcal),0,7,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Lait demi-écrémé bio - Pâturages,3748859193111,['France'],[],[],?,?,?,?,?,['Pâturages'],,,,,,,,,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Gorgonzola au mascarpone,2850626012141,['France'],[],[],?,378,36,"0,4",13,,,1582 kj(378 kcal),25,"0,4",,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Riz long parfumé,023327665001305115220902,['France'],[],[],?,350,"0,8","78,2","7,1",,,1464 kj(350 kcal),"0,2","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
