,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,ingredients_origins,additives,allergens,nova_score,generic_name,manufacturing,link,palm_ingredients
887,Paques à la ferme,3120470084182,,,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,32,,20,,57,,56,,"6,1",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,
888,Grand œuf en chocolat au lait - 180g,3760059939672,,,,,['France'],[],[],,,,,,,,,?,,566,,2368 kj(566 kcal),,41,,25,,36,,31,,"8,8",,,,,,,,,,,,,,,,,180 g,,,,,,,,,,,
889,Perles de saveurs mangue,3467740094077,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Filet anbase de pangasius congeles,3760122249738,,,,,['France'],[],[],,,,,,,,,?,,57,,238 kj(57 kcal),,"0,83",,"0,3",,0,,0,,"12,6",,"0,62",,"0,248",,,,,,,,,,,,,,,,,,,,,,,,
891,Ananas près dècoupè,3760042970392,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Jardiniere de veau - Nestlé,3033710006328,,['Nestlé'],,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"1,1",,"1,1",,"8,7",,0,,"2,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,
893,Peanut butter cups - Myprotein,5056307352071,,['Myprotein'],,,['France'],[],[],,,,,,,,,?,,526,,2201 kj(526 kcal),,35,,16,,21,,17,,32,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
894,Lapin en chocolat - Rohan,3273070000066,,['Rohan'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,"Gorgeous superior strength hair, skin and nails",0840994119810,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Abondance aop,0240517019557,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,['France'],[],[],33 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,393,-2%,1644 kj(393 kcal),-2%,33,0%,20,-7%,0,-100%,0,-100%,24,-4%,"1,5",-5%,"0,6",-5%,15,-5%,D,-5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
897,Haricots rouges - 500g,3250391372225,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
898,Muesli croustillant chocolat bio VRAC,2217421015485,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
899,Yerba Mate,7790387100327,,,,,['France'],[],[],,,,,,,,,?,,61,,255 kj(61 kcal),,0,,0,,0,,0,,3,,"0,122",,"0,049",,,,,,,,,,,,,,,,,,,,,,,,
900,Maïs doux - Le Réflexe Bio - 300g (égoutté : 285g),3258561211480,A,"['Le Réflexe Bio', 'Belle France']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve', 'Maïs doux en conserve']",,['France'],[],[],1.7 g,en faible quantité,0.3 g,en faible quantité,5.2 g,en quantité modérée,0.59 g,en quantité modérée,320,-19%,76,-15%,320 kj(76 kcal),-15%,"1,7",+5%,"0,3",-4%,"10,9",-24%,"5,2",+8%,"2,8",+1%,"0,59",+31%,"0,236",+31%,-6,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,300 g (égoutté : 285 g),"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,"['Conserve', 'Métal']",,,,,,,,
901,Vin blanc Touraine,3760090860232,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Miel,5010893160946,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
903,Spaghetti,8053340440175,,,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,"1,5",,"0,3",,70,,"4,5",,"13,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
904,Cervelas - André Loussouarn,3449480006329,,['André Loussouarn'],,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,"24,1",,"8,9",,"0,4",,"0,3",,"11,8",,"2,55",,"1,02",,,,,,,,,,,,,,,"['FR 29.125.020 CE', 'Leuhan (Finistère, France)']",,,,,,,,,
905,2 croissants jambon fromage - 2x 90g,3255790419359,,,,,['France'],[],[],,,,,,,,,?,,272,,1138 kj(272 kcal),,13,,"7,4",,28,,"4,4",,10,,"1,2",,"0,48",,,,,,,,,,,,,2 x 90 g,,,['Etui en carton'],,,,,,,,
906,Aiguillettes de poulet,3770003943228,D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
907,Beignet choco x4,0262079019615,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Biere d'hiver,3770009157414,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Vodka,3258561370156,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,
910,Aiguillettes de poulet - Monoprix,2201266026249,D,['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['Monoprix'],['France'],[],[],2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-10%,477 kj(114 kcal),-9%,2,+8%,"0,7",+47%,0,-100%,0,-100%,25,+10%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Bleu Blanc Cœur'],,,,,,,,,,
911,Fiocchetti - Divella - 500g,8005121002881,,['Divella'],,,['France'],[],[],,,,,,,,,?,,335,,1402 kj(335 kcal),,"1,7",,"0,9",,72,,"3,9",,13,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
912,Vinschgerl - 3x 100g,8000334001201,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,3 x 100 g,,,['Produkt'],,,,,,,,
913,Arôme violette,3278584146071,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Chocolat noir 81% de cacao,3770013837340,,,,,['France'],[],[],,,,,,,,,?,,526,,2201 kj(526 kcal),,36,,23,,33,,25,,11,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
915,Lentilles,3760074661732,,,,,['France'],[],[],,,,,,,,,?,,93,,389 kj(93 kcal),,"0,6",,"0,1",,"14,5",,"0,4",,"5,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
916,Stozzapreti - 250g,8018961000504,,,,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,"4,7",,"1,6",,"62,3",,"3,6",,"14,9",,"0,12",,"0,048",,,,,,,,,,,,,250 g,,,,,,,,,,,
917,Crousticrac - 75g,3760172850106,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,75 g,"['Fabriqué en France', 'Sans additifs']",,,,,,,,,,
918,Merguez,0203443053668,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Curry madras,3760199921063,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Peperoni grigliati,8008745022372,,,,,['France'],[],[],,,,,,,,,?,,97,,406 kj(97 kcal),,"8,3",,"0,3",,"3,3",,"2,7",,"0,7",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,
921,Arcadie,3417960007210,,['Arcadie'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
922,Pik'1peu Pois chiche,3770014087065,,,,,['France'],[],[],,,,,,,,,?,,163,,682 kj(163 kcal),,"8,8",,"0,99",,"10,08",,"0,8",,"6,8",,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,
923,Beignets de crevettes,8934746050239,,,"['Snacks', 'Snacks salés', 'Beignets salés']",,['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,8 g,en quantité modérée,3 g,en quantité élevée,?,,346,+51%,1448 kj(346 kcal),+54%,"0,1",-99%,0,-100%,85,+236%,8,+129%,"1,1",-84%,3,+101%,"1,2",+101%,15,+119%,D,+119%,,,,,,,,,['Halal'],,,,,,,,,,
924,Citron en saumure,3760199924231,,,,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,0,,0,,"7,5",,"0,5",,"0,7",,5,,2,,,,,,,,,,,,,,,,,,,,,,,,
925,Haricots blancs à la tomate et à la graisse d'oie,3574315020383,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs', ""Haricots blancs à la graisse d'oie""]",,['France'],[],[],3.4 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en faible quantité,0.96 g,en quantité modérée,?,,118,+12%,494 kj(118 kcal),+13%,"3,4",+13%,"0,9",-8%,12,+9%,"0,6",-15%,7,+36%,"0,96",+14%,"0,384",+14%,1,,B,,,,,,,,,,,,,,,,,,,,
926,"Nu3 Bcaa Pulver, Neutral",4260289448146,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",,['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Yogurt flakes,5060011813209,,,,,['France'],[],[],,,,,,,,,?,,453,,1895 kj(453 kcal),,19,,11,,69,,62,,"1,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
928,Escalope de Dinde,0209278024606,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
929,Macarons aux parfums incontournables - Pasquier,3187670005263,D,['Pasquier'],"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,['France'],[],[],15 g,en quantité modérée,2.9 g,en quantité modérée,60 g,en quantité élevée,0.2 g,en faible quantité,?,,427,+0%,1787 kj(427 kcal),+0%,15,-16%,"2,9",-36%,62,+12%,60,+19%,"9,5",+11%,"0,2",+40%,"0,08",+40%,17,-3%,D,-3%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,
930,Terrine de rillettes de canard,3348800032799,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['France'],[],[],28.2 g,en quantité élevée,8.91 g,en quantité élevée,0.12 g,en faible quantité,0.92 g,en quantité modérée,?,,322,-20%,1347 kj(322 kcal),-20%,"28,24",-23%,"8,91",-29%,"0,39",-33%,"0,12",-52%,"16,83",+4%,"0,92",-33%,"0,368",-33%,16,-17%,D,-17%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
931,Conscious - 50g,5060153350013,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,557,,2330 kj(557 kcal),,"43,7",,"30,4",,"39,8",,"17,4",,"5,8",,,,,,,,,,,,,,,,,50 g,"['Végétarien', 'Végétalien', 'en:gr-org-02']",,,,,,,,,,
932,Lentilles vertes de France,3111952028060,,,,,['France'],[],[],,,,,,,,,?,,333,,1393 kj(333 kcal),,"1,7",,"0,2",,50,,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Datte ajwa,3770053551435,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,?,,287,-4%,1201 kj(287 kcal),-4%,0,-100%,0,-100%,74,+8%,3,-95%,0,-100%,0,-100%,0,-100%,-2,-141%,A,-141%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,
934,Marble Cake passover - 450g,0898792002537,,,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,24,,"8,6",,51,,32,,4,,"1,2",,"0,48",,,,,,,,,,,,,450 g,,,,,,,,,,,
935,Cake pepite de chocolat - 400g,3423990001647,,,,,['France'],[],[],,,,,,,,,?,,464,,1941 kj(464 kcal),,"22,5",,"3,7",,"56,9",,"33,3",,"3,5",,"0,236",,"0,094",,,,,,,,,,,,,400 g,,,,,,,,,,,
936,Jus de résine rouge,3277711304834,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Cœur caramel Bel&Bio,5425007883640,,['Bel & Bio'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],[],[],33.4 g,en quantité élevée,21.1 g,en quantité élevée,37.4 g,en quantité élevée,0.37 g,en quantité modérée,?,,493,-7%,2063 kj(493 kcal),-7%,"33,4",+4%,"21,1",+21%,"40,1",-23%,"37,4",-21%,"5,2",-12%,"0,37",+142%,"0,148",+142%,25,+2%,E,+2%,,,,,,,,,['Bio'],,,,,,,,,,
938,Coconut macaroons,7290010760831,,,,,['France'],[],[],,,,,,,,,?,,482,,2017 kj(482 kcal),,26,,24,,59,,42,,5,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,
939,Petits fours aux amandes,3770000459951,,,,,['France'],[],[],,,,,,,,,?,,449,,1879 kj(449 kcal),,28,,"2,2",,34,,33,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Guimauve lait/blanc/noir,2609713049726,,,,,['France'],[],[],,,,,,,,,?,,404,,1690 kj(404 kcal),,"10,6",,"6,5",,"73,7",,"56,7",,"3,6",,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
941,Danish butter cookies,5776879016750,,,,,['France'],[],[],,,,,,,,,?,,487,,2038 kj(487 kcal),,25,,0,,60,,23,,"5,1",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,
942,Terrine de sanglier aux noisettes,3086711010061,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",,['France'],[],[],23.9 g,en quantité élevée,7.7 g,en quantité élevée,0.16 g,en faible quantité,1.28 g,en quantité modérée,?,,281,-9%,1176 kj(281 kcal),-9%,"23,93",-11%,"7,7",-23%,"2,18",+5%,"0,16",-74%,"13,41",-4%,"1,28",-19%,"0,512",-19%,15,-17%,D,-17%,,,,,,,,,,,,,,,,,,,
943,Sirop demojito,3249290003538,,,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,"86,2",,84,,0,,"13,1",,"5,24",,,,,,,,,,,,,,,,,,,,,,,,
944,Comté au lait cru affinée 18 mois,2988795007825,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,35,+1%,23,+1%,"0,5",+8%,"0,5",+87%,27,+0%,"0,9",+7%,"0,36",+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
945,Escalopes,2276746026507,,,,,['France'],[],[],,,,,,,,,?,,95,,397 kj(95 kcal),,"0,6",,0,,"1,2",,0,,21,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
946,Parmigiano reggiano,17387552,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,0,,32,-1%,1,-38%,"0,4",-38%,14,-16%,D,-16%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
947,Pulco cuisine,9038101883377,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,L'Excellence de Motta - Dégustation Gourmande,3700125802004,,['Motta'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques']",,['France'],"['chocolat au lait* 82% ', 'cacao 39% minimum', ' ', 'Sucre*', 'beurre de cacao*', 'lait entier en poudre*', 'masse de cacao*', 'poudre de vanille*', 'amandes grillées* 15%', 'beurre de cacao*', "" Peut contenir d'autres fruits à coque"", 'gluten', 'oeuf', 'arachides', 'soja', "" *Produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",43 g,en quantité élevée,22 g,en quantité élevée,40 g,en quantité élevée,0.16 g,en faible quantité,?,,591,+7%,2473 kj(591 kcal),+8%,43,+28%,22,+9%,43,-20%,40,-23%,"8,7",+31%,"0,16",-21%,"0,064",-21%,25,-4%,E,-4%,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,3,,,,
949,Pisellini,8710624272913,,,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Sacchetto'],,,,,,,,
950,8710401991495,8710401991495,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Bloemkool,8711578581663,,,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Frambozen,8713893125034,,,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Patate,8716401811283,,,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Container'],,,,,,,,
954,Farina integrale - g'woon - 1kg,8710624278731,B,"[""g'woon""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,"['France', 'Allemagne', 'Pays-Bas']",[],[],1.8 g,en faible quantité,,,2.5 g,en faible quantité,,,?,,?,,336 kj(80 kcal),-77%,"1,8",+34%,,,"64,1",-8%,"2,5",+63%,"11,9",+9%,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,1kg,,,,,,,,,,,
955,Aceto - Monini - 250ml,80508939,,['Monini'],,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250 ml,,,['Product'],,,,,,,,
956,Aglio,8712924005611,,,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Bocal'],,,,,,,,
957,8431603001972,8431603001972,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Olives vertes à la farce d'anchois - Crespo,3076820002125,,['Crespo'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Yaourts bio au lait de ferme-citron de Sicile,3760206789020,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,['France'],[],[],2.9 g,en faible quantité,2 g,en quantité modérée,10.5 g,en quantité modérée,0.1 g,en faible quantité,?,,95,+3%,397 kj(95 kcal),+3%,"2,9",-11%,2,-2%,"13,7",+25%,"10,53",+4%,"3,4",-10%,"0,1",-13%,"0,04",-13%,2,-35%,B,-35%,,,,,,,,,['Bio'],,,,,,,,,,
960,Supreme de volaille aux morilles,3760030162358,,,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,38,,"10,9",,2,,"0,5",,"7,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
961,Chartreuse 25 Tea Bags Vanilla,6091300470505,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
962,ZAITOUNE SWEETS,010203042106104,,,,,['France'],[],[],,,,,,,,,?,,430,,1799 kj(430 kcal),,"6,92",,0,,20,,0,,11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
963,Pain 7 céréales,0201684009840,,,,,['France'],[],[],,,,,,,,,?,,257,,1075 kj(257 kcal),,"4,4",,"0,9",,43,,"1,2",,"8,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,
964,Hop sensation,5420069827137,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Miel recolte en poitou charente,3357540444434,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Brioche Tressée aux Pépites de Chocolat - Le Floch - 500g,3343928815002,C,['Le Floch'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,500 g,,,,,,,,,,,
967,Dilmah Green Tea Bags Pure 30g,9312631142433,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
968,6600415472740,6600415472740,,,,,['France'],"['Sarrasin broyé', 'poudre de banane ', '23%', 'farine de souchet', 'poudre de lucuma', 'graines de lins broyées', 'pomme déshydratée ', '4%']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Salted caramel - 900g,5060119298267,,,,,['France'],[],[],,,,,,,,,?,,388,,1623 kj(388 kcal),,10,,6,,12,,3,,62,,"1,55",,"0,62",,,,,,,,,,,,,900 g,,,,,,,,,,,
970,Vive paques ! - Palais des Thés,3700256731716,,['Palais des Thés'],['Aliments de Pâques'],,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-100%,4 kj(1 kcal),-100%,0,-100%,0,-100%,"0,2",-100%,0,-100%,"0,1",-98%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,
971,Pain au chocolat,0284808015095,,,,,['France'],[],[],,,,,,,,,?,,370,,1548 kj(370 kcal),,20,,13,,40,,10,,"7,5",,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,,,,,,
972,Chocolat Le Tech,3274646203140,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Boule campagne Leclerc,0205816008404,,,,,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,"1,3",,"0,2",,54,,"1,8",,"8,7",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,
974,Dulano - 80g,20116231,,['Dulano'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,
975,Miel de Chataigner,3770002916087,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
976,Caviar aubergine - Arev - 530g,3700066103673,,['Arev'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,530 g,,,,,,,,,,,
977,Cherry syrup,5710594004029,,,,,['France'],[],[],,,,,,,,,?,,69,,289 kj(69 kcal),,"0,1",,0,,"71,8",,44,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
