,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,ingredients_origins,additives,allergens,nova_score,generic_name,manufacturing,link,palm_ingredients
33,CABERNET SAUVIGNON,3700029204881,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gouda XXO,8710866075044,,,,,['France'],[],[],,,,,,,,,?,,425,,1778 kj(425 kcal),,"34,5",,21,,0,,0,,"28,7",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,
35,Yaourts fermiers a la mure - 250g,3760174651381,,,,,['France'],[],[],,,,,,,,,?,,103,,431 kj(103 kcal),,"2,81",,"1,86",,"15,2",,"12,7",,"3,51",,"0,11",,"0,044",,,,,,,,,,,,,250 g,,,,,,,,,,,
36,Pavés - Charal,0292473045989,,['Charal'],,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,"['Viande Française', 'Nutriscore', 'Viande-bovine-francaise']",,,,,,,,,,
37,Saucisse sèche,0291569044370,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ahmed Roasted Vermicelli,0054529016011,,,,,['France'],[],[],,,,,,,,,?,,347,,1452 kj(347 kcal),,0,,0,,18,,"4,5",,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
39,Honeyblis,9421902572036,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Elben fraise,3381942430764,,,,,['France'],[],[],,,,,,,,,?,,74,,310 kj(74 kcal),,"3,2",,"2,3",,"10,8",,"10,5",,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
41,Damix center filled soft candy with fruit chew assorted,8694402008171,,,,,['France'],[],[],,,,,,,,,?,,419,,1753 kj(419 kcal),,"6,04",,"5,99",,"89,6",,"74,83",,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pastis,3171870033119,C,,"['Boissons', 'Boissons alcoolisées', 'Pastis']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.6%,2.0%,57,,,,,,,,,,,,
43,Nougat Dur au Miel,0269320045652,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tahini Always organic - Urtekram,14765858,,['Urtekram'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
