,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,palm_ingredients,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,traceability_code,link,brand_owner
1116,PALETS ENERGIE,4026584143236,,,,['France'],[],,,[],,?,245,1025 kj(245 kcal),"13,9","2,5","20,9","2,1","7,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1117,Galettes aux Carottes - Soto - 195g e,4026584143601,195 g e,"['Frais', 'Plastique']",['Soto'],['France'],"['Carottes ', '31 %', 'tofu ', '2%', ' ', 'eau', 'fève de soja', 'agent séparateur : sulfate de calcium', 'nigari', 'riz complet', 'flocons de pommes de terre*', 'pommes de terre ', '8 %', ""d'avoine"", 'eau', 'oignons', 'farine de maïs', 'graines de sésame', 'sel de mer', 'épices', 'huile de tournesol']",,"['Avoine', 'Graines de sésame', 'Soja']","['Végétalien', 'Végétarien']",3,?,232,971 kj(232 kcal),"11,9","1,5","21,8","4,4","7,3","1,3","0,52",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Réfrigérés', 'Plats préparés réfrigérés']",,11.9 g,en quantité modérée,1.5 g,en quantité modérée,4.4 g,en faible quantité,1.3 g,en quantité modérée,,+42%,+46%,+87%,+50%,+40%,+81%,+18%,+43%,+43%,0,-100%,B,-100%,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-003', 'Agriculture UE/Non UE']",,,,,,
1118,Végé Nuggets - Soto,4026584143618,,,['Soto'],['France'],"['tofu* ', 'eau', 'fève de soja*', 'agent séparateur', 'sulfate  de calciumsulfat/nigari', ': carottes* ', '15%', ' farine de maïs* ', '14%', 'oignons* ', '12%', 'maïs doux*', 'chapelure de mais* ', '7%', 'poivron rouge* ', '7%', 'potiron ', 'Hokkaido', '* ', '5%', 'eau', 'farine de pois chiche*', 'sel de mer', ""huile tournesol* *issus de l'agriculture bologique Information allergènes: Peut contenir des traces de gluten"", 'sésame et moutarde']",,"['Gluten', 'Soja']","['Végétalien', 'Végétarien']",,?,233,975 kj(233 kcal),"10,3","1,4","26,4","2,7","6,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,
1119,Falafel,4026584153556,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,?,213,891 kj(213 kcal),"7,4",1,23,"2,3",9,1,"0,4",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Falafels']",,7.4 g,en quantité modérée,1 g,en faible quantité,2.3 g,en faible quantité,1 g,en quantité modérée,,-12%,-13%,-32%,-31%,+4%,-9%,-0%,-20%,-20%,1,-57%,B,-57%,44.2%,22.1%,10.5%,13.1%,5.9%,4.2%,94,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'en:The Vegan Society']",,,,,,
1120,"Rouleaux Printaniers ""Thai"" - Soto",4026584230011,,"['Frais', 'Plastique', 'Réfrigéré']",['Soto'],['France'],"['Choux blanc*', 'germes de soja*', 'poivron rouge*', 'tofu* ', 'eau', 'fève de soja*', 'agent séparateur: sulfate de calcium', 'carottes*', 'oignons*', 'sauce de soja* ', 'eau', 'fève de soja*', 'blé', 'sel de mer', 'pâtes asiatiques* ', '1 %', ' ', 'farine de blé*', 'semoule de blé dur*', 'flocons de pommes de terre*', 'coriandre*', 'jus de citron*', 'sel de mer', 'épices*', ' Pâte: eau', 'farine de blé*', 'huile de tournesol', ""sel de mer issus de l'agriculture biologique""]",,"['Gluten', 'Soja']","['Végétalien', 'Végétarien']",3,?,201,841 kj(201 kcal),"10,7","1,3","19,6","3,3","5,2","1,3","0,52",B,,"['Plats préparés', 'Réfrigérés', 'Plats préparés réfrigérés', 'Rouleaux de printemps']",,10.7 g,en quantité modérée,1.3 g,en faible quantité,3.3 g,en faible quantité,1.3 g,en quantité modérée,,+23%,+24%,+105%,+51%,-8%,-5%,+9%,+5%,+5%,5,+24%,C,+24%,48.7%,15.5%,7.3%,11.0%,3.7%,13.8%,84,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'en:The Vegan Society']",,,,,,
1121,Poche aux legumes reference - Soto,4026584230301,,,['Soto'],['France'],"['Poche aux légumes référence st', ""Ingrédicnts: caottes'"", ""gnrnrrv,s en'"", ""terre'"", 'brœcoi•', 'fromaqg t', 'ltnc fkxxx', 's vx', 'mms ', 'satre ', 'em', 'fe,o eg watff', 'rrk', 'r', 'mer', ' épx', 'est', 'Pâte: eaJ', 'fznne hutk2 mjcxchenrE tissus van Prodnt ka', ' van mosterd sesam Embaib ln Préparation: A rœtlauffer à k', ' cxx}b ruur of sans yaisœ', 'au k', 'lrà gnll à - VX', 'ur pâte croustilla-lb']",,,[],,?,184,770 kj(184 kcal),7,"1,4","23,1","1,7","5,9","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1122,Heidelbeere Konfiture - Mühlhausen,4026701073019,,,['Mühlhausen'],['France'],[],,,[],,?,262,1096 kj(262 kcal),"0,1",0,64,49,0,"0,04","0,016",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,0.1 g,en faible quantité,0 g,en faible quantité,49 g,en quantité élevée,0.04 g,en faible quantité,,+20%,+19%,-62%,-100%,+20%,-4%,-100%,+140%,+140%,12,+30%,D,+30%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1123,Choux De Bruxelles -  - 300g,4026813000200,300 g,,,['France'],[],,,[],,?,43,180 kj(43 kcal),"0,5","0,173","7,1",1,"2,55",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Choux de Bruxelles', 'Choux de Bruxelles surgelés']",,0.5 g,en faible quantité,0.173 g,en faible quantité,1 g,en faible quantité,,,,0%,-1%,-18%,+11%,+71%,-57%,-19%,,,,,,,32.3%,0.3%,15.7%,12.6%,32.4%,6.7%,95,,,,,,,
1124,Epinards Haches a La Creme - Bio Inside,4026813000224,,,['Bio Inside'],['France'],"['épinards hachés* 65 %', 'eau', 'lait entier*', 'crème* 5,5 %', 'farine de blé* amidon de maïs*', 'sel marin', 'épaississant : gomme guar*', 'sucre de canne*', 'noix de muscade*', 'poivre* ', "" * = issu de l'agriculture biologique""]",['E412 - Gomme de guar'],['Lait'],['Non végétalien'],4,?,45,188 kj(45 kcal),2,"1,2","3,3","0,7","2,6","0,1","0,04",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés']",,2 g,en faible quantité,1.2 g,en faible quantité,0.7 g,en faible quantité,0.1 g,en faible quantité,,+18%,+21%,+36%,+83%,+66%,0%,-4%,-70%,-70%,-6,,A,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,['Bio'],,,,,,
1125,Poêlée fermière paysanne - Natural Cool - 450g,4026813000415,450 g,,['Natural Cool'],['France'],"['Cubes de pommes de terre* ', 'pommes de terre*', 'huile de tournesol**', ' 27,5%', 'oignons*', 'carottes*', 'brocolis*', 'haricots verts*', 'chou de Savoie*', ""champignons de Paris**               **=issue de l'agriculture biologique "", 'méthode biodynamique', "" *=issue de l'agriculture biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,54,226 kj(54 kcal),"0,6","0,1","8,5","2,6","2,3","0,1","0,04",,,"['Plats préparés', 'Poêlées', 'Poêlées à la paysanne']",,0.6 g,en faible quantité,0.1 g,en faible quantité,2.6 g,en faible quantité,0.1 g,en faible quantité,,-53%,-53%,-88%,-92%,-29%,+110%,-34%,-82%,-82%,-3,,A,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Bio-dynamie', 'Demeter']",,,,,,
1126,Country Potatoes - Natural Cool - 450g,4026813050007,450 g,,['Natural Cool'],['France'],[],,,"['Végétalien', 'Végétarien']",,?,113,473 kj(113 kcal),"2,1","0,2","19,9","0,3","2,4","0,01","0,004",,,['Potato'],,2.1 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,0.01 g,en faible quantité,,,,,,,,,,,0,,B,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', 'Bio-dynamie', 'Demeter', 'NL-BIO-01']",,,,,,
1127,Pommes frites - Bio Inside,4026813050021,,,['Bio Inside'],['France'],[],,,[],,?,123,515 kj(123 kcal),3,"0,4","21,4","0,5","1,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1128,Petits Röstis - Natural Cool - 390g e,4026813150073,390 g e,"['LDPE 04', 'Surgelé', 'LDPE', '04', 'Plastique', 'Sachet']",['Natural Cool'],"['France', 'Allemagne']","['Pommes de terre** 88 %', 'huile de colza*', 'amidon de pomme de terre*', 'sel de mer', 'flocons de pomme de terre*', ""poudre d'oignon*""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,197,824 kj(197 kcal),11,"0,8",20,"0,5","2,8",1,"0,4",A,Petits Röstis de pomme de terre râpées,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Préparations à base de pommes de terre', 'Rostis', 'Röstis de pommes de terre surgelés']",,11 g,en quantité modérée,0.8 g,en faible quantité,0.5 g,en faible quantité,1 g,en quantité modérée,,+19%,+21%,+51%,-40%,+4%,-37%,-11%,+2%,+2%,2,-41%,B,-41%,40.8%,16.8%,10.8%,9.2%,4.7%,17.7%,91,"['Bio', 'Végétarien', 'Bio-dynamie', 'Bio européen', 'en:gluten-free', 'Végétalien', 'DE-ÖKO-006', 'Demeter', 'Agriculture UE', 'en:EVU']",,,,,,
1129,Lasagne Aux Legumes - Natural Cool - 400g,4026813330017,400 g,,['Natural Cool'],['France'],[],,,[],,538,?,538 kj(129 kcal),"3,7","1,6","18,1","2,8","5,3","0,9","0,36",B,,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes', 'Lasagnes aux légumes']",,3.7 g,en quantité modérée,1.6 g,en quantité modérée,2.8 g,en faible quantité,0.9 g,en quantité modérée,+12%,,+4%,-30%,-13%,+39%,-11%,+19%,+24%,+24%,0,-100%,B,-100%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,"['Bio', 'Bio européen', 'Bio-dynamie', 'DE-ÖKO-006', 'Demeter']",,,,,,
1130,Parmigiano reggiano - CASEARIA DI SANT'ANNA - 80g,4026913140615,80 g,"['Pot', 'Plastique', 'Frais']","[""CASEARIA DI SANT'ANNA""]",['France'],"['Lait cru* de vache', 'sel', 'présure de veau', "" *issu de l'agriculture biologique""]",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,1633,392,1633 kj(392 kcal),28,17,"< 0,1","< 0,1",33,"1,5","0,6",B,Fromage bio à pâte dure d'origine italienne,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,28 g,en quantité élevée,17 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,-2%,-2%,-2%,-6%,-14%,+8672%,,+2%,-6%,-6%,15,-10%,D,-10%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'AOP', 'IT-BIO-004']",['Bio14'],['Italie'],,['IT 08 708 CE'],http://www.oma-france.com/,
1131,Mozzarella - Naturland - 100g,4026913151758,100 g,['Plastique'],['Naturland'],['France'],"['lait de vache pasteurisé', 'sel', 'présure microbienne', 'agents acidifiants ', 'acide lactique']",['E270 - Acide lactique'],['Lait'],['Non végétalien'],3,1026,?,1026 kj(245 kcal),19,12,1,1,18,"0,5","0,2",C,Mozarrella,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,19 g,en quantité modérée,12 g,en quantité élevée,1 g,en faible quantité,0.5 g,en quantité modérée,-3%,,-5%,-8%,-14%,-3%,+33%,+7%,-26%,-26%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Bio', 'Bio européen']",['Bio C bon'],,,['DE BY 305 EG'],http://www.oema.bio,
1132,"Edam allégé en tranchette, Bio",4026913172074,,,,['France'],[],,,[],,?,256,1071 kj(256 kcal),15,10,"0,1","0,1",28,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-006']",,,,,,
1133,Heller Thunfisch ganze Filetstücke naturell - Fontaine - 85g,4026968015807,85g,"['Karton', 'Konserve']",['Fontaine'],"['France', 'Allemagne', 'Suisse']","['Thunfisch-Filet ', 'Thunuss albacares ', ' 75%', 'Wasser', 'Meersalz']",,['Poisson'],[],3,460,?,460 kj(110 kcal),"1,5","0,5",0,0,24,"0,5","0,2",E,"Heller Thunfisch, naturell, ganze Filetstücke, in eigenem Saft und Aufguss","['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",,1.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,-7%,,-4%,-1%,+7%,-100%,-100%,-4%,-52%,-52%,-2,-838%,A,-838%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,['de:Friends of the Sea'],,"['de:FAO 34', 'de:Mittelostatlantik']",,,,
1134,Himbeeren - 500g,4027016005252,500 g,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Yaourt,4027394003147,,,,['France'],[],,,[],,?,68,285 kj(68 kcal),"3,5","2,3","5,1","5,1",4,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Cheddar Cheese 45 - Yayla,4027394003222,,,['Yayla'],['France'],[],,,[],,?,337,1410 kj(337 kcal),"25,8","17,4","0,6","0,6","25,6","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE HE-012 EG'],,
1137,Kaymak cream,4027394003833,,,,['France'],[],,,[],,?,265,1109 kj(265 kcal),"20,2","13,5","18,4",17,"2,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,"Tavuk Salami, Füme, Geflügelfleischwurst - Yayla",4027394005011,,,['Yayla'],['France'],[],,,[],,?,282,1180 kj(282 kcal),24,8,1,"0,5",15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,
1139,Yayla Dilimli Hindi Salam,4027394005189,,,['Yayla'],['France'],[],,,[],,?,367,1536 kj(367 kcal),"13,4",1,1,0,"16,5","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Salami halal -,4027394007510,,,,['France'],[],,,[],,?,385,1611 kj(385 kcal),35,14,1,1,16,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,
1141,"Kasar Peyniri, Käse - 400g",4027394007824,400 g,,,['France'],[],,,[],,?,337,1410 kj(337 kcal),"25,8","17,4","0,6","0,6","25,6","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE HE-012 EG'],,
1142,Weisskäse - 800g,4027394007978,800 g,,,['France'],[],,,[],,?,310,1297 kj(310 kcal),"28,1","19,6","1,3","1,3",13,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Fulya Domates Salçasi,4027394009200,,,,['France'],[],,,[],,?,38,159 kj(38 kcal),0,0,9,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Curry spice ketchup - Hela,4027400057959,,,['Hela'],['France'],[],,,[],,?,135,565 kj(135 kcal),"0,3","0,1","31,3","30,1","0,5","2,3","0,92",B,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,0.3 g,en faible quantité,0.1 g,en faible quantité,30.1 g,en quantité élevée,2.3 g,en quantité élevée,,+27%,+29%,+23%,+57%,+38%,+54%,-62%,+16%,+16%,17,+40%,D,+40%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,
1145,Gewürzketchup,4027400360066,,,,['France'],[],,,[],,?,119,498 kj(119 kcal),"0,2","0,1","27,2",24,"1,1","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Curry kruiden ketchup - 200g,4027400469028,200 g,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Basilic - Fuchs,4027900101183,,,['Fuchs'],['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Basilic']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,,,
1148,Coriandre - Fuchs - 40g,4027900101787,40 g,"['Verre', 'Flacon']",['Fuchs'],['France'],['Coriandre'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,?,,?,,?,,?,,,A,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Herbes aromatiques', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Plantes en pot', 'Produits de coriandre', 'Plantes aromatiques en pot', 'Feuilles de coriandre', 'Coriandre en poudre', 'Coriandre en pot']",,,,,,,,,,,,,,,,,,,,,,,,54.7%,0.0%,17.4%,16.5%,8.4%,3.0%,95,['Point Vert'],,,,,,
1149,Préparation pour Bouillon de volaille - Fuchs - 12 * 11g (132g),4027900102326,12 * 11 g (132 g),['Carton'],['Fuchs'],['France'],"['Sel', 'graisse végétale', 'exhausteurs de goût ', 'glutamate monosodique', 'inosinate disodique', 'guanylate disodique', 'amidon de pomme de terre', 'graisse et viande de poulet 3,5 %', 'sucre', 'arôme', 'épices', 'panais', 'carotte', 'extrait de levure', 'émulsifiant E472a', 'colorant ', 'caramel']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E150 - Caramel']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,723,?,723 kj(173 kcal),"8,5",,"17,5",,"6,5",,,,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes', 'Bouillons de volaille']",,,,,,,,,,-2%,,+9%,+80%,,-10%,,+14%,,,,,,,,,,,,,,,,,,,,
1150,Coriandre en grains - Fuchs - 230g,4027900105983,230 g,['Plastique'],"['Fuchs', 'Fuchs Professional']",['France'],['Coriandre'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Plantes en pot', 'Produits de coriandre', 'Plantes aromatiques en pot', 'Feuilles de coriandre', 'Coriandre en pot']",,,,,,,,,,,,,,,,,,,,,,,,54.7%,0.0%,17.4%,16.5%,8.4%,3.0%,95,,,,,,,
1151,Préparation pour Fond de Veau - Fuchs - 110g,4027900106720,110 g,"['Boîte', 'Métal']",['Fuchs'],['France'],"['Amidon de pomme de terre', 'sel', 'arôme', 'sirop de glucose déshydraté', 'farine de blé', 'tomate en poudre', 'sucre', 'viande de veau 2,4 %', 'oignon', 'épaississeur : gomme de guar', 'colorant : caramel', 'extrait de viande de bœuf', 'épices', 'fibres de blé']","['E412 - Gomme de guar', 'E150 - Caramel']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,1066,?,1066 kj(255 kcal),1,,"55,5",,5,,,,Base culinaire déshydratée,"['Epicerie', 'Viandes', 'Bœuf', 'Aides culinaires', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations de viande', 'Sauces', 'Préparations de viande bovine', 'Bouillons', 'Bouillons déshydratés', 'Sauces déshydratées', 'Fond de veau']",,,,,,,,,,,,-0%,-69%,,+15%,,-20%,,,,,,,,,,,,,,"['Sans exhausteur de goût', 'Point Vert', 'Sans glutamate', 'Eco-Emballages']",['Auchan'],,"[""Epices Fuchs (Filiale Groupe Fuchs) - 215 Avenue Cugnot - Parc d'Activités des Escampades - 84170 Monteux"", 'Vaucluse', ""Provence-Alpes-Côte-d'Azur"", 'France']",,,
1152,Herbes de provence - Fuchs,4027900108281,,,['Fuchs'],['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,,,,,,
1153,Persil - Fuchs - 100grammes,4027900108427,100 grammes,,['Fuchs'],['France'],[],,,[],,?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Persil']",,,,,,,,,,,,,,,,,,,,,,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,,,
1154,Chilis ganz - Fuchs - 25g,4027900119058,25g,,['Fuchs'],"['France', 'Allemagne']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Sel fou - Fuchs - 115g,4027900145897,115g,['Plastique'],['Fuchs'],['France'],"['sel', 'oignon', 'panais', '<tùdextrine', ' sucre', 'herbes', 'ail', 'huile éventuelles de blé', 'céleri', 'lal nutarde', 'œuf', 'sésame', 'soja']",,"['Céleri', 'Œufs', 'Graines de sésame', 'Soja']",['Non végétalien'],2,?,101,423 kj(101 kcal),"1,2","0,2",19,"8,9","2,3","70,5","28,2",B,Sel,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Sels']",,1.2 g,en faible quantité,0.2 g,en faible quantité,8.9 g,en quantité modérée,70.5 g,en quantité élevée,,+2425%,+2250%,+424%,+158%,+2284%,+4584%,+758%,+16%,+16%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,
1156,Assaisonnement pour pâtes - Fuchs - 65g,4027900146061,65 g,,['Fuchs'],['France'],[],,,[],,?,364,1523 kj(364 kcal),"11,5","6,8","43,4","14,3",18,"5,7","2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Sel aux herbes - Fuchs - 110g,4027900146078,110 g,['Plastique'],['Fuchs'],"['Belgique', 'France']",['sel 79%\rpoireau\rpersil\rciboulette\rcéleri\rlivèche\rbasilic\rmarjolaine\rsarriette\rromarin'],,,[],,?,?,,?,,?,,?,,,,assaisonnement,['Sel aux herbes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans exhausteur de goût', 'Sans glutamate']",['Spar'],['Monteux Provence France'],,,,
1158,Sel à l'ail,4027900146092,,,,['France'],[],,,[],,?,88,368 kj(88 kcal),"3,5","0,3","10,7","4,7","2,6","79,8","31,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Cannelle - Fuchs - 80g,4027900196165,80 g,,['Fuchs'],['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,
1160,Mélange 5 baies - Fuchs,4027900218607,,['Pot'],['Fuchs'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Moulin premium - Fuchs,4027900218706,,,['Fuchs'],['France'],[],,,[],,?,305,1276 kj(305 kcal),"9,9",3,"37,6","36,2","8,6","10,6","4,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,70G Moulin Poivre Citron Columbia - Fuchs,4027900218935,,,['Fuchs'],['France'],[],,,[],,?,188,787 kj(188 kcal),"6,5","4,6",29,"25,4","2,6","48,5","19,4",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,6.5 g,en quantité modérée,4.6 g,en quantité modérée,25.4 g,en quantité élevée,48.5 g,en quantité élevée,,+44%,+36%,+92%,+622%,+49%,+245%,-32%,+932%,+932%,,,,,,,,,,,,,,,,,,
