,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,palm_ingredients,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,traceability_code,link,brand_owner
138,Ristorante Pizza Tonno - Dr. Oetker - 335g,4001724015390,335 g,"['Carton', 'Surgelé']",['Dr. Oetker'],['France'],"['Farine de blé 26%', 'purée de tomate 14%', 'fromage ', 'edam', 'mozzarella', ' 8,8%', 'thon', 'huile de colza 4,7%', 'oignons frits ', 'oignons', 'huile de colza', 'eau', 'levure de boulangère', 'sel', 'huile de soja raffinée', 'sucre', 'préparation de câpres ', 'câpres', 'vinaigre', 'sel', 'amidon modifié', 'herbes aromatiques', 'matière grasse de palme', 'ail', 'poivre', 'protéines végétales hydrolysées', 'maltodextrine', 'caramel', 'arôme']",['E14XX - Amidons modifiés'],"['Poisson', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1093,262,1093 kj(262 kcal),14,"3,4",23,"2,9","9,3","1,199","0,48",C,"Pizza à pâte fine et croustillante richement garnie de tomates, de thon et fromage, surgelée","['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas au thon']",['Huile de palme'],14 g,en quantité modérée,3.4 g,en quantité modérée,2.9 g,en faible quantité,1.2 g,en quantité modérée,+15%,+13%,+13%,+46%,+16%,-7%,-6%,-9%,+5%,+5%,11,+125%,D,+125%,66.0%,11.0%,4.2%,7.2%,2.4%,9.2%,67,,,,['Allemagne'],,,
139,Salame pizza con salami - Dr.Oetker,4001724015697,,,['Dr.Oetker'],"['Belgique', 'France']",[],,,[],,?,238,996 kj(238 kcal),9,"4,8",29,"3,3","9,5","1,6","0,64",,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,9 g,en quantité modérée,4.8 g,en quantité modérée,3.3 g,en faible quantité,1.6 g,en quantité élevée,,+4%,+4%,+8%,+22%,+8%,+12%,-8%,+28%,+28%,13,+67%,D,+67%,,,,,,,,,,,,,,
140,Pizza Delizza Bolognese - Dr. Oetker - 570g,4001724017639,570 g,"['Carton', 'Plastique']","['Dr. Oetker', 'Kraft']",['France'],"['Farine de BLÉ', '21 % purée de tomate', '17 % FROMAGE ', 'GOUDA', 'EDAM', '9,0 % viande de bœuf', 'eau', 'carottes', 'oignons', 'levure de boulangerie', 'matière grasse de palme', 'sucre', 'sel', 'concentré de tomate', 'huile de colza', 'sauce SOJA ', 'eau', 'graines de SOJA', 'sel', 'farine de BLÉ', 'amidon modifié', ""extrait de malt d'ORGE"", 'émulsifiant ', ""esters mono - et diacétyltartriques des mono - et diglycérides d'acide gras"", 'épaississant ', 'gomme de guar', 'ail', 'origan', ""correcteur d'acidité "", 'phosphates de calcium', 'paprika', 'poivre', 'protéines végétales hydrolysées', 'maltodextrine', 'caramel']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,232,971 kj(232 kcal),"8,1","4,7",27,"2,9",11,1,"0,4",E,Pizza surgelée à pâte épaisse et aérée garnie de base tomate fromages et viande de boeuf,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas à la bolognaise', 'Pizzas surgelées']",['Huile de palme'],8.1 g,en quantité modérée,4.7 g,en quantité modérée,2.9 g,en faible quantité,1 g,en quantité modérée,,+10%,+9%,+15%,+65%,+2%,-19%,+13%,+2%,+2%,5,+84%,C,+84%,84.7%,5.8%,1.9%,2.3%,1.1%,4.2%,38,,,,['Allemagne'],,http://www.oetker.fr/fr-fr/nos-produits/delizza/delizza-bolognese.html,
141,Pizza Arrabbiata - Dr.Oetker,4001724020394,,,['Dr.Oetker'],['France'],[],,,[],,?,246,1029 kj(246 kcal),13,"4,3",23,"3,8","8,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Pastel Mousse -,4001724021896,,,,"['France', 'Espagne']",[],,,[],,?,348,1456 kj(348 kcal),21,12,33,24,"5,9","0,17","0,068",,,['es:Tarta-helada'],,21 g,en quantité élevée,12 g,en quantité élevée,24 g,en quantité élevée,0.17 g,en faible quantité,,,,,,,,,,,19,,E,,,,,,,,,,,,,,,
143,My sweet deli - Dr.Oetker - 500g,4001724021957,500 g,['Boite carton'],['Dr.Oetker'],"['France', 'Allemagne']","['19% chocolat ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de SOJA', 'ŒUF entier', 'sucre', ""16% confiture d'abricots extra "", 'abricots', 'sirop de glucose-fructose', 'sucre', 'gélifiant ', 'pectines', 'acidifiant ', 'acide citrique', 'BEURRE', 'farine de BLÉ', 'amidon de BLÉ', 'sirop de glucose', 'arôme vanilline', 'sel']","['E322i - Lécithine', 'E440 - Pectines', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait', 'Soja']",['Non végétalien'],4,1553,370,1553 kj(370 kcal),14,"7,9",54,41,"5,7","0,51","0,204",,,"['Biscuits et gâteaux', 'Aides culinaires', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",,,,,,,,,,-1%,-1%,+0%,+36%,+83%,-8%,+36%,-5%,-18%,-18%,,,,,,,,,,,,,['Noz'],,,,,
144,Ristorante pizza vegetale grigliata - Dr. Oetker,4001724022336,,,['Dr. Oetker'],['France'],"['Farine de % de % FROMAGE ', 'MOZZARELLA} EDAM', '% grillés', 'huile de colza', '2,8 % tomates séchée} marinées ', 'tomates séchées', 'huile de tournesoi', 'sel', 'ai}', 'herbes aromatiques', 'acidifiant ', 'acide citrique', '2,7 % olives noires ', 'olives', 'se\\', 'acidifiant ', 'acide lactique', 'stabilisant ', 'gluconate de fer', 'eau', 'huile diolive vierge extra', 'levure de boulangerie', 'sel', 'sucre', 'amidon modifiéj hasiiic', 'origan', 'paprika', 'oignon en poudre', 'persil', 'gingembre']","['E330 - Acide citrique', 'E270 - Acide lactique', 'E579 - Gluconate de fer']",['Lait'],[],,?,217,908 kj(217 kcal),"9,5","2,7",24,"3,4","7,4","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Pizza Spinaci - Dr.Oetker,4001724023715,,,['Dr.Oetker'],['France'],[],,,[],,?,220,920 kj(220 kcal),11,"2,8",21,"2,5","7,1","0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Ristorante Pizza salamie mozarella pesto - Dr.Oetker,4001724026846,,,['Dr.Oetker'],['France'],[],,,[],,?,254,1063 kj(254 kcal),14,"4,4",23,"3,1",9,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Pizza Ristorante Speciale - Dr Oetker,4001724628705,,,['Dr Oetker'],['France'],[],,,[],,?,254,1063 kj(254 kcal),13,"4,7",23,"2,6",10,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
