,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,palm_ingredients,ingredients_origins,manufacturing,brand_owner,producer_info,origin_detail
237,Sandwich au pain spécial garni de jambon cuit choix d'emmental et de salade - U - 140g,3256224756781,,140 g,['Frais'],['U'],"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs Jambon Fromage', 'Sandwichs polaires']","['Transformé en France', 'Farine de blé français']",,['France'],"['Ingrédients Pain spécial 44% ', 'farine de BLE ', 'France', ' 20%', 'eau', 'farine de SEIGLE', 'sucre', 'huile de colza', 'levure', 'sirop de glucose', 'GLUTEN vital de BLE', 'protéines de BLE', 'sel', ""vinaigre d'alcool"", 'germes de BLE', 'farine de BLE malté ', 'France', ' 0,02%', 'levain de SEIGLE dévitalisé', ""farine d'ORGE maltée toastée"", 'jambon cuit choix 29,9% ', 'jambon de porc ', 'origine : UE', 'eau', 'sel', 'arômes naturels', 'sirop de glucose', 'dextrose', 'LACTOSE', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'ferments', 'BEURRE', 'EMMENTAL 8,1%', 'salade 8,1%', "" Traces éventuelles d'oeuf"", 'de moutarde et de poisson']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,6.2 g,en quantité élevée,5.9 g,en quantité modérée,1.2 g,en quantité modérée,1147,+10%,273,+16%,1147 kj(273 kcal),+14%,11,+19%,"6,2",+120%,29,+4%,"5,9",+22%,13,+26%,"1,2",-12%,"0,48",-12%,14,+89%,D,+89%,D,['Magasins U'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,,,,,,,
238,"Boisson à base d'eau de source aromatisée à la Fraise - U - 1,5l",3256224998198,,"1,5 l","['Bouteille', 'Plastique']",['U'],"['Boissons', 'Eaux', 'Eaux aromatisées', 'Boissons avec sucre ajouté']","['Point Vert', 'Sans conservateurs', 'Transformé en France', 'Triman', 'Recyclé plastique']",,['France'],"['Eau de source ', 'France', ' 96', '4%', 'sucre', 'acidifiant : acide citrique', 'arôme']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,5.5 g,en quantité modérée,0.03 g,en faible quantité,96,+140%,22,+144%,96 kj(22 kcal),+159%,"0,5",+414%,"0,1",+1047%,"5,5",+158%,"5,5",+178%,"0,5",+339%,"0,03",+133%,"0,012",+133%,8,+136%,D,+136%,,"['Super U', 'Magasins U']",['E330 - Acide citrique'],,,,,,,,,,,,,,
239,Gourdes pomme-pomme abricot pomme-fraise sans sucre ajouté - U Mat & Lou - 12x 90g,3256225042432,,12 x 90 g,"['Carton', 'boîte', 'Plastique', 'Gourde']","['U Mat & Lou', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature', 'Compotes à boire', 'Compotes pommes fraise', 'Compotes pommes abricot']","['Pommes de France', 'en:FSC', 'Point Vert', 'Sans sucre ajouté', 'Transformé en France', 'Triman']",,['France'],"['Pomme : pomme ', 'France', ' 99', '9%', 'antioxydant : acide ascorbique', ' Pomme abricot : pomme ', 'France', ' 84%', 'abricot 14%', 'jus concentré de carotte', ""arôme naturel d'abricot"", 'antioxydant : acide ascorbique', ' Pomme fraise : pomme ', 'France', ' 78%', 'fraise 21%', 'jus concentré de cassis', 'antioxydant : acide ascorbique']",,[],4,0.2 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,228,-11%,54,-16%,228 kj(54 kcal),-14%,"0,2",-41%,0,-100%,12,-14%,10,-21%,"0,3",-32%,0,-100%,0,-100%,-4,,A,,B,"['Super U', 'Magasins U']",['E300 - Acide ascorbique'],32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,['Hors France'],['France'],,,
240,Crème dessert bi-goût chocolat et lait - U Mat & Lou - 6x 70g,3256225051106,,6 x 70 g,"['Frais', 'Plastic']","['U Mat & Lou', 'U']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']","['Sans arômes artificiels', 'Lait Français', 'Sans colorants', 'Transformé en France', 'en:lait-francais-french-milk', 'Lait BBC']",,['France'],"['Lait écrémé ', 'origine : france', ' 72,1%', 'sucre', 'eau', 'creme ', 'origine : france', 'amidon transformé de maïs', 'chocolat 1% ', 'sucre', 'masse de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant : lécithines de tournesol', 'lactose et protéines de lait', 'cacao maigre en poudre 0,6%', 'épaississant : carraghénanes', ""correcteur d'acidité : citrate trisodique""]","['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien']",4,2.9 g,en faible quantité,2 g,en quantité modérée,15 g,en quantité élevée,0.12 g,en faible quantité,463,-15%,110,-19%,463 kj(110 kcal),-18%,"2,9",-37%,2,-31%,18,-4%,15,-6%,"2,8",-22%,"0,12",-20%,"0,048",-20%,4,-15%,C,-15%,B,"['Super U', 'Magasins U']","['E14XX - Amidons modifiés', 'E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331iii - Citrate trisodique']",72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,,['France'],['France'],,,
241,Pur jus multifruits - U - 50cl,3256225426744,,50 cl,"['bouteille en plastique de', 'bouteille en plastique']",['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",['Transformé en France'],,['France'],"['Jus et purées de fruits : pomme 67', '2%', 'banane 10%', 'abricot 10%', 'orange 3', '7%', 'ananas 3', '2%', 'mangue 3%', 'poire 2', '1', 'passion 0', '5%', 'citron 0', '3%']",,[],1,0.1 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité élevée,0.03 g,en faible quantité,200,+9%,47,+4%,200 kj(47 kcal),+7%,"0,1",-37%,0,-100%,11,+6%,"10,3",+7%,"0,5",+48%,"0,03",+186%,"0,012",+186%,4,-41%,C,-41%,C,['Magasins U'],,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,
242,Gourdes à la pomme sans sucres ajoutés - U Mat & Lou - 20x 90g,3256225718658,,20 x 90 g,,"['U Mat & Lou', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']","['Peu ou pas de sucre', 'en:FSC', 'Fruits et Légumes de France', 'Pommes de France', 'Sans sucre ajouté', 'Transformé en France', 'Fruits de France']",,['France'],"['Pommes ', 'France', ' 99', '9%', 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0 g,en faible quantité,228,-15%,54,-19%,228 kj(54 kcal),-18%,"0,2",-39%,0,-100%,12,-18%,11,-17%,"0,3",-28%,0,-100%,0,-100%,-4,,A,,B,['Magasins U'],['E300 - Acide ascorbique'],35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,
243,Noix de cajou romarin poivre - U - 100g,3256225732128,Noix de Cajou grillées à sec aromatisées au poivre et romarin,100 g,"['Sachet plastique à jeter', 'Green dot', 'Pensez au tri!', 'paquet']",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['Transformé en France'],,['France'],"['NOIX DE CAJOU 94%', 'sel', 'farine de riz', 'sucre', 'poivre noir 0', '7%', ""gélifiant : gomme d'acacia"", 'extrait de levures', 'romarin 0', '2%', 'arômes naturels', "" Traces éventuelles d'autres fruits à coque"", 'arachides', 'céréales contenant du gluten et soja']",['Fruits à coque'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,46 g,en quantité élevée,7.7 g,en quantité élevée,5.7 g,en quantité modérée,0.97 g,en quantité modérée,2466,-2%,595,-1%,2466 kj(595 kcal),-1%,46,-0%,"7,7",-9%,18,-30%,"5,7",-12%,23,+23%,"0,97",+55%,"0,388",+55%,4,-47%,C,-47%,E,"['Super U', 'Magasins U']","[""E414 - Gomme d'acacia"", 'E392 - Extrait de romarin']",85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,"['EMB 81163', 'Mazamet (Tarn, France)']",,,['France'],,,
244,Lardons de truite fumée au bois de hêtre - U - 90g,3256225734023,,90 g,"['Frais', 'plateau']",['U'],"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']","['Transformé en France', 'Elevage avec une alimentation sans OGM']",,['France'],"['TRUITE arc-en-ciel ', 'Oncorhynchus mykiss', ' élevée en Europe 97%', 'sel ', 'France', ' 3%']",['Poisson'],"['Non végétalien', 'Non végétarien']",3,7.3 g,en quantité modérée,1.3 g,en faible quantité,0.2 g,en faible quantité,3.2 g,en quantité élevée,664,-1%,158,-4%,664 kj(158 kcal),-3%,"7,3",-7%,"1,3",-20%,"0,3",-28%,"0,2",-32%,23,+2%,"3,2",+16%,"1,28",+16%,12,+2%,D,+2%,E,['Magasins U'],,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,
245,Noir fourré mangue-passion & ganache - U - 130g,3256226087418,,130 g,['Tablette'],['U'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés']","['en:FSC', 'Fabriqué en France']",,['France'],"['Fourrage mangue passion 30% [sirop de glucose - fructose', 'humectant: glycérol', 'sucre', 'jus concentré de mangue 0', '9% ', 'équivalent 3', '8% de mangue', 'jus concentré de fruits de la passion 0', '9% ', 'équivalent à 3', '3% de fruits de la passion', 'acidifiant: acide citrique', 'gélifiant: pectines', 'concentrés de carotte et de potiron', 'arômes', ""correcteur d'acidité: citrates de sodium"", 'eau]', 'ganache 30% [sucre', 'beurre de cacao', 'beurre concentré', 'poudre de lait entier', 'pâte de cacao', 'cacao maigre en poudre', 'lactosérum en poudre', 'émulsifiant: lécithines de tournesol', 'arôme naturel de vanille]', 'sucre', 'pâte de cacao', 'beurre de cacao', 'beurre concentré', 'émulsifiant : lécithines de tournesol', 'arôme naturel de vanille', ' cacao: 49% minimum dans le chocolat noir', ' traces éventuelles de fruits à coque', ""de céréales contenant du gluten et d'oeuf""]","['Lait', 'RUM']",['Non végétalien'],4,27 g,en quantité élevée,17 g,en quantité élevée,44 g,en quantité élevée,0.08 g,en faible quantité,2075,-3%,497,-6%,2075 kj(497 kcal),-6%,27,-18%,17,-7%,57,+16%,44,+1%,"4,4",-22%,"0,08",+35%,"0,032",+35%,21,-9%,E,-9%,E,['Magasins U'],"['E422 - Glycérol', 'E330 - Acide citrique', 'E440 - Pectines', 'E331 - Citrates de sodium', 'E322i - Lécithine']",85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,
246,Sirop de citron vert - U - 75cl,3256226396992,,75 cl,['Fruit'],['U'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron vert', 'Boissons avec sucre ajouté']","['Arômes naturels', 'Sans colorants', 'Transformé en France']",,['France'],"['Sucre', 'eau', 'jus de citron vert à base de concentré 11%', 'acidifiant : acide citrique', 'arômes naturels de citron vert avec autres arômes naturels', 'arôme naturel']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,1198,+24%,282,+36%,1198 kj(282 kcal),+36%,"0,1",+78%,"0,1",+567%,66,+23%,65,+36%,"0,1",+52%,"0,01",-26%,"0,004",-26%,,,,,B,['Magasins U'],['E330 - Acide citrique'],58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,
247,Préparation aux fruits abricots et açaï - U Bio - 240g,3256226759162,,240 g,['Pot'],"['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Transformé en France']",,['France'],"['Abricot* 60%', 'jus concentré de raisin rectifié*', 'gélifiant : pectine', ""poudre d'acai* 1"", '2% ', 'fécule de manioc 0', ""7% et pulpe d'acai 0"", '5%', ' ', 'affermissant : citrate de calcium', "" *ingrédients issus de l'agriculture biologique""]",,[],4,0.6 g,en faible quantité,0.1 g,en faible quantité,38 g,en quantité élevée,0.01 g,en faible quantité,711,-22%,168,-23%,711 kj(168 kcal),-22%,"0,6",+165%,"0,1",+134%,39,-27%,38,-25%,"0,9",+79%,"0,01",-55%,"0,004",-55%,7,-22%,C,-22%,A,"['Magasins U', 'Super U']","['E440 - Pectines', 'E333 - Citrates de calcium']",38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,
248,briochettes au levain pasquier - 560g,3256540031074,briochettes natures,560g,"['Paquet', 'Sachet']","['Pasquier', 'Brioche Pasquier']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Briochettes']","['Fabriqué en France', 'Sans conservateurs']",,"['France', 'Suisse']","['Farine de blé 40% - levain 17% ', 'farine de blé 9%', 'eau', 'sel', ' - œufs frais 13% - sucre - huile de colza - beurre concentré ', 'lait', "" - levure - émulsifiant : mono et diglycérides d'acides gras - sel - rhum - gluten de blé - fibres de psyliium - arôme - colorant : caroténoïdes - antioxydant : acide ascorbique - protéines de lait""]","['Œufs', 'Gluten', 'Lait', 'Rhum']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,13 g,en quantité modérée,3.4 g,en quantité modérée,18.5 g,en quantité élevée,1 g,en quantité modérée,1531,+2%,346,-2%,1531 kj(346 kcal),+3%,13,-1%,"3,4",-38%,"52,4",+5%,"18,5",+28%,"8,4",+5%,1,+6%,"0,4",+6%,15,+3%,D,+3%,B,['Carrefour'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']",81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,['France'],['France'],,,
249,"Saveur Menthe - Leader Price - 1,25L",3263855092386,,"1,25 L","['Bouteille plastique et bouchon à recycler', 'Film plastique à jeter', 'Pensez au tri', 'Triman', 'PET 1']",['Leader Price'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Eaux aromatisées', 'Eaux gazeuses aromatisées', 'Boissons sans sucre ajouté']","['Peu ou pas de sucre', 'Sans sucre', 'Sans édulcorants', 'Triman', '0\xa0% calorie']",,['France'],"['Eau minérale naturelle renforcée au gaz de la source Puits Saint Georges 1', ""arôme naturel de menthe avec d'autres arômes naturels""]",,[],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,,0,-100%,0,-100%,0,-100%,"0,11",+450%,"0,044",+450%,0,-100%,B,-100%,,"['Franprix', 'Leaderprice', 'Leader Price']",,,,,,,,,"['EMB 42285', 'Saint-Romain-le-Puy (Loire, France)', 'EMB 07012A', 'Arcens (Ardèche, France)']",,,,,,
250,Yaourt nature  - Leader Price - 500g (4x 125g),3263859780111,Yaourt nature,500 g (4 x 125 g),"['Frais', 'Pot', 'Plastique', 'Opercule']","['Leader Price', 'DLP (Distribution Leader Price)', 'Groupe Casino']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts nature']","['Source de calcium', 'Point Vert', 'Eco-Emballages']",,['France'],"['Lait écrémé reconstitué à partir de lait écrémé en poudre', 'lait écrémé', 'crème', 'poudre de lait écrémé', 'ferments lactiques du yaourt']",['Lait'],['Non végétalien'],3,2.6 g,en faible quantité,1.7 g,en quantité modérée,3.3 g,en faible quantité,0.13 g,en faible quantité,214,-23%,?,,214 kj(51 kcal),-28%,"2,6",-28%,"1,7",-27%,"3,3",-32%,"3,3",-26%,"3,6",-13%,"0,13",+8%,"0,052",+8%,-1,-277%,A,-277%,B,['Leader Price'],,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,"['FR 38.544.004 CE', 'Vienne (Isère, France)']",,,"['Yoplait France (Filiale Général Mills / Sodiaal) - Chemin des Mines - 38200 Vienne', 'Isère', 'Rhône-Alpes', 'France']",,,
251,"Boulghour et céréales cuisinés à  l'huile d'olive (3,4%) - Picard - 600g e",3270160593668,,600 g e,"['Sachet', 'Plastique']",['Picard'],"['Surgelés', 'Plats préparés', 'Céréales préparées']","['Végétarien', 'Fabriqué en France']",https://www.picard.fr/produits/boulghour-et-cereales-cuisines-a-l-huile-d-olive-3-000000000000059366.html,['France'],"['Céréales réhydratées 94,8 % [boulghour de blé dur 47,7 % ', 'gluten', 'semoule de blé dur 38 % ', 'gluten', 'flocon de seigle maltés 8,4 % ', 'gluten', ""flocon d'épeautre 0,6 % "", 'gluten', ']', ""huile d'olive vierge extra 3,4 %"", 'sel', 'persil', 'ail', 'tomate déshydratée 0,1 %', 'cannelle', 'herbes de Provence']",['Gluten'],['Végétarien'],4,3.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en faible quantité,0.7 g,en quantité modérée,817,-0%,194,+2%,817 kj(194 kcal),+2%,"3,5",-10%,"0,5",-25%,"32,8",+8%,"1,1",-27%,"6,2",+6%,"0,7",-12%,"0,28",-12%,-1,-192%,A,-192%,,['Picard'],,,,,,,,,,,,['France'],,,
252,"3 Fruits Raisins secs, Amandes, Noisettes Daco Bello - 500g",3270720049130,"3 Fruits Raisins secs, Amandes, Noisettes",500 g,['sachet plastique'],['Daco Bello'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']",,,['France'],"['Raisins géants noirs ', 'raisins secs', 'huile végétale ', 'tournesol et/ou colza et/ou coton', 'noisettes décortiquées', 'amandes décortiquées']",,[],3,23.4 g,en quantité élevée,2 g,en quantité modérée,36.6 g,en quantité élevée,0.0399 g,en faible quantité,1818,-31%,435,-31%,1818 kj(435 kcal),-31%,"23,4",-56%,2,-56%,"41,5",+214%,"36,6",+747%,"11,7",-40%,"0,04",-46%,"0,016",-46%,9,+423%,C,+423%,,['Carrefour'],,,,,,,,,,,,,,,
253,Oasis sorbet - x10,3274661100561,,x10,['Surgelé'],"['Oasis', 'Froneri']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Sorbets', 'Sorbets multifruits']","['Sans arômes artificiels', 'Sans colorants']",,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,21.2 g,en quantité élevée,0.04 g,en faible quantité,?,,474,+305%,1983 kj(474 kcal),+302%,"0,5",+32%,"0,1",-32%,"27,1",-0%,"21,2",-5%,"0,5",-13%,"0,04",+50%,"0,016",+50%,9,+108%,C,+108%,C,,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,
254,"yaourt de brebis sur lit de fruits rouges - Le Petit Basque - 250g, 2pots de 125g",3280249801409,Yaourt au lait de brebis à 3% matieres grasses sucres sur un lit à base de fruits rouges,"250 g, 2 pots de 125 g","['Triman', 'Point vert', 'Pensez au tri!', 'Pot verre - opercule alu et cavalier carton à recycler']",['Le Petit Basque'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de brebis']",,,['France'],"['lait de brebis à 35% de matières grasse', 'sucre 11', '7%', 'fraise 4', '2%', 'cerise 4', '2%', 'framboise 2', '1%', 'amidon transformé de tapioca', 'épaississant: carraghénanes', 'arôme naturel', 'conservateur de fruit: sorbate de potassium', 'acidifiant: citrate trisodique', 'ferments lactique ', 'dont lait']",['Lait'],['Non végétalien'],4,2.2 g,en faible quantité,1.7 g,en quantité modérée,13 g,en quantité élevée,0.18 g,en faible quantité,?,,95,-10%,397 kj(95 kcal),-10%,"2,2",-57%,"1,7",-49%,14,+47%,13,+61%,"4,3",-12%,"0,18",+68%,"0,072",+68%,2,-23%,B,-23%,B,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331iii - Citrate trisodique']",79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['FR 33.448.002 CE', ""Saint-Médard-d'Eyrans (Gironde, France)""]",,['en:Lait de France'],,,,
255,Noisettes décortiquées - Holy Fruits - 500g,3325350802263,Noisettes décortiquées,500 g,['Plastique'],['Holy Fruits'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Noisettes décortiquées']",,,['France'],['noisettes décortiquées'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,63 g,en quantité élevée,4.5 g,en quantité modérée,4.3 g,en faible quantité,0 g,en faible quantité,?,,682,+1%,2853 kj(682 kcal),+2%,63,+1%,"4,5",-8%,"7,7",-17%,"4,3",+7%,14,-8%,0,-100%,0,-100%,2,+233%,B,+233%,D,['Leclerc'],,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,['Turquie'],,,,
256,"Spécialité laitière sucrée, aromatisée - Yoplait - 750g",3329770059689,"Spécialité laitière sucrée, aromatisée",750 g,"['Carton', 'Plastique']","['Yoplait', 'Perle de lait non blanc']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts vanille']","['Sans gluten', 'Lait Français']",,['France'],"['LAIT écrémé - CREME - Sucre 9', ""5% - Eau - Amidon transformé de riz et de manioc - Poudre de LAIT écrémé - Arômes - Correcteurs d'acidité : Acide citrique"", 'citrates de sodium - Gousses de vanille épuisées - Colorant : Caroténoïdes - Ferments LACTIQUES ', 'LAIT', "" Décor : Ecorces de vanille - LAIT D'ORIGINE FRANCE""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,7.4 g,en quantité modérée,5 g,en quantité modérée,11.2 g,en quantité modérée,0.11 g,en faible quantité,533,+42%,128,+32%,533 kj(128 kcal),+32%,"7,4",+111%,5,+122%,"12,7",+7%,"11,2",+1%,"2,5",-35%,"0,11",+2%,"0,044",+2%,6,+123%,C,+123%,B,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E160 - Caroténoïdes']",70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",,['France'],['France'],,,
257,Canistrelli d'affa Noisette - Afa,3339881001033,,,,['Afa'],,['en:palm-oil-free'],,['France'],[],,['Sans huile de palme'],,,,,,,,,,?,,481,,2013 kj(481 kcal),,20,,"1,7",,69,,28,,"6,1",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,
258,Achards de Légumes - Monoprix,3350031672958,,,,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Légumes au vinaigre', 'Légumes au vinaigre', 'Achards de légumes']",,,['France'],[],,[],,24.3 g,en quantité élevée,2.2 g,en quantité modérée,2.3 g,en faible quantité,4.3 g,en quantité élevée,?,,250,+62%,1046 kj(250 kcal),+62%,"24,3",+87%,"2,2",+55%,"4,3",-30%,"2,3",-27%,0,-100%,"4,3",+121%,"1,72",+121%,10,+195%,C,+195%,,['Monoprix'],,,,,,,,,,,,,,,
259,Quenelles lyonnaises de brochet pur beurre - Monoprix Gourmet - 320g,3350033326125,Quenelles de brochet pur beurre,320 g,"['Frais', 'Plastique']",['Monoprix Gourmet'],"['Plats préparés', 'Frais', 'Plats préparés au poisson', 'Plats préparés frais', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet', 'Soufflés']","['Point Vert', 'Pur beurre']",https://courses.monoprix.fr/products/MPX_2725668/details,['France'],"[""Œufs frais pasteurisés 32,5% - semoule de blé dur - brochet 13% - beurre 12% - eau - lactose et protéines de lait - blancs d'Œufs pasteurisés - sel - arôme naturel""]","['Œufs', 'Poisson', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,7.1 g,en quantité élevée,0.9 g,en faible quantité,0.85 g,en quantité modérée,?,,212,+10%,887 kj(212 kcal),+10%,13,+6%,"7,1",+40%,14,+9%,"0,9",+17%,"9,1",+25%,"0,85",-17%,"0,34",-17%,11,+32%,D,+32%,,['Monoprix'],,,,,,,,,"['FR 69.273.004 CE', 'Corbas (Rhône, France)']",,,"['France', 'Corbas 69']",,,
