,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,packaging,manufacturing,traceability_code,ingredients_origins,link,palm_ingredients
643,BLEDINA IDEES DE MAMAN 2 Pommes de Terre Poulet / 2 Haricots Verts Carottes Veau / 2 Carottes Riz Jambon 6x200g Dès 8 Mois - 1200g,3041091573919,IDEES DE MAMAN BOLS Pommes de Terre Poulet Dès 8 Mois : Plat à base de féculents et de viande adapté à bébé. IDEES DE MAMAN BOLS Haricots verts Carottes Veau Dès 8 Mois : Plat à base de légumes et de viande adapté à bébé. IDEES DE MAMAN BOLS Carottes Riz Jambon Dès 8 Mois : Plat à base de légumes et de viande adapté à bébé.,1200 g,"['Bledina', 'Les idees de maman']",['France'],"[""IDEES DE MAMAN BOLS Pommes de Terre Poulet Dès 8 Mois : De savoureuses pommes de terre 41,8 % - de l'eau de cuisson - du lait écrémé reconstitué à base de lait en poudre "", 'LAIT', "" - de la viande de poulet 8,80 % - de l'amidon de maïs - du beurre "", 'LAIT', "" - un filet d'huiles végétales "", 'colza', 'tournesol', "" - un brin de persil 0,200% - du sel - une pointe d'ail - une pincée de curcuma - une pointe de muscade"", ""IDEES DE MAMAN BOLS Haricots verts Carottes Veau Dès 8 Mois : De délicieux haricots verts 26,0 % - de l'eau de cuisson - des pommes de terre 16,4 % - des carottes 14,9 % - de la viande de veau Label Rouge "", 'LA 08-93', "" 8,00 % - de l'amidon de maïs - des oignons - de la crème 2,00 % "", 'LAIT', ' - du céleri ', 'CELERI', "" - un filet d'huiles végétales "", 'colza', 'tournesol', "" - du sel - une pointe d'ail - un peu de thym 0,042 % - une pointe de clou de girofle"", ""IDEES DE MAMAN BOLS Carottes Riz Jambon Dès 8 Mois : De succulentes carottes 39,9 % - de l'eau de cuisson - du riz cuit 11,4 % - des pommes de terre - de la viande de porc "", 'jambon', ' 8,00 % - de la crème ', 'LAIT', "" - de l'amidon de maïs - des oignons - un filet d'huiles végétales "", 'colza', 'tournesol', "" - un brin de persil - du sel - une pointe d'ail - une pointe de muscade""]","['Non végétalien', 'Non végétarien']",266,64,266 kj(64 kcal),"2,3","0,9","7,4",1,"2,3","0,19","0,076","['Céleri', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,BLEDINA BLEDIDEJ Croissance Briques Maxi Lot Saveur Choco biscuitée / Choco Vanille 8x250ml Dès 12 Mois - 2136g,3041091620583,BLEDINA BLEDIDEJ Croissance Choco Vanille 4x250ml : Céréales lactées pour bébés. BLEDINA BLEDIDEJ Croissance Saveur Choco biscuitée 4x250ml : Céréales lactées pour bébés.,2136 g,"['Bledina', 'Bledidej']",['France'],"['BLEDINA BLEDIDEJ Croissance Choco Vanille 4x250ml : Lait écrémé 44 % ', 'LAIT', ' - Eau - Maltodextrines - Farines [blé 2,8 % ', 'GLUTEN', 'riz 0,04 %] - Matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Sucre - Amidon de maïs - Lactose ', 'LAIT', ' - Lactosérum déminéralisé ', 'LAIT', ' - Chocolat 0,2 % [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja ', 'SOJA', '] - Cacao en poudre 0,2 % - Emulsifiant : lécithine de soja ', 'SOJA', "" - Arôme naturel de vanille - Correcteurs d'acidité "", 'bicarbonate de sodium', 'hydroxyde de potassium', ' - Minéraux ', 'carbonate de calcium', 'diphosphate ferrique', 'sulfate de zinc et iodure de potassium', ' - Vitamines ', 'A', 'E', 'D3', 'K1', 'C', 'B1', 'B2', 'B3', 'B9', 'B12', 'B5 et B8', ' - Dextrose - Antioxydant : extrait riche en tocophérols', 'BLEDINA BLEDIDEJ Croissance Saveur Choco biscuitée 4x250ml : Lait écrémé 45,4 % ', 'LAIT', ' - Eau - Maltodextrines - Farines [blé 3,0 % ', 'GLUTEN', 'riz 0,05 %] - Matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Sucre - Amidon de maïs - Lactose ', 'LAIT', ' - Chocolat 0,3 % [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja ', 'SOJA', '] - Cacao en poudre 0', '3 % - Lait entier ', 'LAIT', ' - Emulsifiant : lécithine de soja ', 'SOJA', "" - Correcteurs d'acidité "", 'bicarbonate de sodium', 'hydroxyde de potassium', ' - Minéraux ', 'carbonate de calcium', 'diphosphate ferrique', 'sulfate de zinc et iodure de potassium', ' - Caramel ', 'sucre', 'eau', ' - Vitamines ', 'A', 'E', 'D3', 'K1', 'C', 'B1', 'B2', 'B3', 'B6', 'B9', 'B12', 'B5 et B8', ' - Dextrose - Arôme - Antioxydant : extrait riche en tocophérols']","['Huile de palme', 'Non végétalien']",405,96,405 kj(96 kcal),"3,1","1,4","14,5","6,1","2,5","0,11","0,044","['Gluten', 'Lait', 'Soja']",,4,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E525 - Hydroxyde de potassium', 'E306 - Extrait riche en tocophérols']",,,,,,,,,,,,,,,,['Huile de palme']
645,"BLEDINA BLEDICHEFx8 Blanquette de Volaille / Etuvée de Butternut, Pâtes et Cabillaud / Paëlla des Tout-Petits / Duo d'Epinards, Carottes et Petits Macaroni Dès 18 Mois - 2000g",3041091606204,"BLEDINA BLEDICHEF Blanquette de Volaille 2x250g : Plat à base de féculents et de viande adapté à bébé. BLEDINA BLEDICHEF Etuvée de Butternut, Pâtes et Cabillaud 2x250g : Plat à base de légumes et de poisson adapté à bébé. BLEDINA BLEDICHEF Paëlla des Tout-Petits 2x250g : Plat à base de légumes, de viande et de poisson adapté à bébé. BLEDINA BLEDICHEF Duo d'Epinards, Carottes et Petits Macaroni 2x250g : Plat à base de légumes adapté à bébé.",2000 g,"['Bledina', 'Bledichef']",['France'],"['BLEDINA BLEDICHEF Blanquette de Volaille 2x250g : Eau de cuisson - Lait écrémé reconstitué à base de lait en poudre 20,0 % ', 'LAIT', ' - Riz cuit 19,8 % - Pommes de terre - Carottes 6,67% - Viande de dinde 6,00 % - Amidon de maïs - Crème ', 'LAIT', ' - Champignons 2,67 % - Viande de poulet 2,24 % - Céleri ', 'CELERI', ' - Oignons - Jus de citron à base de concentré - Huiles végétales ', 'colza', 'tournesol', ' - Sel - Acérola en poudre - Thym - Poivre noir - Clou de girofle - Laurier', 'BLEDINA BLEDICHEF Etuvée de Butternut', 'Pâtes et Cabillaud 2x250g : Eau de cuisson - Butternut 16,0 % - Pâtes cuites 15,0 % ', 'Semoule de blé dur ', 'GLUTEN', ""Blanc d'œuf en poudre "", 'OEUFS', ' - Carottes 10,0 % - Cabillaud 9,00 % ', 'POISSON', ' - Panais - Oignons - Amidon de maïs - Crème ', 'LAIT', ' - Huiles végétales ', 'colza', 'tournesol', ' - Persil - Sel - Poivre noir - Muscade', 'BLEDINA BLEDICHEF Paëlla des Tout-Petits 2x250g : Eau de cuisson - Riz cuit 22,8 % - Purée de tomates à base de concentré 12,5 % - Petits pois 6,67 % - Carottes 6,67 % - Pommes de terre - Lieu 4,10 % ', 'POISSON', ' - Poivrons rouges 3,60 % - Viande de dinde 3,47 % - Oignons - Amidon de maïs - Viande de poulet 1,60 % - Huiles végétales ', 'colza', 'tournesol', "" - Huile d'olive 0,800 % - Jus de citron reconstitué à base de jus concentré - Sel - Thym - Origan - Ail - Curcuma - Laurier - Poivre noir"", ""BLEDINA BLEDICHEF Duo d'Epinards"", 'Carottes et Petits Macaroni 2x250g : Eau de cuisson - Epinards 18,5 % - Carottes 14,0 % - Pâtes cuites 12,0 % ', 'Semoule de blé dur ', 'GLUTEN', ""Blanc d'œuf en poudre "", 'OEUFS', ' - Pommes de terre - Poireaux - Amidon de maïs - Oignons - Haricots verts - Céleri ', 'CELERI', ' - Crème ', 'LAIT', ' - Huiles végétales ', 'colza', 'tournesol', ' - Ail - Sel - Muscade - Poivre noir']","['Non végétalien', 'Non végétarien']",317,75,317 kj(75 kcal),"2,5","0,4",10,"1,4","2,7","0,24","0,096","['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Lait']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,"BLEDINA BLEDICHEFx8 Hachis Parmentier des Tout-Petits / Petits Spaghetti à la Bolognaise / Purée onctueuse, Epinards et Saumon du Pacifique / Risotto aux Panais et Champignons Dès 12 Mois - 1920g",3041091606198,"BLEDINA BLEDICHEF Hachis Parmentier des Tout-Petits 2x230g : Plat à base de féculents et de viande adapté à bébé. BLEDINA BLEDICHEF Petits Spaghetti à la Bolognaise 2x230g : Plat à base de légumes et de viande adapté à bébé. BLEDINA BLEDICHEF Purée onctueuse, Epinards et Saumon du Pacifique 2x230g : Plat à base de légumes et de poisson adapté à bébé. BLEDINA BLEDICHEF Risotto aux Panais et Champignons 2x230g : Plat à base de légumes adapté à bébé.",1920 g,"['Bledina', 'Bledichef']",['France'],"['BLEDINA BLEDICHEF Hachis Parmentier des Tout-Petits 2x230g : Pommes de terre 56,3 % - Lait écrémé reconstitué à base de lait en poudre 15,0 % ', 'LAIT', ' - Viande de boeuf 10,7 % - Eau de cuisson - Oignons - Amidon de maïs - Beurre ', 'LAIT', ' - Huiles végétales ', 'colza', 'tournesol', ' - Sel - Acérola en poudre - Poivre noir - Muscade', 'BLEDINA BLEDICHEF Petits Spaghetti à la Bolognaise 2x230g : Purée de tomates à base de concentré 49,5 % - Pâtes cuites 15,2 % ', 'Semoule de blé dur ', 'GLUTEN', ""Blanc d'œuf "", 'OEUFS', ' - Carottes - Viande de boeuf 9,77 % - Oignons - Pommes de terre - Céleri ', 'CELERI', ' - Amidon de maïs - Huiles végétales ', 'Olive', 'Colza', 'tournesol', ' - Ail - Sel - Origan - Poivre noir - Laurier', 'BLEDINA BLEDICHEF Purée onctueuse', 'Epinards et Saumon du Pacifique 2x230g : Eau de cuisson - Pommes de terre 19,7 % - Epinards 16,0 % - Carottes 10,0 % - Saumon kéta et/ou rose du Pacifique en proportion variable 8,10 % ', 'POISSON', ' - Panais - Oignons - Haricots verts - Amidon de maïs - Crème ', 'LAIT', ' - Céleri ', 'CELERI', ' - Huiles végétales ', 'colza', 'tournesol', ' - Sel - Muscade - Poivre noir', 'BLEDINA BLEDICHEF Risotto aux Panais et Champignons 2x230g : Eau de cuisson - Panais 20,0 % - Riz cuit 15,2 % - Carottes - Pommes de terre - Oignons - Champignons 4,00 % - Crème 3,33 % ', 'LAIT', ' - Poireaux - Amidon de maïs - Huiles végétales ', 'colza', 'tournesol', ' - Persil - Sel - Thym - Ail - Laurier - Poivre noir']","['Non végétalien', 'Non végétarien']",384,91,384 kj(91 kcal),"3,2","1,5","11,6","0,8","3,6","0,24","0,096","['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Lait']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,"BLEDINA BLEDICHEFx6 Légumes, Pâtes et Cabillaud Façon Beurre Blanc / Mitonné de Carottes, Petits Macaroni et Boeuf / Cocotte de Légumes, Riz et Poulet au Curry Doux Dès 24 Mois - 1460g",3041091606174,"BLEDINA BLEDICHEF Légumes, Pâtes et Cabillaud Façon Beurre Blanc 2x250g : Plat à base de légumes et de poisson adapté à bébé. BLEDINA BLEDICHEF Mitonné de Carottes, Petits Macaroni et Boeuf 2x250g : Plat à base de légumes et de viande adapté à bébé. BLEDINA BLEDICHEF Cocotte de Légumes, Riz et Poulet au Curry Doux 2x250g : Plat à base de légumes et de viande adapté à bébé.",1460 g,"['Bledina', 'Bledichef']",['France'],"['BLEDINA BLEDICHEF Légumes', 'Pâtes et Cabillaud Façon Beurre Blanc 2x250g : Eau de cuisson - Pâtes cuites 11,1 % ', 'Semoule de blé dur ', 'GLUTEN', ""Blanc d'œuf "", 'OEUFS', ' - Panais 10,0 % - Cabillaud 9,30 % ', 'POISSON', ' - Carottes 8,27 % - Poireaux 4,00 % - Amidon de maïs - Oignons - Petits pois - Courgettes - Patates douces - Crème 2,40 % ', 'LAIT', ' - Céleri ', 'CELERI', ' - Jus de citron concentré - Beurre ', 'LAIT', ' - Ail - Huiles végétales ', 'colza', 'tournesol', ' - Sel - Thym - Laurier - Curcuma', 'BLEDINA BLEDICHEF Mitonné de Carottes', 'Petits Macaroni et Boeuf 2x250g : Eau de cuisson - Carottes 27,1 % - Pâtes cuites 15,0 % ', 'Semoule de blé dur ', 'GLUTEN', ""Blanc d'œuf "", 'OEUFS', ' - Viande de boeuf 8,67 % - Pommes de terre - Oignons - Crème ', 'LAIT', ' - Amidon de maïs - Poivrons rouges - Persil 0,500 % - Huiles végétales ', 'colza', 'tournesol', ' - Sel - Thym - Ail - Poivre noir', 'BLEDINA BLEDICHEF Cocotte de Légumes', 'Riz et Poulet au Curry Doux 2x250g : Eau de cuisson - Carottes 20,0 % - Riz cuit 17,1 % - Viande de poulet 8,64 % - Mangues 6,00 % - Courgettes - Oignons - Petits pois - Céleri ', 'CELERI', ' - Amidon de maïs - Poivrons rouges 2,00 % - Crème ', 'LAIT', ' - Huiles végétales ', 'colza', 'tournesol', ' - Curry doux 0,390 % ', 'Coriandre', 'Curcuma', 'Cannelle', 'Cumin', 'Muscade', 'Clou de girofle', ' - Sel - Ail']","['Non végétalien', 'Non végétarien']",310,74,310 kj(74 kcal),"2,7","1,2","8,8","1,3",3,"0,25","0,1","['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Lait']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,"BLEDINA BLEDICHEFx6 Risotto Courgettes, Saumon Pacifique et Mozzarella / Ecrasé de PDT et Choux-Fleurs Béchamel / Mijoté de Lég Fondants et Cabillaud Dès 15 Mois - 1460g",3041091605597,"BLEDINA BLEDICHEF Risotto aux Courgettes, Saumon du Pacifique et Mozzarella 2x250g : Plat à base de légumes et de poisson adapté à bébé. BLEDINA BLEDICHEF Ecrasé de Pommes de Terre et Choux-Fleurs, Crème Façon Béchamel 2x250g : Plat à base de légumes adapté à bébé. BLEDINA BLEDICHEF Mijoté de Légumes Fondants et Cabillaud 2x250g : Plat à base de légumes et de poisson adapté à bébé.",1460 g,"['Bledina', 'Bledichef']",['France'],"['BLEDINA BLEDICHEF Risotto aux Courgettes', 'Saumon du Pacifique et Mozzarella 2x250g : Courgettes 23,3 % - Eau de cuisson - Riz cuit 19,0 % - Saumon kéta et/ou rose du Pacifique en proportion variable 8,10 % ', 'POISSON', ' - Carottes 6,67 % - Petits pois 6,33 % - Pommes de terre - Mozzarella 3,00 % ', 'LAIT', ' - Oignons - Amidon de maïs - Crème ', 'LAIT', "" - Huile d'olive - Huiles végétales "", 'colza', 'tournesol', ' - Basilic - Sel - Ail', 'BLEDINA BLEDICHEF Ecrasé de Pommes de Terre et Choux-Fleurs', 'Crème Façon Béchamel 2x250g : Pommes de terre 31,5 % - Choux-fleurs 25,0 % - Eau de cuisson - Carottes 10,0 % - Lait écrémé reconstitué à base de lait en poudre ', 'LAIT', ' - Oignons - Crème 3,00 % ', 'LAIT', ' - Amidon de maïs - Beurre ', 'LAIT', ' - Céleri ', 'CELERI', ' - Huiles végétales ', 'colza', 'tournesol', ' - Ciboulette - Sel - poivre noir - Muscade', 'BLEDINA BLEDICHEF Mijoté de Légumes Fondants et Cabillaud 2x250g : Eau de cuisson - Carottes 20,0 % - Riz cuit 19,0 % - Potirons 8,33 % - Cabillaud 8,25 % ', 'POISSON', ' - Oignons - Petits pois 3,33 % - Céleri ', 'CELERI', ' - Crème 2,67 % ', 'LAIT', ' - Amidon de maïs - Epinards - Huiles végétales ', 'colza', 'tournesol', ' - Ciboulette - Ail - Sel - Thym - Laurier']","['Non végétalien', 'Non végétarien']",264,63,264 kj(63 kcal),2,"0,7","8,3","1,6","2,3","0,24","0,096","['Céleri', 'Poisson', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,BLEDINA BLEDIDEJ Croissance Briques Maxi Lot Biscuité Saveur Vanille / Chocolat Gourmand 8x250ml Dès 12 Mois - 2136g,3041091075932,BLEDINA BLEDIDEJ Croissance Biscuité Saveur Vanille 4x250ml : Céréales lactées aromatisées pour bébés. BLEDINA BLEDIDEJ Croissance Chocolat Gourmand 4x250ml : Céréales lactées aromatisées pour bébés.,2136 g,"['Bledina', 'Bledidej']",['France'],"['BLEDINA BLEDIDEJ Croissance Biscuité Saveur Vanille 4x250ml : Lait écrémé 45,6 % ', 'LAIT', ' - Eau - Maltodextrines - Farines [blé 3,0 % ', 'GLUTEN', 'riz 0,05 %] - Matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Sucre - Amidon de maïs - Lactose ', 'LAIT', ' - Lait entier ', 'LAIT', ' - Emulsifiant : lécithine de soja ', 'SOJA', "" - Correcteurs d'acidité "", 'bicarbonate de sodium', 'hydroxyde de potassium', ' - Minéraux ', 'carbonate de calcium', 'diphosphate ferrique', 'sulfate de zinc et iodure de potassium', ' - Caramel ', 'sucre', 'eau', ' - Arôme - Vitamines ', 'A', 'E', 'D3', 'K1', 'C', 'B1', 'B2', 'B3', 'B6', 'B9', 'B12', 'B5 et B8', ' - Dextrose - Antioxydant : extrait riche en tocophérols', 'BLEDINA BLEDIDEJ Croissance Chocolat Gourmand 4x250ml : Lait écrémé 48,7 % ', 'LAIT', ' - Eau - Maltodextrines - Matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Farines [blé 2,8 % ', 'GLUTEN', 'riz 0,04 %] - Sucre - Chocolat 0,9 % [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja ', 'SOJA', '] - Amidon de maïs - Lactose ', 'LAIT', ' - Cacao en poudre 0,2 % - Emulsifiant : lécithine de soja ', 'SOJA', ' - Minéraux ', 'carbonate de calcium', 'diphosphate ferrique', 'sulfate de zinc et iodure de potassium', "" - Correcteurs d'acidité "", 'bicarbonate de sodium', 'hydroxyde de potassium', ' - Vitamines ', 'A', 'E', 'D3', 'K1', 'C', 'B1', 'B2', 'B3', 'B6', 'B9', 'B12', 'B5 et B8', ' - Dextrose - Arôme - Antioxydant : extrait riche en tocophérols']","['Huile de palme', 'Non végétalien']",381,90,381 kj(90 kcal),3,"1,3","13,6",6,"2,3","0,1","0,04","['Gluten', 'Lait', 'Soja']",,4,,,,,,,,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E525 - Hydroxyde de potassium', 'E306 - Extrait riche en tocophérols']",,,,,,,,,,,,,,,,['Huile de palme']
650,"BLEDICHEF X 6 Riz et Lieu à la Forestière / Mijoté de Légumes fondants et Cabillaud / Risotto aux Courgettes, Saumon du Pacifique et Mozzarella Dès 15 mois - Bledina - 1460g",3041091438669,"BLEDICHEF 250g Risotto aux Courgettes, Saumon du Pacifique et Mozzarella Dès 15 mois : Plat à base de légumes et de poisson adapté à bébé. BLEDICHEF 230g Riz et Lieu à la Forestière Dès 12 mois : Plat à base de légumes et de poisson adapté à bébé. BLEDICHEF 250g Mijoté de légumes fondants et Cabillaud Dès 15 mois : Plat à base de légumes et de poisson adapté à bébé.",1460 g,"['Bledina', 'Bledichef']",['France'],"['BLEDICHEF 250g Risotto aux Courgettes', 'Saumon du Pacifique et Mozzarella Dès 15 mois : Courgettes 23,3 % - Eau de cuisson - Riz cuit 19,0 % - Saumon kéta et/ou rose du Pacifique en proportion variable 8,10 % ', 'POISSON', ' - Carottes 6,67 % - Petits pois 6,33 % - Pommes de terre - Mozzarella 3,00 % ', 'LAIT', ' - Oignons - Amidon de maïs - Crème ', 'LAIT', "" - Huile d'olive - Huiles végétales "", 'colza', 'tournesol', ' - Basilic - Sel - Ail', 'BLEDICHEF 230g Riz et Lieu à la Forestière Dès 12 mois : Eau de cuisson - Panais 17,1 % - Riz cuit 15,2 % - Lieu 8,75 % ', 'POISSON', ' - Carottes - Pommes de terre - Oignons - Champignons 4,67 % - Céleri ', 'CELERI', ' - Amidon de maïs - Crème ', 'LAIT', ' - Huiles végétales ', 'colza', 'tournesol', ' - Jus de citron concentré - Sel - Ail - Poivre noir', 'BLEDICHEF 250g Mijoté de légumes fondants et Cabillaud Dès 15 mois : Eau de cuisson - Carottes 20,0 % - Riz cuit 19,0 % - Potirons 8,33 % - Cabillaud 8,25 % ', 'POISSON', ' - Oignons - Petits pois 3,33 % - Céleri ', 'CELERI', ' - Crème 2,67 % ', 'LAIT', ' - Amidon de maïs - Epinards - Huiles végétales ', 'colza', 'tournesol', ' - Ciboulette - Ail - Sel - Thym - Laurier']","['Non végétalien', 'Non végétarien']",306,73,306 kj(73 kcal),"2,5",1,"8,6","1,4","3,4","0,25","0,1","['Céleri', 'Poisson', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,"BLEDICHEF X 6 Mijoté de Carottes, Pomme de terre et Bœuf / Hachis Parmentier des tout-petits / Petits Spaghetti à la Bolognaise Dès 12 mois - Bledina - 1380g",3041091438621,"BLEDICHEF 230g Hachis Parmentier des tout-petits Dès 12 mois : Plat à base de féculents et de viande adapté à bébé. BLEDICHEF 230g Petits Spaghetti à la Bolognaise Dès 12 mois : Plat à base de légumes et de viande adapté à bébé. BLEDICHEF 230g Mijoté de Carottes, Pommes de terre et Bœuf Dès 12 mois : Plat à base de légumes et de viande adapté à bébé.",1380 g,"['Bledina', 'Bledichef']",['France'],"['BLEDICHEF 230g Hachis Parmentier des tout-petits Dès 12 mois : Pommes de terre 56,3 % - Lait écrémé reconstitué à base de lait en poudre 15,0 % ', 'LAIT', ' - Viande de boeuf 10,7 % - Eau de cuisson - Oignons - Amidon de maïs - Beurre ', 'LAIT', ' - Huiles végétales ', 'colza', 'tournesol', ' - Sel - Acérola en poudre - Poivre noir - Muscade', 'BLEDICHEF 230g Petits Spaghetti à la Bolognaise Dès 12 mois : Purée de tomates à base de concentré 49,5 % - Pâtes cuites 15,2 % - Semoule de blé dur ', 'GLUTEN', ' - Carottes - Viande de boeuf 9,77 % - Oignons - Pommes de terre - Céleri ', 'CELERI', ' - Amidon de maïs - Huiles végétales ', 'Olive', 'Colza', 'Tournesol', "" - Blanc d'œuf "", 'OEUFS', ' - Ail - Sel - Origan - Poivre noir - Laurier', 'BLEDICHEF 230g Mijoté de Carottes', 'Pommes de terre et Bœuf Dès 12 mois : Carottes 30,7 % - Eau de cuisson - Pommes de terre 24,7 % - Viande de boeuf 8,20 % - Amidon de maïs - Oignons - Céleri ', 'CELERI', ' - Huiles végétales ', 'colza', 'tournesol', ' - Ail - Ciboulette 0,300 % - Sel - Thym - Poivre noir']","['Non végétalien', 'Non végétarien']",384,91,384 kj(91 kcal),"3,2","1,5","11,6","0,8","3,6","0,24","0,096","['Céleri', 'Œufs', 'Gluten', 'Lait']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,IDEES DE MAMAN BOLS 6x200g 2 Petits légumes Saumon du Pacifique / 2 Courgettes Petites pâtes Merlu blanc / 2 Légumes verts Champignons Dès 8 mois - Bledina - 1200g,3041091460837,Blédina idées de maman Petits légumes Saumon du Pacifique : Plat à base de légumes et de poisson adapté à bébé. Blédina idées de maman Légumes verts Champignons : Plat à base de légumes adapté à bébé. Blédina idées de maman Courgettes Petites pâtes Merlu blanc : Plat à base de légumes et de poisson adapté à bébé.,1200 g,"['Bledina', 'Les idees de maman']",['France'],"[""Blédina idées de maman Petits légumes Saumon du Pacifique : De l'eau de cuisson - des pommes de terre - des épinards 11,3 % - des petits pois 10,9 % - du saumon kéta et/ou rose du Pacifique en proportion variable 8,25 % "", 'POISSON', "" - de succulentes carottes 8,03 % - des courgettes - de l'amidon de maïs - des oignons - de la crème "", 'LAIT', ' - du céleri ', 'CELERI', "" - un filet d'huiles végétales "", 'colza', 'tournesol', "" - un brin de persil - des navets - une pointe d'ail - du sel"", ""Blédina idées de maman Légumes verts Champignons : De l'eau de cuisson - des petits pois 18,9 % - des haricots verts 16,0 % - de délicieux champignons 10,0 % - des pommes de terre - des courgettes 6,67 % - des oignons - de l'amidon de maïs - de la crème "", 'LAIT', "" - des épinards 1,33 % - un filet d'huiles végétales "", 'colza', 'tournesol', "" - du sel - une pointe d'ail - un peu de thym"", ""Blédina idées de maman Courgettes Petites pâtes Merlu blanc : De délicieuses courgettes 33,0 % - de l'eau de cuisson - des panais - du merlu blanc 8,00 % "", 'POISSON', ' - des pâtes cuites ', 'semoule de blé dur', ' 6,90 % ', 'GLUTEN', ' - du lait écrémé reconstitué à base de lait en poudre ', 'LAIT', "" - des pommes de terre - de l'amidon de maïs - des épinards - des oignons - un filet d'huiles végétales "", 'colza', 'tournesol', ' - un brin de persil 0,300 % - du sel - une touche de laurier', "" Peut contenir des traces d'oeufs""]","['Non végétalien', 'Non végétarien']",213,51,213 kj(51 kcal),"1,6","0,2","6,4","1,3","2,2","0,18","0,072","['Céleri', 'Poisson', 'Gluten', 'Lait']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
