,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,packaging,manufacturing,traceability_code,ingredients_origins,link,palm_ingredients
1005,Pain gonfaron cereales 400gr entier - Boulangerie de l'hermitage - 400g,3760299411518,Pain gonfaron cereales 400gr entier,400 g,"[""Boulangerie de l'hermitage"", 'Pain gonfaron cereales 400gr entier']",['France'],"['Mélange de Farine de Blé*', 'seigle*,sarrasin*', 'millet* lin* lin brun*', 'tournesol*', 'épeautre*', '46,31%', 'Mélange graines*', '0,31%', 'Eau ', '32,64%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1083,258.8,1083 kj(258 kcal),3,1,46,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1006,Pain petit epeautre cereales 1kg moule tranche - Boulangerie de l'hermitage - 1kg,3760299411778,Pain petit epeautre cereales 1kg moule tranche,1 kg,"[""Boulangerie de l'hermitage"", 'Pain petit epeautre cereales 1kg moule tranche']",['France'],"['It Epeautre*', '37,46%', 'Eau ', '35,6%', 'Levain de Blé*', '15%', 'Mélange de graines*', '11,25%', 'Sel ', '0,68%']",[],1185,283.2,1185 kj(283 kcal),10,1,35,1,10,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1007,Pain mesange 500gr moule tranche - Boulangerie de l'hermitage - 500g,3760299411792,Pain mesange 500gr moule tranche,500 g,"[""Boulangerie de l'hermitage"", 'Pain mesange 500gr moule tranche']",['France'],"['Farine de Blé T110*', '36,77%', 'Eau ', '40,44%', 'Levain de Blé*', '14,70%', 'Sel ', '0,74%', 'Mélanges de graines* ', '7,34%']",[],975,233,975 kj(233 kcal),4,1,39,2,8,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1008,Pain gaulois 1 kg moule entier - Boulangerie de l'hermitage,3760299411846,Pain gaulois 1 kg moule entier,1 kg,"[""Boulangerie de l'hermitage"", 'Pain gaulois 1 kg moule entier']",['France'],"['T110*', '31,05%', 'Far de sarrasin ', '9,33%', 'Eau ', '40,365%', 'Levain de Blé*', '12,43%', 'Sel ', '0,62%', 'Mélanges de graines* ', '6,21%']",[],1019,243.5,1019 kj(243 kcal),4,1,44,2,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1009,Pain blanc 2kg moule entier - Boulangerie de l'hermitage - 2kg,3760299411860,Pain blanc 2kg moule entier,2 kg,"[""Boulangerie de l'hermitage"", 'Pain blanc 2kg moule entier']",['France'],"['E de Blé T65*', '47,07%', 'Eau ', '32,13%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1148,274.4,1148 kj(274 kcal),1,1,54,1,10,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1010,Pain epeautre 2kg moule tranche - Boulangerie de l'hermitage - 2kg,3760299411976,Pain epeautre 2kg moule tranche,2 kg,"[""Boulangerie de l'hermitage"", 'Pain epeautre 2kg moule tranche']",['France'],"['Farine de Grand Epeautre*', '47,07%', 'Eau ', '32,13%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1100,262.9,1100 kj(262 kcal),1,1,51,1,10,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1011,Pain olive 2kg moule entier - Boulangerie de l'hermitage - 2kg,3760299412003,Pain olive 2kg moule entier,2 kg,"[""Boulangerie de l'hermitage"", 'Pain olive 2kg moule entier']",['France'],"['T110*', '39,41%', 'Olives Noires*', '23,13%', 'Eau ', '22,95%', 'Levain de Blé*', '14%', ',sel ', '0,51%']",[],1110,265.3,1110 kj(265 kcal),9,1,38,1,8,2,"0,8",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1012,Pain cereales 1kg rond entier - Boulangerie de l'hermitage - 1kg,3760299410641,Pain cereales 1kg rond entier,1 kg,"[""Boulangerie de l'hermitage"", 'Pain cereales 1kg rond entier']",['France'],"['Mélange de Farine de Blé*', 'seigle*,sarrasin*', 'millet* lin* lin brun*', 'tournesol*', 'épeautre*', '46,31%', 'Mélange graines*', '0,31%', 'Eau ', '32,64%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1083,258.8,1083 kj(258 kcal),3,1,47,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1013,Pain cereales 2kg long entier - Boulangerie de l'hermitage - 2kg,3760299410665,Pain cereales 2kg long entier,2 kg,"[""Boulangerie de l'hermitage"", 'Pain cereales 2kg long entier']",['France'],"['Mélange de Farine de Blé*', 'seigle*,sarrasin*', 'millet* lin* lin brun*', 'tournesol*', 'épeautre*', '46,31%', 'Mélange graines*', '0,31%', 'Eau ', '32,64%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1083,258.8,1083 kj(258 kcal),3,1,47,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1014,Pain epeautre 500gr moule entier - Boulangerie de l'hermitage - 500g,3760299410160,Pain epeautre 500gr moule entier,500 g,"[""Boulangerie de l'hermitage"", 'Pain epeautre 500gr moule entier']",['France'],"['Farine de Grand Epeautre*', '47,07%', 'Eau ', '32,13%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1100,262.9,1100 kj(262 kcal),1,1,51,1,10,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
