,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
1840,Coquillettes blanches Bio,3329489903006,['France'],[],[],?,358,1498 kj(358 kcal),"1,2","0,3",75,"3,3",11,0,0,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Coquillettes']",1.2 g,en faible quantité,0.3 g,en faible quantité,3.3 g,en faible quantité,,+1%,-0%,-35%,-22%,+6%,+6%,-8%,,,,,,,,,,,,,,,,0 g,en faible quantité,-100%,-100%,,-1,,A,,,,,,
1841,Mélange ASIA MIX,3418659104418,['France'],[],[],?,397,1661 kj(397 kcal),"3,7","0,7","81,5","7,7","1,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Pâte de peanut butter crunchy bio toastée - Naja - 200g,3266481395449,['France'],[],[],?,641,2682 kj(641 kcal),56,"4,7","5,5","2,4",24,"2,8","1,12","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Naja'],C,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",56 g,en quantité élevée,4.7 g,en quantité modérée,2.4 g,en faible quantité,,+7%,+7%,+16%,-43%,-62%,-62%,-2%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,2.8 g,en quantité élevée,+425%,+425%,,22,+100%,E,+100%,,,,,
1843,Pomme fraîchement pressée pur jus de pomme - La juicerie,3760307950091,['France'],[],[],?,48,201 kj(48 kcal),"0,1",,"11,5","10,4","0,1",,,,['La juicerie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Bosch Biscuits Agneau & Riz,4015598005852,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,5283012204177,5283012204177,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Café Montecelio Descafeinado,8410559076623,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Cacahuete,3760121213891,['France'],[],[],?,1000,4184 kj(1000 kcal),50,49,50,49,5,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,Nectar de fraise -,3335104239016,['France'],[],[],?,41,172 kj(41 kcal),"0,1","0,01","9,7","8,9","0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,56428797,56428797,['France'],[],[],?,?,,?,,?,,?,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
