,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
274,Taboulé a la libanaise,3261055948762,['France'],[],[],?,493,2063 kj(493 kcal),"2,1","0,3",20,"2,3","3,7","0,8","0,32","['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Raifort doux,3435567000342,['France'],[],[],?,289,1209 kj(289 kcal),27,"2,8","4,5","0,1","3,9","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,3563480001709,3563480001709,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Macrogol 4000eg,3400930172810,['France'],[],[],?,0,0 kj(0 kcal),1,0,2,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Dragées,4260449183757,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Nectar Peche Jaune,3760131166682,['France'],[],[],?,51,213 kj(51 kcal),0,0,12,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Le Bal des papillons,077770,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Biscuits cinamon,3760151010293,['France'],[],[],?,143,598 kj(143 kcal),5,2,19,"3,53",4,"0,1","0,04","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Multifruits bio,3256228440617,['France'],[],[],?,50,209 kj(50 kcal),"0,5","0,1",11,10,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Boudin a l'oignon,2462777018301,['France'],[],[],?,178,745 kj(178 kcal),"13,8",5,5,"2,1","12,5","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Pain ceriales,,['France'],[],[],?,286,1197 kj(286 kcal),"3,9","0,4",49,"4,5","9,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,White port,5605891961048,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Biscuits croquants au boeuf et aux cereales,3256228550736,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Fruit de la passion sorbet - Toupargel - 450g,3328858101609,['France'],[],[],?,135,565 kj(135 kcal),"0,1",0,33,26,"0,3","0,01","0,004","['Nutriscore', 'Nutriscore C']",['Toupargel'],C,450 g,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au fruit de la passion']",0.1 g,en faible quantité,0 g,en faible quantité,26 g,en quantité élevée,,+11%,+10%,-60%,-100%,+8%,0%,-51%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,,0.01 g,en faible quantité,-72%,-72%,,6,+5%,C,+5%,,,,,
288,Chorizo,3233130009613,['France'],[],[],?,175,732 kj(175 kcal),11,"4,6","1,2","0,6",17,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Malloreddos Bio,8032584568814,['France'],[],[],?,370,1548 kj(370 kcal),"1,3","0,1","76,1","1,1","13,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Steak haché,3039050335203,['France'],[],[],?,207,866 kj(207 kcal),15,"6,2",0,0,18,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Nem vietnamien au poulet,3399150073253,['France'],[],[],?,213,891 kj(213 kcal),"9,3",2,"25,9","2,2","8,2","1,27","0,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 94.022.004 CE', 'Choisy-le-Roi (Val-de-Marne, France)']",,,,,,,,,,,,,,,,,
292,Glace au caramel,8719638275460,['France'],[],[],?,961,4021 kj(961 kcal),"12,7","6,9","26,3","23,4","4,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Tomme blanche,2487998017780,['France'],[],[],?,327,1368 kj(327 kcal),27,19,"1,5","0,5",19,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,,,,,,
294,Fregola tostata bio,8032584569231,['France'],[],[],?,373,1561 kj(373 kcal),"0,9","0,1","78,6","0,5","12,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Cafe moulu decafeine,3222477367593,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés décaféinés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,"Adlerkönig - 0,5l",4250693100334,['France'],[],[],?,?,,?,,?,,?,,,,['Adlerkönig'],,"0,5l",['it:Birra'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Crème glacée lait de coco,3495040340839,['France'],[],[],?,151,632 kj(151 kcal),9,"4,7","13,9","11,9","3,5","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Glace pate a cookie,3760258752966,['France'],[],[],?,122,510 kj(122 kcal),"6,4","3,6",12,"8,4",4,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Grissini,8032610382452,['France'],[],[],?,93,389 kj(93 kcal),"5,22","0,89","71,85","4,83","13,06","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Yellow Curry Paste,8853662044323,['France'],[],[],?,63,264 kj(63 kcal),"1,4","0,3","4,7",3,"2,2","6,3","2,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Andouille de Guémené fumée,2618740033851,['France'],[],[],?,239,1000 kj(239 kcal),19,10,"0,8","0,8",16,"2,2","0,88",,,E,,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",19 g,en quantité modérée,10 g,en quantité élevée,0.8 g,en faible quantité,,-4%,-4%,-6%,-1%,+113%,+185%,-2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,"['FR 44.204.003 CE', 'Thouaré-sur-Loire (Loire-Atlantique, France)']",,,,2.2 g,en quantité élevée,-8%,-8%,,20,-7%,E,-7%,,,,,
302,California,3701292627438,['France'],[],[],?,168,703 kj(168 kcal),6,,22,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Café grains Colombie Sud Tolima,3439495220544,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Brochette de boeuf mariné goût kentucky,3497720007001,['France'],[],[],?,110,460 kj(110 kcal),"4,7","1,1","1,4","1,2",16,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,"['FR 87.085.006 CE', 'Limoges (Haute-Vienne, France)']",,,,,,,,,,,,,,,,,
305,Pâte,8000180781555,['France'],[],[],?,200,837 kj(200 kcal),1,0,40,2,7,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Piperade au piment,3580282110538,['France'],[],[],?,80,335 kj(80 kcal),"6,2","1,2","4,2","4,18","1,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Pismaniye,8697441482650,['France'],[],[],?,441,1845 kj(441 kcal),"10,2",0,74,"11,7","1,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Sardines à l'huile d'olive Saint-Georges,1334334700084,['France'],[],[],?,321,1343 kj(321 kcal),"26,4","5,23","0,2","0,2","20,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Philadelphia Light,8001590640241,['France'],[],[],?,172,720 kj(172 kcal),14,"9,3",4,4,"6,8","1,12","0,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,L'or Classique - 180g,07186967,['France'],"['CAFÉ SOLUBLE LYOPHILISÉ e 180g ', 'env', ' 100 tasses']",[],?,?,,?,,?,,?,,,,"[""L'or""]",E,180 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café', 'Grains de café torréfiés']",,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,"['Plastique', 'Sachet en plastique']",,,,,,,['Casino'],,,,,,,,,,,,,,
311,Vinaigre balsamique - Carrefour Bio,3560070417193,['France'],[],[],?,95,397 kj(95 kcal),0,0,"17,8","12,1","1,2",,,"['Bio', 'Bio européen', 'Fabriqué en Italie', 'IGP', 'AB Agriculture Biologique']",['Carrefour Bio'],B,,"['Vinaigres', 'Vinaigres balsamiques']",0 g,en faible quantité,0 g,en faible quantité,12.1 g,en quantité modérée,,-35%,-35%,-100%,-100%,-42%,-56%,+88%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,"['EMB 59491', 'Raismes (Nord, France)']",,,,,,,,,,,,,,,,,
312,Boule de soja enrobée caramel cacahuète,3760215892704,['France'],[],[],?,162,678 kj(162 kcal),"6,8","5,2",10,"7,1",15,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,6 canelés,0202656032804,['France'],[],[],?,296,1238 kj(296 kcal),"3,6","1,4",60,42,"5,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Sucre vanillié,3027030001651,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,L. B. F. IPA BIO,3770010637363,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Chamallow,3103220048597,['France'],[],[],?,333,1393 kj(333 kcal),"0,5","0,1",80,68,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Super gâteau légumes,3701283800130,['France'],[],[],?,336,1406 kj(336 kcal),"18,74","3,29","28,36","17,02","11,32","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Hachis aux petits légumes soja & thym,0205856012355,['France'],[],[],?,140,586 kj(140 kcal),8,"3,5","9,9","2,3","6,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Yaourt à boire      Fraise - Nova,3456772020208,['France'],[],[],?,65,272 kj(65 kcal),1,0,11,11,"2,9",,,,['Nova'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Crackers,2006050030132,['France'],[],[],?,483,2021 kj(483 kcal),23,2,58,"4,6","9,6",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Crème dessert chocolat bio,3770009829076,['France'],[],[],?,102,427 kj(102 kcal),4,2,13,10,3,0,0,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,miel,5601256640573,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,yaourt a boire fraise,3456772020239,['France'],[],[],?,65,272 kj(65 kcal),1,0,11,11,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Assortiment de caramels d'Ysigny,3498751002638,['France'],[],[],?,430,1799 kj(430 kcal),8,"5,4","86,5","59,3",3,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Jardin d'enfance,2709810001068,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Sauce soja,2011000019129,['France'],[],[],?,68,285 kj(68 kcal),"0,5","0,1","5,3","0,5",9,"17,1","6,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Pinot noir mûrier gueth,3760180460908,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Fromage frais Malo 20% matières grasse,5400141055412,['France'],[],[],?,70,293 kj(70 kcal),3,2,4,3,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Cold infusion,5900396031198,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Marine collagène,5600499500279,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Réglisse rouleaux nature,0201399046314,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Purée de framboise,3701002406018,['France'],[],[],?,80,335 kj(80 kcal),"0,3","0,02",14,10,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Magic,3070900099654,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,N’icezz,8719325897739,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Palette de porc braisée,2689653054646,['France'],[],[],?,154,644 kj(154 kcal),"4,7","1,9","0,9","0,4","26,9","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Pecorino romano AOP,2449188017819,['France'],[],[],?,406,1699 kj(406 kcal),34,23,0,0,25,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Huile de noisette vierge,3760289230075,['France'],[],[],?,819,3427 kj(819 kcal),9,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Guimauve,3564884026824,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Creme fraîche epaisse legere,3254560269415,['France'],[],[],?,171,715 kj(171 kcal),15,10,6,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Museli au fruit,87256154,['France'],[],[],?,344.60000610352,1442 kj(344 kcal),"3,7","1,5",61,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,4470149000937,4470149000937,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Gout Cigarette elctronique,3701418800837,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Crown,0012656200048,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Sirop de oeche,3760081670314,['France'],[],[],?,349,1460 kj(349 kcal),0,0,84,83,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Chewgum,4056489322672,['France'],[],[],?,159,665 kj(159 kcal),0,0,67,0,0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Veggie sticks,2002657016401,['France'],[],[],?,540,2259 kj(540 kcal),30,12,12,8,4,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Timbale a la fondue de poureaux aux noix de saint jacques,86891325,['France'],[],[],?,92,385 kj(92 kcal),"4,3","2,1","7,1","2,2","5,6","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Succo e polpa di Albicocca,8051406012519,['France'],[],[],?,57,238 kj(57 kcal),0,0,14,13,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Laurier (Feuilles),4001639183405,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Bioactif 30 pastilles bien etre,3770014640147,['France'],[],[],?,221,925 kj(221 kcal),"1,4","0,8","11,5","0,5","0,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,BocAzul,5201295115553,['France'],[],[],?,13,54 kj(13 kcal),"0,4","0,1",77,"0,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Traubensaft direktsaft,4021375072351,['France'],[],[],?,67,280 kj(67 kcal),"0,1","0,1",16,16,"0,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Pur jus ORANGE sans pulpe,2248334056760,['France'],[],[],?,42,176 kj(42 kcal),"0,5","0,1","8,7","8,7","0,7",,,,,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", ""Jus d'orange sans pulpe""]",0.5 g,en faible quantité,0.1 g,en faible quantité,8.7 g,en quantité élevée,,-5%,-4%,+327%,+510%,-8%,-3%,+6%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,,,,,,,
354,Mangue passion curcuma,3299430069658,['France'],[],[],?,170,711 kj(170 kcal),"0,2","0,1","40,3","39,6",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Pois chiche Bio,8430175872607,['France'],"['ES-ECO-019-CT Agriculture non UE Origine: Turquie Peut contenir des traces de cacahuètes endroit frais et sec', ""à l'abri de la lumière du soleil Ingrédients: 100% pois chiche bio"", ' et autres fruits à coques', 'Garder dans un POIS CHICHE BIO Information nutritionnel pour 100g 1701 kJ/404 kcal 69 0,6g 609 ort acides gras saturés 090 0 Energle Fbre alimentaire Proteine sucres']",[],?,404,1690 kj(404 kcal),6,"0,6",60,10,17,,,"['Bio', 'Agriculture non UE']",,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches', 'Pois chiches secs']",6 g,en quantité modérée,0.6 g,en faible quantité,10 g,en quantité modérée,,+113%,+115%,+98%,+53%,+154%,+510%,+67%,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,['500g'],,,,,,,,,,,,,,,,,,,,,
356,Leffe blonde 0%,5410228253563,['France'],[],[],?,40,167 kj(40 kcal),0,0,"9,8","1,1","0,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,RapidoMix - Ki - 250g,8003144007395,['France'],"['*cereali precotti 60% ', '*farro perlato', '*orzo perlato', '*grano khorasan KAMUT®', 'legumi 40% ', '*piselli verdi spezzati precotti', '*lenticchie gialle decorticate precotte', '*lenticchie rosse decorticate']",[],?,344,1439 kj(344 kcal),"1,8","0,4",61,"1,4",16,"0,01","0,004","['Bio', 'Bio européen', 'Point Vert', 'IT-BIO-007']",['Ki'],B,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Frais', 'Aliments à base de plantes frais', 'Mélange de céréales et légumineuses']",1.8 g,en faible quantité,0.4 g,en faible quantité,1.4 g,en faible quantité,,+28%,+28%,-63%,-51%,+55%,-45%,+36%,57.6%,11.2%,14.1%,8.8%,8.3%,0.0%,96,['Plastique'],,['Gluten'],,,,,,0.01 g,en faible quantité,-98%,-98%,,-6,,A,,,,,,
358,Dana burger,4050164006567,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Nuage de mangue,3281580032477,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Country Crisp,5010487357998,['France'],[],[],?,427,1787 kj(427 kcal),13,"1,7","65,9","19,7","8,7",,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Petites Billes De Tapioca 400G Jade Leaf,8850341400043,['France'],[],[],?,360,1506 kj(360 kcal),0,0,89,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Napolitains bio,3760085324367,['France'],[],[],?,585,2448 kj(585 kcal),44,28,33,26,"9,4",0,0,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Saucisse fine à l’air noir,3233130010008,['France'],[],[],?,202,845 kj(202 kcal),14,"5,7","0,3","0,3",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Rôti filet dinde,2600285066586,['France'],[],[],?,574,2402 kj(574 kcal),"3,8","1,3","0,5","0,5",25,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,GELATO FONDENTE NERO,8032584937801,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,9700294960240,9700294960240,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Les petites tranches façon chorizo doux,3450160002425,['France'],[],[],?,303,1268 kj(303 kcal),"16,5","4,8","3,6","3,2","34,8","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Olives noires,3256220112444,['France'],[],[],?,173,724 kj(173 kcal),17,"2,1","0,5",0,"1,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Mien,3760211821753,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Cappucino tradizione,3564717640470,['France'],[],[],?,378,1582 kj(378 kcal),"7,8",7,59,59,15,"0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Jumbo flying squid in strips,4033443112289,['France'],[],[],?,190,795 kj(190 kcal),"1,3","0,8",8,"1,3","36,6","5,35","2,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Spremuta,8034073652097,['France'],[],[],?,54,226 kj(54 kcal),"0,1",0,13,"8,8","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Oyakata,5901384505400,['France'],[],[],?,245,1025 kj(245 kcal),12,"5,2",29,"2,5","4,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Pain,3298760008634,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Frite de poulet,3230890003806,['France'],[],[],?,300,1255 kj(300 kcal),20,"3,8",17,"1,1",12,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Oyakata,5901384505370,['France'],[],[],?,236,987 kj(236 kcal),11,"5,1",29,"2,9","4,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Miel de france Lavande,3425601537514,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
