,name,bar_code,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,markets,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info,brand_owner,origin_detail
391,Philadelphia - 170g,7622210307309,170 g,['pp-tub'],"['Philadelphia', 'Napolina']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,"['France', 'États-Unis']","['Medium fat soft CHEESE', 'garlic ', '1', '3%', 'salt', 'herbs', 'stabilisers ', 'locust bean gum', 'carrageenan', 'acid ', 'citric acid']","['E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,11 g,en quantité modérée,7.2 g,en quantité élevée,5.4 g,en quantité modérée,0.95 g,en quantité modérée,?,148,619 kj(148 kcal),11,"7,2","5,4","5,4","7,1","0,95","0,38",9,C,C,,-55%,-55%,-59%,-60%,+346%,+628%,-65%,-27%,-27%,-34%,-34%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,['Lait'],,,,,,
392,Belvita breakfast,7622210398628,,,['Belvita'],,,['France'],[],,[],,,,,,,,,,?,440,1841 kj(440 kcal),15,"3,8",66,28,"7,8","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Max - Hollywood,7622210611031,,,['Hollywood'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,['France'],"['Edulcorants ', 'Xylifol', 'de K', ' Gomme base', 'Arômes', 'Stabilisant ', 'E414', 'AcidifiantQ', 'Acide citriqîe', ' EmÜlsifiîritV', 'lécithine Coloiant ', 'Extrait de paprika', ' Une consommation excessive peut avoir des effets laxitifi', ' ', 'Jiltiéhtijhe sourie de phéïylalanine', ' Information nutritionnelle / 100g : Energie 763kJ /']","[""E414 - Gomme d'acacia"", 'E322i - Lécithine', 'E160c - Extrait de paprika']",[],4,0.0007 g,en faible quantité,3e-07 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,183,766 kj(183 kcal),"0,001",0,69,"0,1","0,4",0,0,,,,,+9%,+9%,-100%,-100%,+8%,-98%,+145%,-100%,-100%,,,,,,,,,,,,,,,,,,,,
394,Chocolat de Pâques Petits Oeufs Daim 500 g,7622210668844,,,['Daim'],"['Aliments de Pâques', 'Œufs de Pâques']",,['France'],[],,[],,29 g,en quantité élevée,17 g,en quantité élevée,58 g,en quantité élevée,0.46 g,en quantité modérée,?,527,2205 kj(527 kcal),29,17,59,58,"5,8","0,46","0,184",28,E,,,-4%,-4%,-14%,-15%,+10%,+11%,-13%,+128%,+128%,+7%,+7%,,,,,,,,,,,,,,,,,,
395,Milka Waffelini 5er Multipack - Mondelez,7622210696885,,,['Mondelez'],,,['France'],[],,[],,,,,,,,,,?,522,2184 kj(522 kcal),27,14,64,45,"5,5","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Green fresh - Hollywood,7622210745804,,,['Hollywood'],,,['France'],[],,[],,,,,,,,,,?,156,653 kj(156 kcal),"0,2","0,1",63,"0,1","0,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Melkehjerter - Freia - 130g,7622300137847,130 g,"['Carton', 'boîte', 'Plastique']","['Freia', 'Mondelez']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Cocoa Life', 'Point Vert']","['France', 'Norvège']","['Sukker', 'tørrmelk', 'kakaosmør', 'kakaomasse', 'emulgator ', 'soyalecitin', 'aroma,']",,[],4,36 g,en quantité élevée,22 g,en quantité élevée,51 g,en quantité élevée,0.18 g,en faible quantité,2365,567,2365 kj(567 kcal),36,22,52,51,"7,6","0,18","0,072",25,E,E,+4%,+3%,+2%,+4%,+12%,+0%,+4%,+6%,-23%,-23%,-2%,-2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,"['Lait', 'Soja']",,,,,,
398,Freia Melkesjokolade med Daim - 200g,7622300249021,200 g,['Plastic'],"['Daim', 'Freia']",,['Pur beurre de cacao'],"['France', 'en:Oslo']",[],,[],,,,,,,,,,2263,542,2263 kj(542 kcal),32,19,56,55,"6,6","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,https://www.freia.no/produkter/freia-melkesjokolade-med-daim-(200-g)?p=1661&provider=%7BD193998A-4A6D-4EA5-BAA8-209357B27A09%7D,['REMA 1000'],"['Lait', 'Fruits à coque', 'Soja']",,,,,,
399,Cacao non sucre - Suchard - 250g,7622400757259,250 g,,['Suchard'],,,['France'],"['Cacao non sucré Ingrédient : Cacao', ' Infonnations Consonnnateurs Isabelle CLÉMENT rvice Consonunateurs SUCHARD KRAFT FOODS FRANCE 78942 Velizy-Villacoublay Cedex']",,[],,,,,,,,,,?,376,1573 kj(376 kcal),21,13,"13,9","0,4","18,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Urban kombucha - thé vert & gingembre - Made In 🇨🇭 Chez Nous,7629999025646,,,['Made In 🇨🇭 Chez Nous'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons au thé', 'Kombuchas', 'Boissons avec sucre ajouté']",['Bio'],['France'],"['eau', 'culture de kombucha* ', 'micro-organismes', 'sucre de canne* ', 'thé vert*', 'jus de gingembre* ', '2 %']",,[],3,,,,,,,,,?,14,59 kj(14 kcal),"0,1","0,1","3,5",3,"0,1","0,05","0,02",4,C,B,,-22%,-21%,+108%,+258%,-8%,-13%,+37%,+150%,+150%,-30%,-30%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,
401,Lausanne Pamplemousse - les pétillantes - 330ml,7629999042261,330ml,"['Verre', 'Bouteille']",['les pétillantes'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']","['Bio', 'Bio Suisse']",['France'],[],,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,5.3 g,en quantité modérée,0 g,en faible quantité,?,21,88 kj(21 kcal),"0,1","0,1","5,3","5,3","0,1",0,0,7,D,,,-32%,-30%,+23%,+429%,-29%,-27%,-2%,-100%,-100%,-31%,-31%,,,,,,,,,,,,,,,,,,
402,Petit Pot Carotte PDT Boeuf 190G - Holle - 190g,7640104957690,190 g,,['Holle'],"['Conserves', 'Plats préparés', 'Aliments pour bébé', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats principaux pour bébé', 'Petits pots aux légumes pour bébés dès 4-6 mois', 'Petits pots pour bébé']","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'AB Agriculture Biologique']",['France'],[],,[],,,,,,,,,,?,111,464 kj(111 kcal),"0,6","0,2",3,"2,9","2,2","0,1","0,04",,,B,,+147%,+149%,-49%,+105%,-55%,+10%,+95%,+119%,+119%,,,48.6%,24.6%,10.6%,7.4%,6.2%,2.5%,93,,,,,,,,,,,
403,Schorle pomme,7640107812781,,,,,,['France'],[],,[],,,,,,,,,,?,27,113 kj(27 kcal),"0,5","0,1",7,7,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Chaya Ice Tea thé vert gingembre,7640127852521,,,,,,['France'],[],,[],,,,,,,,,,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Roman's Knusper baguette Croûtons -  - 140g,7640134625163,140g,['Tüte'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",['en:made-in-switzerland'],"['France', 'Suisse']","['Farine de froment', 'huile de colza', 'ail 2%', 'sel de cuisine', 'oignons 1,6%', 'levure', 'amidon de froment', 'épices', 'antioxydant: acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,7.2 g,en quantité modérée,0.6 g,en faible quantité,4.6 g,en faible quantité,2.4 g,en quantité élevée,1570,398,1570 kj(398 kcal),"7,2","0,6",67,"4,6",12,"2,4","0,96",12,D,D,-21%,-16%,-21%,-65%,-80%,+14%,+25%,+27%,+23%,+23%,-18%,-18%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,['Gluten'],,,,,,
406,Amandes Bio - Optimys - 200g,7640149391183,200 g,,['Optimys'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['Amandes', "" Issues de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,50 g,en quantité élevée,4 g,en quantité modérée,4 g,en faible quantité,1 g,en quantité modérée,?,579,2423 kj(579 kcal),50,4,22,4,21,1,"0,4",4,C,E,,-7%,-7%,-4%,-4%,+83%,-4%,-5%,+303%,+303%,+361%,+361%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,['Fruits à coque'],,,,,,
407,"Financiers, Schokolade - Nestlé - 120g",7640156771138,120 g,,['Nestlé'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Financiers']",,"['France', 'Suisse']","[""blanc d'œuf"", 'sucre', ""poudre d'amandes 19%"", 'beurre', 'chocolat 11% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', 'arôme naturel de vanille', 'farine de blé', 'miel', 'stabilisant ', 'E422', 'cacao', 'self conservateur ', 'E202', 'arôme naturel de fève tonka', 'émulsifiant ', 'lécithine de soja', ',']","['E322i - Lécithine', 'E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Non végétalien'],4,29 g,en quantité élevée,12.7 g,en quantité élevée,35 g,en quantité élevée,0.58 g,en quantité modérée,?,475,1987 kj(475 kcal),29,"12,7","41,8",35,"10,2","0,58","0,232",24,E,D,,+5%,+5%,+8%,0%,-3%,+8%,+25%,+75%,+75%,+11%,+11%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,
408,Puree De Fruits Banane Et Semoule Des 6 Mois - Holle - 250g,7640161871458,250g,,['Holle'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté']",['France'],"['demeter flocons de blé* * 50 0%', 'purée de banane* 50 %', 'vitamine BI ', 'conformé - ment à la réglementation', "" *issu de l'agriculture biologique * *issu de l'agriculture biologique "", 'biodynamique', ' / Agriculture UE Bio-granenpap met fruit voor']",,[],,,,,,,,,,?,362,1515 kj(362 kcal),"1,9","0,4","72,6","15,8","9,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Cookie aux pepites de chocolat - freely Handustry - 65g,7640171020013,65 g,['Plastique'],['freely Handustry'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Végétalien', 'CH-BIO-038', 'Agriculture UE', 'Agriculture UE/Non UE']",['France'],"['Mix de farines ', 'amidon de maïs*', 'fécule de pomme de terre*', 'farine de riz* ', 'sta - bilisant:gomme de guar', 'inuline*', 'sucre de ne*', 'pépites de chocolat* 13,8% ', 'pâte de ao*', 'sucre*', 'beurre de cacaot', 'émulsifiant : IL /àcithine de tournesol', ""sirop de riz'"", 'huile de tournesol désodorisée*', 'eau filtrée', 'farine de sarrasin*', ""purée de noix de cajou'"", 'farine de pois chiche*', 'bicarbonate de sodium', 'vinaigre de cidre*', ""extrait de vanille en poudre'"", 'émulsifiant : lécithine de tournesol', 'sel *de production biologique contrôlée Allergènes : Voir ingrédients en gras']","['E412 - Gomme de guar', 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine']","['Végétalien', 'Végétarien']",4,17 g,en quantité modérée,3.9 g,en quantité modérée,29 g,en quantité élevée,0.63 g,en quantité modérée,?,413,1728 kj(413 kcal),17,"3,9",58,29,"4,9","0,63","0,252",13,D,C,,-16%,-16%,-27%,-67%,-7%,-11%,-25%,+14%,+14%,-39%,-39%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Cookie aux pepites de chocolat,,,,,,,,,,
410,Jus d'ananas - Granini - 2dl,76408557,2 dl,"['Bouteille', 'Verre']",['Granini'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'ananas""]",,"['France', 'Suisse']",[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,11.8 g,en quantité élevée,0 g,en faible quantité,?,51,213 kj(51 kcal),"0,5","0,1","11,8","11,8","0,5",0,0,16,E,C,,+13%,+13%,+376%,+777%,+10%,+19%,+130%,-100%,-100%,+33%,+33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,"['OKCon 2013', 'M!P restaurants at CICG']",,,,,,,
411,Coeur d'artichauts - Alessia - 400g,7751553003002,400 g,['Conserve'],['Alessia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve', ""Coeurs d'artichauts""]",,['France'],"[""Cœurs d'artichauts"", 'eau', 'sel', 'acidifiant : acide citrique']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,?,44,184 kj(44 kcal),0,0,7,2,2,0,0,-8,A,C,,+13%,+8%,-100%,-100%,+53%,+64%,+24%,-100%,-100%,,,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,,,,,,['Pérou'],"['EMB 40028A', 'Bastennes (Landes, France)']",,,,
412,Sweet Quinoa Mangue et Noix de Coco - Chef Quinoa - 220g (2 *110g e),7751553003088,220 g (2 *110 g e),"['Plastique', 'Carton', 'Pot']","['Chef Quinoa', 'Carrefour']",['Desserts'],"['en:gluten-free', 'Point Vert', 'Triman']",['France'],"['Mangue 53 %', 'eau', 'quinoa cuit 18 % ', 'eau', 'quinoa blanc', 'quinoa rouge', 'noix de coco déshydratée 5 %', 'acide ascorbique et stévia']","['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,2.2 g,en faible quantité,1.4 g,en faible quantité,7.4 g,en quantité modérée,0.12 g,en faible quantité,302,?,302 kj(72 kcal),"2,2","1,4","10,6","7,4","1,2","0,12","0,048",-1,A,,-59%,,-59%,-68%,-61%,-55%,-60%,-62%,-10%,-10%,-115%,-115%,,,,,,,,,['Pérou'],,['Carrefour'],,,"['EMB 40028A', 'Bastennes (Landes, France)']",,,,
413,Yerba Mate La Merced Con Palo De Monte X 500 GR. - 500g,7790387015515,500 g,,['La Merced'],['Boissons'],,"['Argentine', 'France']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,61,255 kj(61 kcal),0,0,12,0,3,"0,1","0,04",8,D,,,+9%,+6%,-100%,-100%,+6%,-100%,+505%,+141%,+141%,+4%,+4%,,,,,,,,,,,,,,,,,,
414,"Tableta de dulce de leche ""Vauquita"" Suave - 22g",77927361,22 g,['Caja de cartón'],['Vauquita'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Sans gluten'],"['Argentine', 'France']","['Leche', 'azúcar', 'gluc', ' de maíz', 'bicarbonato de sodio']",['E500ii - Carbonate acide de sodium'],['Non végétalien'],3,0 g,en faible quantité,0 g,en faible quantité,,,0.102 g,en faible quantité,?,69,289 kj(69 kcal),0,0,"16,1",,"1,3","0,102","0,041",,,D,,-81%,-81%,-100%,-100%,-81%,,-39%,-16%,-16%,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,Tableta de dulce de leche,,,,['Lait'],"['Argentine', 'es:Buenos Aires']",,,,,
415,Negrita - Nestlé,7802230073907,,,['Nestlé'],,"['Végétarien', 'Végétalien']",['France'],"['S', 'A', ' Avenirla Las Condes N - ""287', ' - Las Condes•Santiago', ' Fca', ' Maipu', 'Cam', ' a Mettptfia i5UUU', ' Hes', ' te ibEO • 24', '09,gt - S', ' Salud del Ambiente R', 'M', ' Marcas Registradas', 'Procesos y Asister', 'cia Técnica', ' bajo licencia de Société des Produits Nestlé S', 'A', 'Vevey', 'Suiza', ' de Trigo', 'Azücar', 'Aceite Vegetal de Palma ', 'w', ' Galato de Propilo y Palmitato de Ascorbi}o', 'Aceite Vegetal z', 'ton BHT', 'Maiz', 'Jarabe de Fructosa', 'Cacao en Polvo', ""7 802 2 30 07 3 9 7 L'*xtrina"", 'Almiddn de Maiz', 'Jarabe de Glucosa', 'Bicarbonato de Sodio', 'Bicarbonato de Amonio y Fosfato Monocàlcico', 'Suero de Leche en Polvo', 'Z:aantes', 'Lecitina de Soya y Polirricinoleato de Poligiicerol', 'Sal', 'Sabonzantes Artificiales', 'Vegetal de ', 'con Palmitato deAscorbilo', 'Colorante Natural ', 'Carctenos', ' Puede contener trazas de huevo FRESCO Y SECO']","['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E341i - Phosphate monocalcique']","['Huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,510,2134 kj(510 kcal),"23,8","14,5","69,1","35,8","4,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Soja']",,,,,,
416,Antarctica Guarana Soda (diet)- Zero - 350ml,7891991000727,350 ml,,['Antarctica'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas light']",,"['Brésil', 'France']","['água gaseificada', 'extrato de guaraná', 'acidulante ácido cítrico', 'edulcorantes ', 'aspartame ', '34,8 mg / 100 ml', 'acessulfame de potássio ', '9,0 mg / 100 ml', 'conservador benzoato de sódio', 'aromatizante', 'corante caramelo IV']","['E951 - Aspartame', 'E950 - Acésulfame K']",[],4,0.01 g,en faible quantité,0.01 g,en faible quantité,0 g,en faible quantité,0.2 g,en quantité modérée,?,1,4 kj(1 kcal),"0,01","0,01",0,0,0,"0,2","0,08",1,B,,,0%,0%,-66%,+62%,-100%,-100%,-100%,+1127%,+1127%,-11%,-11%,,,,,,,,Refrigerante de guaraná de baixa caloria,"['Jaguariúna', 'SP', 'Brazil']",,['Extra'],,,,,,,
417,Fiocchi avena integrali - Náttúra - 500g,8000003060683,500 g,['Sacchetto'],['Náttúra'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales']",['Bio'],['France'],[],,[],,7 g,en quantité modérée,1.3 g,en faible quantité,1.4 g,en faible quantité,0.01 g,en faible quantité,?,363,1519 kj(363 kcal),7,"1,3",57,"1,4",12,"0,01","0,004",-5,A,C,,-7%,-7%,-12%,-32%,-14%,-88%,+22%,-97%,-97%,-247%,-247%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,
418,Riz long étuvé Pigino - 1Kg,8000024001351,1 Kg,['sachet plastique'],"['Pigino', 'Euricom']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain', 'Riz long étuvé']",,['France'],['Riz long étuvé'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.3 g,en faible quantité,0.16 g,en faible quantité,0.3 g,en faible quantité,0.02 g,en faible quantité,?,345,1443 kj(345 kcal),"0,3","0,16","81,3","0,3","7,4","0,02","0,008",0,B,C,,+3%,+2%,-72%,-33%,+11%,+4%,+1%,+5%,+5%,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,Riz long étuvé,,,['Carrefour'],,,,,,,
419,Olio extra vergine di Oliva,8000188201017,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,"['France', 'Italie']",[],,[],,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,824,3448 kj(824 kcal),92,14,0,0,0,0,0,6,C,D,,-4%,-4%,-4%,0%,,,,-100%,-100%,-2%,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
420,Burro - BEPPINO OCCELLI - 125g,8000239000002,125 g,['Carta'],"['BEPPINO OCCELLI', 'Beppino Occelli Il Burro Srl Regione Scarrone 2 12060 Farigliano CN Italy']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",,"['France', 'Italie']",['Burro'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,83 g,en quantité élevée,49 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,?,755,3159 kj(755 kcal),83,49,"1,1","0,5","0,8",0,0,18,D,D,,+5%,+5%,+4%,-8%,+50%,-19%,+18%,-100%,-100%,-18%,-18%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,Burro,,,,,['Italie'],['IT 01 92 CE'],,,,
421,Eliche Nudeln - Buitoni - 1000g,8000270013535,1000g,"['Tüten', 'Tüte(n)']",['Buitoni'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",['de:Pastai a Sansepolcro Toscana'],"['France', 'Allemagne']",['Hartweizengrieß'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.9 g,en faible quantité,0.8 g,en faible quantité,3.5 g,en faible quantité,0.008 g,en faible quantité,?,356,1490 kj(356 kcal),"1,9","0,8","71,8","3,5","11,5","0,008","0,003",-4,A,,,+19%,+18%,-72%,-73%,+47%,+69%,+51%,-99%,-99%,-916%,-916%,,,,,,,,,,,['Lidl'],['Gluten'],,,,,,
422,Cappucino Chocolate - Nescafé - 306g,8000300132779,306g,"['Boîte', 'Plastique']",['Nescafé'],"['Boissons', 'Boissons instantanées']",['Point Vert'],"['Belgique', 'France', 'Royaume-Uni']","['Sucre ', '39,7%', 'lait écrémé en poudre ', '18%', 'sirop de glucose', 'café 8,5% ', 'café instantané 8%', 'café torrefié moulu', 'huile végétale ', 'coco', 'lactose', 'cacao en poudre ', '2,9%', 'sel', ""correcteur d'acidité "", 'E340', 'stabilisants ', 'E331', 'E452', 'arôme naturel,']","['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,8.9 g,en quantité modérée,7.8 g,en quantité élevée,55.9 g,en quantité élevée,0.84 g,en quantité élevée,?,402,1682 kj(402 kcal),"8,9","7,8","70,2","55,9",8,"0,84","0,336",,,,,+53%,+46%,+136%,+220%,+44%,+52%,+38%,+174%,+174%,,,,,,,,,,Préparation instantanée pour boisson au café avec chocolat en poudre.,['Royaume Uni'],,['Delhaize'],['Lait'],,['UK VK302 EC'],,,,
423,Extra Dark Cacao - Perugina - 75g,8000300370614,75 g,,['Perugina'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",,"['France', 'Italie']","['cacao in polvere', ""correttore d'acidità : carbonati di potassio""]",['E501 - Carbonates de potassium'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,23 g,en quantité élevée,14 g,en quantité élevée,0.3 g,en faible quantité,0 g,en faible quantité,?,388,1623 kj(388 kcal),23,14,"7,3","0,3",20,0,0,14,D,E,,+11%,+11%,+65%,+74%,-72%,-97%,+17%,-100%,-100%,+52%,+52%,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,,,,,,,,,
424,Solo ingredienti naturali succo e polpa di pesca - Zuegg,8000340876138,,,['Zuegg'],"['Boissons', 'Boissons avec sucre ajouté']","['en:FSC', 'Sans colorants', 'Sans arômes ajoutés']",['France'],"['purée de pêche 50%', 'eau', 'sucre', 'jus de citron']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,52,218 kj(52 kcal),0,0,12,12,0,0,0,14,E,,,-39%,-41%,-100%,-100%,-39%,-34%,-100%,-100%,-100%,+18%,+18%,,,,,,,,,,,,,,['FSC-C014047'],,,,
425,Lingue di gatto - Matilde Vicenzi,8000350001308,,,['Matilde Vicenzi'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Langues de chat']",,['France'],"['farine de blé', 'sucre', 'huile de palme', 'lactose et protéines du lait', 'dextrose', ' arôme', 'sel', ""blanc d'œufen poudre"", 'poudres à lever ', 'diphosphates', 'carbonates de sodium', ' Peut contenir des noix CONSERVER AU FRAIS ET AU SEC', ""A L'ABRI DE LA PRODUIT EN U"", 'E']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Huile de palme', 'Non végétalien']",4,9.5 g,en quantité modérée,3.3 g,en quantité modérée,43.3 g,en quantité élevée,0.62 g,en quantité modérée,?,371,1552 kj(371 kcal),"9,5","3,3","81,4","43,3","5,4","0,62","0,248",15,D,D,,-16%,-16%,-40%,-61%,+21%,+13%,-7%,+32%,+32%,-25%,-25%,83.1%,10.0%,3.0%,2.0%,1.8%,0.0%,50,,,,,"['Gluten', 'Lait']",,,['Huile de palme'],,,
