,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,additives,eco_score,quantity,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,generic_name,markets,traceability_code,ingredients_origins,link,brand_owner,origin_detail,producer_info
448,Tentacules de calamars à l'huile d'olive biologique - Pain de Mer - 120g,8412439285033,['Pain de Mer'],"['Snacks', 'Conserves', 'Snacks salés', 'Produits de la mer', 'Mollusques', 'Calamars', 'Tapas']","['Sans gluten', 'BCS Oko-Garantie', 'CRAEGA ES-ECO-022-GA']","['France', 'Allemagne']","['Tentacules de calamar ', '75%', 'huile d’olive extra vierge* ', '24%', 'sel marin \r*  ingrédients issus de l’agriculture biologique certifiée']",[],,?,,312,+51%,1305 kj(312 kcal),+57%,"24,8",+105%,"4,8",+117%,2,-70%,1,-46%,"21,6",+85%,"0,33",-79%,"0,132",-79%,,,120 g,['Conserve'],24.8 g,en quantité élevée,4.8 g,en quantité modérée,1 g,en faible quantité,0.33 g,en quantité modérée,2,-69%,B,-69%,,,,,,,,['Poisson'],['Espagne'],,Tentacules de calamars à l'huile d'olive biologique,['Botanic'],,['Pérou'],,,,
449,Sobrassada de mallorca - Embutidos Rosselo - 150g,8412528048105,['Embutidos Rosselo'],,"['Sans colorants', 'Sans conservateurs']",['France'],['Lard antioxydation: E320 E 321 porc paprika sel poivre noir'],[],,?,,633,,2648 kj(633 kcal),,66,,25,,"0,5",,"0,5",,"8,6",,2,,"0,8",,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Torró tou - Alemany,8412614001083,['Alemany'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,['France'],[],[],,?,,529,+1%,2213 kj(529 kcal),+1%,38,+21%,"3,1",-41%,29,-36%,27,-30%,13,+8%,0,-100%,0,-100%,,E,,,38 g,en quantité élevée,3.1 g,en quantité modérée,27 g,en quantité élevée,0 g,en faible quantité,14,-15%,D,-15%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
451,Mel taronger - Alemany,8412614101103,['Alemany'],,,['France'],[],[],,?,,320,,1339 kj(320 kcal),,0,,0,,80,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Ail noir - La Veguilla,8412683015059,['La Veguilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",,['France'],"[""L'ail noir est un produit 100% naturel"", "" C'est un ail produit en Castille La Mancha soumis à un procéssus de maturation lente"", ' Il ne pique pas et ne donne pas de mauvaise haleine', ' Il a une agréable saveur', 'profonde et douce', 'qui rappelle la réglisse ou les raisins secs']",[],,?,,175.30000305176,+97%,733 kj(175 kcal),+73%,"0,3",-87%,0,-100%,"39,8",+193%,"32,8",+1223%,"14,2",+226%,"0,009",-99%,"0,004",-99%,,B,,,0.3 g,en faible quantité,0 g,en faible quantité,32.8 g,en quantité élevée,0.009 g,en faible quantité,-1,,A,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,
453,Pimientos del piquillo - Kaymo,8412833122330,['Kaymo'],,,['France'],"['PIMlENTOS DEL PIQUILLO EN TIRAS PRIMERA  INGREDlENTES : Pimientos del Piquillo en tiras', 'ajo', 'sal', 'acidulante : E-330 y endurecedor : E-509', ' Lote : ver tapa o lateral del frasco']",[],4,?,,32,,134 kj(32 kcal),,"0,5",,0,,"6,1",,"5,5",,"0,9",,"0,5",,"0,2",,"['E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Confiture de fraises - Gourmet - 350g,8413080317296,['Gourmet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['Fabriqué en Espagne'],['France'],"['fraise ', '55%', 'sucre', 'sirop de glucose-fructose', 'épaisisant: pectine', 'acidifiant: acide citrique', 'colorant: carmin de cochenille']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,196,-10%,820 kj(196 kcal),-10%,0,-100%,0,-100%,48,-10%,"46,8",-8%,"0,5",+13%,0,-100%,0,-100%,"['E440 - Pectines', 'E330 - Acide citrique', 'E120 - Acide carminique']",D,350 g,,0 g,en faible quantité,0 g,en faible quantité,46.8 g,en quantité élevée,0 g,en faible quantité,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
455,Pasta Gourmet Fideo 4 Grueso,8413080327578,['Gourmet'],,,['France'],"['Pâte alimentaire de qualité supérieure              INGRÉDIENT : Semoule de blé* dur *Contient du gluten', "" Peut contenir des traces d'oeuf""]",[],,?,,344,,1439 kj(344 kcal),,2,,"0,5",,68,,"3,5",,12,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,
456,Fuet de chorizo - Casa Ramon - 150g,8413107000712,['Casa Ramon'],,,['France'],[],[],,?,,477,,1996 kj(477 kcal),,42,,17,,"0,5",,0,,25,,"3,2",,"1,28",,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Snatt's Popped Chips BBQ - 75g,8413164011331,,,"['en:gluten-free', 'Fabriqué en Espagne']",['France'],[],[],,?,,454,,1900 kj(454 kcal),,17,,2,,68,,"2,9",,"5,4",,"2,6",,"1,04",,,,75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Garbanzos al natural de cultivo ecológico - monjardin,8413239005241,['Monjardin'],['Conserves'],['Bio'],"['France', 'Espagne']",[],[],,?,,105,-9%,439 kj(105 kcal),-6%,"1,9",-64%,"0,3",-74%,"16,3",+218%,"0,3",-84%,"5,5",-32%,"0,7",-20%,"0,28",-20%,,,,,1.9 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en quantité modérée,1,+135%,B,+135%,,,,,,,,,,,,,,,,,,
459,Rulo de queso de cabra - El Pastor,8413376024563,['El Pastor'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,"['France', 'Espagne']","['LAIT pasteurisé de chevre', 'sel', 'ferments lactiques', 'chlorure calcique et Penicilliu']",['Non végétalien'],3,?,,329,+16%,1377 kj(329 kcal),+17%,29,+27%,21,+31%,1,-40%,"0,5",-48%,16,-8%,"1,2",-11%,"0,48",-11%,,E,,,29 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,14,+5%,D,+5%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['Lait'],,,,,,,,,,
460,Honey mustard - Servivita,8413412209688,['Servivita'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,"['France', 'Espagne']","['Agua', 'edulcorantes ', 'eritritol y sucralosa', 'fibra vegetal', 'estabilizante ', 'goma xantana', 'aromas ', 'contiene MOSTAZA', 'sal', 'acidulante ', 'acido citrico', 'conservador ', 'benzoato sodico', 'extracto de cúrcuma', 'miel ', '0,01%', 'MOSTAZA ', '0,01%', ' y colorante ', 'caramelo E-150d']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,,10,-94%,42 kj(10 kcal),-94%,"0,5",-95%,0,-100%,"6,5",-6%,0,-100%,0,-100%,"1,7",-64%,"0,68",-64%,"['E968 - Érythritol', 'E955 - Sucralose', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium""]",B,,,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.7 g,en quantité élevée,7,-40%,C,-40%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Moutarde'],,,,,,,,,,
