,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
1917,Yaourt aromatisé - Laitière de Bourgogne - 125g,3700817700212,B,,125 g,,['Laitière de Bourgogne'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de vache', 'Yaourts sucrés']",,,['France'],"['LAIT ENTIER ', 'origine: France', 'sucre', 'POUDRE DE LAIT ÉCRÉMÉ', 'FERMENTS LACTIQUES', 'arôme naturel de fraise']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3.3 g,en quantité modérée,2.4 g,en quantité modérée,11 g,en quantité modérée,0.13 g,en faible quantité,?,,411,+352%,1720 kj(411 kcal),+353%,"3,3",+20%,"2,4",+37%,12,-3%,11,-7%,4,+12%,"0,13",+14%,"0,052",+14%,7,+107%,C,+107%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,"['FR 21.558.001 CE', ""Sainte-Marie-la-Blanche (Côte-d'Or, France)""]",,
1918,Jambon de porc fondant - Bigard,2222648039039,,,,,['Bigard'],,,,['France'],[],,,[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"7,1",,"2,8",,"1,1",,"0,6",,20,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
1919,Oats crunch sable hazelnut - Muji,4549738664642,,,,,['Muji'],,,,['France'],[],,,[],,,,,,,,,,?,,486,,2033 kj(486 kcal),,23,,8,,65,,16,,"8,8",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,
1920,Jasmin Tee mit erdbeer - REWE,4388860202021,,,,,['REWE'],,,,['France'],[],,,[],,,,,,,,,,?,,16,,67 kj(16 kcal),,"0,5",,"0,1",,"3,8",,"3,8",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
1921,Citrus,5200366393012,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,286,,1197 kj(286 kcal),,"0,5",,"0,1",,70,,67,,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
1922,Miel des Cevennes,3683080276458,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1923,Sirop saveur Caramel Beurre Salé - Le temps des mets - 50cl,3760037598181,,,50cl,['bouteille verre'],['Le temps des mets'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['France'],,,,
1924,Roomboter amandelstaaf - Albert Heijn,8710400525134,,,,,['Albert Heijn'],,,['Albert Heijn'],['France'],[],,,[],,,,,,,,,,?,,115,,481 kj(115 kcal),,7,,3,,8,,4,,9,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,
1925,Valériane BIO complément alimentaire,3700216208234,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,
1926,confit de figues - Maison Occitane - 40g,3443705055239,,,40 g,,['Maison Occitane'],,,,['France'],[],,,[],,,,,,,,,,?,,153,,640 kj(153 kcal),,"0,5",,"0,1",,36,,34,,1,,"0,89",,"0,356",,,,,,,,,,,,,,,,,,
