,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
268,Amaretto morbidi -,8054529720231,D,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",,,['France'],[],,,[],,20 g,en quantité modérée,1.3 g,en faible quantité,50 g,en quantité élevée,0.013 g,en faible quantité,?,,438,-4%,1833 kj(438 kcal),-4%,20,+12%,"1,3",-75%,51,-17%,50,+37%,11,+30%,"0,013",-96%,"0,005",-96%,16,-5%,D,-5%,89.3%,5.9%,1.9%,1.8%,1.1%,0.0%,35,,,,,,
269,Souris d'agneau confite - Tendre & Plus,2224658056679,,,,,['Tendre & Plus'],"['Viandes', ""Viandes d'agneau"", ""Souris d'agneau""]",,,['France'],[],,,[],,4.9 g,en quantité modérée,1.9 g,en quantité modérée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,123,-14%,515 kj(123 kcal),-14%,"4,9",-23%,"1,9",-22%,"1,7",+21%,"0,9",+17%,18,-6%,"1,3",+18%,"0,52",+18%,2,-14%,B,-14%,,,,,,,,,,,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,
270,Jambon de porc - Bigard,2222648044675,,,,,['Bigard'],,,,['France'],[],,,[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"7,1",,"2,8",,"1,1",,"0,6",,20,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
271,Yaourts des hautes alpes,3276647776005,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,59,,247 kj(59 kcal),,"3,32",,"2,29",,"3,9",,"2,9",,"2,78",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,
272,2417652018242,2417652018242,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
273,Chocolat lait aux eclats de noisettes caramelisees,3290047000416,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,579,,2423 kj(579 kcal),,"39,8",,21,,"46,7",,"45,9",,"7,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,
274,German salami - Deli Speciale,5052514009012,D,,,,['Deli Speciale'],"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis']",,,"['France', 'Espagne']",[],,,[],,25.6 g,en quantité élevée,9.7 g,en quantité élevée,0.1 g,en faible quantité,4.3 g,en quantité élevée,?,,330,-15%,1381 kj(330 kcal),-15%,"25,6",-22%,"9,7",-25%,1,-35%,"0,1",-87%,"24,6",+21%,"4,3",+13%,"1,72",+13%,23,-3%,E,-3%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,
275,Chocolat au lait fin éclats de caramel beurre salé,3770002656136,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,582,,2435 kj(582 kcal),,40,,21,,45,,43,,"7,8",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,
276,Morbier aop,2488632032343,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,,['France'],[],,,[],,29 g,en quantité élevée,19 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,?,,370,+5%,1548 kj(370 kcal),+5%,29,+1%,19,-3%,1,+29%,1,+141%,23,+2%,1,-30%,"0,4",-30%,13,-13%,D,-13%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,
277,Fitness sandwich,4028491401973,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,246,,1029 kj(246 kcal),,"3,5",,"1,2",,42,,2,,"8,5",,"1,25",,"0,5",,,,,,,,,,,,,,,,,,
278,"Escalope de dinde - 0,280kg",2447038023812,D,,"0,280 kg",,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Point Vert'],,,,,
279,1.483kg,2227481034180,,,1.483 kg,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
280,"Bloc de Foie gras de canard avec 30% morceaux Recette au Champagne (1,8%) et duo de poivres - Maison Montfort - 510g",3104544071964,A,,510g,['Barquette bûche'],['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,['France'],"['Foie gras de canard ', 'origine France', 'morceaux de foie gras de canard 30% ', 'origine France', 'eau', 'Champagne 1,8%', 'sel', 'poivre de Malabar 0,18%', 'sucre', 'poivre blanc 0,09%', 'gingembre', 'cardamome', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', ' Pourcentages à la mise en oeuvre exprimés sur le poids net total']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,488,-5%,2042 kj(488 kcal),-5%,50,-5%,21,-7%,"3,1",+33%,"0,9",-33%,6,-14%,"1,1",-9%,"0,44",-9%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['IGP Sud-Ouest'],['Maubourguet'],,,,
281,0207901053078,0207901053078,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
282,Parfait de foie de canard - Delpeyrat,3067163620107,,,,,['Delpeyrat'],,,,['France'],[],,,[],,,,,,,,,,?,,419,,1753 kj(419 kcal),,"42,1",,"18,1",,"2,9",,"0,1",,7,,"1,11",,"0,444",,,,,,,,,,,,,,,,,,
283,0217230053724,0217230053724,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,
284,8000 BCAA'S,5425002408978,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,12,,50 kj(12 kcal),,0,,0,,0,,0,,"0,6",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
285,Organic 100% jus - Kirkland Signature,0096619320011,,,,,['Kirkland Signature'],,,,['France'],[],,,[],,,,,,,,,,?,,50,,209 kj(50 kcal),,0,,0,,11,,11,,0,,0,,0,,,,,,,,,,,,,,,,,,
286,Vegetal irresistible,3272770099332,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,314,,1314 kj(314 kcal),,"27,5",,"2,5",,10,,"2,9",,"6,5",,"1,4",,"0,56",,,,,,,,,,,,,['Sans colorants'],,,,,
287,Tripoux,3760187541518,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
288,Magret de canard,3443705047364,E,,,,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,,['France'],[],,,[],,32 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,2.5 g,en quantité élevée,?,,374,+10%,1565 kj(374 kcal),+10%,32,+9%,11,+10%,"0,6",-52%,"0,6",-10%,21,+17%,"2,5",+52%,1,+52%,24,+30%,E,+30%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Halal'],,,,,
289,Guimauves - HEMA - 250g,2097748899995,,,250g,,['HEMA'],,,['Hema'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
290,Prosciutto cotto di alta qualita,8002469691418,E,,,['plastikdose (plastic container)'],,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,"['France', 'Pays-Bas']",[],,,[],,12.5 g,en quantité modérée,5.5 g,en quantité élevée,1 g,en faible quantité,2 g,en quantité élevée,?,,196,+48%,820 kj(196 kcal),+50%,"12,5",+160%,"5,5",+199%,"1,5",+124%,1,+68%,20,-5%,2,+7%,"0,8",+7%,15,+113%,D,+113%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Bio'],,,,,
291,Nougat,3328560508017,E,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,['France'],[],,,[],,22.9 g,en quantité élevée,1.6 g,en quantité modérée,54.9 g,en quantité élevée,0.1 g,en faible quantité,?,,476,+6%,1992 kj(476 kcal),+7%,"22,9",+39%,"1,6",-19%,"56,1",-14%,"54,9",+1%,"9,6",+34%,"0,1",+33%,"0,04",+33%,16,0%,D,0%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['en:gluten-free'],,,,,
292,Lamelles d'oranges confites - Sans marque - 200g,3330314500239,,,200 g,"['Barquette', 'Plastique']","['Sans marque', 'MG Europe']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits']",,,['France'],"[""écorces d'oranges"", 'sirop de glucose-fructose', 'saccharose']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0.3 g,en faible quantité,48 g,en quantité élevée,0.1 g,en faible quantité,?,,310,+10%,1297 kj(310 kcal),+10%,"< 0,5",+47%,"< 0,3",+259%,76,+14%,48,-13%,1,+34%,"0,1",-87%,"0,04",-87%,7,-4%,C,-4%,,,,,,,,['Point Vert'],['France'],,,,
293,Panettone classico,8002033216009,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,['France'],[],,,[],,15 g,en quantité modérée,11.8 g,en quantité élevée,35 g,en quantité élevée,0.22 g,en faible quantité,?,,392,+5%,1640 kj(392 kcal),+5%,15,0%,"11,8",+31%,57,+11%,35,+35%,"6,5",-5%,"0,22",-50%,"0,088",-50%,21,+13%,E,+13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,
294,Riz - semi milled Ibis rice,8847100570109,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,209,,874 kj(209 kcal),,"0,4",,0,,0,,0,,4,,0,,0,,,,,,,,,,,,,,,,,,
295,Fantaisies de Nougats - Motta,3700125801519,D,,,,['Motta'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,['France'],[],,,[],,11.1 g,en quantité modérée,1.9 g,en quantité modérée,67 g,en quantité élevée,0.06 g,en faible quantité,?,,417,-7%,1745 kj(417 kcal),-7%,"11,1",-33%,"1,9",-4%,73,+12%,67,+23%,"4,7",-34%,"0,06",-20%,"0,024",-20%,16,0%,D,0%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-02', 'Agriculture UE', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,,,
296,Fourme d ambert AOP,0210870021382,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",,,['France'],[],,,[],,28 g,en quantité élevée,20.6 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,334,-2%,1397 kj(334 kcal),-2%,28,-1%,"20,6",+4%,"0,5",-49%,"0,5",+44%,20,-1%,2,-10%,"0,8",-10%,17,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
297,Mélange de Guérande,3760135313457,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
298,Berlingots,3760164591925,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,"0,5",,"0,1",,97,,65,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
299,Bottarga,2950501002004,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,341,,1427 kj(341 kcal),,"22,4",,"8,2",,"7,1",,"1,1",,"33,1",,2,,"0,8",,,,,,,,,,,,,,,,,,
300,Saucisson pur porc,2407607028938,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
301,S1 sports drink,5060113912190,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
302,Piment rouge  doux,8413900111196,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
303,Poulet roti,2209550005611,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,181,,757 kj(181 kcal),,9,,"2,5",,1,,0,,24,,1,,"0,4",,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans conservateurs']",,,,,
304,Burger bœuf Charolais sauce Chargrill,3287390061515,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,289,,1209 kj(289 kcal),,14,,"6,3",,27,,"4,6",,13,,"0,95",,"0,38",,,,,,,,,,,,,['Point Vert'],,,"['FR 49.204.001 CE', 'Mesnil-en-Vallée (Maine-et-Loire, France)', 'EMB 49204', 'Mesnil-en-Vallée (Maine-et-Loire, France)']",,
305,"Jamon Serrano, Reserva",8436548161774,E,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,['France'],[],,,[],,15.6 g,en quantité modérée,4.3 g,en quantité modérée,0.5 g,en faible quantité,4.1 g,en quantité élevée,?,,249,+4%,1042 kj(249 kcal),+4%,"15,6",+24%,"4,3",-8%,"0,5",-30%,"0,5",+12%,"27,1",-11%,"4,1",-13%,"1,64",-13%,17,+4%,D,+4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,
306,Costa Rica,3698888001423,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,522,,2184 kj(522 kcal),,"37,2",,"22,5",,"39,3",,"34,4",,"7,4",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,
307,Yaourt Nature de Jersiaise,3760268720368,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,56,,234 kj(56 kcal),,"2,42",,"1,83",,"4,39",,"2,98",,"4,15",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
308,Mlekovita - Jogurt Naturalny,5900512990101,,,,,['Mlekovita'],,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
309,Mix pasta,5410298052691,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,381,,1594 kj(381 kcal),,29,,17,,0,,0,,30,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,
310,J'irai revoir ma Normandie,3760053480323,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,175,,732 kj(175 kcal),,"0,01",,"0,01",,"41,3",,41,,"0,1",,"0,002",,"0,001",,,,,,,,,,,,,,,,,,
311,Eclair chocolat x2,0240301014430,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,219,,916 kj(219 kcal),,"5,5",,"2,4",,39,,35,,3,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,
312,Terrine de canard aux pistaches,3328880012232,E,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,['France'],[],,,[],,29.5 g,en quantité élevée,9.8 g,en quantité élevée,0.3 g,en faible quantité,1.3 g,en quantité modérée,?,,321,+5%,1343 kj(321 kcal),+5%,"29,5",+12%,"9,8",+3%,"1,8",+5%,"0,3",-52%,"12,3",-13%,"1,3",-15%,"0,52",-15%,18,+1%,D,+1%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,
313,HARISSA,6191537700533,C,,,,,"['Epicerie', 'Sauces', 'Harissas']",,,['France'],[],,,[],,2.2 g,en faible quantité,0.61 g,en faible quantité,5.24 g,en quantité modérée,1.89 g,en quantité élevée,?,,71,-33%,297 kj(71 kcal),-33%,"2,2",-50%,"0,61",-1%,"10,88",+20%,"5,24",+42%,"2,1",-17%,"1,89",-49%,"0,756",-49%,8,-6%,C,-6%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,
314,Organic whey protein strawberry - MyProtein,5056104518281,,,,,['MyProtein'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",,,"['France', 'Espagne']",[],,,[],,4.2 g,en quantité modérée,2.8 g,en quantité modérée,9.7 g,en quantité modérée,0 g,en faible quantité,?,,348,-6%,1456 kj(348 kcal),-6%,"4,2",-3%,"2,8",+61%,14,+99%,"9,7",+213%,65,-8%,0,-100%,0,-100%,3,-32%,C,-32%,,,,,,,,,,,,,
315,K'escalope extrafine,2276458021128,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
316,Reblochon de Savoie fermier,2489481031495,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],,,[],,27 g,en quantité élevée,18 g,en quantité élevée,0.4 g,en faible quantité,1.7 g,en quantité élevée,?,,329,+2%,1377 kj(329 kcal),+2%,27,+1%,18,-4%,"0,5",+36%,"0,4",+77%,21,+5%,"1,7",+27%,"0,68",+27%,16,+12%,D,+12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
317,British Butter Roast Chicken Breat - Asda,5054070070567,,,,,['Asda'],,,['Asda'],['France'],[],,,[],,,,,,,,,,?,,137,,573 kj(137 kcal),,"3,1",,"1,1",,"0,6",,0,,27,,"0,58",,"0,232",,,,,,,,,,,,,['en:Assured Food Standards'],,,,,
318,Sorbet Plein Fruit Pomme - Leader Price - 500ml,3291785400551,C,,500 ml,,['Leader Price'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la pomme']",,['Leader Price'],['France'],"['Sorbet plein fruit à la pomme 84% : eau', 'purée de Pomme Granny Smith 26%', 'jus de pomme à base de concentré 19%', 'sucre', 'sirop de glucose-fructose de blé', 'arôme', 'gélifiants : E415 E412', 'protéines de pois', 'acidifiant : E330', 'colorants : E100 - E141', ' ', '% exprimés sur le sorbet', ' Préparation de morceaux de pomme 16% cubes de pomme 64%*', 'sucre', 'eau', 'sirop de glucose-fructose de blé', 'amidon transformé de manioc ou tapioca', 'arôme', 'antioxydant : E300 ', '*: % exprimé sur la préparation de pomme', ' Traces éventuelles de fruits à coque', 'de gluten', 'de lait', 'de soja', ""d'arachides et d'oeufs""]","['E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E100 - Curcumine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E14XX - Amidons modifiés', 'E300 - Acide ascorbique']",,[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,['Point Vert'],,,"['EMB 33539', 'Vayres (Gironde, France)']",,
319,Citron jaune au gingembre,3760153930582,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,170,,711 kj(170 kcal),,"11,36",,"1,9",,"10,97",,"2,31",,"1,93",,"1,09",,"0,436",,,,,,,,,,,,,,,,,,
320,Ragusa classique,7610008043157,,,,,['Ragusa'],,,,['France'],[],,,[],,,,,,,,,,?,,587,,2456 kj(587 kcal),,37,,15,,55,,48,,6,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
321,Soupe Courgette et Pois cassés,3770009761499,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,30,,126 kj(30 kcal),,"0,5",,"0,1",,4,,"1,5",,"2,1",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,
322,Sauce rouille,3272640020121,D,,,,,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",,,['France'],[],,,[],,45.1 g,en quantité élevée,3.4 g,en quantité modérée,0.6 g,en faible quantité,1.2 g,en quantité modérée,?,,0,-100%,0 kj(0 kcal),-100%,"45,1",+1%,"3,4",-17%,"1,4",-66%,"0,6",-51%,"1,7",-36%,"1,2",-14%,"0,48",-14%,7,-49%,C,-49%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,,,
323,Pain d'Épices Pur Miel Nature - La Maison du Pain d'Épices - 230g,3760056950311,B,,230 g,"['Sachet', 'Plastique']","[""La Maison du Pain d'Épices""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,['France'],"['Miel 50 %', 'farine de blé ', 'gluten', 'eau', 'œufs', 'beurre', 'poudre à lever : bicarbonate de sodium', 'sel', 'badiane étoilée']",['E500ii - Carbonate acide de sodium'],"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,2.6 g,en faible quantité,1.4 g,en faible quantité,41.3 g,en quantité élevée,0.2 g,en faible quantité,?,,322,-4%,1347 kj(322 kcal),-5%,"2,6",-26%,"1,4",+13%,"68,2",-4%,"41,3",+2%,"5,3",+22%,"0,2",-54%,"0,08",-54%,14,-1%,D,-1%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,['Fabriqué en France'],"['France', 'Cher', 'Faverolles']",,,,
324,Mousse de saumon -,3760186360134,,,,,,"['Viandes', 'Produits à tartiner', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Plats préparés au poisson', 'Plats au saumon', 'Mousses salées']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
325,fromage,2251665031351,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,419,,1753 kj(419 kcal),,35,,24,,1,,0,,25,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,
326,Detox scandinave - Palais des Thés,2700461001018,,,,,['Palais des Thés'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
327,Craquotant chocolat familial,0260274078062,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
328,Infusettes thym - Le Dauphin,3760013112301,,,,,['Le Dauphin'],,,,['France'],['thym bio 100%'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Biopartenaire'],['Drôme'],,,['France'],
329,Étoiles de Noël Glacées - Famille Perronneau - 150g,3263626381022,C,,150 g,"['Sachet', 'Plastique']","['Famille Perronneau', 'Apidis']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Biscuits']",,,['France'],[],,,[],,18 g,en quantité modérée,4.1 g,en quantité modérée,49 g,en quantité élevée,0.12 g,en faible quantité,1900,+13%,?,,1900 kj(454 kcal),+3%,18,-26%,"4,1",-52%,63,+37%,49,+26%,"8,2",+11%,"0,12",-9%,"0,048",-9%,19,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Point Vert'],,,,,
330,Thoionade aux tomates séchées,3760028713180,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,286,,1197 kj(286 kcal),,24,,"3,7",,"2,5",,"1,4",,14,,2,,"0,8",,,,,,,,,,,,,,,,,,
331,Mlekovita - Twaróg wiejski,5900512221021,,,,,['Mlekovita'],,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
332,Moulin De Poivre Or Rose,3760194208268,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
333,Roulés au fromage - Chef Select,20999940,,,,,['Chef Select'],"['Plats préparés', 'Feuilleté salé', 'Friands']",,,['France'],[],,,[],,19 g,en quantité modérée,12 g,en quantité élevée,1.8 g,en faible quantité,1 g,en quantité modérée,?,,281,-8%,1176 kj(281 kcal),-8%,19,+3%,12,+15%,20,-24%,"1,8",-26%,"8,3",+5%,1,-18%,"0,4",-18%,17,+1%,D,+1%,,,,,,,,,,,,,
334,Klamath super food - Valebio - 20g,3770005830335,,,20 g,,['Valebio'],,,,['France'],[],,,[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,"3,34",,"0,92",,22,,2,,70,,"6,48",,"2,592",,,,,,,,,,,,,,,,,,
335,Saint Jacques au citron confit & olives,3272642100463,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,185,,774 kj(185 kcal),,"15,7",,"1,2",,"2,2",,"0,8",,"8,4",,"1,97",,"0,788",,,,,,,,,,,,,,,,,,
336,Saucisse de Toulouse,0210649033264,E,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Bleu Blanc Cœur']",,,,,
337,Tiramisu caramel -,3990251370618,,,,,,,,,"['Belgique', 'France', 'Italie']",[],,,[],,,,,,,,,,?,,379,,1586 kj(379 kcal),,15,,10,,54,,37,,8,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,
338,Mon Calendrier de l'Avent - Bonne Maman - 690g,3608580941101,D,,690 g,"['Carton', 'Verre', 'métal']",['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Aliments et boissons de Noël', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Calendriers de l'avent"", 'Confitures assorties']",,,['France'],[],,,[],,0.3 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,240,-53%,1004 kj(240 kcal),-53%,"0,3",-99%,0,-100%,59,+5%,59,+14%,"0,1",-98%,0,-100%,0,-100%,11,-56%,D,-56%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['France'],,,,
