,name,bar_code,quantity,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,generic_name,ingredients_origins,traceability_code,link,palm_ingredients,producer_info,brand_owner,origin_detail
866,Sirop de thé pêche - U - 75cl,3256220513173,75 cl,['U'],"['Boissons', 'Sirops', 'Boissons avec sucre ajouté']","['Point Vert', 'Sans conservateurs', 'Transformé en France']","['Super U', 'Magasins U']",['France'],"['Sucre', 'jus de fruits à base de concentrés 40% ', 'pêche 20%', 'citron', 'eau', 'arômes', 'acidifiant : acide citrique', 'colorants : lutéine et anthocyanes', 'stabilisant : E445']","['E330 - Acide citrique', 'E161b - Lutéine', 'E163 - Anthocyanes', 'E445 - Esters glycériques de résine de bois']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,79 g,en quantité élevée,0.01 g,en faible quantité,1402,+21%,330,+28%,1402 kj(330 kcal),+27%,"0,1",-4%,"0,1",+350%,80,+23%,79,+29%,"0,1",+2%,"0,01",-73%,"0,004",-73%,20,+63%,E,+63%,,,,,,,,,"['Bidon', 'métal']",,Sirop de Thé Pêche,,,,,,,
867,Brandade de morue parmentier - U - 600g,3256220517621,600 g,['U'],"['Surgelés', 'Plats préparés', 'Plats préparés au poisson', 'Plats préparés surgelés', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']","['Sans arômes artificiels', 'Cuisiné en France', 'Point Vert', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'Triman']","['Super U', 'Magasins U']",['France'],"['Eau', 'MORUE [CABILLAUD ', 'gadus morhua - pêché en Atlantique Nord-Est', 'sel] 21%', 'flocon de pomme de terre 9% ', 'pomme de terre déshydratée 9%', ""émulsifiant : mono et diglycérides d'acides gras"", 'pomme de terre cuite ', 'France', ' 7%', 'huile de tournesol', 'CREME fraîche', ""huile d'olive vierge extra 1%"", ""blanc d'OEUF en poudre"", 'BEURRE', 'LAIT entier en poudre', 'ail 0', '4%', 'sel', 'poivre', 'curcuma 0', '02%', ' Traces éventuelles de crustacés', 'céleri', 'céréales contenant du gluten', 'fruits à coque', 'graines de sésame', 'mollusques', 'moutarde et soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Poisson', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,6.3 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,0.74 g,en quantité modérée,485,-17%,116,-21%,485 kj(116 kcal),-20%,"6,3",-26%,"1,7",+2%,"9,4",-1%,"0,7",-23%,5,-26%,"0,74",-10%,"0,296",-10%,2,+14%,B,+14%,E,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,"['surgelé', 'Carton', 'Plastique', 'Surgelés']",['France'],,['Océan Atlantique Nord-Est'],,,,,,
868,"Coupelles de fruits du soleil à la pêche, ananas et papaye - U - 4x 260g",3256220659222,4 x 260 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop']",,['Magasins U'],['France'],"['Fruits 57,5 % ', 'pêches 21,3 % minimum', 'ananas 16,2% minimum', 'papayes rouges 2,3 % minimum', 'eau', 'sucre', 'antioxydant : acide ascorbique', 'acidifiant : acide citrique']","['E300 - Acide ascorbique', 'E330 - Acide citrique']",,[],3,0.1 g,en faible quantité,0 g,en faible quantité,12.8 g,en quantité élevée,0 g,en faible quantité,271,-2%,?,,271 kj(65 kcal),-8%,"0,1",-48%,0,-100%,"15,1",-2%,"12,8",-9%,"0,3",-23%,0,-100%,0,-100%,0,,B,,,,,,,,,,,,,,,,,,,
869,"Coupelles fruits du verger à la poires, pêches et pommes - U - x4soit 260g",3256220659239,x4 soit 260 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits', 'Fruits en conserve', 'Fruits au sirop']",['Point Vert'],"['Super U', 'Magasins U']",['France'],"['Fruits 57,5 % ', 'pêches 16 % minimum', 'poires 12,8% minimum', 'pommes 11,7% minimum ', 'eau', 'sucre', 'antioxydant : acide ascorbique', 'acidifiant : acide citrique']","['E300 - Acide ascorbique', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0,-100%,?,,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,-1,,A,,,,,,,,,,"['Carton', 'Plastique', 'pots']",,,,,,,,,
870,"The vert green flower sachets x25 - U - 32,5g",3256220661454,"32,5 g",['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés aromatisés']","['en:FSC', 'en:fsc-c123652', 'FSC Mix', 'Conditionné en France']","['U Express', 'Magasins U']",['France'],"['Thé vert 87', '5%', 'arômes naturels', 'réglisse*', 'cardamome']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Carton', 'Sachets', 'Plastique']",['France'],Thé vert délicatement aromatisé,,,,,,,
871,Tomates Entières pelées au Jus - U - 476g,3256220756563,476 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées']",['Point Vert'],"['U Express', 'Super U', 'Magasins U']",['France'],"['Tomates entières pelées 60%', 'jus de tomates', ""correcteurd'acidité : acide citrique""]",['E330 - Acide citrique'],,[],1,0.1 g,en faible quantité,0 g,en faible quantité,3.5 g,en faible quantité,0.03 g,en faible quantité,103,-1%,24,-4%,103 kj(24 kcal),+1%,"0,1",-65%,0,-100%,"3,5",-6%,"3,5",+8%,"1,7",+47%,"0,03",-86%,"0,012",-86%,-7,,A,,A,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,"['Conserve', 'Boite métal', 'Opercule métal à oouverture rapide', 'Etiquette papier', 'Conserve', 'boîte']",,Tomates pelées,,,,,,,
872,Saucisse sèche pur porc droite - U - 250g,3256220764445,250 g,['U'],"['Viandes', 'Charcuteries', 'Saucissons', 'Porc', 'Saucisses sèches']","['Viande Française', 'Viande Porcine Française', 'Transformé en France']","['Super U', 'Magasins U']",['France'],"['Viande de porc ', 'France', 'sel', 'LACTOSE', 'épices ', 'poivre', 'muscade', 'dextrose', 'sucre', 'ail', 'conservateur : nitrate de potassium', 'ferments', ' 150 g de viande utilisée pour 100 g de produit fini', ' Retirer le boyau avant consommation']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,38 g,en quantité élevée,14.7 g,en quantité élevée,1 g,en faible quantité,4.3 g,en quantité élevée,1950,+13%,470,+14%,1950 kj(470 kcal),+13%,38,+18%,"14,7",+17%,3,+35%,1,-32%,29,+0%,"4,3",-7%,"1,72",-7%,25,+4%,E,+4%,D,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['Frais', 'Sachet plastique', 'Frais']",,"Saucisse sèche, pur porc",['Porc France'],"['FR 43.211.010 CE', 'Saint-Maurice-de-Lignon (Haute-Loire, France)']",,,,,
873,Confiture figue allégée - U - 335g,3256220851084,335 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues', 'Confiture de fruits allégée en sucres', 'Pâtés végétaux']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Transformé en France']",['Magasins U'],['France'],"['Figues', 'sucre de canne', 'eau', 'gélifiant : pectine de fruits', 'acidifiant : acide citrique', ""correcteur d'acidité : lactate de calcium"", ' Préparée avec 50 g de fruits pour 100g']","['E440 - Pectines', 'E330 - Acide citrique', 'E327 - Lactate de calcium']",,[],4,0.1 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0.01 g,en faible quantité,706,+6%,166,+2%,706 kj(166 kcal),+3%,"0,1",-58%,0,-100%,40,+3%,40,+6%,"0,6",+17%,"0,01",-61%,"0,004",-61%,8,+22%,C,+22%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Bocal', 'Verre', 'pot']",['France'],Confiture extra de figues allégée en sucres,,,,,,,
874,Spaghetti qualité supérieure - U - 1kg,3256221111651,1 kg,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",,['Magasins U'],['France'],"[""100 % semoule de BLE dur de qualité supérieure Traces éventuelles d'oeufs""]",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.2 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,1500,0%,354,+0%,1500 kj(354 kcal),+1%,"1,2",-33%,"0,3",-21%,72,+3%,3,-5%,12,-3%,"0,02",-16%,"0,008",-16%,-4,,A,,C,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['Plastique', 'cello', 'sachet', 'sachet cello']",,Pâtes alimentaires de blé dur de qualité supérieur,,['L'],,,,,
875,Velouté de potiron à la crème fraîche - U - 1l,3256221310542,1 l,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de potiron']","['en:FSC', 'Cuisiné en France']",['Magasins U'],['France'],"['Légumes 54% ', 'potiron 30,3%', 'carottes', 'pommes de terre', 'oignons', 'purée de tomates reconstituée ', 'eau', 'CREME fraîche 2,4%', 'amidon transformé de maïs', 'BEURRE', 'sucre', 'concentré salin liquide', 'sel', 'extraits de levure', 'béta - carotène ', 'provitamine A']","['E14XX - Amidons modifiés', 'E160ai - Bêta-carotène']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,1.6 g,en faible quantité,1.1 g,en faible quantité,2.8 g,en faible quantité,0.56 g,en quantité modérée,149,0%,36,0%,149 kj(36 kcal),-1%,"1,6",+10%,"1,1",+27%,"4,1",-10%,"2,8",+33%,"0,7",+1%,"0,56",-11%,"0,224",-11%,1,-47%,B,-47%,A,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Boite carton et papier alu', 'Brique']",,,,,,,,,
876,Mouliné légumes verts aromatisé - U - 1l,3256221310634,1 l,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']","['en:FSC', 'Cuisiné en France', 'FSC Mix']","['Super U', 'Magasins U']",['France'],"['Eau', 'légumes 29,1% ', 'pommes de terre 12,6%', 'celeri - rave', 'oignons 7,6%', 'carottes', 'légumes verts 19,2% ', 'haricots verts 7,5%', 'brocolis', 'poireaux 3,3%', 'épinards', 'cresson', 'cerfeuil', 'lait écrémé en poudre reconstitué', 'amidon transformé de maïs', 'beurre', 'sel', 'arôme naturel ', 'dont celeri', 'extrait de levure', 'arôme naturel de poivre']",['E14XX - Amidons modifiés'],"['Céleri', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,0.7 g,en faible quantité,0.5 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,139,-18%,33,-20%,139 kj(33 kcal),-19%,"0,7",-60%,"0,5",-11%,"5,3",+16%,"0,3",-85%,1,+7%,"0,8",+23%,"0,32",+23%,2,+41%,B,+41%,A,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Brique', 'Carton']",,,,,,,,,
877,"Viande hachée pur boeuf, 5% MAT.GR. - U - 100% muscle, 350g",3256221501179,"100% muscle, 350 g",['U'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Préparations de viande', 'Préparations de viande bovine', 'Préparations de viande fraîches', 'Steaks de bœuf hachés', 'Préparations de viande hachée', 'Préparations de viande hachées fraîches', 'Steaks hachés frais', 'Préparations de viande bovine hachée', 'Préparations de viande bovine hachée fraîches', 'Steaks hachés de bœuf frais']","['Viande Française', '100% muscle', 'Fabriqué en France', 'Viande-bovine-francaise']",['Magasins U'],['France'],"['Viande de bœuf ', '100% muscle']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,5 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,?,,125,-40%,523 kj(125 kcal),-39%,5,-66%,"2,2",-63%,"2,3",+6%,0,-100%,20,+32%,"0,2",-77%,"0,08",-77%,-2,-122%,A,-122%,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,"['Sous atmosphère protectrice', 'VBF', 'Frais']",,,['France'],"['FR 13.083.001 CE', 'Rognonas (Bouches-du-Rhône, France)']",,,,,
878,Yaourt à la grecque brassé sucré sur préparation mûres - U - 4x 150g,3256221647143,4 x 150 g,['U'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts à la mûre', 'Yaourts à la grecque', 'Yaourts sucrés', 'Yaourts entiers', 'Yaourts sur lit de fruits', 'Yaourts sur lit de mûres']","['Lait Français', 'Colorants naturels', 'Arômes naturels', 'Sans conservateurs', 'Transformé en France', 'Bleu Blanc Cœur', 'Lait-francais-french-milk']","['Super U', 'Magasins U']",['France'],"['Lait entier 64,3% ', 'origine : france', 'creme 12,7% ', 'origine : france', 'mûre 10%', 'sucre 9,4%', 'amidon de maïs', 'denrée alimentaire colorante : jus de raisin concentré', 'arôme naturel', 'ferments ', 'dont lait', ' les ingrédients de ce produit ne proviennent pas de grèce']",,['Lait'],['Non végétalien'],4,6.8 g,en quantité modérée,4.5 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,537,,128,+24%,537 kj(128 kcal),+26%,"6,8",+107%,"4,5",+121%,14,+4%,13,+2%,"2,4",-28%,"0,1",-7%,"0,04",-7%,6,+100%,C,+100%,B,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['Frais', 'Pot', 'Plastique', 'Etui', 'Carton']","['Novandie (Filiale Groupe Andros) - Rue de la Gravelle - 35560 Marcillé-Raoul', 'Ille-et-Vilaine', 'Bretagne', 'Novandie (Filiale Groupe Andros) - 11 Rue du Centre - 62240 Vieil-Moutier', 'Pas-de-Calais', 'Nord-Pas-de-Calais', 'France']",Yaourt brassé sucré sur une préparation aux mûres et aux arômes,,"['FR 35.164.001 CE', 'Marcillé-Raoul (Ille-et-Vilaine, France)', 'FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",,,,,
879,Jambon de Paris viande de porc française - U - 12tranches soit 540g,3256221674637,12 tranches soit 540 g,['U'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Sans addition de polyphosphates', 'Viande Porcine Française', 'Fabriqué en France', 'Transformé en France']",['Magasins U'],['France'],"['Jambon de porc ', 'France', 'sel', 'sirop de glucose', 'arôme', 'bouillon de porc ', 'eau', 'os et viande de porc', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.6 g,en faible quantité,1 g,en faible quantité,0.8 g,en faible quantité,1.8 g,en quantité élevée,469,-7%,111,-16%,469 kj(111 kcal),-14%,"2,6",-46%,1,-46%,1,+49%,"0,8",+34%,"20,9",-1%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,C,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice', 'viande de porc française', 'Frais']",,Jambon cuit choix de Paris découenné dégraissé,['France'],"['FR 29.097.020 CE', 'Lampaul-Guimiliau (Finistère, France)']",,,,,
880,Blanquette de veau - U - 400g,3256221924398,400 g,['U'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés en conserve', 'Plats au veau', 'Blanquettes de veau']","['Viande Française', 'Cuisiné en France', 'Viande-bovine-francaise', 'Viande de veau français']",['Magasins U'],['France'],"['Pommes de terre 25', '7%', 'eau', 'viande de veau traitée en salaison et blanchie 23% [viande de veau ', 'France', 'eau', 'sel', 'sucre', 'stabilisant : triphosphate de sodium]', 'carottes 9%', 'champignons 9%', 'CREME fraîche', 'vin blanc 1', '6%', 'oignons', 'amidon transformé de maïs', 'arômes naturels', 'huile de tournesol', 'émulsifiant : E472e', 'épaississants: gomme xanthane et gomme guar', 'sels minéraux de mer ', 'sodium', 'potassium', 'magnésium', 'calcium', 'sel', ' Traces éventuelles de BLÉ', 'OEUF', 'CÉLERI', 'MOUTARDE', 'POISSON', 'MOLLUSQUES et CRUSTACÉS']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Lait', 'Anhydride sulfureux et sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,3 g,en quantité modérée,1.3 g,en faible quantité,1.1 g,en faible quantité,0.7 g,en quantité modérée,309,-31%,74,-35%,309 kj(74 kcal),-35%,3,-39%,"1,3",-44%,"5,3",-29%,"1,1",+14%,"5,9",-27%,"0,7",-7%,"0,28",-7%,0,-100%,B,-100%,E,91.9%,3.2%,1.1%,1.1%,0.6%,2.2%,20,"['Boîte', 'Conserve', 'Métal']",,Plat préparé en conserve,,,,,,,
881,Gelée de mûres - U - 370g,3256222010083,370 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de mûres']",['Transformé en France'],"['Super U', 'Magasins U']",['France'],"['Jus de mûres à base de concentré', 'sucre', 'sucre de canne 10%', 'gélifiant : pectine de fruits', 'acidifiant : acide citrique', ' Préparée avec 50g de jus de mûres pour 100g de produit fini', ' Teneur totale en sucres : 60g pour 100g']","['E440 - Pectines', 'E330 - Acide citrique']",,[],4,0.4 g,en faible quantité,0.1 g,en faible quantité,57 g,en quantité élevée,0.03 g,en faible quantité,1034,,243,+0%,1034 kj(243 kcal),+1%,"0,4",+17%,"0,1",+32%,"59,5",+0%,57,-1%,"0,2",-55%,"0,03",+218%,"0,012",+218%,12,+3%,D,+3%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Bocal', 'Verre', 'Couvercle', 'Métal', 'Pot']",,Gelée extra de mûre,,,,,,,
882,"Petits pois très fins à l'étuvée - U - 4/4, 560g",3256222113029,"4/4, 560 g",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']","['Fruits et Légumes de France', 'Point Vert', 'Récolté en France', 'Conditionné en France', 'Transformé en France', 'Légumes de France']","['Super U', 'Magasins U']","['France', 'Suisse']","['Petits pois très fins ', 'France', 'eau', 'sucre', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,2.6 g,en faible quantité,0.45 g,en quantité modérée,342,+4%,82,+8%,342 kj(82 kcal),+7%,"0,8",+16%,"0,2",+32%,11,+9%,"2,6",-21%,"5,1",+6%,"0,45",-19%,"0,18",-19%,-11,,A,,A,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,"['Conserve', 'métal', 'boîte']",['France'],,['France'],"['EMB 56251E', 'Theix (Morbihan, France)']",,,,,
883,P'tits fourrés à la noisettes - U - 225g,3256222242255,225 g,['U'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Goûters fourrés']","['Huile de palme durable', 'RSPO', 'Point Vert', 'en:RSPO Mass Balance or Book and Claim', 'Transformé en France']",['Magasins U'],['France'],"['Sucre', 'farine de BLÉ', 'graisse de palme et huile de palme', 'pâte de NOISETTES 5%', 'cacao maigre en poudre', 'LAIT écrémé en poudre', 'poudres à lever : diphosphates et carbonates de sodium', 'arôme', 'émulsifiant : lécithines de SOJA', 'OEUFS', 'sel', "" Traces éventuelles d'autres fruits à coque et de graines de sésame""]","['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E322i - Lécithine']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,23 g,en quantité élevée,8 g,en quantité élevée,38 g,en quantité élevée,0.4 g,en quantité modérée,2065,+3%,493,+3%,2065 kj(493 kcal),+3%,23,+20%,8,-12%,63,-7%,38,+21%,7,+11%,"0,4",-23%,"0,16",-23%,19,0%,E,0%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Carton', 'boîte', 'Plastique', 'paquet']",['France'],,,,,['Huile de palme'],,,
884,Cidre doux artisanal 2° - Les celliers de l'Odet - 75cl,3256222252810,75 cl,"[""Les celliers de l'Odet"", 'U']","['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']","['Bio', 'Bio européen', 'FR-BIO-10', 'Transformé en France']",['Magasins U'],['France'],['Contient des sulfites'],,['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,B,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,"['Bouteille', 'Verre']",,,,,,,,,
885,Huile de Noisette - U - 25cl,3256222630076,25 cl,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']","['Point Vert', 'Transformé en France']","['Super U', 'Magasins U']","['France', 'Suisse']",['Huile de NOISETTE'],,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,8.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,,900,+3%,3700 kj(900 kcal),+1%,100,+3%,"8,2",-4%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,10,-4%,C,-4%,D,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,"['Bouteille', 'Verre']",,,,,,,,,
886,Fécule de maïs - U - 400g,3256223369401,400 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Amidons', 'Amidons de céréales', 'Amidon de maïs']",,['Magasins U'],"['France', 'La Réunion']","['Amidon de maïs', ' Traces éventuelles de céréales contenant du gluten', 'lait', 'oeuf', 'soja et fruits à coque']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,1518,+2%,357,+1%,1518 kj(357 kcal),+2%,"0,6",+64%,0,-100%,"87,5",+1%,0,-100%,"0,5",+27%,"0,02",-25%,"0,008",-25%,4,+5%,C,+5%,B,53.0%,24.1%,8.8%,9.6%,4.4%,0.0%,92,['Paquet'],,,,,,,,,
887,"Citron jaune Primofiori, calibre 4 catégorie 1 - U - non traité aprèsrécolte, sachet 4pièces, 4unités",3256223378229,"non traité aprèsrécolte, sachet 4 pièces, 4 unités",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Citrons', 'Citrons frais']",['DEMARCHE FLEG METIERS'],"['Super U', 'Magasins U']",['France'],['Citrons d Espagne'],,,[],,0.2 g,en faible quantité,0 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,?,,22,+38%,92 kj(22 kcal),+35%,"0,2",-6%,0,-100%,"2,9",+43%,"1,7",+21%,"0,7",+20%,0,-100%,0,-100%,-7,,A,,,,,,,,,,"['Sachet', 'Plastique', 'Frais']",,Citrons d'Espagne non traité après la récolte,['Espagne'],,,,,,
888,Courgettes cuisinées à la provençale - U Bio - 520g,3256223670477,520 g,"['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']","['Bio', 'Bio européen', 'Agriculture non UE', 'Cuisiné en France', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']","['Magasins U', 'Super U']",['France'],"['Courgettes* 61%', 'tomates* 23 %', 'oignons*', 'coulis de tomate* 2', '9%', ""huile d'olive vierge extra* 2"", '5 %', 'amidon de BLE*', 'ail*', 'sel', 'jus de citron concentré*', "" *ingrédient issu de l'agriculture biologique""]",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,2.7 g,en faible quantité,0.4 g,en faible quantité,2.3 g,en faible quantité,0.38 g,en quantité modérée,194,+7%,47,+2%,194 kj(47 kcal),+3%,"2,7",+410%,"0,4",+248%,"3,7",-37%,"2,3",-6%,"1,3",-38%,"0,38",-51%,"0,152",-51%,-5,,A,,,,,,,,,,['boîte'],,,,,,,,,
