,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
472,Beurre doux - Ma Crémière - 250g,3412290006476,['Ma Crémière'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",['France'],"['6EURRE ALLEGE à 60% de MG', ' COSommer préference avant le 022 HNGREDIENTS: Beurre', 'eau', 'stabilisant : E401', 'arôme', 'colorant :E160a Poids net: 250 ge FR 44', '003', '001 CE']","['E401 - Alginate de sodium', 'E160a - Carotènes mélangés']",,,['Non végétalien'],4,60 g,en quantité élevée,41 g,en quantité élevée,1.1 g,en faible quantité,0.18 g,en faible quantité,2247,-24%,546,-24%,2247 kj(546 kcal),-25%,60,-25%,41,-23%,"1,1",+50%,"1,1",+78%,"0,5",-26%,"0,18",-81%,"0,072",-81%,16,-27%,D,-27%,E,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,250g,,,['250g'],,,,,,,,
473,Fizzy sweet sucettes,3395503046042,,,['France'],[],,,,[],,,,,,,,,,?,,265,,1109 kj(265 kcal),,0,,0,,66,,56,,0,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,
474,Muesli,5201059086679,,,['France'],[],,,,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,"2,7",,"1,2",,73,,"7,5",,"7,1",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
475,Crème de Mûre,3350033172548,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Bio Pan Alemán con pipas de girasol,8435037827276,,,['France'],[],,,,[],,,,,,,,,,?,,211,,883 kj(211 kcal),,"3,8",,"0,6",,"34,4",,"3,3",,"5,3",,"0,43",,"0,172",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
477,Graine de courgette grillée,8414485102401,,,['France'],[],,,,[],,,,,,,,,,?,,523,,2188 kj(523 kcal),,42,,8,,"9,3",,"1,2",,33,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
478,Guacamole - Du traiteur à votre assiette - 200gr SPAR,5400210007748,['Du traiteur à votre assiette'],"['Epicerie', 'Sauces', 'Guacamoles']","['Belgique', 'France']",[],,,,[],,18 g,en quantité modérée,2.1 g,en quantité modérée,1.8 g,en faible quantité,0.9 g,en quantité modérée,?,,189,+17%,791 kj(189 kcal),+19%,18,+46%,"2,1",-19%,"1,8",-70%,"1,8",-12%,"1,9",+9%,"0,9",-18%,"0,36",-18%,6,+20%,C,+20%,C,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,200gr SPAR,,,,,,,,,,,
479,Champagne Paillette,3760017730969,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Sardines En Filets Au Beurre De Baratte à Poêler - La Compagnie Bretonne du Poisson - 105g,3760020065041,['La Compagnie Bretonne du Poisson'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à poêler']",['France'],"['Filets de Sardines frais ', '82% ', ' ', 'beurre de baratte frais 1/2 sel', ' 18% des ingrédients agricoles sont bio']",,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,105 g,,,['Conserve'],,"['FR 29.150.541 CE', 'Moëlan-sur-Mer (Finistère, France)']",,,,,,
481,Flan patissier,0208849015098,,"['Biscuits et gâteaux', 'Pâtisseries', 'Flans pâtissiers']",['France'],[],,,,[],,8 g,en quantité modérée,4.9 g,en quantité modérée,19 g,en quantité élevée,0.22 g,en faible quantité,?,,205,-1%,858 kj(205 kcal),-3%,8,+4%,"4,9",+5%,30,+3%,19,+7%,"3,3",-10%,"0,22",-9%,"0,088",-9%,8,-17%,C,-17%,B,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,,,,,
482,Tonijn - John West,5000171058072,['John West'],,"['France', 'Pays-Bas']",[],,,,[],,,,,,,,,,?,,113,,473 kj(113 kcal),,5,,2,,0,,0,,27,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
483,Citronnade - Alain Milliat,3556009996082,['Alain Milliat'],"['Boissons', 'Citronnades']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,2.5 g,en quantité modérée,0 g,en faible quantité,?,,18,-44%,75 kj(18 kcal),-45%,0,-100%,0,-100%,7,-13%,"2,5",-67%,1,+681%,0,-100%,0,-100%,5,-50%,C,-50%,,,,,,,,,,"['Bio', 'Point Vert']",,,,,,,,,,
484,Muesli - mymuesli - 575g,4260188785519,['Mymuesli'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']","['France', 'Allemagne']",[],,,,[],,12.1 g,en quantité modérée,3.1 g,en quantité modérée,19.2 g,en quantité élevée,0.07 g,en faible quantité,1649,-3%,392,-1%,1649 kj(392 kcal),-1%,"12,1",+14%,"3,1",+14%,"57,6",-6%,"19,2",+7%,"9,4",-2%,"0,07",-52%,"0,028",-52%,6,+75%,C,+75%,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,575 g,"['Bio', 'Bio européen', 'Biokreis', 'DE-ÖKO-037', 'en:EG-Öko-Verordnung']",['Mymuesli'],,,,,,https://www.mymuesli.com/,,,
485,Ketchup bio - Le Cabanon - 340g,3435600000063,['Le Cabanon'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['France'],"['Purée de tomates ', '66%', 'sucre', ""vinaigre d'alcool"", 'eau', 'sel', 'amidon de riz*', 'épices* ', 'clou de girofle', 'muscade', 'cannelle', 'poivre*', 'herbes et plantes aromatiques* ', 'persil', 'thym', '* Biologique', ' Traces éventuelles de céleri', 'lait et moutarde']",,,,[],3,0.2 g,en faible quantité,0.1 g,en faible quantité,26.3 g,en quantité élevée,2.3 g,en quantité élevée,?,,120,+13%,502 kj(120 kcal),+14%,"0,2",-18%,"0,1",+57%,"27,8",+22%,"26,3",+34%,"1,1",-15%,"2,3",+16%,"0,92",+16%,14,+16%,D,+16%,B,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,340 g,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
486,Raviolis tomates pesto,0656272210311,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",['France'],[],,,,[],,6.9 g,en quantité modérée,0 g,en faible quantité,5 g,en quantité modérée,0.5 g,en quantité modérée,?,,345,+86%,1443 kj(345 kcal),+86%,"6,9",+28%,0,-100%,"55,3",+122%,5,+88%,"13,7",+84%,"0,5",-50%,"0,2",-50%,2,-51%,B,-51%,,,,,,,,,,,,,,,,,,,,
487,Carottes rapees natures,2248900015610,,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,,
488,Penne - Franprix - 500g,3263850594410,['Franprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Penne', 'Penne rigate']",['France'],"[""Farine de maïs blanc 61% - farine de maïs jaune 33% - farine de riz 4,8% - émulsifiant: mono - et diglycérides d'acides gras""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,1.3 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,?,,355,+1%,1485 kj(355 kcal),+0%,"1,3",-37%,"0,2",-60%,79,+17%,"0,6",-42%,"6,9",-38%,0,-100%,0,-100%,0,,B,,,,,,,,,,500 g,,['Franprix'],,,,,,,,,
489,Vin de Savoie,3760120880407,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Holle bio PRE,7640161876019,['Holle'],,['France'],[],,,,[],,,,,,,,,,?,,512,,2142 kj(512 kcal),,"25,6",,10,,"59,2",,"59,2",,"11,3",,"0,6",,"0,24",,,,,,,,,,,,,,,"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,,
491,"Glenmorangie The Lasanta Sherry Cask Extra Matured 0,7 LTR",5010494917840,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Oreo,6111031004449,['Oreo'],,['France'],"['agénée ', 'palme', 'karité', 'émulsifiants de source végétale ', 'lécithine de soja', 'polyricinoléate de polyglycérol', 'arômes naturel', 'Matières sèches laitieres 20 % min', 'Matières sèches de cacao 20 % min', 'CONTIENT BLE', 'GLUTEN', 'LAIT', 'SOJA', 'Dids Net: 34 g mg 34 Höiuóln 0S wbżo%16', ' UlaI eby ög o ', '%401']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",['Huile de palme'],"['Gluten', 'Lait', 'Soja']",['Huile de palme'],4,,,,,,,,,?,,2105,,8807 kj(2105 kcal),,24,,13,,65,,47,,"6,4",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,
493,Piyale Fiyonk,8690516005426,,,['France'],[],,,,[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,76,,1,,3,,3,,"10,6",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
494,Magdalenas,8410391351957,,,['France'],[],,,,[],,,,,,,,,,?,,421,,1761 kj(421 kcal),,20,,3,,"54,4",,29,,5,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
495,Lamelles de Kebab,3760051587314,,,['France'],[],,,,[],,,,,,,,,,?,,165,,690 kj(165 kcal),,9,,"3,4",,"4,5",,"1,9",,16,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
496,Summergate Wine Charles De Fere Reserve Blanc De Blancs Brut,3277190002528,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Bisque de homard - La belle-iloise - 800g,3660088111554,['La belle-iloise'],"['Conserves', 'Produits de la mer', 'Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Plats préparés en conserve', 'Soupes en conserve', 'Soupes de poissons', 'Bisques de homard']",['France'],"['Eau', 'chair de homard ', '8,3%', 'crème ', 'lait', 'vin blanc ', 'sulfites', 'huile d’olive vierge extra', 'concentré de tomate', 'carottes', 'oignons', 'extrait de langoustines ', 'sulfites', 'cognac', 'amidon de manioc transformé', 'poireaux', 'sel', 'fécule de pomme de terre', 'sucre', 'extrait de levure', 'arôme naturel homard ', 'crustacé', 'ail', 'épaississant : gomme de xanthane', 'épices dont curry', 'arôme']",['E415 - Gomme xanthane'],,"['Crustacés', 'Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,5 g,en quantité modérée,1.9 g,en quantité modérée,2.3 g,en faible quantité,0.67 g,en quantité modérée,316,+19%,76,+38%,316 kj(76 kcal),+36%,5,+89%,"1,9",+124%,"3,1",-13%,"2,3",+128%,"2,2",-28%,"0,67",-40%,"0,268",-40%,2,-42%,B,-42%,E,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,800 g,,['La belle-iloise'],['Conserve'],,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']",Bisque de homard,"['Quiberon', 'France']",https://www.labelleiloise.fr/fr/soupes-rouilles-011,,,
498,Sucre d'érable -,0629098402505,,"['Édulcorants', 'Sucres', ""Sucres d'érable""]",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,?,,10,-97%,42 kj(10 kcal),-97%,0,-100%,0,-100%,3,-97%,3,-97%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,B,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,
499,Eistee zitrone,7610867025004,,['de:Eistee'],['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,7.5 g,en quantité modérée,0 g,en faible quantité,?,,33,+57%,138 kj(33 kcal),+55%,0,-100%,0,-100%,"7,5",+47%,"7,5",+48%,0,-100%,0,-100%,0,-100%,1,-45%,B,-45%,,,,,,,,,,,,,,,,,,,,
500,Comté extra doux - JURAFLORE - 225g,2481232024343,['JURAFLORE'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'Fromages AOC', 'Fromages labellisés']",['France'],"['lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure']",,,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,418,+13%,1749 kj(418 kcal),+14%,35,+16%,23,+14%,0,-100%,0,-100%,27,+15%,"0,9",-42%,"0,36",-42%,13,-13%,D,-13%,C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,225 g,['AOP'],['Auchan'],['Plastique'],['France'],,,['Jura'],,,,
501,Le bal des papillons,3770001088037,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Déconseillé aux femmes enceintes'],,,,,,,,,,
502,Castelnau - Brut Champagne 75cl Bottle - 75cL,3257941000010,,,['France'],[],,,,[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"1,4",,"0,33",,"1,4",,"0,38",,"0,1",,0,,0,,,,,,,,,,,,,,75 cL,,,,,,,,,,,
503,Pain sans sel,2600600003944,,,['France'],[],,,,[],,,,,,,,,,?,,261,,1092 kj(261 kcal),,"1,3",,"0,2",,"52,1",,"2,7",,9,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
504,Eclair x2,,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Morbier FQC,0200281013458,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
506,Tarte flan,3602826495281,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Cassoulet au confit de canard - Ferme du grand clos - 450g,3760200773063,['Ferme du grand clos'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",['France'],"['Confit de canard', 'saucisse 40%', 'haricots', 'tomates', 'jus de canard ', 'contient céleri', 'blé', 'orge', 'lactose', 'lait et dérivés', 'sulfites', 'sel', 'ail', 'poivre', 'thym', 'laurier']",,,"['Céleri', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,450 g,,,"['Bocal', 'Verre']",,"['FR 91.508.101 CE', 'Puiselet-le-Marais (Essonne, France)']",,['France'],,,,
508,Gurma Pop,8437008505824,,,['France'],[],,,,[],,,,,,,,,,?,,414,,1732 kj(414 kcal),,20,,"9,4",,44,,1,,"8,3",,"8,9",,"3,56",,,,,,,,,,,,,,,,,,,,,,,,,
509,Coctel de frutos secos,8423371002725,,,['France'],[],,,,[],,,,,,,,,,?,,543,,2272 kj(543 kcal),,"41,9",,"7,5",,10,,"4,7",,0,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
510,DOONYS SUCRE ×1 - Auchan,2030507934360,['Auchan'],"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,['Auchan'],,,,,,,,,
511,Emmental - €co+,2860001021408,['€co+'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['France'],[],,,,[],,28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,364,-3%,1523 kj(364 kcal),-3%,28,-4%,19,-4%,"0,5",-25%,"0,5",+21%,28,+1%,"0,6",-8%,"0,24",-8%,11,-4%,D,-4%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
512,Sugar Crackers,9556121000838,,,['France'],[],,,,[],,,,,,,,,,?,,130,,544 kj(130 kcal),,6,,"2,5",,17,,4,,2,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
513,Ananas,7443005940194,,,['France'],[],,,,[],,,,,,,,,,?,,9,,38 kj(9 kcal),,2,,1,,3,,2,,94,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,
514,Steviabella - Ethnoscience,3760087361599,"['Ethnoscience', 'Ecoidées']",,['France'],[],,,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
515,tapenade d'olives Noires,3770004371037,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['France'],[],,,,[],,25.4 g,en quantité élevée,3.24 g,en quantité modérée,0.5 g,en faible quantité,4.14 g,en quantité élevée,?,,251,-9%,1050 kj(251 kcal),-9%,"25,4",-5%,"3,24",-8%,"0,5",-84%,"0,5",+7%,"1,95",+11%,"4,14",+32%,"1,656",+32%,16,+8%,D,+8%,C,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,
516,Quinta D'Avo - Preparado Timorense,5602102238722,,,['France'],[],,,,[],,,,,,,,,,?,,24,,100 kj(24 kcal),,"1,1",,"0,1",,"2,1",,"1,5",,"1,4",,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,
517,Papas fritas chips salt & vinegar,8427149131204,,,['France'],[],,,,[],,,,,,,,,,?,,513,,2146 kj(513 kcal),,"30,7",,"3,3",,"55,1",,"4,2",,"4,2",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,
518,La Thaï,3337730908779,,,['France'],[],,,,[],,,,,,,,,,?,,93,,389 kj(93 kcal),,"11,8",,"1,8",,33,,"11,8",,2,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
519,Bonbel 50% Tomate Basilikum,3073781051155,,,['France'],[],,,,[],,,,,,,,,,?,,1275,,5335 kj(1275 kcal),,"25,5",,"0,5",,"20,5",,17,,"19,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
520,Tourte des Pyrénées à la myrtille,3760010095522,,,['France'],[],,,,[],,,,,,,,,,?,,418,,1749 kj(418 kcal),,"19,8",,"7,4",,"53,3",,"28,2",,"5,9",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,
521,Granola brisures de cookies,7622300705008,,,['France'],[],,,,[],,,,,,,,,,?,,500,,2092 kj(500 kcal),,24,,13,,65,,34,,"5,3",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,
522,Ginseng coffee,8031848003146,,,['France'],[],,,,[],,,,,,,,,,?,,414,,1732 kj(414 kcal),,8,,6,,78,,66,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
523,Skinny hot chocolate - my protein - 20g,5056104532492,['my protein'],['Chocolat chaud'],['France'],"['Protein Blend ', '58%', ' ', 'MILK Protein Concentrate', 'Skimmed Milk Powder', 'Micellar Casein ', 'MILK', 'Emulsifier ', 'SOY Lecithin', 'Inulin ', 'Fructo-Oligosaccharide', 'Natural Flavourings', 'Cocoa Powder', 'Sweetener ', 'Sucralose', ' Vitamin and Mineral Blend', 'Magnesium Oxide', 'Vitamin C ', 'Ascorbic Acid', ' Iron ', 'ferrous Fumarate', ' Vitamin E ', 'DL Alpha Tocopheryl Acetate', 'Vitamin B3', 'Vitamin A', 'Zinc Oxide', 'Vitamin B6', 'Vitamin D3', 'Vitamin B1', 'Vitamin B2', 'Vitamin B12', 'Folic Acid', 'Potassium iodide']","['E322i - Lécithine', 'E955 - Sucralose']",,"['Lait', 'Soja']",['Non végétalien'],4,1.9 g,en faible quantité,1.3 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,?,,311,,1301 kj(311 kcal),,"1,9",,"1,3",,17,,15,,41,,0,,0,,-3,,A,,,,,,,,,,20 g,,,['Sachet'],,,,,,,,
524,Joghurt mild,4337185199998,,,['France'],[],,,,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,"2,8",,"1,8",,17,,15,,0,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,
525,Dattes fraîche Deglet Nour de Libye -  - 1kg,2400000010012,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes Deglet Nour']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,56.4 g,en quantité élevée,0 g,en faible quantité,?,,287,-2%,1201 kj(287 kcal),-2%,0,-100%,0,-100%,"64,7",-4%,"56,4",-2%,"1,813",-21%,0,-100%,0,-100%,7,+65%,C,+65%,C,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,1 kg,,,,['Libye'],,,,,,,
526,Java wafels - Albert Heijn,8710400107118,['Albert Heijn'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Albert Heijn'],,,,,,,,,
527,Vin,3507921000111,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Creme De Cassis - Auguste Mugniot,3564700002308,"['Auguste Mugniot', 'Marque Repère']",,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,"['EMB 21231', ""Dijon (Côte-d'Or, France)""]",,,,,,
529,Comte de talem,3662312011944,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Guerrounane Club Des Sommeliers 75cl - 75cL,3222473130603,['Club des Sommeliers'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cL,,,,['France'],,,,,,,
531,Palet au citron,3552085005328,,,['France'],[],,,,[],,,,,,,,,,?,,464,,1941 kj(464 kcal),,"20,5",,"13,8",,"64,7",,"32,6",,"4,7",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
532,Triple Nut Granola,5060265480226,,,['France'],[],,,,[],,,,,,,,,,?,,431,,1803 kj(431 kcal),,21,,"6,2",,44,,"11,8",,"11,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
533,"Petits ecoliers au lait ""Mention Bien"" - Casino",3222483957450,['Casino'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits tablette de chocolat', 'Biscuits au chocolat au lait', 'Biscuits tablette de chocolat au lait']",['France'],[],,,,[],,23 g,en quantité élevée,13 g,en quantité élevée,40 g,en quantité élevée,0.6 g,en quantité modérée,?,,493,-2%,2063 kj(493 kcal),-2%,23,-3%,13,-10%,65,+1%,40,+8%,"6,6",-3%,"0,6",+5%,"0,24",+5%,26,+7%,E,+7%,D,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,,,['Casino'],,,,,,,,,
534,Farine de blé T65 - Moulins de Versailles - 5kg,3760274681004,['Moulins de Versailles'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T65']",['France'],"['farine de blé type 65 ', ""issu de l'agriculture biologique""]",,,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.85 g,en faible quantité,0.4 g,en faible quantité,1.68 g,en faible quantité,0.03 g,en faible quantité,?,,345,+0%,1443 kj(345 kcal),+0%,"0,85",-28%,"0,4",+101%,"68,7",-2%,"1,68",-3%,"11,77",+5%,"0,03",+308%,"0,012",+308%,-5,,A,,A,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,5 kg,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique', 'Agriculture France']",['Moulins de Versailles'],"['Sac', 'Papier']",,,,,,,,
535,Pack Bière San Miguel 12x25cl,8410655010552,['San Miguel'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
