,name,bar_code,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,traceability_code,allergens,nova_score,eco_score,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,generic_name,palm_ingredients
837,LE DONUT NATURE - McDonald's - 65g,,"[""McDonald's""]","['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Donuts nature saupoudrés de sucre']",['France'],[],[],26.2 g,en quantité élevée,12.3 g,en quantité élevée,15.4 g,en quantité élevée,0.615 g,en quantité modérée,1850,+4%,442,+8%,1850 kj(442 kcal),+8%,"26,2",+15%,"12,3",+16%,"44,6",-0%,"15,4",-8%,"6,15",+4%,"0,615",-35%,"0,246",-35%,19,-3%,E,-3%,65 g,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,B,https://www.mcdonalds.fr/desserts/donut-nature,"[""McDonald's""]",65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,
838,LA CLASSIC CAESAR - McDonald's - 221g,,"[""McDonald's""]","['Plats préparés', 'Salades', 'Salades composées', 'Salades caesar']",['France'],[],[],5.88 g,en quantité modérée,3.17 g,en quantité modérée,0.905 g,en faible quantité,0.633 g,en quantité modérée,574,+15%,137,-10%,574 kj(137 kcal),-7%,"5,88",-30%,"3,17",+42%,"4,98",-45%,"0,905",-51%,"15,4",+85%,"0,633",-14%,"0,253",-14%,0,-100%,B,-100%,221 g,,,,"['Œufs', 'Gluten', 'Lait']",,C,https://www.mcdonalds.fr/produits/salades/la-classic-caesar,"[""McDonald's""]",78.6%,8.2%,4.8%,5.3%,2.4%,0.7%,67,,,,,
839,LA VEGGIE PASTA & MOZZA - McDonald's - 271g,,"[""McDonald's""]","['Plats préparés', 'Plats à base de pâtes', 'Salades', 'Salades composées', 'Salades de pâtes', 'Salades de pâtes végétariennes']",['France'],[],[],6.64 g,en quantité modérée,3.32 g,en quantité modérée,0.369 g,en faible quantité,0.111 g,en faible quantité,377,-43%,90,-51%,377 kj(90 kcal),-50%,"6,64",-28%,"3,32",+54%,"3,32",-80%,"0,369",-84%,"3,69",-31%,"0,111",-83%,"0,044",-83%,1,-58%,B,-58%,271 g,,,,"['Œufs', 'Gluten', 'Lait']",,,https://www.mcdonalds.fr/produits/salades/la-veggie-pasta-mozza,"[""McDonald's""]",,,,,,,,,,,,
840,Mozzarella - 25g,4006496023468,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",['France'],[],[],17 g,en quantité modérée,12 g,en quantité élevée,0.8 g,en faible quantité,1 g,en quantité modérée,?,,228,-12%,954 kj(228 kcal),-12%,17,-18%,12,-14%,"0,8",-22%,"0,8",+6%,"17,5",+4%,1,+48%,"0,4",+48%,11,+8%,D,+8%,25 g,,,,,,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
841,Waffel minis schoko - Bahlsen,4017100216015,['Bahlsen'],,['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,30,,20,,59,,37,,6,,"0,38",,"0,152",,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,
842,Moelleux  pomme pur beurre,3171910664815,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,15,,9,,51,,34,,"4,43",,"0,47",,"0,188",,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
843,sucrette carrefour - 300cp,08804402,['Carrefour'],['Édulcorants'],['France'],['sucralose'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,300 cp,['Plastique'],,,,4,,,['Carrefour'],,,,,,,,['E955 - Sucralose'],,,,
844,Hydrixyr - Overstim - 600g,3700153111505,['Overstim'],"['Boissons', 'Boissons énergisantes', 'Boisson énergisante sucrée']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,35 g,en quantité élevée,0.95 g,en quantité élevée,?,,368,+922%,1540 kj(368 kcal),+934%,0,-100%,0,-100%,87,+985%,35,+382%,5,+3348%,"0,95",+726%,"0,38",+726%,24,+122%,E,+122%,600g,['Poudre'],,,,,,,,,,,,,,,,,,,
845,Sachet vente déclassée : galettes caramel au beurre salé -,3472860018124,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",['France'],"['Farine de froment ', 'France', 'beurre', 'sucre', 'éclats de caramel au\xa0beurre salé ', '5%', ' ', 'sucre', 'sirop de glucose', 'crème fraîche de Normandie', 'beurre salé ', '3,7%', 'lait écrémé en poudre', 'fleur de sel de Guérande ', '1,4%', 'caramel ', 'sirop de glucose-fructose', 'eau', 'caramel au beurre salé ', '5%', ' ', 'sirop de glucose', 'sucre', 'beurre ', '11%', 'eau', 'crème', 'sel de Guérande ', '1,4%', 'œufs', 'arôme naturel', 'sel', 'caramel ', '0,01%', ' ', 'sirop de glucose', 'sucre', 'eau']","['Sans huile de palme', 'Non végétalien']",22.5 g,en quantité élevée,15.2 g,en quantité élevée,23.7 g,en quantité élevée,0.51 g,en quantité modérée,?,,498,+11%,2084 kj(498 kcal),+11%,"22,5",+38%,"15,2",+147%,"68,9",+3%,"23,7",-25%,"5,9",-20%,"0,51",+8%,"0,204",+8%,23,+36%,E,+36%,,,,,"['Œufs', 'Gluten', 'Lait']",4,C,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Crème fraîche de Normandie', 'Froment origine France', 'Sel de Guérande']",['France'],Gallette caramel,
846,cotes premieres - carrefour - 2,2666847022179,['Carrefour'],"['Viandes', 'Viandes fraîches']",['France'],['porcs'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,2,['Barquette'],['Label Rouge'],"['FR 53.097.001 CE', 'Évron (Mayenne, France)']",,1,,,['Carrefour'],,,,,,,,,['France'],['France'],,
847,H2O,5600499533048,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Vache du matin cafe et ceteales,3701239901881,,,['France'],[],[],,,,,,,,,?,,79,,331 kj(79 kcal),,"3,1",,2,,10,,"9,7",,"2,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
849,Crème lavante,3263854182415,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Papier toilette -,3263856492710,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,3780564403956,3780564403956,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Crème fraîche entière épaisse - 50cl,2564746446853,,,['France'],[],[],,,,,,,,,?,,287,,1201 kj(287 kcal),,30,,19,,"1,9",,"1,9",,"2,4",,,,,,,,,,50 cl,,,,,,,,,,,,,,,,,,,,
853,Fondant au chocolat,3419390041581,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Fraises Charlotte - Le Paysan Catalan - 250g,3760286660042,['Le Paysan Catalan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,250g,,,,,,C,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,,,,,
855,Oranges à jus - La Grappe - 2000g,8437016428276,['La Grappe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Oranges', 'Oranges fraîches']",['France'],"['Orange Valencia Late ', 'cal', ' 6/7', 'traité avec Imazalil', ' E904', 'E914']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,2000 g,"['Filet', 'Plastique']",['Catégorie I'],,,4,,,['Match'],,,,,,,,"['E904 - Gomme-laque', 'E914 - Cire de polyéthylène oxydée']",['Espagne'],,,
856,Butter cookies et chocolate chip,5601069400562,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,D,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,
857,Gourdes pommes mirabelle peches - Hipp,4062300365209,['Hipp'],,['France'],[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,"0,1",,0,,"11,6",,"11,1",,"0,4",,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,
858,Mojito menthe et citron,3770010046530,,,['France'],[],[],,,,,,,,,?,,38,,159 kj(38 kcal),,"0,5",,"0,1",,"6,1",,"5,2",,"0,5",,,,,,,,,,,,"['Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,
859,Andalouse sauce - 500g,5420038405427,,,['France'],[],[],,,,,,,,,?,,577,,2414 kj(577 kcal),,"59,1",,"4,8",,"9,1",,"6,3",,"1,6",,"2,3",,"0,92",,,,,,500 g,,,,,,,,,,,,,,,,,,,,
860,Chlorella - Flamant vert,3700216223633,['Flamant vert'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Mélange Babylone,2600711030174,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Miel,3301510181232,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Les aiguilettes poulet pané cru,3435660771705,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],1.1 g,en faible quantité,0.3 g,en faible quantité,1.3 g,en faible quantité,0.89 g,en quantité modérée,?,,119,-6%,498 kj(119 kcal),-5%,"1,1",-41%,"0,3",-37%,"6,9",+663%,"1,3",+335%,20,-12%,"0,89",+104%,"0,356",+104%,-1,,A,,,,"['Nutriscore', 'Nutriscore A']",,,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
864,2428308025194,2428308025194,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,8694587110737,8694587110737,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Mouchoir Lotus - 1,7322540709414,['Lotus'],"['Non alimentaire', 'Open Beauty Facts']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
867,Coconut oil,5017689431518,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Curcumine optimisée,3770000228267,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,L-Carnitine - Weider,8414192313121,['Weider'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Kefir - Valio,4740125321050,['Valio'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']","['France', 'Italie']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Bouteille'],,,,,,,,,,,,,,,,,,,
871,Cidre bio,3507291237964,,"['Boissons', 'Boissons alcoolisées', 'Cidres']",['France'],[],[],,,,,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,,,['Bio'],,,,D,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,
872,Sweet Break,3585810078281,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
873,corn flakes - 750g,3560071168636,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,750g,,,,,,,,,,,,,,,,,,,,
874,Couvent des Visitandins,3040072696791,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,throumpa thassou pdo - bioagros - 250g,5200300110361,['Bioagros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires']",['France'],"['olives throumpa', ""huile d'olive"", 'sel de mer']",[],54.8 g,en quantité élevée,10.7 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,532,+412%,2226 kj(532 kcal),+394%,"54,8",+1439%,"10,7",+1476%,"6,9",-55%,0,-100%,"2,8",+27%,"1,5",+116%,"0,6",+116%,17,+459%,D,+459%,250 g,['Plastique'],"['Bio', 'Bio européen', 'GR-BIO-12']",,,,,http://www.bioagros.gr,,,,,,,,,,['en:Grèce'],['Grèce'],,
876,Morbier bio,2285476028347,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],28.1 g,en quantité élevée,19.6 g,en quantité élevée,0 g,en faible quantité,1.76 g,en quantité élevée,?,,343,-3%,1435 kj(343 kcal),-3%,"28,1",-2%,"19,6",+1%,"0,5",-36%,0,-100%,22,-3%,"1,76",+23%,"0,704",+23%,16,+7%,D,+7%,,,['Bio'],,,,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
877,3023673410607,3023673410607,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Croquetas - Justin Bridou,3449865332494,['Justin Bridou'],,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,15,,"6,6",,20,,2,,10,,"1,4",,"0,56",,,,,,,"['Film en plastique', 'Barquette']",['Point Vert'],,,,,,,,,,,,,,,,,,
879,Fût Budweiser,3116080082038,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,"2,9",,"0,5",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Magret de canard du sud-ouest - Terres Paysannes - 400g,2215223054848,['Terres Paysannes'],"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",['France'],['Magret de canard à foie gras du Sud-Ouest'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,400g,['sous vide'],"['IGP', 'Label Rouge']","['FR 40.112.001 CE', 'Gibret (Landes, France)']",,,D,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,"['France', 'Sud-Ouest']",,,
881,Vin,3299152267516,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Stevia Extract powder,0099482450793,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Poulet de dinde - 1000g,8008110009953,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,1000 g,,,,,,,,,,,,,,,,,,,,
884,Peanut butter smooth,5600985804768,,,['France'],[],[],,,,,,,,,?,,560,,2343 kj(560 kcal),,"46,1",,"6,1",,"19,2",,"6,2",,"25,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Eau,2901102004225,,,['France'],[],[],,,,,,,,,?,,23,,96 kj(23 kcal),,0,,0,,"2,7",,0,,35,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Cassis Noir de Bourgogne - Lejay Lagoute - 50ml,3104691641409,['Lejay Lagoute'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,50ml,['Verre'],,,,,D,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,['France'],,
887,Assortiment snacks - 100g,3257985212516,,,['France'],[],[],,,,,,,,,?,,481,,2013 kj(481 kcal),,"20,6",,"2,3",,"62,9",,3,,"9,1",,"1,9",,"0,76",,,,,,100 g,,,,,,,,,,,,,,,,,,,,
888,Cucubeer - La Piautre - 75cL,3760130120418,['La Piautre'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières ambrées', 'Bières artisanales', 'Bières aromatisées', 'Bières bio']",['France'],"['eau', ""malt d'orge*"", 'courge musquée de Provenc*""', 'Butternut*', 'Potimarron*', 'miel*', 'houblons*', 'cardamome*', 'gingembre*', ""[*issus de l'agriculture biologique]""]",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75 cL,['bouteille verre'],"['Bio', 'Bio européen']",,['Gluten'],3,B,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,"['La Ménitré', 'Maine-et-Loire', 'France']",,
889,Chèvre Frais Fermier au lait cru - 380g,3760059291411,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,380 g,,,,,,E,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,
890,Riz au lait vanille,3424140000121,,,['France'],[],[],,,,,,,,,?,,146,,611 kj(146 kcal),,"3,7",,"2,3",,"22,6",,"13,4",,"3,4",,"0,13",,"0,052",,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,
891,riz lidl - Golden Sun,18917943,['Golden Sun'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Glace natr'elles,3701288000016,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Caramel au beurre salé,3555080091235,,,['France'],[],[],,,,,,,,,?,,398,,1665 kj(398 kcal),,"8,5",,6,,78,,64,,"2,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
894,Moutarde aux salicornes,3558180020013,,,['France'],[],[],,,,,,,,,?,,138,,577 kj(138 kcal),,"9,6",,0,,"2,6",,"1,8",,"6,3",,"5,1",,"2,04",,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
895,"Pate Campagne 300Gr Ep,",3258565461638,,,['France'],[],[],,,,,,,,,?,,325,,1360 kj(325 kcal),,29,,11,,4,,1,,12,,"1,6",,"0,64",,,,,,,['Film en plastique'],,"['EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,,,,
896,Jus d'orange,7290000136721,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"14,5",,"10,5",,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Riz,4251528901706,,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,"1,2",,"0,3",,71,,"3,2",,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Bouquet de poivre - Mccormick,7610071887245,['Mccormick'],,['France'],[],[],,,,,,,,,?,,290,,1213 kj(290 kcal),,"3,2",,"0,9",,"40,4",,"8,8",,"12,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Whey choco duo swirl flavour - 250g,8718774035181,,,['France'],[],[],,,,,,,,,?,,516,,2159 kj(516 kcal),,39,,"6,3",,30,,"0,3",,21,,"0,13",,"0,052",,,,,,250 g,,,,,,,,,,,,,,,,,,,,
900,Twix caramel beurre salé,5000159528986,['Twix'],,['France'],[],[],,,,,,,,,?,,491,,2054 kj(491 kcal),,24,,14,,65,,49,,"4,3",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,
901,Isola Bio,08865892,['Isola Bio'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['HDPE'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-006']",,,,,,,,,,,,,,,,,,
902,Purina pro plan,7613035118980,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,15,,10,,20,,"0,9",,60,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Confiture poire rhum coco,3770013348075,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Cachire poulet - esma - 400g,4040328075287,['Esma'],"['Viandes', 'Charcuteries', 'Saucissons']",['France'],[],[],17 g,en quantité modérée,6.7 g,en quantité élevée,0.3 g,en faible quantité,2.5 g,en quantité élevée,?,,203,-47%,849 kj(203 kcal),-48%,17,-45%,"6,7",-44%,"0,3",-86%,"0,3",-77%,12,-52%,"2,5",-40%,1,-40%,18,-23%,D,-23%,400 g,,['Halal'],,,,,,,,,,,,,,,,,,
905,Brioche maison - E.Leclerc,3000000113189,['E.Leclerc'],,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,13,,8,,52,,13,,"8,1",,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,,,,,,
906,La fière,3770000661408,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,4005900513854,4005900513854,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Pêches au sirop léger - Cora,3257986985181,['Cora'],,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,"0,5",,"0,1",,14,,12,,"0,5",,,,,,,,,,,['Couvercle en métal'],['Nutriscore'],,,,,,,,,,,,,,,,,,
909,Coffee - Volvic,3057640528033,['Volvic'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,,,,,,
910,Persil bio - Cueillettes et Cuisine,3411060061943,['Cueillettes et Cuisine'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Plantes en pot', 'Persil', 'Plantes aromatiques en pot', 'Persil en pot']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,B,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,
911,Pâte de poivrons rouges assaisonnée,3473650789651,,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"7,5",,"1,4",,"8,4",,"4,1",,"1,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
912,Le miel - 850g,8681893046102,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,850 g,,,,,,,,,,,,,,,,,,,,
913,500g,400048033503,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,
914,Bn goût abricot,3061990143051,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,"8,4",,"3,9",,"75,8",,"36,3",,"5,3",,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,,
915,Thé noir infusé saveur pêche - Belle France,3258561301662,['Belle France'],,['France'],[],[],,,,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,"4,8",,"4,8",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Vallée De L'ourthe Oranges Douces 8X370G - 8x 370g,5410986043031,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,0,,0,,66,,60,,0,,0,,0,,,,,,8 x 370 g,,,,,,,,,,,,,,,,,,,,
917,Orange Navelina 2 Kg,8412276271756,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Double phoenix,9310432330066,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Mes cereales bio cacao vanille - Modilac,3572731202420,['Modilac'],,['France'],[],[],,,,,,,,,?,,379,,1586 kj(379 kcal),,2,,"0,7",,"76,4",,22,,"11,4",,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,
920,2x 125g,770011009039,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,2 x 125 g,,['Bio'],,,,,,,,,,,,,,,,,,
921,Chips épicées - Auchan,3596710482153,['Auchan'],,['France'],[],[],,,,,,,,,?,,546,,2284 kj(546 kcal),,35,,"2,8",,50,,"1,1",,5,,"1,5",,"0,6",,,,,,,,['Nutriscore'],,,,,,['Auchan'],,,,,,,,,,,,
922,Milbona,4056489024149,['Milbona'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Baguette de pain,3021990081791,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Milbona,4056489089643,['Milbona'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
